SA4_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
121,596,150,68,359,7660,628,419,1726,1409,601,184,78,396,5437,709,541,1674,1516,868,310,232,832,6679,65922,27807,51359,22231,6029,1339,692,7482,182860
122,479,102,46,301,5297,260,294,1301,924,385,141,52,289,3644,314,360,1201,1077,524,223,146,648,4499,35858,13348,34313,16354,4453,1022,458,5152,110961
123,452,181,153,376,3704,118,146,616,556,343,144,140,327,2399,120,154,473,424,293,168,176,552,2372,32714,14803,32369,19015,7673,2716,1941,7464,118690
124,570,211,151,436,5015,250,248,790,783,416,213,191,402,3293,234,256,721,574,406,234,247,704,3370,39374,16840,36650,21504,8531,2806,1936,8786,136424
125,620,265,243,457,5735,277,328,1229,968,506,260,298,452,4322,303,355,1032,858,572,301,448,809,4676,66939,30501,45466,21343,9407,3765,3251,15235,195903
126,272,86,38,179,2910,219,187,755,606,315,97,76,217,2466,278,235,717,645,382,155,151,605,3173,32205,13964,23180,9196,2778,733,447,4347,86849
127,753,338,485,512,5589,204,271,928,851,523,303,584,486,4154,172,260,776,694,482,321,813,806,4325,57682,21584,47396,28442,12748,5168,4936,13613,191563
128,399,111,48,284,4458,175,223,993,840,401,106,64,251,3061,249,275,1063,922,464,175,129,710,3988,28874,11298,30215,16008,4648,1082,504,4248,96867
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
201,491,189,144,353,3538,175,117,495,523,373,183,170,290,2321,219,158,469,497,443,231,266,408,2696,21006,7856,18710,12437,5286,1819,1293,5345,73740
202,465,153,120,332,3415,198,141,492,562,390,176,149,326,2422,152,148,510,521,417,180,221,584,2737,19570,7709,18461,12161,5127,1644,1167,5533,71381
203,774,225,145,510,6324,245,224,1111,1170,697,261,230,486,4423,284,351,1052,1123,742,345,319,695,4904,41686,15161,38351,23034,8385,2393,1542,8551,139095
204,560,182,150,406,4175,194,141,593,644,454,227,167,376,2785,201,172,593,652,493,253,234,456,3050,19498,8031,21088,14212,5965,1876,1263,6301,78234
205,963,343,210,723,7101,273,211,1018,1241,759,322,270,603,4683,238,266,850,1029,785,384,404,766,4716,30409,12635,34433,24264,10280,3206,2191,10834,128245
206,569,181,126,521,6996,560,515,1674,1251,542,197,187,526,5445,522,563,1654,1243,645,300,351,802,6077,162516,29372,44565,18656,5525,1565,1324,20544,284057
207,658,160,113,362,7503,564,417,2059,1636,713,229,175,384,6188,730,538,2048,1759,1011,382,331,712,7512,58162,22430,46987,21623,6038,1496,891,7314,164939
208,630,179,80,463,7700,557,479,1952,1390,625,204,141,468,5816,661,721,2174,1844,920,375,331,885,7908,64206,24097,53789,23663,6502,1643,1091,8565,183563
209,858,295,240,526,7893,289,365,1743,1504,788,257,285,511,5732,330,457,1703,1469,815,387,414,863,6438,72554,27903,64040,31475,10320,3038,2264,12010,223604
210,684,266,258,425,5691,184,265,1251,1128,602,286,293,388,4383,207,352,1189,1047,599,302,420,604,4717,52948,20656,45263,24909,9770,3466,3022,10613,170650
211,1117,310,184,559,9613,413,423,1996,1757,971,345,238,607,6750,429,538,1788,1611,1005,459,430,1025,7282,65528,28258,66110,34043,11338,3047,1787,9987,220103
212,1280,465,360,832,11955,454,639,2692,2213,1147,456,454,773,8825,533,819,2435,2089,1312,644,774,1164,9768,106878,48696,97322,46329,16745,5910,4747,20652,347284
213,1003,392,364,721,8698,286,440,1620,1424,858,372,431,564,5997,329,473,1552,1372,773,423,645,881,6447,106991,48256,90065,42714,15674,5578,4901,22402,336570
214,816,218,127,612,7485,341,329,1381,1304,658,237,153,528,4929,341,371,1269,1253,719,275,259,884,5380,35608,15509,39583,22124,7668,1972,1196,8872,132541
215,534,205,137,365,3305,155,101,481,635,474,228,172,369,2611,167,135,471,579,590,275,289,527,3033,15340,5789,15793,12426,5869,2028,1431,6042,64712
216,485,168,134,360,2986,128,84,405,533,387,199,150,314,2198,122,114,382,470,409,230,249,409,2383,13421,5287,14393,10953,5015,1750,1322,5119,57259
217,438,194,115,297,2859,131,86,394,497,330,186,173,243,2048,121,110,389,472,403,214,292,391,2384,13411,5062,13684,10394,4857,1633,1153,4209,54393
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
299,3,0,0,16,42,0,0,4,6,0,0,0,0,14,0,0,0,4,3,5,0,5,19,1016,266,399,261,111,38,42,1239,3373
301,526,157,96,307,4625,220,193,783,773,462,168,118,294,3000,203,220,751,670,447,253,212,556,3314,27246,12608,31132,16587,5960,1825,1052,4742,101156
302,438,157,93,237,3784,283,155,721,746,356,168,127,255,2817,362,248,742,700,531,264,247,599,3686,34377,12873,24706,12263,4422,1487,1016,4714,95851
303,546,160,127,261,4745,292,272,947,839,479,216,195,271,3509,320,335,935,939,561,298,296,512,4184,59077,21515,38790,18319,6352,2013,1617,7635,155320
304,283,99,46,118,3061,183,145,621,525,296,101,67,137,2062,194,187,596,590,360,180,128,288,2527,26917,9417,23386,11525,3515,958,526,2868,79104
305,298,99,51,208,2878,219,122,463,444,238,101,73,174,1838,206,170,484,450,308,145,132,315,2206,67170,13740,23385,11085,3436,936,551,8229,128533
306,499,182,148,470,4272,190,177,577,623,351,150,134,339,2537,154,184,500,523,354,195,189,480,2569,29944,12525,25879,15125,6400,2319,2017,10745,104950
307,438,157,129,315,2653,104,93,336,394,314,140,153,276,1807,120,62,247,327,280,161,190,371,1756,11376,4749,12369,9885,5040,1828,1400,5424,52074
308,487,176,129,337,3264,150,102,486,542,395,168,190,333,2357,134,98,365,390,334,187,234,441,2180,21823,9674,23447,15577,7089,2457,1897,7739,89710
309,1122,314,162,1024,11729,627,623,2178,1793,923,346,198,915,7599,560,694,1801,1605,928,423,325,1538,7881,86582,35992,75624,37492,13222,3811,2150,20048,274915
310,636,266,230,384,4660,220,167,670,715,508,242,259,360,3153,174,162,535,567,402,247,338,457,2874,41781,18121,35889,21712,10054,4040,3662,10180,145446
311,616,254,214,391,4781,176,181,705,664,448,220,198,345,2935,140,192,529,540,408,226,262,467,2756,38445,17637,36102,21935,10355,4171,3414,10873,142933
312,315,149,102,257,2370,107,84,305,363,222,116,97,221,1518,85,79,261,296,269,154,163,243,1549,18203,7422,18171,11792,4997,1752,1099,7571,71016
313,695,256,198,436,5951,281,235,913,948,580,270,174,384,3789,228,245,763,755,476,245,261,644,3617,27861,13060,30817,19656,8428,2880,2018,7537,112255
314,368,100,61,161,2887,109,119,420,422,255,94,63,123,1592,113,128,334,338,242,119,127,202,1604,25942,11279,25942,13665,4938,1528,907,3782,87990
315,103,56,79,134,832,34,21,94,94,64,38,50,65,466,23,27,58,70,64,41,62,70,416,7748,3283,5789,4255,2368,1114,1190,4164,29910
316,928,313,146,696,9248,473,398,1682,1555,853,338,199,574,6073,426,449,1336,1370,920,398,329,1079,6296,47835,20073,51510,28542,10345,2958,1570,11053,173886
317,442,154,132,242,3218,184,106,507,541,378,165,155,230,2262,201,140,380,527,418,236,252,313,2458,19863,7101,16728,11737,5317,1864,1597,4152,68358
318,475,194,145,328,3508,170,131,532,596,405,190,150,255,2439,138,159,432,500,388,207,193,382,2401,27714,10651,23603,14901,6597,2389,1792,8100,95753
319,1067,433,262,809,8279,365,320,1247,1219,811,377,272,652,5263,342,302,917,959,757,407,425,701,4810,29329,13891,35767,23970,11428,4189,2909,10662,132150
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,28
399,9,8,4,19,124,6,0,11,8,0,5,5,10,37,0,0,3,6,0,3,0,3,25,1770,525,1137,733,317,128,80,1441,6127
401,530,152,60,342,6406,374,327,1440,1294,631,166,99,346,4683,415,440,1492,1439,840,340,232,616,5804,48037,16789,38801,18523,5667,1406,800,6265,136278
402,748,236,179,577,7473,280,320,1533,1369,759,300,242,518,5327,237,425,1315,1244,767,426,391,755,5557,54055,24191,52685,27426,10583,3888,3144,10225,186196
403,664,182,89,424,7602,361,356,1638,1426,668,207,131,409,5202,416,511,1632,1655,947,424,305,599,6486,49138,20563,50240,23950,7649,2213,1324,7120,162191
404,406,126,95,270,4419,258,303,1145,976,480,166,126,272,3728,318,397,1328,1152,622,292,282,296,4690,38126,14018,29137,13363,4506,1425,1103,5074,106759
405,350,128,57,273,2914,113,92,437,510,306,117,102,210,1884,123,98,398,435,359,180,142,247,1977,10581,4593,13975,9519,3820,1231,830,3507,48067
406,221,84,63,163,1549,50,38,226,234,188,94,54,130,998,41,40,126,234,201,100,113,167,1032,7589,3371,8714,5976,2571,935,602,3148,32906
407,581,174,109,430,5081,210,175,798,980,554,196,128,391,3438,196,172,704,852,589,303,257,465,3549,18263,8239,23877,15748,6207,1935,1221,6163,81655
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,15,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,5,10,398,135,214,160,59,21,18,307,1306
501,476,169,69,330,3616,123,98,537,650,411,188,106,267,2381,103,100,373,564,468,246,188,338,2381,18163,8140,22987,14771,5845,1832,1026,5463,78232
502,316,100,43,235,2793,106,97,496,513,333,105,72,228,1951,81,78,343,438,288,120,92,358,1794,10236,4892,14071,8736,3492,1095,612,3161,46298
503,244,80,29,183,2823,222,150,614,591,249,62,52,159,2098,278,176,619,700,409,163,124,301,2769,33393,8702,18809,9684,2710,628,340,4645,78909
504,441,148,110,283,3786,135,169,693,680,449,167,132,256,2689,138,172,588,615,417,206,206,422,2763,34832,14787,30884,16183,6174,1985,1465,6456,112749
505,924,247,155,550,8714,371,434,1801,1812,899,329,198,531,6382,342,426,1667,1607,1041,470,401,796,6762,73217,29889,71858,35602,11890,3527,2329,11685,239995
506,837,255,212,560,7097,340,309,1387,1400,768,291,201,643,5334,311,329,1090,1211,838,410,388,1031,5616,68515,27743,57578,30181,11538,3732,2712,13209,215211
507,710,195,115,477,6523,257,301,1358,1306,757,235,150,447,4814,262,317,1241,1254,836,340,286,799,5338,54828,22769,53193,28131,9930,2836,1689,9927,183300
509,393,119,70,337,2861,87,76,408,520,368,146,102,254,1974,80,82,321,426,356,183,147,290,1888,12047,5166,14937,10825,4800,1516,1027,5568,55894
510,30,25,35,63,291,15,0,16,28,21,14,17,39,153,3,5,15,8,12,6,22,43,113,9294,3613,6134,3807,1845,772,696,5621,31785
511,273,88,62,211,1672,40,51,188,261,199,78,68,162,1056,33,54,140,199,191,107,110,173,1015,10929,4683,11271,7682,3493,1213,844,5802,45919
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
599,0,0,0,13,26,0,0,0,4,0,0,0,10,15,0,0,0,0,0,0,0,12,16,734,203,417,264,108,47,40,1222,3030
601,507,152,98,368,4667,244,224,924,872,459,198,147,304,3362,263,223,782,804,549,265,235,396,3516,34836,13571,27811,15089,5720,1954,1279,6081,106333
602,384,134,70,317,3353,177,150,506,564,357,149,112,230,2253,185,157,425,515,354,160,153,314,2274,18043,7462,17404,10655,4363,1578,969,4245,64723
603,93,44,30,87,831,27,35,91,119,57,34,30,77,472,21,27,71,95,51,41,30,64,394,4410,2067,4565,2777,1210,436,276,1505,17243
604,386,150,83,267,2643,129,79,348,432,328,167,109,241,1825,118,100,330,352,301,158,171,207,1744,12091,5465,13499,8899,3920,1412,930,3612,49827
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,5,8,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,199,62,74,53,24,13,5,125,561
701,139,38,50,102,1086,60,48,153,146,93,47,53,98,692,28,30,80,80,63,47,55,78,465,19112,7370,12327,6744,2773,928,702,5341,55301
702,49,36,48,65,445,31,18,56,36,37,24,38,40,279,27,10,24,30,24,17,27,42,198,10181,4440,5968,4081,2255,1101,958,5630,34608
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11
799,0,0,0,4,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,325,103,211,110,63,25,15,629,1486
801,670,228,129,323,6287,288,323,1196,1169,608,220,170,292,4267,285,311,1063,998,662,276,289,428,4315,71557,24101,49070,23703,8132,2289,1498,9387,189730
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,120,22,37,22,8,0,0,38,249
901,9,10,4,17,80,5,3,9,11,3,10,0,9,56,3,3,3,11,0,8,5,7,34,480,182,452,280,114,39,34,309,1887
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
