SA4_CODE_2021,C16_15_19_N_mar_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_RegM_P,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_Mar_DFM_P,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_N_mar_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_RegM_P,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_Mar_DFM_P,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_N_mar_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_RegM_P,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_Mar_DFM_P,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_N_mar_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_RegM_P,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_Mar_DFM_P,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_N_mar_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_RegM_P,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_Mar_DFM_P,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_N_mar_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_RegM_P,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_Mar_DFM_P,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_N_mar_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_RegM_P,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_Mar_DFM_P,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_N_mar_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_RegM_P,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_Mar_DFM_P,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_N_mar_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_RegM_P,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_Mar_DFM_P,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_N_mar_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_RegM_P,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_Mar_DFM_P,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_N_mar_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_RegM_P,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_Mar_DFM_P,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_N_mar_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_RegM_P,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F,C16_75_79_Mar_DFM_P,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_N_mar_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_RegM_P,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_Mar_DFM_P,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_N_mar_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Mar_RegM_M,C16_85_over_Mar_RegM_F,C16_85_over_Mar_RegM_P,C16_85_over_Mar_DFM_M,C16_85_over_Mar_DFM_F,C16_85_over_Mar_DFM_P,C16_85_over_N_mar_M,C16_85_over_N_mar_F,C16_85_over_N_mar_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Marr_reg_marr_M,C16_Tot_Marr_reg_marr_F,C16_Tot_Marr_reg_marr_P,C16_Tot_Mar_de_fa_mar_M,C16_Tot_Mar_de_fa_mar_F,C16_Tot_Mar_de_fa_mar_P,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_N_mar_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Mar_RegM_M,C21_15_19_Mar_RegM_F,C21_15_19_Mar_RegM_P,C21_15_19_Mar_DFM_M,C21_15_19_Mar_DFM_F,C21_15_19_Mar_DFM_P,C21_15_19_N_mar_M,C21_15_19_N_mar_F,C21_15_19_N_mar_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Mar_RegM_M,C21_20_24_Mar_RegM_F,C21_20_24_Mar_RegM_P,C21_20_24_Mar_DFM_M
111,19266,10142,9402,19550,219,485,702,1232,1845,3082,9452,8199,17650,10907,10529,21436,1914,3004,4918,2624,2903,5522,5688,4627,10317,10220,10538,20762,4765,5705,10465,2096,1925,4016,3465,3067,6525,10320,10694,21010,5376,5984,11366,1463,1520,2984,2566,2832,5394,9413,10335,19747,5988,6469,12455,1327,1421,2744,2790,3188,5974,10103,11080,21180,5940,6328,12263,1323,1259,2580,3097,3453,6550,10363,11038,21398,5961,6411,12370,1053,1079,2132,3217,3605,6826,10228,11097,21323,6357,6465,12824,904,891,1802,3094,3692,6788,10357,11052,21411,6109,6047,12158,685,552,1243,2616,3476,6089,9409,10079,19488,6025,5563,11586,474,423,895,2114,3428,5546,8612,9412,18021,4847,4308,9148,300,229,531,1658,3052,4712,6806,7592,14391,3466,2745,6207,171,108,279,1223,2862,4085,4856,5712,10572,2250,1545,3793,81,47,120,959,2723,3683,3285,4311,7599,1480,759,2236,27,16,48,1202,3466,4665,2708,4242,6953,60692,61834,122522,13850,14405,28252,53193,60882,114069,127734,137114,264843,5,4,5,100,182,280,10388,9704,20086,10490,9891,20382,181,330,506,1625
112,12121,6325,5995,12317,102,225,332,604,833,1440,3818,3338,7153,4527,4397,8928,782,1237,2019,991,1202,2196,2472,2164,4634,4245,4599,8847,1925,2563,4483,1076,1170,2244,1796,1775,3571,4791,5507,10297,2596,3068,5661,1057,1103,2162,1555,1937,3495,5210,6113,11319,3236,3636,6873,1100,1151,2251,1835,2324,4160,6172,7110,13282,3369,3800,7172,1022,1090,2108,2127,2635,4766,6515,7527,14041,3690,3968,7664,1006,1033,2036,2426,2936,5365,7125,7935,15058,4180,4483,8660,948,952,1904,2703,3198,5900,7829,8635,16464,4393,4456,8854,828,643,1473,2508,3029,5536,7726,8129,15856,4600,4031,8633,588,454,1046,2152,2700,4854,7340,7184,14528,3537,3120,6660,324,223,546,1449,2296,3742,5304,5639,10948,2641,2143,4786,158,114,266,1056,2108,3164,3852,4361,8216,1747,1209,2959,76,44,120,819,2031,2852,2644,3290,5935,1247,566,1815,44,20,62,959,2638,3600,2254,3227,5482,38058,38523,76584,9871,10161,20032,33934,40968,74901,81865,89655,171519,0,0,0,48,121,166,6332,5869,12204,6378,5993,12371,68,146,214,636
113,8181,4416,3983,8396,113,261,375,718,1018,1739,2949,2645,5600,3790,3929,7720,935,1390,2328,1027,1056,2084,1934,1739,3676,3899,4188,8088,1955,2334,4291,691,713,1407,1235,1171,2405,3890,4216,8105,2162,2461,4625,509,481,988,1008,989,1994,3677,3933,7612,2478,2639,5115,464,489,955,1089,1135,2223,4031,4259,8292,2533,2788,5316,438,451,885,1162,1241,2398,4125,4481,8603,2777,2874,5650,414,429,842,1215,1224,2437,4412,4529,8935,2893,2965,5859,374,332,707,1229,1328,2557,4503,4622,9121,2709,2562,5273,248,207,457,1102,1183,2286,4063,3953,8013,2478,2283,4760,167,121,293,916,1184,2099,3557,3587,7149,1877,1684,3559,96,75,168,686,1098,1783,2653,2855,5506,1499,1193,2692,51,29,76,555,1126,1686,2110,2338,4455,909,601,1506,17,15,39,408,1064,1471,1334,1685,3017,580,252,840,12,6,19,404,1262,1664,998,1524,2524,25911,26295,52202,5302,5568,10865,20256,22217,42470,51460,54079,105539,5,9,14,58,129,193,4422,4125,8549,4491,4260,8754,107,234,340,741
114,7050,3617,3560,7181,106,205,312,428,650,1077,2248,1715,3961,2780,2567,5346,592,954,1544,689,752,1435,1403,1143,2546,2679,2854,5531,1342,1585,2930,565,599,1169,878,845,1723,2791,3026,5815,1579,1843,3415,474,492,965,752,867,1618,2803,3201,6003,1981,2240,4229,518,533,1054,931,1104,2040,3435,3878,7316,2130,2434,4564,517,523,1037,1037,1310,2349,3687,4273,7957,2391,2563,4960,524,544,1070,1190,1429,2619,4107,4544,8650,2749,2966,5719,460,451,911,1343,1595,2944,4561,5017,9576,2898,3194,6090,402,358,765,1254,1493,2752,4565,5045,9611,3514,3434,6946,314,286,600,1224,1701,2917,5043,5420,10467,3006,2614,5619,232,156,386,937,1672,2603,4174,4438,8613,2206,1733,3941,120,75,195,750,1365,2112,3080,3174,6254,1326,829,2152,43,34,79,538,1234,1774,1909,2098,4009,774,359,1139,38,21,54,543,1417,1957,1349,1797,3147,26602,26975,53578,5369,5552,10920,18605,22373,40978,50576,54899,105474,4,4,3,39,79,115,3882,3517,7403,3923,3601,7528,61,109,172,497
115,15851,8274,7625,15902,110,212,320,238,338,575,6598,5794,12393,6946,6349,13295,973,1579,2553,527,600,1127,3705,2763,6460,5202,4941,10142,3103,4218,7323,489,467,953,1652,1314,2969,5244,6006,11249,5043,6070,11112,417,472,891,1034,1043,2079,6502,7585,14089,6363,6946,13310,511,545,1055,948,1198,2143,7826,8689,16511,6345,6788,13131,515,545,1061,1018,1394,2416,7877,8724,16604,6170,6012,12179,480,449,931,940,1353,2291,7590,7813,15402,5599,5480,11075,384,367,759,839,1385,2230,6823,7236,14054,4984,4570,9557,269,253,520,693,1368,2057,5943,6190,12134,4356,3924,8279,216,145,359,677,1440,2112,5245,5505,10745,3212,2490,5704,123,74,196,523,1335,1852,3857,3903,7755,1941,1419,3360,59,26,89,366,1085,1447,2362,2532,4897,1083,642,1723,19,18,30,338,945,1279,1437,1595,3034,708,322,1025,23,14,28,378,1289,1664,1102,1622,2718,49988,50677,100665,4279,4340,8618,27958,31292,59253,82227,86307,168533,4,3,3,26,43,66,9195,8436,17632,9221,8479,17700,81,176,255,365
116,21931,11448,10673,22124,314,864,1171,633,884,1510,9910,8540,18450,10850,10285,21138,2818,4978,7791,1320,1402,2716,6642,5288,11928,10772,11663,22435,7365,9296,16658,1127,1240,2369,3967,3256,7222,12459,13785,26247,9152,9303,18454,982,974,1960,2636,2631,5265,12774,12910,25678,8131,7831,15964,885,906,1786,2301,2838,5144,11323,11575,22893,6874,6792,13669,825,837,1657,2324,2895,5219,10026,10519,20544,6517,6192,12708,694,632,1323,2180,2832,5012,9390,9655,19043,5783,5404,11185,524,505,1030,2000,2884,4880,8300,8797,17100,5095,4552,9651,349,302,651,1602,2645,4249,7047,7499,14549,4266,3575,7842,246,168,420,1324,2508,3826,5842,6248,12091,2792,1987,4781,141,97,241,872,1971,2846,3806,4056,7865,1765,1118,2887,72,34,104,637,1626,2265,2472,2782,5257,931,499,1429,27,12,33,461,1323,1784,1419,1832,3250,512,239,747,17,7,27,417,1251,1667,943,1496,2438,62316,62650,124968,7896,8102,16005,48657,53033,101686,118874,123782,242656,0,8,5,75,116,191,11843,10990,22830,11920,11113,23029,278,733,1012,862
117,9952,4911,5257,10168,238,575,819,1484,2083,3575,11644,13102,24747,13373,15760,29136,2193,3249,5443,5058,5532,10590,12784,11773,24558,20033,20552,40588,5379,6092,11472,5120,4108,9232,8243,7402,15643,18742,17600,36347,5093,5076,10170,3232,2237,5471,4877,4539,9414,13201,11851,25056,4064,3944,8002,2375,1512,3887,3898,3614,7507,10332,9064,19401,3092,3121,6212,1957,1228,3183,3559,3170,6727,8606,7519,16129,2789,2684,5469,1527,823,2347,3104,2947,6050,7414,6450,13862,2477,2312,4787,1039,594,1635,2763,2872,5639,6270,5780,12058,2174,2142,4318,672,417,1086,2069,2547,4618,4917,5103,10022,2022,1779,3800,456,240,700,1731,2243,3973,4212,4267,8475,1500,1243,2740,191,113,308,1221,1710,2928,2914,3061,5977,1175,836,2010,95,62,160,763,1413,2173,2035,2315,4350,756,447,1196,54,23,73,581,1171,1754,1387,1639,3025,490,177,665,25,9,34,456,1212,1670,966,1405,2368,33436,33677,67114,23366,19108,42476,62517,64837,127355,119322,117629,236947,4,0,4,52,86,134,4192,4107,8294,4246,4189,8435,143,263,396,1857
118,10755,5450,5395,10843,52,149,200,567,931,1498,7934,7985,15913,8547,9061,17608,921,1591,2513,2546,3299,5846,7065,7021,14086,10534,11911,22440,3475,4518,7990,3052,2810,5859,4291,4557,8849,10817,11879,22690,4808,5386,10189,1995,1678,3672,2575,2933,5511,9374,9998,19374,4926,5048,9972,1350,1191,2541,1966,2585,4547,8242,8821,17063,4435,4550,8980,1093,919,2005,1852,2610,4464,7377,8073,15446,3973,3872,7846,837,666,1497,1776,2467,4245,6589,6999,13591,3398,3370,6772,615,492,1107,1642,2366,4003,5655,6226,11880,2898,2838,5734,460,345,806,1425,2214,3643,4786,5395,10182,2932,2685,5618,349,240,592,1283,2289,3575,4567,5216,9786,2284,2010,4293,233,145,378,968,1970,2931,3483,4118,7601,1707,1361,3073,127,71,196,693,1759,2455,2529,3190,5719,1201,680,1880,56,25,78,517,1589,2108,1769,2300,4070,957,401,1359,48,16,70,697,2191,2884,1703,2611,4309,37967,38457,76425,13354,12870,26223,40098,49863,89961,91420,101190,192611,0,0,0,25,30,49,5577,5231,10808,5595,5261,10858,35,90,127,484
119,32276,16605,15881,32488,753,2518,3268,693,1064,1758,18382,15084,33464,19827,18668,38493,5357,9068,14424,2049,2308,4364,14679,10776,25455,22087,22149,44239,11532,13420,24950,1854,1841,3694,8070,6387,14456,21460,21645,43105,12155,12346,24501,1381,1399,2778,5031,4855,9885,18570,18593,37166,11347,11743,23087,1285,1294,2577,4311,5073,9385,16939,18105,35044,10817,11106,21919,1136,1136,2269,4202,5292,9498,16154,17533,33690,10873,10253,21130,1045,966,2008,4310,5757,10068,16227,16978,33199,9948,9336,19284,938,806,1741,3969,5680,9654,14857,15833,30684,8509,7885,16387,654,534,1183,3265,5084,8345,12421,13497,25915,7532,6514,14043,488,343,829,2777,4389,7159,10792,11247,22036,5897,4682,10584,292,167,457,2023,3783,5809,8220,8628,16848,4591,3486,8078,184,99,287,1434,3722,5151,6215,7307,13518,3332,2003,5334,65,43,112,1234,3536,4771,4632,5588,10213,2248,929,3174,39,20,55,1566,4547,6115,3850,5489,9341,104896,105387,210283,12137,12085,24223,91822,99669,191490,208851,217142,425994,4,40,47,23,66,92,16527,15104,31628,16559,15214,31769,638,1847,2478,850
120,12665,6445,6311,12759,246,593,835,684,984,1663,9292,8699,17992,10220,10272,20497,2366,3743,6111,2096,2440,4537,8451,6904,15348,12916,13085,25995,5930,6848,12777,1950,1909,3860,4426,3962,8384,12307,12720,25022,6370,6529,12902,1356,1316,2669,2652,2859,5511,10380,10702,21080,5995,6238,12240,1212,1154,2369,2121,2922,5039,9334,10313,19640,5345,5541,10882,977,1032,2012,2095,3048,5145,8418,9619,18042,5144,5038,10182,885,861,1750,2059,3157,5215,8087,9058,17144,4454,4311,8763,671,632,1306,1843,2905,4748,6964,7851,14812,3793,3520,7313,523,483,1007,1500,2748,4245,5817,6756,12570,3363,3122,6483,363,306,670,1276,2381,3652,4996,5806,10801,2507,2074,4577,184,116,302,916,1963,2876,3606,4150,7760,1934,1466,3403,98,59,161,676,1764,2446,2713,3292,6006,1395,839,2233,53,21,72,559,1660,2211,2002,2514,4522,977,339,1319,30,22,50,630,2100,2729,1634,2458,4099,49819,50216,100034,11124,11369,22497,44899,53325,98217,105837,114910,220752,0,3,3,18,42,59,6503,6217,12723,6519,6268,12788,259,525,788,796
121,21448,10994,10534,21532,144,374,518,572,891,1464,9096,8831,17925,9817,10100,19912,1966,3241,5209,2427,2805,5229,6432,6113,12543,10819,12159,22980,6927,8680,15608,2290,2228,4518,4146,3998,8148,13363,14907,28277,9458,10585,20046,1621,1445,3064,2766,3334,6099,13844,15368,29208,10142,10749,20895,1253,1268,2521,2350,3369,5721,13747,15396,29141,9738,10285,20022,1089,1088,2183,2213,3557,5771,13044,14928,27979,8862,8911,17775,982,870,1853,2138,3538,5680,11981,13319,25304,7709,7392,15102,790,672,1457,1988,3553,5537,10482,11613,22096,6472,6198,12669,562,432,990,1693,3308,4999,8721,9939,18662,6115,5696,11817,460,313,773,1495,3294,4782,8067,9302,17371,4841,4116,8951,256,159,410,1132,2849,3975,6228,7119,13343,3480,2649,6124,164,75,238,875,2554,3431,4524,5280,9797,2290,1476,3767,64,31,99,705,2342,3049,3055,3854,6913,1707,815,2526,60,13,76,1045,3367,4416,2813,4202,7011,79859,81175,161038,12609,12338,24946,49034,64499,113536,141502,158013,299515,0,0,0,19,45,60,11821,11017,22836,11845,11059,22900,116,225,334,707
122,13477,7039,6494,13534,90,195,283,348,642,988,5435,4625,10057,5867,5461,11330,861,1495,2355,1374,1758,3131,3638,2942,6580,5871,6199,12069,3067,4195,7267,1582,1596,3185,2219,1928,4151,6879,7723,14599,5028,5770,10790,1284,1220,2510,1627,1572,3199,7935,8562,16501,6395,6811,13200,1171,1135,2306,1496,1802,3298,9055,9744,18797,6076,6473,12550,960,986,1944,1605,2055,3656,8641,9510,18154,5585,5439,11020,849,803,1656,1634,2149,3780,8067,8392,16450,4709,4529,9235,650,543,1186,1477,2059,3537,6832,7129,13959,3997,3865,7866,446,389,837,1212,1924,3132,5662,6170,11835,3756,3492,7251,335,245,575,1085,1913,2998,5173,5646,10822,3197,2815,6011,200,122,321,867,1870,2743,4271,4807,9077,2387,1742,4135,94,54,149,647,1724,2363,3130,3521,6653,1477,983,2458,44,27,72,479,1599,2079,2003,2605,4611,1091,546,1643,14,15,37,764,2390,3153,1880,2955,4829,47721,48344,96065,9374,9562,18936,31206,37000,68207,88309,94908,183213,0,0,0,16,23,34,8070,7378,15450,8086,7402,15485,68,142,209,386
123,16655,8618,8224,16845,233,580,817,756,1104,1861,7029,6332,13362,8023,8017,16040,1976,3277,5253,1385,1509,2894,4350,3611,7961,7710,8393,16102,4600,5755,10353,1175,1191,2360,2624,2447,5071,8396,9391,17789,5250,5572,10826,967,976,1939,1867,2121,3988,8088,8665,16751,5547,5611,11161,935,924,1864,1830,2360,4192,8321,8894,17213,5164,5208,10368,830,808,1637,1691,2233,3926,7675,8248,15931,5073,5075,10146,692,733,1425,1646,2359,4004,7412,8174,15579,5060,4957,10017,587,495,1086,1501,2197,3705,7152,7654,14803,4528,4086,8614,403,353,758,1265,2185,3448,6199,6630,12828,3933,3279,7214,274,227,501,1115,2045,3159,5318,5554,10872,2548,1962,4512,142,101,243,773,1528,2305,3472,3590,7057,1535,1079,2610,82,43,127,531,1238,1771,2141,2360,4506,848,473,1325,24,20,41,337,1006,1345,1211,1501,2713,435,214,646,9,8,19,341,1115,1458,786,1333,2123,46730,47155,93890,8318,8598,16919,35463,40887,76355,90520,96645,187163,0,7,9,43,92,133,9304,8738,18044,9357,8829,18188,179,408,590,895
124,18344,9615,8999,18608,296,612,908,989,1457,2455,7779,6766,14541,9068,8838,17909,2191,3307,5501,1990,2174,4160,4794,4082,8870,8968,9562,18530,4792,5619,10409,1613,1626,3238,2897,2765,5663,9300,10007,19309,5423,5862,11281,1321,1356,2678,2278,2416,4694,9022,9630,18657,5743,5985,11722,1277,1223,2498,2311,2785,5093,9327,9987,19314,5539,5811,11353,1139,1142,2283,2351,2911,5257,9035,9864,18898,5500,5653,11148,959,948,1910,2294,2923,5215,8748,9525,18273,5624,5927,11549,755,743,1502,2233,3111,5340,8616,9778,18387,5410,4978,10392,550,485,1036,1950,2870,4824,7912,8334,16249,4865,4172,9038,425,326,747,1643,2825,4467,6930,7322,14254,3190,2518,5711,202,157,366,1154,2202,3363,4550,4883,9431,1971,1423,3397,105,52,157,738,1852,2589,2817,3328,6138,1174,680,1852,66,31,93,504,1552,2062,1740,2265,4006,585,274,861,17,8,24,535,1675,2211,1140,1953,3097,52316,52823,105142,11489,11897,23385,42968,49562,92539,106778,114281,221063,0,4,4,90,173,261,9737,9064,18800,9829,9242,19072,216,430,647,1311
125,22938,11934,11156,23088,608,1952,2560,547,799,1352,14547,10762,25305,15704,13511,29214,5012,9052,14059,1437,1635,3077,12869,8058,20931,19322,18748,38065,12187,14034,26218,1321,1321,2640,7834,4983,12817,21343,20337,41676,12061,11240,23303,963,925,1882,4752,3692,8442,17769,15851,33628,9280,8854,18134,880,813,1690,3724,3664,7386,13879,13332,27211,8051,7920,15971,730,710,1446,3296,3824,7122,12081,12456,24536,7747,7365,15108,650,713,1365,3265,3933,7202,11660,12017,23674,7080,6422,13503,590,542,1132,2919,4026,6947,10594,10998,21587,6069,5458,11526,453,316,772,2340,3629,5972,8867,9405,18270,5194,4402,9599,310,185,502,1852,3049,4901,7359,7641,14999,3940,3104,7049,160,113,271,1253,2437,3695,5358,5647,11010,2856,2054,4904,97,63,158,977,2332,3307,3924,4448,8372,1806,1027,2827,60,28,85,761,2125,2893,2625,3178,5805,1116,471,1589,26,9,43,890,2680,3571,2034,3164,5206,83012,83411,166426,8263,8237,16496,73180,70241,143425,164457,161885,326349,6,30,36,38,62,97,12150,11201,23351,12193,11295,23485,610,1625,2233,855
126,9622,5058,4633,9685,95,259,354,349,501,854,5848,5613,11460,6290,6377,12669,1350,2154,3501,878,924,1805,4164,3660,7823,6391,6743,13132,3716,4308,8021,676,655,1331,2216,1924,4146,6612,6883,13501,4291,4576,8869,472,457,931,1372,1406,2781,6138,6442,12583,4187,4305,8488,403,412,817,1051,1355,2407,5650,6067,11716,3795,4157,7951,349,339,683,1022,1443,2462,5157,5939,11101,3970,3904,7878,306,307,616,1088,1525,2612,5372,5736,11111,3517,3529,7047,232,233,460,1060,1569,2627,4805,5331,10139,3065,2931,5994,204,194,395,890,1562,2452,4158,4686,8845,2774,2374,5144,163,100,268,706,1346,2051,3649,3821,7471,1936,1595,3536,93,56,151,485,1114,1602,2515,2765,5286,1447,1172,2613,47,27,76,412,1181,1593,1903,2380,4280,1033,685,1715,25,9,33,365,1116,1477,1417,1808,3220,787,341,1131,15,10,16,497,1635,2131,1301,1985,3289,35965,36295,72262,4243,4254,8498,26206,31051,57257,66419,71601,138022,0,0,0,15,30,44,4947,4634,9585,4967,4668,9630,89,172,265,475
127,27179,14166,13204,27367,509,1502,2009,479,670,1151,12891,11383,24270,13876,13551,27434,2969,5252,8219,1059,1262,2314,8684,7060,15740,12703,13567,26273,6521,8462,14981,991,1079,2069,5238,4445,9679,12749,13981,26728,7524,8503,16029,905,979,1879,3706,3736,7444,12132,13216,25347,8077,8788,16868,893,938,1835,3317,3805,7124,12294,13525,25829,8405,8240,16647,845,827,1676,3050,4045,7100,12303,13119,25425,8622,7873,16492,824,750,1573,3118,3930,7047,12562,12552,25115,7889,7385,15275,686,564,1246,2840,3979,6818,11413,11921,23334,6687,6000,12686,440,418,855,2029,3441,5472,9156,9859,19021,5501,4536,10037,333,211,540,1581,2975,4552,7413,7715,15136,3938,2796,6734,162,108,267,1063,2370,3430,5158,5272,10434,2731,1817,4548,102,57,158,860,2291,3151,3697,4165,7861,1639,869,2508,46,18,64,636,1986,2619,2322,2871,5191,976,324,1298,18,21,38,660,2051,2711,1653,2397,4050,71994,72421,144417,7821,7959,15782,63788,70556,134339,143601,150936,294535,9,29,43,59,104,165,15497,14554,30055,15565,14692,30258,427,1223,1655,669
128,12422,6407,6085,12496,95,191,287,309,557,872,5604,4971,10581,6019,5725,11734,1047,1702,2750,1200,1368,2571,3383,2770,6158,5629,5851,11475,3127,3957,7082,1032,1027,2059,1766,1546,3315,5929,6529,12463,4339,4860,9196,767,707,1478,1304,1272,2574,6408,6839,13256,5047,5406,10454,709,766,1472,1385,1587,2972,7143,7759,14904,4819,5152,9975,665,638,1304,1393,1767,3170,6883,7564,14447,4679,4825,9499,608,559,1170,1476,1804,3287,6761,7197,13962,4715,4736,9454,468,420,890,1356,1867,3221,6539,7029,13572,4328,4071,8406,336,297,635,1069,1642,2717,5736,6021,11755,3870,3448,7315,219,155,377,864,1670,2536,4957,5269,10230,2953,2522,5471,122,103,228,687,1614,2296,3760,4235,8000,2006,1561,3564,80,40,120,499,1375,1876,2585,2979,5559,1322,922,2245,34,27,62,456,1354,1806,1811,2301,4118,968,471,1442,29,16,46,607,1988,2592,1601,2473,4075,43321,43828,87149,6608,6746,13355,28242,33282,61528,78175,83854,162028,0,0,0,20,33,46,6985,6484,13463,6994,6516,13512,67,119,189,414
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
