SA4_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
111,3244,2922,6165,3588,3198,6783,4497,4141,8639,9976,9388,19365,10679,10171,20851,11615,10642,22258,2218,2102,4326,2445,2192,4636,2638,2583,5219,1421,1308,2737,1450,1415,2867,1699,1638,3339,13622,12804,26424,14576,13780,28357,15978,14885,30861,7289,6973,14258,7378,7175,14562,7941,7647,15580,1741,1785,3525,1904,1839,3745,1979,2091,4063,1523,1559,3088,1687,1565,3250,1835,1804,3640,10549,10321,20878,10974,10583,21555,11754,11557,23312,592,666,1264,493,602,1094,591,656,1246,305,543,846,358,577,929,482,735,1216,1685,879,2560,1356,853,2205,1891,1094,2988,1381,1855,3233,1173,1834,3011,1759,2591,4353,47,46,95,33,23,59,14,16,30,4006,3988,7996,3411,3888,7302,4738,5091,9833,3815,4835,8654,4424,5146,9569,4256,5621,9877,1394,1630,3017,1770,2037,3810,1703,2175,3878,537,722,1254,596,759,1356,650,916,1566,1610,2523,4133,1737,2805,4537,1942,3359,5308,29,32,65,28,33,60,14,9,24,7385,9739,17119,8555,10779,19334,8568,12078,20650,11390,13725,25117,11974,14665,26635,13331,17189,30518,164,257
112,1991,1834,3823,1934,1796,3732,2386,2183,4573,6164,5799,11966,6236,5680,11918,6052,5592,11644,2116,2148,4269,2127,2056,4187,2312,2263,4576,1056,1112,2173,1151,1126,2277,1362,1371,2734,9343,9066,18405,9512,8873,18381,9752,9238,18989,4919,4681,9601,4253,4249,8494,4168,3895,8068,2043,2196,4246,2022,2258,4282,2153,2216,4369,743,809,1550,877,931,1803,1323,1286,2613,7709,7691,15398,7153,7433,14583,7663,7411,15074,290,353,649,248,331,578,298,387,689,271,606,874,199,543,737,317,655,978,750,498,1249,687,471,1161,930,633,1560,893,1669,2553,638,1339,1973,1041,1813,2855,44,28,66,25,29,50,20,19,38,2244,3147,5391,1798,2717,4509,2610,3511,6121,959,1396,2354,817,1160,1982,701,1223,1918,544,946,1489,595,917,1511,507,982,1494,150,224,372,200,315,516,244,423,668,660,1490,2148,710,1664,2376,791,1871,2664,10,18,26,17,23,35,14,23,36,2316,4069,6393,2337,4079,6415,2255,4517,6779,4561,7220,11778,4135,6789,10925,4876,8043,12913,119,204
113,1514,1452,2972,1536,1363,2899,1867,1790,3656,4485,4234,8722,4620,4378,9004,4725,4330,9054,2023,1839,3862,1914,1883,3795,1863,1911,3767,418,381,804,393,341,734,503,467,968,6926,6460,13385,6930,6610,13537,7092,6710,13810,3351,3239,6586,3153,3060,6216,3002,3032,6036,1425,1545,2962,1429,1516,2945,1688,1776,3461,488,485,979,513,521,1035,588,610,1195,5263,5267,10531,5098,5098,10194,5286,5422,10702,406,278,680,196,186,382,260,216,476,158,270,428,123,215,342,164,296,467,851,458,1314,611,434,1046,877,551,1422,664,1179,1840,494,883,1374,660,1194,1857,31,23,49,18,15,38,11,7,14,2108,2211,4320,1443,1736,3183,1972,2266,4235,706,1489,2195,611,1263,1875,604,1307,1907,208,334,545,252,432,689,235,471,709,126,202,330,104,266,365,139,291,428,456,830,1289,449,952,1405,474,1071,1550,19,9,26,8,10,16,7,6,13,1515,2869,4381,1423,2916,4336,1457,3141,4597,3631,5076,8704,2864,4658,7521,3433,5414,8843,145,87
114,1342,1250,2587,1379,1242,2618,1648,1490,3139,4022,3884,7910,4365,4168,8533,4404,4082,8487,704,637,1342,685,632,1318,679,674,1348,719,609,1324,622,637,1263,797,844,1639,5450,5129,10575,5679,5432,11116,5894,5606,11497,2863,2799,5663,2642,2581,5223,2761,2587,5351,857,951,1808,993,992,1988,892,939,1835,800,1034,1833,652,890,1539,874,1115,1994,4512,4787,9301,4288,4456,8748,4537,4653,9188,175,191,371,123,145,272,162,221,386,88,205,291,83,173,255,123,237,356,614,371,987,526,303,829,742,403,1144,542,965,1503,334,678,1008,579,1145,1728,20,29,47,19,15,33,8,12,23,1436,1764,3199,1078,1318,2403,1620,2023,3643,325,497,820,343,579,921,441,732,1174,127,296,420,171,361,531,231,456,693,81,93,173,79,157,236,94,171,267,367,730,1100,392,806,1194,399,852,1248,10,11,23,5,20,22,7,3,5,900,1632,2531,984,1919,2907,1177,2217,3390,2340,3398,5736,2067,3241,5305,2798,4242,7038,71,92
115,2371,2227,4599,2431,2200,4635,3161,2959,6124,6994,6606,13597,7996,7515,15507,9852,8979,18828,1976,1869,3846,2044,1929,3975,2026,1975,3998,1535,1379,2913,1593,1460,3054,1831,1713,3548,10500,9855,20355,11625,10909,22536,13725,12681,26409,4661,4393,9058,4905,4596,9502,5697,5186,10885,2385,2179,4557,2360,2361,4718,2689,2749,5443,2053,2009,4060,2339,2139,4474,2785,2621,5412,9097,8581,17673,9597,9093,18693,11184,10575,21754,419,368,788,294,293,582,343,466,808,154,326,483,156,366,522,273,491,764,1131,464,1597,968,376,1338,1321,527,1850,611,1070,1685,479,853,1335,899,1683,2579,30,23,49,8,19,31,14,3,17,2344,2261,4602,1902,1898,3803,2852,3172,6022,3039,3526,6565,3535,3910,7447,3955,4505,8465,424,569,1001,602,805,1411,754,943,1705,412,477,887,615,550,1164,614,631,1243,1009,1295,2304,1011,1361,2370,1086,1628,2718,36,28,64,18,44,59,14,12,29,4915,5901,10822,5782,6669,12455,6428,7723,14152,7265,8159,15424,7686,8568,16258,9293,10909,20200,155,222
116,3222,2829,6048,3384,3070,6459,4864,4444,9306,10276,9358,19632,11967,10964,22935,14323,13379,27697,3536,3384,6927,3543,3519,7061,4078,4149,8224,1300,1231,2527,1823,1647,3468,2079,2105,4181,15111,13973,29081,17336,16135,33469,20516,19660,40172,6991,6678,13671,7267,7100,14365,8628,8328,16956,3367,3432,6799,3778,3547,7321,3973,3771,7743,1165,1090,2255,1424,1461,2883,1903,1793,3701,11521,11201,22726,12466,12104,24569,14526,13919,28446,892,857,1752,656,624,1278,836,780,1619,495,910,1406,494,906,1401,857,1383,2241,1279,690,1969,1019,567,1585,1276,785,2062,1322,1974,3294,904,1614,2519,1659,2797,4450,68,46,117,41,42,88,25,17,39,4053,4482,8531,3118,3757,6873,4651,5760,10408,2575,3247,5823,4067,4490,8555,4673,5616,10291,618,895,1512,1227,1514,2744,1458,2038,3500,420,492,912,653,732,1383,672,786,1464,1130,1568,2693,1212,1707,2918,1373,2057,3433,47,49,97,47,45,90,19,28,48,4791,6240,11036,7196,8492,15689,8205,10526,18733,8838,10729,19566,10315,12250,22564,12883,16342,29225,419,500
117,1264,1107,2365,1484,1364,2848,2173,1970,4146,3104,2982,6087,3990,3764,7760,4551,4331,8885,1136,1108,2247,1210,1228,2436,1248,1234,2476,471,421,895,615,523,1141,689,664,1360,4713,4512,9229,5815,5521,11333,6499,6237,12733,1826,1747,3570,2068,2023,4094,2559,2365,4929,932,1212,2144,1099,1396,2497,1258,1377,2632,622,554,1177,914,783,1697,1022,903,1925,3375,3504,6883,4083,4201,8280,4861,4648,9508,827,795,1619,771,849,1623,599,773,1368,904,1178,2082,1126,1508,2633,1683,2201,3885,486,402,888,531,408,939,713,557,1273,1264,1575,2840,1265,1578,2840,2499,3069,5570,43,41,85,29,32,66,15,20,39,3520,3987,7506,3718,4382,8100,5502,6626,12130,5493,6883,12371,9074,11906,20977,6930,8237,15175,3106,2916,6019,4373,4436,8805,4030,4169,8196,506,612,1110,589,796,1389,685,824,1515,2921,3370,6292,2936,3523,6460,3088,3716,6803,67,59,126,44,68,114,37,21,60,12090,13842,25926,17020,20724,37744,14777,16971,31747,15607,17823,33430,20738,25110,45844,20300,23629,43927,1052,1292
118,2044,1983,4029,2329,2108,4438,2624,2408,5028,3448,3277,6727,4517,4381,8895,4580,4413,8992,1594,1579,3175,1763,1784,3548,1666,1741,3405,2339,2153,4495,2490,2333,4825,2668,2470,5144,7376,7012,14394,8767,8501,17270,8934,8643,17572,1306,1247,2561,1380,1387,2770,1712,1644,3356,1570,1621,3188,1756,1775,3528,1920,2123,4041,2693,2718,5405,3183,3176,6361,3731,3468,7192,5568,5590,11155,6320,6333,12654,7376,7243,14621,359,350,712,241,295,539,265,312,576,361,473,837,324,498,819,446,766,1215,462,272,737,402,253,656,538,337,880,851,1114,1962,802,1083,1888,1419,2049,3467,23,27,52,22,18,35,10,15,21,2062,2237,4301,1795,2148,3949,2683,3479,6160,5761,6026,11784,7366,7603,14966,4479,4979,9461,1875,1844,3718,2469,2404,4872,1672,1957,3626,410,517,927,510,537,1052,441,539,982,1866,2451,4316,1720,2591,4310,1535,2377,3910,53,67,112,50,50,98,26,21,45,9965,10895,20860,12114,13186,25296,8151,9877,18029,12019,13137,25157,13906,15337,29239,10858,13371,24224,337,421
119,4374,4005,8385,4763,4275,9047,6125,5436,11563,13238,11977,25220,15066,13703,28774,15161,13648,28815,4930,4746,9680,5167,5130,10297,5390,5263,10656,2537,2506,5044,2940,3046,5987,3444,3530,6974,20710,19231,39940,23184,21873,45057,24046,22488,46529,9902,9932,19836,10657,10551,21208,11070,10184,21254,4723,4183,8904,5021,4599,9619,5088,5242,10333,2254,2205,4461,2608,2640,5250,3113,3251,6361,16888,16319,33205,18281,17790,36072,19320,18706,38023,1619,1399,3017,1140,1086,2228,1592,1215,2804,1095,1688,2781,1146,1914,3058,2092,2484,4579,1923,845,2772,1633,661,2295,2068,928,2990,1886,2688,4575,1609,2389,3999,2798,4044,6837,125,85,214,66,53,116,52,47,97,6654,6706,13362,5588,6098,11690,8596,8709,17304,6937,7917,14856,10468,10732,21200,9429,10382,19811,2441,2161,4607,4430,4007,8433,3745,3595,7336,741,808,1550,1093,1133,2228,1198,1296,2497,2090,2358,4451,2150,2658,4804,2124,2949,5074,134,133,270,103,101,206,46,37,88,12349,13379,25727,18239,18637,36873,16537,18269,34804,19002,20092,39093,23833,24736,48567,25208,27034,52247,1022,1013
120,2076,1884,3956,2295,2122,4419,2852,2611,5466,5082,4853,9934,6287,6146,12429,6601,6352,12953,2348,2213,4566,2486,2395,4880,2393,2420,4819,973,928,1904,1087,1089,2173,1104,1218,2323,8409,7996,16407,9858,9621,19483,10119,10003,20120,3041,3028,6068,3172,3289,6467,3430,3509,6937,2146,2183,4326,2419,2276,4696,2547,2586,5135,1490,1481,2972,1734,1685,3418,2167,2081,4249,6678,6690,13369,7323,7257,14581,8158,8187,16342,573,534,1103,545,488,1037,785,645,1427,526,751,1274,577,819,1395,982,1258,2242,599,322,919,479,264,738,809,445,1253,965,1376,2341,813,1221,2030,1447,2100,3547,23,30,53,11,18,31,15,8,31,2681,3009,5694,2425,2808,5229,4034,4461,8493,4496,4914,9405,6196,6715,12916,5385,5776,11156,1799,1822,3622,2688,2753,5441,2270,2522,4790,523,539,1061,639,618,1249,804,729,1530,1984,2719,4706,1902,2656,4554,1884,2750,4632,50,59,115,45,60,103,33,32,63,8855,10049,18907,11472,12801,24266,10375,11798,22170,11535,13065,24602,13896,15604,29500,14437,16281,30715,520,526
121,3881,3534,7421,4069,3768,7832,4845,4360,9202,10096,9547,19646,12110,11623,23735,13184,12318,25499,2461,2348,4810,2536,2323,4861,2317,2298,4616,3005,2773,5779,3201,2862,6063,3288,3236,6528,15564,14670,30232,17841,16809,34653,18811,17878,36688,4737,4669,9404,5348,5394,10741,6551,6100,12658,2883,2773,5657,3183,3030,6216,3115,3003,6121,5211,5153,10360,5717,5223,10941,6077,5885,11959,12826,12597,25422,14254,13646,27898,15767,15003,30774,507,517,1023,377,409,785,453,466,920,394,701,1091,412,755,1166,602,1004,1606,796,510,1305,640,332,970,866,471,1345,1068,1984,3054,1012,1873,2890,1591,3074,4670,30,31,61,13,25,39,8,4,14,2790,3736,6523,2453,3392,5845,3527,5021,8549,5762,6572,12333,6572,7335,13900,7120,7361,14478,1404,1752,3151,1798,2318,4118,1695,2293,3986,710,741,1456,881,844,1723,869,911,1783,2893,3703,6601,2587,3724,6313,2555,3748,6295,52,83,130,47,49,100,23,31,52,10821,12850,23672,11879,14275,26153,12261,14341,26602,13613,16590,30196,14333,17667,32001,15805,19380,35178,339,391
122,2785,2627,5414,2774,2487,5263,3225,3010,6237,7360,6951,14310,8623,8297,16915,8590,8173,16760,1587,1527,3117,1748,1614,3364,1674,1477,3148,1519,1357,2878,1564,1425,2987,1461,1285,2750,10468,9837,20305,11939,11336,23270,11741,10935,22675,3652,3637,7286,4127,4191,8314,5101,4801,9896,2151,2008,4155,2539,2200,4747,2557,2402,4964,1904,1669,3576,2250,2080,4332,2555,2590,5149,7708,7315,15020,8916,8473,17389,10223,9804,20031,390,339,730,236,227,467,350,337,686,219,348,568,253,375,628,290,437,733,939,444,1382,829,391,1217,1252,563,1817,939,1342,2282,736,1150,1881,1138,1673,2813,30,21,45,15,15,28,12,8,19,2509,2497,5007,2072,2153,4223,3054,3024,6078,2150,2568,4717,2541,2870,5411,3179,3638,6819,509,667,1171,629,883,1510,589,889,1479,305,345,649,466,489,956,484,594,1078,1116,1664,2779,1112,1717,2828,1046,1893,2940,19,32,53,14,30,48,8,20,23,4096,5266,9371,4762,5984,10749,5304,7042,12348,6609,7768,14374,6827,8140,14966,8370,10073,18444,176,227
123,2607,2340,4950,2667,2492,5164,3856,3483,7344,8095,7769,15861,9585,8919,18501,10547,9944,20491,1848,1802,3648,2055,2078,4134,2230,2331,4562,1272,1231,2505,1447,1358,2809,1936,1914,3848,11217,10804,22015,13091,12351,25444,14747,14212,28953,5770,5971,11739,5866,5828,11693,6600,6229,12830,2120,2112,4234,2505,2333,4832,2648,2705,5356,1022,983,2004,1169,1168,2336,1616,1679,3293,8915,9068,17985,9532,9328,18867,10885,10633,21514,567,584,1152,372,408,787,417,533,943,218,492,702,231,457,689,405,748,1148,1389,672,2064,1222,544,1774,1540,749,2283,865,1231,2093,632,1139,1773,1085,1892,2976,46,42,90,23,28,51,20,14,29,3082,3024,6104,2487,2582,5065,3457,3925,7384,1637,2213,3844,2246,2939,5192,2344,3320,5666,362,667,1029,697,987,1678,732,1191,1925,276,391,671,356,464,818,372,553,928,710,1175,1883,768,1389,2154,871,1593,2462,14,38,56,25,34,58,10,11,28,3009,4474,7479,4083,5818,9901,4339,6667,11000,6086,7499,13585,6568,8397,14969,7817,10621,18436,173,209
124,3142,2795,5932,3219,2933,6154,4089,3657,7747,8810,8292,17103,9698,9194,18896,10737,10141,20879,2610,2624,5237,2684,2726,5411,2499,2563,5060,1571,1414,2984,1555,1493,3044,1678,1544,3226,12991,12331,25323,13938,13412,27356,14937,14272,29201,5899,5812,11712,5634,5766,11403,6333,6320,12651,2839,2954,5794,3149,2947,6096,3130,3075,6202,1532,1504,3037,1625,1504,3131,1770,1614,3384,10270,10263,20537,10409,10216,20628,11246,11026,22269,580,735,1320,367,499,866,503,683,1187,297,630,927,270,592,862,410,813,1223,1707,880,2583,1498,732,2233,1814,940,2761,1176,1810,2989,904,1558,2464,1268,2371,3638,45,42,88,28,28,54,17,16,28,3807,4099,7908,3065,3408,6473,4008,4830,8841,1809,2604,4414,2347,2945,5297,2155,3113,5272,561,875,1435,781,1105,1888,774,1324,2097,291,456,752,405,628,1037,443,626,1074,1040,1826,2863,1103,2167,3271,1173,2406,3582,24,24,54,27,31,56,8,16,27,3728,5787,9515,4666,6882,11544,4556,7491,12050,7532,9888,17424,7729,10294,18023,8586,12336,20920,172,244
125,3246,3046,6295,3875,3556,7434,5039,4542,9589,10299,9283,19585,12891,11850,24744,14544,13731,28268,3639,3644,7282,3954,4031,7982,4155,4088,8241,1250,1214,2466,1616,1569,3185,1943,2041,3982,15186,14144,29331,18464,17448,35917,20695,19896,40590,7870,7580,15447,8379,7927,16308,9050,8497,17543,3444,3355,6801,3436,3531,6967,3883,3813,7694,1514,1195,2711,1697,1431,3131,1928,1950,3879,12832,12126,24960,13517,12891,26409,14889,14274,29169,1324,1117,2446,908,797,1710,1435,1129,2563,851,1396,2246,997,1554,2554,1789,2324,4114,1346,673,2019,1032,488,1522,1358,786,2146,1685,2198,3883,1363,2003,3365,2260,3601,5864,103,78,180,55,45,100,27,28,48,5312,5459,10773,4360,4889,9249,6869,7863,14730,5248,5767,11010,7478,7436,14904,7693,8264,15958,1978,1860,3838,3492,3226,6713,3500,3512,7012,675,689,1361,888,853,1742,1027,1068,2093,1929,2055,3984,1840,2275,4119,1919,2568,4489,102,84,189,62,61,124,56,45,96,9926,10453,20379,13755,13854,27609,14193,15460,29652,15234,15915,31148,18111,18741,36850,21130,23386,44512,929,983
126,1501,1330,2830,1559,1508,3065,2114,1927,4041,4044,3806,7852,5053,4806,9863,6156,5793,11950,1459,1451,2910,1401,1378,2779,1361,1342,2704,623,523,1146,654,536,1192,748,660,1409,6125,5781,11908,7113,6720,13832,8274,7813,16086,2889,2729,5621,3042,2922,5967,3489,3425,6916,1994,1297,3291,1998,1480,3478,1696,1511,3205,923,943,1869,1040,937,1986,1233,1134,2365,5806,4972,10779,6083,5344,11432,6426,6082,12510,321,292,614,274,328,605,254,288,546,247,445,687,363,541,902,463,714,1181,450,227,677,373,152,527,432,200,634,559,883,1444,543,941,1488,982,1668,2649,15,22,39,8,13,25,3,6,17,1597,1863,3461,1565,1981,3543,2146,2876,5023,3981,4662,8643,4859,5040,9903,3985,4223,8208,1113,1117,2228,1709,1782,3490,1475,1686,3160,356,370,723,449,482,930,509,453,958,1089,1298,2387,1038,1329,2368,1119,1578,2699,42,54,95,28,22,50,27,22,41,6585,7496,14085,8088,8665,16744,7116,7952,15066,8185,9366,17545,9647,10640,20290,9268,10846,20111,171,195
127,2984,2776,5754,3276,2959,6239,4821,4265,9092,10847,9923,20767,12466,11476,23940,14334,13207,27540,3575,3591,7167,3893,3963,7862,4950,4866,9820,1624,1659,3287,1985,1937,3919,2586,2598,5183,16045,15177,31223,18347,17378,35722,21933,20732,42665,9642,9147,18785,10271,9703,19974,11702,10891,22590,3248,3297,6551,3678,3774,7448,4287,4454,8742,1407,1398,2809,1707,1854,3561,2286,2388,4677,14300,13841,28144,15659,15328,30991,18326,17779,36106,1285,1211,2497,948,870,1812,1024,1086,2116,580,1240,1818,753,1370,2120,1061,1832,2896,1528,661,2187,1353,577,1927,1730,696,2422,1376,1821,3194,1016,1658,2674,1723,2766,4494,91,84,171,74,62,142,31,39,68,4859,5015,9872,4142,4533,8678,5570,6419,11988,3886,4992,8879,5481,6889,12371,5802,7780,13584,651,882,1540,1117,1419,2535,1377,1819,3194,490,639,1128,771,883,1655,841,992,1830,852,1253,2107,988,1580,2566,1200,1920,3114,57,71,124,36,50,87,30,42,75,5941,7844,13782,8390,10827,19214,9249,12542,21792,10796,12855,23648,12534,15363,27895,14874,19037,33911,523,737
128,2292,2137,4427,2373,2070,4445,2882,2649,5533,6285,5968,12253,7011,6467,13475,7249,6543,13792,2071,2018,4087,2229,2180,4407,2234,2139,4371,549,511,1059,537,492,1023,553,532,1089,8905,8493,17399,9772,9140,18908,10047,9225,19267,4458,4286,8745,4518,4335,8855,5162,4944,10098,1852,1868,3716,2074,2095,4167,2117,2136,4254,799,779,1583,782,883,1664,872,952,1823,7103,6936,14045,7373,7313,14683,8164,8033,16192,341,363,709,213,304,517,272,398,674,128,248,373,118,206,323,239,348,586,1316,524,1840,1100,392,1492,1612,564,2176,732,1104,1839,578,848,1426,904,1397,2295,30,29,57,17,13,31,10,11,21,2546,2268,4815,2027,1764,3794,3036,2718,5752,2113,2740,4854,2243,2847,5093,2189,3077,5266,340,555,893,470,580,1051,458,646,1109,374,408,786,366,483,853,381,487,870,911,1318,2238,906,1557,2462,936,1571,2511,21,22,47,21,31,50,8,9,11,3775,5047,8814,4006,5497,9502,3974,5796,9770,6314,7314,13630,6035,7257,13294,7011,8523,15537,98,131
