SA4_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
121,10228,19352,448,657,1105,10997,13098,24095,1610,3285,4894,2235,2693,4929,316,704,1015,4161,6682,10839,6499,9031,15527,190817,203335,394155,6864,7504,14365,204180,219870,424045
122,7013,13219,351,461,809,7561,8941,16501,1053,2194,3247,1462,1865,3328,231,434,668,2746,4493,7243,4398,5756,10154,119791,123912,243699,4740,4959,9696,128929,134627,263554
123,3874,7695,419,504,923,5418,6093,11516,570,1258,1822,573,712,1288,161,403,568,1304,2373,3676,8361,9001,17359,130012,134015,264026,7796,8110,15904,146169,151126,297292
124,5804,11068,468,597,1067,7052,8301,15357,719,1676,2390,911,1142,2054,230,553,786,1860,3371,5235,9187,9772,18960,144551,149827,294374,9462,9259,18727,163200,168858,332056
125,5944,12004,628,745,1373,8948,10058,19004,1470,2642,4108,1291,1408,2701,431,630,1054,3192,4680,7867,11971,14271,26236,220179,211394,431572,19430,16276,35702,251580,241941,493515
126,3721,7076,250,306,557,4392,5373,9771,833,1524,2354,901,1148,2046,225,508,724,1959,3180,5131,3714,5074,8794,90599,94325,184923,4065,4258,8322,98378,103657,202038
127,5012,10168,745,775,1517,8738,9743,18477,1487,2722,4212,923,922,1844,454,685,1136,2864,4329,7189,16167,18879,35044,203790,206008,409799,14974,14610,29593,234931,239497,474430
128,5720,10864,307,430,738,6318,7520,13841,963,1830,2794,1235,1549,2780,251,606,862,2449,3985,6432,4631,5717,10348,103555,107370,210923,4067,4264,8336,112253,117351,229604
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,76,192,35,20,53,170,108,277,8,15,15,10,5,14,6,8,14,24,28,49,300,232,537,3791,3220,7010,2285,1546,3831,6376,4998,11371
201,4318,8266,381,377,761,5334,5863,11207,670,1392,2058,781,1035,1816,175,269,447,1626,2696,4317,6118,6579,12701,73474,77319,150793,5449,4990,10437,85041,88888,173937
202,4260,8311,406,447,853,5343,5837,11184,686,1303,1994,843,993,1834,249,447,693,1778,2743,4517,5511,5911,11425,70524,74700,145222,5762,5349,11115,81797,85960,167764
203,7825,14810,586,663,1248,9171,10746,19915,1222,2658,3878,1545,1784,3336,273,460,735,3040,4902,7951,9266,10830,20101,141466,148856,290325,9328,8127,17454,160060,167813,327878
204,5116,10111,459,496,959,6558,6957,13515,782,1548,2331,1005,1210,2217,154,286,439,1941,3044,4995,6128,6473,12605,78548,81179,159729,6489,6117,12606,91165,93769,184935
205,8663,17266,790,814,1607,11300,11792,23088,1283,2357,3638,1573,1859,3433,361,500,861,3217,4716,7929,10689,11423,22113,125796,131073,256869,11348,10526,21867,147833,153022,300848
206,8118,15675,717,714,1427,10417,12440,22859,1955,3741,5692,1511,1825,3341,331,515,852,3797,6081,9883,10237,14118,24358,271838,285426,557266,17865,17525,35389,299940,317069,617018
207,9996,18554,448,560,1007,10853,13680,24535,2117,4277,6392,2360,2738,5089,286,500,782,4763,7515,12274,8052,11741,19792,165219,175204,340420,6539,6722,13259,179810,193667,373472
208,9813,18111,511,665,1169,10676,13522,24201,1906,4397,6299,2221,2918,5134,300,596,891,4427,7911,12330,8495,12500,20994,187348,198761,386106,7513,8028,15540,203356,219289,422639
209,8774,17119,650,718,1372,11677,13624,25301,2016,3928,5945,1685,1831,3518,368,678,1045,4069,6437,10509,14618,17890,32512,240150,244212,484356,12115,11671,23791,266883,273773,540664
210,5962,11668,443,555,998,8441,10078,18511,1672,3033,4704,1209,1324,2534,217,360,571,3098,4717,7813,13254,15832,29085,186031,186393,372420,11659,11164,22826,210944,213389,424328
211,11940,22662,670,786,1457,13719,16360,30085,1954,3982,5938,2226,2628,4856,353,674,1028,4533,7284,11817,13107,16214,29324,231160,239220,470382,9272,9321,18596,253539,264755,518301
212,13411,26196,957,1082,2040,17990,20783,38777,3034,5799,8834,2829,3197,6028,458,770,1227,6321,9766,16090,22254,26997,49245,385068,382360,767430,22341,21041,43382,429663,430398,860060
213,8502,16950,811,818,1630,12960,14690,27656,2006,4163,6168,1468,1690,3159,336,591,928,3810,6444,10261,22135,25609,47747,376204,376331,752538,28527,24247,52768,426866,426187,853054
214,9216,17609,638,778,1415,10650,12420,23071,1381,2665,4049,1937,2163,4096,348,551,899,3666,5379,9042,8844,10704,19543,132470,139246,271715,8405,8562,16968,149719,158512,308226
215,4240,8193,456,459,920,5337,5914,11254,727,1507,2232,941,1174,2112,234,361,589,1902,3042,4936,5361,5903,11267,65362,66247,131607,6927,5768,12701,77650,77918,155568
216,3684,7359,416,403,820,5004,5188,10196,617,1178,1796,815,913,1731,162,284,449,1594,2375,3977,4976,5212,10187,57947,59104,117060,5414,4965,10379,68337,69281,137618
217,3689,7083,286,324,614,4383,4907,9292,556,1194,1747,733,937,1669,129,255,382,1418,2386,3801,3998,4545,8538,54921,56422,111342,4223,3961,8182,63142,64928,128069
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,24,3,27,35,3,38
299,45,102,25,5,27,98,64,152,4,7,9,3,9,10,8,8,11,15,24,29,287,252,536,2640,2271,4909,2243,1398,3641,5170,3921,9089
301,5667,10786,324,377,695,6667,7624,14286,835,1768,2609,1026,1215,2241,178,322,501,2039,3305,5357,7029,7650,14683,105348,110524,215873,4736,4525,9259,117113,122699,239817
302,4814,8533,240,295,529,4937,6596,11532,894,1945,2840,931,1353,2287,155,386,542,1980,3684,5665,5561,6933,12489,99103,104098,203205,4637,4265,8905,109301,115296,224598
303,5702,10853,290,379,670,6902,8256,15159,1129,2397,3531,1088,1439,2523,150,346,500,2367,4182,6553,7803,9789,17588,166796,171524,338321,7816,7300,15116,182415,188613,371026
304,3869,7423,154,199,351,4439,5123,9557,644,1480,2123,695,867,1560,107,180,287,1446,2527,3973,3874,4820,8696,85843,89081,174924,2911,2689,5599,92628,96590,189213
305,3457,6682,304,321,631,4230,4709,8943,542,1142,1686,610,819,1431,155,246,401,1307,2207,3515,4088,4758,8847,132268,135321,267590,8300,7513,15806,144656,147592,292245
306,4720,9698,598,552,1146,6849,6819,13655,799,1361,2156,892,902,1797,238,302,537,1929,2565,4493,7190,7125,14311,106189,109417,215605,12640,11199,23831,126019,127741,253748
307,3177,6439,377,403,780,4371,4460,8831,470,838,1308,609,681,1287,148,239,390,1227,1758,2990,4237,4313,8553,53878,54326,108209,6239,5627,11863,64354,64266,128622
308,3826,7546,426,438,867,5141,5619,10759,632,1184,1811,676,750,1431,168,251,420,1476,2185,3660,6846,6813,13663,96772,97702,194473,11800,8304,20103,115418,112819,228246
309,13939,27237,1104,1275,2388,17674,19325,37005,2086,4146,6235,2562,2819,5379,538,913,1458,5186,7878,13071,16796,18270,35066,274393,291444,565839,19967,19911,39876,311156,329625,640778
310,5272,10156,421,495,922,6830,7813,14646,778,1463,2237,893,1102,1999,186,312,500,1857,2877,4732,12150,12232,24383,155634,161236,316873,14838,11039,25872,182622,184507,367126
311,4991,9942,406,519,918,7091,7720,14808,826,1663,2490,724,778,1501,174,323,495,1724,2764,4487,11834,12405,24236,152897,157430,310328,12871,12335,25208,177602,182170,359767
312,2718,5497,353,318,673,3856,3884,7740,446,850,1297,466,568,1038,122,127,251,1034,1545,2586,4254,4177,8428,76430,75844,152270,12020,8167,20188,92704,88188,180894
313,6911,13371,494,508,1001,8915,9740,18666,1090,1998,3092,1162,1276,2441,206,342,545,2458,3616,6077,11214,11410,22626,108696,116890,225586,9148,7385,16534,129058,135685,264752
314,3254,6293,142,207,357,3939,4477,8423,407,915,1319,435,526,963,86,162,242,928,1603,2531,5665,5828,11492,97044,100899,197947,4242,4025,8266,106951,110752,217700
315,833,1834,208,151,363,1477,1296,2775,141,197,338,137,157,291,49,60,106,327,414,739,1470,1444,2911,33662,32745,66409,6260,4246,10509,41392,38435,79827
316,11574,22371,769,871,1641,13874,15323,29199,1744,3164,4915,2219,2413,4634,407,720,1123,4370,6297,10669,11556,12836,24391,169110,183139,352253,11342,10861,22201,192008,206836,398840
317,3947,7261,229,300,536,4433,5478,9907,605,1329,1928,709,939,1643,114,196,314,1428,2464,3892,5317,5927,11248,68503,73974,142478,4315,4018,8334,78135,83919,162059
318,4085,7979,398,397,790,5454,5954,11404,636,1333,1963,682,839,1518,143,230,371,1461,2402,3857,7044,7128,14174,98559,101471,200034,11532,8536,20075,117135,117135,234283
319,9507,19408,899,913,1807,13711,13546,27252,1436,2481,3917,1718,1863,3582,291,468,756,3445,4812,8257,15774,15020,30792,123975,130677,254652,11963,10337,22298,151712,156034,307745
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,9,44,110,24,130,153,33,183
399,118,340,38,17,62,281,158,444,5,9,19,9,7,16,5,3,11,19,19,44,421,371,793,5326,4993,10318,2113,1442,3558,7860,6806,14670
401,8363,15568,380,445,824,8953,11091,20042,1484,3270,4752,1743,2170,3916,205,369,569,3432,5809,9235,7017,9288,16306,138814,145538,284352,6118,5607,11721,151949,160433,312377
402,8949,16826,485,626,1109,10536,12798,23332,1546,3055,4602,1747,2047,3798,269,454,723,3562,5556,9116,15824,16988,32816,199921,202232,402155,10918,9817,20737,226663,229037,455707
403,9702,18337,472,532,996,10948,12801,23747,1640,3541,5182,2027,2568,4590,231,373,605,3898,6482,10381,11187,13192,24389,163922,173013,336932,6998,6538,13540,182107,192743,374859
404,5573,10251,247,315,563,6286,8152,14441,1418,2943,4359,1303,1565,2868,110,187,296,2831,4695,7525,7624,9763,17389,107134,110503,217632,4834,4490,9323,119592,124756,244347
405,3609,7218,278,295,573,4607,4799,9401,506,1016,1521,723,794,1516,108,166,269,1337,1976,3306,4193,4344,8537,49410,49509,98911,3628,3409,7040,57231,57262,114487
406,1828,3627,202,190,396,2442,2548,4997,276,524,803,377,416,786,76,89,164,729,1029,1759,2351,2517,4872,35468,34804,70269,4357,3146,7511,42176,40467,82646
407,6406,12754,507,521,1034,8112,8516,16630,898,1808,2698,1344,1417,2758,192,330,521,2434,3555,5989,6790,7337,14131,82631,83557,166186,7568,5821,13392,96989,96715,193709
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,11,0,12
499,16,47,7,6,4,40,25,64,4,3,3,3,7,6,0,0,0,7,10,11,105,101,205,1278,1098,2372,488,314,801,1871,1513,3377
501,4544,8957,374,417,788,5654,6000,11650,576,1168,1745,856,981,1837,164,234,399,1596,2383,3986,4771,5113,9884,81396,84777,166175,7099,5588,12682,93266,95478,188747
502,3648,7147,265,313,574,4503,4749,9248,443,772,1216,736,784,1518,125,236,366,1304,1792,3095,3444,3616,7062,44945,48985,93925,3592,3055,6648,51981,55656,107641
503,3796,7360,281,274,548,4445,4926,9364,658,1479,2129,840,1053,1900,146,237,387,1644,2769,4406,2858,3888,6743,81952,84052,166007,5213,4301,9519,90023,92241,182267
504,4616,9019,346,358,701,5767,6469,12238,708,1503,2215,834,959,1797,185,297,481,1727,2759,4488,6266,7015,13284,122367,125029,247390,9470,6433,15905,138103,138477,276573
505,11195,21148,607,746,1353,12571,15092,27668,1707,3579,5289,2124,2664,4790,329,515,842,4160,6758,10928,11604,14105,25711,257468,268486,525954,13993,11645,25636,283065,294236,577297
506,8930,17185,600,817,1412,10793,12436,23222,1357,2729,4087,1762,2158,3922,421,727,1145,3540,5614,9154,11099,12587,23685,236866,239650,476522,16177,13081,29260,264142,265318,529466
507,8306,16043,570,655,1223,10034,11332,21356,1352,2759,4118,1717,2016,3728,348,561,908,3417,5336,8752,9853,11357,21210,194443,204228,398679,13567,9954,23520,217863,225539,443407
509,3563,7276,417,416,829,4893,4841,9724,471,850,1327,801,866,1671,143,171,310,1415,1887,3308,3627,3976,7603,58659,57922,116576,7331,5667,12994,69617,67565,137175
510,243,552,86,76,164,505,443,949,35,61,97,38,20,58,14,29,48,87,110,204,966,926,1894,37921,34620,72541,9233,6456,15688,48120,42002,90128
511,1924,3942,341,272,618,2811,2724,5542,275,497,772,376,389,772,83,129,213,734,1015,1749,2471,2563,5036,50308,48145,98450,8800,6470,15273,61579,57178,118758
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,38,297,196,25,218,456,63,514
599,21,86,47,16,63,111,41,155,5,5,8,4,0,4,10,12,15,19,17,30,135,107,236,2288,2040,4327,2222,1277,3492,4645,3424,8055
601,5876,10868,382,428,807,6565,8030,14594,885,1907,2791,1096,1381,2474,134,233,367,2115,3521,5631,7078,8280,15360,107314,112607,219924,6132,5676,11801,120524,126563,247086
602,4159,8008,277,308,590,4992,5591,10599,591,1167,1756,763,936,1699,114,173,283,1468,2276,3742,5169,5540,10711,65012,67461,132476,4156,3857,8010,74337,76858,151195
603,958,2170,110,104,215,1558,1307,2862,106,172,282,175,174,348,51,52,103,332,398,733,1474,1387,2854,18241,17591,35834,1609,1435,3039,21324,20413,41734
604,3278,6356,258,273,534,4089,4474,8560,431,850,1283,600,762,1360,114,134,244,1145,1746,2887,4393,4619,9010,48868,51413,100275,3552,3320,6870,56813,59352,116156
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,3,0,3,12,0,19
699,10,21,4,7,9,12,17,31,0,0,0,0,0,3,0,0,0,0,0,3,43,35,82,502,455,960,213,131,339,758,621,1377
701,1169,2468,168,150,319,1831,1778,3608,171,292,459,161,105,268,38,65,103,370,462,833,2671,2468,5139,60367,60730,121093,7701,5967,13672,70739,69165,139902
702,426,926,107,67,176,776,716,1499,60,121,180,51,68,114,18,17,35,129,206,326,1459,1609,3061,37725,38171,75894,5694,4444,10147,44878,44224,89103
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,10,70,23,0,24,87,10,99
799,10,27,10,5,17,31,15,49,0,0,0,4,0,3,0,0,0,4,0,7,56,42,99,1037,1010,2046,731,622,1355,1824,1674,3500
801,7739,14629,449,468,918,8786,10551,19340,1196,2318,3511,1475,1698,3173,192,297,493,2863,4313,7180,9243,11508,20749,204677,209178,413859,10098,9178,19280,224018,229864,453890
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,4,5,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,4,19,7,26,224,225,450,94,35,127,337,267,605
901,87,179,20,17,41,125,129,257,14,14,32,17,13,30,0,0,3,31,27,62,86,88,172,1848,1858,3712,578,316,898,2512,2262,4778
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,0,3,6,4,11
