SA4_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
597,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,34,415,405,27,431,455,58,514
599,37,126,55,179,105,85,185,176,112,281,18,7,26,19,6,22,25,14,41,8,4,13,10,8,21,27,10,36,12,8,18,10,3,13,20,4,17,3,8,10,5,3,9,10,4,13,9,4,13,9,3,5,6,0,7,52,23,72,44,20,66,88,26,114,15,5,24,7,18,28,29,15,42,6,12,16,9,12,22,14,16,30,4282,3010,7294,3535,2417,5950,4639,3416,8055
601,2581,3615,4028,7646,4380,5008,9389,5866,6506,12375,575,672,1249,761,872,1630,892,1086,1980,532,643,1172,707,782,1489,838,967,1803,529,679,1206,652,749,1401,803,975,1778,499,661,1161,596,730,1326,700,859,1554,465,638,1101,545,718,1263,690,780,1471,2601,3295,5891,3266,3846,7116,3910,4667,8583,2049,2800,4848,2129,2852,4975,2655,3362,6011,1516,3040,4551,1906,3369,5274,2116,3516,5631,102882,108775,211657,107929,114421,222356,120521,126562,247086
602,1881,2674,2856,5534,3511,3638,7148,4437,4577,9010,415,512,921,509,602,1112,680,767,1446,418,423,844,513,570,1083,631,752,1384,366,480,851,466,518,984,659,686,1341,368,423,789,455,501,954,530,544,1076,359,375,736,404,453,857,568,602,1169,1924,2217,4137,2338,2650,4989,3066,3353,6418,1400,1830,3223,1514,1850,3368,1932,2253,4176,1025,1937,2955,1227,2139,3368,1467,2274,3742,67272,70287,137558,68768,71713,140485,74337,76859,151195
603,572,844,716,1559,1212,991,2203,1653,1438,3089,137,109,240,178,147,328,253,202,460,129,98,229,162,133,295,222,186,414,102,63,166,149,120,266,212,168,381,102,86,184,120,130,251,170,135,309,85,92,178,118,92,208,160,134,299,546,452,999,730,616,1348,1027,831,1854,319,308,630,426,380,809,537,472,1008,190,295,482,274,324,597,333,394,733,18311,17479,35799,18949,18172,37118,21322,20414,41734
604,1481,2338,2348,4677,2780,2894,5669,3553,3767,7321,358,423,785,471,484,953,595,602,1195,325,396,723,438,459,893,530,584,1117,370,364,745,398,427,826,525,547,1070,275,361,631,377,404,783,471,476,944,271,329,604,320,386,700,399,433,829,1608,1875,3478,1996,2160,4157,2512,2643,5153,1082,1383,2471,1275,1566,2833,1584,1825,3407,786,1475,2257,944,1587,2520,1138,1744,2887,53510,55643,109153,53258,55765,109027,56814,59349,116156
697,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,34,115,52,19,75,13,0,19
699,13,16,14,27,13,9,26,31,36,68,0,0,0,0,0,0,0,4,8,0,4,4,0,5,5,5,0,5,0,0,0,4,3,6,0,0,0,5,0,6,0,0,0,0,3,0,0,0,0,0,0,0,4,3,9,5,6,9,3,7,11,13,8,24,9,3,9,5,0,3,0,7,6,0,0,0,0,0,4,0,4,3,612,460,1075,518,393,911,758,616,1377
701,769,1142,931,2073,1483,1256,2741,2133,1993,4120,157,116,271,253,216,472,309,274,575,152,115,267,210,177,383,255,238,492,97,107,210,135,134,273,240,211,452,98,90,188,144,152,296,211,178,392,91,92,181,111,128,237,203,188,395,593,528,1118,861,804,1660,1215,1086,2307,353,361,718,383,421,804,613,692,1306,167,261,426,269,358,630,370,465,833,62898,57684,120586,71889,64941,136831,70739,69161,139902
702,286,609,529,1140,773,698,1469,979,858,1836,76,81,152,122,93,219,126,121,244,57,63,120,118,108,230,115,89,207,49,72,117,68,51,122,78,96,179,47,59,105,69,59,133,99,74,175,45,44,88,54,60,116,78,67,147,261,322,582,442,374,821,499,445,943,187,203,396,178,261,445,276,279,555,87,176,267,119,191,309,123,198,326,45508,43871,89372,45291,44156,89446,44877,44220,89103
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,16,105,58,12,73,83,15,99
799,14,45,19,67,58,32,89,78,25,103,0,0,0,4,6,12,6,5,8,5,0,7,6,0,9,6,6,12,0,0,0,7,0,8,4,5,6,0,0,0,3,0,3,0,0,0,0,0,0,5,0,4,4,0,5,15,9,17,23,10,32,20,9,32,0,0,0,0,0,3,15,7,13,0,0,4,0,0,0,6,4,7,1020,852,1870,1334,1155,2485,1826,1675,3500
801,3502,4234,4753,8985,5732,6432,12163,7994,9154,17150,711,772,1489,855,1066,1919,1364,1467,2835,688,733,1418,857,946,1801,1155,1330,2480,565,745,1314,792,894,1689,1064,1283,2352,541,659,1199,744,872,1619,920,1112,2037,510,660,1171,649,846,1488,944,1094,2039,3016,3576,6591,3896,4623,8519,5460,6287,11749,2179,2898,5072,2542,3294,5835,3327,4267,7596,1655,3172,4825,2319,3836,6157,2868,4315,7180,176418,180171,356591,195430,201426,396853,224022,229869,453890
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,3,4,5,8,4,5,10,9,5,14,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,3,0,4,4,0,3,6,4,0,3,0,6,6,0,0,4,323,306,631,313,232,541,336,273,605
901,25,38,16,53,91,86,175,157,108,264,6,4,6,20,11,30,11,14,34,0,3,3,12,7,18,15,24,37,0,4,0,20,15,36,15,8,24,0,0,5,12,12,21,18,14,33,0,0,4,7,6,14,7,11,24,10,10,21,68,53,116,78,80,154,5,9,12,27,35,68,49,56,106,5,0,4,21,26,54,36,34,62,1958,1045,3002,2433,2089,4523,2511,2263,4778
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0
999,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,30,21,29,54,6,4,11
