SA4_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
115,121,107,44,16,284,162,156,43,13,381,823,783,299,101,2007,1055,1134,399,128,2714,1649,1803,613,171,4231,1522,1952,564,168,4205,2861,4092,1209,284,8444,5021,8854,2919,760,17544,695,1057,451,173,2369,104,130,51,16,302,14267,20232,6665,1844,43013
116,333,288,147,69,836,465,412,200,103,1186,2142,1966,768,412,5282,2518,2695,894,388,6496,3476,3897,1143,493,9013,2799,3510,957,369,7633,4285,5678,1532,475,11973,3876,5988,1652,569,12084,1017,1230,554,307,3106,196,192,65,40,502,21571,26215,8111,3360,59253
117,164,76,20,8,269,203,127,23,6,359,929,462,122,32,1542,967,580,122,25,1701,1195,835,143,32,2209,1010,720,145,21,1897,2012,1612,303,51,3979,4253,4223,902,121,9498,479,399,107,36,1022,87,43,21,0,148,11565,9219,1934,357,23078
118,89,31,18,9,148,107,68,14,4,192,507,293,88,15,903,598,470,122,20,1211,927,744,171,35,1881,873,765,191,41,1874,1699,1695,373,74,3837,5002,7489,2566,408,15477,614,784,328,113,1837,88,97,40,8,233,10664,12551,3929,734,27879
119,815,638,348,197,1997,1069,896,441,268,2671,3998,3216,1474,789,9484,3828,3140,1321,678,8973,4252,3737,1350,589,9925,3137,3383,1041,413,7975,4363,5209,1732,565,11863,4420,7459,2836,839,15547,1459,1540,773,412,4185,264,302,122,132,821,28857,30476,11948,5248,76527
120,177,112,34,6,324,298,159,36,6,506,1214,688,192,50,2146,1277,915,246,60,2503,1727,1259,294,65,3337,1494,1121,253,53,2916,2540,2454,544,85,5627,5264,7665,2097,367,15393,693,721,229,78,1725,98,95,25,14,233,15127,15395,4017,811,35343
121,195,134,28,3,364,261,191,38,8,509,1183,840,182,40,2245,1459,1094,266,41,2868,2121,1723,379,77,4298,1799,1605,363,69,3833,3627,3925,849,129,8534,9853,15367,4886,832,30941,1170,1446,518,168,3299,127,162,37,10,337,22226,26820,7608,1394,58046
122,86,50,22,10,166,117,76,29,4,225,635,399,114,30,1176,901,698,210,36,1845,1239,1145,346,56,2788,1190,1330,394,69,2980,2217,2775,844,132,5971,4681,9672,3347,572,18278,705,937,435,147,2219,83,91,29,3,207,11999,17279,5810,1072,36150
123,220,200,110,44,565,340,299,141,73,853,1551,1417,598,310,3878,1870,1863,786,390,4910,2458,2550,989,357,6356,1958,2328,865,326,5475,2636,3392,1274,390,7691,2089,3330,1506,517,7439,755,937,474,277,2441,123,126,62,33,346,14308,16691,6930,2802,40734
124,174,120,57,27,375,291,201,102,51,650,1469,1114,455,192,3227,1875,1776,720,297,4664,2427,2539,915,379,6255,2030,2361,873,297,5568,3012,3831,1389,440,8672,2520,3870,1619,526,8542,783,929,477,258,2443,116,127,47,24,311,14961,17044,6726,2524,41242
125,608,549,287,203,1644,936,704,378,228,2243,3156,2749,1160,760,7824,3255,2758,1074,585,7669,3921,3381,1031,496,8834,2739,2698,740,334,6502,4119,4497,1205,487,10301,3987,5675,1710,616,11985,1164,1289,515,350,3327,239,245,125,86,700,25083,25356,8653,4475,63568
126,144,99,30,0,270,239,158,48,8,454,909,633,133,24,1709,966,813,195,30,2009,1363,1219,273,47,2903,1097,1074,239,51,2463,2036,2193,463,89,4777,3358,5383,1581,308,10637,506,593,211,60,1366,75,70,34,8,187,10996,12424,3259,645,27323
127,680,699,464,254,2103,885,950,540,285,2656,3220,2962,1571,879,8636,3013,3181,1497,759,8452,3305,3634,1549,638,9112,2481,3168,1188,518,7356,3228,4710,1761,604,10313,2424,4599,2010,754,9790,1035,1378,710,418,3533,273,273,133,84,754,21535,26553,12102,5618,65806
128,80,54,11,4,144,128,78,27,6,240,605,433,129,37,1202,865,734,273,77,1946,1292,1368,444,112,3212,1303,1514,507,100,3424,2351,3257,1143,190,6942,3348,6188,2423,498,12458,577,802,338,130,1847,69,84,34,7,196,10726,14605,5371,1170,31884
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,123,79,38,18,262,181,133,56,24,388,859,639,301,115,1918,892,957,443,145,2441,968,1203,456,134,2759,808,975,430,91,2312,1019,1409,514,139,3076,790,1215,565,163,2735,453,531,267,133,1388,62,49,15,9,132,6270,7296,3108,981,17656
202,105,73,20,14,219,181,116,54,27,379,771,603,256,103,1738,899,928,387,127,2348,1012,1218,457,147,2834,831,1026,407,114,2376,1106,1421,536,143,3207,754,1198,587,140,2673,487,502,238,113,1333,66,50,28,6,144,6312,7217,2986,967,17477
203,192,107,43,20,363,288,207,59,39,581,1380,1023,381,154,2927,1654,1586,579,211,4034,2080,2388,861,243,5571,1753,2310,761,167,4996,2484,3525,1282,261,7550,2133,3567,1577,345,7628,854,1045,525,165,2584,120,120,41,4,282,13147,16060,6159,1631,37007
204,92,68,34,7,203,177,102,50,19,353,860,664,309,110,1943,961,986,444,151,2542,1157,1336,548,151,3188,903,1034,423,134,2490,1098,1294,548,145,3078,709,967,437,108,2223,584,665,337,128,1722,84,63,25,10,178,6734,7260,3202,996,18189
205,209,134,57,36,442,345,242,114,52,753,1506,1084,521,228,3343,1635,1609,720,258,4222,1678,1967,823,257,4725,1239,1571,668,187,3667,1515,1930,805,244,4491,1155,1633,767,214,3771,966,970,513,223,2678,114,144,44,16,321,10650,11449,5107,1752,28962
206,261,131,43,19,455,361,197,58,34,655,1422,666,175,89,2351,1521,977,229,56,2789,2166,1479,309,89,4043,1900,1511,324,69,3803,3602,3489,640,120,7855,7925,10271,2895,390,21481,1017,1044,393,129,2584,127,117,45,17,308,20749,20162,5204,1077,47193
207,305,248,44,4,606,440,309,71,24,836,1507,1142,261,47,2962,1612,1418,320,58,3402,2020,1861,438,66,4394,1615,1816,447,76,3949,2878,3648,888,132,7540,5480,10552,3558,634,20229,1117,1399,518,135,3172,105,162,41,12,322,17741,23033,6703,1206,48678
208,179,104,28,10,320,291,175,39,25,525,1217,825,197,83,2318,1454,1274,313,99,3142,2086,2065,472,83,4705,2043,2305,550,99,4994,3618,4661,1237,208,9718,6780,12933,4440,711,24872,1014,1396,637,195,3241,136,177,63,16,397,19199,26167,8041,1554,54958
209,477,391,174,69,1112,732,578,211,115,1648,2973,2508,853,340,6670,3344,3537,1086,340,8304,4012,4652,1404,358,10426,3348,4180,1225,279,9033,4833,6717,1970,420,13937,4329,8054,2788,566,15732,1366,1775,664,314,4119,244,248,104,25,624,26327,33212,10728,2986,73257
210,438,489,286,202,1416,685,672,376,209,1946,2670,2495,1193,611,6973,2748,3000,1120,524,7396,3135,3608,1185,508,8433,2438,2963,982,317,6702,3297,4513,1391,422,9620,2745,4779,1735,513,9778,1032,1300,625,361,3315,224,255,120,74,675,20119,24830,9465,4071,58480
211,333,295,73,25,727,539,408,131,39,1117,2481,1957,594,184,5220,2988,3075,931,271,7257,3909,4311,1266,340,9822,3522,4322,1290,282,9419,4987,7111,1993,412,14503,4761,8136,2902,628,16429,1439,1743,775,268,4225,184,185,82,26,470,25669,31921,10143,2499,70230
212,922,729,312,207,2168,1435,1237,521,293,3480,5924,5129,1916,907,13880,6215,6628,2174,923,15937,7101,8147,2432,872,18559,5390,6781,2059,621,14845,6751,9358,2622,790,19519,5318,9267,2855,873,18319,2314,2832,1199,701,7048,394,412,144,66,1018,43133,51639,16700,6555,118031
213,917,796,349,185,2245,1408,1244,542,284,3476,5480,5093,1884,868,13324,5877,6157,2034,890,14962,6982,7754,2230,751,17709,5220,6282,1758,585,13848,7027,9311,2469,763,19564,6403,10259,2943,774,20369,2147,2493,1152,699,6484,405,421,135,70,1023,43245,50897,15988,6194,116327
214,140,84,32,10,273,223,159,55,21,460,1251,926,355,108,2654,1532,1581,586,155,3855,2037,2283,737,163,5222,1755,2191,715,155,4811,2333,3231,1051,212,6823,2035,3397,1354,305,7100,837,1018,462,179,2506,116,126,40,18,299,12490,15122,5458,1344,34416
215,134,79,45,9,265,188,113,92,35,425,788,672,347,148,1961,878,850,392,140,2266,927,1000,443,141,2513,690,733,354,87,1862,751,836,379,121,2085,490,611,329,103,1542,466,514,276,145,1399,67,56,33,18,175,5536,5589,2741,986,14844
216,102,87,36,42,267,147,99,76,45,361,696,551,270,143,1660,785,805,353,174,2113,830,910,367,124,2234,648,724,333,107,1816,678,877,423,109,2083,428,675,360,103,1566,381,473,210,124,1186,64,62,24,19,171,4895,5361,2511,1041,13807
217,80,57,26,8,170,135,77,45,17,273,675,487,235,96,1498,721,728,350,118,1921,808,862,352,132,2162,617,697,298,97,1710,667,817,405,100,1995,423,657,374,109,1567,397,389,291,99,1179,57,47,27,6,135,4680,4899,2424,808,12805
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,139,72,28,10,241,182,104,38,17,347,928,579,250,99,1858,1181,1095,370,143,2783,1649,1776,537,156,4115,1482,1791,547,155,3974,2300,3055,912,222,6486,2285,3863,1250,331,7738,790,878,385,152,2207,79,84,19,11,193,11141,13393,4375,1318,30228
302,106,72,19,20,213,182,120,35,24,362,904,630,163,67,1762,1126,922,275,101,2419,1512,1404,396,122,3432,1381,1472,418,97,3360,2175,2737,693,141,5738,2292,3755,1218,227,7493,619,690,265,122,1690,60,56,16,5,135,10497,11946,3527,930,26900
303,277,218,81,36,615,449,334,87,67,937,1809,1457,429,176,3878,2023,1801,554,210,4581,2558,2395,716,205,5877,1978,2310,689,196,5175,3287,4330,1067,270,8958,3707,6219,2058,433,12414,959,1174,465,204,2799,76,124,28,19,250,17608,20664,6302,1888,46465
304,75,70,17,4,166,139,84,33,3,258,503,385,117,43,1045,747,644,200,59,1651,918,1069,294,71,2356,915,1188,350,88,2540,1806,2545,799,133,5287,2831,5215,1827,364,10235,536,727,312,107,1682,43,52,17,0,117,8645,12091,3989,879,25600
305,91,55,11,3,159,123,68,18,3,209,611,306,81,15,1017,687,473,98,29,1292,1047,745,175,27,1999,874,684,188,36,1776,1850,1789,447,79,4164,4142,6487,2442,472,13540,604,628,310,94,1634,49,44,13,4,116,10249,11377,3808,768,26205
306,168,136,59,39,405,286,191,86,59,624,1078,955,397,221,2650,1269,1208,503,231,3212,1420,1487,499,212,3624,1123,1280,430,142,2967,1405,1723,592,171,3891,1024,1354,517,128,3026,997,1071,478,257,2810,100,84,44,21,242,9096,9651,3650,1533,23928
307,97,73,44,29,244,155,108,65,39,363,664,534,289,165,1652,646,684,338,181,1854,693,726,384,160,1963,482,556,270,87,1400,547,647,315,99,1612,385,453,237,93,1163,561,684,386,179,1803,70,34,23,12,144,4426,4579,2394,1061,12462
308,136,96,28,17,282,188,117,54,45,401,828,564,307,151,1860,961,881,421,188,2450,1138,1474,595,237,3442,964,1345,494,200,3005,1432,1962,779,258,4445,1304,1826,730,228,4091,1182,1453,722,296,3647,115,84,36,21,263,8421,9913,4221,1661,24219
309,404,298,103,45,848,635,447,159,55,1295,3155,2383,805,328,6667,3630,3397,1104,399,8531,4421,4559,1369,392,10740,3488,4096,1189,333,9102,4518,6051,1777,457,12804,3996,6366,2155,581,13106,2013,2351,1046,375,5781,254,266,96,33,642,27189,30664,9936,3051,70835
310,292,204,109,87,696,458,379,171,119,1134,2031,1688,735,522,4972,2239,2292,961,548,6035,2719,2794,1136,512,7163,1962,2268,815,346,5401,2502,3252,1130,405,7290,1553,2454,861,307,5177,1092,1283,624,430,3431,142,114,51,42,352,15354,17002,6726,3459,42549
311,299,250,128,90,764,493,374,194,151,1214,2129,1736,866,581,5321,2334,2153,961,604,6055,2641,2750,1064,537,6987,1974,2257,814,395,5441,2310,2905,1049,419,6685,1492,2125,864,361,4836,1107,1199,616,452,3368,152,126,84,45,400,15259,16178,6812,3772,42021
312,78,45,22,15,161,128,52,29,20,241,500,401,153,75,1140,693,648,296,109,1748,897,1017,444,151,2516,806,1007,418,130,2366,1185,1586,679,197,3646,1164,1632,721,196,3711,1046,1372,621,219,3260,88,70,23,6,186,6691,7884,3443,1127,19150
313,173,132,47,32,386,270,162,78,45,555,1292,938,418,222,2868,1494,1410,583,281,3770,1714,1711,659,311,4396,1293,1492,545,187,3513,1559,2017,762,226,4569,1108,1510,578,206,3398,947,890,485,272,2586,83,71,52,25,228,10110,10442,4248,1829,26633
314,109,78,25,16,230,194,139,67,22,415,951,799,296,128,2182,1306,1302,539,213,3355,1695,1937,628,217,4472,1500,1823,602,160,4091,1995,2967,912,260,6138,1760,3122,1098,307,6286,683,863,381,163,2085,72,61,34,9,172,10375,13186,4620,1514,29696
315,73,64,34,38,208,90,76,45,39,245,271,237,146,107,757,242,232,134,83,695,320,302,182,88,898,250,299,130,62,740,405,449,218,81,1148,372,422,205,60,1061,360,381,253,188,1174,62,49,19,30,159,2585,2597,1406,810,7396
316,211,120,47,23,401,385,231,89,38,737,1814,1409,456,153,3827,2120,2187,757,225,5284,2516,2816,936,253,6516,1953,2569,822,200,5538,2505,3499,1124,280,7413,2241,3571,1314,346,7474,1499,1844,802,256,4401,140,157,51,18,366,15640,18600,6459,1807,42506
317,100,72,35,43,249,170,103,49,43,371,698,536,240,193,1668,813,817,344,195,2163,1042,1044,440,214,2742,815,932,379,133,2267,983,1211,526,170,2890,699,1094,528,182,2502,558,656,323,170,1708,39,41,14,5,97,6009,6577,2948,1413,16946
318,113,68,30,37,257,164,125,43,46,378,807,526,279,164,1780,1062,937,416,205,2623,1397,1362,512,186,3457,1205,1357,505,187,3251,1624,1909,703,212,4442,1236,1698,656,192,3786,1077,1174,502,227,2986,89,61,25,10,187,8901,9295,3709,1501,23405
319,307,169,88,45,611,459,253,124,85,918,1804,1173,556,323,3860,1554,1390,663,317,3929,1552,1620,643,275,4095,1117,1238,472,181,3003,1241,1545,537,232,3551,756,999,407,123,2277,1122,1123,517,253,3018,132,77,42,24,276,10366,9781,4137,1910,26193
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,135,126,31,9,296,299,204,59,19,585,1229,888,264,63,2442,1366,1306,360,92,3123,1797,1941,523,115,4373,1560,1892,541,110,4107,2356,3394,931,198,6880,3232,5736,2013,392,11366,916,1220,480,158,2770,62,59,22,6,150,13196,16929,5264,1166,36557
402,453,337,182,137,1106,723,569,258,185,1744,2988,2422,1008,539,6961,3007,3164,1128,520,7820,3562,3888,1224,476,9149,2550,3069,945,352,6916,2868,3794,1158,371,8190,1643,2616,909,285,5451,1399,1506,673,392,3969,142,125,45,37,348,19850,21953,7758,3515,53070
403,229,138,44,26,437,376,222,82,24,707,1784,1369,431,147,3729,2136,2030,671,201,5036,2710,2843,776,201,6535,2257,2791,775,158,5986,3019,4123,1167,238,8560,2382,4207,1336,300,8215,1186,1470,623,221,3501,87,87,37,7,220,16433,19475,6009,1550,43473
404,184,124,40,25,370,302,170,79,26,577,1341,925,257,121,2639,1420,1274,351,111,3160,1722,1678,406,99,3897,1423,1660,421,82,3586,1895,2465,585,125,5072,1450,2439,739,149,4776,660,757,268,124,1812,72,53,23,5,157,10727,11716,3222,895,26562
405,101,44,28,20,206,129,89,43,28,284,588,455,228,109,1377,546,562,301,114,1526,634,686,312,103,1734,478,542,254,67,1347,513,692,304,86,1603,339,477,201,76,1086,475,522,290,127,1414,45,33,12,9,97,3945,4172,2003,751,10864
406,76,58,34,14,181,73,62,25,19,179,332,280,134,70,817,338,361,150,44,897,418,432,172,48,1072,310,396,168,60,927,401,508,254,51,1211,275,406,186,40,911,397,393,194,99,1083,39,23,21,6,95,2769,2977,1381,462,7595
407,159,108,62,21,349,238,164,76,38,513,1041,879,416,168,2503,1056,1116,496,201,2868,1088,1234,516,147,2986,757,845,365,128,2101,770,950,375,106,2197,526,700,315,89,1634,684,738,396,165,1974,64,49,27,11,147,6529,6889,3101,1094,17617
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,102,69,30,14,216,165,117,40,22,341,750,557,249,103,1660,866,931,384,110,2292,957,1307,473,144,2889,842,1161,431,115,2548,1112,1598,607,128,3443,888,1259,517,165,2830,1101,1445,632,221,3400,62,60,25,14,157,6989,8574,3418,1044,20035
502,68,46,20,4,135,101,59,28,18,209,435,264,114,44,845,406,405,155,67,1030,513,500,239,87,1337,415,518,169,46,1143,612,804,289,80,1783,576,836,303,76,1790,712,889,382,146,2126,35,33,12,3,81,3946,4407,1726,576,10656
503,51,32,12,0,106,69,49,18,0,140,353,201,57,9,619,447,317,80,10,854,605,510,138,27,1271,493,504,133,31,1159,1049,1237,300,34,2623,3088,5118,2012,306,10527,562,714,319,90,1685,24,36,13,0,84,6875,8804,3096,514,19293
504,155,155,37,37,384,252,198,92,44,589,1300,1068,359,173,2898,1507,1546,517,221,3780,1922,2165,646,220,4950,1628,1867,567,176,4249,2308,2741,827,221,6101,2033,2946,942,295,6221,1538,1707,737,335,4313,91,99,36,24,248,12966,14659,4833,1790,34242
505,326,260,107,55,755,481,392,148,89,1106,2268,1788,634,311,5003,2805,2821,965,318,6910,3655,3959,1259,366,9245,3232,3946,1159,295,8624,4918,7015,1921,427,14278,5503,9694,3066,657,18923,2917,3818,1557,526,8821,227,210,58,46,537,26846,34245,11005,3205,75306
506,348,279,138,74,838,592,453,185,121,1352,2571,2153,775,432,5927,2893,3155,1043,454,7538,3570,3969,1360,477,9379,2824,3506,1021,333,7684,3971,5235,1689,466,11360,3983,6052,2043,565,12641,2493,3045,1273,535,7347,151,153,40,40,385,23936,28393,9748,3602,65678
507,238,170,43,34,490,342,246,79,44,719,1579,1186,389,172,3327,2054,2012,718,256,5041,2679,3016,1056,322,7073,2404,2955,898,237,6491,3764,4879,1535,360,10531,4142,6737,2353,522,13755,2356,3056,1313,433,7159,129,118,51,15,313,19999,24598,8513,2436,55548
509,101,46,36,19,202,136,82,43,25,291,538,464,255,99,1351,555,657,300,138,1647,614,761,313,113,1811,539,612,278,80,1514,637,778,316,107,1839,511,629,291,81,1515,764,898,498,179,2333,46,31,29,11,116,4555,5051,2391,870,12872
510,79,55,39,20,195,66,49,38,28,175,150,106,71,54,378,174,163,75,49,467,318,303,155,56,829,293,334,143,61,833,514,743,340,98,1699,779,1137,513,148,2579,355,477,219,116,1170,48,57,19,17,128,2914,3516,1672,679,8781
511,54,45,23,21,138,93,52,21,20,188,317,249,108,53,733,428,409,163,71,1070,556,637,253,89,1532,444,572,235,66,1315,680,877,363,111,2037,706,872,362,114,2055,634,747,357,150,1884,41,44,12,12,114,4043,4561,1937,723,11267
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,190,107,35,28,354,323,166,62,37,595,1258,858,302,127,2549,1396,1142,407,169,3112,1755,1472,525,143,3884,1365,1432,450,127,3377,1702,2148,667,143,4650,1396,2184,710,193,4482,730,854,367,186,2143,53,32,16,3,107,10398,10516,3590,1179,25680
602,139,101,50,23,311,208,144,70,35,458,891,664,289,114,1963,901,825,325,134,2177,951,972,319,133,2371,681,774,248,103,1808,777,988,365,89,2221,541,787,299,76,1697,517,517,217,110,1366,46,25,10,6,80,5806,5881,2230,836,14752
603,56,22,12,8,96,75,53,27,8,160,286,216,102,54,652,236,285,90,37,648,244,224,82,36,583,182,208,70,30,488,187,168,71,32,456,99,119,60,14,292,181,178,73,49,474,12,6,8,0,30,1608,1504,604,264,3981
