SA4_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
120,20871,3396,1184,25450,11565,3949,1040,206,16760,416,174,589,17345,2783,901,21032,11164,3778,880,161,15981,452,180,632,16606,3055,722,20393,9767,3563,979,153,14459,408,182,589,15047,3231,666,18947,7984,3510,974,133,12590,375,170,546,13137,4282,639,18061,4822,2973,810,92,8694,305,187,490,9184,5780,577,15544,2084,1938,435,53,4514,91,100,191,4705,8130,527,13362,666,1029,220,32,1956,10,41,49,2002,9094,544,11644,220,521,111,33,892,9,15,23,908,18457,2043,21406,95678,45823,14385,2417,158306,4546,3621,8171,166475,79702,12802,258984
121,28542,3879,1122,33541,19601,6041,1212,305,27161,578,254,837,27996,4005,923,32925,18679,5774,1009,201,25664,597,264,860,26526,4093,813,31422,16276,5663,1019,195,23154,605,256,857,24016,4422,744,29178,12608,5176,1022,147,18951,550,260,806,19760,5406,637,25799,7711,4890,892,96,13593,375,263,637,14230,7863,622,22710,3337,3548,584,52,7523,122,158,281,7796,11444,625,19867,1283,2280,347,39,3948,23,71,95,4037,13911,588,18539,537,1557,185,56,2339,10,45,52,2390,30212,2339,34941,138256,61202,15795,2220,217473,5043,3953,8997,226464,109840,11543,347853
122,14648,1798,637,17078,10337,4261,866,163,15626,231,103,336,15955,1885,580,18426,11833,4529,804,148,17314,296,139,434,17749,2165,605,20517,10593,4430,927,129,16081,307,135,441,16513,2406,565,19492,8267,4289,849,124,13531,290,151,445,13978,3052,478,17513,4799,3657,728,65,9252,190,153,340,9590,4896,487,14968,1908,2420,466,37,4837,52,83,137,4973,7161,403,12539,627,1292,235,25,2178,12,32,46,2224,9018,430,11674,236,804,136,41,1215,6,12,23,1242,20600,1903,23743,78987,44098,11640,1502,136223,2386,2126,4513,140732,65932,8156,214822
123,17637,4274,1223,23133,9463,3972,1317,281,15033,416,170,584,15616,3558,988,20159,9359,3656,1275,211,14498,375,151,516,15017,3480,909,19409,8034,3087,1190,192,12502,333,128,461,12965,3581,734,17284,6873,2903,1197,160,11136,267,116,385,11518,4444,739,16700,4580,2470,1040,110,8198,206,133,328,8529,6423,583,15545,1724,1301,484,63,3572,66,47,112,3678,9010,566,13255,412,520,159,24,1116,5,13,23,1141,9453,618,11206,104,206,64,23,400,3,3,10,408,12921,1861,15198,75229,38596,16539,2574,132941,4151,2656,6803,139743,78885,12325,230946
124,18762,3876,1213,23849,10949,4501,1314,225,16986,339,173,513,17502,3321,1075,21896,11021,4168,1220,221,16630,366,140,507,17139,3506,1006,21646,9984,4070,1215,184,15453,334,146,480,15935,3801,925,20661,8423,3819,1239,160,13645,324,122,450,14098,4649,816,19564,5752,3573,1128,118,10571,296,188,487,11057,7480,657,19198,2121,1969,583,45,4712,69,76,146,4863,10990,653,16513,543,870,217,28,1656,12,28,44,1694,12157,691,14546,163,398,97,33,693,0,11,16,709,17759,2124,20590,89479,46848,17047,2541,155914,4255,2759,7011,162929,88437,13900,265262
125,31487,10520,3107,45111,14604,5303,2152,462,22526,927,372,1290,23816,8582,2328,34730,11543,4432,1973,333,18278,727,287,1014,19292,7821,1794,28914,9751,3953,1860,306,15865,675,309,984,16853,8235,1615,26709,8300,3541,1952,277,14068,604,298,899,14970,9165,1468,25605,5305,2950,1464,167,9888,462,314,778,10666,10998,1327,22991,2088,1621,698,76,4480,120,111,240,4719,13223,1122,19060,582,654,272,38,1541,19,26,46,1591,12946,916,15455,147,311,104,42,601,4,14,19,621,23570,2683,26875,114450,57872,24676,5214,202211,9236,6052,15283,217494,153879,27652,399020
126,14206,2384,699,17292,8186,2744,650,136,11706,319,158,481,12185,2000,509,14690,7101,2390,552,114,10155,289,123,414,10570,1962,394,12926,6107,2334,618,77,9130,262,121,377,9512,2103,378,11992,5220,2344,609,87,8257,225,97,323,8585,2943,402,11931,3171,2018,559,60,5809,160,151,313,6122,4333,348,10803,1303,1289,312,35,2943,54,62,119,3061,6135,307,9502,441,646,111,11,1214,9,28,39,1257,6380,305,7943,147,360,68,18,593,0,16,16,606,12809,1486,14898,61675,28534,8979,1415,100598,2943,2285,5227,105821,54750,7041,167614
127,22164,10150,2186,34505,11222,4701,2109,383,18416,724,371,1091,19510,9540,1916,30961,10736,4661,2243,361,17996,772,370,1137,19137,9491,1667,30284,9619,4150,2261,377,16400,619,348,964,17369,10356,1499,29229,8224,3669,2189,279,14359,552,384,936,15297,11709,1575,28581,5545,2842,1635,205,10227,465,338,807,11031,13746,1361,26140,1955,1362,747,83,4149,107,107,215,4362,15326,1152,20836,439,484,221,31,1180,10,26,36,1216,14119,1083,16414,125,191,93,18,427,6,7,13,442,21993,3228,25669,94430,48469,25872,4248,173019,7579,5375,12963,185978,165862,23590,375436
128,13167,1512,524,15200,8383,3659,811,128,12986,179,92,271,13255,1582,452,15294,9087,3802,915,108,13905,219,101,317,14228,1771,461,16453,8274,3458,850,100,12680,227,87,317,13000,1923,439,15359,6642,3364,963,110,11082,212,130,339,11425,2779,359,14561,4279,3068,805,65,8226,145,136,280,8503,5073,326,13908,1620,1803,496,46,3965,30,71,100,4065,7697,316,12078,475,873,195,12,1563,5,18,27,1589,8844,371,10801,170,452,110,29,762,3,14,17,774,17630,1865,20271,67426,36652,11738,1288,117099,1978,1757,3736,120830,59616,6748,187196
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,344,221,388,954,123,64,27,7,221,47,20,71,293,223,384,902,117,62,26,3,219,49,14,62,282,247,341,877,90,72,23,13,195,36,16,56,247,263,290,801,98,71,26,11,207,21,14,37,245,313,283,844,55,63,14,6,134,23,20,46,174,456,175,808,22,36,5,3,68,11,3,10,79,418,142,637,3,15,0,0,19,0,0,5,21,337,54,415,4,0,0,5,6,0,0,4,8,248,73,323,1229,910,284,87,2511,419,224,647,3161,3630,3319,10112
201,8237,1529,562,10326,4993,2542,305,79,7915,182,112,295,8209,1439,534,10181,5416,2617,288,116,8444,178,103,282,8718,1692,606,11017,5341,2601,357,120,8420,179,103,286,8702,2144,639,11488,4528,2747,455,97,7836,162,118,280,8111,2763,605,11473,3143,2544,453,79,6218,135,107,246,6465,4442,573,11479,1113,1410,232,44,2801,30,67,94,2895,7551,607,11057,365,662,77,45,1144,6,16,23,1167,8187,626,9977,182,313,57,49,596,4,6,11,606,13280,1642,15522,43769,29238,4543,1294,78847,2000,1722,3730,82575,51581,8701,142855
202,8054,1417,566,10039,4754,2623,281,92,7757,128,81,207,7963,1336,563,9862,5329,2491,282,120,8224,150,90,239,8465,1458,625,10542,5064,2589,362,107,8117,151,101,252,8369,1821,612,10799,4353,2747,444,101,7642,147,120,261,7905,2513,627,11042,3040,2669,494,96,6296,127,145,265,6562,4267,633,11460,1207,1578,239,49,3066,27,52,82,3152,7107,585,10840,331,674,86,29,1116,4,23,30,1147,8050,574,9765,185,353,36,58,637,0,8,12,641,13418,1641,15703,42046,28925,4404,1255,76625,1609,1629,3242,79864,49300,8531,137698
203,18419,2805,965,22190,10120,5296,665,219,16305,256,194,453,16758,2412,912,20084,10836,5150,568,201,16756,330,168,504,17257,2668,927,20850,9837,4778,636,211,15458,308,171,480,15938,3119,819,19878,8225,4937,761,159,14085,274,179,452,14529,4361,812,19706,5282,4581,727,139,10731,197,196,392,11126,7933,817,19874,1870,2770,420,76,5140,67,96,160,5296,13002,884,19186,502,1192,146,46,1884,13,29,40,1930,14496,993,17425,233,544,69,65,904,5,26,32,934,24407,2519,27861,87307,58741,9178,2344,157566,3349,3452,6807,164369,90810,13506,268681
204,8246,1394,694,10326,5138,2486,322,131,8075,133,81,215,8295,1309,638,10245,5718,2624,331,149,8822,165,91,248,9077,1433,731,11242,5988,2785,416,182,9371,160,97,259,9631,1843,754,12222,5474,3023,565,137,9199,174,122,291,9495,2740,791,13026,3977,3172,571,110,7828,135,143,278,8106,4920,854,13878,1744,1984,350,98,4180,48,67,112,4294,7997,785,13079,707,991,94,53,1848,8,12,14,1870,9246,773,11887,443,570,86,97,1194,3,10,13,1207,15534,1771,18511,48813,30124,4993,1828,85750,1653,1386,3041,88794,54021,10468,153276
205,12922,2663,1262,16852,7135,3825,524,227,11711,263,162,427,12136,2407,1132,15675,7910,4164,477,238,12799,326,169,499,13298,2610,1154,17062,8223,4550,643,256,13675,348,204,552,14228,3630,1254,19108,7608,4877,892,219,13603,341,225,571,14172,5507,1313,20989,5468,5020,925,183,11604,320,272,598,12196,9584,1426,23202,2257,2950,477,141,5823,81,112,193,6017,15292,1395,22707,850,1339,166,91,2440,13,29,37,2475,16923,1425,20829,456,805,110,117,1494,3,22,28,1520,26267,3237,31024,69043,47813,7754,2819,127425,3553,2701,6254,133680,98307,17826,249821
206,49914,5354,3284,58549,24782,8221,1262,317,34575,930,392,1326,35901,4333,2306,42540,20861,7304,860,245,29266,863,382,1245,30518,4557,1946,37024,18787,6868,789,234,26677,823,373,1202,27877,5292,1810,34977,14162,6171,834,173,21340,673,381,1056,22391,6280,1634,30299,8668,5563,734,131,15100,474,345,821,15917,9492,1405,26809,3485,3667,470,70,7695,132,170,303,7995,12732,1163,21898,1298,2162,201,42,3701,35,79,111,3818,14055,1083,18950,506,1125,131,73,1832,15,30,47,1885,27972,2887,32740,233869,114255,18404,4381,370901,10341,9613,19956,390856,127701,31505,550062
