SA4_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
111,0,24,712,953,964,841,455,179,38,4171,0,11,178,304,359,393,130,42,3,1410,8,870,3818,3222,2472,2214,1010,399,109,14121,17,457,1549,2062,1968,1627,873,445,130,9141,424,2742,6260,6819,7663,6412,4407,2387,688,37809,104,245,316,195,152,120,85,26,7,1253,27,107,212,208,271,403,248,132,28,1644,558,3100,6792,7220,8094,6937,4739,2549,726,40702,18,74,195,207,254,269,204,105,38,1360,974,777,1336,1475,1660,1547,1470,1500,695,11431,1574,5308,14581,15453,15771,13830,8878,5215,1732,82342,0,25,1020,1342,1114,1019,678,276,66,5533,0,18,237,344,367,479,252,58,16,1775,7,983,4365,3701,2669,2547,1519,575,150,16528,54,495,1736,2243,2339,2017,1263,499,178,10825,389,2636,7260,6503,7533,6923,5270,2718,881,40093,127,247,272,203,148,130,98,39,17,1278,49,142,256,334,408,492,534,254,71,2538,556,3029,7787,7045,8089,7538,5905,3003,958,43912,11,43,137,145,142,148,170,94,36,925
112,0,11,115,280,412,523,235,96,11,1689,0,8,76,171,267,330,91,30,4,978,6,228,1142,1805,1691,1726,738,303,95,7739,14,146,574,1017,1190,1212,695,336,87,5278,246,1226,3187,4095,5184,4442,2788,1530,440,23142,95,164,171,133,117,139,53,23,5,894,26,50,148,141,200,271,141,62,19,1059,365,1446,3503,4374,5493,4855,2978,1614,463,25088,14,41,114,146,207,250,151,97,38,1053,726,476,795,1009,1316,1303,1154,1189,564,8523,1128,2361,6320,8804,10578,10205,6041,3663,1258,50346,0,9,198,404,473,575,491,127,40,2298,0,9,79,219,253,365,220,52,10,1205,0,205,1262,1902,1856,1945,1316,456,138,9082,21,126,710,1096,1328,1457,1032,397,127,6298,248,1257,3565,4107,4651,5107,3737,1831,559,25055,73,131,176,136,134,123,82,22,7,886,36,68,197,212,289,383,339,170,57,1746,351,1462,3939,4452,5083,5609,4158,2021,619,27688,13,29,45,87,83,112,135,71,27,601
113,0,5,106,221,243,206,90,36,7,909,0,5,49,93,121,115,39,11,0,435,0,211,906,950,670,590,232,76,20,3660,4,88,411,608,668,527,254,100,35,2689,281,1361,2752,2792,3126,2290,1224,522,125,14475,72,96,142,96,79,47,21,9,0,561,25,53,107,100,112,125,65,23,12,616,372,1503,2998,2991,3324,2462,1312,553,134,15648,13,26,86,92,81,115,48,40,4,514,547,506,918,960,976,862,803,653,225,6455,942,2352,5480,5906,6090,4878,2775,1478,425,30313,0,6,163,249,253,230,135,42,17,1104,0,8,85,113,108,126,47,14,3,502,9,215,1100,1055,743,668,334,126,39,4289,13,98,530,651,668,631,389,137,30,3152,253,1428,3169,2757,2945,2715,1717,725,184,15883,71,116,141,105,95,67,42,13,0,642,26,63,153,137,167,183,137,53,20,933,349,1603,3468,2997,3206,2965,1895,790,204,17464,6,16,62,45,41,51,50,28,8,304
114,0,0,67,190,294,324,255,112,12,1258,0,6,42,76,129,171,77,31,8,531,0,103,428,796,843,1008,709,306,85,4275,7,100,309,711,820,782,614,292,65,3691,156,881,2063,2564,3210,2862,2475,1260,311,15778,57,77,96,62,88,63,43,13,3,499,16,40,52,93,131,175,134,59,13,711,221,997,2211,2724,3425,3093,2655,1338,330,16990,15,24,43,85,133,140,152,68,15,683,487,355,595,704,876,821,858,857,334,5895,734,1585,3693,5282,6518,6344,5318,2996,846,33315,0,5,126,256,313,429,436,183,35,1780,0,5,63,103,118,222,168,48,6,740,3,111,632,787,814,1143,1037,438,112,5069,16,86,388,726,894,859,853,382,102,4314,154,961,2541,2511,3028,3286,2931,1598,406,17422,41,89,104,78,63,70,64,24,0,537,17,40,84,108,187,253,303,153,41,1178,213,1088,2728,2704,3275,3610,3297,1773,450,19139,11,10,37,41,60,78,111,55,22,413
115,0,40,603,1377,1678,1124,424,119,18,5390,0,18,131,298,357,297,95,19,10,1222,7,1037,2502,3406,3414,2677,1049,339,104,14540,33,430,1040,1705,1799,1359,743,237,89,7437,217,1298,2363,3718,3829,2880,1897,721,192,17106,44,88,87,96,110,105,62,12,0,600,30,69,118,166,248,309,207,73,11,1231,285,1449,2567,3983,4185,3298,2163,802,202,18939,19,63,184,235,302,291,192,96,38,1421,540,279,466,670,718,707,575,395,207,4557,880,3320,7487,11673,12458,9766,5238,2009,668,53502,3,70,1055,2197,1980,1470,716,207,33,7738,0,13,109,361,397,390,176,52,10,1505,13,1141,3062,3991,3568,2949,1750,518,129,17116,27,417,1064,1729,2028,1476,1043,356,132,8276,267,1264,2613,3201,3856,2965,2165,1039,277,17644,30,46,82,73,76,73,51,19,3,457,27,86,161,227,285,378,340,131,34,1670,323,1401,2857,3503,4213,3417,2560,1187,320,19775,8,33,107,141,159,153,122,71,22,824
116,0,57,1406,1295,931,521,164,26,7,4406,0,14,235,314,206,121,26,7,3,940,8,882,3663,3542,2562,1618,545,122,21,12954,43,780,2168,2149,1608,929,343,94,19,8149,370,1776,4683,5079,4606,3321,1680,700,128,22342,100,158,281,190,165,99,35,11,0,1043,39,103,262,277,248,223,113,32,3,1302,511,2034,5228,5550,5016,3646,1827,742,131,24687,39,163,438,504,434,367,174,82,19,2222,1167,870,1771,1651,1432,1226,948,633,180,9881,1769,4800,14914,15013,12191,8427,4027,1711,378,63236,0,95,1938,2898,1223,809,324,68,20,7389,0,17,233,480,270,183,85,11,0,1280,16,1201,5037,4997,3030,2159,1043,237,49,17776,66,834,2905,2699,2009,1350,562,161,41,10626,363,1808,4692,4851,4673,3629,2170,961,223,23372,94,161,240,182,164,128,47,16,4,1028,51,120,385,476,420,368,245,80,15,2163,511,2086,5317,5513,5263,4124,2464,1054,238,26571,17,76,247,290,242,166,118,48,9,1211
117,0,224,4433,3185,1844,1188,458,109,20,11462,0,52,695,681,455,256,56,17,0,2223,24,2592,12926,6770,3398,2003,747,269,52,28783,50,1185,3541,2531,1488,870,373,155,25,10220,132,1057,3316,2842,2224,1483,895,431,105,12482,27,106,233,157,102,58,21,3,0,721,6,75,275,289,223,159,66,19,8,1121,164,1239,3828,3290,2551,1697,978,456,108,14322,26,171,548,413,342,253,172,82,20,2027,816,2208,5036,2931,2109,1686,1242,815,262,17107,1079,7676,31007,19803,12194,7949,4033,1908,490,86145,10,315,6208,4402,2462,1599,776,206,46,16012,5,69,847,744,548,373,148,34,0,2779,53,4099,16522,8085,4217,2596,1314,420,93,37405,89,1197,4047,2824,1845,1052,552,201,63,11859,140,1077,4053,2596,2402,1593,1029,502,140,13528,18,95,174,171,116,78,36,14,4,706,27,110,407,340,317,262,169,63,21,1718,190,1279,4637,3103,2840,1934,1229,577,163,15953,36,141,395,249,188,132,100,49,8,1293
118,0,140,2808,2703,2005,1387,729,239,73,10083,0,16,459,484,345,220,100,43,13,1682,15,1905,8597,6236,3875,2776,1252,598,218,25471,36,510,2084,1874,1308,861,474,273,104,7526,86,754,2645,2254,2054,1640,1208,698,259,11604,27,57,139,94,68,54,27,10,6,477,13,68,198,193,181,151,112,39,13,963,124,882,2978,2541,2296,1843,1342,744,281,13045,32,114,327,291,284,263,203,153,80,1742,788,1361,3401,2410,1762,1415,1184,821,439,13572,1000,4942,20665,16538,11875,8760,5272,2874,1212,73130,0,153,3320,3440,2512,1606,1119,380,100,12629,3,36,472,584,412,293,172,86,12,2066,19,2485,9394,6674,4488,3097,1885,728,299,29066,46,475,1808,1893,1476,996,654,269,119,7736,98,608,2810,2116,2007,1598,1306,801,316,11664,17,54,95,89,61,49,38,13,7,422,36,82,265,222,268,244,222,106,40,1498,152,749,3173,2425,2337,1897,1564,917,365,13580,24,98,249,197,161,149,119,69,38,1105
119,0,181,4012,2774,1744,996,343,110,28,10185,0,40,419,478,374,305,103,24,9,1759,32,2285,8981,6346,5039,2877,1196,495,125,27380,86,1817,4528,3703,2952,1800,787,395,116,16199,442,2240,5901,7066,6690,5026,3632,2285,825,34118,100,180,345,296,257,168,80,28,14,1472,30,164,362,459,526,426,246,123,33,2369,577,2587,6606,7821,7474,5624,3959,2434,870,37957,70,312,718,734,770,541,362,267,99,3869,1821,1649,3366,2787,2860,2468,2036,1730,842,19552,2581,8873,28630,24660,21222,14611,8791,5465,2076,116903,0,260,5299,4337,2316,1442,637,196,47,14530,3,44,563,599,445,392,179,57,12,2297,35,3498,12753,7915,5389,3939,1904,753,208,36404,110,1444,5144,4165,3597,2399,1179,481,162,18681,433,2262,5972,6489,6738,5281,3931,2325,892,34317,68,161,309,251,251,152,119,26,14,1341,59,211,566,640,751,680,492,215,70,3677,559,2630,6845,7381,7736,6112,4541,2568,974,39337,45,178,557,428,406,301,216,111,47,2293
120,3,149,3368,2722,1982,1326,498,143,26,10216,0,27,475,600,403,341,97,25,5,1982,8,1615,7749,5937,3945,2647,1011,364,101,23383,37,1040,2485,2168,1592,1104,433,173,73,9115,106,877,2497,2660,2732,1932,1318,758,213,13095,36,87,162,131,116,60,47,5,4,648,13,80,179,249,249,220,128,54,20,1192,152,1044,2841,3037,3101,2215,1492,816,238,14930,29,133,362,394,358,274,147,118,45,1854,696,949,2195,1600,1407,1041,951,861,409,10110,922,4957,19475,16461,12791,8948,4636,2509,892,71585,0,199,4326,3662,2317,1694,898,244,62,13401,0,40,508,635,521,424,207,46,20,2399,15,2533,9686,6786,4590,3106,1678,578,158,29133,58,783,2605,2220,1866,1302,694,234,85,9848,121,788,2618,2394,2664,2054,1501,881,309,13330,22,77,137,114,106,71,51,14,4,590,22,106,258,287,344,300,233,92,29,1674,169,972,3006,2797,3116,2429,1783,987,344,15597,20,96,276,220,215,199,135,61,26,1232
121,0,147,3260,4855,4552,3272,1747,601,158,18606,0,26,623,939,726,635,295,96,19,3359,11,2173,9971,9961,8632,6050,3331,1611,554,42301,46,735,2422,2795,2480,1927,1385,801,281,12875,121,933,2488,2680,2799,2122,1683,927,353,14114,41,89,130,151,141,127,80,35,11,797,33,97,219,267,362,350,282,135,53,1789,193,1116,2838,3094,3295,2599,2048,1096,415,16699,30,98,363,401,368,406,391,273,136,2465,892,733,1924,1674,1454,1248,983,806,477,10195,1173,5040,21400,23723,21508,16135,10188,5291,2039,106505,5,141,4202,6471,5440,3649,2507,985,256,23664,0,25,625,1015,922,690,418,167,41,3900,19,2402,10779,11120,9110,6755,4366,2061,729,47338,60,543,2271,2671,2750,2041,1509,889,376,13111,158,789,2411,2400,2586,2148,1735,1026,422,13678,32,85,114,104,113,87,78,48,13,672,28,80,239,326,408,470,445,254,76,2329,220,956,2761,2826,3109,2709,2257,1330,515,16677,14,72,239,322,306,245,261,162,79,1707
122,3,29,839,1759,1513,905,547,179,48,5824,0,6,239,403,355,319,118,41,15,1498,3,799,3820,5115,3830,2638,1419,598,200,18426,35,471,1616,2313,1820,1399,967,511,180,9322,139,1057,3310,3789,3722,2677,2035,1106,378,18203,33,78,119,125,122,92,81,35,8,685,19,74,176,235,306,310,224,117,32,1491,194,1209,3602,4144,4146,3078,2337,1255,417,20381,4,55,204,231,267,221,187,111,36,1319,541,448,1086,1116,1084,923,787,683,550,7223,783,3019,11408,15093,13013,9485,6355,3384,1448,63990,0,43,1048,2073,2002,1245,807,310,68,7596,0,19,195,460,422,382,242,63,20,1797,10,921,4054,5428,4602,3190,1989,812,292,21311,37,360,1543,2142,2228,1460,1122,547,211,9653,142,1054,3179,3604,3775,2844,2138,1333,441,18517,34,66,94,124,110,92,72,19,9,621,17,76,178,310,384,424,384,208,60,2046,195,1195,3449,4043,4268,3360,2589,1563,515,21179,14,30,113,184,171,159,126,78,41,916
123,0,35,383,551,543,367,124,29,11,2035,0,8,93,154,169,152,46,6,0,634,7,515,1703,1609,1275,1001,354,100,25,6586,36,386,1226,1404,1288,886,341,111,16,5689,380,1938,4671,5101,4899,4064,1879,649,150,23739,87,145,220,152,120,104,38,13,3,883,31,77,154,190,215,263,116,28,8,1081,495,2157,5043,5444,5234,4437,2035,692,162,25694,33,92,259,289,310,267,142,57,29,1479,967,562,970,1064,1115,1015,722,517,190,7116,1535,3764,9677,10510,9929,8127,3764,1516,423,49249,0,33,728,1108,689,505,221,73,7,3363,0,15,139,210,180,197,91,11,0,846,5,674,2370,2170,1489,1231,632,169,48,8793,43,472,1695,1703,1585,1200,586,148,40,7463,381,2024,5280,5195,4897,4410,2733,1063,224,26209,77,130,212,142,123,89,53,13,7,841,35,99,262,331,345,360,295,83,16,1818,494,2252,5758,5672,5365,4863,3072,1156,249,28872,20,45,141,157,128,127,90,32,8,756
124,0,36,387,655,771,706,317,92,19,2975,0,18,119,223,317,361,102,22,4,1174,0,608,2015,2089,1965,1683,642,244,56,9296,39,440,1420,1802,1659,1354,598,240,61,7614,436,2582,5901,5988,5932,4777,2377,924,248,29169,108,191,282,203,161,128,56,11,0,1141,32,92,199,241,276,318,199,71,10,1434,577,2869,6380,6424,6364,5224,2630,1004,260,31745,32,111,330,292,338,378,249,116,53,1901,919,882,1260,1303,1417,1313,996,707,287,9085,1571,4962,11907,12796,12828,11021,5536,2423,735,63791,0,52,793,989,842,856,545,164,21,4260,4,17,146,261,306,371,195,43,5,1338,7,721,2415,2465,1963,1951,1149,351,86,11110,65,486,1765,2007,1925,1648,901,319,60,9173,445,2612,6555,5958,5943,4941,3223,1308,327,31304,74,154,256,176,115,110,83,22,8,992,34,123,311,381,379,476,378,133,43,2242,553,2890,7113,6507,6431,5526,3686,1462,371,34538,24,63,141,173,135,168,128,56,30,908
125,0,223,4527,2649,1717,924,331,85,14,10469,0,29,480,448,305,232,82,34,5,1610,19,1871,8354,5347,3653,2333,1010,372,67,23026,62,1528,3726,2892,2048,1350,688,286,73,12645,334,1822,4571,4646,4428,3541,2459,1346,372,23517,76,169,242,230,179,124,58,23,3,1117,32,133,308,301,342,286,172,76,15,1667,447,2122,5125,5174,4952,3952,2692,1442,396,26299,38,221,712,510,499,416,254,174,71,2891,1431,1792,3968,2717,2316,1735,1299,1142,446,16846,2000,7790,26887,19737,15480,10941,6351,3535,1070,93782,0,220,5565,4996,2053,1381,548,163,26,14958,0,36,534,599,373,327,157,45,11,2074,22,2611,11787,7649,4206,3005,1563,635,155,31628,91,1220,4276,3336,2485,1679,885,370,102,14446,309,1715,4656,4555,4239,3645,2600,1472,511,23706,59,142,266,200,178,110,69,29,4,1059,39,149,455,519,497,462,329,157,50,2644,406,2006,5372,5279,4912,4218,2994,1654,565,27403,33,126,559,460,303,264,178,92,25,2042
126,0,99,1782,1773,1728,1158,460,185,32,7216,0,16,201,315,330,242,79,28,4,1217,11,1247,3990,3373,2898,2143,1008,462,146,15277,44,566,1119,1225,1124,824,426,311,100,5734,79,521,1235,1549,1753,1368,945,688,228,8363,28,37,68,71,72,60,26,17,7,383,8,42,84,113,150,151,121,50,17,746,111,600,1395,1728,1976,1590,1089,758,243,9492,18,58,154,193,192,178,118,112,47,1068,373,442,648,507,548,481,406,434,292,4139,567,3030,9283,9111,8788,6611,3597,2287,874,44149,0,110,2639,2661,1935,1422,799,248,65,9876,0,20,248,315,325,286,141,41,6,1384,7,1557,5299,4225,3097,2454,1453,603,223,18915,28,492,1169,1237,1234,940,590,280,147,6115,78,503,1266,1338,1660,1367,1019,696,296,8210,21,42,62,43,66,49,43,19,4,344,10,66,121,140,191,207,177,96,42,1052,108,608,1448,1517,1918,1615,1234,808,341,9608,3,54,146,161,143,124,109,60,25,833
127,0,52,588,635,541,326,94,23,5,2276,3,17,130,136,142,104,24,4,0,556,16,1088,3372,2692,2028,1322,423,122,26,11089,80,900,2316,2241,1745,912,356,113,18,8685,447,2050,4813,5337,5252,3851,2071,878,155,24855,88,200,306,211,163,105,42,6,3,1124,41,142,323,289,309,219,84,43,10,1463,575,2389,5442,5837,5731,4170,2191,927,176,27434,50,199,474,482,497,353,213,83,21,2374,1556,1032,2035,2036,2288,1807,1428,965,267,13411,2278,5682,14356,14057,12973,9007,4732,2231,511,65827,0,81,1090,1069,704,509,201,39,10,3700,5,27,166,221,166,136,67,11,0,804,19,1597,4598,3430,2418,1770,844,240,34,14951,108,1010,2703,2701,2425,1474,561,214,44,11238,412,2225,5522,5394,5689,4183,2762,1206,289,27686,82,184,308,227,183,113,66,15,3,1181,40,179,444,472,527,434,247,100,27,2469,542,2577,6271,6100,6410,4733,3075,1322,318,31334,23,79,284,289,265,210,112,56,14,1333
128,0,32,461,824,836,665,312,95,16,3249,0,15,139,234,280,272,78,29,5,1051,0,756,2387,2557,2272,1913,693,312,76,10959,50,481,1449,1887,1717,1313,650,287,100,7940,219,1692,3934,4609,4624,3596,2528,1411,387,23006,47,92,106,122,134,124,71,34,7,729,21,74,158,188,259,363,218,96,23,1403,285,1865,4205,4917,5019,4082,2816,1546,413,25142,15,70,193,230,282,305,195,161,47,1503,472,332,799,759,759,709,542,582,318,5263,825,3546,9633,11409,11165,9253,5287,3008,980,55108,0,35,656,1090,1017,847,474,156,41,4309,0,6,173,264,283,362,163,38,5,1302,4,954,2829,2778,2312,2135,1180,401,154,12746,25,370,1469,1980,1939,1529,894,346,117,8671,182,1438,3942,4329,4512,3838,2735,1638,626,23237,28,71,96,89,87,80,74,31,13,570,16,81,187,247,332,374,397,178,47,1855,226,1592,4228,4661,4931,4288,3204,1843,690,25664,13,25,76,93,135,136,129,66,21,698
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,8,9,11,9,6,0,38,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,3,9,0,0,10,0,0,4,5,4,5,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,12,3,0,39,0,0,0,0,0,0,0,0,0,0
199,0,6,73,39,9,17,15,0,0,159,0,0,15,9,13,9,3,0,0,44,0,84,227,109,73,71,28,8,0,597,0,21,68,52,53,55,33,4,0,295,17,82,242,217,201,173,147,14,3,1083,11,17,11,12,5,3,7,0,0,69,0,10,26,6,14,12,8,0,0,66,30,106,277,232,221,187,158,14,3,1222,3,6,27,15,16,15,9,0,0,83,72,141,385,450,468,294,154,44,24,2032,102,361,1067,917,851,634,396,78,28,4434,0,6,91,43,18,10,17,4,0,189,0,3,13,3,12,18,6,0,0,48,0,89,213,96,68,53,45,8,0,572,0,29,69,47,37,46,50,6,0,297,6,92,229,174,182,203,148,15,0,1060,14,16,20,13,4,5,5,0,0,68,3,13,17,17,15,24,15,3,0,104,24,128,263,202,195,232,157,21,3,1236,0,9,13,7,5,4,7,0,0,47
201,0,15,176,256,336,276,164,43,13,1280,0,7,124,190,268,253,101,19,0,962,0,274,1146,1131,888,871,403,135,37,4890,10,162,487,733,735,784,392,158,42,3499,257,1162,2348,2694,2877,2354,1514,649,151,14006,71,104,133,87,76,49,26,7,0,555,15,48,75,97,119,105,49,23,9,539,348,1310,2555,2878,3071,2508,1586,682,155,15094,14,20,45,71,85,97,62,43,8,453,526,349,540,651,813,911,829,736,309,5659,891,2138,5084,5917,6197,5695,3537,1817,557,31830,0,26,282,363,381,372,280,85,8,1799,0,4,114,213,269,283,180,38,0,1108,0,331,1293,1347,1025,887,670,193,44,5795,16,176,651,807,895,863,641,228,45,4324,253,1238,2883,2655,2910,2735,1959,872,239,15742,51,103,125,84,64,67,34,8,0,539,6,50,111,145,164,169,141,56,15,862,316,1388,3119,2884,3144,2975,2131,937,257,17150,7,14,32,34,58,59,68,40,12,319
202,0,5,115,237,283,326,174,38,8,1182,0,12,107,223,268,242,68,19,3,938,5,258,1018,1105,890,842,413,127,32,4686,9,137,405,656,772,860,515,191,63,3615,236,1133,2290,2660,2952,2336,1432,641,150,13822,57,90,102,93,60,38,17,3,0,470,20,40,92,76,100,125,61,29,5,554,313,1268,2486,2824,3104,2502,1511,683,158,14846,3,26,58,65,82,89,66,39,11,445,457,310,606,711,746,792,753,709,336,5413,788,2021,4794,5815,6142,5657,3496,1801,612,31128,0,15,183,330,366,340,289,81,12,1613,0,11,118,259,257,283,180,36,6,1150,5,292,1193,1328,1002,978,673,224,45,5740,7,126,573,741,836,909,720,262,73,4252,198,1206,2872,2539,2941,2765,1832,903,228,15481,38,110,106,90,72,57,36,3,3,510,10,49,115,124,145,174,142,53,22,833,248,1365,3090,2749,3157,2997,2009,964,258,16821,0,19,45,53,54,68,74,46,14,375
