SA4_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
602,179,272,3742,132706,9637,1480,141,11259,7230,151195
603,14,104,733,37212,1528,87,22,1634,2878,41734
604,74,242,2887,104929,4400,428,58,4883,6347,116156
697,0,0,0,11,0,0,0,0,3,19
699,0,0,3,978,70,11,3,86,314,1377
701,199,112,833,93277,30097,3486,399,33982,12647,139902
702,119,24,326,38314,36256,5514,937,42707,8079,89103
797,0,0,0,63,7,4,0,11,24,99
799,0,0,7,1605,567,70,42,678,1214,3500
801,1364,519,7180,323454,101167,11334,1104,113607,16824,453890
897,0,0,0,0,0,0,0,0,0,0
899,0,0,4,400,76,10,0,83,125,605
901,27,3,62,1948,1575,360,30,1970,859,4778
997,0,0,0,0,0,0,0,0,0,0
999,0,0,0,5,3,3,0,5,3,11
