SA4_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
121,17775,13209,8376,5221,2418,508,57739,126,1607,2703,2920,2327,1755,726,157,12320,6404,24630,27560,22535,15651,10230,5334,1783,114134,1421,3930,5816,6978,6136,4892,3025,1208,33401,1754,3591,3594,3952,3685,2456,1561,640,21233,309,220,270,363,366,336,182,60,2109,211,371,627,1177,1388,1420,971,384,6546,2273,4186,4492,5489,5437,4214,2710,1081,29892,117,331,538,553,482,583,462,190,3262,1401,2399,2632,2165,1912,2029,2057,1803,16399,12065,46988,61527,53856,40317,28935,16733,6726,267149
122,5276,5004,3259,1760,765,159,19314,71,693,1198,1545,1244,900,327,57,6038,2788,11663,13042,12539,7972,4787,2275,672,55730,998,3094,4464,5994,4641,3206,1894,575,24872,2001,4254,4495,5204,4720,2887,1887,652,26095,248,168,255,383,377,326,129,43,1930,195,316,553,1036,1288,1135,779,264,5561,2449,4734,5302,6625,6382,4350,2793,953,33585,58,226,277,339,319,316,311,112,1963,1016,1520,1671,1697,1475,1543,1681,1378,11985,7467,24935,31233,33753,25295,16861,10040,3919,153496
123,4150,2073,1221,666,174,28,11243,106,695,878,700,533,386,82,18,3400,2131,8315,8596,5120,3145,1999,591,129,30023,1472,4568,5325,4454,3419,2034,571,120,21962,4371,9476,9073,8153,6657,4130,1591,298,43745,509,598,566,492,445,297,66,12,2984,342,522,767,1009,1111,898,306,61,5014,5220,10591,10410,9652,8218,5326,1962,367,51746,101,227,310,281,287,252,118,25,1603,2233,2772,2818,2241,1989,1939,1647,950,16582,11388,29961,32486,24527,18811,12602,5151,1630,136552
124,3960,2568,2027,1502,437,74,13874,121,811,1042,1073,1028,894,226,30,5232,2252,8755,8695,6280,4697,3660,1271,290,35896,1435,4751,5465,5172,4375,2879,1116,263,25441,5390,11634,10294,9256,7991,4758,1896,434,51655,637,663,643,585,525,355,90,15,3512,363,548,806,1070,1245,1045,487,110,5685,6398,12847,11743,10908,9758,6158,2466,563,60847,104,200,293,269,291,301,199,53,1713,2526,3449,3238,2713,2330,2241,2017,1292,19813,12983,33969,34433,28988,24511,17628,7737,2572,162814
125,14075,5186,3058,1425,455,75,41034,244,1639,1862,1214,859,604,171,28,6631,7099,29231,22561,11211,7383,4258,1675,439,83862,3975,8258,8558,6709,4904,2724,1192,338,36659,3526,7231,7129,6647,5640,3300,1760,604,35846,531,572,586,614,532,317,99,18,3267,438,766,1068,1347,1273,981,482,163,6511,4497,8566,8783,8614,7442,4602,2345,780,45622,277,863,802,519,497,408,211,77,3647,4944,8978,7148,4454,3802,2962,2177,1553,36011,21796,73530,63786,37905,27945,16985,8224,3294,253461
126,8519,4628,3143,1769,636,147,26631,89,778,1004,954,843,632,224,50,4575,3587,13680,12250,8071,6033,3854,1586,533,49601,1000,2396,2981,3235,2821,1987,941,385,15743,1043,2104,1987,2243,2301,1532,862,386,12460,164,151,140,180,256,150,79,26,1142,123,201,322,561,685,648,351,167,3068,1333,2460,2447,2982,3238,2331,1296,578,16669,92,254,281,234,223,251,166,62,1567,877,1751,1532,1053,1108,1021,1015,1031,9388,7260,28831,29024,21159,17411,11840,5864,2789,124166
127,4483,2128,1212,604,152,26,13706,196,970,1010,685,445,256,68,12,3651,5194,16714,12080,7116,4466,2748,788,136,49247,2433,7381,8247,6872,4670,2108,719,142,32568,4526,10108,9638,8900,7107,3926,1731,394,46330,647,681,812,798,617,255,58,15,3891,466,869,1286,1544,1398,800,262,65,6684,5637,11655,11733,11239,9121,4982,2054,473,56904,168,429,483,449,447,324,122,35,2459,4171,5188,5119,4129,4050,3129,2345,1537,29674,18146,47113,43155,32620,24409,14157,6251,2359,188214
128,3382,2566,1814,1128,383,79,11650,97,667,977,960,958,763,185,31,4630,2502,8854,8795,6873,4678,3238,1108,306,36353,1076,3027,4577,5367,4042,2622,1135,376,22223,2792,5553,5684,6416,5886,3800,2196,796,33124,246,237,291,387,411,287,128,40,2028,246,307,603,1050,1250,1176,640,219,5490,3281,6097,6578,7850,7552,5257,2969,1061,40640,58,127,210,244,310,337,235,92,1623,812,1224,1321,1355,1213,1297,1451,1245,9908,7906,22191,25836,25216,20568,14660,7467,3190,127031
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,73,47,50,36,6,0,327,3,24,22,18,19,18,0,0,109,51,361,166,157,120,90,21,0,969,39,125,105,108,138,83,15,0,614,111,276,223,220,279,167,31,6,1326,30,30,17,12,19,9,0,0,127,11,24,27,22,45,34,16,0,176,153,327,268,253,347,211,51,6,1621,3,10,3,8,11,13,7,0,56,461,784,802,685,483,232,73,22,3543,718,1736,1449,1281,1165,680,173,28,7237
