SA4_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
301,16662,24484,17139,13054,17851,10343,7091,10219,1912,118757
302,15273,32464,13766,13350,17219,9478,5803,8857,2034,118257
303,24243,59730,20149,19961,25237,15430,9675,14903,3503,192826
304,15162,35640,8161,10108,12020,7136,2621,4970,1255,97063
305,28098,66171,13478,17308,21633,12606,4351,9320,2664,175617
306,13918,21132,17041,16585,13186,10495,7120,13955,2231,115668
307,10878,6803,7833,5835,6049,4246,5195,8887,1130,56863
308,11379,15592,18302,12192,11589,8472,12265,12690,2125,104599
309,40884,63720,44593,40138,39422,32417,16076,28819,6389,312444
310,16504,27294,22860,22223,21535,13663,15847,19484,3395,162797
311,15259,22020,24763,19147,21641,13523,17552,19917,3581,157407
312,9443,12006,16821,8948,9568,6999,11869,10037,1860,87547
313,11748,15720,17297,15357,14637,10317,9095,14555,2223,110957
314,13699,23723,15456,14185,16587,9795,6727,9086,1856,111110
315,5286,5058,5143,3768,3621,1865,3726,4710,976,34149
316,23441,38792,27872,24680,21948,17723,8799,18017,3258,184539
317,8072,15376,10725,10207,9463,6587,4643,9107,1244,75433
318,12191,20661,16336,17127,13383,9424,8977,11375,2016,111495
319,13334,16505,15801,16420,12520,10710,8978,16750,2294,113315
397,0,10,0,0,0,0,0,17,0,29
399,290,488,386,429,275,208,319,732,98,3219
401,23829,51612,16214,17375,19598,12528,4818,10565,2305,158835
402,20566,34342,29931,29192,27369,18165,17268,25473,4156,206463
403,22223,43513,24863,25526,24339,15905,7986,15406,2906,182662
404,14689,28818,15633,16222,16974,10379,6882,11241,2158,122985
405,8810,6636,6819,5868,4918,3834,3955,6993,909,48741
406,5147,5147,5413,4774,3487,2893,3673,4573,769,35871
407,14088,10260,11489,10485,8213,7252,6030,13696,1601,83108
497,0,0,0,0,0,0,0,0,0,8
499,66,123,106,76,64,57,66,141,27,724
501,10706,13330,15727,10045,8902,7226,8283,11780,1458,87452
502,4220,5961,8240,5890,4434,4029,4937,4721,759,43190
503,16353,40518,7141,10053,10223,6258,2376,5147,1379,99451
504,15403,27107,22271,17397,18537,11430,11700,12937,2449,139231
505,36219,68763,44341,35946,38821,24687,17081,25320,4782,295961
506,27228,57300,39636,31393,33138,20262,22556,24953,4683,261148
507,26124,51324,34174,26572,26970,17400,15035,18759,3543,219901
509,12740,7952,8898,6452,6175,4225,5653,8458,1060,61621
510,4436,6639,8804,4474,4363,2110,5375,4257,1006,41467
511,7135,7827,9786,5890,5900,3967,7145,6243,1039,54931
597,9,33,83,9,10,0,31,98,6,277
599,107,257,272,223,150,77,213,292,33,1614
601,14582,28533,15703,16578,15319,9933,5313,10631,2126,118720
602,8840,12353,9440,9072,7496,6224,5182,8247,1222,68079
603,2760,2724,2697,2123,1816,1138,1247,2569,422,17487
604,6192,7253,7597,6866,5122,4518,4450,7175,937,50109
697,0,0,0,0,0,0,0,5,0,12
699,24,50,48,39,27,21,37,50,11,309
701,9679,16185,10791,10944,10565,5211,4011,5798,1448,74631
702,4104,7270,3915,5789,3492,1715,1507,3160,888,31846
797,0,18,9,5,0,0,4,26,0,56
799,54,107,49,62,46,19,31,107,22,500
801,44363,78121,23848,27111,36128,15185,6002,12362,5261,248388
897,0,0,0,0,0,0,0,0,0,0
899,28,51,25,30,27,21,5,19,0,216
901,364,299,391,333,279,135,135,270,43,2243
997,0,0,0,0,0,0,0,0,0,0
999,0,4,0,0,0,0,0,0,0,3
