SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,10,101,8,1224,16,0,3,11,3,20,0,12,7,67,550,703,26,5,3,13,4,8,0,9,8,180,134,389,3387,1044,162,2821,342,1646,236,1525,314,7365,819,19664
202,15,89,8,1174,17,8,4,19,9,16,4,21,8,80,546,719,10,11,8,12,3,9,5,7,6,156,122,354,3162,1034,160,2658,340,1559,244,1544,290,7277,786,19054
203,21,258,10,3057,23,4,14,30,17,30,6,27,17,125,959,1244,26,13,21,25,10,13,0,14,10,276,193,594,6462,1843,241,5105,691,2812,368,2834,512,13871,1332,36084
204,9,117,5,1243,22,13,6,21,15,18,0,18,13,80,792,999,31,8,15,17,4,14,3,17,3,223,150,485,3983,1317,253,3332,440,1791,350,1794,356,8478,1104,23193
205,37,189,9,1975,44,6,13,32,17,41,5,35,13,161,1180,1542,42,16,29,42,10,26,4,21,10,381,314,899,5187,1911,384,4842,569,2877,446,3174,658,16236,1785,38074
206,59,763,24,18185,81,11,23,41,61,37,27,32,18,78,2120,2517,40,13,30,17,11,13,3,9,12,147,223,526,27278,4839,546,12194,1746,7252,922,4635,702,11957,2538,74609
207,35,651,7,5928,26,12,10,18,8,26,9,19,9,87,948,1169,16,7,9,18,10,10,3,8,9,202,155,446,7176,2042,187,4414,528,3321,314,3072,420,14327,1261,37070
208,58,599,9,7922,40,7,8,15,14,31,13,25,12,113,1031,1315,39,13,12,25,12,22,8,24,6,210,188,560,10763,2134,224,5819,736,3861,392,3456,487,13101,1372,42350
209,20,208,10,4405,40,14,14,29,17,47,11,33,19,133,1155,1513,43,9,18,31,6,25,4,19,11,303,321,801,11133,2192,322,6800,986,4690,513,3426,597,16244,1768,48673
210,10,100,4,2758,31,7,16,22,15,39,14,26,10,114,795,1090,35,7,22,19,4,16,3,12,11,250,236,619,8063,1404,251,4428,720,3466,320,2205,439,11740,1234,34270
211,22,234,5,4493,40,5,15,26,29,41,12,35,15,149,1193,1571,49,5,26,38,7,22,6,28,17,308,246,763,10939,2422,298,7228,968,4719,500,3925,689,18873,1667,52235
212,19,244,13,4280,75,14,42,42,32,82,19,51,42,202,1702,2297,55,14,41,45,22,29,9,25,20,470,520,1255,15112,3230,485,9301,1232,7280,635,4672,835,24915,2673,70370
213,18,125,9,6022,63,13,31,43,36,73,15,33,36,156,1684,2187,65,5,40,34,19,18,8,21,19,385,541,1159,16905,2814,480,8835,1431,7203,622,4032,868,19877,2582,65659
214,28,368,10,2961,21,14,9,25,21,38,6,38,13,110,800,1093,21,11,20,26,10,16,4,24,10,288,245,668,5880,1695,249,4390,601,2737,361,2721,511,13832,1253,34237
215,9,90,0,834,14,8,8,20,5,25,5,15,11,59,588,764,29,6,18,30,4,16,3,11,12,175,202,513,3412,947,195,2727,316,1420,214,1299,277,6591,956,18355
216,8,70,3,703,18,0,4,19,0,28,5,16,11,65,484,640,16,10,10,16,3,7,8,8,10,177,161,423,2669,738,148,2269,255,1308,174,1096,269,6187,789,15890
217,8,67,7,866,14,0,6,17,3,21,3,17,0,58,475,609,20,13,20,20,5,8,0,9,6,128,130,365,2736,893,183,2408,294,1208,203,1227,262,5621,722,15754
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,20,187,3,2336,18,6,7,15,17,14,3,6,11,67,807,968,19,0,6,12,5,4,3,11,4,151,111,327,5454,974,227,3281,731,2340,330,1642,464,10223,1030,26695
302,20,77,6,2735,20,0,13,15,18,13,6,11,6,47,729,877,13,0,6,7,6,9,0,0,7,88,84,226,6417,1007,236,3304,854,2121,381,1222,382,6642,889,23459
303,27,176,10,4167,24,0,16,23,12,25,8,20,15,63,1041,1238,12,3,15,12,4,10,0,4,4,93,145,310,8988,1760,349,5070,1046,3371,543,2219,577,9833,1316,35058
304,26,284,5,3216,6,4,5,13,7,10,4,11,0,36,568,651,8,0,6,3,0,7,0,10,3,51,62,147,4061,817,155,2300,488,1798,251,1344,285,6212,659,18380
305,44,399,9,7758,29,4,7,20,24,13,8,11,3,33,1235,1387,9,6,9,7,6,4,0,4,0,54,87,189,11240,2125,399,5380,1236,3354,657,2003,447,5361,1372,33575
306,27,120,0,1751,27,9,7,23,12,28,16,18,9,79,1387,1624,32,18,32,19,9,11,8,6,16,183,175,501,5678,1519,286,4126,514,2416,308,2161,430,8414,1745,27598
307,10,41,3,674,20,3,3,19,4,23,4,20,5,51,762,907,42,5,30,17,0,15,5,7,5,146,141,420,3231,678,171,2116,242,1265,155,980,207,5181,1037,15257
308,37,93,5,2095,28,8,12,21,7,35,9,12,19,73,1649,1869,43,9,23,17,5,16,4,5,6,158,159,449,5234,802,270,3290,459,2468,254,1391,395,7403,1941,23896
309,70,601,9,5903,56,23,23,57,42,55,22,34,40,183,2364,2903,55,17,39,41,13,23,14,24,29,373,409,1045,12719,4059,836,9647,1941,5950,1313,5049,1279,23698,3106,69597
310,4,64,8,1677,25,9,22,18,15,35,10,14,15,96,1228,1475,27,3,33,16,3,6,0,8,5,155,189,448,7180,1182,378,4352,1071,3544,417,1883,615,10173,1586,32394
311,7,63,4,1377,38,3,20,9,23,47,8,15,14,88,1006,1270,32,7,21,9,9,15,6,9,6,168,221,506,6673,1257,289,4271,954,3377,433,1922,570,10216,1381,31338
312,16,69,7,1882,18,0,5,14,13,27,3,13,8,69,1514,1683,28,3,26,22,3,11,6,13,11,122,157,407,4670,633,219,2678,359,1909,188,1121,268,5099,1784,18932
313,15,122,6,1411,21,5,8,14,14,26,6,15,10,97,1123,1346,18,7,15,12,6,6,7,11,16,203,182,479,4547,1174,280,3325,753,2742,382,1922,533,13805,1487,30947
314,12,68,5,1787,20,0,7,12,15,18,3,14,10,35,711,845,14,6,13,3,5,4,0,0,5,75,77,214,4878,830,214,2959,763,2210,314,1210,369,6571,854,21171
315,9,14,0,660,13,7,7,3,4,15,0,14,9,29,453,553,37,3,17,10,5,8,0,6,0,50,86,234,2232,255,133,784,152,640,52,309,94,1376,590,6606
316,64,532,7,3839,37,18,25,32,19,39,13,29,23,138,1896,2260,18,18,31,13,14,14,0,8,14,288,246,664,6909,2823,596,6072,1181,3405,889,3842,969,21991,2345,51023
317,9,74,0,1119,15,3,8,7,7,6,7,10,5,37,814,921,12,4,12,8,0,11,3,3,3,117,102,276,3726,727,121,2523,309,1596,162,1133,220,6324,1009,17861
318,16,92,4,1686,19,5,11,18,11,26,4,22,11,72,1589,1792,18,3,20,19,5,14,3,7,5,153,152,399,5949,866,231,3602,482,2356,211,1566,344,7412,1874,24899
319,15,135,9,1285,32,8,7,17,12,44,8,33,16,172,1690,2037,49,10,39,39,7,21,8,19,18,452,369,1029,5009,1562,311,4112,489,3103,349,2946,593,21499,2397,42372
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,36,547,9,4585,22,3,3,20,17,27,3,13,11,86,1150,1355,16,6,5,13,12,11,0,9,4,139,103,317,6574,2040,189,5037,460,3143,299,2994,330,12312,1386,34773
402,13,100,4,1522,26,8,8,27,6,33,7,36,11,122,1344,1625,20,8,16,16,6,9,4,7,10,253,240,595,8084,1860,243,5947,629,4045,365,2914,471,16187,1836,42573
403,30,219,9,2679,23,12,10,19,10,31,5,19,5,126,1307,1562,22,9,15,12,11,16,3,7,0,186,167,442,7376,2061,224,5858,610,3378,386,3216,460,16812,1683,42066
