SA4_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
405,244,43,614,262,166,165,116,277,22,1913,0,0,0,0,0,0,0,5,0,17,78,37,33,62,43,23,42,67,15,388,152,53,132,122,87,61,103,204,123,1027,5153,6166,4922,4255,2907,1435,1549,2632,462,29480
406,161,34,406,236,126,127,106,164,18,1375,0,3,4,6,0,0,3,11,0,22,28,24,50,53,26,8,36,44,10,279,114,61,140,134,66,60,126,157,116,982,2936,4645,4059,3298,1995,966,1538,1676,389,21508
407,465,70,1111,552,291,335,156,498,54,3532,5,4,11,7,7,3,4,15,0,48,96,78,81,104,67,27,73,94,16,641,282,73,283,220,128,141,162,422,215,1937,8025,9477,8253,7670,4892,2815,2386,4978,821,49317
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
499,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
501,417,84,1244,577,360,349,305,468,42,3832,6,6,6,18,0,20,13,22,0,95,107,145,139,102,68,39,138,94,27,853,205,124,363,169,131,139,228,273,236,1867,7091,12548,12512,7323,5517,3035,3803,4889,882,57604
502,222,52,617,346,182,243,165,218,16,2053,3,0,7,8,5,10,0,11,0,45,33,63,79,58,32,9,61,29,16,381,78,51,157,104,67,63,132,118,128,897,2963,5502,6252,4224,2666,1574,2160,1931,447,27731
503,352,83,958,452,221,156,66,186,30,2507,4,3,7,15,7,6,6,22,7,79,190,337,78,131,130,51,36,61,39,1062,158,244,135,116,115,62,52,97,203,1181,14079,38721,5790,6416,7563,3355,1357,2846,1037,81173
504,603,175,1817,1026,747,536,491,518,55,5953,5,7,20,15,17,16,12,28,0,119,175,255,254,247,178,101,169,123,38,1537,239,199,448,305,245,158,278,256,475,2605,11382,25075,17096,12649,11324,4964,5387,5226,1484,94587
505,1208,406,3579,2022,1557,1083,645,963,112,11574,20,15,27,40,28,42,20,55,6,243,362,526,373,433,388,205,232,233,82,2841,479,481,931,587,551,332,382,559,954,5259,28061,64276,34368,25714,24608,10805,8427,10969,3088,210324
506,962,298,3548,1721,1229,826,918,1106,101,10712,15,15,28,34,20,23,38,50,7,239,281,460,402,391,309,152,380,247,84,2707,409,400,830,485,483,280,530,544,940,4898,20821,53764,30632,23143,21290,9254,10938,11250,2953,184038
507,912,259,2648,1493,946,746,526,664,89,8283,12,21,18,31,15,21,24,36,4,172,302,430,412,328,253,123,230,182,74,2340,325,349,745,459,343,253,376,426,638,3902,20377,48266,26988,19088,17294,7481,7002,7904,2279,156679
509,272,44,582,309,231,184,166,251,26,2077,0,5,11,13,3,9,5,18,0,51,80,53,78,80,37,16,57,54,6,471,264,70,215,154,90,95,158,265,159,1482,6787,7392,6420,4571,3580,1705,2340,3327,529,36655
510,185,53,397,216,205,96,183,171,26,1526,5,5,3,4,3,3,3,8,3,30,58,66,123,53,53,15,92,48,21,533,89,116,243,135,94,67,157,171,201,1272,3350,6076,7248,2923,2775,908,2489,1952,612,28326
511,231,47,611,334,246,168,233,250,23,2148,0,3,0,8,7,7,7,12,0,46,62,46,85,73,33,11,60,51,15,439,129,87,250,132,94,64,200,194,178,1323,4423,7168,7443,3915,3363,1473,2909,2514,586,33793
597,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
599,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
601,564,157,1642,812,588,368,164,459,64,4808,8,7,11,20,8,14,12,18,7,106,215,311,144,199,183,76,87,97,60,1361,193,201,324,296,215,152,131,262,287,2055,11494,26934,12348,12254,9801,4347,2559,4937,1368,86043
602,336,70,931,495,296,292,172,376,34,3004,5,3,6,12,3,13,0,13,0,48,106,94,83,86,58,37,59,56,19,603,152,96,204,141,128,101,150,228,188,1387,6210,11580,7096,6489,4589,2319,2208,3288,682,44459
603,113,13,236,115,73,52,29,98,16,748,3,0,0,0,0,0,0,3,0,12,34,38,15,26,20,3,19,23,7,179,65,25,88,59,35,32,44,83,58,488,1890,2512,2007,1547,1147,476,525,1095,232,11421
604,262,64,733,421,181,214,121,312,23,2328,4,0,0,5,6,3,0,7,0,23,49,47,50,65,40,24,51,53,13,397,159,55,191,155,91,99,140,232,148,1269,4177,6795,5809,5013,3108,1595,1871,2838,509,31719
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
699,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,9,12,45,34,22,20,10,7,28,5,181
701,324,118,893,499,397,205,132,244,21,2837,4,3,8,17,4,9,0,7,3,59,162,148,133,178,109,32,56,72,28,926,154,131,265,240,193,89,111,142,262,1593,7499,15086,8434,7849,6865,2422,1975,2578,937,53651
702,157,57,364,239,173,85,47,128,15,1262,0,3,0,12,6,0,4,4,3,33,38,70,42,80,32,9,15,28,4,322,96,160,132,244,82,52,74,162,195,1196,3050,6171,2962,3808,2231,734,689,1373,460,21477
797,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
799,0,0,6,0,0,0,3,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,11,0,0,0,5,0,0,0,12,8,26,44,104,33,42,35,18,16,73,13,378
801,850,323,2269,1036,1143,460,245,450,95,6880,9,13,15,22,25,15,14,13,3,135,850,944,204,346,554,119,109,135,131,3393,384,504,365,356,416,174,143,249,673,3265,37817,72205,17402,17994,25567,6737,3261,5811,3916,190703
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
901,17,0,38,26,13,8,4,11,4,119,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,3,6,33,9,3,15,14,5,5,4,9,7,85,265,262,290,207,172,61,50,101,22,1435
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
