SA4_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
113,328,599,647,556,1809,2537,1076,4196,203,11943,597,1041,1245,976,2822,2992,910,1718,101,12407,292,643,611,446,2614,3223,992,1746,170,10741,503,1843,1736,1177,1962,1040,362,754,167,9543,285,1103,1333,850,2434,1378,340,454,66,8243,281,2018,960,502,1062,724,201,361,89,6196,224,457,349,226,1184,1170,426,1307,111,5461,380,2144,1202,867,2475,2000,529,876,212,10685,89,105,81,65,279,241,57,130,454,1497,2971,9955,8163,5661,16649,15309,4893,11540,1569,76713
114,389,720,785,529,1448,2051,757,2290,94,9059,656,1765,1719,1157,2273,2667,756,1687,109,12788,515,993,876,681,2444,3073,732,1283,178,10782,746,2090,1606,1074,1508,966,322,423,151,8885,381,1446,1250,714,1720,1061,243,346,55,7216,403,1954,1008,514,915,635,136,320,93,5980,179,341,295,201,699,680,265,716,72,3456,531,2116,993,517,1056,911,219,391,157,6890,95,122,85,49,156,150,33,90,315,1088,3895,11552,8611,5428,12223,12186,3469,7552,1226,66151
115,1276,1594,1369,931,4346,6975,1994,5830,201,24503,1661,3834,3397,2297,8815,12211,2375,5080,285,39963,2010,1754,1141,660,2576,3609,791,1537,202,14277,2176,2212,1440,821,1580,1022,315,370,110,10041,1322,3349,2817,1422,4752,4058,722,1143,177,19762,1763,2743,1305,581,1407,1473,305,612,100,10295,496,637,425,279,903,949,254,653,74,4671,1204,1886,815,363,834,780,165,347,104,6488,178,218,155,71,365,419,45,153,494,2099,12083,18233,12863,7434,25572,31487,6963,15728,1746,132111
116,1513,1234,949,697,4810,5791,1322,2861,233,19410,1825,2910,2765,2245,12733,13998,2008,3298,481,42260,4632,1735,1285,692,4534,3760,753,1029,352,18767,2770,2850,2718,1829,3700,2027,610,823,345,17670,1906,2528,2750,1656,9421,5992,978,1402,255,26901,2422,3226,2082,882,2412,1561,297,435,194,13505,2067,1883,2199,1293,5141,3761,999,1705,456,19502,3081,2781,2088,920,3103,1896,414,540,331,15152,393,243,240,132,756,611,77,166,1145,3768,20609,19383,17068,10358,46616,39391,7452,12261,3785,176932
117,2041,2137,1722,1388,6283,9480,2978,7590,185,33809,2627,5737,4900,3593,16821,22682,5802,12863,491,75517,2455,2132,1855,827,2540,3228,700,1510,279,15526,4176,3583,2177,929,1867,1539,429,647,267,15616,1202,2374,2230,1234,6657,5130,1123,1823,156,21929,2151,2527,1674,686,2089,2048,427,775,145,12511,514,848,1030,361,937,787,193,401,86,5162,1422,2182,2151,548,1137,959,209,492,198,9298,246,293,270,105,552,593,101,356,919,3434,16839,21804,18010,9665,38886,46444,11970,26467,2718,192809
118,1389,1861,1726,1259,4001,7828,2502,7546,252,28365,2020,5393,4606,3101,9143,15325,4301,11188,420,55504,1296,1265,1062,545,1442,2515,506,1135,212,9983,2326,2526,1442,651,1093,993,286,447,156,9921,869,2332,2110,1016,3454,3323,742,1261,132,15229,1516,1814,955,472,1320,1865,435,946,104,9424,251,522,501,180,382,423,124,260,62,2707,690,1226,818,302,570,608,150,319,95,4779,188,284,234,106,273,483,103,428,634,2731,10553,17216,13452,7639,21676,33363,9147,23532,2059,138638
119,3213,2399,1923,1312,6091,7901,2013,4984,383,30220,3074,6042,5241,3707,15946,17350,3265,6440,728,61799,7795,3088,2516,1273,4878,4793,894,1457,638,27330,5230,4580,4117,2321,4117,2303,715,939,480,24796,3314,4580,4514,2447,10988,7454,1299,2104,408,37103,4466,5136,3468,1455,3440,2447,466,758,385,22019,2760,1930,1991,960,3434,2440,642,1136,378,15668,4908,4107,3600,1275,3414,2101,498,631,533,21067,698,468,436,177,956,779,106,247,1750,5606,35464,32324,27796,14929,53269,47555,9902,18694,5663,245597
120,1664,1784,1633,1136,4820,7637,2514,6310,226,27733,2400,5384,4698,3455,12311,16545,4002,8659,410,57872,2167,1715,1378,662,2284,2679,537,1067,221,12707,2640,2560,2083,1006,1711,1173,335,507,187,12204,1304,2724,2530,1358,5666,4488,891,1340,174,20467,2030,2450,1711,712,1702,1593,391,718,130,11437,520,689,689,285,829,737,186,370,93,4404,1403,2140,1846,549,1132,844,195,327,175,8614,251,286,259,92,411,460,98,194,807,2864,14385,19731,16828,9263,30870,36152,9161,19497,2417,158306
121,1950,2829,2710,1802,7009,12671,4097,11807,267,45156,3092,8869,7382,5140,16610,26058,6430,15639,532,89763,1719,1769,1325,749,2427,3366,680,1079,170,13292,3469,3813,2230,1168,1710,1282,376,511,151,14710,1463,4203,3481,1827,6157,5892,1269,2101,155,26551,2345,3462,1715,742,1914,2272,578,1106,110,14243,399,697,472,218,630,502,149,247,31,3345,1125,2227,1049,407,850,674,142,270,79,6830,235,419,324,173,494,655,136,442,711,3578,15795,28287,20693,12221,37804,53378,13860,33210,2220,217473
122,1374,1926,1763,1420,3953,7769,2531,7539,177,28442,1798,4712,4258,2963,6558,10986,2940,7076,241,41531,1759,1901,1445,825,2327,4147,773,1338,180,14711,2567,3032,1887,931,1551,1027,414,476,112,12003,965,3068,2705,1378,3257,3037,696,1129,108,16341,1685,2716,1358,599,1342,1837,429,893,113,10983,329,729,551,256,819,632,202,275,47,3837,972,1853,918,412,873,793,173,281,75,6349,184,236,159,87,253,362,73,225,444,2031,11640,20172,15050,8877,20937,30593,8225,19232,1502,136223
123,1253,1116,841,631,3155,3896,1120,3112,159,15290,1333,2215,2155,1634,6267,6404,1343,2673,254,24280,3544,1712,1224,701,4024,4306,1004,1770,294,18580,2600,2482,2250,1582,2960,1634,602,744,232,15085,1666,2539,2208,1425,6019,3874,765,1129,197,19822,1962,2938,1698,806,1881,1312,276,389,175,11430,1448,1144,1098,708,3279,2626,849,1759,261,13182,2390,2692,1464,810,2213,1686,374,598,253,12489,339,245,167,102,530,410,75,169,741,2776,16539,17079,13110,8406,30326,26151,6402,12355,2574,132941
124,1453,1321,1089,757,3643,4635,1540,4036,152,18628,1676,3171,3009,2251,7109,7997,1856,3752,205,31031,3069,2389,1636,1006,4634,5388,1223,2136,351,21822,3185,3065,2497,1668,3293,2078,772,812,252,17617,1717,3039,2845,1751,7129,4599,919,1371,220,23586,2062,3202,1735,828,2024,1459,359,551,134,12352,1308,1256,1309,839,3310,3031,1036,2176,271,14537,2262,3101,1663,891,2292,1849,399,797,259,13510,303,251,191,103,534,470,75,201,703,2831,17047,20786,15969,10098,33969,31505,8185,15827,2541,155914
125,2331,1778,1429,963,5333,6721,1511,3435,318,23812,2450,4759,3981,2868,16009,19532,2776,4885,719,57986,5722,2261,1808,881,4165,3799,699,1016,561,20924,3271,3577,3396,1768,3268,1854,580,818,459,18995,2285,3328,3120,1676,9217,6264,989,1496,337,28710,2696,3729,2530,979,2510,1792,318,490,326,15370,1742,1782,2033,908,3331,2313,612,974,371,14079,3638,3302,2939,1095,3127,1806,347,492,431,17177,533,408,400,178,907,728,111,195,1690,5159,24676,24915,21637,11321,47872,44813,7945,13813,5214,202211
126,987,1181,949,704,3162,4609,1371,3494,117,16570,1421,3635,3028,2031,9602,12001,2269,4626,279,38881,1364,1106,761,407,1629,1922,349,562,140,8232,1713,1785,1169,572,956,650,194,251,87,7375,871,1949,1766,876,3964,2976,557,810,116,13887,1332,1785,1054,406,1051,987,212,352,92,7264,326,391,331,153,488,406,90,179,47,2408,808,1212,656,251,592,452,87,142,74,4274,161,172,151,65,275,275,55,82,479,1702,8979,13213,9862,5455,21713,24284,5175,10504,1415,100598
127,2035,1429,1120,743,4238,4665,1136,2800,245,18403,1869,2978,2659,2077,9518,9510,1626,3090,434,33768,5968,1945,1414,813,4421,3971,766,1305,519,21116,3550,3044,2564,1595,3090,1937,634,878,385,17680,2467,2974,2825,1720,8373,5320,918,1363,310,26266,3036,3634,2093,849,2379,1488,296,466,243,14481,2554,1965,1823,1171,5269,3494,976,1754,449,19448,3875,3104,2150,1052,3811,2193,449,649,408,17690,521,315,250,166,802,573,92,183,1253,4166,25872,21392,16898,10179,41895,33154,6892,12485,4248,173019
128,1185,1405,1244,939,3163,5168,1807,4933,104,19954,1688,3300,3264,2154,5740,8152,2022,4328,189,30838,1991,1642,1182,805,2672,4299,895,1558,198,15239,2408,2478,1545,866,1747,1350,610,611,125,11740,1251,2952,2717,1490,4263,3524,767,1118,123,18216,1648,2382,1228,549,1292,1355,310,552,79,9395,438,533,424,279,772,787,260,505,54,4049,931,1816,720,358,842,742,185,295,61,5944,186,172,137,64,288,309,62,152,357,1725,11738,16676,12472,7501,20782,25683,6910,14043,1288,117099
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
201,374,667,683,600,1651,2324,924,2868,113,10196,859,1744,1987,1811,3230,3618,1093,1876,115,16335,418,930,867,683,2625,3344,847,1520,178,11414,1010,2409,1945,1394,1589,1195,261,477,137,10425,442,1387,1505,986,2542,1549,376,423,66,9283,492,2449,1177,546,1010,731,212,266,85,6974,243,413,364,241,853,1036,388,926,76,4541,586,2326,1193,662,1370,1228,340,506,169,8379,123,132,82,59,188,189,46,135,358,1300,4543,12450,9811,6976,15066,15210,4492,8995,1294,78847
202,370,637,704,617,1680,2297,893,2753,133,10079,957,1887,2140,2128,3407,3381,1073,1893,102,16968,454,896,820,654,2248,3111,733,1370,151,10452,910,2229,1857,1250,1539,1118,262,468,141,9777,412,1330,1428,928,2303,1428,307,449,59,8631,451,2348,1048,467,914,646,163,312,94,6435,248,413,318,246,809,904,326,1036,87,4391,513,2375,1151,747,1506,1315,334,528,160,8630,86,148,88,61,195,185,39,118,336,1258,4404,12264,9558,7106,14602,14384,4139,8924,1255,76625
203,761,1229,1367,1154,3555,4933,1779,4768,163,19701,1974,4030,4461,3828,7474,7855,2274,4088,253,36238,941,1962,1758,1345,5075,7003,1730,2846,303,22959,2088,5262,3937,2347,2779,2587,644,899,272,20819,831,2715,2767,1847,4639,3218,684,914,143,17750,1056,5053,2195,972,1853,1457,359,607,148,13697,408,922,814,548,1768,2181,739,1489,162,9030,936,4542,2057,1033,2140,2265,491,980,248,14689,177,275,184,144,444,455,80,242,661,2675,9178,25995,19535,13215,29739,31950,8780,16836,2344,157566
204,470,932,976,781,1911,3001,1090,3895,194,13250,787,1447,1814,1759,2790,2906,941,1720,126,14298,602,992,917,787,2780,3944,969,1811,234,13044,1046,2309,1938,1336,1729,1549,399,631,206,11155,430,1361,1398,1043,2285,1602,358,479,106,9056,479,2197,1143,605,1063,737,176,365,125,6876,342,435,456,311,1206,1416,475,1277,126,6046,708,2757,1262,809,1760,1687,397,798,237,10412,117,158,93,89,230,236,44,155,489,1610,4993,12585,10013,7529,15737,17089,4854,11134,1828,85750
205,722,1331,1373,1051,2472,3822,1318,5459,314,17870,1240,2511,2704,2500,4138,4135,1333,2533,163,21254,937,1636,1493,1146,4366,5867,1401,2763,383,19990,1631,3879,3286,2050,2375,1687,479,713,276,16378,744,2422,2434,1649,3561,2324,464,646,128,14383,760,3829,1885,948,1636,1148,270,492,166,11133,471,642,644,429,1450,1773,856,1890,181,8333,1006,4058,2050,1316,2453,2242,717,1245,431,15515,247,266,168,107,359,341,79,232,773,2576,7754,20578,16045,11190,22811,23333,6918,15978,2819,127425
206,2081,2964,3745,3439,11687,16834,6062,15079,338,62231,4935,12377,11818,10956,31881,43358,11385,22146,911,149768,1586,3261,3599,1900,5620,6962,1617,2833,358,27740,4275,10332,6479,2941,4146,3258,837,1185,468,33922,1476,4879,4939,3211,12346,9919,2076,2898,253,42002,2132,7157,3758,1523,4035,3592,901,1601,267,24960,408,1315,1434,605,1366,1333,325,646,117,7553,1170,4941,4138,1129,1887,1702,461,790,261,16482,318,607,520,292,1077,1146,225,653,1401,6239,18404,47831,40436,25986,74042,88109,23890,47832,4381,370901
207,863,1973,2382,1931,5365,8524,2833,8182,216,32272,2143,7137,6445,5282,13202,18049,4508,9781,380,66923,641,1632,1694,1042,3072,3870,773,1382,206,14307,1763,5465,3043,1400,1851,1348,334,542,182,15930,814,4130,3502,1938,5532,4690,930,1368,167,23071,1262,5808,2535,1011,2113,2033,504,883,154,16303,214,789,659,319,783,808,218,341,58,4180,629,3362,1656,685,1042,893,198,340,116,8916,153,415,341,198,524,544,108,269,797,3360,8491,30705,22257,13799,33470,40760,10410,23092,2282,185265
208,1196,1999,2527,2350,6617,11452,4114,11417,248,41917,2737,7433,7324,6007,13703,19495,5389,11163,456,73704,895,1886,1923,1256,4001,5783,1377,2289,243,19651,2207,6399,3458,1956,2404,2111,548,823,229,20134,1015,4580,4331,2576,6777,5822,1294,1811,194,28401,1357,6183,2629,1182,2560,2607,678,1310,181,18682,259,844,757,396,1096,1062,296,480,76,5259,657,3504,1567,757,1326,1144,286,512,124,9887,213,420,287,195,595,751,125,372,807,3766,10539,33257,24804,16669,39071,50210,14112,30174,2562,221398
209,1249,1544,2111,1801,7142,9152,3124,7401,270,33801,2729,6229,6883,6126,14899,16831,4189,7421,462,65775,1420,2852,3045,2232,8546,11173,2481,3743,635,36124,2910,7056,5589,3417,4968,3555,878,1202,418,29996,1377,4738,5106,3352,10244,7442,1389,1929,308,35885,1710,7718,3542,1498,3430,2552,607,956,245,22251,637,1523,1646,1058,3768,3755,1130,1926,313,15756,1196,5505,3307,1597,4036,3207,793,1285,378,21290,258,497,410,234,976,814,159,379,1305,5034,13489,37664,31634,21318,58014,58476,14754,26238,4331,265919
210,751,1047,1355,1151,4966,6029,1920,4814,259,22279,1752,3390,3774,3383,9886,10627,2395,4117,410,39724,1101,2276,2451,1633,6683,7918,1881,3001,572,27517,1953,4627,4019,2579,3859,2676,614,1031,426,21781,1135,3131,3496,2260,8069,5539,1040,1485,303,26461,1229,5418,2684,1118,2538,1827,418,643,208,16070,589,1547,1754,1031,3427,3571,1123,1886,372,15287,920,4218,2962,1300,3295,2702,680,1105,386,17563,220,384,334,197,811,738,124,284,1152,4250,9652,26027,22827,14653,43532,41617,10185,18368,4076,190944
211,1184,1804,2231,1982,7094,9653,3548,8456,257,36211,2740,6466,6741,5729,14064,16393,4266,7274,395,64073,1631,3143,3050,2459,8871,12346,2817,4351,474,39144,2865,7424,5471,3169,4119,3050,775,1144,344,28365,1371,5129,5518,3475,9606,7100,1499,1908,271,35880,1606,7937,3621,1494,3414,2743,710,971,206,22704,480,1180,1150,784,3173,2893,883,1468,168,12185,1257,5999,2803,1619,3838,3017,702,1181,287,20698,265,470,336,222,856,838,142,388,1061,4581,13401,39546,30921,20929,55037,58036,15348,27146,3467,263832
212,1317,2353,2922,2278,10496,12501,3598,8629,446,44540,2921,7316,7365,6964,21641,22919,4674,7691,796,82290,2206,4575,5055,3614,15550,16486,4074,5601,1064,58218,3648,10205,9209,5663,7854,4406,974,1900,802,44656,1836,6326,7005,4241,16144,10880,1983,2686,490,51591,2315,11456,5849,2420,5861,4045,944,1423,490,34793,1044,2952,3421,2317,9945,8125,2415,3815,700,34732,1955,9881,6917,3500,10834,7017,1706,2349,805,44969,396,826,731,430,1919,1469,292,578,2514,9162,17648,55887,48480,31434,100242,87832,20654,34666,8094,404944
213,1558,2065,2658,2211,10262,12944,3729,8655,454,44535,3288,6304,6909,6868,21878,26205,4971,8636,816,85876,1960,3990,4564,2796,12703,13895,3197,4941,973,49022,3939,9224,8171,5249,7898,5246,1228,2033,842,43835,1994,5227,6400,4272,17336,12324,2302,3159,579,53596,2549,10714,5586,2316,5345,3644,797,1288,471,32709,1403,3577,4547,2827,10027,9173,2707,4931,984,40182,1949,8775,6188,3033,8107,5791,1363,2170,911,38283,455,773,667,476,1885,1628,289,584,2661,9428,19095,50642,45694,30050,95445,90868,20594,36390,8688,397466
214,769,1199,1368,1179,3493,5089,1883,4895,163,20040,1560,3228,3388,3021,5095,6300,1841,3554,222,28198,1146,1861,1755,1493,5277,7854,1817,2738,343,24292,2022,4094,3257,2021,2477,2120,512,848,230,17583,830,2855,2903,1881,4273,3167,680,942,161,17683,1050,4460,2232,1030,1962,1590,432,652,170,13584,303,685,557,450,1702,1710,565,1075,110,7150,965,3523,1734,1040,2192,2033,518,923,236,13148,200,284,189,137,377,408,94,244,706,2642,8847,22191,17376,12241,26844,30260,8344,15874,2338,144321
215,394,820,809,664,1583,2694,961,4464,211,12597,558,985,1078,1189,2209,2328,651,1167,97,10259,344,691,560,504,2098,2547,621,1218,147,8726,723,1557,1530,1130,1491,1043,229,433,146,8282,257,1046,1134,753,1787,1191,225,322,65,6776,334,1772,902,485,1014,650,171,259,102,5679,212,354,331,235,893,1118,382,1128,100,4750,474,2247,1222,941,2038,1891,494,705,271,10282,96,156,113,68,206,196,49,118,544,1537,3391,9616,7679,5967,13316,13659,3780,9811,1681,68899
