SA4_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
111,774,1437,955,709,784,227,105,4980,153,161,91,73,83,28,12,607,30,66,33,24,22,12,4,184,1339,2789,2092,1627,1997,713,358,10910,49,76,66,42,50,14,3,303,81,148,91,54,62,11,4,449,132,226,159,95,110,27,6,759,1470,3015,2255,1720,2108,738,365,11673,1426,1435,877,617,545,116,78,5098,28,38,23,14,11,0,0,109,2931,4485,3153,2351,2665,858,447,16876
112,499,1007,799,605,716,135,51,3811,113,120,75,63,49,20,10,444,29,33,24,22,31,10,3,140,870,1743,1533,1179,1497,311,120,7257,32,42,34,35,29,4,0,172,53,104,78,43,24,7,4,321,87,148,105,78,60,13,3,488,955,1886,1649,1261,1556,325,123,7750,954,1026,626,460,428,74,36,3604,28,48,37,24,10,0,0,145,1935,2961,2309,1745,1998,397,162,11502
113,387,671,464,285,299,49,21,2175,56,48,25,12,19,4,0,169,25,46,23,12,16,7,0,125,680,1214,944,671,775,155,47,4483,31,62,42,19,26,6,0,186,50,98,41,21,15,3,0,231,81,160,86,41,42,11,0,420,767,1372,1029,712,812,167,51,4902,925,778,385,268,210,36,14,2611,33,29,17,9,12,0,0,106,1728,2184,1429,980,1033,206,62,7621
114,276,610,449,322,321,64,28,2068,78,73,47,42,29,0,0,273,18,26,6,7,16,6,0,76,513,1084,855,652,760,178,83,4128,21,26,28,18,15,3,0,115,31,39,18,17,13,0,0,117,50,63,44,34,32,0,0,231,562,1152,904,688,787,181,83,4352,613,557,347,244,225,48,21,2052,14,10,7,3,0,0,0,38,1184,1718,1258,936,1015,228,100,6445
115,185,371,310,233,316,173,87,1670,63,83,59,41,52,35,20,345,9,13,11,9,11,6,3,61,439,950,872,705,986,572,311,4850,11,18,24,17,24,15,7,123,21,32,20,19,14,8,7,115,32,48,43,40,41,21,13,239,473,1002,918,742,1032,596,328,5081,311,400,256,179,250,136,87,1618,13,14,7,13,6,0,0,45,800,1418,1175,930,1289,730,410,6753
116,452,788,571,416,488,205,110,3026,199,257,193,123,161,79,41,1044,45,49,31,23,24,17,8,202,1152,2092,1611,1236,1512,759,430,8790,75,87,67,57,69,20,16,395,94,106,64,45,61,20,9,401,170,191,129,101,130,40,23,799,1328,2285,1742,1337,1646,801,452,9589,2236,2266,1323,910,908,298,197,8124,44,62,36,35,11,6,4,202,3606,4607,3097,2276,2569,1105,658,17911
117,218,335,261,180,259,142,82,1488,69,71,58,30,48,22,21,312,9,20,14,7,11,3,4,61,585,1000,769,539,794,468,286,4439,13,29,24,15,28,16,12,132,23,23,20,14,24,7,15,129,36,50,42,28,49,25,25,259,619,1052,809,569,847,493,308,4698,440,461,294,229,299,218,123,2068,17,9,12,3,10,3,0,47,1075,1520,1113,802,1152,714,441,6815
118,186,378,298,246,296,162,96,1655,58,68,59,38,61,21,27,330,3,17,9,3,12,15,7,68,492,1092,885,668,972,536,280,4920,10,33,28,17,29,19,8,150,14,20,26,10,13,10,8,112,25,59,56,28,52,32,10,264,518,1142,939,697,1024,569,300,5186,267,392,245,233,273,169,124,1708,3,7,4,4,5,3,0,30,788,1540,1202,933,1299,736,425,6923
119,506,1031,731,545,791,469,302,4371,240,281,199,166,228,163,130,1418,56,64,41,37,44,37,16,291,1279,2404,1784,1439,2075,1283,885,11157,47,72,71,60,85,52,44,433,73,119,90,58,82,53,35,516,124,193,157,121,170,108,87,951,1405,2601,1944,1558,2238,1391,973,12102,2395,2614,1698,1122,1461,862,508,10660,56,78,60,32,35,16,13,278,3850,5286,3703,2710,3738,2269,1489,23048
120,207,373,326,208,327,209,124,1760,55,61,57,58,69,51,47,384,14,15,14,3,10,11,7,69,520,1113,1015,687,1023,717,398,5466,10,36,30,25,39,19,16,179,20,43,29,23,26,20,11,167,35,77,56,45,64,37,26,346,551,1185,1068,734,1088,755,430,5812,357,501,304,245,361,264,173,2209,15,12,7,3,4,3,0,51,922,1703,1382,989,1457,1023,603,8076
121,281,581,493,377,499,341,218,2785,76,112,75,69,87,60,37,523,14,22,15,10,15,14,14,112,740,1817,1493,1125,1659,1120,650,8588,8,49,38,25,56,40,24,251,20,55,31,42,40,17,22,226,23,108,77,71,95,57,42,475,764,1918,1564,1192,1755,1173,693,9068,325,598,474,375,613,384,246,3010,10,18,10,4,7,0,4,54,1097,2538,2046,1568,2374,1563,942,12130
122,214,441,345,288,407,196,123,2022,60,67,74,56,70,48,20,398,7,9,5,9,9,6,4,58,497,1051,979,878,1188,612,341,5546,9,28,15,16,22,11,7,110,10,16,12,17,21,10,4,93,20,46,30,32,50,17,11,204,519,1092,1001,912,1232,630,359,5748,221,300,247,165,221,99,84,1327,12,8,7,4,4,4,0,33,748,1402,1252,1075,1459,733,441,7111
123,527,860,580,399,516,149,68,3104,208,247,167,109,124,46,39,937,37,49,39,24,39,6,11,209,1147,2019,1519,1109,1442,515,299,8059,50,100,45,46,56,16,4,326,82,79,43,36,30,11,6,288,135,181,89,83,84,33,14,622,1289,2198,1614,1197,1526,545,317,8674,1860,1908,1018,720,673,205,96,6483,52,49,45,32,6,3,0,196,3196,4159,2675,1944,2206,761,411,15362
124,580,997,698,463,567,167,91,3555,223,290,206,129,143,55,32,1070,30,51,40,11,19,6,6,161,1305,2408,1782,1252,1709,610,313,9376,46,82,63,42,45,9,0,284,66,119,71,42,25,4,4,331,114,203,130,81,68,11,5,616,1416,2612,1909,1338,1770,620,323,9993,1839,1776,942,590,603,189,81,6023,40,38,32,26,14,4,0,152,3299,4428,2880,1952,2393,809,398,16162
125,357,708,483,376,482,296,165,2870,124,184,119,102,160,95,79,864,37,45,37,19,21,22,18,189,925,1805,1256,1029,1459,928,584,7991,54,71,71,54,79,49,22,395,60,75,63,46,58,28,26,345,109,147,135,96,134,77,49,745,1037,1955,1384,1123,1597,1004,631,8737,1783,2101,1197,809,1099,625,383,8002,51,61,34,17,12,7,9,196,2876,4120,2616,1957,2711,1639,1021,16930
126,148,310,196,160,215,135,76,1231,42,38,42,23,50,32,20,254,6,11,4,9,3,5,0,43,376,737,588,447,633,435,285,3503,15,22,14,13,21,14,6,96,17,24,17,8,17,14,13,107,29,48,30,19,35,24,16,207,404,786,622,468,668,460,300,3704,203,344,227,173,257,153,121,1480,8,9,3,0,3,0,0,31,616,1133,859,644,929,619,420,5218
127,493,853,648,490,634,338,179,3642,251,295,204,164,232,160,90,1406,46,71,51,45,46,31,17,310,1230,2188,1683,1377,1896,1029,612,10013,70,137,72,65,80,56,30,517,89,169,112,89,99,49,21,628,161,307,181,158,180,105,55,1140,1398,2490,1869,1535,2076,1133,658,11152,2748,3298,1988,1341,1699,939,519,12536,69,103,59,31,34,10,5,309,4208,5896,3913,2901,3811,2085,1190,23999
128,189,480,357,278,353,185,100,1938,102,125,81,52,69,35,21,487,12,16,10,10,10,5,0,63,466,1153,919,765,1031,522,286,5141,10,16,14,15,21,9,3,94,18,28,22,9,18,8,7,106,36,47,31,25,34,18,9,201,501,1202,949,791,1063,536,297,5342,301,379,253,159,221,96,48,1452,3,11,5,6,3,0,0,34,804,1588,1206,953,1292,637,348,6834
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,385,773,503,367,392,94,40,2554,84,79,45,35,39,7,3,295,14,36,14,8,5,0,0,87,627,1275,970,743,902,230,109,4859,27,45,42,27,52,9,6,208,45,74,48,22,27,5,0,219,72,115,87,52,82,12,4,428,695,1391,1058,794,984,243,117,5289,778,775,453,330,288,77,26,2728,16,22,23,24,6,0,0,86,1490,2189,1537,1148,1281,321,148,8103
202,338,702,496,343,384,97,28,2385,79,80,50,17,31,9,8,273,12,28,20,5,4,3,0,81,574,1229,978,711,864,265,98,4713,19,39,21,24,19,9,0,133,28,58,33,26,28,0,3,170,42,99,55,46,46,6,3,301,621,1324,1034,753,912,273,102,5016,714,754,398,297,278,68,27,2536,12,22,19,14,8,3,0,81,1346,2108,1451,1062,1193,337,134,7631
203,521,1193,810,586,729,229,110,4180,103,114,81,56,69,24,5,451,29,45,32,12,25,8,5,153,953,2112,1593,1221,1714,619,294,8497,20,52,40,30,48,13,4,209,62,119,67,35,27,9,4,320,83,169,107,63,78,26,6,529,1034,2281,1692,1283,1793,643,298,9026,912,1023,618,461,467,178,79,3747,39,32,15,12,6,3,0,114,1996,3336,2333,1750,2269,829,382,12884
204,370,680,520,333,404,86,28,2419,52,74,37,28,31,10,0,234,22,30,29,16,24,6,3,132,609,1282,1016,715,946,230,80,4874,19,40,27,19,14,5,0,122,35,52,32,26,19,5,0,178,54,90,60,40,36,13,4,296,661,1373,1075,757,980,243,81,5173,681,690,416,268,295,63,19,2435,8,18,8,10,12,5,0,56,1355,2074,1502,1044,1285,305,104,7659
205,603,1185,789,578,663,146,42,3997,116,115,78,61,70,4,5,446,25,59,33,21,28,7,3,181,982,1984,1516,1174,1428,341,111,7540,29,85,80,54,59,10,8,330,87,124,57,57,42,13,0,382,115,210,140,104,100,21,8,710,1092,2196,1659,1284,1532,366,113,8249,1363,1343,718,523,474,116,53,4591,32,60,56,30,16,0,0,193,2485,3600,2427,1834,2021,487,168,13027
206,417,829,600,432,594,407,231,3509,86,68,51,45,49,53,16,371,30,27,19,25,19,8,10,138,965,1956,1550,1190,1672,1150,628,9113,46,60,49,46,49,38,18,308,54,85,52,30,55,42,18,341,102,147,103,81,107,80,37,652,1063,2107,1653,1263,1784,1231,659,9760,817,934,587,422,598,439,333,4122,40,38,21,12,11,4,0,127,1913,3073,2260,1699,2387,1675,1000,14006
207,272,642,536,465,670,468,272,3324,40,44,40,36,56,33,18,271,4,20,20,10,12,8,9,83,584,1446,1279,1074,1649,1215,743,7985,11,41,32,23,33,34,22,187,40,77,50,33,42,19,14,274,47,113,77,58,78,51,34,460,632,1564,1356,1136,1723,1267,781,8450,339,602,499,441,665,476,330,3359,10,20,15,8,8,15,4,82,986,2187,1869,1584,2399,1758,1114,11887
208,374,818,676,550,724,458,258,3860,82,68,63,32,53,43,16,353,11,29,13,21,23,16,10,119,795,1826,1677,1317,1961,1367,743,9677,21,46,32,39,40,25,14,216,29,64,38,27,37,17,19,226,39,113,68,62,80,42,35,443,839,1936,1745,1378,2049,1410,769,10122,375,588,414,342,455,311,186,2668,10,12,17,16,10,5,3,75,1226,2535,2177,1737,2509,1722,963,12864
209,617,1292,982,796,1035,482,247,5443,134,125,84,55,88,32,27,544,36,45,27,18,33,7,7,178,1252,2626,2123,1709,2491,1216,744,12158,49,92,75,54,60,43,25,401,76,181,77,55,74,29,16,498,125,278,149,104,136,69,42,899,1379,2902,2276,1811,2627,1280,783,13056,1437,1684,1041,737,844,432,237,6398,54,59,26,22,12,4,7,182,2862,4643,3343,2574,3481,1719,1023,19637
210,533,1004,740,541,714,365,182,4089,109,116,62,61,94,43,16,501,38,52,35,24,32,19,6,196,1075,2094,1585,1249,1816,993,528,9333,42,77,49,44,50,33,21,314,70,169,81,63,52,36,15,480,105,246,136,106,106,68,39,798,1178,2336,1717,1350,1924,1058,566,10134,1451,1654,960,677,857,424,239,6257,34,73,30,22,8,6,0,184,2669,4064,2712,2045,2788,1484,806,16573
211,608,1378,1030,751,1037,517,273,5596,102,103,82,71,104,56,32,555,28,47,27,22,38,20,6,193,1102,2586,2214,1726,2644,1418,776,12461,21,57,48,24,57,24,18,251,54,89,65,44,58,23,10,348,75,154,112,78,115,50,21,598,1176,2734,2322,1795,2758,1466,798,13060,981,1198,692,491,651,297,166,4475,20,19,15,19,12,6,5,85,2174,3953,3033,2306,3416,1766,967,17621
212,1149,2242,1538,1138,1449,775,411,8710,224,219,137,106,139,71,55,952,89,135,81,70,85,47,18,521,2417,4630,3363,2653,3673,2051,1140,19925,87,202,109,93,152,65,42,757,162,282,140,103,147,75,45,957,245,482,246,199,305,144,89,1711,2664,5113,3604,2859,3974,2201,1223,21633,2778,2913,1636,1143,1484,808,601,11362,111,137,71,50,47,14,18,450,5549,8161,5312,4049,5513,3019,1843,33446
213,1231,2279,1581,1120,1493,694,385,8780,263,314,188,129,195,83,60,1225,104,152,93,63,85,45,18,561,2655,5144,3815,2731,3870,1987,1124,21320,168,302,223,153,189,120,71,1235,255,446,222,179,185,80,40,1420,426,757,448,337,377,198,114,2652,3076,5900,4264,3060,4246,2186,1234,23969,3434,3837,2100,1486,1661,808,501,13824,121,131,81,65,45,20,18,480,6630,9868,6438,4613,5953,3016,1754,38274
214,529,1182,863,583,818,263,116,4349,110,139,76,59,71,36,20,499,16,33,28,23,29,13,3,144,955,2113,1619,1231,1804,682,332,8744,21,58,29,41,37,12,3,198,35,95,53,32,37,4,5,263,61,154,76,77,74,15,4,459,1015,2267,1695,1304,1878,705,336,9201,968,1075,622,475,456,166,59,3824,21,30,37,19,6,3,0,120,2008,3370,2349,1797,2344,877,398,13141
215,331,568,398,298,295,78,11,1993,60,49,36,20,29,4,0,201,10,24,24,22,18,4,0,107,554,998,767,621,734,170,36,3880,29,39,35,11,22,4,0,141,25,57,26,18,18,0,0,150,62,99,58,27,39,0,0,292,611,1100,833,646,776,168,35,4177,749,795,413,313,207,49,13,2548,23,25,16,17,10,5,0,90,1393,1917,1266,974,995,222,51,6816
216,271,587,385,288,300,73,20,1924,62,64,22,16,31,6,0,201,16,33,20,12,21,5,0,114,479,1074,740,569,689,151,44,3750,21,26,28,27,19,11,0,129,45,43,40,24,16,7,0,172,62,68,65,52,34,13,3,292,540,1139,801,621,724,164,49,4040,675,671,382,234,257,42,18,2270,16,21,31,13,5,5,0,86,1228,1839,1216,863,985,208,66,6402
217,247,527,373,281,319,58,17,1830,50,51,25,14,14,4,5,162,8,9,10,9,9,0,0,49,381,840,664,532,640,130,33,3230,7,15,11,11,12,3,0,57,22,31,35,19,14,4,0,117,27,46,42,28,31,3,0,177,411,888,706,560,667,136,38,3407,411,488,250,161,145,37,6,1496,15,21,12,9,5,0,0,59,835,1391,967,729,818,177,40,4961
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,347,749,544,379,458,107,57,2633,107,154,93,66,86,37,14,552,18,31,19,17,11,0,4,108,759,1759,1352,1028,1432,462,192,6991,23,61,41,30,34,7,6,198,41,81,62,30,25,3,0,243,68,135,99,65,62,16,7,443,829,1896,1454,1092,1490,480,203,7433,675,676,431,322,320,72,46,2540,24,27,6,11,6,0,0,75,1524,2599,1890,1422,1817,553,249,10051
302,285,576,383,316,352,147,66,2120,83,125,91,59,72,23,8,455,14,18,14,8,7,3,4,72,648,1486,1121,794,1188,494,209,5940,24,37,30,22,29,3,4,154,29,60,41,20,18,9,7,181,58,94,67,43,48,16,13,336,704,1583,1186,832,1238,509,218,6275,557,614,341,251,267,79,59,2156,24,14,15,11,14,0,3,75,1285,2215,1539,1090,1513,590,280,8509
303,433,841,620,418,587,255,136,3289,123,158,105,74,74,38,13,582,24,35,28,14,18,13,7,139,1006,2076,1612,1183,1683,780,384,8724,48,105,72,38,55,32,8,359,56,110,68,39,51,13,11,345,105,215,136,73,110,48,18,708,1110,2293,1742,1253,1794,832,401,9428,846,949,611,460,518,266,147,3796,35,29,18,8,4,5,0,102,1986,3275,2375,1723,2312,1102,557,13327
304,153,363,325,236,323,147,74,1622,27,69,82,54,68,25,18,349,12,18,11,6,12,12,5,75,344,974,963,713,1038,498,264,4789,16,30,19,15,26,8,3,112,17,33,20,17,25,13,6,132,28,67,44,31,49,24,8,246,369,1041,1006,741,1093,515,274,5039,233,315,238,189,240,134,56,1400,8,6,10,6,4,0,0,24,606,1354,1253,942,1333,648,329,6463
