LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA35670,68,30,39,30,26,27,14,0,0,224,246,156,118,114,104,86,40,7,0,883
LGA35740,757,425,450,569,756,730,587,390,263,4928,8350,4973,4121,5983,8163,9091,8980,5032,1611,56298
LGA35760,222,156,135,115,186,168,182,124,34,1322,1590,982,965,981,1305,1533,1510,915,291,10068
LGA35780,209,53,42,49,44,41,14,4,0,457,970,473,422,294,258,232,102,23,3,2781
LGA35790,64,19,33,14,23,14,8,0,0,168,659,334,318,226,243,203,91,19,0,2098
LGA35800,26,14,14,12,19,25,19,3,5,132,359,144,196,160,214,270,197,110,33,1679
LGA36070,66,14,22,14,12,8,4,4,0,145,138,94,81,98,104,59,32,9,0,611
LGA36150,22,0,8,5,14,7,6,0,0,67,140,55,103,70,105,125,64,28,13,698
LGA36250,1972,1303,1065,1142,1450,1337,1004,569,286,10129,28377,18287,16086,19550,21779,21854,19053,10448,3799,159222
LGA36300,26,14,26,17,21,20,19,9,4,158,158,68,126,83,85,117,75,34,6,761
LGA36370,1742,1169,1228,1182,1126,972,591,346,164,8519,16638,10574,11142,10406,9715,9863,7504,4352,1776,81968
LGA36510,789,452,447,548,638,526,434,273,146,4254,7558,4331,3864,4968,6120,6429,5718,3029,971,42984
LGA36580,436,264,228,289,351,303,250,166,49,2338,4598,2548,2442,2897,3418,3767,3387,1639,351,25057
LGA36630,745,426,362,360,479,526,516,283,79,3774,5624,3386,3187,3137,4038,4915,5156,2732,820,32996
LGA36660,697,368,346,370,472,504,500,293,118,3672,6237,3657,3462,3492,4476,5415,5478,3068,1004,36290
LGA36720,4979,3397,3308,3650,3895,3429,2716,1716,1038,28127,59492,37383,37804,42382,45977,45184,41086,24171,9058,342541
LGA36820,578,362,327,308,431,445,419,248,125,3248,4449,2457,2335,2576,3369,4132,4063,2153,715,26244
LGA36910,2757,1920,1780,1639,1744,1655,1288,901,460,14152,33904,21902,21846,20352,20894,20570,18096,11264,4381,173204
LGA36950,100,63,40,46,40,34,23,4,5,358,901,530,518,459,402,358,187,62,10,3421
LGA36960,149,28,39,40,42,36,13,4,0,348,1329,567,644,525,417,360,205,65,9,4124
LGA37010,3711,3563,3551,3077,2767,2040,1242,644,270,20863,36970,27863,27901,25201,24814,22520,16591,8268,2647,192768
LGA37300,121,86,130,93,74,66,18,6,0,594,1052,556,797,636,572,364,91,31,10,4100
LGA37310,831,591,649,532,531,457,343,213,108,4243,7242,3965,4404,3963,4304,4175,3338,1827,625,33843
LGA37340,718,598,914,730,805,738,464,222,50,5226,6375,4007,5457,4803,5081,5170,3967,1789,503,37152
LGA37400,32,20,20,22,23,31,40,24,0,215,189,93,122,143,157,177,146,87,19,1129
LGA37550,65,14,12,7,5,4,0,0,0,100,362,172,172,98,108,69,36,8,0,1019
LGA37570,23,6,3,0,0,3,0,0,0,32,80,29,53,29,35,36,10,8,0,276
LGA37600,133,13,22,8,12,16,6,4,0,208,749,480,393,277,253,213,92,31,5,2505
LGA39499,255,435,800,739,648,553,354,67,9,3862,1437,1495,2649,2077,1929,2468,2124,444,44,14670
LGA39799,0,14,37,47,34,8,0,0,0,133,0,16,49,64,45,5,3,0,0,183
LGA40070,101,524,582,350,253,203,205,106,75,2406,1451,5953,6094,3161,2282,2284,2239,1140,425,25026
LGA40120,443,319,222,292,405,393,286,153,47,2564,7349,4789,3461,4858,6128,6085,5053,2391,768,40879
LGA40150,167,128,117,104,125,111,53,43,11,856,1840,1159,1253,1203,1474,1488,912,405,98,9835
LGA40220,318,196,183,183,271,336,327,201,73,2074,4058,2471,2224,2624,3470,4470,5343,3130,941,28730
LGA40250,66,50,59,22,35,25,8,5,3,261,555,439,477,302,269,187,62,24,17,2333
LGA40310,260,190,134,178,242,225,202,106,67,1608,4394,2579,2332,3007,3455,3609,3258,1760,671,25066
LGA40430,46,19,18,20,27,47,33,27,7,253,372,162,182,184,296,474,529,309,107,2619
