LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA36720,28,64,4,0,4,61,49,72,180,4333,3886,912,9125,228,296,524,9652,4814,139,14604
LGA36820,3,11,0,0,0,11,13,11,35,285,272,43,600,26,18,46,647,471,18,1136
LGA36910,16,30,3,0,3,37,49,53,138,2333,1763,264,4365,180,196,379,4743,2807,87,7640
LGA36950,0,3,0,0,0,3,4,6,9,83,20,14,119,0,0,0,123,86,7,205
LGA36960,0,4,0,0,0,4,3,0,10,74,56,4,132,16,0,15,151,225,0,371
LGA37010,14,34,0,6,5,40,42,60,133,3267,2095,347,5711,246,234,480,6188,2990,112,9291
LGA37300,0,5,0,0,0,5,0,3,4,66,14,4,89,3,0,3,92,9,3,101
LGA37310,0,7,0,0,0,7,7,18,38,363,296,56,712,33,41,71,783,608,25,1416
LGA37340,5,8,0,0,0,7,8,8,20,422,328,46,799,39,28,68,864,417,9,1296
LGA37400,0,0,0,0,0,0,0,0,4,12,10,5,23,0,0,0,26,0,0,29
LGA37550,0,0,0,0,0,0,0,0,3,22,20,3,48,6,3,10,58,86,4,145
LGA37570,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,3,7,18,0,27
LGA37600,0,0,0,0,0,0,3,0,4,34,24,0,59,19,5,29,87,169,0,255
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,0,0,0,0,0,0,3,3,5,202,106,11,319,11,17,24,349,194,3,548
LGA40120,0,0,0,0,0,0,0,5,6,461,352,46,851,13,21,39,889,314,7,1214
LGA40150,0,0,0,0,0,0,4,3,8,92,76,9,181,3,7,7,185,156,6,351
LGA40220,0,5,0,0,0,5,5,3,13,277,293,35,605,11,15,27,631,374,14,1015
LGA40250,5,0,0,0,0,0,6,11,16,15,35,7,57,14,5,18,74,81,11,162
LGA40310,0,3,0,0,0,3,4,0,8,315,249,33,593,21,23,43,644,251,0,895
LGA40430,0,0,0,0,0,0,0,0,6,16,17,0,33,0,0,4,37,30,0,74
LGA40520,0,3,0,0,0,3,4,4,8,126,138,21,282,18,9,27,310,238,11,560
LGA40700,6,10,3,0,3,6,3,0,14,503,369,46,920,28,28,55,972,465,5,1453
LGA40910,0,9,0,0,0,6,10,16,30,748,578,63,1386,43,52,96,1482,840,23,2349
LGA41010,0,0,0,0,0,3,0,0,3,54,24,5,79,7,0,13,93,59,3,152
LGA41060,5,12,0,0,0,13,20,19,60,1722,1209,157,3084,104,104,208,3295,2225,56,5578
LGA41140,0,5,0,0,0,5,4,0,6,76,102,13,197,5,7,13,210,103,4,319
LGA41190,0,0,0,0,0,0,0,0,4,18,14,0,31,0,0,0,29,11,0,44
LGA41330,0,0,0,0,0,0,0,3,5,4,10,0,18,3,0,3,17,32,6,49
LGA41560,7,8,0,0,0,8,11,9,25,116,166,28,307,25,18,41,348,294,14,656
LGA41750,0,0,0,0,0,0,0,0,0,7,8,0,14,0,0,0,14,6,0,21
LGA41830,0,0,0,0,0,0,0,0,0,12,12,4,31,0,3,3,36,29,0,62
LGA41960,0,0,0,0,0,0,0,0,0,7,3,4,15,0,0,0,15,15,0,31
LGA42030,0,3,0,0,0,3,6,5,19,489,380,60,935,33,33,73,1005,508,15,1524
LGA42110,0,0,0,0,0,0,0,0,0,30,37,4,67,3,0,3,72,55,0,129
LGA42250,0,0,0,0,0,0,0,0,0,55,59,15,122,0,5,7,135,72,0,209
LGA42600,0,3,0,0,0,3,0,6,14,484,349,50,880,23,14,41,922,388,8,1324
LGA42750,0,0,0,0,0,0,0,0,0,30,37,7,74,4,0,3,80,45,0,122
LGA43080,0,0,0,0,0,0,0,0,0,9,5,0,8,0,0,0,9,15,0,24
LGA43220,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,8,0,0,13
LGA43360,0,0,0,0,0,0,0,0,3,19,21,0,44,0,0,0,44,17,0,62
LGA43650,0,5,0,0,0,4,0,0,6,186,150,25,358,9,12,20,375,178,3,563
LGA43710,0,0,0,0,0,0,0,3,5,47,50,4,94,0,8,8,108,37,3,149
LGA43790,0,0,0,0,0,4,4,4,14,125,103,12,242,6,9,15,255,166,4,420
LGA44000,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5
LGA44060,4,8,0,0,0,8,8,11,34,1422,1061,101,2582,69,74,139,2718,1500,35,4258
LGA44210,0,0,0,0,0,0,5,3,7,59,81,9,147,14,11,30,179,163,6,343
LGA44340,0,8,0,0,0,8,0,7,20,903,603,58,1567,27,27,52,1623,644,21,2283
LGA44550,0,0,0,0,0,0,4,0,15,593,535,54,1180,13,24,39,1225,445,6,1678
LGA44620,0,3,0,0,0,3,12,4,19,376,395,48,820,33,33,64,885,470,15,1366
LGA44830,0,0,0,0,0,0,0,0,0,22,21,9,49,0,3,5,49,17,4,78
LGA45040,0,3,0,0,0,9,9,3,18,276,241,38,557,40,24,66,624,457,9,1091
LGA45090,0,3,0,0,0,3,0,0,3,84,63,6,156,3,5,5,163,72,0,231
LGA45120,0,0,0,0,0,0,0,0,0,33,33,0,65,0,0,3,71,67,0,142
LGA45290,0,0,0,0,0,0,0,8,9,490,318,41,846,26,25,48,893,455,11,1358
LGA45340,9,24,0,3,6,29,41,33,102,2753,2500,311,5569,178,218,394,5962,3350,61,9374
LGA45400,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,9,8,0,18
LGA45540,0,0,0,0,0,0,0,0,5,16,15,6,31,0,5,5,37,45,0,79
LGA45680,15,24,4,7,8,35,44,48,128,1564,1358,231,3152,240,263,503,3654,3112,82,6849
LGA45890,5,14,4,0,4,14,38,35,89,1752,1351,167,3273,150,150,295,3566,2757,70,6385
LGA46090,0,4,0,0,0,7,10,9,17,176,136,37,343,22,29,47,390,324,15,730
LGA46300,0,0,0,0,0,0,3,10,12,154,218,25,390,12,11,25,418,292,17,724
LGA46450,0,0,0,0,0,0,14,10,27,190,225,24,439,37,25,57,494,428,23,953
LGA46510,0,0,0,0,0,0,0,0,3,293,166,19,479,9,10,17,499,241,6,745
LGA46670,0,0,0,0,0,0,0,0,3,107,116,16,236,7,7,15,255,163,3,421
LGA46860,0,0,0,0,0,0,0,0,0,6,10,4,24,0,0,0,24,10,0,35
LGA46970,0,0,0,0,0,0,0,0,0,58,15,4,71,0,0,0,75,11,0,90
LGA47140,11,31,0,0,6,35,45,42,115,2153,1798,257,4210,190,215,408,4613,3396,81,8085
LGA47290,0,0,0,0,0,0,0,0,0,11,11,5,29,0,0,0,29,17,0,45
LGA47490,0,0,0,0,0,0,0,0,0,11,9,0,19,0,0,0,26,16,0,45
LGA47630,0,0,0,0,0,0,0,3,3,59,55,7,122,0,0,3,128,59,5,193
LGA47700,6,14,0,5,5,14,8,4,32,1589,1149,148,2879,86,77,159,3039,1475,22,4541
LGA47800,0,0,0,0,0,0,3,0,8,41,47,7,101,3,4,10,109,91,0,194
LGA47910,0,0,0,0,0,0,0,0,0,20,20,0,42,0,0,0,42,23,0,63
LGA47980,0,0,0,0,0,0,3,4,7,532,309,30,870,19,25,43,913,396,6,1320
LGA48050,0,0,0,0,0,0,0,0,9,129,219,29,377,10,8,19,394,270,4,665
LGA48130,0,0,0,0,0,0,0,3,3,46,73,10,130,8,3,12,142,145,5,292
LGA48260,0,0,0,0,0,0,0,0,0,112,48,3,161,6,3,5,170,67,0,239
LGA48340,3,3,0,0,0,3,3,3,12,109,116,16,243,10,6,19,262,175,11,440
LGA48410,5,0,0,0,0,0,4,4,14,778,527,60,1365,40,31,82,1446,908,19,2368
LGA48540,5,6,3,0,3,9,17,6,33,281,268,45,594,40,40,78,672,520,15,1201
LGA48640,0,0,0,0,0,0,0,0,0,9,8,0,13,0,0,0,18,4,0,20
LGA48750,0,3,0,0,0,3,4,0,4,33,53,3,90,9,0,6,95,74,0,173
LGA48830,0,4,0,0,5,4,13,6,19,49,58,11,120,12,3,13,130,171,3,305
LGA49399,0,0,0,0,0,0,10,0,13,16,11,3,33,5,3,4,39,45,4,87
LGA49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,3,5,0,0,0,5,10,9,23,438,455,49,942,25,27,49,988,563,21,1578
LGA50210,9,15,4,6,7,17,15,33,68,1336,928,133,2399,139,154,291,2692,1573,52,4319
LGA50250,0,0,0,0,0,0,0,0,0,62,12,4,83,0,6,5,84,30,0,111
LGA50280,0,0,0,0,0,0,0,4,4,175,237,27,441,13,7,17,462,130,5,590
LGA50350,0,6,0,0,0,6,0,4,6,249,173,16,439,19,20,33,476,237,8,718
LGA50420,8,6,0,0,0,6,15,9,31,929,641,94,1659,74,73,143,1804,983,26,2814
LGA50490,5,5,0,0,0,9,18,7,24,518,324,39,884,58,63,122,1005,698,17,1720
LGA50560,0,0,0,0,0,0,0,0,0,7,10,0,17,7,0,3,29,19,0,47
LGA50630,0,0,0,0,0,0,0,0,0,20,9,6,30,0,0,0,32,21,0,57
LGA50770,0,0,0,0,0,0,0,0,0,9,16,4,27,0,3,3,31,26,0,60
LGA50840,0,0,0,0,0,0,0,0,3,42,42,4,88,0,3,3,94,54,3,152
LGA50910,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0,0,10,14,0,19
LGA50980,0,7,0,0,0,6,15,22,44,256,133,26,417,18,25,38,453,306,34,798
LGA51080,0,0,0,0,0,0,0,0,3,16,0,0,13,0,0,0,19,18,9,44
LGA51120,0,0,0,0,0,0,0,0,0,3,7,0,7,0,4,3,14,13,0,22
LGA51190,3,7,0,0,0,5,9,3,18,478,435,69,982,36,47,81,1061,685,12,1760
LGA51260,0,6,0,0,0,6,3,9,17,447,515,54,1014,20,18,40,1058,429,8,1497
LGA51310,0,0,0,0,0,0,0,0,0,300,193,13,510,5,14,20,530,205,5,740
LGA51330,0,6,0,0,0,6,8,27,42,1100,784,87,1972,75,73,152,2118,1141,49,3307
LGA51400,0,0,0,0,0,0,0,7,9,248,211,34,492,14,17,39,528,226,7,761
LGA51470,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,7,6,0,13
LGA51540,0,0,0,0,0,0,7,5,8,64,40,5,101,4,8,13,120,93,3,219
LGA51610,0,0,0,0,0,0,0,0,0,8,6,0,18,5,5,3,28,9,0,37
LGA51680,0,0,0,0,0,0,4,0,5,63,32,6,105,0,0,6,109,52,5,165
LGA51710,0,0,0,0,0,0,0,0,0,13,6,0,23,0,0,0,24,12,0,34
LGA51750,0,0,0,0,0,0,0,3,3,141,109,8,261,10,13,21,285,115,4,399
LGA51820,3,12,0,6,6,12,14,29,53,1758,1332,159,3246,84,127,212,3464,1519,48,5028
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,7
LGA51890,0,0,0,0,0,0,5,0,10,79,85,13,172,18,17,30,203,185,3,390
LGA51960,0,0,0,0,0,0,0,0,6,48,24,7,76,4,3,4,79,45,3,130
LGA52030,0,0,0,0,0,0,0,0,0,6,6,0,10,4,0,4,18,7,0,21
LGA52100,0,0,0,0,0,0,0,0,0,4,9,0,9,6,0,6,12,0,0,17
LGA52170,0,0,0,0,0,0,0,0,0,82,69,5,155,8,3,8,161,54,0,217
LGA52240,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,5,16,0,21
LGA52310,0,0,0,0,0,0,3,0,3,4,6,0,6,0,0,0,9,14,0,29
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
LGA52450,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,11,18,0,27
LGA52520,0,0,0,0,0,0,0,0,0,7,10,0,12,0,0,0,18,14,0,26
LGA52590,0,0,0,0,0,0,0,0,0,22,23,11,52,0,7,4,59,25,5,81
LGA52660,0,3,0,0,0,3,3,3,13,202,160,22,387,15,10,23,412,156,7,573
LGA52730,0,0,0,0,0,0,0,0,0,49,92,4,144,0,0,3,145,63,3,214
LGA52800,0,0,0,0,0,0,13,0,10,50,36,15,98,11,0,11,111,253,5,373
LGA52870,0,0,0,0,0,0,0,3,3,32,56,7,99,3,3,4,101,91,0,195
LGA52940,0,0,0,0,0,0,0,0,3,6,6,0,13,0,0,0,14,10,0,23
LGA53010,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,5,0,5
LGA53080,0,0,0,0,0,0,0,4,4,7,3,0,12,0,0,6,15,14,6,29
LGA53150,0,0,0,0,0,0,0,0,0,108,71,3,185,6,3,7,192,65,0,259
LGA53220,0,0,0,0,0,0,0,0,5,68,15,9,91,3,11,12,109,84,5,195
LGA53290,0,4,0,0,0,4,0,6,13,151,103,21,276,8,9,19,292,181,11,482
LGA53360,0,0,0,0,0,0,0,0,0,28,19,0,49,0,4,4,52,15,0,71
LGA53430,0,4,0,0,0,5,6,10,14,400,334,27,768,23,24,50,819,443,17,1276
LGA53570,0,0,0,0,0,0,5,0,10,46,35,12,86,8,3,8,94,46,8,149
LGA53640,0,0,0,0,0,0,0,0,0,3,8,0,16,0,0,0,16,15,0,25
LGA53710,0,0,0,0,0,0,0,0,0,6,6,0,19,0,0,0,18,10,0,30
LGA53780,6,12,0,0,3,23,22,44,86,1653,1171,165,2994,154,162,320,3312,2046,73,5425
LGA53800,0,3,0,0,0,3,12,20,36,544,418,62,1031,48,52,99,1131,687,40,1851
LGA53920,0,0,0,0,0,0,11,16,27,23,27,8,67,5,15,18,80,193,22,298
LGA53990,3,3,0,0,0,3,6,5,17,360,302,37,700,22,32,54,755,366,12,1131
LGA54060,0,0,0,0,0,0,0,0,4,35,41,3,81,5,0,5,83,42,0,125
LGA54130,0,0,0,0,0,0,0,0,0,10,5,0,17,0,0,0,19,4,0,20
LGA54170,7,17,0,0,0,17,15,15,47,2304,1535,182,4021,105,115,214,4241,1565,40,5840
LGA54200,6,13,0,0,0,12,10,5,24,881,605,83,1567,49,61,111,1677,724,17,2415
LGA54280,6,11,0,0,0,11,3,26,41,466,173,39,680,24,17,36,714,304,34,1054
LGA54310,0,0,0,0,0,0,0,4,8,243,85,24,358,6,10,21,374,115,7,491
LGA54340,0,0,0,0,0,0,0,5,4,27,38,3,65,5,13,13,78,70,5,159
LGA54410,0,0,0,0,0,0,0,0,3,11,7,0,13,0,0,0,13,24,0,39
LGA54480,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
LGA54550,0,0,0,0,0,0,0,0,0,9,15,0,26,0,4,6,26,20,0,47
LGA54620,0,0,0,0,0,0,0,0,4,8,3,0,17,0,0,0,17,12,0,29
LGA54690,0,0,0,0,0,0,0,0,0,7,3,0,6,0,0,0,6,0,0,3
LGA54760,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,7,0,9
LGA54830,5,7,0,0,0,11,11,19,39,682,497,82,1254,64,74,142,1401,873,16,2287
LGA54900,0,0,0,0,0,0,0,0,0,6,9,3,13,0,0,0,13,3,0,18
LGA54970,0,0,0,0,0,0,0,0,0,4,4,0,12,0,0,0,15,17,0,25
LGA55040,0,0,0,0,0,0,0,0,0,18,7,0,20,0,0,0,20,8,0,31
LGA55110,7,14,0,0,0,19,15,28,64,1096,1078,148,2314,145,147,289,2609,1652,45,4306
LGA55180,0,0,0,0,0,0,5,0,4,87,82,11,171,9,7,15,187,116,0,305
LGA55250,0,0,0,0,0,0,4,0,3,8,4,0,12,6,0,3,15,24,0,42
LGA55320,5,12,0,0,3,12,10,14,45,1340,916,100,2353,55,76,135,2486,1149,33,3670
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
LGA55460,0,6,0,0,0,4,5,3,6,23,23,10,56,0,7,9,68,41,4,111
LGA55530,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,0,0,7
LGA55600,0,0,0,0,0,0,0,3,3,16,21,4,43,4,0,8,50,35,5,89
LGA55670,0,0,0,0,0,0,0,0,0,7,3,0,12,0,0,0,11,3,0,19
LGA55740,0,0,0,0,0,0,0,0,0,84,76,5,171,0,7,11,177,82,0,262
LGA55810,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,3,10,9,0,15
LGA55880,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,4,0,14
LGA55950,0,0,0,0,0,0,0,0,0,4,5,0,8,0,0,0,8,8,0,14
LGA56090,3,7,0,0,0,7,7,6,23,523,322,59,899,27,32,55,955,451,13,1421
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,9
LGA56230,0,0,0,0,0,0,4,6,8,206,181,24,409,17,23,43,456,308,11,775
LGA56300,0,0,0,0,0,0,0,0,0,11,14,0,27,0,0,6,28,10,0,37
LGA56370,0,0,0,0,0,0,0,0,0,9,0,0,12,0,0,0,11,3,0,17
LGA56460,0,0,0,0,0,0,0,3,7,62,44,6,115,14,3,18,137,66,4,210
LGA56580,0,0,0,0,0,0,0,3,0,229,145,18,396,13,11,22,420,167,0,587
LGA56620,0,0,0,0,0,0,3,0,10,4,13,4,19,8,0,4,22,73,5,107
LGA56730,0,4,0,0,0,4,4,7,16,125,125,15,266,13,17,29,300,219,4,526
LGA56790,5,5,0,0,0,5,0,0,4,21,17,5,37,0,3,5,48,37,0,78
LGA56860,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,8,3,0,8
LGA56930,0,0,0,0,0,0,0,0,0,9,12,0,26,0,0,0,24,12,0,39
LGA57000,0,0,0,0,0,0,0,0,0,6,3,0,7,0,0,0,7,0,0,12
LGA57080,0,0,0,0,0,0,0,4,8,223,105,12,337,7,10,16,360,164,8,527
LGA57140,0,0,0,0,0,0,0,0,0,3,9,3,21,0,0,5,21,23,0,40
LGA57210,0,0,0,0,0,0,3,0,5,35,52,0,99,4,3,8,101,71,5,174
LGA57280,0,5,0,0,0,5,7,12,22,229,61,23,307,13,10,26,332,154,15,501
LGA57350,0,0,0,0,0,0,0,0,0,3,5,0,10,0,0,0,9,16,0,24
LGA57420,0,0,0,0,0,0,0,4,4,24,6,3,35,5,0,3,36,21,4,61
LGA57490,14,33,0,0,0,33,32,51,113,2031,1559,254,3843,182,175,358,4201,2272,75,6551
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,0,3,0,0,0,3,13,6,20,402,306,46,759,24,26,52,805,369,3,1179
LGA57770,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,0,11,3,0,15
LGA57840,0,0,0,0,0,0,10,10,18,473,325,31,834,25,27,54,878,432,18,1329
LGA57910,10,26,7,0,7,30,21,50,100,2994,2161,224,5380,182,203,392,5769,3015,87,8871
LGA57980,3,4,0,0,0,4,0,0,6,236,142,10,390,15,11,26,415,122,0,539
LGA58050,18,35,0,0,0,32,24,36,95,2514,1702,257,4469,168,175,343,4812,2313,74,7196
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,11,0,16
LGA58260,0,0,0,0,0,0,0,0,0,10,3,0,11,0,4,4,11,5,0,18
LGA58330,0,0,0,0,0,0,0,3,5,38,30,7,75,4,5,7,82,64,10,148
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,0,13
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
LGA58510,0,0,0,0,0,0,10,8,14,396,252,24,677,24,21,45,717,367,5,1092
LGA58540,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,4,3,0,8
LGA58570,0,3,0,0,0,3,0,3,8,422,265,26,716,16,15,27,748,305,5,1051
LGA58610,0,0,0,0,0,0,0,0,0,19,14,4,33,5,4,3,39,27,0,65
LGA58680,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,6,6,0,12
LGA58760,20,46,3,4,4,50,26,46,119,3334,2536,334,6198,250,265,517,6717,3139,81,9937
LGA58820,0,0,0,0,0,0,0,5,4,32,29,5,68,3,6,11,83,58,0,144
LGA58890,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,7,5,0,18
LGA59030,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,6
LGA59100,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,9,4,0,16
LGA59170,0,0,0,0,0,0,0,0,0,10,6,0,14,0,0,0,14,6,0,24
LGA59250,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,8,11,0,17
LGA59310,0,0,0,0,0,0,0,0,0,12,16,0,26,0,0,0,31,30,0,59
LGA59320,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,0,0,13
LGA59330,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,10,0,16
LGA59340,5,3,0,0,0,3,6,13,21,97,48,9,153,3,4,11,159,185,20,358
LGA59350,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,3,9,3,0,11
LGA59360,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,13,7,0,25
LGA59370,0,0,0,0,0,0,0,0,3,41,33,3,73,6,6,11,84,45,0,133
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA60210,0,0,0,0,0,0,0,3,7,35,63,12,112,0,5,9,119,139,5,261
LGA60410,3,4,0,5,5,6,17,7,33,282,318,58,665,51,48,97,762,626,15,1403
LGA60610,0,0,0,0,0,0,3,11,16,236,249,35,524,27,32,61,582,469,13,1070
LGA60810,0,3,0,0,0,3,9,6,17,267,267,43,584,15,22,37,616,391,14,1023
LGA61010,0,0,0,0,0,0,0,0,0,14,17,3,34,3,0,8,38,37,0,77
LGA61210,0,0,0,0,0,0,0,0,5,69,71,6,149,10,9,22,174,120,7,302
LGA61410,4,6,0,0,0,4,16,15,41,922,790,89,1805,54,58,116,1914,989,36,2941
LGA61510,0,0,0,0,0,5,3,0,11,147,121,25,290,23,18,39,324,269,8,599
LGA61610,4,9,0,0,0,9,18,12,33,362,377,65,804,43,47,88,897,600,32,1522
LGA61810,0,0,0,0,0,0,0,3,3,45,71,14,123,5,5,7,134,123,7,260
LGA62010,0,0,0,0,0,0,0,0,0,10,7,0,15,0,0,0,15,9,3,25
LGA62210,0,0,0,0,0,0,3,0,7,61,79,11,154,16,14,35,187,185,0,374
LGA62410,0,0,0,0,0,0,0,0,0,19,41,11,74,9,4,10,79,71,6,154
LGA62610,0,5,0,3,6,9,29,12,50,823,713,102,1641,69,82,142,1783,1186,41,3007
LGA62810,0,0,0,0,0,0,11,6,17,616,450,57,1128,28,33,60,1184,501,14,1698
LGA63010,0,5,0,0,0,6,4,7,18,175,216,26,412,16,7,30,434,302,9,747
LGA63210,0,0,0,0,0,0,4,0,4,52,47,8,103,4,9,7,113,99,0,208
LGA63410,0,0,0,0,0,0,0,0,0,15,17,5,39,0,0,0,38,8,0,47
LGA63610,0,0,0,0,0,0,0,3,10,559,487,45,1095,26,13,39,1135,519,12,1668
LGA63810,0,0,0,0,0,0,0,4,7,141,131,13,287,6,9,18,301,176,9,481
LGA64010,3,7,0,0,4,8,26,17,50,1002,935,117,2047,76,119,197,2246,1414,35,3693
LGA64210,0,5,0,0,0,5,4,0,9,231,234,25,486,17,20,32,519,295,13,827
LGA64610,5,5,0,0,0,5,3,0,11,156,155,19,330,12,11,26,352,238,10,593
LGA64810,0,7,0,0,0,8,8,3,14,247,234,39,520,17,17,36,557,278,4,838
LGA65010,0,0,0,0,0,0,0,4,7,75,61,7,142,3,6,13,152,122,6,278
LGA65210,0,0,0,0,0,0,0,0,5,19,24,4,37,0,0,3,42,46,0,89
LGA65410,0,0,0,0,0,5,3,4,16,152,145,19,316,11,23,31,354,278,9,641
LGA65610,0,0,0,0,0,0,5,0,5,24,39,3,70,9,6,15,81,95,0,184
LGA65810,5,7,0,0,0,7,6,7,12,286,255,29,567,24,24,43,610,337,11,964
LGA69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,0,8,0,0,0,8,13,6,28,471,171,36,678,27,17,41,719,418,16,1155
LGA70420,0,0,0,0,0,0,6,10,13,49,28,7,82,23,8,31,114,256,16,388
LGA70540,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,16,4,20
LGA70620,0,0,0,0,0,0,5,0,10,9,21,8,43,18,0,18,65,160,0,224
LGA70700,0,0,0,0,0,0,0,3,3,7,12,0,21,6,0,6,23,23,3,51
LGA71000,0,8,0,0,0,9,6,27,48,1365,509,96,1971,64,51,111,2087,934,64,3088
LGA71150,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0
LGA71300,0,3,0,0,0,3,10,10,21,68,60,16,146,16,17,37,178,424,17,624
LGA72200,0,0,0,0,0,0,3,8,10,127,29,12,170,8,10,24,191,149,24,366
LGA72300,3,4,0,0,0,4,3,13,20,273,104,39,418,17,15,32,455,175,19,651
LGA72330,0,4,0,0,0,4,7,19,21,38,38,9,85,10,0,18,98,218,19,340
LGA72800,0,7,0,0,0,8,10,11,26,890,294,72,1251,51,31,82,1332,496,32,1867
LGA73600,0,0,0,0,0,0,5,0,5,54,32,10,95,17,13,27,120,246,3,377
LGA74050,0,0,0,0,0,0,0,4,3,6,15,4,28,11,12,22,54,97,4,155
LGA74550,4,0,0,0,0,4,0,4,7,18,20,11,48,12,3,14,63,82,4,147
LGA74560,0,0,0,0,0,0,0,0,0,6,3,0,8,0,0,0,8,9,0,13
LGA74660,0,0,0,0,0,0,5,8,17,48,33,8,89,20,12,33,119,214,7,344
LGA74680,0,0,0,0,0,0,9,0,11,12,14,0,29,8,0,8,35,125,0,162
LGA79399,0,0,0,0,0,0,0,0,3,67,14,13,91,0,0,0,92,21,0,120
LGA79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,9,33,4,0,6,34,34,67,130,7659,3101,565,11321,245,226,470,11790,4745,117,16650
LGA89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,0,0,0,0,0,0,0,0,4,32,33,4,65,0,0,0,69,26,0,100
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
