LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA14170,821,3962,638,491,84,9914,3160,750,5122,1278,977,183,11474,495,100,1225,311,268,37,2445,403,95,905,362,657,52,2469,498,98,1328,374,426,307,3025,18445,4511,39587,10219,10471,1675,84910
LGA14220,52,265,75,136,9,583,33,36,169,153,386,35,809,0,0,4,0,12,4,17,3,0,5,26,182,6,227,0,4,11,10,86,35,148,140,129,857,644,2346,240,4349
LGA14300,13,52,22,40,0,148,11,15,70,50,105,6,262,0,0,0,0,8,0,7,3,0,3,0,37,3,46,0,0,0,3,20,10,43,51,49,295,215,842,70,1526
LGA14350,75,347,131,217,20,857,79,64,398,296,707,72,1620,0,0,18,16,27,0,64,8,3,21,36,208,0,275,3,0,14,27,146,71,262,239,198,1285,1019,3829,383,6955
LGA14400,151,510,128,143,16,1208,221,104,582,247,260,22,1431,3,3,45,18,39,4,115,9,7,33,53,141,3,244,14,6,58,28,86,22,211,875,409,2489,1324,2643,197,7935
LGA14500,405,2145,388,223,59,4831,2088,435,3517,710,425,184,7357,123,21,278,63,80,8,574,192,50,440,163,257,27,1134,564,56,867,195,167,156,2001,13395,2419,23129,5018,3923,1072,48965
LGA14550,42,100,49,66,5,284,23,13,140,100,160,17,461,0,0,6,5,11,3,19,0,0,10,12,62,0,84,0,0,10,11,46,22,98,97,90,477,362,1086,118,2232
LGA14600,26,118,30,49,10,246,14,10,56,40,57,9,186,0,0,0,0,3,0,3,0,0,3,10,41,0,52,6,6,6,5,25,16,54,66,47,306,211,704,87,1429
LGA14650,585,3608,1015,1338,104,8035,1518,742,5088,2796,4763,425,15321,25,17,173,118,282,26,644,90,38,322,413,2089,61,3006,83,35,358,292,1086,283,2127,5057,2305,17410,11149,30478,1939,68341
LGA14700,130,737,113,65,21,1632,752,165,1344,246,170,45,2732,57,18,137,51,37,3,316,86,18,155,70,165,10,508,183,21,310,74,64,55,707,4707,927,9128,1933,1750,405,18853
LGA14750,42,210,52,124,10,475,16,7,111,72,153,15,369,0,0,6,0,11,0,18,0,0,10,18,103,0,137,3,0,3,14,58,15,95,111,83,612,394,1625,127,2951
LGA14850,219,859,230,332,24,1982,376,214,1223,648,1072,89,3611,6,0,56,27,51,3,149,17,9,82,90,394,15,609,37,13,94,68,202,58,472,1062,651,3754,2074,5723,433,13703
LGA14870,49,187,68,137,10,522,53,54,224,148,328,28,837,4,0,20,10,32,3,70,3,0,21,24,171,7,232,0,0,17,27,100,32,174,266,170,941,820,3034,227,5455
LGA14900,364,2520,777,838,108,6154,1481,421,4123,2025,2071,338,10453,32,12,188,112,191,18,554,112,22,312,371,1287,65,2166,235,44,739,444,931,444,2828,6801,1548,19834,11217,17877,2384,59658
LGA14920,11,83,30,53,3,196,11,10,75,60,110,14,286,0,0,3,0,3,0,13,0,0,10,7,61,0,80,0,0,12,9,27,13,64,69,35,358,259,992,100,1806
LGA14950,8,36,17,20,3,95,6,7,42,32,79,3,170,0,0,0,0,0,0,0,0,0,0,4,25,0,31,0,0,4,0,13,9,25,28,29,164,158,499,40,920
LGA15050,252,1275,387,607,39,2986,451,285,1730,1090,2076,164,5789,7,7,48,43,104,9,208,24,16,97,212,1030,26,1405,32,11,108,130,495,125,910,1638,887,6164,4883,14768,817,29152
LGA15240,202,1098,378,550,43,2568,380,225,1390,1051,2160,253,5467,11,13,50,39,140,11,262,24,10,63,133,715,25,958,33,12,92,112,420,164,830,1115,675,4393,3640,11610,1106,22544
LGA15270,73,381,96,155,16,814,79,51,304,210,367,46,1058,0,0,22,8,37,0,70,3,6,22,39,268,5,347,10,0,18,18,127,39,224,356,195,1536,1133,4236,303,7760
LGA15300,35,195,57,65,11,394,29,25,115,81,120,12,387,3,0,3,0,6,0,21,0,0,12,23,132,0,169,4,3,11,8,51,28,109,112,105,802,537,1398,161,3118
LGA15350,65,391,68,44,12,886,411,71,620,148,88,38,1369,47,11,105,22,27,13,225,35,12,97,45,59,3,246,96,19,241,61,28,42,499,2889,563,5920,1345,943,291,11950
LGA15520,45,206,26,60,8,376,51,48,158,104,164,20,549,0,6,13,11,28,3,55,0,0,12,19,70,0,106,0,0,13,17,54,25,116,129,132,813,574,1661,174,3487
LGA15560,11,43,9,28,4,98,0,7,29,28,24,10,96,0,0,0,0,0,0,3,0,0,4,0,36,0,35,0,0,0,0,12,11,22,34,33,188,149,475,55,931
LGA15650,29,174,48,99,6,395,23,23,115,105,220,21,512,0,0,3,6,18,4,35,0,0,6,19,169,7,205,7,0,9,9,87,36,146,144,99,663,650,2829,207,4596
LGA15700,67,296,76,134,5,637,69,54,282,200,448,45,1086,4,0,9,5,17,0,42,6,0,15,32,133,8,196,6,5,21,19,107,43,197,212,180,989,722,2364,248,4715
LGA15750,26,183,51,57,12,372,16,28,121,109,211,13,501,4,0,16,0,18,0,37,4,0,12,15,121,9,164,6,0,16,11,68,30,128,148,99,727,480,1804,168,3421
LGA15800,18,100,21,39,3,193,14,7,59,48,75,12,210,0,0,0,0,4,0,12,3,0,3,8,46,5,64,0,0,8,5,20,10,32,48,43,300,206,691,74,1360
LGA15850,14,100,27,59,5,216,5,11,82,55,77,14,242,0,0,0,0,11,0,17,0,0,7,4,71,0,83,0,0,8,8,31,8,56,51,37,380,225,828,68,1593
LGA15900,583,3597,714,893,106,7854,2263,811,6307,2053,3135,323,14893,50,27,274,115,239,11,719,120,48,371,333,1249,42,2164,168,36,467,210,691,233,1798,7648,2617,21800,8827,19740,1554,62183
LGA15950,234,1215,197,122,42,2862,1267,261,1999,412,252,84,4277,109,19,293,70,72,11,581,133,31,276,152,199,12,799,299,42,724,150,113,91,1419,8952,1861,17915,3760,2909,758,36152
