LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA10800,0,0,0,84,21,103,0,0,0,0,0,0,0,0,0,700,687,1381,89,58,154,31,3,33,13,0,13,7,0,3,23,9,31,87,75,167,1033,855,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,5,0,10,16,0,12,22,4,25,0,0,0,0,0,0,0,0,0,0,0,0,206,182,388,84,129,213,20,15,33,1363,1184,2545
LGA10850,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,1170,1064,2233,76,51,128,43,0,49,11,5,17,7,0,7,12,8,18,65,60,123,1397,1195,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,17,8,24,16,6,25,0,0,0,0,0,0,0,0,0,0,0,0,240,273,516,152,191,343,8,8,23,1827,1674,3503
LGA10900,290,157,451,11,23,30,3,0,3,0,0,0,7,22,31,8063,6133,14203,350,445,789,274,6,274,81,7,87,62,20,75,69,68,140,314,278,595,9526,7154,16683,28,19,52,0,0,0,0,0,0,45,18,58,12,11,25,23,5,31,110,58,167,0,0,0,0,0,0,0,4,9,0,0,4,0,0,0,0,12,11,96,26,121,205,96,302,9,12,25,0,0,3,7,3,6,18,15,28,6054,7226,13278,2394,3469,5858,73,68,137,18272,18023,36295
LGA10950,0,0,0,32,16,53,0,0,0,0,0,0,0,0,0,361,295,656,49,33,75,21,0,21,0,5,6,4,4,3,10,4,12,33,43,78,509,396,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,0,8,6,0,11,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,77,74,151,36,64,100,10,13,25,649,549,1199
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,251,529,26,37,63,18,5,21,4,0,4,0,0,0,6,6,18,58,61,112,398,352,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,6,15,11,7,18,0,0,0,0,0,0,5,0,5,5,0,5,62,64,127,24,48,76,11,8,12,512,477,992
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,102,212,3,20,23,4,0,4,3,4,6,0,0,0,9,3,8,44,50,90,175,175,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,3,0,0,0,0,0,0,0,0,3,0,0,3,27,22,52,9,19,32,4,6,8,218,222,446
LGA11250,0,0,0,5,4,8,3,0,0,0,0,0,5,7,12,2558,2477,5038,221,254,473,37,0,37,40,6,45,28,0,28,25,7,25,137,131,267,3060,2893,5956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,18,15,35,24,15,38,0,0,0,0,0,0,0,0,0,0,0,0,104,193,298,394,445,837,25,23,42,3605,3570,7172
LGA11300,956,974,1935,138,181,321,0,0,0,0,0,0,14,12,27,2988,1690,4675,148,324,469,75,5,76,80,3,90,43,11,52,51,35,88,245,384,629,4737,3631,8363,344,401,748,0,0,4,12,16,36,39,15,55,10,25,31,19,13,26,425,474,898,0,0,0,0,0,0,3,0,3,0,12,12,8,3,9,11,23,29,44,13,54,472,512,983,50,45,92,6,0,5,0,0,5,51,51,99,3146,3566,6715,1106,1420,2528,36,34,69,9553,9215,18768
LGA11350,0,0,0,10,21,35,0,0,0,0,0,0,7,5,10,4130,3879,8014,189,227,416,114,4,111,72,8,77,187,144,337,53,50,105,334,308,641,5094,4649,9745,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,4,4,5,45,46,88,55,49,103,0,0,0,0,0,3,0,0,0,5,0,10,1937,2489,4424,953,1346,2303,89,60,148,8126,8596,16724
LGA11400,0,0,0,10,5,14,0,0,0,0,0,0,7,4,3,2217,1991,4197,115,105,219,100,0,98,32,3,36,5,0,5,26,13,40,140,110,248,2640,2231,4867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,33,8,43,31,12,44,0,0,0,0,0,0,0,0,0,0,0,7,523,503,1026,195,331,527,23,28,54,3421,3107,6525
LGA11450,313,216,531,47,82,131,4,3,7,0,0,3,23,15,38,17335,11297,28634,790,854,1646,671,8,676,142,12,149,60,13,69,132,114,243,184,185,375,19700,12802,32503,55,77,133,0,0,0,0,0,0,163,84,251,9,25,42,0,3,4,238,193,432,0,0,0,0,0,0,10,9,15,12,13,25,0,4,3,24,21,42,162,66,224,428,276,707,49,45,92,6,0,8,5,0,4,57,55,109,6845,10228,17073,3589,5277,8868,122,101,226,30745,28734,59482
LGA11500,1126,1123,2252,159,228,387,0,4,5,0,0,0,62,58,119,18842,13336,32179,1153,1752,2906,481,11,494,199,11,213,65,9,76,192,143,336,319,387,704,22606,17073,39675,287,362,650,0,0,0,9,12,15,218,151,369,40,79,123,36,19,53,588,628,1217,0,0,0,0,0,0,11,7,23,14,27,38,4,8,17,32,40,72,159,114,269,780,784,1563,125,152,280,8,4,16,7,3,10,141,162,302,8392,10294,18689,6322,5889,12207,209,138,344,38452,34339,72788
LGA11520,655,665,1318,252,346,597,62,36,97,3,5,6,32,25,54,8324,5235,13559,304,670,968,173,3,176,166,14,172,128,36,164,139,78,222,376,471,844,10602,7578,18181,182,252,431,3,3,4,11,12,19,47,27,74,12,27,37,18,9,30,272,326,595,10,8,15,6,3,8,12,13,26,8,23,33,7,10,16,44,52,98,70,55,130,379,445,825,47,37,89,6,8,11,10,3,8,61,53,112,10030,11660,21683,2125,3214,5338,100,80,181,23293,23024,46315
LGA11570,2279,2004,4283,400,635,1035,5,0,3,10,4,17,120,100,223,29750,18634,48383,1430,2723,4153,773,13,786,384,43,426,215,53,265,455,298,753,860,1166,2027,36677,25678,62353,616,861,1477,5,3,7,16,38,58,245,132,379,41,108,146,71,32,108,1003,1178,2176,0,0,0,6,4,9,27,30,53,20,81,98,15,16,38,63,131,192,337,208,548,1401,1515,2919,213,241,452,10,7,19,11,7,18,235,255,491,19489,23640,43131,12737,11121,23857,528,317,848,71062,62529,133597
LGA11600,0,0,0,19,10,25,0,0,0,0,0,0,0,0,0,499,336,839,45,53,100,26,0,25,5,0,5,0,0,4,15,5,19,60,53,112,675,461,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,122,88,212,40,51,85,7,8,11,853,612,1468
LGA11650,710,420,1126,363,489,849,25,5,24,6,0,9,31,41,75,41863,32545,74408,2367,2556,4924,1164,26,1192,414,36,451,211,59,273,348,226,580,904,1034,1934,48394,37446,85838,231,163,393,5,7,8,0,0,5,287,108,392,39,32,72,42,21,59,603,323,926,3,9,10,0,0,0,21,21,37,30,58,92,12,16,33,71,107,178,448,175,624,1123,602,1722,100,63,163,17,14,28,13,3,23,132,85,211,16727,21701,38433,9425,14522,23942,364,317,684,76165,74670,150834
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,106,216,9,14,26,7,0,8,0,0,3,0,0,0,8,3,13,45,44,85,176,172,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65,55,121,11,14,27,8,3,11,265,248,510
LGA11720,3,7,11,19,38,54,8,8,15,0,0,0,6,3,14,9423,7313,16740,470,469,939,301,11,309,68,9,72,31,7,36,50,41,96,187,196,381,10568,8104,18669,3,5,9,0,0,0,0,0,0,4,3,10,4,0,4,0,0,0,12,8,21,0,0,0,0,0,0,0,5,5,5,3,11,4,0,4,11,12,16,94,39,131,118,51,170,5,0,3,0,0,0,3,0,3,8,0,13,1250,2282,3528,1869,2728,4599,80,63,139,13886,13227,27120
LGA11730,5,0,5,26,33,59,0,0,0,0,0,0,13,11,18,6550,6281,12834,474,447,922,233,9,241,62,3,69,119,46,168,64,29,95,403,353,762,7942,7221,15167,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,15,0,15,94,47,139,108,50,152,0,0,0,0,5,3,4,0,4,6,7,7,904,1184,2089,893,1280,2175,99,84,187,9949,9822,19770
LGA11750,0,0,0,11,0,15,0,0,0,0,0,0,7,5,4,658,514,1173,33,43,71,26,0,23,6,0,3,5,0,9,4,0,4,55,62,120,805,632,1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,4,11,0,0,0,0,0,0,0,0,0,0,0,0,70,94,160,122,101,220,5,7,8,1012,831,1844
LGA11800,9,3,10,100,117,211,4,0,4,0,0,0,15,28,47,11422,11055,22480,852,1017,1865,278,8,285,173,27,198,169,42,208,92,42,136,380,413,788,13494,12752,26244,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,4,0,4,7,7,18,0,0,0,0,0,0,6,4,11,5,12,19,0,0,0,9,18,29,111,70,180,126,93,223,0,0,0,0,4,6,7,0,7,14,4,14,1548,2097,3643,1431,2281,3715,106,107,212,16718,17336,34050
LGA12000,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,657,604,1259,59,38,101,27,3,29,6,0,6,4,0,4,13,0,18,55,48,105,818,699,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,13,13,3,15,0,0,0,0,0,0,0,0,0,0,0,0,135,137,268,49,108,157,14,9,22,1017,959,1982
LGA12150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,441,430,876,40,21,64,10,0,10,5,5,8,0,0,0,14,9,16,50,58,105,562,522,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0,93,80,175,43,62,100,7,9,16,709,678,1386
LGA12160,0,0,0,27,9,38,0,0,0,0,0,0,0,0,0,1556,1358,2920,128,132,259,63,4,66,12,3,15,8,8,14,23,9,27,115,107,218,1926,1628,3553,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,24,22,10,32,0,0,0,0,0,0,0,0,0,0,0,0,217,252,467,145,245,393,31,15,51,2347,2150,4497
LGA12350,0,0,0,9,0,9,3,0,3,0,0,0,0,4,4,1829,1577,3406,140,109,247,78,8,82,13,5,24,11,0,11,33,13,42,129,105,237,2247,1810,4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,29,23,3,31,0,0,0,0,0,0,0,0,0,0,0,0,255,311,565,149,309,452,31,18,52,2700,2460,5158
LGA12380,2661,2737,5399,274,364,635,5,0,4,3,5,10,97,97,197,19870,11084,30957,1041,2068,3110,477,6,481,242,14,259,152,33,184,325,214,539,702,788,1492,25850,17421,43274,808,1134,1942,0,0,6,29,35,65,178,93,270,71,126,198,56,37,93,1144,1427,2567,0,0,0,0,0,3,19,11,29,12,44,60,13,13,19,48,63,111,219,144,369,1411,1635,3045,236,247,485,3,4,11,5,0,3,243,257,499,12534,13123,25660,6920,5984,12907,421,222,639,47386,38643,86028
LGA12390,0,0,0,64,45,106,4,3,5,0,0,0,21,45,72,9110,8406,17514,719,861,1582,265,4,263,103,13,114,70,17,91,60,42,102,330,280,611,10742,9708,20453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,8,3,0,5,0,0,0,10,7,16,99,59,153,104,68,172,3,0,8,3,0,6,6,0,8,14,6,16,933,1315,2246,887,1441,2324,93,80,172,12776,12610,25386
LGA12700,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1406,1085,2490,59,58,118,56,3,62,24,4,22,0,0,3,13,11,24,68,43,107,1632,1199,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,13,11,6,18,0,0,0,0,0,0,0,0,0,0,0,0,396,503,897,250,367,620,15,19,34,2311,2093,4403
LGA12730,0,0,0,0,5,4,0,0,0,0,0,0,0,4,4,1283,1276,2558,80,78,159,33,0,37,16,0,17,25,3,27,14,5,19,71,88,167,1519,1467,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,13,31,19,12,32,0,0,0,0,0,0,0,0,3,0,0,3,229,192,423,110,195,303,28,17,42,1895,1878,3773
LGA12750,0,3,4,35,28,64,4,0,5,0,0,3,9,10,10,5001,4722,9724,323,354,675,211,6,214,42,4,52,59,35,95,43,20,65,217,238,452,5932,5425,11358,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,0,0,8,0,5,8,0,0,0,4,4,11,60,14,68,65,25,87,0,0,0,0,0,0,3,0,4,3,3,5,757,1022,1771,695,1021,1717,81,73,149,7529,7566,15097
LGA12850,574,619,1192,165,236,396,6,0,6,4,0,4,38,43,79,18466,11855,30321,963,1809,2774,604,9,617,88,15,96,87,13,98,191,140,329,349,464,814,21526,15204,36729,224,237,462,0,0,0,4,3,10,141,97,236,24,45,75,12,9,29,402,401,804,0,0,0,0,0,0,11,23,32,6,31,40,9,7,14,22,57,81,226,173,400,648,636,1282,86,109,196,8,5,13,11,0,9,100,121,215,6250,8726,14971,5414,4802,10215,243,165,413,34181,29654,63831
LGA12870,4,0,4,5,0,4,0,0,0,0,0,0,0,0,5,1994,1693,3681,114,109,219,62,0,64,20,0,19,28,3,34,28,5,34,119,114,232,2368,1931,4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,38,23,10,38,0,0,0,0,0,0,0,0,3,0,0,3,216,293,515,189,363,554,27,26,54,2835,2629,5466
LGA12900,0,0,0,8,6,19,0,0,0,0,0,0,5,3,5,1484,1276,2766,92,101,198,58,4,56,11,3,18,18,3,14,25,0,30,104,74,178,1818,1475,3293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,26,27,3,27,0,0,0,0,0,0,0,0,0,0,3,3,220,237,454,110,213,321,28,25,54,2193,1959,4150
LGA12930,2269,2345,4611,161,296,458,4,0,4,5,4,7,46,40,80,12830,8273,21099,532,1318,1852,243,6,250,191,11,200,85,13,96,185,137,317,653,1037,1691,17203,13479,30681,585,779,1362,6,0,6,16,41,62,124,67,196,31,71,102,44,22,68,802,980,1783,0,0,0,0,0,0,6,3,14,8,33,41,0,11,10,23,51,69,143,86,225,967,1111,2079,91,154,246,0,6,12,4,0,0,94,163,256,12176,13598,25773,5568,5802,11370,172,124,295,36179,34286,70462
LGA12950,0,0,0,12,3,16,0,0,0,0,0,0,0,0,0,507,496,1010,41,31,67,27,0,33,8,5,14,9,0,7,7,12,21,54,61,119,662,608,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,8,4,11,0,0,0,0,0,0,3,0,3,3,0,3,171,145,316,50,116,164,14,13,24,907,881,1792
