LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA20260,0,0,0,87,25,0,0,23,3,4,0,5,0,9,41,108,0,0,0,3,0,0,0,0,0,0,5,10,231,47,9,318,46,121,19,65,20,75,48,1001
LGA20570,6,23,0,2002,125,25,11,135,16,72,12,25,11,34,356,829,4,0,0,15,0,0,0,4,0,8,34,72,2509,597,102,4181,596,1691,178,582,133,747,417,11742
LGA20660,24,85,3,5534,134,27,13,151,22,74,14,30,19,71,347,906,10,0,10,13,5,5,0,0,3,11,36,102,3907,811,139,5712,833,2368,232,751,168,1126,417,16457
LGA20740,0,8,3,396,42,17,5,68,6,18,3,19,9,31,119,331,0,5,3,0,0,0,0,0,0,0,19,34,635,303,69,1134,166,448,78,216,72,295,152,3565
LGA20830,9,9,4,919,66,12,6,111,11,47,13,16,4,34,199,519,11,0,9,7,7,3,3,0,0,4,31,85,1242,343,94,2248,375,961,119,304,89,390,245,6408
LGA20910,30,141,13,7938,181,46,12,174,23,92,5,34,15,46,324,958,9,4,7,11,8,9,0,4,3,9,33,91,3877,632,103,4428,583,2251,139,571,115,719,384,13810
LGA21010,0,0,0,116,14,7,4,17,6,5,0,4,5,8,53,126,0,0,0,3,0,0,0,0,0,0,9,19,257,68,21,368,53,151,23,63,29,88,71,1197
LGA21110,50,232,3,11943,229,33,15,222,35,149,19,58,13,102,687,1556,25,3,9,24,5,21,0,6,3,5,43,152,6190,1090,153,6464,797,3491,221,1144,182,1585,758,22080
LGA21180,19,131,3,3051,143,43,34,137,42,156,14,70,59,194,598,1492,8,0,6,13,7,0,0,3,10,35,127,221,4296,1090,221,4899,862,4742,304,2152,489,4051,825,23938
LGA21270,0,0,0,63,12,5,0,14,0,3,0,0,0,8,12,62,0,0,0,0,0,0,0,0,0,0,0,4,124,21,9,212,24,80,6,14,6,39,15,554
