LGA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA10800,7,0,0,0,7,0,0,7,245,8,4,5,257,0,0,0,257,0,0,257,321,25,7,0,355,0,0,0,355,10,0,370,30,4,6,0,44,0,0,0,44,0,0,47,7,0,6,10,18,0,0,0,19,0,0,19,602,43,16,17,679,3,0,3,682,13,0,696,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,5,0,0,5,6,0,5,0,11,0,0,0,11,0,0,11,610,42,17,17,689,3,0,3,694,13,0,708,106,17,0,3,127,4,0,4,132,22,0,147,0,0,0,0,0,0,0,0,0,0,5,5,718,58,21,19,813,8,0,8,821,34,5,863
LGA10850,5,0,0,0,5,0,0,5,348,47,3,6,399,4,4,5,409,12,0,415,446,24,16,0,489,6,0,6,494,26,0,521,52,6,3,0,65,0,0,0,65,0,0,65,9,0,0,5,12,0,0,0,12,0,0,12,853,70,28,11,963,10,4,15,978,38,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,8,0,0,10,3,3,0,0,12,0,0,0,12,0,0,13,856,74,28,13,974,10,4,15,987,36,0,1026,193,25,7,4,230,3,4,5,234,21,0,254,0,0,0,10,10,0,0,0,10,0,8,16,1053,104,34,23,1213,11,6,17,1229,57,8,1299
LGA10900,290,0,0,5,294,55,0,351,3285,537,210,23,4056,29,11,43,4094,275,0,4372,3864,938,189,18,5009,38,10,39,5054,238,9,5296,804,169,154,13,1139,6,5,14,1148,47,3,1198,37,0,8,29,73,0,0,0,71,0,14,84,7990,1638,558,83,10269,70,25,98,10368,565,29,10957,32,10,7,0,52,3,0,3,55,0,0,57,74,16,4,0,94,0,0,0,98,4,0,102,111,23,10,0,150,6,0,6,155,9,0,165,8101,1660,571,87,10415,75,25,102,10521,572,29,11115,1632,333,121,32,2118,49,9,54,2178,330,0,2510,5,0,0,5,11,0,0,0,11,3,17,35,9740,1993,693,123,12553,125,36,154,12705,908,46,13658
LGA10950,5,0,0,0,5,0,0,5,123,0,0,3,132,0,0,0,132,0,0,132,136,8,8,0,149,0,0,0,149,5,0,155,20,0,3,0,25,0,0,0,25,4,0,30,3,0,0,0,3,0,0,0,3,0,0,3,282,6,19,3,310,0,0,0,310,9,0,316,5,0,0,0,5,5,0,5,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,5,0,5,5,0,0,5,287,6,19,3,312,5,0,5,316,9,0,324,51,3,0,0,55,4,0,4,63,5,0,69,0,0,0,0,0,0,0,0,0,0,0,0,338,8,19,3,368,7,0,7,380,16,0,396
LGA11150,0,0,0,0,0,0,0,0,104,5,0,3,120,0,0,0,121,9,0,127,85,0,0,0,84,0,0,0,84,0,0,87,8,0,0,0,12,0,0,0,12,0,0,12,4,0,0,7,14,0,0,0,14,0,0,14,204,4,7,12,226,0,0,0,229,14,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,4,7,12,226,0,0,0,229,14,0,238,37,0,0,0,39,5,0,9,51,20,0,63,0,0,0,6,6,0,0,0,6,0,19,20,241,7,7,16,269,9,0,8,276,32,19,323
LGA11200,0,0,0,0,0,0,0,0,38,6,0,0,38,0,0,0,38,0,0,45,25,6,0,0,26,0,0,0,26,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,62,11,0,3,72,0,0,0,72,5,0,82,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11,0,3,72,0,0,0,76,5,0,84,11,21,0,0,28,0,0,0,28,22,0,53,0,0,0,0,0,0,0,0,0,0,0,0,66,30,0,3,101,0,0,0,102,33,0,133
LGA11250,8,0,0,0,8,0,0,11,501,48,29,10,576,5,4,11,588,37,0,620,480,64,19,5,568,7,0,7,578,29,0,601,84,13,6,0,116,0,0,0,116,4,0,116,3,0,0,9,22,0,0,0,22,3,0,27,1073,128,55,27,1284,14,4,20,1301,66,7,1369,6,5,0,0,8,0,0,0,10,0,0,10,18,3,0,0,24,0,0,0,27,5,0,29,24,3,0,0,33,5,0,5,35,5,0,38,1099,135,56,27,1317,13,4,18,1330,74,7,1410,269,30,18,12,327,16,14,26,350,75,3,425,0,0,0,4,7,0,0,0,7,0,8,11,1370,168,68,42,1648,27,13,44,1688,146,7,1847
LGA11300,216,6,0,7,228,68,4,296,1210,202,62,5,1480,21,15,35,1510,147,0,1666,949,375,82,26,1424,32,5,36,1461,122,5,1586,201,61,101,0,365,0,0,0,368,21,0,392,12,0,0,12,30,0,0,0,30,6,3,38,2374,638,243,40,3302,58,14,75,3373,297,4,3678,34,12,5,4,46,8,0,10,55,6,0,70,33,11,5,0,48,4,3,8,57,6,4,59,66,25,9,4,99,11,3,20,114,15,4,132,2441,660,250,47,3392,67,24,91,3489,314,8,3806,641,174,142,33,992,40,11,56,1045,407,9,1457,0,0,0,0,3,0,0,0,3,0,19,32,3081,834,396,80,4389,110,36,146,4537,726,33,5288
LGA11350,26,0,0,0,26,3,0,31,707,209,30,7,950,6,3,7,960,74,10,1045,1411,610,44,24,2091,13,7,27,2117,133,5,2250,119,45,24,7,200,0,0,0,194,17,0,219,23,0,0,16,38,0,0,0,43,3,11,52,2257,869,102,56,3276,22,15,33,3316,231,18,3570,4,14,0,0,22,6,0,6,24,3,0,24,39,12,3,0,51,0,5,8,56,5,0,64,41,29,3,0,74,8,5,13,83,8,0,89,2294,893,98,56,3351,29,16,47,3397,242,18,3655,491,191,40,14,733,21,4,31,761,128,4,890,9,8,0,0,12,0,0,0,12,3,26,39,2797,1085,141,75,4100,52,29,73,4172,366,47,4589
LGA11400,19,0,0,0,19,3,0,20,730,69,14,7,826,4,0,4,825,22,0,851,1024,92,25,9,1143,3,4,10,1152,8,0,1155,99,16,3,0,118,0,3,3,120,0,0,120,15,0,10,12,32,0,0,0,32,0,0,32,1873,173,41,21,2114,7,6,16,2123,28,0,2153,6,0,5,0,10,0,0,0,10,0,0,14,19,3,0,0,19,0,0,0,20,0,0,20,29,3,5,0,30,0,0,0,35,0,0,35,1898,182,44,21,2148,10,6,11,2162,33,0,2193,290,31,6,7,331,6,0,6,341,31,0,370,0,0,0,0,0,0,0,0,0,0,5,8,2189,206,46,31,2481,14,7,21,2502,66,5,2574
LGA11450,495,8,4,8,509,67,5,576,7162,978,456,47,8642,107,20,125,8767,396,11,9180,6537,1648,417,82,8686,113,5,117,8803,377,6,9184,1988,466,537,26,3024,33,16,41,3068,84,0,3157,91,22,21,128,261,0,0,0,263,25,44,332,15785,3113,1432,276,20616,244,39,286,20903,882,72,21851,152,28,16,7,207,44,0,44,248,22,0,276,264,53,14,8,344,17,11,28,371,18,0,387,416,77,34,17,548,64,11,71,622,48,0,666,16201,3194,1467,300,21158,314,48,359,21522,926,72,22515,3690,954,426,131,5200,150,15,163,5366,1162,21,6548,12,4,7,43,63,0,0,0,66,0,91,157,19908,4155,1899,469,26423,460,63,520,26950,2090,182,29223
LGA11500,788,29,5,30,821,207,4,1032,6380,1079,750,63,8272,206,40,248,8521,781,30,9332,4975,1443,741,70,7226,176,33,218,7440,768,26,8231,1326,327,669,22,2354,49,0,47,2401,148,4,2552,99,15,29,173,317,14,0,14,330,30,42,405,12774,2864,2194,328,18163,444,79,522,18692,1729,104,20515,266,59,33,7,360,72,19,88,449,88,5,539,411,114,58,11,588,84,15,101,694,80,6,774,675,175,91,17,953,157,29,189,1145,171,6,1318,13448,3037,2284,348,19120,606,106,711,19831,1897,105,21833,5406,1649,1030,290,8369,383,70,456,8823,3365,48,12244,41,13,4,61,116,4,0,5,119,27,180,328,18895,4701,3319,697,27604,992,178,1168,28770,5293,335,34402
LGA11520,458,12,4,18,470,94,0,566,4404,529,168,30,5131,111,9,127,5258,358,8,5623,3477,867,160,14,4519,76,18,93,4610,207,3,4822,816,147,187,12,1159,11,0,12,1166,62,3,1234,38,15,5,69,128,3,0,3,133,5,12,148,8735,1562,514,129,10939,205,23,229,11165,636,28,11835,93,18,0,0,113,8,0,8,115,9,0,128,116,18,17,0,143,16,0,22,166,8,0,174,208,26,14,0,253,22,8,29,282,21,0,302,8945,1591,529,131,11194,228,32,254,11455,656,28,12136,1892,401,171,31,2494,64,9,77,2566,508,8,3081,14,14,0,17,40,6,0,6,43,0,41,88,10851,2004,701,180,13726,292,41,330,14062,1163,75,15302
LGA11570,1974,69,35,102,2079,914,31,3022,9569,1579,1440,91,12677,276,85,359,13038,1803,34,14873,8465,2888,1458,127,12943,225,63,289,13224,1738,32,15001,2256,783,1845,40,4931,77,10,86,5016,564,20,5600,124,52,51,272,491,11,9,14,505,105,59,672,20412,5305,4799,530,31045,584,162,745,31794,4208,143,36140,301,83,54,16,459,151,17,168,626,143,0,768,433,191,90,18,733,188,75,256,992,193,3,1188,737,277,147,32,1192,341,88,428,1615,339,7,1963,21153,5579,4946,561,32238,922,252,1170,33410,4547,150,38109,9569,4560,3495,728,18357,1328,370,1703,20062,14040,212,34307,85,46,27,176,337,10,0,12,348,86,501,936,30807,10189,8473,1464,50935,2265,625,2888,53820,18674,860,73353
LGA11600,0,0,0,0,0,0,0,0,113,0,0,0,111,0,0,0,113,0,0,118,190,5,0,0,196,5,0,5,198,3,0,202,20,0,0,0,20,0,0,0,20,0,0,20,4,0,0,8,6,0,0,0,6,0,0,6,321,10,0,5,341,4,0,4,343,4,0,347,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,7,10,0,0,0,10,0,0,0,10,0,0,10,337,10,0,5,349,4,0,4,352,4,0,356,76,9,0,0,83,0,0,0,83,0,0,83,5,0,0,0,5,0,0,0,5,0,0,5,406,18,0,5,433,4,0,4,439,4,0,440
LGA11650,993,10,3,12,1007,136,0,1145,11004,2043,658,66,13770,182,64,245,14015,966,20,14996,15479,3509,989,141,20118,169,45,213,20332,932,37,21298,3463,851,804,47,5168,38,8,43,5215,238,5,5457,225,29,17,200,475,5,0,10,490,35,40,561,30181,6436,2472,457,39544,394,113,510,40047,2166,100,42316,187,70,3,10,273,33,13,48,320,30,0,347,376,115,29,6,536,21,12,26,566,38,0,608,564,185,39,21,809,55,20,77,887,70,0,961,30745,6622,2508,476,40348,450,137,584,40932,2238,100,43271,6722,1592,606,186,9104,208,63,276,9384,1697,36,11116,50,10,0,66,122,0,0,0,122,10,144,280,37516,8223,3117,725,49581,659,204,855,50442,3949,278,54660
