LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA22620,290,552,390,268,299,76,18,1890,65,61,37,10,22,8,7,210,18,24,20,5,4,3,0,72,500,961,771,557,649,196,77,3712,17,39,14,15,12,5,0,104,26,43,26,16,26,0,0,136,37,77,43,35,36,7,0,241,540,1043,814,593,686,205,73,3952,585,614,321,241,218,49,25,2057,16,24,15,6,8,3,0,69,1138,1683,1154,841,908,255,100,6084
LGA22670,162,379,246,179,270,162,102,1499,38,27,20,8,19,14,10,134,23,31,18,17,19,12,5,127,388,773,525,405,632,405,263,3384,22,48,15,24,34,18,23,184,28,68,39,26,36,24,11,235,48,114,56,54,76,42,33,423,435,887,578,457,708,449,293,3805,613,688,374,280,380,238,182,2754,31,49,23,9,14,4,4,136,1082,1622,971,742,1106,688,481,6695
LGA22750,446,1056,691,504,635,196,99,3629,92,98,68,52,57,25,5,405,26,41,25,12,19,7,5,140,829,1854,1342,1056,1464,535,251,7326,18,45,38,30,42,10,4,187,55,108,58,29,28,9,0,294,72,154,99,61,65,21,8,479,903,2012,1437,1116,1530,558,261,7811,842,948,561,415,420,166,76,3432,41,31,16,6,6,0,0,107,1785,2991,2014,1542,1961,726,335,11343
LGA22830,137,310,177,136,142,39,7,943,24,33,10,6,20,5,6,105,11,16,14,8,12,0,0,62,243,554,363,287,340,91,32,1911,10,16,15,14,11,6,0,75,30,24,21,13,9,7,0,100,35,44,31,32,23,13,3,178,283,596,397,313,366,106,30,2083,366,398,214,136,150,24,14,1303,5,15,20,0,3,5,0,46,649,1006,634,453,517,130,46,3435
LGA22910,22,48,33,34,30,7,0,176,5,7,0,3,6,0,0,24,0,0,0,0,0,0,0,3,41,79,70,57,67,10,5,323,0,5,0,0,4,0,0,16,0,0,0,0,0,0,0,9,0,11,4,0,6,0,0,25,39,88,72,58,72,11,5,343,39,54,25,15,15,0,0,157,0,0,0,0,0,0,0,4,77,139,97,80,88,15,14,500
LGA22980,19,10,9,9,10,0,0,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,21,16,18,15,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,23,21,18,20,19,0,0,101,14,18,10,9,8,0,0,59,3,0,0,0,0,0,0,4,41,39,26,26,28,4,0,165
LGA23110,92,219,167,116,144,80,55,869,23,26,15,16,13,5,0,100,6,9,5,8,10,0,0,39,202,486,419,311,405,231,146,2195,13,24,25,6,15,13,7,110,14,18,16,6,5,4,3,64,24,48,39,12,25,16,8,173,224,531,457,326,430,248,157,2371,205,219,135,102,90,57,26,837,7,9,0,6,0,0,0,25,439,759,590,434,520,302,183,3236
LGA23190,50,71,68,50,46,20,0,300,11,13,3,3,3,0,0,34,5,3,3,0,0,0,0,11,87,127,110,93,94,25,7,548,0,3,3,0,0,0,0,14,0,12,0,3,4,0,0,20,4,12,5,5,3,0,0,32,90,145,118,98,96,25,7,578,120,106,50,28,21,0,0,331,5,5,5,4,0,0,0,11,214,254,169,128,125,29,3,926
LGA23270,339,625,439,296,405,204,111,2417,66,71,40,41,56,22,6,300,26,37,25,16,19,10,6,139,679,1261,901,682,1001,531,300,5361,32,58,39,33,36,19,10,225,38,95,58,34,40,21,18,310,69,160,93,69,79,39,27,533,749,1423,992,750,1079,571,328,5895,1063,1234,731,501,637,304,165,4638,22,57,19,17,6,4,0,126,1837,2707,1746,1265,1722,880,502,10659
LGA23350,13,42,28,24,36,7,0,150,5,17,3,5,5,0,0,31,0,0,0,0,0,0,0,0,30,88,76,59,83,15,6,361,0,0,0,0,0,0,0,5,3,3,3,3,0,0,0,8,3,0,3,3,0,0,0,19,30,86,82,67,87,17,6,374,49,33,23,18,21,0,0,148,0,0,0,0,0,0,0,5,83,129,104,85,107,15,8,526
