LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA17310,24249,26112,50366,10873,7144,18018,2845,6073,8919,748,953,1703,707,630,1341,15174,14806,29980,7284,9460,16743,4.6,4.3,4.5,62.6,56.7,59.5,59.7,54.3,56.9,551,761,1315,256,613,871,1895,3460,5355,1432,2540,3970,6577,4068,10646,267,536,800,369,745,1122,7212,5354,12563,23491,24559,48055,4684,4909,9595,14999,15657,30657,11418,12296,23718
LGA17350,2387,2544,4939,1039,552,1591,265,657,923,86,89,175,41,34,79,1435,1329,2764,825,1079,1908,2.9,2.7,2.8,60,52.2,56,58.2,50.8,54.4,18,35,58,19,48,66,143,301,446,94,214,303,677,358,1035,32,70,100,36,71,103,743,500,1245,2416,2501,4911,348,379,723,1822,1880,3699,792,842,1640
LGA17400,2864,2993,5856,826,490,1320,330,609,934,84,95,175,106,72,183,1343,1264,2611,1239,1442,2684,7.9,5.8,6.9,47,42.3,44.6,43.3,39.8,41.5,55,43,94,25,64,92,177,319,497,173,258,430,690,386,1079,33,75,109,49,69,112,776,527,1303,2553,2661,5210,414,442,857,1866,1893,3763,951,1079,2030
LGA17420,73682,77526,151213,35429,23858,59284,10130,17168,27297,4376,5524,9901,2253,1868,4119,52185,48412,100595,19463,27003,46461,4.3,3.9,4.1,70.8,62.4,66.5,67.8,60,63.8,9563,8766,18334,1530,2338,3866,18064,20922,38988,7034,9169,16201,11472,5324,16787,394,835,1225,1294,2100,3389,13158,8254,21411,77958,80137,158094,13487,13989,27479,49232,50565,99795,37381,38878,76257
LGA17550,38478,42828,81307,12621,7718,20343,5884,11164,17048,1438,1855,3290,1162,977,2143,21107,21719,42819,14506,18077,32582,5.5,4.5,5,54.8,50.7,52.7,51.8,48.4,50,1137,1448,2582,493,1092,1581,3957,6282,10237,2969,4901,7865,10660,5607,16261,338,680,1014,658,1244,1899,11653,7525,19176,36597,39498,76099,6361,7014,13382,23783,25469,49259,17123,19063,36189
LGA17620,5735,5857,11587,2747,1640,4385,577,1382,1956,227,215,442,131,95,224,3679,3330,7009,1649,2155,3808,3.5,2.9,3.2,64.2,56.9,60.5,62,55.2,58.5,77,124,201,35,87,115,353,724,1073,299,528,831,1713,949,2666,59,119,182,83,177,261,1856,1245,3105,5638,5559,11192,900,1012,1913,3873,3826,7693,2304,2425,4734
LGA17640,3572,3528,7106,1546,868,2415,413,889,1303,133,143,276,73,45,125,2173,1948,4122,1095,1288,2384,3.5,2.4,3,60.8,55.2,58,58.6,53.9,56.3,99,109,207,34,102,132,290,482,771,249,393,642,978,478,1451,37,72,114,59,89,143,1071,638,1709,3469,3346,6819,417,451,871,2521,2368,4883,1159,1248,2407
LGA17650,2356,2561,4915,957,608,1568,298,643,940,78,97,182,65,54,115,1402,1404,2806,789,985,1771,4.6,3.8,4.2,59.6,54.7,57,56.8,52.7,54.6,98,140,239,38,65,108,218,418,637,167,290,459,640,342,982,41,48,88,39,63,105,723,459,1182,2298,2431,4730,342,403,752,1697,1772,3471,814,936,1750
LGA17750,25886,27974,53857,12873,8039,20907,3311,7185,10498,781,1096,1877,764,639,1397,17725,16953,34679,6555,9436,15989,4.3,3.8,4,68.5,60.6,64.4,65.5,58.3,61.8,948,1071,2014,372,779,1144,2699,4658,7353,1703,2742,4444,7075,3997,11075,307,510,820,366,702,1066,7743,5210,12965,25078,26424,51501,5377,5896,11272,15251,15996,31251,13275,14462,27733
LGA17850,1258,1247,2508,589,289,873,122,301,426,39,37,77,23,17,43,778,639,1419,348,481,830,3.3,2.6,3,61.7,51.5,56.6,59.7,50.1,54.9,20,30,50,4,27,35,92,146,239,77,118,195,310,172,481,23,36,53,10,23,38,341,233,573,1208,1187,2390,133,137,268,882,852,1730,394,405,799
LGA17900,2180,2101,4282,616,437,1060,159,334,492,68,60,123,71,47,120,909,870,1791,716,657,1376,8,5.3,6.7,41.9,41.6,41.7,38.5,39.4,39,9,20,33,11,28,34,92,221,316,121,150,269,375,211,584,25,45,79,36,45,80,436,299,735,1676,1557,3230,267,281,549,1227,1102,2331,599,631,1228
LGA17950,1022,1037,2056,498,273,779,59,202,268,31,32,65,32,20,52,621,537,1160,286,378,657,5.1,3.9,4.6,61.1,51.7,56.4,58,49.7,53.8,15,12,28,9,21,32,55,130,190,48,95,149,201,87,287,14,16,35,15,11,31,230,119,347,968,977,1943,127,135,262,723,715,1445,308,322,630
LGA18020,3804,3872,7669,1281,742,2023,361,783,1148,118,112,232,106,112,221,1868,1753,3619,1399,1565,2968,5.6,6.5,6.1,49.1,45.2,47.2,46.4,42.3,44.3,54,61,114,19,72,87,191,390,582,172,329,506,850,490,1340,42,100,144,45,94,137,934,682,1617,3438,3371,6812,480,523,1004,2583,2535,5115,1126,1180,2305
LGA18050,27726,30069,57794,13820,10900,24719,3973,6175,10154,1417,1935,3356,742,730,1472,19956,19743,39699,5939,8377,14317,3.7,3.7,3.7,72,65.7,68.7,69.3,63.2,66.1,3818,4042,7856,587,1000,1581,9465,11140,20609,2174,3123,5293,2760,1170,3928,112,209,319,378,530,904,3246,1910,5153,23827,25040,48863,7038,7770,14807,13628,14456,28085,15689,16882,32569
LGA18100,1561,1488,3050,596,285,874,145,370,513,45,51,96,45,29,73,824,730,1560,629,646,1270,5.1,4.2,4.7,52.9,49.3,51.1,50.2,47.2,48.7,10,31,41,9,38,39,94,167,261,85,150,239,375,203,579,15,33,49,38,29,66,433,260,693,1518,1431,2944,168,164,333,1172,1086,2262,448,451,894
LGA18200,3117,2912,6027,1307,690,1992,274,685,960,107,123,225,82,58,142,1770,1546,3317,918,1014,1938,4.6,3.8,4.2,56.8,53.2,55.1,54.2,51.2,52.7,29,46,75,23,59,78,163,348,515,179,292,476,753,358,1106,30,63,97,36,56,97,820,478,1303,2898,2702,5604,402,395,795,2009,1792,3801,1083,1097,2186
LGA18250,29110,32219,61331,13632,9841,23476,4089,6525,10618,1368,1856,3222,873,856,1731,19963,19074,39043,8136,11947,20085,4.4,4.5,4.4,68.6,59.2,63.7,65.6,56.5,60.8,5051,5185,10240,818,1192,2013,9745,10599,20344,2298,3355,5649,2024,1102,3132,116,220,334,421,638,1057,2557,1963,4522,28502,30790,59293,6424,6846,13270,17990,19646,37633,15178,16327,31508
LGA18350,20845,23064,43908,8309,4887,13201,3179,5783,8960,812,991,1807,386,346,733,12686,12011,24693,7034,9835,16869,3,2.9,3,60.9,52.1,56.2,59,50.6,54.6,1409,1382,2796,380,747,1133,3069,4205,7279,1826,2976,4797,5396,2543,7941,183,393,573,418,783,1199,5999,3714,9714,20011,21635,41646,3684,4031,7714,12900,13938,26844,9752,10665,20418
LGA18400,20938,21308,42243,9514,5539,15053,2817,5369,8186,1573,1717,3288,413,371,784,14320,12997,27316,5558,7250,12808,2.9,2.9,2.9,68.4,61,64.7,66.4,59.2,62.8,472,761,1232,174,448,624,1424,2756,4179,1491,2548,4035,7593,3270,10865,156,430,584,372,653,1024,8116,4357,12471,22523,22352,44878,2885,2976,5866,15482,15281,30764,8284,8538,16825
LGA18450,86252,90609,176857,33166,20054,53221,12006,21178,33183,5127,6492,11615,2830,2191,5023,53129,49914,103044,29108,36450,65557,5.3,4.4,4.9,61.6,55.1,58.3,58.3,52.7,55.4,5609,5907,11512,1339,2706,4049,12004,15779,27776,6980,9453,16438,22271,11230,33493,757,1496,2258,1366,2632,3997,24393,15362,39749,85563,88007,173573,14068,14760,28822,58779,60728,119508,35553,37022,72581
LGA18500,20973,24566,45542,10105,8104,18209,3118,4645,7763,907,1346,2252,448,514,963,14582,14610,29195,5288,8578,13867,3.1,3.5,3.3,69.5,59.5,64.1,67.4,57.4,62,3597,3520,7117,541,860,1403,7633,9004,16629,1445,2346,3789,1246,746,1994,67,129,197,259,461,722,1578,1336,2913,18854,21278,40131,4590,5501,10091,11435,13167,24598,11030,12634,23666
LGA18710,6760,7101,13862,3429,2257,5684,909,1850,2761,222,339,563,137,120,254,4697,4560,9256,1715,2218,3937,2.9,2.6,2.8,69.5,64.2,66.8,67.5,62.6,65,459,488,948,175,322,497,923,1404,2324,613,808,1413,1665,831,2494,50,106,162,94,203,293,1803,1138,2945,7052,7327,14377,925,972,1897,4811,4965,9778,2771,2960,5730
LGA19399,428,408,840,201,137,342,72,97,166,23,27,48,7,6,16,303,267,572,89,100,192,2.6,2.2,2.5,70.9,65.4,68.2,69,64,66.5,5,16,21,5,5,9,38,54,93,25,46,68,125,60,177,3,4,14,9,13,23,135,78,216,422,386,807,54,59,111,330,289,615,122,136,261
LGA19499,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,0,31,31.6,0,24.1,25.8,0,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,5513,5699,11211,2010,1156,3166,904,1637,2538,314,302,617,80,53,133,3313,3145,6456,1803,2160,3964,2.5,1.7,2.1,60.1,55.2,57.6,58.6,54.3,56.4,185,233,410,123,246,372,623,920,1545,449,678,1124,1523,690,2216,55,90,143,83,122,208,1661,905,2566,5226,5306,10526,802,828,1630,3591,3634,7224,2179,2281,4458
LGA20260,5334,4741,10072,1793,1059,2851,575,1145,1716,186,221,402,96,80,178,2650,2499,5151,2357,1934,4287,3.7,3.2,3.4,49.7,52.7,51.1,47.9,51.1,49.4,84,105,192,42,140,183,322,566,893,325,564,893,1168,625,1800,47,75,128,48,79,129,1264,785,2054,4481,4478,8958,612,684,1292,3095,3051,6153,1725,1866,3593
LGA20570,43794,48643,92434,18850,10858,29711,6242,13465,19708,1507,2175,3685,1437,1198,2639,28040,27704,55738,13365,18371,31738,5.1,4.3,4.7,64,57,60.3,60.7,54.5,57.4,2106,2525,4631,1001,2010,3010,5666,8120,13786,3453,5007,8463,10607,6399,17011,456,721,1177,492,755,1249,11559,7879,19439,42600,46187,88791,8600,9229,17831,26317,28483,54806,22072,24129,46197
LGA20660,49949,53856,103806,23531,14435,37965,7185,14703,21882,1636,2430,4070,1593,1286,2877,33948,32852,66800,14225,19269,33495,4.7,3.9,4.3,68,61,64.3,64.8,58.6,61.6,5028,5368,10389,1485,2967,4451,10948,13470,24414,4713,5580,10290,8775,3942,12716,302,456,760,641,1051,1689,9722,5452,15173,51625,54616,106240,7070,7526,14600,35828,38306,74130,19836,21008,40843
LGA20740,16670,17951,34626,5156,2845,7999,2409,4452,6863,761,872,1633,394,263,658,8725,8426,17155,6743,8198,14942,4.5,3.1,3.8,52.3,47,49.5,50,45.5,47.6,478,595,1074,313,659,976,1583,2512,4099,1364,2116,3473,4763,2190,6955,140,306,443,256,331,583,5160,2824,7981,15276,16031,31306,2918,3149,6071,9217,9593,18810,8157,8781,16942
LGA20830,22429,24236,46666,9892,5150,15037,2846,6689,9528,868,1168,2038,558,497,1052,14160,13500,27658,6939,9375,16319,3.9,3.7,3.8,63.1,55.7,59.3,60.6,53.6,57,569,811,1382,364,812,1171,1957,3336,5285,1686,2835,4521,6860,3621,10483,178,414,591,330,470,800,7366,4507,11874,22352,23401,45755,3647,4074,7724,13800,14324,28125,10741,11730,22470
LGA20910,39406,44233,83632,18237,11420,29660,6171,11643,17810,1187,1845,3038,1108,955,2064,26702,25864,52571,11334,16697,28032,4.1,3.7,3.9,67.8,58.5,62.9,65,56.3,60.4,4645,4462,9110,1290,2283,3572,11378,12720,24102,3715,5111,8823,4218,2066,6287,153,303,457,535,942,1474,4905,3308,8210,39831,43579,83408,6489,6944,13439,27047,29800,56851,17394,18803,36197
LGA21010,5999,6459,12460,2242,1235,3478,714,1520,2235,244,295,539,133,89,224,3329,3141,6471,2168,2782,4952,4,2.8,3.4,55.5,48.7,51.9,53.3,47.3,50.2,132,169,296,94,197,287,392,739,1133,461,718,1181,1633,883,2515,57,122,178,92,99,189,1782,1104,2879,5620,6012,11629,723,782,1504,3834,4058,7892,2234,2417,4648
LGA21110,66732,74237,140967,30537,21151,51690,11169,19301,30470,2071,2763,4832,2121,1832,3953,45894,45042,90942,18718,26788,45507,4.6,4.1,4.3,68.8,60.7,64.5,65.6,58.2,61.7,10879,10427,21309,2418,4217,6638,21550,24174,45721,5223,7160,12383,4790,2654,7447,273,402,679,663,1112,1779,5727,4173,9903,65468,71454,136925,12031,12713,24742,43629,48053,91684,31016,33293,64305
LGA21180,79991,80858,160852,30591,17446,48036,11610,17113,28719,2972,3246,6221,3795,3303,7097,48961,41114,90074,25494,34702,60192,7.8,8,7.9,61.2,50.8,56,56.5,46.8,51.6,3461,3235,6695,753,1629,2382,10440,12338,22778,6040,7166,13204,12680,6765,19446,654,934,1588,1075,1423,2502,14407,9125,23533,80851,81682,162532,9621,9043,18664,57929,59888,117814,27821,26444,54266
LGA21270,2699,2543,5241,1102,456,1553,277,651,929,80,83,167,56,34,96,1516,1227,2748,920,1085,2003,3.6,3,3.4,56.2,48.3,52.4,54.1,46.9,50.6,25,47,66,16,61,76,148,304,448,123,245,367,685,314,996,16,38,51,30,28,61,734,381,1110,2573,2435,5003,264,258,518,1948,1811,3754,781,770,1552
LGA21370,15740,16383,32122,6494,3348,9840,1752,4331,6083,652,796,1446,353,286,639,9251,8754,18010,5307,6465,11774,3.8,3.2,3.5,58.8,53.4,56.1,56.5,51.7,54.1,177,306,483,152,373,533,924,1859,2777,891,1641,2540,4490,2307,6801,130,246,377,167,270,436,4790,2823,7611,15323,15759,31077,2153,2257,4418,10879,10997,21877,5739,6211,11948
LGA21450,44553,46867,91426,23450,12249,35700,5722,13215,18938,1660,2412,4068,1265,1363,2628,32102,29238,61340,10085,15168,25256,3.9,4.7,4.3,72.1,62.4,67.1,69.2,59.5,64.2,1762,2094,3856,517,1441,1958,4573,7101,11678,4095,6008,10105,12531,6793,19329,369,707,1079,565,931,1492,13467,8424,21897,46538,47883,94421,7908,8241,16151,26428,26996,53421,24240,25458,49700
LGA21610,139362,142834,282197,68960,37236,106191,19920,36402,56320,4994,6054,11045,5383,5042,10427,99250,84737,183983,33187,51283,84469,5.4,6,5.7,71.2,59.3,65.2,67.4,55.8,61.5,7408,7803,15210,1559,3531,5092,18059,23603,41664,14280,17292,31577,29317,16438,45753,1228,1833,3060,1831,2748,4579,32383,21022,53401,148684,150099,298780,22547,22608,45158,88123,89334,177461,71344,72400,143741
LGA21670,5645,5867,11511,1553,865,2419,598,1273,1871,188,213,399,176,113,295,2527,2466,4985,2652,2989,5643,7.1,4.7,5.9,44.7,42,43.3,41.6,40,40.8,54,78,138,44,114,157,271,498,772,253,521,779,1560,809,2371,67,120,180,66,91,157,1689,1021,2707,5381,5546,10922,636,699,1337,3935,3949,7884,1861,2088,3948
LGA21750,9276,9412,18690,3857,1957,5810,1284,2653,3937,405,490,895,190,126,311,5733,5225,10959,2903,3594,6501,3.3,2.4,2.9,61.8,55.5,58.6,59.8,54.2,56.9,189,294,488,99,262,369,693,1228,1916,622,988,1608,2456,1388,3845,90,124,211,119,153,277,2661,1671,4331,9051,9117,18165,1223,1218,2445,6239,6241,12480,3546,3639,7184
LGA21830,6731,6705,13433,2960,1409,4369,801,1804,2604,297,308,603,96,107,199,4158,3620,7783,2053,2608,4666,2.3,2.9,2.6,61.8,54,57.9,60.4,52.5,56.4,88,149,235,74,165,242,426,841,1268,381,683,1067,1760,872,2626,62,101,162,85,83,168,1896,1064,2961,6586,6542,13125,789,785,1573,4785,4734,9514,2237,2283,4523
LGA21890,60688,65528,126214,26881,19780,46659,10177,16971,27147,2308,2972,5282,2446,1986,4436,41811,41706,83522,15803,20735,36542,5.9,4.8,5.3,68.9,63.6,66.2,64.9,60.6,62.7,6238,7823,14063,1777,3542,5319,14025,16628,30654,5087,6015,11098,7956,4182,12142,386,499,885,668,891,1562,9012,5571,14586,56827,60219,117042,11330,12218,23552,36919,39955,76869,27851,29247,57097
LGA22110,20241,21189,41422,6325,3504,9828,2550,5155,7700,782,876,1663,524,353,877,10175,9888,20066,8428,9617,18049,5.1,3.6,4.4,50.3,46.7,48.4,47.7,45,46.3,384,539,922,287,636,917,1399,2436,3831,1538,2379,3913,5710,2849,8558,179,361,540,327,374,702,6224,3579,9803,18878,19462,38335,2857,3070,5926,12725,12999,25722,8038,8603,16636
LGA22170,54823,58620,113444,26070,14750,40819,7012,15871,22886,1899,2942,4839,1805,1512,3319,36787,35082,71872,14870,20322,35188,4.9,4.3,4.6,67.1,59.8,63.4,63.8,57.3,60.4,1581,2223,3805,782,1936,2718,5713,8954,14672,5028,7658,12691,15153,8058,23207,470,859,1335,778,1236,2018,16399,10161,26558,55720,58270,113987,7835,8540,16377,36856,38306,75161,23098,24957,48055
LGA22250,4484,4526,9007,1767,824,2595,432,1065,1502,143,153,293,95,64,163,2440,2106,4551,1666,2046,3715,3.9,3,3.5,54.5,46.5,50.5,52.4,45.1,48.7,33,64,103,29,91,122,201,399,598,212,397,608,1193,626,1820,31,71,107,42,54,96,1261,758,2024,4267,4287,8549,527,573,1101,3135,3110,6245,1443,1534,2974
LGA22310,58836,64003,122840,28644,19486,48129,9562,17315,26876,1927,2690,4618,1917,1600,3520,42045,41096,83148,14662,20457,35117,4.6,3.9,4.2,71.5,64.2,67.7,68.2,61.7,64.8,7670,8023,15689,1783,3235,5023,16854,19377,36233,5197,6678,11872,6502,3420,9926,267,443,711,691,1118,1816,7461,4982,12447,57301,60881,118180,11889,12428,24315,36250,39365,75621,29597,30774,60370
LGA22410,8470,8590,17065,3262,1628,4892,1003,2201,3209,361,372,734,226,179,408,4853,4386,9237,3003,3640,6648,4.7,4.1,4.4,57.3,51,54.2,54.7,48.9,51.8,96,163,258,74,229,306,476,859,1337,452,874,1327,2357,1313,3671,70,162,230,124,155,280,2552,1627,4178,8129,8156,16284,1068,1139,2206,5708,5582,11293,3090,3338,6429
LGA22490,9891,9589,19477,4880,2247,7128,1205,3034,4242,431,540,965,208,191,398,6725,6011,12733,2639,3117,5748,3,3.2,3.1,68,62.7,65.4,65.9,60.7,63.3,201,296,500,155,393,553,757,1416,2178,802,1230,2027,3320,1544,4861,83,179,262,132,161,291,3534,1883,5414,10751,10307,21065,1165,1154,2316,7544,7051,14595,3748,3804,7551
LGA22620,47166,51561,98733,20046,11473,31519,6503,14240,20742,1667,2379,4044,1349,1090,2442,29564,29181,58745,14829,19538,34370,4.6,3.7,4.2,62.7,56.6,59.5,59.8,54.5,57,1536,2004,3534,923,2068,2987,4983,7985,12966,3671,5337,9005,12615,7113,19730,460,849,1312,596,874,1471,13665,8845,22508,47024,49758,96783,7632,8488,16116,30293,31583,61880,21302,23669,44972
LGA22670,66239,64563,130795,25823,14339,40162,10092,13258,23351,2109,2079,4190,2982,2377,5362,41006,32051,73065,20952,28761,49713,7.3,7.4,7.3,61.9,49.7,55.9,57.4,46,51.8,3614,3452,7063,629,1165,1797,8988,9747,18730,5502,5826,11332,8868,4850,13720,532,644,1174,835,1042,1876,10234,6538,16770,64936,63983,128917,9952,9162,19115,41587,42403,83990,29056,26725,55781
LGA22750,107346,115941,223284,45947,26020,71968,15597,32795,48392,3805,5424,9230,3294,2695,5988,68647,66931,135579,33270,43377,76647,4.8,4,4.4,64,57.7,60.7,60.9,55.4,58,5688,5912,11600,2071,4560,6632,14939,20968,35907,9586,13416,23009,25907,14636,40545,894,1438,2329,1284,1966,3246,28078,18036,46116,103160,109541,212699,19537,21345,40882,63473,67738,131211,52465,56815,109288
LGA22830,27123,28064,55188,11382,6484,17866,3185,6983,10170,955,1150,2107,848,590,1438,16376,15199,31576,8559,10785,19340,5.2,3.9,4.6,60.4,54.2,57.2,57.2,52.1,54.6,669,830,1495,348,849,1202,1988,3478,5462,1774,2974,4746,6376,3506,9889,257,405,662,296,449,751,6932,4369,11305,26858,27078,53930,3912,4362,8277,17660,17647,35303,11313,12217,23528
LGA22910,6943,7309,14251,2353,1257,3612,1093,1853,2944,258,336,598,169,129,300,3877,3580,7459,2520,3118,5637,4.3,3.7,4,55.8,49,52.3,53.4,47.2,50.2,395,447,836,185,344,531,862,1302,2161,642,884,1525,1616,803,2423,63,88,150,95,131,229,1779,1028,2802,6613,6809,13424,819,852,1675,4559,4738,9297,2588,2676,5263
LGA22980,2435,2417,4851,1009,456,1469,215,563,780,61,91,150,56,37,93,1345,1146,2492,913,1096,2008,4,3.2,3.7,55.3,47.5,51.4,53.1,45.9,49.5,30,48,79,14,56,75,118,279,401,112,239,349,594,315,907,34,41,72,39,38,76,665,391,1056,2329,2345,4677,295,283,579,1736,1691,3427,758,797,1551
LGA23110,36029,38359,74390,17068,11161,28225,4775,9002,13783,1268,1745,3012,1326,1124,2447,24438,23033,47468,9729,13541,23277,5.4,4.9,5.2,67.8,60,63.8,64.1,57.1,60.5,2708,3078,5783,823,1754,2572,6772,8539,15313,3203,3911,7113,6761,2965,9723,230,343,579,460,648,1106,7450,3955,11410,36100,37831,73935,5907,6168,12073,24506,25930,50439,14996,15818,30816
LGA23190,8090,8603,16691,3732,1994,5725,1028,2439,3465,301,369,671,184,138,313,5238,4936,10177,2376,3195,5573,3.4,2.7,3.1,64.8,57.4,61,62.6,55.8,59.1,183,236,419,93,274,365,574,1123,1693,590,978,1567,2233,1246,3475,74,146,219,100,139,241,2403,1532,3934,8143,8438,16584,1152,1286,2439,5579,5687,11263,3245,3483,6730
LGA23270,93744,95401,189145,39507,21291,60797,13476,21089,34568,3559,3974,7532,4446,3929,8379,60982,50287,111268,27336,40010,67345,7.3,7.8,7.5,65.1,52.7,58.8,60.3,48.6,54.4,4605,4774,9381,972,2409,3386,11117,14408,25528,8621,10275,18895,17407,9862,27262,845,1144,1998,1232,1763,2999,19485,12774,32255,98089,98613,196701,15762,15721,31480,59338,60347,119683,46502,46562,93062
LGA23350,7022,7297,14324,2958,1724,4677,913,2061,2974,290,423,715,113,105,216,4273,4310,8584,2311,2579,4895,2.6,2.5,2.5,60.8,59,59.9,59.3,57.6,58.4,224,344,571,142,400,541,738,1276,2017,574,891,1466,2040,970,3016,65,106,179,110,116,224,2215,1206,3416,6895,7141,14040,939,1064,2001,4864,5072,9942,2571,2777,5356
LGA23430,62717,68202,130919,30213,18996,49207,8834,18185,27020,2139,2911,5058,1964,1660,3625,43156,41753,84913,17160,23974,41128,4.6,4,4.3,68.8,61.2,64.9,65.7,58.8,62.1,4436,5181,9612,1337,2680,4009,11980,15145,27129,6290,8036,14322,12162,5661,17828,391,696,1089,890,1408,2300,13450,7772,21216,64013,68393,132407,9170,9578,18746,43846,47195,91035,25690,27235,52930
LGA23670,63878,68114,131987,30975,18209,49186,9075,18414,27487,2022,2822,4854,2005,1776,3777,44077,41227,85303,17649,24592,42245,4.5,4.3,4.4,69,60.5,64.6,65.9,57.9,61.8,4356,4428,8778,1128,2267,3394,11112,13613,24720,6189,8218,14406,14056,6862,20917,503,746,1246,831,1332,2161,15391,8940,24327,66942,69810,136756,7642,8024,15668,47470,49669,97135,23605,24656,48262
LGA23810,30738,32889,63627,11721,6273,17990,3391,8243,11627,1082,1436,2515,1356,914,2274,17548,16861,34411,10810,13575,24381,7.7,5.4,6.6,57.1,51.3,54.1,52.7,48.5,50.5,569,811,1373,299,800,1099,2054,3444,5495,1920,3168,5083,9669,5009,14683,301,544,851,329,505,838,10298,6069,16366,30132,31379,61508,4199,4604,8800,20784,21198,41980,11709,12964,24673
LGA23940,3348,3251,6602,1181,562,1740,350,720,1071,118,156,276,87,70,163,1736,1511,3246,1231,1362,2595,5,4.8,4.9,51.8,46.4,49.2,49.2,44.2,46.8,26,43,72,21,84,111,165,355,521,173,309,482,872,367,1238,24,58,82,43,63,104,941,488,1430,3127,3050,6175,314,332,643,2401,2248,4646,901,991,1891
LGA24130,20143,21092,41232,9372,5073,14437,2745,6159,8907,849,1078,1929,445,387,832,13413,12695,26107,5651,7270,12923,3.3,3,3.2,66.6,60.2,63.3,64.4,58.4,61.3,1040,1328,2370,523,1130,1647,2879,4131,7010,1915,2535,4451,5244,2174,7415,135,244,383,279,410,685,5662,2824,8486,21185,21696,42879,2619,2796,5416,14414,14824,29234,8167,8498,16659
LGA24210,50015,54541,104556,20916,12708,33627,7728,13632,21356,1587,1959,3547,1730,1490,3223,31964,29782,61749,16432,22939,39371,5.4,5,5.2,63.9,54.6,59.1,60.5,51.9,56,5511,5148,10657,1216,2018,3233,12265,13754,26019,4719,5899,10619,6506,3060,9561,246,411,654,609,1135,1740,7356,4599,11959,51067,54528,105591,7024,7447,14468,35297,37958,73251,20394,21603,41992
LGA24250,4152,4277,8430,1514,891,2404,627,1165,1793,192,223,417,56,35,92,2382,2322,4701,1440,1621,3057,2.3,1.6,2,57.4,54.3,55.8,56,53.4,54.7,113,163,267,61,168,229,396,639,1029,317,572,887,1316,479,1801,29,63,90,70,78,150,1418,617,2041,3807,3814,7626,769,908,1672,2440,2418,4855,1989,2141,4127
