LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA11450,43153,46073,89228,21162,13766,34924,6149,10758,16906,3437,4210,7650,1063,1099,2153,31806,29832,61637,9809,14555,24362,3.3,3.7,3.5,73.7,64.7,69.1,71.2,62.4,66.7,1971,2559,4527,478,1120,1601,5146,7974,13117,4012,5755,9771,12018,6162,18182,305,711,1016,795,1185,1984,13117,8062,21180,46845,48507,95352,8756,9199,17954,24255,24974,49231,26629,28274,54902
LGA11500,66824,70834,137653,24028,16795,40824,7992,12548,20533,6434,4998,11431,2576,2352,4936,41027,36689,77719,21720,29694,51411,6.3,6.4,6.3,61.4,51.8,56.5,57.5,48.5,52.9,3940,3858,7798,653,1155,1804,8182,10805,18991,5271,7048,12318,13671,8303,21977,579,1205,1789,1049,1719,2768,15302,11226,26534,70038,72729,142764,10366,10594,20957,44618,46082,90699,30386,32003,62388
LGA11520,35730,39347,75074,15980,12599,28579,5144,7815,12958,2175,2608,4778,1075,889,1965,24367,23909,48280,9721,13623,23338,4.4,3.7,4.1,68.2,60.8,64.3,65.2,58.5,61.7,4608,4988,9604,749,1326,2080,9400,11118,20519,3382,4494,7882,4715,2176,6892,209,343,554,621,989,1607,5550,3505,9053,33203,35987,69186,7494,7843,15336,21057,23391,44451,17534,18574,36104
LGA11570,148038,149488,297532,38774,28984,67758,17181,22501,39684,15117,11048,26160,6118,4226,10348,77183,66764,143939,59768,71878,131643,7.9,6.3,7.2,52.1,44.7,48.4,48,41.8,44.9,9252,8550,17800,1470,2505,3977,22614,25713,48326,11795,14957,26753,20781,10583,31364,995,1758,2749,2219,3353,5575,23992,15691,39687,148670,149673,298343,22278,21111,43387,100040,102939,202978,60382,58140,118526
LGA11600,1245,1052,2304,725,307,1029,90,252,343,46,48,94,22,23,41,881,635,1514,213,295,507,2.5,3.5,2.9,70.3,60.2,65.7,68.5,58.1,63.8,8,15,22,6,17,21,85,131,216,63,97,157,239,147,382,13,23,36,23,21,48,277,195,469,1082,996,2081,229,170,402,755,651,1403,476,424,903
LGA11650,135785,148463,284248,48927,30365,79291,19158,33766,52926,8078,10543,18623,4195,3268,7463,80361,77935,158296,47870,61981,109849,5.2,4.2,4.7,59.2,52.5,55.7,56.1,50.3,53.1,4720,5324,10042,1600,3425,5020,14300,21385,35685,10744,17041,27784,38179,21493,59670,1402,2610,4010,2649,4463,7110,42232,28560,70788,135314,143689,279003,21761,23126,44882,89860,95013,184867,58720,63770,122490
LGA11700,720,707,1420,209,157,368,40,76,113,14,10,27,24,15,40,283,263,544,285,289,577,8,5,6.6,40.1,36.9,38.5,36.9,35.1,36,10,12,22,3,12,20,28,54,78,28,41,67,101,63,165,11,10,24,4,9,17,113,93,205,587,572,1160,97,91,187,455,428,888,182,192,373
LGA11720,25444,25356,50801,9998,5429,15427,2831,6340,9174,1062,1456,2516,890,712,1595,14776,13935,28714,9379,10163,19546,6,5.1,5.6,58.1,55,56.5,54.6,52.2,53.4,322,435,748,128,391,517,1249,2360,3608,1295,2413,3712,8135,4920,13046,293,643,931,349,668,1017,8774,6227,15001,24300,25006,49308,4204,4601,8805,15336,15522,30854,11315,12342,23655
LGA11730,22587,22870,45462,6517,4090,10608,2732,5002,7734,704,732,1433,747,556,1302,10695,10379,21077,10282,10890,21170,7,5.4,6.2,47.4,45.4,46.4,44.1,42.9,43.5,392,435,826,230,465,697,1432,2417,3844,1273,2218,3489,6186,3613,9799,282,517,794,421,699,1118,6881,4828,11710,20634,21248,41886,3251,3479,6733,14223,14191,28416,8455,9368,17833
LGA11750,1648,1578,3227,811,451,1265,117,313,426,86,71,153,32,32,61,1043,859,1901,347,474,817,3,3.4,3.2,63.2,54.5,58.9,61.3,52.7,57.1,17,21,43,7,18,27,90,151,241,50,111,163,472,221,694,5,32,41,16,34,44,495,279,770,1435,1372,2808,272,292,566,968,928,1895,626,635,1255
