LGA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA10800,16,0,27,7,3,0,11,6,0,75,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,12,14,3,8,3,0,7,17,8,11,75,338,271,262,148,155,62,143,98,23,1511
LGA10850,15,0,30,32,14,9,9,19,3,137,0,0,0,0,0,0,0,0,0,4,3,4,6,5,0,0,5,0,3,25,12,0,10,11,5,3,9,17,11,72,416,479,393,291,265,95,169,193,45,2341
LGA10900,144,46,302,207,137,96,46,109,14,1097,0,5,4,4,4,0,0,3,0,24,75,146,43,41,57,21,22,23,19,437,36,74,56,45,63,34,24,34,83,449,4227,10426,3606,3230,3156,1128,746,1148,368,28031
LGA10950,5,0,3,4,3,0,0,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,4,3,0,5,0,9,12,5,44,143,151,88,96,54,18,61,58,10,682
LGA11150,9,0,10,0,11,0,0,5,0,25,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,13,4,7,4,0,0,0,0,3,5,26,126,143,62,105,57,16,27,34,18,583
LGA11200,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,0,0,6,0,18,57,68,20,34,23,9,13,20,6,247
LGA11250,24,10,103,61,28,20,12,19,0,274,0,0,0,0,0,0,3,0,0,7,9,9,7,4,4,6,8,3,0,51,17,9,28,20,10,10,18,28,27,169,467,1089,867,798,453,173,296,217,79,4445
LGA11300,60,16,187,70,42,37,24,74,7,504,0,0,5,0,4,5,4,6,0,33,27,49,12,14,35,16,5,12,4,191,36,43,41,33,44,23,17,46,112,385,1960,5326,1306,1370,1875,1019,410,1041,323,14630
LGA11350,117,34,310,128,47,51,19,71,8,785,0,0,0,0,0,0,0,6,0,4,50,46,28,24,14,5,10,27,6,214,44,46,66,37,12,26,7,43,77,354,2176,4040,1764,1573,951,709,233,785,283,12525
LGA11400,25,5,54,37,25,17,6,32,5,206,0,0,0,0,0,0,0,0,0,3,16,14,9,6,4,6,0,3,0,57,31,9,24,8,15,8,17,29,26,161,1026,1036,688,435,499,165,224,311,77,4455
LGA11450,271,81,481,291,369,212,179,167,22,2070,0,0,10,3,4,6,3,3,0,29,81,59,75,45,69,46,64,41,16,493,116,77,140,88,138,62,99,61,170,947,6078,11010,6525,4832,5695,2298,2176,1769,646,41026
LGA11500,232,67,531,316,329,235,231,269,32,2247,3,5,7,7,12,10,12,14,0,66,96,120,82,106,118,60,116,115,26,834,103,115,156,126,151,76,193,182,304,1414,5197,12773,6663,6585,7085,2864,3432,3022,1018,48633
LGA11520,211,51,342,158,177,107,35,75,18,1172,0,3,4,6,4,3,0,4,3,21,121,171,49,31,59,26,10,13,20,502,87,116,67,42,101,45,15,44,153,673,7825,15272,3023,2264,4830,2114,603,1067,637,37632
LGA11570,493,127,1077,630,592,379,263,373,52,3983,12,15,17,19,14,14,15,26,5,135,199,256,146,143,229,100,156,124,59,1401,223,272,290,225,312,191,272,245,582,2608,12094,28793,10830,9934,13595,5959,4657,4840,1998,92702
LGA11600,10,0,9,8,6,4,6,12,0,48,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,11,16,0,7,0,0,0,6,17,6,52,260,87,94,73,72,17,67,128,12,814
LGA11650,686,222,1654,998,762,586,322,586,62,5886,15,11,10,19,12,11,6,17,4,106,169,272,178,154,189,81,118,118,52,1325,256,248,372,303,306,199,236,267,399,2582,14148,28371,16795,14261,13102,5667,3982,5716,1546,103592
LGA11700,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,3,0,0,6,0,15,70,73,10,40,26,0,12,38,3,281
LGA11720,145,32,434,261,136,111,128,148,15,1421,0,4,4,0,0,8,0,0,0,21,22,20,32,27,21,10,43,27,10,206,48,33,82,64,60,34,84,71,83,559,1866,2949,3860,2662,1983,948,1676,1197,265,17402
LGA11730,92,28,286,188,98,74,48,124,12,943,0,0,0,0,0,0,0,6,0,5,19,27,28,19,23,11,20,19,5,172,71,36,65,73,37,40,45,94,66,508,1648,2904,2004,2248,1505,708,621,1139,222,13007
LGA11750,4,0,11,5,10,3,13,7,0,56,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,9,14,4,17,0,3,0,14,7,0,52,156,192,276,97,122,37,131,72,13,1090
LGA11800,186,45,501,317,175,168,53,189,23,1653,0,3,3,0,0,6,0,14,0,32,58,58,37,38,38,12,15,54,13,320,86,64,95,87,59,54,39,154,108,738,2924,6387,3480,3538,2884,1379,708,1788,319,23406
LGA12000,11,4,17,12,8,3,3,4,0,59,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,12,17,0,3,3,5,3,0,0,7,42,269,246,177,185,143,49,67,68,14,1216
LGA12150,9,0,5,0,0,4,0,6,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,11,10,0,4,5,0,3,3,7,12,43,203,176,86,107,93,23,34,71,23,817
LGA12160,31,8,62,19,18,16,8,25,4,194,0,0,0,0,0,0,0,0,0,5,4,0,0,3,5,0,9,4,3,26,15,6,22,16,11,10,18,30,16,147,486,558,445,382,292,146,175,251,53,2782
LGA12350,32,7,49,46,21,16,13,29,0,205,0,0,0,0,0,0,0,0,0,3,5,9,7,0,6,0,3,6,0,34,18,7,21,13,16,14,14,40,19,163,610,614,501,464,346,174,145,277,40,3159
LGA12380,193,68,671,302,286,190,233,269,40,2251,8,10,9,14,5,6,18,28,0,96,91,149,88,103,140,65,116,115,49,913,118,151,225,171,185,112,172,224,540,1901,6747,19080,6780,6938,8442,3672,3728,4401,1599,61401
LGA12390,102,39,283,196,123,91,41,104,13,993,0,3,3,9,0,8,0,4,0,37,28,25,25,33,30,4,17,25,5,203,51,54,61,72,57,46,56,75,88,565,2256,4363,2652,2712,2107,935,746,1094,274,17125
LGA12700,15,0,54,28,10,14,17,10,0,159,0,0,0,0,0,0,0,0,0,3,8,5,0,6,3,0,5,5,0,34,19,3,21,14,15,3,14,21,9,119,498,612,615,355,366,137,210,186,48,3029
LGA12730,18,5,43,23,15,8,9,12,0,139,0,0,0,0,0,0,0,0,0,8,8,6,0,0,5,0,0,3,0,26,12,3,17,16,10,10,9,11,10,97,467,502,357,340,270,100,113,170,42,2363
LGA12750,93,22,237,116,84,65,35,88,18,751,0,0,0,0,0,3,0,0,0,14,14,25,18,20,18,15,8,8,6,139,42,34,56,55,33,45,26,59,37,383,1381,2376,1811,1525,1194,632,388,768,190,10269
LGA12850,167,47,351,310,254,183,136,206,17,1674,3,7,9,7,15,0,14,16,3,64,54,82,60,55,79,37,82,44,13,511,101,111,158,128,150,82,175,222,330,1451,3514,9789,4851,4191,5677,2201,2564,2341,843,35959
LGA12870,32,3,59,32,27,19,16,39,4,242,0,0,0,0,0,0,0,0,0,6,0,0,4,3,3,0,8,7,0,34,13,11,28,10,11,6,19,29,26,153,538,572,619,407,346,162,212,356,60,3269
LGA12900,24,0,40,25,15,16,11,18,3,161,0,0,0,0,0,0,0,0,0,0,6,0,11,6,3,0,4,5,0,31,25,9,18,17,11,6,8,18,16,127,546,575,417,317,260,114,139,200,38,2616
LGA12930,270,54,600,289,290,226,114,201,26,2063,6,9,4,10,12,9,9,25,0,92,115,159,57,71,112,64,62,36,29,705,116,182,141,102,140,83,78,92,252,1181,7723,18351,5555,5218,7579,3580,1781,2892,969,53653
LGA12950,8,0,13,11,7,4,3,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,16,10,0,11,14,8,10,5,11,4,63,274,227,142,158,94,50,44,79,20,1087
LGA13010,16,3,43,19,7,14,3,22,0,135,0,0,0,0,0,0,0,0,0,3,3,7,0,0,3,0,0,11,0,25,10,3,15,8,4,5,5,25,10,92,396,394,289,300,246,129,73,203,32,2065
LGA13310,60,13,173,123,59,61,39,75,10,616,0,0,0,0,4,5,0,7,0,18,29,30,20,15,13,4,11,10,5,132,22,35,49,36,19,21,27,47,56,311,1285,1956,1612,1576,1068,494,541,649,182,9367
LGA13340,19,0,52,34,17,22,11,22,4,171,0,0,0,0,0,0,0,0,0,4,12,3,8,3,4,0,4,4,5,41,24,10,19,15,11,0,11,16,16,108,703,671,515,363,384,145,159,257,56,3248
LGA13450,35,10,151,82,55,33,20,76,6,475,0,0,0,0,0,0,4,10,0,11,18,13,13,15,13,3,14,60,3,148,40,16,45,32,30,20,27,92,66,364,1186,1657,1372,886,899,411,391,947,174,7931
LGA13550,17,0,51,36,26,20,31,31,3,227,0,0,0,0,0,0,0,0,0,0,7,7,10,6,3,0,3,7,4,41,24,6,13,17,12,10,24,18,26,145,603,754,623,441,369,160,403,248,69,3675
LGA13660,20,3,12,10,7,0,4,8,0,63,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,10,0,20,15,0,5,3,0,0,4,9,7,44,343,235,120,131,119,45,57,104,14,1160
LGA13800,130,34,337,186,219,118,52,113,5,1189,0,4,0,0,6,0,0,6,0,18,54,50,48,34,46,9,32,32,16,315,63,31,93,39,78,27,77,45,106,560,3373,4751,4709,2538,2995,1148,1260,1210,373,22358
LGA13850,9,0,20,8,7,0,0,10,0,57,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,10,8,3,5,0,0,6,5,5,6,47,160,125,127,75,71,29,37,77,10,714
LGA13910,34,9,95,69,33,28,16,40,4,325,0,3,0,0,0,0,0,0,0,4,12,6,3,10,9,0,0,3,0,48,43,14,26,17,15,12,22,33,28,212,1001,956,825,673,529,267,222,441,82,4992
LGA14000,256,71,477,225,244,125,58,136,17,1610,4,9,3,8,3,6,0,10,0,47,145,246,65,69,144,66,28,49,28,824,99,130,83,59,103,50,30,63,176,799,11210,25451,5380,4553,7892,2750,1039,1780,813,60867
LGA14100,31,10,28,17,15,7,7,9,0,135,0,0,0,0,0,0,0,0,0,0,19,24,4,5,9,7,0,0,0,69,14,20,5,3,3,3,0,0,9,61,1368,2152,261,219,585,264,49,65,66,5032
LGA14170,369,134,754,333,239,185,77,150,28,2263,9,14,11,4,9,8,4,8,0,64,418,676,101,115,272,108,38,50,40,1827,170,249,134,89,158,88,37,81,272,1279,16689,39454,6184,5274,9076,3794,1253,2081,1107,84910
LGA14220,22,6,63,47,18,27,10,38,0,242,0,0,0,0,0,0,0,0,0,7,14,6,3,3,0,3,8,15,0,51,39,12,11,22,9,35,11,51,16,210,710,920,627,711,406,280,180,446,68,4349
LGA14300,14,0,23,19,11,5,7,15,0,87,0,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,6,6,0,23,10,0,7,3,7,4,6,18,10,67,322,278,208,248,151,62,113,132,19,1526
LGA14350,72,10,126,112,40,46,17,74,6,495,0,4,0,5,0,0,0,0,0,9,8,12,13,15,4,6,14,7,0,84,35,23,41,52,19,32,37,51,45,328,876,1527,1027,1353,741,392,310,599,129,6955
LGA14400,45,17,99,64,44,18,11,29,4,344,0,0,0,0,0,0,0,3,0,5,18,29,8,14,14,6,6,3,0,98,14,20,29,13,16,11,13,14,22,154,1376,2758,1200,847,835,311,223,286,110,7935
LGA14500,146,58,202,99,140,78,23,49,5,792,9,8,0,0,12,5,0,3,0,33,164,226,32,46,120,61,15,10,28,699,108,128,35,19,74,42,16,19,155,595,11858,22821,2211,2215,5668,2289,422,651,831,48965
LGA14550,24,3,34,21,9,8,8,26,5,142,0,0,0,0,0,0,0,0,0,0,10,9,6,4,0,4,3,0,0,40,20,8,13,10,5,0,8,17,17,96,399,484,318,334,224,92,101,228,64,2232
LGA14600,21,0,21,9,8,4,0,12,0,74,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,5,0,0,11,17,3,8,6,6,0,14,9,12,73,383,280,191,176,139,57,109,81,17,1429
LGA14650,335,116,1183,667,487,341,195,347,34,3707,10,4,3,10,12,13,3,3,0,55,100,145,105,102,99,40,91,66,23,768,152,134,271,189,148,125,155,173,245,1580,8368,19673,12155,9028,8615,3224,3054,3308,906,68341
LGA14700,93,26,130,61,69,35,7,20,5,450,0,0,0,0,3,0,0,3,0,6,59,83,7,12,40,16,7,5,9,237,39,50,10,12,26,3,8,8,56,217,4163,9018,1072,919,2053,856,163,296,301,18853
LGA14750,22,0,42,45,17,15,11,32,0,187,4,0,0,0,0,0,0,0,0,3,5,5,6,0,3,0,5,6,0,37,17,6,13,8,9,5,18,27,14,114,452,609,547,375,338,106,184,279,58,2951
LGA14850,78,17,240,127,71,72,30,97,4,728,0,3,3,6,0,0,0,3,0,17,33,33,23,22,30,9,16,23,9,187,46,44,50,49,37,35,23,56,50,386,1733,3918,1958,2053,1622,722,469,1040,188,13703
LGA14870,39,11,97,64,60,25,37,55,3,391,0,0,0,0,3,0,0,3,0,12,5,16,7,8,7,3,9,5,0,65,22,6,26,27,19,13,29,18,22,187,689,1028,1083,800,682,235,491,376,77,5455
LGA14900,292,101,555,372,390,220,206,263,49,2445,4,0,10,10,13,4,13,20,0,68,96,126,117,112,143,60,112,74,22,853,156,155,223,192,241,102,197,185,372,1828,7454,17101,7909,6857,9195,3261,3761,2935,1184,59658
LGA14920,15,0,30,24,4,9,9,11,0,103,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,4,6,5,0,22,14,3,17,7,10,5,18,18,6,99,340,355,251,225,186,78,188,168,22,1806
LGA14950,6,3,12,7,3,4,3,8,4,37,0,0,0,0,0,0,0,0,0,0,3,6,6,0,5,0,0,0,0,16,7,0,13,3,0,0,0,0,5,29,245,162,141,118,88,52,41,60,19,920
LGA15050,167,53,563,366,228,190,148,185,19,1916,0,7,3,0,0,7,6,8,0,24,44,37,51,44,43,17,61,28,8,339,63,51,95,89,67,36,101,102,115,718,3428,6904,5613,4205,3651,1474,1952,1520,409,29152
LGA15240,177,29,531,290,124,150,53,206,23,1575,0,3,0,4,0,0,0,9,0,25,36,42,42,49,25,20,28,34,16,291,81,57,140,127,67,100,79,143,112,903,2913,5321,3747,3785,2319,1361,939,1755,401,22544
LGA15270,72,9,137,84,45,37,50,51,7,490,0,0,0,0,0,0,0,0,0,9,13,18,9,6,12,11,23,7,5,109,22,10,45,24,26,21,38,29,40,251,1151,1530,1581,883,759,376,822,534,123,7760
LGA15300,16,6,43,33,27,12,6,19,0,164,0,0,0,0,0,0,0,3,0,4,8,4,0,4,7,0,5,3,6,30,27,17,14,15,16,12,19,24,12,154,615,684,433,389,373,130,199,239,53,3118
LGA15350,57,20,72,30,28,26,0,11,0,248,0,5,0,0,0,0,0,0,0,4,59,84,11,16,22,15,0,0,9,219,21,42,10,7,22,12,0,10,34,160,3146,5477,473,492,1198,648,85,159,281,11950
LGA15520,35,6,68,30,30,16,8,30,7,226,0,0,0,0,0,0,0,5,0,8,13,9,6,5,4,3,4,3,0,49,39,0,18,9,9,7,14,27,10,146,759,740,582,406,359,148,146,294,51,3487
LGA15560,7,0,9,0,8,6,4,3,0,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,15,0,5,3,0,0,7,9,4,40,272,141,121,83,113,33,72,71,16,931
LGA15650,16,0,70,43,23,28,39,32,0,264,0,0,0,0,0,0,0,0,0,5,11,0,21,8,9,0,19,5,5,74,5,6,28,12,10,12,38,26,32,185,444,690,1166,510,463,205,661,378,79,4596
LGA15700,42,13,99,70,28,40,12,49,5,350,0,4,0,0,0,0,0,5,0,6,10,8,9,11,8,5,8,17,0,75,29,18,28,31,23,14,20,40,27,220,648,1082,734,835,497,241,183,419,77,4715
LGA15750,26,6,57,27,22,17,31,17,0,201,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,4,3,0,25,14,5,22,15,10,15,28,19,17,155,579,715,547,396,386,157,364,230,51,3421
LGA15800,9,0,25,10,4,4,0,17,0,73,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,5,4,0,16,5,0,5,8,4,0,4,13,12,62,262,269,234,190,135,56,68,119,26,1360
LGA15850,6,3,17,15,7,7,4,9,0,67,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,0,28,9,3,9,4,10,6,10,6,3,63,328,316,246,196,170,69,115,115,29,1593
LGA15900,312,108,1013,533,347,271,130,251,18,2984,6,5,7,12,11,3,3,12,0,48,111,195,87,81,117,44,55,54,26,780,107,137,187,144,129,82,83,136,211,1219,7913,23528,8225,7345,6972,2791,2104,2531,778,62183
LGA15950,150,52,218,107,104,70,10,35,12,763,4,11,0,0,0,0,0,0,0,15,148,209,16,25,107,26,9,8,24,577,83,105,34,20,69,32,11,11,103,462,8499,17624,1679,1617,3851,1650,232,454,542,36152
LGA15990,594,222,1098,500,495,312,109,207,39,3577,9,9,0,15,7,8,5,3,5,52,383,439,130,126,190,90,61,52,50,1526,290,297,237,137,208,140,71,119,340,1842,24598,38321,11350,8085,11774,5793,2036,2857,1538,106351
LGA16100,9,0,22,24,4,3,11,17,0,92,0,0,0,0,0,0,0,3,0,5,4,0,3,6,0,0,3,0,0,19,12,3,15,12,10,5,16,11,16,94,277,291,295,180,141,66,127,131,38,1538
LGA16150,97,27,290,160,109,68,56,90,12,910,3,0,4,5,4,0,0,5,0,19,21,29,27,24,19,10,10,9,4,159,26,40,42,37,41,37,45,58,46,378,1759,4398,2315,1901,1738,638,673,755,177,14360
LGA16200,36,6,58,37,29,20,11,30,0,227,0,0,0,4,0,0,0,0,0,4,10,9,5,4,3,0,15,9,0,51,20,15,23,15,14,9,19,19,12,141,653,887,624,501,451,156,340,246,54,3903
LGA16260,422,114,890,417,411,276,223,287,29,3064,7,7,12,9,12,7,6,21,9,85,210,360,115,136,234,97,129,96,45,1414,183,282,200,137,237,124,120,138,505,1923,14591,40887,8921,7812,13394,5560,3607,3974,1870,100609
LGA16350,374,127,777,489,641,362,354,351,36,3516,0,12,4,8,19,12,4,14,0,73,103,107,102,104,154,62,177,98,34,940,148,128,223,180,228,104,248,181,333,1787,8223,15714,10739,8281,10059,3504,4709,3628,1147,65995
LGA16380,199,58,559,316,206,168,53,189,13,1773,4,5,7,10,3,7,0,3,0,35,42,56,30,42,29,19,28,25,7,279,72,60,94,87,71,66,51,96,114,709,3096,6900,3979,3872,3026,1423,780,1446,357,24885
LGA16400,147,37,449,282,146,137,80,131,23,1434,0,0,4,3,5,0,0,4,0,11,46,38,45,34,44,6,41,25,21,303,54,52,112,74,62,53,68,72,100,640,2612,4450,4173,3061,2541,1095,1082,1242,381,20626
LGA16490,147,63,336,139,244,81,50,91,26,1178,6,0,0,5,3,0,0,5,0,19,126,139,35,59,68,15,26,25,18,504,66,67,87,48,80,35,36,38,107,561,5048,6983,3381,2383,3637,961,764,953,520,24624
LGA16550,221,98,524,227,243,113,64,129,26,1639,6,11,5,6,10,5,9,12,0,55,208,309,63,71,127,68,22,29,30,933,115,167,122,84,103,60,34,72,219,986,10656,24002,5079,3918,6108,2756,1052,1665,903,56136
LGA16610,32,9,120,85,27,41,17,63,4,409,0,0,0,0,0,0,0,4,0,10,7,6,13,7,5,3,9,12,7,71,25,8,22,22,17,18,23,57,25,229,707,1001,921,933,628,309,297,629,82,5505
LGA16700,243,86,568,200,225,169,54,118,17,1673,6,3,4,0,6,4,7,7,0,47,125,175,35,57,133,46,35,36,25,668,103,171,93,63,92,57,31,44,218,874,9049,23025,4745,3579,7106,2993,1078,1554,864,53991
LGA16900,144,37,406,242,162,135,104,134,20,1384,3,3,0,3,3,0,0,0,0,15,38,40,45,17,36,12,33,26,7,251,48,33,94,63,65,33,60,77,97,577,2574,5309,4498,3652,3013,1212,1394,1402,362,23412
LGA16950,237,55,657,388,174,179,83,223,15,2025,0,0,0,3,0,3,0,3,0,26,64,68,49,76,42,20,31,39,15,415,110,60,150,119,86,95,68,120,103,909,4011,7183,5496,4497,3148,1699,1002,2060,418,29506
LGA17000,46,10,126,97,31,38,70,51,3,471,0,0,0,0,0,0,0,0,0,8,15,15,19,14,9,8,25,10,11,123,21,14,42,27,23,18,71,31,40,280,946,1355,1782,953,872,333,1049,434,127,7854
LGA17040,89,5,127,60,50,50,18,58,5,466,0,0,0,0,0,3,0,0,0,7,24,16,8,21,7,0,7,7,4,103,39,7,39,24,20,16,18,29,34,223,1479,1592,1159,950,796,418,366,584,146,7486
LGA17080,29,0,59,49,32,27,17,42,6,264,0,0,0,0,0,0,0,6,0,8,12,3,3,5,7,5,8,4,3,41,27,11,19,12,8,8,26,34,24,162,723,766,685,523,404,147,279,390,81,4002
LGA17100,78,17,243,76,71,57,42,70,14,668,0,0,0,0,0,0,0,6,3,21,39,81,19,27,65,22,26,18,5,308,34,57,46,32,50,29,37,38,122,431,2341,7298,1571,1529,2275,1181,643,1162,399,18412
LGA17150,512,176,865,526,646,360,135,216,41,3467,9,14,0,9,5,5,7,8,0,59,226,247,118,115,164,69,50,55,25,1066,216,196,200,163,284,110,81,98,255,1600,16584,28698,12144,8183,12283,4606,1972,2678,1214,88354
LGA17200,658,193,1499,601,378,283,85,278,48,4028,12,12,15,12,10,18,6,21,0,119,450,713,134,158,262,131,50,61,50,2006,232,380,185,169,169,116,57,155,449,1909,20687,49506,7406,7039,10596,5532,1596,3556,1806,107731
LGA17310,134,42,344,218,123,111,74,151,13,1202,0,4,0,0,0,7,0,5,0,25,31,31,30,26,24,8,27,26,9,214,66,36,82,64,59,58,59,125,66,615,2479,4753,2996,2592,2172,989,921,1505,248,18651
LGA17350,17,3,33,26,3,6,3,13,0,96,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,15,0,6,11,8,3,10,13,7,65,337,362,264,218,167,78,74,134,22,1646
LGA17400,17,0,24,8,16,3,4,14,6,97,0,0,0,0,0,0,0,0,0,0,10,0,0,4,7,4,0,0,0,27,16,7,14,7,3,0,10,13,21,94,347,303,195,195,171,73,77,124,38,1516
LGA17420,371,128,501,294,433,244,94,146,25,2237,9,7,5,6,12,3,7,3,0,53,197,273,68,92,225,80,44,38,21,1036,180,198,123,67,152,91,57,48,274,1192,15538,29292,7077,5069,10504,3989,1534,1905,1104,76002
