LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA13550,21,31,70,48,39,45,16,3,0,271,15,17,56,41,29,30,18,4,0,204,350,501,1326,1193,1027,1028,385,72,10,5873
LGA13660,0,3,11,8,12,3,8,0,0,49,0,3,13,10,14,16,3,6,0,71,81,122,272,357,424,440,190,62,11,1952
LGA13800,112,169,376,342,337,257,71,12,0,1664,80,173,320,342,325,251,106,22,10,1611,2187,3241,6924,6330,7248,5664,1547,213,19,33364
LGA13850,3,10,3,3,6,10,3,0,0,45,4,8,14,16,14,18,6,0,0,83,60,115,225,178,246,327,102,27,0,1286
LGA13910,28,32,64,51,63,43,20,0,0,302,35,38,76,64,71,64,30,21,0,387,521,630,1418,1461,1630,1621,616,133,17,8050
LGA14000,104,215,343,478,566,434,117,22,0,2282,73,210,536,800,672,474,143,41,12,2966,3410,6163,11647,18466,18142,12769,3650,518,42,74803
LGA14100,6,17,23,21,40,40,11,4,0,168,17,21,45,46,68,46,26,4,0,279,307,509,807,1235,1625,1124,488,110,15,6220
LGA14170,70,222,840,714,631,426,146,13,0,3063,53,307,1236,985,747,402,159,31,3,3906,2342,7892,28887,25368,20772,12832,3687,400,27,102207
LGA14220,22,31,66,45,52,43,20,3,0,289,18,37,56,54,40,47,33,14,5,306,490,590,1278,1277,1474,1338,464,132,20,7070
LGA14300,3,8,10,14,11,14,4,0,0,71,9,11,15,10,19,21,3,0,0,82,151,202,462,462,516,489,187,37,7,2514
LGA14350,20,29,71,67,71,70,28,3,0,359,31,34,62,81,108,93,38,17,0,458,701,820,1757,1873,2255,2405,717,121,14,10665
LGA14400,20,29,45,51,66,61,16,3,0,296,19,27,51,60,73,56,14,7,0,300,714,731,1623,2110,2255,2075,610,83,10,10213
LGA14500,62,144,234,267,326,254,105,18,3,1409,82,151,342,630,658,374,141,41,7,2426,2685,5063,7613,13397,15132,10308,3598,726,66,58583
LGA14550,10,7,28,22,25,13,10,0,0,106,14,13,19,26,35,43,12,16,0,184,209,196,448,568,743,908,370,62,13,3518
LGA14600,11,10,17,10,10,22,6,0,0,89,5,10,25,26,21,20,15,9,0,137,107,170,481,480,483,487,239,66,12,2526
LGA14650,271,452,862,798,858,579,187,36,4,4042,176,336,715,792,741,511,148,34,13,3468,6610,8805,19257,21020,21316,16179,3747,437,27,97411
LGA14700,19,50,158,156,121,85,31,5,0,624,20,51,231,246,142,108,38,9,0,836,637,1485,5509,5788,4362,2810,1055,184,10,21836
LGA14750,23,24,49,33,37,26,10,4,0,207,21,28,54,42,32,35,10,3,0,224,393,454,992,926,1021,964,270,43,5,5073
LGA14850,47,63,174,141,194,147,51,8,0,813,55,63,133,160,171,140,54,19,0,806,1344,1517,3437,3869,4370,4034,1274,178,25,20045
LGA14870,29,46,60,52,55,56,21,9,0,318,19,31,61,48,69,65,20,8,0,320,491,710,1560,1478,1793,1725,461,94,5,8304
LGA14900,114,273,691,673,630,420,103,13,0,2911,207,494,1204,1237,1048,742,137,18,8,5091,4460,9572,20881,21285,18508,12428,2592,211,21,89955
LGA14920,3,17,15,12,22,21,11,0,0,113,11,11,19,18,36,30,13,11,0,144,172,206,472,576,666,625,278,55,3,3044
LGA14950,0,3,9,3,13,4,0,0,0,37,4,5,9,9,12,3,5,0,0,51,81,100,186,235,291,339,133,44,6,1410
LGA15050,134,236,520,381,306,214,53,3,0,1845,89,202,425,367,289,206,53,16,0,1649,2975,4157,10327,9699,8616,6049,1314,133,19,43280
LGA15240,64,91,215,242,300,252,89,4,0,1267,104,113,213,256,319,305,138,40,15,1499,2284,2271,5211,5899,7582,7815,2509,400,43,34019
LGA15270,30,43,121,74,85,75,29,5,0,453,22,29,82,67,81,64,25,21,4,397,698,801,2258,2292,2461,2072,661,154,23,11426
LGA15300,12,33,52,38,48,28,13,0,0,222,17,16,49,36,43,59,21,10,0,240,255,445,1089,918,1015,990,385,85,12,5199
LGA15350,15,34,59,63,72,46,35,4,0,328,5,40,117,137,136,98,44,23,3,602,472,979,2514,2994,3302,2495,1081,293,26,14153
LGA15520,20,15,30,35,31,30,12,0,0,165,17,14,33,33,50,54,26,4,0,239,346,339,917,1032,1239,1214,454,94,11,5646
LGA15560,4,7,14,10,13,8,0,0,0,48,3,3,12,10,9,8,6,0,4,53,75,118,307,274,326,393,125,27,9,1644
LGA15650,26,36,84,60,55,34,8,0,0,302,17,32,68,42,43,34,19,12,0,272,494,628,1640,1533,1542,1157,296,63,4,7359
LGA15700,26,18,47,42,42,52,22,4,0,252,25,16,56,59,82,76,26,10,3,352,474,437,1071,1225,1568,1682,519,105,12,7085
LGA15750,20,23,49,51,31,52,12,0,0,235,20,25,49,37,63,52,17,12,0,275,337,487,1164,1076,1105,1128,406,64,14,5782
LGA15800,6,10,16,15,22,14,6,0,0,92,6,7,6,20,14,12,8,3,0,73,116,147,379,449,484,530,184,33,13,2334
LGA15850,9,9,27,17,14,20,7,0,0,101,12,12,19,14,22,26,14,6,0,132,145,196,504,476,511,545,231,47,4,2647
LGA15900,147,364,738,570,520,367,114,17,0,2833,134,374,754,568,517,359,97,28,6,2836,5057,10678,21785,17783,16105,11581,2728,328,25,86062
LGA15950,20,64,282,210,177,133,37,13,0,940,13,100,544,436,266,196,87,22,3,1663,630,2628,12780,10465,7119,4946,2132,459,27,41183
LGA15990,253,424,987,923,1009,763,235,42,0,4633,237,447,1295,1570,1526,990,276,89,16,6445,6969,10720,24201,29925,33393,22782,7017,1130,89,136223
LGA16100,5,8,12,12,11,13,3,0,0,63,11,14,11,26,31,35,15,14,0,164,132,172,373,418,535,506,258,57,0,2452
LGA16150,52,84,211,178,156,109,35,3,0,837,51,69,157,112,125,83,35,7,0,647,1332,1710,4741,4406,4034,3109,970,136,11,20446
LGA16200,28,29,62,37,40,35,16,3,0,253,22,18,55,33,39,30,14,4,7,228,415,562,1226,1142,1247,1138,366,76,16,6197
LGA16260,67,278,824,815,696,559,138,15,3,3400,100,532,2020,1816,927,655,162,38,5,6259,3275,10770,36095,33774,20829,14106,3754,405,31,123037
LGA16350,212,408,960,808,693,500,139,7,0,3734,230,514,1212,1147,1026,687,195,32,7,5051,5744,10282,24208,23952,19858,14371,3372,279,21,102094
LGA16380,77,139,271,298,326,277,73,0,0,1471,87,113,189,186,251,210,65,35,13,1156,2679,2813,5817,6870,8137,6997,1978,273,32,35597
LGA16400,83,125,260,255,274,258,72,5,0,1344,74,113,230,229,287,208,71,25,9,1250,2225,2609,5275,6095,7015,6044,1506,205,13,30986
LGA16490,76,146,278,246,236,171,56,13,0,1207,67,113,296,267,248,165,46,9,6,1224,1852,2823,7782,7762,7750,5282,1356,166,20,34789
LGA16550,58,170,571,453,392,287,78,17,5,2029,67,258,917,738,532,311,135,32,3,2994,2133,5853,19102,16281,13583,9008,2711,367,30,69077
LGA16610,32,43,76,50,62,61,12,3,0,339,35,40,74,79,81,74,34,21,5,434,641,827,1589,1637,1924,1809,567,116,20,9119
LGA16700,49,164,449,438,400,332,83,13,0,1928,43,218,944,830,484,368,109,15,4,3018,1935,5654,18547,16748,11638,8422,2351,246,20,65564
LGA16900,77,161,323,268,279,184,54,0,0,1354,70,120,331,241,234,176,55,13,0,1247,2354,3333,7532,7414,7372,5355,1071,76,8,34522
LGA16950,86,145,366,319,322,278,90,12,0,1618,122,128,303,284,348,287,98,31,11,1613,2770,3322,8003,8190,8855,8449,2368,313,29,42293
LGA17000,50,68,146,92,112,55,13,0,0,530,45,59,81,100,93,51,21,7,0,467,1000,1187,2512,2429,2595,1832,463,76,5,12105
LGA17040,23,31,81,54,66,47,21,4,0,329,29,39,99,74,74,73,26,12,5,438,663,900,2190,1918,2371,2122,715,169,16,11068
LGA17080,17,23,40,26,38,34,16,0,0,194,14,30,50,54,73,59,26,7,3,309,400,476,1065,1235,1365,1401,502,93,13,6549
LGA17100,10,53,149,127,88,86,25,6,0,549,18,173,508,306,147,123,24,6,0,1320,499,2887,7912,4841,3174,2558,790,129,21,22795
LGA17150,258,397,949,886,938,726,195,37,0,4390,172,351,915,1027,968,679,250,58,19,4436,6426,10348,22352,25972,26663,19374,5543,699,64,117444
LGA17200,43,277,1175,806,488,301,89,11,0,3200,70,653,2660,1392,642,411,116,33,5,5981,1758,12172,51616,30711,16456,10325,3319,482,40,126888
LGA17310,93,112,257,239,209,189,66,4,3,1173,92,101,224,178,201,151,64,33,11,1059,2090,2309,6061,5708,5742,4847,1616,248,24,28644
LGA17350,11,9,24,21,18,14,6,0,0,106,16,7,9,14,14,17,4,7,0,91,194,209,406,455,551,561,259,41,3,2685
LGA17400,11,4,8,18,13,11,3,5,0,73,19,5,14,16,23,40,17,6,3,134,138,132,308,349,501,601,311,75,9,2431
LGA17420,174,333,524,618,709,451,193,30,0,3034,126,314,729,1208,979,583,221,46,3,4218,4935,8496,15653,25614,22383,14251,4523,582,36,96477
LGA17550,81,141,303,366,320,259,83,8,0,1572,131,145,366,408,361,310,123,40,10,1891,2750,3008,6607,8490,9045,8122,2353,271,38,40678
LGA17620,17,30,62,48,31,38,8,4,0,239,18,26,43,39,49,47,16,8,8,239,403,521,1299,1389,1364,1214,480,100,21,6784
LGA17640,6,18,23,25,30,27,14,0,0,141,18,10,19,31,32,24,20,10,0,153,193,245,540,675,869,934,404,124,12,3997
LGA17650,8,9,11,14,22,16,3,0,0,85,11,5,16,13,18,19,0,0,4,91,155,166,410,487,616,581,209,45,8,2688
LGA17750,90,190,338,281,222,218,70,19,3,1427,74,162,298,265,210,175,60,31,8,1283,2588,3729,7627,6654,5994,4944,1500,221,24,33283
LGA17850,3,0,4,10,4,4,3,0,0,31,7,0,0,7,8,15,5,7,0,49,63,77,206,211,269,304,189,55,0,1379
LGA17900,3,4,3,11,8,7,3,0,0,36,4,4,13,5,4,9,13,0,0,52,61,114,334,280,318,355,169,33,3,1668
LGA17950,3,3,0,5,12,3,0,0,0,23,3,4,9,5,10,10,8,5,3,45,57,80,200,181,226,261,70,32,4,1106
LGA18020,9,10,12,8,24,8,10,4,0,92,8,7,14,30,25,33,16,4,3,143,163,184,563,555,705,772,338,103,18,3401
LGA18050,27,75,391,239,187,108,42,7,0,1065,43,117,838,534,326,166,46,29,7,2104,795,2283,13018,9348,6972,4076,1458,254,26,38229
LGA18100,3,4,6,10,4,14,0,0,0,42,0,0,11,5,12,15,8,5,0,48,91,78,222,259,308,329,154,42,3,1487
LGA18200,5,10,24,23,26,21,7,0,0,115,20,9,22,34,29,26,5,3,0,146,180,228,546,595,692,669,220,46,5,3174
LGA18250,33,77,187,257,196,161,52,5,0,974,33,108,344,465,343,215,69,21,5,1595,1153,2725,7495,10239,8405,5184,1801,267,30,37312
LGA18350,67,93,175,180,189,170,48,9,6,943,84,58,137,149,224,197,100,30,5,993,1499,1686,3812,4340,5416,4761,1998,411,32,23960
LGA18400,96,117,240,257,271,146,39,0,0,1168,76,118,224,239,284,206,54,13,0,1221,1878,2520,5223,5594,5937,4151,1100,126,6,26528
LGA18450,223,467,843,717,708,577,125,20,0,3676,146,412,845,760,682,515,116,31,7,3512,5681,10854,21809,20897,20337,14812,3270,340,28,98020
LGA18500,21,42,164,124,106,107,51,10,0,625,22,102,369,324,306,197,107,51,14,1492,613,2069,7138,5851,5327,4152,2328,675,78,28230
LGA18710,30,30,54,70,70,43,14,6,0,314,20,23,44,58,57,30,23,0,4,266,625,603,1353,1886,2302,1536,555,129,16,9001
LGA19399,0,0,0,3,0,0,0,0,0,6,0,0,5,5,6,4,0,0,0,17,16,24,89,122,119,118,64,15,3,556
LGA19499,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,13,16,34,29,34,31,11,3,0,171,12,14,33,48,40,25,29,5,0,214,349,389,963,1187,1414,1408,525,77,7,6320
LGA20260,9,4,33,30,23,31,7,0,0,132,14,20,26,10,22,44,19,6,4,157,281,388,957,860,1006,1008,392,62,12,4973
LGA20570,76,231,458,359,336,282,87,5,3,1835,97,177,400,294,331,289,76,29,8,1699,3397,5312,11977,11078,10639,8330,2119,231,28,53104
LGA20660,68,174,435,437,451,341,123,15,4,2049,58,192,486,548,491,349,133,28,8,2285,2734,5309,13447,15169,13867,9943,3058,350,38,63920
LGA20740,21,48,136,123,154,119,42,0,0,643,55,50,96,101,140,130,71,15,3,670,921,1034,2693,3211,3543,3685,1217,162,16,16498
LGA20830,42,126,259,204,245,230,72,9,0,1198,62,78,223,214,213,188,67,19,4,1063,1556,2257,5603,5149,5402,4783,1533,288,30,26602
LGA20910,58,126,196,235,361,271,112,21,0,1376,81,158,318,436,600,407,185,49,10,2240,2793,4109,6539,9772,13417,9837,3408,588,40,50508
LGA21010,17,21,32,31,50,49,18,3,0,217,12,22,44,35,58,59,31,13,0,281,350,439,1037,1012,1260,1450,594,97,12,6251
LGA21110,98,254,431,334,446,398,139,25,6,2138,121,295,725,714,737,515,184,45,10,3346,4070,9132,17632,16815,19137,14222,5044,857,78,86987
LGA21180,63,332,938,784,721,493,123,12,0,3467,166,579,1602,1190,1103,814,182,15,5,5653,3357,8705,21396,17983,16373,12238,2714,196,10,82979
LGA21270,6,9,17,12,10,20,11,0,0,81,8,10,11,10,19,18,19,5,0,103,139,171,398,369,573,652,293,50,6,2654
LGA21370,46,83,152,121,151,160,42,8,0,762,52,57,120,113,157,141,56,27,9,724,1147,1384,2963,3032,3777,3651,1193,192,29,17368
LGA21450,113,227,721,537,466,305,81,11,0,2457,102,259,737,758,604,420,120,33,3,3037,3243,5316,14702,13941,11614,7697,1921,241,32,58709
LGA21610,186,670,1642,1594,1296,881,219,14,0,6505,339,993,2592,2577,1928,1451,287,45,12,10216,8280,16844,41305,44923,34518,22510,4739,397,33,173556
LGA21670,9,25,39,29,29,36,12,5,0,177,11,11,46,29,52,55,11,11,0,230,300,361,798,737,1038,1067,342,48,5,4693
LGA21750,16,40,76,72,71,52,27,0,0,342,31,19,82,60,89,69,42,20,6,424,734,794,2023,1959,2160,2031,795,122,22,10642
LGA21830,11,32,39,28,39,36,13,3,0,210,25,29,44,48,59,56,45,19,0,325,468,584,1202,1241,1616,1644,640,169,10,7583
LGA21890,50,186,737,596,525,333,81,10,0,2534,72,320,1039,782,590,354,106,25,3,3285,2408,6580,23206,19369,15798,9412,2125,170,18,79087
LGA22110,32,72,147,129,167,143,63,0,0,750,60,59,123,123,155,163,78,35,3,801,1163,1275,3189,3315,4023,4328,1577,289,34,19190
LGA22170,91,260,680,583,534,411,111,13,0,2683,102,247,716,780,717,549,153,32,8,3300,3508,5683,15133,15612,14690,10938,2692,271,16,68545
LGA22250,9,14,38,30,14,34,14,0,0,156,9,17,34,24,51,48,21,13,0,223,221,304,658,756,949,1035,377,89,11,4391
LGA22310,59,174,526,489,510,360,126,19,0,2267,97,249,862,879,684,378,162,38,12,3366,3080,6815,18674,18484,16880,11191,3921,511,65,79628
LGA22410,21,38,65,61,68,46,24,0,0,313,29,30,49,53,79,57,49,14,6,373,561,607,1402,1527,1952,1935,685,153,16,8834
LGA22490,42,39,78,126,103,66,31,6,0,494,31,38,87,103,107,94,25,3,0,490,838,857,2090,2771,3012,2084,591,83,7,12341
LGA22620,88,196,517,431,382,372,114,8,0,2101,120,186,404,401,363,353,90,42,10,1965,3604,5336,12206,11565,11248,9493,2521,296,32,56299
LGA22670,52,286,762,745,609,365,104,16,0,2929,123,581,1730,1348,1056,765,171,22,7,5795,2256,7156,19477,15894,12058,8529,2134,181,14,67704
LGA22750,193,510,1136,941,812,674,177,35,0,4480,198,463,1119,983,948,690,234,64,15,4723,7338,12699,30254,27591,25772,19949,5346,587,54,129587
LGA22830,60,132,293,237,286,216,68,13,0,1306,61,115,297,285,283,203,76,16,10,1362,1876,2596,6369,5876,6238,5262,1656,228,26,30136
LGA22910,9,13,47,53,53,43,19,0,0,244,19,19,36,40,74,77,32,13,0,307,303,325,969,1313,1782,1757,599,102,3,7159
LGA22980,6,5,12,9,8,13,3,3,0,61,6,8,23,12,15,20,12,6,0,97,120,162,487,366,467,577,158,58,11,2402
LGA23110,40,112,305,370,339,255,65,4,0,1494,56,143,468,449,390,252,81,17,9,1854,1793,3203,9716,11466,10109,7067,1518,144,12,45021
LGA23190,30,44,98,78,75,71,23,6,0,426,15,28,80,59,51,49,20,18,4,325,612,839,2023,1805,1956,1902,582,131,14,9857
LGA23270,104,401,1034,916,705,493,112,17,0,3787,212,620,1663,1411,1060,685,144,8,4,5808,4726,10597,27527,25405,18647,13083,2703,202,11,102892
LGA23350,11,25,47,36,73,45,11,6,0,257,30,26,35,45,72,60,33,15,0,311,531,447,1164,1550,2027,1864,640,131,21,8366
LGA23430,94,251,568,637,649,495,160,28,0,2880,94,257,805,822,864,601,166,41,11,3671,3778,6333,16342,19035,18886,12852,3632,399,28,81284
LGA23670,82,310,668,641,764,593,163,16,3,3233,107,289,805,962,853,706,192,28,5,3942,4084,7322,16499,18322,17536,13869,3577,310,12,81521
LGA23810,72,151,323,245,212,187,54,9,0,1254,63,116,295,234,282,207,88,21,0,1312,2093,2884,7027,6406,6434,5655,1457,168,18,32139
LGA23940,3,4,14,16,11,10,7,0,0,67,14,14,23,16,31,32,23,8,4,166,147,163,432,494,643,762,346,79,17,3085
LGA24130,54,81,158,210,219,170,50,6,0,946,48,62,145,190,240,164,64,24,9,939,1529,1648,3607,5601,6503,4699,1417,255,20,25279
LGA24210,63,151,355,428,508,400,121,19,0,2052,76,214,548,616,572,423,154,39,7,2646,2725,5358,10567,12695,13072,10262,3214,592,38,58529
LGA24250,5,16,38,33,45,29,22,0,0,181,11,5,22,36,42,35,28,5,5,192,242,228,703,922,972,1056,428,59,7,4610
LGA24330,25,101,483,349,276,171,52,0,0,1462,32,189,713,499,340,218,54,11,0,2059,1240,3847,15379,12360,8335,4816,1000,74,3,47058
LGA24410,70,214,466,498,502,398,110,18,0,2279,72,202,617,582,543,365,115,27,15,2533,2985,5039,12414,13896,12592,9342,2403,281,31,58987
LGA24600,43,304,975,468,214,192,60,9,0,2272,73,627,1688,671,320,226,73,33,0,3709,2278,13963,40117,17774,8463,5475,1932,323,22,90347
LGA24650,110,289,809,728,594,293,95,9,0,2923,168,412,1048,1177,802,407,85,8,5,4118,4265,7444,19969,22573,16611,8703,1767,109,5,81442
LGA24780,47,107,257,179,138,152,49,3,0,932,72,119,285,197,275,180,56,24,4,1223,1505,2185,5444,4878,5146,4490,1287,141,24,25101
LGA24850,40,71,232,202,188,127,39,9,0,911,51,113,269,240,218,167,54,13,6,1124,1397,2064,5340,5060,4858,3652,1009,116,9,23504
LGA24900,34,58,107,92,77,79,31,6,3,476,39,42,89,88,106,92,36,18,4,514,829,973,2316,2297,2730,2682,881,143,19,12870
LGA24970,74,276,631,575,655,470,168,33,0,2874,117,414,1283,1035,867,559,179,50,15,4508,3813,10184,22349,20670,18404,12586,3507,512,52,92075
LGA25060,36,133,477,412,408,331,105,20,4,1933,73,208,621,591,556,362,112,25,6,2559,2749,5873,15164,14558,13712,9341,2534,265,10,64208
LGA25150,36,74,177,157,161,95,31,0,0,734,49,73,140,167,184,123,51,15,3,803,1055,1495,3781,4113,4017,3028,801,117,15,18429
LGA25250,47,280,893,710,536,375,98,17,0,2949,78,380,1292,885,575,360,75,24,8,3678,2645,9005,30116,23243,15985,9772,2079,202,15,93061
