LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA41560,19,52,12,39,12,7,4,16,0,157,38,56,36,118,45,18,7,9,5,333,151,71,473,305,149,110,99,156,26,1545,15,5,12,23,15,14,14,25,0,114,11,3,9,27,14,9,3,16,0,101,0,5,4,4,0,0,4,4,0,23,10,10,12,16,17,10,12,23,15,129,336,677,567,616,289,189,151,249,49,3114
LGA41750,3,3,0,5,4,0,0,0,0,18,13,0,0,6,5,0,0,0,0,29,33,6,12,7,16,5,3,21,0,104,8,0,0,3,0,0,0,3,0,14,5,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,9,88,48,18,29,39,5,0,30,0,258
LGA41830,10,3,0,11,4,0,0,0,0,33,10,8,3,10,12,0,5,0,0,42,25,7,65,38,14,8,26,17,0,199,0,0,0,4,3,0,0,0,0,12,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,4,4,7,5,0,0,4,9,3,25,69,80,81,76,43,20,38,34,6,448
LGA41960,4,6,0,4,6,0,0,0,0,17,7,3,0,15,0,0,0,0,0,26,44,5,46,29,10,7,23,14,3,180,0,0,4,0,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,10,84,54,54,50,18,12,26,21,3,321
LGA42030,57,104,26,105,64,15,5,19,3,400,121,122,88,232,154,62,17,35,16,841,297,158,1043,537,421,220,267,278,47,3271,18,13,26,37,35,30,20,45,0,225,26,20,21,53,40,24,20,20,4,212,4,7,6,7,9,4,0,7,0,49,13,11,24,26,12,18,18,20,16,164,815,1655,1326,1158,902,419,367,479,101,7223
LGA42110,20,12,3,12,6,0,0,4,0,68,25,3,0,13,14,6,0,11,0,82,105,10,123,62,29,23,46,58,0,468,14,0,4,3,4,0,7,6,0,41,22,0,7,4,6,0,3,12,0,44,5,0,0,0,0,0,0,0,0,7,12,0,3,6,0,3,4,10,6,44,253,131,146,119,87,45,63,97,13,956
LGA42250,41,27,10,12,12,5,0,4,0,119,51,35,17,52,40,12,4,6,3,214,188,50,463,139,124,78,75,148,13,1265,13,4,3,11,18,9,3,15,0,83,21,11,6,10,18,7,8,16,0,88,8,0,0,4,0,0,3,3,0,25,19,14,3,6,12,11,14,14,10,103,451,462,522,280,259,136,115,217,25,2469
LGA42600,196,236,77,169,128,55,15,31,9,918,215,274,136,252,237,92,32,43,15,1303,428,177,1003,458,386,204,119,181,45,3004,21,15,24,32,31,29,15,25,0,190,48,30,28,57,81,40,8,14,0,311,16,25,11,21,15,7,3,10,0,108,31,40,20,44,33,9,6,24,35,238,2361,5011,1538,1651,1579,667,271,460,193,13738
LGA42750,26,11,4,14,8,5,3,11,0,82,30,14,18,31,16,12,3,8,0,126,123,20,143,68,51,36,37,66,18,561,9,0,3,6,5,9,3,8,6,37,10,0,3,8,4,9,3,9,0,56,3,0,0,0,0,0,0,0,0,9,10,0,4,5,5,0,3,5,3,31,324,253,197,183,136,83,50,140,33,1403
LGA43080,4,0,0,0,0,0,0,0,0,11,0,0,0,14,3,0,0,4,0,32,33,10,19,13,15,3,14,18,4,125,4,0,0,0,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,11,71,31,23,37,23,8,14,34,5,239
