LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA21610,6352,50071,913,71278,17,36,15,196,13,274,11346,173,292,350,85,12247,1849,240,127,340,34,2579,3334,812,502,1576,62,6288,20850,7295,5620,39977,987,74730,5614,102,409,62,53,6236,1693,102,81,361,20,2264,2975,785,493,3658,87,7997,2461,538,287,1280,43,4605,1658,170,127,259,31,2244,22095,316,192,137,138,22889,3793,1657,1164,12324,212,19147,4853,1471,711,4019,158,11213,565,0,14,0,0,581,1227,221,89,131,23,1692,572,82,36,79,6,777,1019,318,190,601,10,2135,1895,146,112,57,43,2252,1523,451,283,180,26,2472,2080,188,140,316,35,2754,999,73,77,126,12,1289,3050,136,61,19,59,3330,4515,1695,1330,10161,208,17911,2620,183,100,141,30,3074,1385,166,116,63,12,1738,1656,74,71,151,19,1974,10964,293,167,130,58,11605,2290,60,84,18,47,2500,515,127,88,404,13,1149,57981,2767,2042,2252,659,65693,2539,151,130,1067,13465,17358,159168,17604,12597,93150,16777,299296,8529,10088,7504,52202
LGA21670,224,5026,160,5731,0,0,0,20,0,23,36,3,0,70,0,108,12,0,0,5,0,17,116,16,14,52,10,202,648,286,256,4403,139,5744,64,0,5,6,0,78,4,3,0,23,0,33,72,24,17,314,10,437,27,15,5,11,4,60,28,0,0,3,0,35,36,3,0,0,0,42,127,60,38,1229,25,1477,51,28,21,246,9,357,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,4,20,11,0,18,0,61,9,7,0,6,0,25,30,18,7,6,0,56,31,4,0,8,0,45,12,0,0,0,0,14,0,0,0,0,0,0,142,77,50,1162,23,1455,3,0,0,0,0,3,10,0,0,0,0,11,10,0,4,5,0,17,7,4,0,0,0,10,4,0,0,6,0,9,20,11,11,40,0,79,192,30,23,95,8,357,8,7,5,133,720,878,1443,532,424,9563,1034,12993,46,297,240,4962
LGA21750,345,7615,185,8724,0,0,0,20,0,23,121,3,6,24,0,160,21,6,0,12,0,41,147,45,28,125,0,349,789,475,353,6573,194,8378,56,3,14,8,3,78,14,8,6,53,0,73,120,43,46,530,15,756,50,13,11,30,4,93,23,11,8,7,0,40,62,0,0,3,0,63,150,139,94,2755,68,3205,147,61,20,296,8,533,7,0,0,0,0,7,10,0,5,11,0,29,7,0,0,0,0,7,22,15,7,15,0,58,57,12,12,3,0,87,43,19,16,11,0,86,37,7,0,19,4,63,16,0,4,8,0,23,0,0,0,0,0,0,229,152,97,2157,42,2676,5,0,0,0,0,3,13,3,0,3,0,26,10,0,3,14,0,36,7,0,3,0,0,19,21,0,0,0,0,27,36,10,3,52,3,112,469,55,56,173,16,760,37,8,11,360,1252,1673,2330,972,668,15327,1678,20971,85,561,413,7857
LGA21830,232,6336,165,7109,0,3,0,3,0,3,32,0,0,19,0,49,0,0,0,0,0,9,205,51,34,95,6,387,505,322,205,5197,131,6360,62,0,13,0,0,69,12,3,4,19,3,43,83,13,27,348,6,473,15,9,0,15,3,45,12,5,4,5,0,24,19,4,0,4,0,28,111,81,42,2117,27,2388,35,9,3,134,6,188,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,16,4,0,13,3,38,22,15,0,5,0,42,73,23,11,3,0,111,7,0,6,10,0,27,9,0,0,0,0,13,0,0,0,0,0,0,145,110,67,1645,33,1995,3,0,0,4,0,12,4,0,0,0,0,4,4,0,0,0,0,6,10,0,0,0,0,9,0,0,0,0,0,4,13,8,3,44,0,78,147,40,34,87,7,318,11,4,7,241,1080,1344,1308,648,411,12271,1406,16053,43,400,310,6282
LGA21890,2959,21159,457,30190,7,22,6,263,6,304,8594,189,207,268,75,9340,773,70,49,202,8,1096,561,288,176,504,13,1536,6373,3630,2382,20460,493,33340,1046,34,144,18,19,1262,451,92,55,250,6,860,1058,418,297,2097,55,3920,8472,950,515,2271,164,12369,198,57,34,94,7,396,5039,94,82,59,36,5313,2063,1374,883,11124,183,15625,12017,1861,850,4964,297,19990,213,3,11,10,0,235,2132,295,176,286,43,2926,2282,211,117,407,52,3072,743,164,105,371,14,1398,250,29,35,36,5,348,674,204,134,56,13,1082,507,136,101,247,11,1000,199,30,45,78,6,362,121,21,17,8,7,177,1819,999,683,6808,109,10416,427,36,15,55,5,542,188,51,45,11,5,298,606,58,51,124,11,847,764,66,31,42,7,910,3381,44,76,21,29,3550,238,87,49,341,3,725,14166,1306,968,1449,216,18103,710,61,45,450,9058,10315,68659,10341,6664,50094,10960,146722,1868,5132,3585,22072
LGA22110,940,15978,447,18842,0,3,3,197,9,208,210,20,17,134,7,385,33,3,0,18,0,60,508,141,91,314,13,1067,2549,1307,886,13604,390,18734,153,0,42,0,5,206,46,10,6,106,3,169,465,123,77,1274,32,1965,94,28,5,58,0,190,43,8,3,24,0,80,140,13,15,20,3,184,403,254,158,3906,94,4809,454,129,49,699,20,1348,12,0,0,0,0,12,3,3,3,10,0,15,3,4,0,5,0,14,100,13,9,65,0,189,47,12,9,18,5,88,114,31,31,37,5,224,109,30,10,47,0,194,34,10,0,7,0,52,7,0,0,3,0,10,655,310,232,3799,85,5086,24,9,0,18,0,50,56,8,4,8,0,82,43,4,3,24,0,78,20,0,3,3,0,30,63,0,7,0,8,78,103,24,15,119,0,267,761,189,102,435,28,1509,82,24,17,491,3430,4040,6217,2411,1667,30402,4343,45041,237,1451,1100,16102
LGA22170,4443,35348,726,47485,0,16,4,152,0,182,1950,74,103,223,25,2374,509,74,53,116,4,756,1566,448,332,816,51,3209,12849,5560,4235,30086,877,53614,1210,16,210,28,28,1501,421,56,48,329,7,867,1680,554,358,2721,63,5375,1193,267,136,612,22,2225,403,93,41,116,7,657,2316,76,68,50,22,2530,2760,1212,893,10130,178,15169,1783,629,314,1972,64,4764,86,0,9,3,0,105,282,72,33,44,12,451,80,20,8,21,0,127,329,111,69,232,9,754,967,111,91,63,26,1258,820,301,188,105,14,1428,752,117,65,200,12,1155,547,40,38,69,3,697,329,33,24,4,5,405,3389,1296,1037,7910,168,13801,351,35,21,26,8,443,578,79,70,20,5,757,418,41,35,122,9,622,555,85,34,44,7,731,236,11,21,6,0,278,514,119,94,325,12,1066,7495,1030,864,1392,141,10916,475,77,58,821,7647,9070,38760,10789,8100,66869,9623,134144,1305,6412,5025,36281
LGA22250,146,4367,112,4838,0,0,0,30,0,30,9,0,0,20,0,26,10,0,0,0,0,11,54,20,14,39,0,132,292,230,178,3761,123,4585,45,0,9,0,0,52,3,4,0,24,0,31,49,22,20,347,9,446,13,0,0,17,0,35,6,0,0,8,0,12,40,0,0,3,0,43,39,43,25,1043,18,1161,24,19,4,149,3,204,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,3,0,10,0,26,8,4,3,3,0,19,18,4,4,3,0,29,16,0,3,0,0,18,8,0,0,0,0,4,0,0,0,6,0,3,49,69,35,956,23,1130,3,0,0,0,0,3,9,0,0,0,0,12,4,0,0,9,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,18,0,29,100,32,9,64,5,205,9,8,7,144,631,792,716,394,294,8273,877,10548,40,209,140,4279
LGA22310,3988,21841,326,33086,5,6,0,34,0,44,11434,167,276,237,80,12187,434,67,66,95,3,670,805,237,158,405,9,1619,8293,3806,2701,18334,371,33499,779,18,125,10,15,943,861,110,83,258,12,1318,1980,537,386,2057,35,4995,4837,644,349,1762,75,7662,1053,193,111,243,9,1609,6793,102,77,56,43,7071,2323,1126,701,8978,134,13257,2917,712,371,2159,52,6208,836,8,5,4,0,851,273,57,12,70,4,416,123,20,10,27,0,175,258,70,67,136,3,540,184,34,14,10,4,238,642,221,155,72,3,1098,4082,705,485,1003,31,6312,3747,228,198,288,26,4489,50,10,10,4,0,76,1895,911,656,5896,112,9472,417,35,29,39,0,518,2205,246,160,45,18,2673,456,34,30,76,8,608,938,78,86,52,10,1170,864,20,42,11,10,950,209,70,43,237,5,570,17742,2112,1873,2157,143,24038,738,123,97,443,6126,7523,68284,10855,7938,46464,7339,140875,2018,6011,4688,21854
LGA22410,312,7502,173,8489,0,8,4,79,0,93,36,4,3,37,0,83,14,0,0,10,0,28,185,46,34,89,8,361,769,431,313,6387,178,8075,88,3,23,4,0,119,5,6,0,29,3,41,112,60,36,825,17,1045,16,5,5,10,0,38,17,0,0,3,0,19,46,0,6,8,0,64,141,84,63,1807,31,2123,72,36,7,150,8,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,46,10,9,37,0,114,59,5,11,4,0,81,57,12,13,9,3,93,22,6,0,24,4,61,9,0,0,10,0,17,6,0,0,0,0,6,222,119,103,1814,40,2304,0,0,0,0,0,3,26,5,0,5,0,37,28,0,3,17,0,47,22,0,0,0,0,24,15,0,0,0,0,15,30,6,3,29,0,63,245,57,40,167,10,504,20,5,16,256,1414,1706,1906,825,590,14432,1799,19556,70,497,360,7443
LGA22490,497,8242,133,9655,0,0,0,35,0,36,39,3,4,50,4,99,90,21,6,58,0,182,260,86,71,218,8,644,1186,646,508,6410,128,8876,32,0,10,0,0,44,28,6,8,52,0,101,248,95,74,642,15,1067,43,10,7,33,0,98,46,17,7,23,0,95,27,11,4,7,0,52,220,141,86,2066,40,2550,168,65,30,353,9,620,5,0,0,0,0,9,13,0,0,0,0,18,21,5,3,5,0,35,84,38,17,67,7,207,18,3,0,3,0,24,54,18,13,0,0,89,54,30,14,45,0,144,20,3,0,15,0,38,6,0,0,0,0,3,313,168,127,1899,26,2546,21,0,4,8,0,31,14,0,0,5,0,25,31,10,3,20,0,62,5,3,0,7,0,13,13,0,0,0,0,17,27,4,10,62,0,103,375,71,75,201,6,726,45,12,9,296,1037,1400,2944,1260,954,15218,1309,21687,106,838,723,9335
LGA22620,1764,40722,849,46310,0,11,0,215,6,226,688,43,65,560,23,1377,73,23,15,57,0,178,509,283,158,591,14,1552,3318,2584,1733,38094,864,46597,385,14,95,17,18,524,87,31,17,284,9,431,532,285,136,3904,76,4937,157,60,26,187,6,445,77,28,9,39,0,152,773,30,26,36,9,869,709,651,375,13713,255,15703,456,273,111,2164,58,3063,56,0,5,7,0,66,43,5,0,33,0,87,28,0,6,19,0,51,124,57,16,125,6,335,130,41,16,39,3,235,170,120,91,89,3,470,131,43,26,147,5,347,72,8,12,54,0,139,22,12,0,5,0,42,894,661,461,10156,174,12344,29,8,6,20,0,62,118,35,11,21,0,186,85,14,11,98,10,214,179,24,7,18,3,222,102,14,12,5,0,126,109,62,27,348,6,555,2758,381,291,1050,52,4536,136,50,45,1185,6842,8257,11114,5010,3249,82412,8691,110479,471,3139,2127,43264
LGA22670,1407,8729,350,15415,3,3,0,78,0,93,16552,99,210,118,222,17198,974,62,25,62,16,1141,932,97,86,167,20,1303,7133,1408,981,7589,371,17485,2280,28,128,11,18,2470,718,35,18,68,22,858,1052,153,113,610,37,1962,3173,372,167,612,56,4391,629,32,29,39,21,744,12237,74,84,32,88,12513,951,326,248,2675,57,4253,3233,420,238,860,90,4840,443,3,9,0,0,453,942,106,64,52,26,1195,530,50,26,22,9,631,444,58,39,101,8,654,583,35,35,7,10,680,406,70,53,25,3,556,1010,59,43,92,19,1218,573,20,12,21,35,658,880,29,14,6,23,948,1072,350,270,1967,64,3724,2037,51,43,43,41,2214,271,31,22,13,9,349,729,30,27,23,10,821,4975,105,65,37,29,5214,16379,100,214,75,167,16946,107,13,14,103,6,232,43995,962,850,715,585,47102,2260,77,84,222,7789,10433,116122,4442,3525,18078,9884,152052,4732,1905,1539,7835
LGA22750,5594,67259,1382,83363,5,14,9,286,13,335,2756,82,172,433,19,3471,2592,337,189,727,48,3888,2708,916,568,1995,72,6261,12619,7402,5319,62751,1430,89528,1368,29,234,43,25,1700,344,91,71,520,8,1028,2489,873,521,6390,144,10421,1034,227,84,643,28,2007,595,99,67,238,19,1024,2632,80,43,79,14,2847,2888,2022,1292,24118,383,30698,3888,1118,447,4273,170,9894,171,0,12,8,0,194,182,57,26,90,0,349,1110,153,67,270,16,1611,762,202,119,535,22,1639,333,67,44,54,19,516,597,355,252,129,6,1343,1360,266,161,622,35,2449,407,60,54,122,9,649,91,29,3,11,0,140,3427,2068,1500,19251,392,26639,875,87,63,110,23,1160,394,77,72,70,6,619,600,81,93,253,11,1035,357,35,22,36,4,457,697,22,38,13,9,785,532,187,119,739,15,1593,10369,1458,1045,2669,226,15768,534,126,100,1591,13053,15396,50837,15609,10760,139666,16559,233426,1889,9772,7007,77002
LGA22830,967,19076,431,22383,0,15,0,302,5,323,526,9,27,138,13,716,47,28,9,40,0,122,416,137,78,369,4,1004,1912,1325,842,17813,454,22346,400,6,72,3,6,489,49,18,7,147,0,227,300,124,86,1517,37,2055,346,55,15,228,5,645,39,8,8,17,0,72,1181,21,9,19,10,1240,406,325,218,6381,105,7435,2031,423,182,2202,90,4929,31,0,0,0,0,32,12,9,0,6,0,29,160,21,6,106,3,294,37,23,7,71,4,145,88,13,9,44,0,156,140,58,45,46,0,295,82,20,4,68,0,181,33,7,4,18,0,56,268,11,7,0,0,287,472,337,215,4930,105,6067,37,0,3,12,4,52,62,7,7,10,0,86,91,14,8,54,0,176,123,0,7,6,0,137,44,4,0,4,0,45,57,7,17,133,0,221,5097,319,247,652,87,6400,264,28,22,629,4851,5799,13490,2852,1918,39604,5975,63839,772,1538,1029,19340
LGA22910,344,4592,80,5549,0,0,0,13,0,17,61,3,9,31,0,114,75,7,0,6,0,88,199,67,51,95,3,416,1040,483,323,4237,139,6220,42,0,0,0,0,48,43,7,5,46,0,104,182,62,34,474,8,758,69,5,9,28,0,109,43,11,0,0,0,50,46,9,3,5,0,55,199,146,74,1883,28,2331,129,70,31,379,7,615,4,0,0,0,0,4,0,0,0,12,0,7,17,0,3,7,4,31,77,13,9,21,0,115,15,0,0,5,0,25,51,19,31,3,0,105,65,9,4,24,0,103,26,5,4,8,7,38,0,0,0,0,0,0,263,126,88,1447,33,1955,37,0,3,0,0,44,22,3,0,0,0,26,18,5,3,11,0,41,12,0,6,0,0,15,9,0,0,0,0,9,40,18,7,73,0,139,390,84,55,192,15,728,19,5,0,128,1247,1404,2610,935,641,9638,1505,15327,79,562,339,4658
LGA22980,74,2130,58,2369,0,0,0,13,0,13,15,0,0,11,0,24,7,0,0,0,0,3,33,11,6,14,0,65,182,112,71,1843,64,2266,24,4,9,6,0,39,10,0,0,23,0,32,17,21,16,796,9,858,13,0,0,8,0,21,9,0,0,0,0,9,39,0,0,0,0,33,20,11,11,396,11,454,14,0,0,34,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,15,0,0,0,0,0,6,8,3,3,4,0,16,7,0,0,12,0,20,0,0,0,0,0,5,0,0,0,0,0,0,33,23,16,473,9,553,4,0,0,0,0,4,8,0,0,0,0,9,0,0,0,0,0,6,4,0,0,4,0,10,3,0,0,0,0,3,9,0,4,14,0,24,184,9,12,41,10,259,3,0,0,66,335,412,572,184,139,4366,465,5725,18,94,92,2005
LGA23110,2174,15694,276,22222,3,3,8,63,0,80,2874,73,124,128,25,3223,1005,117,73,221,22,1438,476,180,120,314,9,1092,5912,2533,1910,13698,291,24342,1176,21,124,32,19,1371,241,43,27,132,5,448,928,245,191,1318,38,2715,2375,303,150,822,53,3708,234,35,33,58,3,375,2835,60,45,32,40,3010,1752,796,506,6199,87,9337,3442,648,305,1861,64,6322,87,0,3,5,0,98,1887,440,165,191,38,2731,1120,124,41,175,10,1462,2414,328,177,878,30,3830,506,57,40,18,14,638,563,155,112,41,0,871,772,82,67,217,9,1144,202,22,11,49,5,294,153,14,6,3,4,192,1677,659,498,4156,64,7052,622,80,45,67,9,822,195,46,36,14,6,296,321,26,16,46,0,409,231,20,26,22,0,298,1811,20,57,30,28,1948,207,58,29,193,0,495,7932,767,601,814,118,10239,493,58,55,330,4422,5350,38949,6627,4588,33142,5478,88777,1277,3469,2585,15701
LGA23190,265,7313,133,8116,0,4,0,32,0,43,81,3,0,30,3,120,3,0,0,6,0,18,87,38,26,117,0,279,398,343,255,6869,180,8051,92,3,32,8,0,133,13,0,0,57,3,79,86,52,37,1901,33,2104,22,16,0,24,0,57,13,4,0,6,0,26,151,3,0,3,0,157,86,79,43,1843,35,2085,138,41,24,320,9,534,4,0,0,0,0,4,10,0,3,9,0,21,0,0,3,0,0,4,6,9,0,17,0,36,11,0,3,4,0,18,9,9,14,6,0,42,27,11,7,26,0,67,6,3,5,6,0,13,9,4,0,0,0,11,124,92,61,2030,44,2352,0,0,0,0,0,0,14,12,6,0,0,23,14,4,0,9,0,30,20,0,0,0,0,26,4,3,4,0,0,8,12,15,0,59,0,93,328,53,47,117,5,550,26,4,6,276,949,1267,1518,683,499,15633,1303,19641,52,369,286,7820
LGA23270,3036,28117,647,40599,13,12,13,188,4,222,2505,55,101,186,10,2862,1268,157,69,242,12,1753,653,195,109,359,6,1314,8621,3381,2379,23078,637,38097,3138,43,233,38,31,3484,301,37,27,160,4,540,1324,320,229,1987,43,3898,2828,530,255,1126,62,4799,273,49,25,101,3,455,10056,113,82,49,63,10370,1553,912,525,8908,158,12052,8427,1872,957,5319,212,16782,100,4,10,5,0,112,6409,1351,544,684,140,9129,744,148,56,213,17,1177,2773,526,357,1330,38,5021,638,69,71,35,20,836,608,182,152,54,25,1015,774,132,83,312,9,1315,223,20,29,39,0,313,2301,105,46,28,37,2513,1739,766,608,5958,138,9206,593,57,22,53,4,739,224,41,26,13,3,313,796,61,39,127,20,1047,3139,64,38,30,19,3286,1925,22,48,13,29,2042,160,36,29,187,3,424,50550,2813,1655,2076,528,57619,1837,155,114,680,9926,12711,107455,12276,7619,57737,12298,197376,7553,5826,3767,29279
LGA23350,331,5928,126,6843,0,0,0,14,0,13,21,4,9,34,5,67,30,3,3,7,0,45,154,38,31,78,6,302,736,418,335,5057,115,6663,30,0,7,0,3,37,33,4,0,52,0,96,195,47,47,674,23,985,6,4,0,12,0,22,19,0,4,4,0,29,27,3,0,8,0,38,107,74,64,1923,44,2208,89,32,14,201,13,353,0,0,0,3,0,3,0,0,0,3,0,4,0,3,0,5,0,5,10,6,5,17,0,35,9,0,3,6,0,18,35,10,23,0,4,77,40,14,3,29,0,78,4,0,0,10,0,16,0,0,0,0,0,0,173,100,58,1520,23,1870,9,0,0,0,0,12,15,5,0,0,0,21,14,0,10,17,0,42,3,5,0,0,0,5,0,0,0,0,0,0,41,5,3,43,0,99,249,58,57,158,18,527,13,5,6,157,1042,1220,1665,757,602,11605,1329,15953,59,507,379,6418
LGA23430,4140,29248,521,40504,0,9,8,72,0,92,8624,131,253,276,88,9373,703,86,49,159,4,1005,1171,332,215,497,16,2233,11381,4547,3398,26522,569,46418,1600,29,175,24,12,1853,671,74,57,329,9,1145,1729,427,323,2346,60,4882,6006,694,417,1677,90,8891,533,79,40,119,8,782,5743,119,91,72,48,6071,2947,1272,858,11221,206,16511,3925,927,431,2773,70,8134,359,3,19,5,0,387,507,99,34,116,9,768,155,36,27,41,4,257,461,114,78,265,7,925,394,50,41,19,7,509,737,214,194,58,6,1208,1185,159,127,233,13,1726,1637,62,61,72,11,1839,127,10,11,5,9,163,2951,1105,816,7829,142,12837,505,37,21,62,8,630,749,84,65,34,8,940,554,63,32,76,10,733,1472,106,101,67,5,1749,1663,25,61,6,13,1775,376,83,62,341,10,881,14317,1406,1127,1454,156,18461,609,86,45,557,7052,8345,63641,10424,7820,60790,8714,151389,1834,5911,4912,29873
LGA23670,3910,33795,546,44941,0,7,9,76,0,91,16223,137,339,335,118,17144,481,76,43,110,8,725,1948,474,312,934,27,3692,10301,4879,3624,29095,631,48535,1570,35,144,13,8,1778,443,55,34,239,9,784,2320,594,340,2888,66,6200,1847,408,179,1009,27,3470,680,113,59,152,9,1017,5427,104,79,79,24,5712,2192,1148,813,9917,157,14217,3234,890,456,2823,75,7478,732,0,15,8,0,759,326,53,35,69,9,498,166,28,15,70,5,280,438,139,85,292,5,958,258,42,24,29,9,364,488,198,174,108,9,972,997,101,97,241,8,1454,337,21,25,50,0,431,127,10,8,0,5,152,2384,1116,842,8071,123,12533,366,25,34,34,0,470,695,84,73,34,8,898,502,27,21,102,3,667,3067,149,83,72,12,3385,1253,16,63,12,8,1361,373,82,62,332,8,856,12207,1119,870,1393,138,15725,526,73,44,682,5421,6739,63415,10296,7523,65772,7101,154109,1834,5531,4178,32435
LGA23810,1614,24343,625,29403,0,7,3,126,9,146,527,24,23,82,4,659,138,21,15,46,7,227,1261,376,248,804,35,2723,3592,2145,1550,20262,579,28125,431,20,108,17,4,581,79,19,11,130,5,245,810,277,194,1910,59,3247,314,52,27,197,3,600,120,23,6,47,0,196,402,11,3,16,3,436,800,527,319,5811,127,7578,1359,317,116,1343,51,3180,32,0,0,0,0,35,10,4,0,7,0,28,18,3,0,7,0,28,740,163,79,557,21,1561,139,39,18,26,0,220,141,95,66,55,9,363,406,61,30,198,11,701,81,19,6,44,4,148,23,11,3,0,0,32,1325,606,493,5220,124,7774,64,7,4,13,3,89,76,14,8,13,4,109,133,16,8,79,3,241,120,16,0,7,5,147,85,0,10,0,0,103,122,41,20,166,9,365,2120,314,233,732,57,3465,164,56,25,742,5237,6231,13513,4544,3096,45468,6628,73257,567,2525,1841,25154
