LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA12900,7,3,0,127,281,18,41,18,5,358,3456,181,198,69,17,3915
LGA12930,335,11,5,846,866,285,1143,39,16,2341,27702,6211,19944,352,98,54316
LGA12950,0,0,0,104,176,6,13,36,10,236,1627,42,63,60,11,1802
LGA13010,0,3,0,110,348,29,7,15,5,399,3664,189,85,63,15,4015
LGA13310,3,3,3,232,673,88,37,25,11,839,11185,1120,401,132,34,12865
LGA13340,0,0,4,154,384,14,0,3,0,401,4160,86,4,16,16,4284
LGA13450,24,6,8,273,632,55,108,46,10,852,8334,475,1030,154,44,10042
LGA13550,0,3,0,163,364,77,16,35,0,491,4570,437,100,69,13,5185
LGA13660,0,0,4,134,165,0,8,18,6,196,1973,28,11,52,31,2093
LGA13800,47,5,10,429,825,138,64,76,4,1109,20724,2327,717,210,70,24048
LGA13850,0,0,0,61,134,14,3,0,3,161,1154,92,12,11,16,1291
LGA13910,4,4,6,291,577,69,10,11,9,670,7243,506,144,77,38,8010
LGA14000,482,0,5,1333,699,149,528,9,11,1401,36475,4401,11767,142,71,52852
LGA14100,57,0,3,109,87,23,54,3,3,172,2972,756,1086,9,10,4839
LGA14170,495,10,7,984,567,629,1710,124,22,3057,21840,20674,33076,1200,173,76964
LGA14220,5,3,0,199,621,88,9,41,3,759,6576,534,68,105,47,7326
LGA14300,0,0,0,51,123,6,29,6,0,165,2081,42,90,20,5,2241
LGA14350,7,25,0,201,774,30,90,90,6,1000,10972,316,793,366,53,12510
LGA14400,133,0,0,292,230,73,54,11,10,374,6852,1294,807,86,25,9064
LGA14500,452,0,9,863,514,39,368,15,0,934,29141,1660,11695,138,43,42683
LGA14550,6,6,0,153,333,0,9,19,4,370,3889,11,106,97,23,4125
LGA14600,0,0,3,120,244,24,16,11,0,292,2323,69,74,28,21,2514
LGA14650,222,10,11,1729,2255,483,290,85,23,3138,70738,8205,3837,522,133,83435
LGA14700,150,0,5,241,91,29,406,0,3,523,5929,830,9141,15,19,15930
LGA14750,3,0,8,83,314,18,38,19,0,401,3746,134,366,74,28,4347
LGA14850,9,8,8,373,985,154,90,62,17,1313,15237,1843,912,336,63,18390
LGA14870,6,0,0,196,521,77,16,10,4,630,7977,695,154,77,37,8946
LGA14900,218,6,9,979,2842,569,1422,13,18,4861,52836,7584,12566,52,233,73273
LGA14920,0,5,0,128,348,39,3,14,3,413,3044,99,41,31,11,3222
LGA14950,0,0,0,48,91,0,0,0,8,103,1237,10,16,5,21,1293
LGA15050,14,5,4,684,909,200,75,21,4,1203,29276,3300,811,227,58,33667
LGA15240,198,19,16,1275,2155,253,277,173,53,2909,34771,3720,3070,892,183,42636
LGA15270,0,4,6,228,691,67,7,101,4,873,9506,678,92,195,30,10502
LGA15300,3,13,9,261,889,151,43,29,13,1127,4310,600,118,164,97,5288
LGA15350,147,0,0,212,78,43,239,16,14,386,4114,1428,6236,114,33,11921
LGA15520,3,3,4,226,358,38,3,14,8,428,4653,448,38,116,48,5304
LGA15560,0,0,3,114,141,3,9,11,0,163,1332,25,56,24,8,1446
LGA15650,0,0,4,172,311,92,9,4,0,415,5626,704,65,59,38,6498
LGA15700,6,13,4,162,526,73,60,108,3,770,7619,580,454,372,77,9103
LGA15750,0,8,6,219,492,68,9,21,0,592,4611,467,38,112,22,5243
LGA15800,0,0,0,73,200,6,11,0,3,226,2199,52,62,26,15,2353
LGA15850,0,0,0,70,268,18,7,4,4,306,2321,100,51,31,15,2523
LGA15900,135,5,6,1048,1363,610,850,51,23,2901,46814,11248,10297,305,154,68811
LGA15950,397,0,6,512,102,120,1038,5,8,1270,3703,4250,25672,84,87,33794
LGA15990,1016,10,8,2320,1375,399,1381,65,17,3233,55334,8623,32767,459,191,97369
LGA16100,0,0,0,67,248,17,3,8,0,276,2192,98,33,18,7,2350
LGA16150,29,3,9,254,688,160,95,12,12,969,14662,1733,658,71,61,17181
