LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA32080,36,37,39,1733,1665,1588,624,693,809,260,300,340,1405,1605,1950,0.8,0.8,0.8,1158,1336,1578,2.5,2.5,2.5
LGA32250,37,38,36,999,999,1128,589,677,770,137,165,173,1276,1544,1704,1.1,1.1,1.1,1007,1347,1469,2.6,2.6,2.5
LGA32260,42,44,46,1326,1300,1300,503,567,647,200,235,250,1144,1305,1475,0.9,0.8,0.8,932,1068,1204,2.5,2.4,2.3
LGA32270,31,33,34,2015,1842,1500,831,843,1011,180,200,250,2317,2106,2443,0.9,0.8,0.8,1996,1823,2095,2.8,2.7,2.6
LGA32310,38,40,42,1365,1300,1300,487,522,669,190,210,220,1226,1323,1734,0.9,0.8,0.8,981,1047,1307,2.5,2.4,2.4
LGA32330,21,21,23,0,0,0,281,315,375,75,100,100,687,766,803,1.3,1.2,1,790,775,793,4.3,4,3.4
LGA32450,33,34,34,1517,1510,1200,882,1022,1190,140,187,220,1826,2140,2321,0.9,0.9,0.8,1502,1646,1879,2.7,2.5,2.5
LGA32500,38,41,42,1092,1253,1300,496,579,669,178,200,200,1066,1339,1494,1,1,1,828,1034,1159,2.3,2.3,2.3
LGA32600,33,40,35,1188,0,0,483,579,819,120,135,148,1104,1274,1937,1.1,0.9,1,977,1100,1375,2.8,2.6,2.7
LGA32750,34,30,39,618,1500,953,700,754,1074,116,157,140,1375,2041,2187,0.8,0.9,0.9,979,1767,1792,2.1,2.5,2.1
LGA32770,22,21,25,303,0,737,282,298,354,110,120,120,689,745,882,1.7,1.6,1.5,1113,1082,1223,5,4.5,4.2
LGA32810,40,43,46,1647,1560,1517,585,676,736,250,290,310,1257,1460,1682,0.9,0.9,0.8,985,1169,1310,2.3,2.3,2.3
LGA33100,43,45,46,685,664,758,482,521,744,100,139,160,938,1192,1441,1,0.9,1,733,865,1145,2.3,2.2,2.2
LGA33200,41,44,42,716,780,758,545,600,821,105,140,160,1201,1331,1743,0.8,0.8,0.8,930,1109,1343,2.4,2.3,2.3
LGA33220,44,48,51,1400,1300,1300,396,468,533,240,270,300,912,1090,1293,0.8,0.8,0.7,780,906,1062,2.4,2.3,2.3
LGA33360,35,35,38,2000,1950,1600,689,678,758,306,250,275,1941,1918,2048,0.8,0.8,0.8,1723,1586,1639,2.7,2.6,2.5
LGA33430,37,38,39,2061,1950,1950,571,666,787,355,395,450,1379,1657,2010,0.8,0.8,0.8,1174,1404,1691,2.5,2.6,2.5
LGA33610,38,40,40,1300,1300,1300,565,653,754,170,220,250,1239,1461,1735,0.8,0.8,0.8,1024,1212,1394,2.5,2.4,2.5
