LGA_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
LGA24250,0,0,0,0,0,8,3,0,0,14,21,0,29,59,4,3,0,0,13,0,0,0,15,1405,891,306,18,2623,1129,76,446,4276
LGA24330,101,64,24,8,198,54,29,16,3,102,70,24,44,242,6,4,6,0,22,21,0,8,57,8347,8975,3229,660,21213,9996,2490,1772,35472
LGA24410,10,6,0,4,22,0,6,3,0,10,8,0,20,34,3,8,0,0,16,22,0,8,50,10873,15069,4824,405,31180,10719,1106,1159,44163
LGA24600,53,53,24,12,141,32,10,10,3,56,54,24,150,280,46,16,6,5,78,125,35,75,314,19125,6597,3041,1748,30511,30524,9725,6207,76969
LGA24650,7,3,0,3,17,6,7,0,0,16,103,4,37,158,12,23,3,0,38,19,0,3,60,10853,25769,7527,602,44745,9052,1102,2628,57535
LGA24780,12,7,0,12,27,74,14,12,5,101,161,20,267,548,18,6,6,0,26,23,0,24,78,5920,5616,2647,242,14414,6177,689,1887,23170
LGA24850,4,4,0,5,14,3,11,0,0,11,29,6,80,120,7,7,0,0,14,10,0,6,30,4586,6100,2161,160,13008,3780,352,1024,18168
LGA24900,8,5,0,0,14,52,8,4,3,67,102,3,106,286,4,5,0,0,14,5,0,6,21,3945,2764,1225,78,8013,3579,326,879,12793
LGA24970,20,12,3,7,36,13,5,0,0,20,7,3,10,45,8,3,0,0,15,31,7,10,67,16703,24403,6799,1090,48995,14109,3868,2288,69265
LGA25060,64,66,17,18,160,21,26,9,4,64,66,17,25,168,7,7,0,0,19,12,0,0,39,11667,15025,4573,666,31933,13958,1920,1881,49697
LGA25150,7,6,0,6,17,13,4,0,3,25,33,0,30,84,0,4,0,0,8,7,0,3,17,3819,4669,1552,122,10160,3085,256,646,14150
LGA25250,134,93,64,23,319,70,44,22,3,136,93,64,114,407,12,14,10,3,38,37,3,17,89,16861,18340,6056,1090,42343,20051,5474,2755,70629
LGA25340,13,19,0,0,34,84,8,22,3,122,326,10,139,589,13,10,5,0,29,24,3,7,63,20426,18060,6783,468,45733,17727,1190,4324,68977
LGA25430,14,6,0,3,24,5,3,8,0,16,24,3,20,59,6,0,0,0,6,8,0,5,19,2667,1791,850,67,5369,2785,239,537,8937
LGA25490,7,3,0,0,10,8,0,0,0,10,15,0,32,52,3,0,0,0,3,11,0,0,9,2134,1938,572,62,4704,1629,109,469,6908
LGA25620,0,6,0,0,13,23,10,0,0,30,96,6,36,171,10,3,0,0,13,10,0,6,26,2074,1392,523,34,4029,1825,154,634,6639
LGA25710,0,0,0,0,3,0,5,0,0,6,5,0,6,18,0,3,0,0,6,3,0,0,13,5781,9659,2028,130,17601,3078,232,483,21392
LGA25810,7,4,0,0,12,5,3,5,0,12,26,0,70,108,4,3,0,0,4,5,0,6,13,1516,1032,438,53,3038,1724,139,401,5307
LGA25900,214,292,50,54,617,157,36,18,7,219,294,50,92,656,13,11,7,0,25,46,6,34,110,12846,7735,2994,544,24123,21347,3263,3374,52106
LGA25990,3,0,0,0,4,12,6,0,0,14,11,0,13,45,0,0,0,0,5,3,0,0,8,1026,633,292,17,1964,938,64,252,3232
LGA26080,4,5,0,0,5,0,0,0,0,5,3,0,11,18,0,0,0,0,4,0,0,0,4,601,246,80,8,939,486,17,220,1658
LGA26170,18,12,3,3,35,14,7,12,0,30,48,3,36,116,0,0,0,0,4,14,0,0,18,4017,3007,1073,82,8184,3585,240,968,12972
LGA26260,3,8,0,0,10,6,3,0,0,13,21,0,25,62,4,3,0,0,3,6,0,0,13,2075,1622,613,58,4365,2334,142,385,7234
LGA26350,128,187,26,30,374,99,13,8,6,128,191,26,37,383,13,11,4,0,28,27,4,11,72,12550,9163,2919,666,25295,18524,3411,2430,49657
LGA26430,3,0,0,0,7,20,6,3,0,24,40,3,18,88,0,0,0,0,0,3,0,0,3,1621,954,449,41,3075,1559,112,433,5170
LGA26490,4,5,0,0,9,12,4,4,0,21,15,3,47,91,8,3,0,0,14,11,0,7,30,4216,4690,1056,79,10041,2828,408,1103,14380
LGA26610,16,4,0,4,29,40,13,4,4,57,60,20,150,284,9,8,4,4,17,7,16,20,66,2275,2070,784,103,5228,2150,336,783,8505
LGA26670,0,6,0,0,6,3,5,0,0,6,12,0,8,31,0,0,0,0,3,5,0,0,0,920,560,158,13,1655,712,39,220,2630
LGA26700,10,6,0,3,18,13,0,7,0,22,36,0,39,102,3,0,0,0,7,10,0,0,16,3588,2988,1259,92,7927,3645,275,697,12547
LGA26730,20,7,0,4,32,31,8,9,4,49,52,4,93,202,7,7,0,0,15,9,0,4,20,3891,3639,1622,159,9310,4229,452,741,14738
LGA26810,14,10,0,6,35,23,9,9,0,43,91,3,99,243,11,7,3,0,21,12,5,13,49,5572,4341,1726,163,11797,5321,415,1356,18888
LGA26890,0,0,0,0,3,0,0,0,0,5,4,0,3,8,0,0,0,0,4,0,0,0,5,543,360,112,14,1021,576,40,162,1803
LGA26980,14,8,6,0,31,8,8,0,0,14,8,6,3,30,5,12,4,0,17,24,4,10,57,15508,21530,6295,893,44225,15879,2992,2011,65112
LGA27070,12,4,0,0,21,9,11,0,0,17,3,0,25,50,4,8,6,0,26,23,0,11,57,16781,32476,9968,966,60186,13808,1985,2825,78791
LGA27170,10,3,0,3,16,10,3,0,0,15,45,0,37,98,10,0,0,0,18,8,0,5,25,4397,4597,2170,163,11332,4605,437,722,17094
LGA27260,9,0,0,0,8,20,3,7,0,26,56,3,48,135,7,16,5,0,25,19,4,13,64,17850,43699,10389,1234,73173,13668,2977,4392,94206
LGA27350,164,115,67,19,367,105,38,18,3,170,115,72,60,414,9,4,0,0,17,29,4,10,61,11468,6231,2557,620,20876,15019,4755,2165,42807
LGA27450,18,12,0,3,37,40,15,5,0,58,153,0,61,272,20,14,9,0,37,26,3,3,80,15688,20388,6284,450,42808,11893,1147,2016,57857
LGA27630,9,8,0,0,25,9,0,0,0,17,19,0,13,46,0,0,0,0,0,0,0,0,0,892,533,243,21,1688,996,52,195,2929
LGA29399,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,4,0,24,39,42,23,10,0,81,58,17,356,514
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,83,57,19,187,39,0,20,253
LGA30300,0,0,0,0,0,9,3,0,0,16,19,0,145,175,6,4,0,0,6,8,0,14,29,442,436,168,25,1069,484,38,310,1900
LGA30370,0,0,0,0,6,14,0,0,0,21,35,0,196,247,5,3,5,0,11,5,0,73,90,1502,1555,416,50,3528,1342,133,1076,6073
LGA30410,0,0,0,3,0,8,0,0,0,13,9,0,195,220,5,3,0,0,7,8,0,70,92,304,267,92,16,675,357,25,464,1523
LGA30450,0,0,0,0,0,6,0,0,0,6,5,0,60,70,0,0,0,0,3,0,0,8,18,31,22,9,5,68,40,4,100,207
LGA30760,0,0,0,0,0,8,0,0,0,5,8,0,65,71,3,0,0,0,3,0,0,12,19,269,176,56,4,510,233,11,148,907
LGA30900,0,0,0,0,0,3,0,0,0,8,5,0,58,67,3,0,0,0,4,0,0,9,13,35,31,22,0,89,49,3,84,230
LGA31000,95,76,28,21,230,216,81,76,11,377,897,69,473,1816,180,116,65,13,373,538,91,194,1192,119805,144752,45441,7196,317189,119025,28901,16960,482077
LGA31750,6,0,0,0,3,3,0,0,0,10,6,0,32,44,0,0,0,0,10,6,0,22,36,30,38,5,0,71,38,4,72,190
LGA31820,10,13,6,11,44,210,33,34,4,275,411,33,930,1646,35,14,3,0,44,58,0,203,307,12899,8630,4581,378,26492,10672,1307,3319,41783
LGA31900,11,0,0,0,17,29,3,4,0,37,62,0,164,267,16,9,4,0,26,27,0,65,115,2085,1599,600,60,4345,1896,154,764,7155
LGA31950,0,0,0,0,0,14,6,0,0,19,17,0,270,307,0,3,0,0,5,3,0,24,35,37,25,3,0,73,51,0,334,461
LGA32080,47,33,5,27,115,97,38,41,7,184,263,20,820,1287,97,33,29,8,169,202,17,150,538,16200,16317,8122,697,41336,16313,2666,5605,65917
LGA32250,3,0,0,0,0,22,3,3,0,33,40,0,532,602,3,5,0,0,5,6,0,62,79,176,140,116,16,443,208,21,699,1365
LGA32260,23,15,3,14,55,72,15,8,0,97,101,14,747,962,19,13,4,0,35,31,0,163,231,3517,2540,1174,124,7356,3204,400,2098,13061
LGA32270,11,0,0,3,16,37,4,9,4,56,76,4,503,634,42,19,3,0,67,45,3,164,279,2516,3146,873,88,6627,2377,279,1922,11209
LGA32310,10,6,0,0,16,25,3,6,0,34,57,3,363,455,11,8,0,0,19,6,0,72,97,1216,940,518,58,2726,1236,118,1060,5141
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,73,124,11,232,69,3,11,320
LGA32450,0,4,0,3,7,19,5,0,0,30,38,0,529,594,4,5,0,0,9,4,0,33,46,260,287,112,19,675,344,38,715,1769
LGA32500,9,7,0,0,15,40,8,8,0,53,71,0,823,949,9,5,3,0,16,11,0,105,131,405,323,172,18,917,526,61,1242,2745
LGA32600,0,0,0,0,0,0,0,0,0,5,4,0,57,63,0,0,0,0,0,0,0,4,9,14,24,10,5,50,30,4,90,171
LGA32750,0,0,0,0,0,0,0,0,0,5,0,0,30,27,0,0,0,0,0,0,0,5,7,30,13,10,0,50,29,0,69,151
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,128,61,10,239,36,10,22,312
LGA32810,14,9,3,3,29,36,8,3,0,53,66,3,382,505,20,8,0,0,33,36,0,141,202,1565,965,412,46,2988,1339,227,1305,5863
LGA33100,0,0,0,0,0,16,0,0,0,26,26,0,336,390,14,4,0,0,20,10,0,72,105,86,52,9,3,158,105,3,465,721
LGA33200,0,0,0,0,0,3,0,0,0,3,4,0,86,89,13,15,0,0,26,12,0,19,58,165,125,42,6,340,188,19,240,789
LGA33220,30,11,0,7,50,233,40,30,5,309,416,21,775,1524,72,30,12,0,116,91,11,304,526,15704,8897,5245,410,30246,12121,1558,3625,47553
LGA33360,4,3,0,0,9,78,16,16,0,108,156,13,737,1014,16,8,7,0,32,31,3,116,183,6625,6984,2726,200,16535,5923,723,2517,25699
LGA33430,71,43,9,34,163,300,68,70,15,449,866,47,953,2311,178,84,69,10,342,337,46,150,874,64266,68227,27950,2516,162955,53934,12018,14557,243469
LGA33610,3,0,0,0,3,6,6,3,0,21,10,0,67,106,9,3,3,0,19,12,0,19,50,1109,1048,391,39,2589,1056,114,495,4252
LGA33620,9,11,0,8,28,106,23,11,0,147,196,5,362,714,32,9,11,4,50,64,0,83,205,6900,4763,2409,168,14236,5578,647,1757,22219
LGA33800,3,9,0,0,13,16,3,0,0,19,29,0,211,269,20,10,0,0,22,9,0,85,118,1587,919,404,32,2942,1386,94,650,5072
LGA33830,0,0,0,0,0,0,0,0,0,0,3,0,10,15,0,0,0,0,0,0,0,0,0,37,78,77,16,208,73,0,24,305
LGA33960,26,10,7,0,36,35,21,20,0,76,150,12,141,384,10,18,11,0,37,66,3,26,138,18212,26699,12463,981,58356,17171,2531,3889,81945
LGA33980,5,5,0,4,14,32,4,0,0,32,35,3,323,395,10,5,0,0,26,15,3,140,179,1631,2256,559,49,4491,1620,187,1636,7935
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,5,40,74,67,17,205,40,4,35,286
LGA34530,8,0,0,0,14,54,7,0,3,70,76,9,702,860,21,7,4,0,31,16,0,156,204,4726,4077,1409,116,10331,3129,328,1808,15595
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,3,0,0,4,7,24,44,39,9,113,33,4,41,191
LGA34580,28,3,5,0,45,33,20,8,4,63,26,4,32,126,10,4,0,0,15,61,0,4,85,4278,4282,1751,161,10476,3004,660,804,14945
LGA34590,4,3,0,5,11,56,10,21,0,89,287,7,173,552,33,30,23,0,86,85,6,23,201,27141,39830,17773,1451,86188,22708,3756,6986,119634
LGA34710,0,5,0,0,4,9,8,0,0,15,19,0,246,278,5,8,0,0,9,17,0,44,74,377,322,133,16,849,439,46,511,1852
LGA34770,9,4,4,4,25,148,33,12,4,198,287,14,736,1230,42,10,9,5,72,113,13,140,331,12655,13510,4739,449,31358,10278,1337,4059,47026
LGA34800,0,0,0,0,0,0,0,0,0,0,0,0,65,69,13,25,0,0,38,11,4,22,71,59,79,13,0,149,86,6,162,398
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0,0,0,0,0,6,0,3,6,15,32,26,0,70,21,4,37,136
LGA34860,3,0,0,0,6,18,7,0,0,30,14,6,196,243,16,0,0,0,21,6,0,28,56,1294,1354,421,40,3114,1325,141,797,5381
LGA34880,31,18,0,24,81,48,13,5,0,65,151,22,401,638,15,6,0,0,29,26,0,104,160,2484,1937,909,89,5416,2131,293,1409,9253
LGA35010,44,18,0,3,65,282,48,58,9,399,841,26,583,1847,54,39,30,0,123,103,8,52,281,48624,55106,22900,1721,128356,37657,5008,6961,177980
LGA35250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15,35,74,53,10,174,56,7,45,284
LGA35300,8,5,0,5,21,38,11,5,0,55,214,3,557,833,7,4,6,0,18,29,0,55,101,1476,1948,850,82,4358,1809,250,1130,7547
LGA35600,0,0,0,4,8,6,3,0,0,9,6,5,101,125,7,7,0,0,16,7,0,21,43,449,341,152,15,949,541,45,364,1896
LGA35670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,20,77,48,14,163,39,0,33,226
LGA35740,0,4,0,0,5,18,8,5,0,35,37,3,190,269,22,12,9,0,49,44,3,47,148,7994,5460,2140,122,15722,5328,799,1912,23755
LGA35760,8,0,0,0,8,26,6,8,3,43,43,4,144,237,8,4,0,0,16,10,0,30,56,1319,823,335,48,2525,1227,143,645,4544
LGA35780,0,5,0,0,3,10,0,6,0,21,24,0,194,230,8,0,4,0,14,5,5,27,51,86,238,186,16,532,138,7,296,976
LGA35790,0,0,0,0,3,4,0,0,0,3,11,3,0,18,4,0,0,0,4,7,0,4,7,55,136,148,32,375,105,18,29,522
LGA35800,9,5,0,0,9,13,3,0,0,17,11,0,121,149,7,3,0,0,3,3,0,9,22,186,136,84,13,416,258,23,193,894
LGA36070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,4,14,32,45,37,12,128,21,0,34,182
LGA36150,0,0,0,0,0,4,0,0,0,5,0,0,46,52,0,3,0,0,3,3,0,18,28,77,79,15,0,173,99,6,103,377
LGA36250,3,3,0,4,18,39,8,14,0,60,105,3,142,312,22,14,3,0,40,27,0,17,89,17791,19282,6867,525,44457,12889,1410,1958,60718
LGA36300,0,0,0,0,0,0,0,0,0,0,0,0,28,28,5,11,8,0,19,10,0,0,32,83,75,16,0,176,61,4,105,344
LGA36370,13,4,0,4,19,36,13,7,0,55,71,5,281,419,12,14,0,0,29,37,3,72,146,7679,8231,4210,404,20523,8368,1021,2224,32134
LGA36510,17,6,0,5,30,50,18,15,0,89,96,0,111,300,20,11,0,0,30,15,0,22,63,5256,4477,1737,125,11597,3440,384,1045,16479
LGA36580,3,0,0,0,6,32,4,5,0,40,53,0,145,240,0,0,5,0,10,9,0,10,27,3020,2523,1074,86,6692,2089,283,708,9771
LGA36630,11,9,0,0,18,34,12,6,4,62,79,4,133,273,15,11,3,0,28,16,0,37,80,4141,2695,1434,156,8419,3828,440,1347,14035
LGA36660,13,9,0,6,27,26,19,10,0,44,60,3,102,215,19,16,3,0,41,25,0,14,75,4731,3180,1537,129,9579,4122,331,1137,15165
LGA36720,32,18,3,5,64,297,68,71,0,444,582,30,1178,2234,117,57,25,0,209,143,13,277,636,40971,36657,14167,1047,92845,30061,5021,7586,135512
LGA36820,7,9,0,7,31,64,9,10,0,78,105,10,536,727,21,17,4,0,44,34,3,102,183,3381,2158,1098,97,6750,2923,318,1625,11612
LGA36910,28,8,4,0,38,83,17,17,0,115,128,6,345,597,45,23,9,0,73,49,4,33,160,19047,17732,7416,717,44912,17717,2019,3381,68033
LGA36950,7,6,0,0,11,0,4,0,0,11,17,0,78,100,5,4,0,0,12,7,0,22,38,162,319,165,25,674,242,33,198,1144
LGA36960,3,0,0,6,11,0,0,0,0,6,0,0,14,18,0,3,0,0,9,6,0,10,23,111,367,284,22,791,215,8,95,1106
LGA37010,17,7,5,7,37,163,26,15,8,209,240,14,712,1180,28,14,14,8,63,121,10,177,376,19123,19597,8963,888,48562,18235,3087,5340,75236
LGA37300,0,0,0,0,0,8,0,0,0,12,19,0,66,102,7,0,0,0,7,8,0,43,58,329,524,91,10,945,240,50,320,1558
LGA37310,10,13,0,4,32,31,17,0,0,53,69,4,201,323,17,5,3,0,31,23,0,92,147,3452,3332,1363,137,8291,3238,371,1588,13484
LGA37340,12,5,6,9,34,137,26,11,0,176,143,15,1090,1424,64,18,10,0,91,83,16,342,516,3952,3255,1260,111,8574,3465,571,2833,15451
LGA37400,0,0,0,0,0,9,0,0,0,9,6,4,129,144,15,7,0,0,21,5,0,49,74,127,94,29,3,254,167,11,298,735
LGA37550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,43,125,9,198,69,5,18,293
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,22,8,60,17,0,3,83
LGA37600,0,0,0,0,0,11,12,12,0,35,16,3,7,67,0,0,0,0,0,0,0,0,3,48,174,176,18,417,54,9,20,503
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8,5
LGA40070,34,23,11,14,74,23,8,0,0,34,28,11,94,161,16,6,7,0,27,68,21,32,151,3102,974,540,192,4802,4936,1376,976,12093
LGA40120,5,0,0,0,5,3,5,0,0,10,16,0,7,33,8,7,0,0,15,8,0,4,31,4758,5474,1188,88,11513,2791,229,510,15043
LGA40150,0,0,0,0,0,7,0,0,0,8,0,17,9,34,3,0,0,0,5,6,0,3,13,991,1236,326,37,2586,686,116,210,3603
LGA40220,7,9,0,0,13,27,4,0,0,32,70,3,47,155,19,3,0,0,26,15,5,13,52,4490,2587,991,81,8148,3339,239,669,12394
LGA40250,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,15,19,89,181,104,31,411,90,15,92,609
LGA40310,4,4,0,0,9,12,0,7,0,19,39,0,53,114,3,4,0,0,11,8,4,3,29,3252,2894,871,49,7065,2513,162,396,10136
LGA40430,0,0,0,0,0,0,3,0,0,3,4,0,9,14,0,0,0,0,0,0,0,3,9,426,213,72,3,710,387,20,112,1227
LGA40520,0,0,0,0,0,15,5,4,0,19,21,0,79,115,0,0,0,0,3,5,0,7,17,1302,923,547,38,2809,1381,110,321,4622
LGA40700,4,4,3,4,18,4,0,0,0,4,4,3,4,18,10,5,6,0,22,14,6,0,41,4829,6102,1429,145,12506,4762,430,350,18049
LGA40910,4,0,0,0,3,0,0,4,0,4,0,0,0,3,8,4,0,0,13,13,3,6,39,5432,6895,2313,259,14896,5734,704,499,21832
LGA41010,0,0,0,0,0,4,0,0,0,3,23,0,82,111,0,0,0,0,0,4,0,37,37,400,340,150,17,905,393,33,207,1535
LGA41060,42,20,6,5,73,17,17,16,0,55,40,7,143,246,25,19,15,0,64,51,0,12,127,12811,13427,5480,702,32427,14831,1976,1667,50898
LGA41140,6,0,0,3,12,13,0,0,0,17,9,4,51,78,0,3,0,0,3,15,0,9,20,1311,873,316,18,2507,1118,82,300,4012
LGA41190,0,0,0,0,3,0,0,0,0,4,5,0,8,17,0,0,0,0,0,0,0,6,9,226,179,39,3,451,210,9,87,762
LGA41330,0,0,0,0,3,4,0,0,0,4,16,0,140,160,0,0,0,0,0,3,0,11,24,138,86,52,15,285,360,25,331,1001
LGA41560,4,4,0,0,9,19,0,4,0,24,27,5,72,122,6,7,0,0,11,7,0,20,33,2351,1119,635,59,4159,1952,152,503,6767
LGA41750,4,0,0,0,3,5,0,0,0,4,4,0,53,63,0,0,0,0,0,0,0,18,22,123,98,24,3,241,129,5,117,500
LGA41830,0,0,0,0,6,4,3,0,0,8,4,0,63,70,0,0,0,0,4,5,0,21,24,223,121,64,4,414,247,15,160,829
LGA41960,3,0,0,0,4,3,3,0,0,9,5,0,16,23,0,0,0,0,0,0,0,8,9,207,101,33,0,342,141,8,97,587
LGA42030,0,0,0,0,0,15,0,0,0,16,32,0,34,76,15,9,4,0,27,25,0,4,51,2740,2491,1497,95,6827,3013,253,367,10460
LGA42110,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,4,546,374,129,11,1068,572,29,162,1833
LGA42250,41,11,0,17,67,21,18,0,0,44,11,0,24,83,7,0,0,0,7,8,0,12,33,1027,940,202,17,2197,536,44,234,3003
LGA42600,25,42,11,0,70,28,7,4,0,39,39,5,29,119,13,6,3,0,14,19,0,0,33,4817,3747,1306,136,10002,5604,523,503,16631
LGA42750,4,0,0,3,8,7,0,4,0,10,4,0,7,19,3,0,0,0,6,5,0,17,30,708,396,124,15,1238,657,48,298,2236
LGA43080,4,4,0,0,8,0,5,0,0,5,4,0,5,7,0,0,0,0,0,0,0,0,0,123,94,24,6,245,151,3,38,434
LGA43220,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,6,0,136,103,15,5,266,115,10,43,433
LGA43360,0,0,0,0,3,0,0,0,0,3,0,0,4,12,0,0,0,0,0,0,0,0,3,371,197,57,8,627,326,22,80,1055
LGA43650,6,0,0,0,4,11,7,0,0,10,4,0,9,27,5,3,0,0,8,0,0,4,15,1658,2063,544,36,4298,1011,96,221,5630
LGA43710,0,0,0,0,0,4,4,0,0,10,10,0,55,80,0,0,0,0,5,0,0,14,17,747,664,146,6,1563,468,38,221,2296
LGA43790,6,0,0,0,3,8,0,4,3,12,24,3,65,109,8,0,0,0,6,12,0,10,29,1596,1072,415,42,3124,1419,109,393,5040
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,6,6,0,0,18,19,0,7,36
LGA44060,5,0,0,0,3,0,0,3,0,8,0,0,16,26,14,13,14,0,38,38,8,18,96,9978,10761,4200,489,25423,11138,1664,945,39173
LGA44210,8,7,0,3,15,33,10,9,0,42,57,6,86,193,10,7,0,0,23,6,0,21,47,1331,687,337,27,2379,1314,90,518,4313
LGA44340,20,9,0,0,32,9,13,5,0,30,18,0,30,86,12,9,0,0,25,24,6,11,62,6971,8987,2255,237,18441,5924,734,515,25615
LGA44550,5,3,0,0,9,18,5,5,0,27,49,3,22,101,8,3,4,0,12,17,0,0,34,4302,4893,1652,102,10948,3237,324,539,15055
LGA44620,7,0,0,0,7,4,0,0,0,3,4,0,22,31,6,0,0,0,4,17,0,43,63,2984,2550,1335,106,6983,3710,253,627,11568
LGA44830,0,0,0,0,4,11,9,0,0,17,3,0,133,155,0,0,0,0,5,3,0,16,20,469,248,77,8,798,345,28,260,1429
LGA45040,3,0,0,0,4,24,0,3,0,31,49,0,50,125,9,4,3,0,21,20,0,6,42,2436,1955,1065,93,5539,2641,245,509,8931
LGA45090,0,0,0,0,0,3,0,0,0,3,7,0,19,32,4,6,0,0,9,3,0,28,41,1073,926,232,21,2249,914,118,254,3535
LGA45120,9,0,0,0,5,4,3,0,0,8,4,0,9,26,0,0,0,0,0,0,0,7,11,629,431,138,14,1212,617,57,126,2013
LGA45290,18,7,0,0,28,16,6,0,0,28,23,0,21,71,4,5,0,0,21,27,0,7,48,4072,3940,1352,189,9551,5607,806,582,16546
LGA45340,5,9,0,0,14,75,9,14,0,100,262,7,141,508,20,19,10,0,48,41,4,15,112,19067,19799,9191,653,48706,17738,1698,2388,70520
LGA45400,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0,0,0,0,0,3,0,0,3,122,76,11,0,216,117,7,49,390
LGA45540,0,0,0,0,0,0,0,0,0,0,3,0,22,22,0,0,0,0,0,5,0,3,10,212,69,84,10,375,327,22,145,865
LGA45680,0,0,0,0,0,12,0,4,0,17,65,0,18,98,12,17,6,0,31,23,3,8,64,7542,10280,6636,494,24957,9141,1188,1784,37070
LGA45890,41,29,8,11,91,26,20,8,0,56,82,8,30,179,24,29,9,0,65,76,7,36,184,11705,14607,6217,854,33386,15206,2433,1875,52900
LGA46090,3,0,0,3,8,4,4,3,0,14,27,0,276,322,5,0,3,0,9,17,0,43,66,1384,1129,704,71,3290,1702,151,765,5912
LGA46300,5,6,0,0,11,7,0,0,0,7,15,14,70,103,3,4,0,0,5,7,0,7,27,1640,1304,712,59,3717,1863,178,442,6199
LGA46450,6,5,0,0,11,11,6,3,0,19,14,0,72,107,6,3,0,0,13,11,0,3,27,1937,1544,938,80,4500,2501,154,435,7590
LGA46510,11,4,0,0,18,0,4,5,0,11,4,0,0,18,4,3,0,0,5,7,6,0,15,2153,2792,735,120,5807,2331,499,207,8842
LGA46670,0,0,0,0,0,18,6,3,0,23,14,5,100,137,6,3,0,0,7,7,0,25,42,1202,944,419,38,2598,1127,108,365,4197
LGA46860,0,0,0,0,0,0,0,0,0,0,4,0,11,15,0,0,0,0,0,0,0,14,20,263,130,34,3,432,197,14,96,741
LGA46970,0,0,0,0,0,0,4,0,0,3,0,0,6,14,0,0,0,0,0,3,0,3,7,270,478,89,12,847,291,58,236,1433
LGA47140,3,9,0,3,17,43,5,4,0,55,90,8,104,259,18,18,11,0,51,52,4,16,124,11975,16752,7780,729,37241,13450,1737,1922,54350
LGA47290,0,4,0,0,0,4,0,0,0,4,10,0,12,26,0,0,0,0,0,0,0,0,6,268,188,47,5,509,276,11,85,884
LGA47490,0,0,0,3,3,6,0,0,0,3,4,0,97,107,0,0,0,0,0,0,0,8,14,293,209,40,5,547,231,12,179,974
LGA47630,0,0,0,0,3,0,0,0,0,4,9,0,35,47,0,0,0,0,5,9,0,4,10,828,720,186,24,1759,694,87,258,2798
LGA47700,6,0,0,0,0,6,3,0,0,15,0,0,0,17,7,7,5,0,20,21,3,3,49,11107,12747,4468,337,28663,9157,774,746,39342
LGA47800,5,4,0,3,3,3,3,0,0,6,8,0,10,27,0,5,0,0,5,5,0,0,9,726,453,188,24,1395,736,56,233,2421
LGA47910,0,9,0,0,4,11,3,0,0,14,9,0,49,73,6,0,0,0,3,5,0,9,18,448,249,67,5,759,397,18,128,1307
