LGA_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
LGA16950,0,10,6,13,29,3,23,9,7,39,13,95,18,42,169,26,188,38,77,331,28,219,35,63,341,66,424,77,91,653,73,278,47,62,472,18,53,5,12,85,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,5,0,0,9,4,28,9,22,58,232,1330,243,389,2198,0,4,0,3,5,0,4,0,6,15,0,55,12,33,98,19,83,8,46,151,8,94,21,33,153,19,205,39,106,373,70,470,93,171,801,69,255,46,74,442,7,19,10,4,38,0,3,5,5,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,0,26,69,199,1239,233,494,2169,0,0,0,0,5,0,0,0,4,3,0,7,5,17,26,5,25,5,29,55,4,52,7,30,94,24,107,19,51,200,28,272,46,143,498,84,509,85,208,895
LGA17000,0,3,0,5,10,0,16,4,6,18,3,53,8,6,68,8,14,0,14,36,0,10,0,4,21,4,26,7,26,59,4,48,3,15,79,6,36,5,12,58,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,17,31,227,29,82,371,0,0,0,0,0,0,0,0,3,5,0,22,3,7,33,7,36,0,12,57,0,15,0,3,26,5,41,3,19,63,12,69,18,22,125,11,41,6,17,76,5,9,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,43,249,38,93,422,0,5,0,0,4,0,0,0,0,0,0,5,0,0,4,0,7,3,7,17,0,6,0,6,20,6,26,0,11,38,8,71,5,21,101,17,90,10,38,154
LGA17040,0,0,0,0,3,0,0,3,3,9,0,20,0,10,36,8,48,3,13,70,5,28,0,4,41,8,40,5,10,66,6,13,9,0,26,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,28,169,29,50,273,0,3,0,0,4,0,0,0,0,0,0,7,6,9,10,0,10,4,9,26,0,23,8,12,37,7,58,12,13,90,0,36,7,8,55,3,10,3,3,26,0,0,0,0,6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,25,160,28,60,275,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,8,0,3,19,0,9,0,3,11,3,33,4,13,55,8,47,4,13,71,10,33,4,10,50
LGA17080,0,0,0,0,4,0,9,3,9,20,0,32,4,10,50,6,51,10,20,85,0,32,5,10,42,4,27,0,4,38,0,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,4,7,22,182,21,51,270,0,3,0,0,0,0,0,0,0,6,0,17,0,6,28,6,41,0,16,67,0,29,0,10,41,9,30,6,7,48,6,26,4,7,38,0,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,5,9,23,152,22,56,250,0,0,0,0,0,0,0,0,0,0,0,9,0,8,19,5,34,3,16,60,4,28,0,12,47,0,36,5,12,58,10,39,9,12,69,6,16,0,4,35
LGA17100,0,0,0,0,3,5,7,0,9,16,0,9,4,6,23,3,13,3,15,31,0,6,0,4,15,0,6,0,7,18,6,25,11,24,71,10,64,42,48,161,13,46,28,34,114,7,14,9,14,43,4,0,6,4,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,8,0,8,26,49,207,118,162,536,0,0,0,3,0,0,4,0,0,3,0,6,7,4,17,3,6,5,6,27,0,4,7,10,20,0,3,7,8,19,3,5,3,17,28,7,37,23,32,101,18,64,55,40,166,10,39,18,40,109,9,11,8,20,47,0,6,8,12,26,0,0,0,4,6,0,0,4,0,9,0,4,8,12,28,53,203,145,203,598,0,0,0,0,0,0,0,0,0,0,4,6,0,6,14,5,5,7,7,20,0,0,3,12,17,0,4,3,7,21,3,3,6,8,20,15,30,27,38,106
LGA17150,0,11,4,8,28,4,25,3,21,51,9,61,16,24,116,16,69,19,30,140,10,43,19,29,93,11,66,12,42,129,19,222,66,103,410,69,435,123,223,842,56,233,86,96,475,27,100,36,44,206,13,34,12,22,80,0,5,10,5,21,0,6,3,0,8,3,4,0,0,8,5,32,10,18,61,236,1335,430,679,2678,0,5,0,0,8,0,4,0,5,11,5,34,14,26,77,14,34,13,30,91,6,33,10,34,84,6,39,17,23,81,9,76,14,63,165,27,362,100,195,685,50,309,100,175,629,43,176,76,111,403,26,103,47,37,216,10,27,16,20,72,4,11,4,3,21,0,10,14,6,37,7,35,13,34,90,216,1249,435,776,2679,0,3,0,5,6,0,4,0,0,4,0,27,8,31,61,4,23,19,38,89,7,18,12,17,56,8,36,10,29,79,7,39,22,44,107,25,271,70,155,527
LGA17200,0,20,20,47,88,7,67,45,89,209,20,159,61,107,349,14,95,32,106,254,10,37,8,27,84,12,50,15,46,121,6,69,28,54,156,11,89,30,60,190,5,97,36,65,206,4,89,37,50,182,0,44,22,27,105,0,21,12,19,55,0,14,8,18,43,3,15,25,16,62,10,38,17,36,104,111,911,392,786,2200,0,10,4,10,27,0,21,8,13,46,9,116,44,91,267,17,81,39,88,220,3,34,15,95,146,15,50,11,51,131,6,53,21,66,146,10,71,30,70,181,3,98,29,51,178,5,96,34,73,208,10,115,32,70,231,9,48,28,50,133,6,23,23,17,74,8,56,39,36,139,6,25,11,34,82,109,910,378,814,2206,0,4,4,13,19,0,9,0,16,26,5,72,25,76,181,16,71,25,79,188,3,40,19,53,117,6,61,24,64,148,12,48,23,50,134,7,90,31,70,199
LGA17310,0,9,4,7,13,3,15,3,20,43,12,97,11,33,152,23,188,13,75,299,21,164,19,49,248,26,261,25,47,358,25,161,30,31,253,12,45,3,8,62,0,9,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,21,0,8,36,126,977,105,277,1485,0,0,0,6,8,0,7,0,3,6,0,53,6,19,82,12,90,13,34,146,6,63,4,37,112,28,205,22,69,320,48,357,45,88,545,39,168,28,35,263,3,20,6,8,35,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,13,29,141,992,123,317,1567,0,0,0,4,6,0,0,0,0,0,0,13,0,13,27,5,25,3,23,62,4,46,15,27,88,13,152,24,66,256,58,352,59,125,598,58,297,48,70,475
LGA17350,0,0,0,4,4,0,4,0,0,9,0,17,4,4,26,9,28,0,7,40,0,8,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,55,5,16,92,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,0,14,0,8,24,3,4,0,8,12,3,23,0,9,43,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,54,11,27,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,12,0,5,0,4,9,0,15,0,3,24,3,24,5,8,37,0,0,0,0,9
LGA17400,0,4,0,0,4,0,0,0,0,5,0,17,3,6,31,9,29,5,10,52,0,19,0,3,21,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,18,84,10,22,131,0,0,0,0,0,0,0,0,0,0,5,8,0,0,10,4,23,0,6,38,0,22,0,3,28,0,15,4,3,29,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,76,12,21,124,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,4,3,17,0,12,0,0,19,5,19,0,11,39,0,13,4,10,31,0,11,0,0,14
LGA17420,0,0,5,9,11,0,0,0,5,7,0,12,7,5,24,7,11,3,7,24,6,11,0,4,14,4,7,9,7,24,8,44,3,22,80,27,149,50,68,295,35,159,59,66,327,14,45,29,34,118,6,17,9,9,46,7,13,0,0,26,0,3,0,0,6,0,0,0,0,4,10,26,10,10,50,110,511,190,242,1054,0,0,0,0,0,0,0,0,0,0,0,7,5,3,11,4,5,4,6,19,0,3,3,4,11,4,8,5,0,15,3,10,4,17,29,12,56,18,34,118,39,150,78,89,358,56,163,71,89,382,20,66,25,45,156,10,16,6,18,52,5,8,6,5,27,3,17,7,4,24,6,12,5,8,34,161,522,234,326,1238,0,3,3,3,3,0,0,0,0,0,0,3,0,7,8,0,0,0,7,11,0,0,0,0,5,6,9,8,9,26,0,11,12,12,37,8,105,28,34,172
LGA17550,0,7,0,9,11,0,14,7,11,36,3,43,20,29,90,13,69,16,33,126,9,60,15,16,106,16,170,38,68,290,49,428,82,136,700,77,321,70,102,576,19,47,10,27,92,3,10,0,4,20,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,7,39,5,8,60,199,1226,262,436,2124,0,0,0,0,6,0,0,0,0,8,8,29,7,28,72,13,32,14,31,90,7,40,10,29,83,15,83,8,50,154,41,288,66,139,530,83,381,112,186,760,31,123,39,61,259,8,34,7,13,57,6,16,0,3,23,0,6,0,3,8,0,0,4,0,6,0,0,0,0,0,0,30,6,24,62,204,1060,278,571,2110,0,0,0,0,4,0,3,0,4,7,0,17,5,21,43,4,23,8,21,55,3,23,7,18,56,7,39,3,37,91,12,101,20,81,218,46,322,76,151,600
LGA17620,0,0,4,0,3,0,0,0,0,3,5,18,4,9,33,3,38,3,9,60,3,27,3,8,37,7,28,5,4,41,6,23,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,13,26,138,26,40,233,0,0,0,4,0,0,0,0,0,0,0,5,3,3,15,5,16,5,3,22,0,20,0,8,29,5,46,8,7,66,4,43,3,12,65,3,16,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,15,154,19,42,233,0,0,0,0,0,0,3,0,0,3,0,0,0,3,5,0,13,0,0,16,4,8,0,4,19,0,31,7,10,43,7,50,4,17,70,5,27,4,7,44
LGA17640,0,0,0,0,3,0,0,0,0,0,0,8,0,0,13,3,8,3,4,17,0,9,5,0,14,0,3,0,3,9,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,8,46,8,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,9,0,7,0,6,15,3,11,0,8,24,0,17,0,4,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,46,7,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,3,0,0,0,0,4,5,6,16,4,12,5,4,16,0,3,0,4,7
LGA17650,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,5,15,0,5,24,0,8,4,3,14,0,6,0,0,13,4,3,5,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49,10,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,9,3,5,19,0,3,0,4,6,0,20,0,7,25,0,14,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52,4,19,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,7,9,0,11,0,0,11,0,16,3,0,22,0,15,4,4,23,0,11,0,0,10
LGA17750,0,7,6,15,25,0,36,6,17,64,3,136,15,32,192,16,129,17,61,225,12,109,20,30,170,26,189,21,36,275,31,192,23,52,298,13,51,7,14,89,4,8,3,3,18,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,36,8,8,54,124,909,127,260,1419,0,0,0,0,6,0,13,4,3,19,4,99,9,26,140,17,82,7,47,150,3,70,9,39,124,15,158,29,53,254,50,311,41,82,478,42,119,27,41,228,8,12,3,8,21,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,18,40,147,877,135,303,1471,0,4,0,3,4,0,4,0,5,7,9,49,6,11,79,13,91,3,32,131,5,52,12,42,108,19,158,20,48,243,34,305,47,97,486,48,213,27,70,358
LGA17850,0,0,0,0,4,0,0,0,0,5,3,14,0,0,14,8,12,0,3,17,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,3,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,0,7,0,0,14,0,6,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,0,8,0,0,5,0,0,0,0,0
LGA17900,0,4,0,4,15,0,3,0,5,12,10,63,4,16,101,0,43,0,9,53,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,12,137,7,37,193,0,6,0,3,8,0,3,0,0,3,0,20,0,16,40,9,57,0,21,87,6,25,0,5,38,0,18,3,4,30,0,5,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,8,21,140,12,50,214,0,6,0,0,6,0,0,0,0,0,4,3,0,0,5,0,20,0,4,36,5,12,0,4,23,6,21,4,10,43,0,6,0,4,9,0,0,0,0,0
LGA17950,0,0,0,0,3,0,7,0,0,7,6,20,0,10,38,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,6,40,0,16,62,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,12,0,3,18,0,3,0,0,12,0,5,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,5,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,0,8,0,5,13,0,5,0,0,5,0,9,0,0,11,0,0,0,0,0
LGA18020,0,4,0,0,3,3,0,0,4,8,0,46,8,11,66,6,49,7,6,66,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,17,98,14,23,159,0,0,0,0,0,0,3,0,0,7,0,14,0,7,32,10,44,4,9,65,10,22,5,6,39,5,19,0,4,23,0,0,0,4,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,24,102,11,35,174,0,0,0,3,3,0,0,0,0,0,0,6,0,4,7,0,12,0,10,28,6,20,10,3,35,5,29,3,3,40,4,9,0,6,19,0,0,0,0,4
LGA18050,0,3,0,0,3,0,3,0,6,11,0,0,0,0,7,0,16,0,6,20,5,0,0,5,16,0,7,3,3,14,0,29,8,13,45,8,76,22,44,154,11,69,33,41,151,4,43,17,12,74,0,37,9,12,52,0,24,13,0,37,0,14,5,5,25,8,25,11,3,55,0,12,3,12,28,45,356,125,168,692,0,0,0,0,0,0,0,0,0,0,0,6,3,3,17,0,9,0,4,11,0,0,4,5,3,0,5,4,3,15,0,4,11,3,20,3,21,11,12,47,4,60,14,25,106,6,65,18,28,115,3,50,19,18,92,3,37,13,13,65,0,21,10,19,53,11,79,29,17,136,0,8,11,7,25,42,361,124,169,693,0,0,0,0,4,0,0,0,0,5,0,3,0,3,11,0,9,0,3,8,0,0,0,0,5,0,0,0,5,10,0,7,0,4,10,0,9,3,5,24
LGA18100,0,0,0,0,0,0,0,0,0,3,0,15,0,0,16,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,32,4,3,43,0,0,0,0,0,0,0,0,0,0,0,8,0,3,9,6,8,0,0,12,0,8,0,0,11,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,5,5,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,11,3,0,4,0,6,5,7,0,0,13,0,3,0,0,3,0,0,0,0,0
LGA18200,0,4,0,3,3,0,0,0,0,0,0,18,0,12,25,5,49,0,14,66,0,0,0,0,0,0,8,0,5,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,75,0,30,122,0,0,0,0,4,0,0,0,4,4,6,13,0,8,17,0,18,0,6,32,3,18,0,6,24,0,16,0,0,17,0,5,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,77,10,27,117,0,0,4,0,4,0,0,0,0,0,0,0,0,8,8,8,7,4,6,23,0,12,0,0,23,0,12,5,4,25,5,10,0,0,19,0,3,0,0,4
LGA18250,0,5,0,0,7,0,0,6,4,16,3,8,7,9,27,3,5,3,3,19,0,3,6,3,13,0,7,0,0,11,0,7,10,17,33,7,54,49,37,140,11,100,64,48,224,13,56,33,30,133,11,33,19,16,87,7,18,11,0,42,6,5,5,9,15,3,18,21,9,44,3,19,15,6,31,70,340,248,191,845,0,0,0,0,5,0,0,0,0,3,0,6,5,8,20,0,5,11,11,22,0,3,6,7,15,4,5,5,3,12,0,10,0,6,23,4,15,14,19,57,10,77,33,46,167,19,83,42,42,193,5,58,29,25,122,16,52,23,25,117,5,30,8,10,56,12,52,33,22,117,0,7,10,12,25,73,400,223,248,945,0,0,0,0,6,0,0,0,0,0,0,3,3,0,9,0,3,4,8,17,0,3,0,4,15,3,9,5,6,24,0,13,3,12,23,0,41,12,28,88
LGA18350,0,4,0,0,4,0,0,0,0,0,0,12,4,14,25,11,52,8,20,83,11,32,5,16,67,19,96,14,36,161,19,131,16,35,205,23,73,8,16,118,6,9,7,7,27,5,12,3,4,18,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,11,5,3,19,92,433,79,153,748,0,0,0,0,3,0,0,0,0,0,0,0,0,5,8,0,11,0,14,28,0,23,9,3,34,7,38,6,19,66,13,65,25,36,143,23,109,29,49,213,16,46,13,11,86,3,12,7,10,31,0,0,0,4,11,0,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,7,3,9,21,72,326,95,156,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,3,14,0,14,0,7,28,0,27,7,7,48,7,32,8,29,75,17,94,12,51,183
LGA18400,0,6,0,0,8,0,0,0,0,3,0,10,3,8,20,0,20,7,9,32,7,22,5,11,45,10,61,12,25,105,20,112,16,37,183,9,60,12,15,94,0,5,4,0,16,0,5,0,3,7,0,0,0,3,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,3,0,6,10,57,309,57,107,534,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,5,9,8,12,3,4,28,4,19,6,5,29,8,41,11,31,86,24,118,21,55,221,13,48,4,21,87,0,14,4,9,22,0,0,5,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,15,0,0,16,66,268,62,139,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,15,0,5,0,0,9,8,14,0,15,41,0,40,6,12,62,24,146,22,56,249
