LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA62810,39,13,0,0,55,56,24,14,4,94,183,92,23,7,302,204,126,32,9,372,257,205,54,8,524,220,237,67,15,540,381,517,143,22,1063,521,830,242,73,1660,131,166,76,23,396,11,4,4,0,21,2054,2241,653,162,5114
LGA63010,32,7,4,3,50,33,24,10,4,77,134,95,47,24,301,106,141,49,16,310,119,97,42,17,280,80,94,37,14,229,92,77,37,24,232,50,49,27,9,133,57,73,31,20,190,5,4,3,0,14,734,680,307,130,1858
LGA63210,0,6,0,0,10,12,11,5,0,23,60,33,11,6,110,47,44,9,9,112,42,41,14,12,107,36,31,13,0,76,26,31,7,3,70,23,24,9,4,61,24,22,15,8,68,0,0,0,0,9,277,242,100,40,655
LGA63410,0,0,0,0,4,6,0,0,0,0,8,9,6,0,14,10,11,3,0,19,9,12,3,0,22,6,5,4,0,16,11,8,0,0,21,12,6,5,0,18,5,5,0,0,17,0,7,0,0,5,54,61,18,5,137
LGA63610,18,13,4,5,42,56,14,7,4,83,192,135,49,16,388,206,213,80,21,513,317,279,111,25,727,245,321,115,30,711,313,415,159,33,924,227,441,153,39,859,130,177,75,37,421,8,0,4,0,19,1748,2029,757,217,4745
LGA63810,10,5,0,0,18,16,9,4,3,32,68,46,28,12,149,79,66,24,8,169,93,74,33,11,211,60,65,23,3,155,52,98,23,9,186,32,66,15,12,128,45,64,33,8,143,3,0,0,0,4,457,494,187,61,1209
LGA64010,65,49,19,5,142,98,76,33,16,227,427,304,134,56,923,394,349,138,58,940,418,452,124,49,1045,294,350,105,41,789,341,451,147,38,973,269,409,153,43,876,196,225,78,38,544,22,16,3,0,38,2604,2710,970,360,6643
LGA64210,21,14,6,5,33,28,9,5,3,51,116,95,36,15,262,143,118,51,25,334,154,150,49,28,373,120,128,46,19,310,131,170,63,14,376,82,109,41,12,245,80,75,39,16,212,11,0,0,0,5,891,875,328,129,2224
LGA64610,7,4,6,0,24,15,12,3,6,38,79,63,31,6,184,84,105,32,11,235,105,100,38,9,260,78,71,20,3,177,82,76,34,18,201,34,54,19,9,119,54,37,15,19,127,12,0,0,0,14,556,541,216,78,1390
LGA64810,15,4,5,0,26,25,11,0,8,40,90,74,27,9,206,107,117,41,12,276,146,128,38,9,327,123,92,31,12,262,92,120,40,8,268,51,58,28,3,138,67,63,24,19,168,0,3,0,0,10,729,683,239,90,1739
LGA65010,7,0,0,0,12,10,9,0,0,21,46,48,15,11,118,47,55,19,4,127,43,38,21,8,109,49,39,14,4,105,36,38,14,3,89,13,30,13,6,56,30,24,14,11,84,3,3,0,0,6,306,290,110,40,741
LGA65210,0,0,0,0,6,4,6,0,0,9,11,14,5,0,35,12,12,3,0,25,8,6,0,4,15,8,4,3,0,12,0,0,3,0,7,0,0,0,0,8,18,15,7,0,37,0,0,0,0,0,80,55,27,13,172
LGA65410,12,5,7,0,30,25,9,10,4,38,67,47,19,13,140,70,89,34,13,199,77,96,35,5,218,57,81,28,4,178,68,88,36,0,197,39,61,19,9,127,57,67,30,13,166,0,0,3,0,3,485,545,206,74,1318
