LGA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
LGA20830,3047,5356,2066,2218,1125,502,14311,439,355,54,56,28,4,938,10,12,0,3,0,0,23,452,357,58,57,25,4,966,356,135,26,0,0,0,521,4,0,0,0,0,0,4,0,0,0,0,0,0,0,..,..,..,..,..,..,..,8,3,0,0,0,0,10,367,141,26,0,4,0,534,99,27,11,4,0,0,139,0,0,0,0,0,0,3,7,4,0,6,0,0,24,111,36,9,7,0,0,163,0,0,0,0,0,0,5,3979,5898,2156,2284,1156,509,15978,3447,6041,2375,2346,1211,530,15946,386,172,30,16,6,0,607,29,14,0,0,0,0,41,414,181,31,16,6,0,655,470,260,29,16,0,0,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,470,260,29,16,0,0,773,90,33,3,8,3,0,140,0,0,0,0,0,0,3,3,7,3,0
LGA20910,3861,6862,3654,5634,2388,538,22944,1333,1246,402,243,62,17,3304,515,886,386,365,73,18,2245,1848,2135,789,607,133,36,5548,1788,1384,365,176,30,0,3754,257,203,33,10,0,0,512,201,113,33,16,3,0,361,..,..,..,..,..,..,..,13,9,5,0,0,0,20,2255,1714,443,204,39,3,4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,25,11,0,3,108,44,30,25,11,0,3,109,5,11,0,4,0,0,21,8012,10745,4906,6455,2567,589,33276,3603,6327,3620,5658,2304,542,22053,1954,1568,586,366,63,12,4549,826,1423,669,670,175,27,3791,2784,2990,1258,1035,241,44,8337,1027,748,211,92,18,3,2106,496,421,86,33,9,0,1045,542,456,90,45,0,3,1135,..,..,..,..,..,..,..,0,0,0,0,0,0,6,2074,1630,390,169,29,6,4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,89,26,11
LGA21010,1239,2046,652,577,271,121,4908,218,65,16,8,0,0,303,0,0,0,0,0,0,0,218,65,16,8,0,0,303,194,60,9,5,7,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,4,0,0,0,0,0,4,198,60,9,5,7,0,278,13,11,0,0,0,0,25,9,3,0,3,0,0,10,0,9,5,3,0,0,21,19,17,5,3,0,0,53,0,0,0,0,0,0,0,1676,2191,678,600,278,121,5541,1460,2120,616,542,240,94,5083,35,20,4,0,0,0,64,0,0,0,0,0,0,0,35,20,4,4,0,0,63,226,61,13,3,0,0,303,23,16,0,0,0,0,37,29,5,3,0,0,0,42,..,..,..,..,..,..,..,0,0,0,0,0,0,0,276,83,16,3,0,0,375,17,5,0,0,0,0,22,0,0,0,0,0,0,0,3,3,0,0
LGA21110,5555,9837,6294,9217,4233,1138,36274,1978,1948,787,536,119,29,5393,633,1083,575,454,123,30,2904,2613,3033,1362,992,240,58,8306,3268,2830,904,374,82,16,7471,1495,1348,350,142,29,8,3371,800,553,95,32,7,0,1488,..,..,..,..,..,..,..,35,25,5,0,0,0,61,5593,4753,1358,547,118,23,12393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,79,36,29,7,5,233,81,79,36,29,7,5,235,10,14,5,3,0,0,21,13844,17716,9049,10781,4598,1230,57228,4809,8916,5908,8764,3969,1197,33570,2761,2579,1162,951,223,41,7713,878,1546,924,909,242,62,4563,3633,4122,2085,1861,468,103,12268,2415,2082,733,347,70,22,5668,1807,1851,505,209,45,10,4426,1685,1442,262,102,18,11,3529,..,..,..,..,..,..,..,0,0,0,0,0,0,0,5914,5376,1503,657,132,37,13623,0,3,0,0,0,0,4,0,0,0,0,0,0,0,47,71,37,12
LGA21180,7979,14368,9963,10612,5190,3187,51302,616,539,323,209,111,48,1838,221,314,228,204,85,43,1095,842,848,549,410,197,92,2933,1435,1187,668,411,157,81,3937,82,74,38,23,6,9,235,102,65,29,17,5,4,215,..,..,..,..,..,..,..,22,6,7,3,0,0,40,1640,1329,741,451,168,88,4428,26,4,0,0,0,0,32,0,0,6,0,0,0,9,13,9,16,5,4,3,56,44,19,17,5,4,3,93,6,0,5,0,0,0,17,10509,16566,11272,11477,5567,3371,58774,8042,13905,9678,10223,4978,3660,50484,1550,1415,934,697,299,165,5054,559,838,648,523,248,185,3002,2107,2256,1581,1222,547,344,8058,988,665,412,257,102,46,2466,65,46,19,10,0,3,147,43,30,22,14,6,0,105,..,..,..,..,..,..,..,13,7,6,0,3,0,33,1113,747,461,280,100,47,2750,21,5,0,3,0,0,26,3,0,0,0,0,0,3,30,32,28,16
LGA21270,781,941,272,251,147,85,2480,26,8,0,0,0,0,38,4,3,0,0,0,0,12,33,16,0,0,0,4,51,47,7,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,47,7,3,0,0,0,50,3,5,0,0,0,0,17,0,0,0,0,0,0,0,7,4,3,5,0,0,19,7,12,4,5,0,0,30,0,0,0,0,0,0,0,868,974,279,254,152,88,2615,755,913,261,207,128,61,2324,30,8,0,0,0,0,35,0,0,0,0,0,0,0,30,7,0,0,0,0,33,45,9,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,45,9,0,0,0,0,55,9,3,0,0,0,0,14,0,0,0,0,0,0,0,6,7,0,4
LGA21370,2761,4756,1715,1670,911,394,12214,244,113,29,8,6,0,405,3,4,7,0,0,0,14,245,118,31,6,6,0,412,588,305,44,11,0,4,956,21,13,5,0,0,0,37,0,0,0,0,0,0,0,..,..,..,..,..,..,..,7,9,0,0,0,0,14,615,320,52,11,0,4,1011,64,41,0,4,0,0,108,0,4,0,5,0,0,8,6,17,3,3,4,0,33,77,57,0,10,3,0,150,3,4,0,3,0,0,17,3705,5254,1804,1702,926,404,13793,2999,4896,1658,1685,835,369,12445,495,217,42,11,0,0,767,12,0,0,0,0,0,19,498,217,43,17,4,0,780,309,94,26,7,3,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,4,0,0,0,0,0,8,317,94,24,7,3,0,444,73,13,8,4,0,0,102,0,0,0,0,0,0,5,9,10,5,0
LGA21450,3655,7389,4083,4672,2245,989,23030,439,281,73,50,11,9,862,37,74,36,14,4,4,159,475,356,109,63,16,13,1027,334,309,41,16,4,7,713,9,6,0,0,0,0,20,14,14,11,0,0,0,42,..,..,..,..,..,..,..,9,3,0,0,0,0,15,372,331,56,17,4,7,785,110,35,0,0,0,0,149,8,0,0,0,0,0,4,12,12,4,0,0,0,31,126,48,8,7,0,0,187,3,3,0,3,3,0,7,4627,8135,4249,4766,2271,1003,25036,4648,8707,5134,5824,2655,1365,28328,770,603,232,118,31,20,1773,145,203,136,48,10,7,559,916,812,365,169,46,22,2332,92,31,4,3,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,92,35,4,4,0,0,138,82,22,4,0,0,0,106,9,0,0,0,0,0,6,4,4,3,0
LGA21610,10050,20415,14330,16871,7477,4516,73655,880,747,352,403,140,82,2603,152,277,185,193,84,49,952,1035,1022,535,601,224,136,3552,1420,999,322,180,47,19,2988,0,8,0,3,0,0,12,39,27,15,11,0,0,88,..,..,..,..,..,..,..,9,6,3,0,0,0,18,1474,1029,342,196,47,24,3113,89,16,8,3,0,0,115,0,0,0,0,0,0,3,0,8,6,9,8,0,18,91,25,9,8,7,6,142,3,7,0,0,0,0,15,12650,22495,15216,17678,7754,4678,80472,10796,21930,15935,19371,8628,5801,82464,2234,1960,947,812,320,201,6473,333,568,401,336,128,64,1835,2563,2522,1356,1148,453,268,8309,479,258,95,46,15,6,903,28,3,7,0,0,0,38,0,6,0,0,0,0,16,..,..,..,..,..,..,..,4,0,0,0,0,0,4,515,274,103,48,18,8,964,101,21,11,4,3,0,137,0,0,0,0,0,0,5,41,22,26,15
LGA21670,1433,1835,591,531,254,118,4753,98,38,8,4,0,0,147,7,6,0,0,0,0,12,106,45,8,4,0,0,154,168,64,3,3,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,3,0,0,0,0,0,8,171,64,3,6,0,0,243,51,15,0,0,0,0,68,3,5,0,0,5,0,9,7,15,3,4,0,0,25,61,27,8,4,5,0,101,0,0,0,0,0,0,0,1770,1963,605,536,256,118,5252,1536,1955,632,457,224,118,4928,219,77,11,10,0,0,316,3,0,0,0,0,0,4,222,77,9,10,0,0,317,64,11,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,64,12,0,0,0,0,76,47,15,0,0,0,0,62,8,0,0,0,0,0,7,15,4,0,4
LGA21750,1863,2655,969,904,488,212,7093,196,81,15,6,4,3,302,14,31,12,8,4,0,61,208,111,26,11,5,3,365,243,56,15,3,0,0,322,0,5,0,0,0,0,5,0,0,0,0,0,0,0,..,..,..,..,..,..,..,3,0,0,0,0,0,6,253,61,15,5,0,0,332,27,8,3,0,0,0,36,5,0,0,0,0,0,5,3,5,3,3,0,3,16,29,12,3,0,0,0,55,0,3,0,0,0,0,3,2353,2843,1019,921,494,216,7850,2018,2732,954,899,456,210,7262,395,99,22,15,5,3,527,12,10,0,0,0,0,34,411,110,24,14,5,3,558,35,13,6,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,36,13,6,0,0,0,54,31,10,0,5,0,0,44,0,0,0,0,0,0,0,9,9,5,0
LGA21830,1527,2196,715,773,458,215,5892,21,11,0,0,0,0,32,0,9,9,0,0,0,15,25,16,5,0,3,0,50,147,23,5,3,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,3,149,24,5,3,0,0,185,23,0,0,0,0,0,31,7,0,0,0,0,0,3,13,11,0,4,0,0,30,37,11,9,4,0,0,61,0,3,0,0,0,0,5,1748,2251,738,783,463,219,6194,1598,2171,713,658,372,186,5697,81,17,0,0,0,0,98,0,6,0,0,0,0,4,81,18,0,0,0,0,104,98,26,4,4,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,95,26,4,4,0,0,135,3,0,0,0,0,0,12,0,0,0,0,0,0,0,5,8,0,0
LGA21890,7032,10735,6335,6600,2563,1093,34354,1715,1726,741,387,119,59,4743,482,746,416,247,88,31,2005,2204,2470,1158,626,205,93,6752,4225,2767,907,423,117,44,8482,487,358,87,30,7,3,974,306,242,84,32,3,9,682,..,..,..,..,..,..,..,17,11,8,10,0,0,42,5033,3379,1087,499,133,56,10181,6,0,0,0,0,0,9,0,0,0,0,0,0,0,86,106,43,44,19,10,307,91,104,43,44,19,10,316,10,8,0,5,0,0,21,14371,16694,8615,7772,2925,1248,51627,6581,9673,5962,6498,2357,1131,32204,3195,2763,1308,819,212,106,8389,1563,2147,1103,720,223,78,5833,4751,4908,2410,1538,430,184,14218,2414,1598,446,188,45,18,4714,626,472,120,48,10,6,1277,771,792,179,46,16,8,1815,..,..,..,..,..,..,..,3,3,0,0,0,0,5,3814,2862,752,283,71,24,7807,0,0,0,0,0,0,3,0,0,0,0,0,0,0,106,109,55,21
LGA22110,3657,6302,1925,1737,808,348,14777,311,172,47,24,14,4,570,7,16,3,0,0,0,33,324,191,48,23,16,4,602,647,311,59,22,6,3,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,4,0,0,3,0,0,5,648,314,59,23,6,3,1046,211,117,10,6,7,0,353,7,5,0,0,5,0,17,22,16,8,9,0,0,48,239,135,19,10,6,4,419,4,7,0,4,4,0,13,4865,6945,2052,1801,840,356,16862,4483,6791,1940,1762,793,324,16103,410,123,25,9,4,3,584,29,20,7,5,0,0,68,439,146,35,18,4,3,645,195,84,20,4,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,193,84,20,4,0,0,312,156,66,5,6,0,0,237,6,5,0,3,0,0,20,22,11,3,6
LGA22170,7817,12924,7096,7079,2900,1199,39018,1298,825,244,93,27,8,2497,247,298,122,61,17,7,742,1545,1120,367,152,38,20,3245,2577,1397,347,150,36,12,4516,90,26,15,5,0,0,133,20,13,0,0,0,0,34,..,..,..,..,..,..,..,15,0,0,0,0,0,25,2703,1440,371,152,36,14,4711,277,87,13,5,6,0,394,0,3,0,0,0,0,4,4,6,0,8,0,0,26,289,98,16,10,6,3,423,5,9,0,0,0,0,14,12347,15585,7850,7403,2984,1233,47405,7857,12816,7254,7247,2923,1197,39298,3674,2002,638,308,96,26,6747,588,682,303,169,36,9,1800,4269,2687,943,476,133,44,8546,697,298,67,40,12,0,1124,92,40,8,3,0,0,140,45,19,4,0,0,0,68,..,..,..,..,..,..,..,7,0,0,0,0,0,7,841,361,82,43,12,0,1343,297,76,15,4,0,0,392,0,0,0,0,0,0,0,7,14,10,9
LGA22250,1117,1570,448,401,243,112,3892,46,5,0,0,0,0,61,7,0,0,0,0,0,8,53,13,0,4,0,0,62,119,12,0,0,0,0,138,4,0,0,0,0,0,7,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,127,17,0,0,0,0,143,30,12,0,0,0,0,39,0,0,0,0,0,0,0,6,4,0,3,0,0,18,33,9,0,4,0,3,53,0,0,0,0,0,0,0,1325,1610,452,405,249,116,4159,1246,1619,450,391,237,106,4045,4,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,7,96,14,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,96,14,0,0,0,0,118,17,12,0,0,0,0,31,0,0,0,0,0,0,0,5,4,0,0
LGA22310,5144,8024,4951,6633,2619,843,28205,2212,2060,935,626,152,46,6025,522,807,519,422,116,46,2438,2735,2865,1456,1049,270,97,8464,5147,3931,1384,683,143,61,11362,442,481,139,45,4,0,1119,278,118,28,7,0,3,441,..,..,..,..,..,..,..,15,6,5,0,0,0,23,5888,4539,1558,733,149,67,12941,0,0,0,0,0,0,0,4,0,0,0,0,0,4,83,87,46,27,0,4,250,92,87,46,27,0,4,255,16,8,6,0,0,0,31,13866,15527,8013,8443,3043,1004,49897,4422,7326,4740,6529,2591,841,26458,2778,2595,1282,909,199,75,7839,887,1519,990,1005,320,107,4824,3663,4108,2276,1913,525,179,12661,4164,3215,1253,719,146,62,9557,869,976,289,78,15,9,2239,436,450,85,35,5,0,1010,..,..,..,..,..,..,..,15,3,4,0,0,0,22,5482,4641,1637,831,164,73,12825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,55,25,22
LGA22410,1880,2696,996,983,375,134,7068,141,64,16,20,6,5,250,10,10,0,0,0,0,25,149,74,12,20,6,5,271,227,57,20,3,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,8,0,0,0,0,0,8,232,57,20,3,0,0,313,24,7,0,0,0,0,38,3,0,0,0,0,0,14,4,0,0,0,0,0,13,36,12,0,0,0,0,57,0,0,0,0,0,0,8,2300,2843,1029,1017,384,144,7711,2021,2780,904,877,361,133,7069,130,47,0,0,0,0,183,10,5,0,0,0,0,20,141,58,3,3,0,0,205,200,36,8,4,3,0,253,4,0,0,0,0,0,4,9,0,0,0,0,0,9,..,..,..,..,..,..,..,0,0,0,0,0,0,4,207,43,14,4,3,0,264,24,7,0,0,0,0,38,0,0,0,0,0,0,3,14,6,5,3
LGA22490,1037,2206,944,1175,593,261,6221,6,9,0,3,0,0,16,0,0,0,0,0,0,0,6,9,0,3,0,0,16,10,8,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,10,8,0,0,0,0,26,11,5,0,0,0,0,16,3,0,4,5,0,4,15,5,3,0,0,0,0,9,21,9,4,0,5,4,37,0,0,0,0,0,0,3,1077,2227,948,1187,597,262,6298,1210,2456,1058,1426,662,283,7089,10,0,3,0,0,0,15,0,0,0,0,0,0,0,10,0,3,0,0,0,15,10,14,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,10,14,0,0,0,0,23,9,3,0,0,5,0,15,3,0,0,7,0,0,5,0,0,3,0
LGA22620,7953,12415,5509,5013,2336,1025,34254,718,384,115,33,8,0,1258,57,66,40,20,9,0,192,774,452,156,51,23,3,1450,1366,610,146,42,13,9,2178,3,0,0,0,0,0,4,0,0,0,0,0,0,0,..,..,..,..,..,..,..,11,6,3,0,0,0,23,1382,613,147,42,13,9,2205,159,45,3,5,0,0,216,5,4,0,0,3,0,12,28,20,11,11,3,0,77,196,73,15,15,3,0,305,4,0,0,3,0,0,11,10307,13558,5821,5121,2382,1037,38218,9099,13406,5821,5323,2483,1042,37175,1743,767,199,89,9,8,2818,155,142,61,27,3,0,391,1898,912,263,114,19,9,3216,291,130,42,25,3,3,486,32,9,0,0,0,0,56,15,0,0,0,0,0,15,..,..,..,..,..,..,..,0,0,0,0,0,0,0,343,139,45,23,0,3,561,131,28,0,0,5,0,168,4,0,0,0,0,0,11,16,34,0,5
LGA22670,5085,8671,5955,5802,3206,2605,31335,863,901,514,415,145,89,2924,176,281,192,156,80,43,921,1039,1179,701,570,218,130,3843,3105,2536,1468,926,369,179,8580,170,89,57,25,8,0,351,281,172,97,58,29,11,648,..,..,..,..,..,..,..,42,16,21,10,0,0,88,3594,2815,1649,1015,407,192,9666,422,128,15,3,5,0,574,0,0,0,0,0,0,3,16,16,8,9,5,0,52,438,143,26,16,5,0,630,6,9,7,0,0,0,21,10168,12821,8330,7404,3842,2924,45491,5671,9155,6690,6621,3456,3146,34735,1916,1588,1048,764,317,199,5840,368,677,504,370,192,143,2257,2281,2266,1553,1140,504,344,8097,1675,1288,768,472,164,79,4446,174,151,72,29,10,0,440,123,109,49,20,6,4,313,..,..,..,..,..,..,..,4,0,0,3,0,0,19,1967,1551,892,531,186,82,5208,167,22,0,0,0,3,196,3,0,0,0,0,0,10,46,41,33,24
LGA22750,15059,24492,11348,11289,4743,1829,68754,1992,913,197,79,22,11,3205,282,371,121,64,22,4,869,2267,1282,313,147,48,19,4079,4309,2024,394,150,34,3,6918,56,39,5,0,0,0,99,35,31,5,0,0,0,81,..,..,..,..,..,..,..,32,16,4,4,0,0,59,4430,2112,408,152,37,3,7154,283,126,15,5,3,0,429,0,4,0,0,0,0,10,19,31,22,11,0,0,89,305,162,33,17,5,5,530,4,9,3,0,0,0,20,22068,28056,12116,11604,4828,1856,80523,17223,25921,12024,12066,5059,1933,74210,4438,2317,617,267,78,44,7761,630,676,242,134,33,13,1732,5067,2992,861,409,110,55,9493,1315,578,171,70,12,3,2150,70,37,4,0,0,0,111,112,57,10,0,3,4,190,..,..,..,..,..,..,..,6,4,0,0,0,0,8,1504,671,194,71,11,7,2455,235,67,8,7,4,0,312,0,0,0,0,0,0,3,65,53,25,63
LGA22830,3949,6627,3025,3059,1441,802,18887,347,204,55,33,11,3,659,18,29,10,9,0,0,66,366,234,63,41,14,10,728,1147,422,133,48,13,10,1779,8,0,0,0,0,0,8,3,0,0,0,0,0,0,..,..,..,..,..,..,..,7,0,0,0,0,0,7,1157,430,133,48,13,10,1790,219,103,13,4,3,5,349,0,0,0,0,0,0,3,12,7,9,0,9,0,31,237,110,26,10,12,3,388,8,10,3,0,0,0,22,5708,7395,3245,3162,1475,822,21809,4603,6914,3074,3057,1487,772,19900,1172,570,184,88,29,22,2063,32,34,16,5,0,3,91,1208,602,197,96,31,28,2158,95,21,14,6,4,0,142,17,6,0,0,0,0,24,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,115,24,14,6,4,0,169,173,69,5,3,0,0,251,8,0,0,0,0,0,9,15,13,6,7
