LGA_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
LGA33800,14,13,229,0,0,0,0,5,14,9,10,0,0,0,4,41,0,0,3,4,7,24,70,32,23,10,3,8,187,0,0,0,0,0,3,9,9,3,6,8,0,32,0,0,0,14,14,44,51,14,4,5,0,11,164,0,0,5,18,21,24,15,0,0,0,0,12,97,0,0,0,0,3,8,4,0,0,0,0,3,25,0,0,0,0,0,0,10,5,0,4,0,0,16,14,8,12,96,195,161,60,12,0,3,3,47,612,4,0,0,3,9,11,0,0,0,0,0,76,103,17,12,20,137,257,299,291,132,67,48,35,167,1494,4,0,0,6,0,10,49,54,41,34,17,21,232,0,0,0,0,3,8,12,3,3,0,6,3,34,0,0,3,0,4,32,122,85,46,45,25,37,405,0,0,0,0,0,5,12,11,0,0,6,5,36,0,0,0,5,7,35,52,14,9,3,4,11,147,0,0
LGA33830,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,4,15,3,0,3,0,0,47,0,0,0,0,0,3,7,4,0,0,0,8,17,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,3,0,0,0,3,19,0,0
LGA33960,216,88,4127,4,3,3,21,35,162,188,53,35,17,14,19,549,0,0,4,21,21,235,944,464,247,137,70,35,2181,0,0,0,8,5,30,128,78,60,22,15,14,357,0,4,11,60,132,584,658,225,53,62,43,39,1885,5,7,36,148,145,335,183,42,12,8,3,28,958,0,3,3,7,23,52,48,15,6,10,0,12,186,0,0,0,4,3,7,31,16,23,22,9,14,129,148,63,94,644,1574,1162,499,77,33,19,15,201,4529,0,0,4,12,25,20,15,4,0,0,4,881,965,170,89,156,927,1982,2671,3690,2251,1254,977,389,1325,15876,3,4,6,8,6,66,774,1244,1021,1234,626,389,5373,3,3,0,14,22,105,256,108,68,58,24,40,699,0,0,5,9,28,296,1781,1255,943,704,405,323,5756,0,0,0,6,5,67,255,233,189,180,62,71,1072,4,0,9,58,127,1080,2065,714,250,255,129,238,4929,4,4
LGA33980,146,15,585,0,0,0,4,4,10,7,8,7,0,6,0,48,0,3,0,0,3,11,65,42,51,23,34,8,244,0,0,0,0,0,5,4,4,6,10,9,0,37,3,3,0,4,8,35,76,67,11,29,17,11,259,0,0,10,9,0,21,8,10,0,4,6,8,65,0,0,0,0,0,0,6,9,0,8,0,0,33,0,0,0,0,0,6,6,4,0,8,0,0,20,9,6,7,29,53,29,21,3,5,0,0,22,195,0,0,0,0,4,0,0,0,0,0,0,135,139,21,17,15,56,86,137,264,231,171,214,219,196,1619,11,0,0,6,0,12,40,48,68,118,139,48,493,0,0,0,0,0,3,9,5,11,12,14,8,64,0,0,0,4,0,16,106,104,158,72,184,49,694,0,0,0,0,0,0,8,25,25,24,45,7,144,0,0,0,0,3,50,155,219,30,122,61,36,689,0,0
LGA34420,0,0,13,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,6,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,22,7,6,0,3,0,0,60,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,14,0,0
LGA34530,70,10,747,0,0,0,9,11,42,37,16,11,3,11,6,152,0,0,3,3,4,55,180,96,62,42,42,10,504,0,0,0,0,0,5,25,22,6,15,10,4,92,3,0,6,11,17,92,128,81,16,26,13,10,410,0,0,9,39,41,88,52,13,4,0,3,9,269,0,0,0,3,3,15,17,0,3,0,0,9,57,0,0,0,0,0,0,4,9,7,5,4,4,36,50,28,35,227,490,382,183,43,17,15,20,75,1573,0,0,0,3,10,7,4,0,0,0,0,391,415,66,39,58,314,598,718,775,446,270,264,175,530,4255,0,0,0,0,0,12,104,130,152,233,137,90,854,0,0,0,5,8,14,36,12,8,14,18,9,123,5,0,0,3,6,55,277,200,169,148,106,73,1042,0,0,0,0,0,6,38,34,25,38,19,13,166,0,0,3,4,10,79,210,127,40,54,37,50,616,0,0
LGA34570,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,9,19,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,6,0,0,0,4,0,8,0,0,0,0,0,0,8,0,0
LGA34580,38,17,778,0,0,0,12,15,49,49,12,5,4,6,0,158,0,0,0,10,22,91,247,110,64,29,18,9,596,0,0,3,0,5,6,32,13,17,9,3,4,92,3,0,0,16,38,151,144,49,20,14,4,14,458,0,5,7,28,62,109,49,4,7,6,0,0,285,0,0,6,9,5,12,18,0,4,0,0,0,54,0,0,0,0,0,5,8,6,3,3,0,3,37,43,19,40,211,565,328,123,18,10,0,12,83,1448,0,0,0,9,15,10,4,0,0,0,0,269,303,45,39,59,315,719,814,909,404,256,154,87,399,4210,0,0,0,5,3,18,160,171,154,163,80,67,813,0,0,0,0,0,29,49,18,12,10,3,13,137,0,0,0,9,8,69,324,216,162,103,51,81,1019,0,0,0,0,3,13,45,33,26,18,5,21,167,0,0,4,10,17,172,296,118,44,33,21,51,758,5,3
LGA34590,322,121,6074,0,9,3,50,73,292,308,98,43,35,15,22,938,4,4,3,25,35,399,1584,770,400,239,126,65,3642,0,0,0,10,3,58,185,137,61,38,14,29,540,4,3,15,76,173,999,1085,336,104,104,38,94,3038,8,15,62,257,250,537,286,62,20,10,12,35,1562,8,0,4,26,31,79,84,22,7,10,4,15,297,0,0,0,0,7,17,36,45,21,7,12,24,172,370,119,191,1265,2870,1851,785,157,40,32,41,360,8083,7,0,0,11,31,39,21,6,0,4,4,1256,1374,411,154,288,1726,3508,4419,5901,3543,1790,1371,584,2024,25722,8,5,0,11,19,117,1398,1879,1598,1816,997,656,8504,0,7,4,30,42,222,441,212,97,92,35,82,1263,6,0,6,24,36,462,2774,1950,1454,1056,571,540,8891,3,0,0,14,6,88,385,316,251,270,104,119,1571,18,0,16,91,241,1679,3022,1115,465,421,281,462,7805,11,8
LGA34710,12,5,148,0,0,0,0,4,0,3,0,0,0,0,0,16,0,0,0,0,4,9,25,6,0,0,0,0,46,0,0,0,0,0,0,7,8,5,0,0,0,11,0,0,0,0,4,7,8,7,0,0,0,0,32,0,0,0,11,4,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,11,4,3,0,13,20,9,7,3,0,0,0,8,69,0,0,0,0,3,0,0,0,0,0,0,41,44,12,4,3,28,40,47,88,59,26,30,8,54,398,0,0,0,0,3,9,21,14,20,30,12,26,123,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,7,32,13,11,4,5,0,71,0,0,0,0,0,0,9,8,5,0,6,0,22,0,0,0,0,7,12,22,9,9,0,0,3,54,0,0
LGA34770,278,70,2802,5,4,0,16,22,97,99,37,24,10,12,4,332,0,0,0,15,16,183,605,346,239,155,157,48,1768,0,0,0,0,3,29,53,60,29,57,33,12,284,11,9,6,52,66,306,436,236,67,104,64,57,1412,3,10,25,106,105,224,135,42,24,11,16,25,728,0,0,8,6,18,25,30,32,11,8,10,16,153,5,0,0,0,3,8,27,14,13,20,7,26,113,116,71,84,524,941,806,369,95,30,45,35,206,3314,3,4,0,10,22,18,12,8,0,0,0,1246,1318,151,102,122,757,1209,1761,2310,1488,991,1023,605,1701,12225,7,0,3,0,11,42,277,396,450,640,492,224,2557,0,0,0,7,6,45,114,55,37,31,24,36,349,5,0,6,8,14,163,866,719,693,505,478,236,3690,0,0,0,0,4,20,118,112,90,96,75,43,558,9,0,3,18,37,379,840,543,179,266,148,180,2604,0,0
LGA34800,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,4,11,16,6,3,10,3,13,73,0,0,0,0,4,0,12,0,0,3,3,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0
LGA34830,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0
LGA34860,42,15,450,0,0,0,4,12,14,17,8,0,9,0,5,64,0,0,4,10,10,19,81,33,17,13,12,8,205,0,0,0,0,0,0,10,4,17,5,5,0,42,0,0,3,11,5,34,32,10,6,5,4,7,124,0,0,0,11,12,7,9,6,0,0,0,0,43,0,0,0,6,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,6,4,0,8,0,0,15,15,4,4,42,75,57,13,7,3,0,0,17,243,0,0,0,0,4,4,0,0,0,0,0,94,107,43,8,12,86,128,167,282,167,99,101,69,147,1316,5,0,3,4,6,24,70,67,64,63,49,74,430,0,0,0,0,0,3,17,7,6,3,6,3,42,0,0,0,3,6,36,95,72,55,39,22,43,383,0,0,0,0,0,4,12,19,8,12,4,7,66,0,0,0,0,10,41,75,25,8,12,11,12,202,0,0
LGA34880,29,18,427,0,0,0,11,11,30,27,10,4,6,0,4,109,0,4,0,6,10,55,93,50,26,20,6,10,274,0,0,0,3,6,13,19,10,3,9,5,0,59,0,0,0,10,17,69,59,19,0,7,0,12,193,0,0,0,26,25,55,28,6,0,0,3,4,146,0,0,0,4,4,12,6,5,0,0,3,0,40,0,0,0,0,0,3,3,0,0,0,0,3,20,28,24,27,154,301,201,80,18,3,5,5,46,877,0,0,0,3,6,8,3,5,0,0,0,169,191,40,27,35,224,377,475,441,211,94,101,55,265,2338,4,0,3,5,8,18,97,88,86,78,37,52,466,0,0,0,5,5,30,29,11,8,7,0,8,104,0,0,0,5,9,49,183,87,59,40,21,52,507,0,0,0,0,0,4,20,26,21,7,5,11,86,0,0,0,4,18,66,101,31,13,5,4,19,254,3,0
LGA35010,680,149,8717,4,10,9,66,97,448,487,162,91,56,45,25,1493,6,4,14,43,76,603,2155,1086,709,446,270,70,5474,0,0,5,10,16,99,251,199,122,105,41,37,875,6,7,12,109,215,1256,1592,653,179,234,140,105,4510,15,19,76,379,414,937,568,140,46,39,47,62,2748,0,12,10,40,41,123,138,64,16,21,9,28,505,3,3,0,7,13,26,66,40,41,39,14,25,283,435,258,300,2189,5273,4285,2079,362,162,115,124,631,16218,11,3,0,27,69,44,35,13,6,0,3,2210,2422,492,322,439,2893,6249,8052,9279,5218,3017,2571,1377,3349,43251,15,3,9,15,21,135,1495,2220,2090,2937,1928,829,11698,0,8,8,18,36,233,541,261,196,144,102,122,1661,11,4,12,41,47,676,3972,3159,2541,2094,1531,802,14893,0,0,0,10,11,103,511,482,430,403,217,159,2324,9,3,13,82,189,1691,3886,1696,629,770,546,573,10099,8,4
LGA35250,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,7,3,5,11,4,0,4,0,54,0,0,0,3,0,0,0,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,5,0,0,0,0,5,21,0,0
LGA35300,140,10,684,0,0,0,0,0,0,11,12,3,0,0,0,34,0,0,0,0,0,5,44,36,51,34,16,4,206,0,0,0,0,0,0,15,6,8,18,4,3,54,0,0,0,3,4,31,51,46,11,21,10,15,198,0,0,0,5,5,14,13,3,3,4,0,0,54,0,0,0,0,0,6,5,7,0,4,0,0,21,0,0,0,0,0,0,3,0,4,5,0,3,19,15,10,5,30,49,44,15,3,3,0,3,14,189,0,0,0,0,0,0,0,3,0,0,0,95,100,20,10,7,47,62,112,230,226,212,302,180,141,1558,0,0,0,0,0,4,23,61,92,189,184,41,589,0,0,0,0,0,7,10,4,6,4,0,5,34,0,0,0,0,0,9,73,69,143,102,85,38,523,0,0,0,0,0,0,12,20,16,35,20,7,109,0,0,0,6,10,37,111,130,26,54,39,33,435,0,0
LGA35600,7,0,146,0,0,0,0,0,4,4,6,3,0,0,0,20,0,0,0,0,0,16,36,19,8,0,0,0,85,0,0,0,0,0,0,3,4,0,0,0,0,12,0,0,0,0,3,13,12,7,0,4,0,6,43,0,3,0,6,4,8,3,0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,10,5,0,0,18,31,21,5,3,0,0,0,12,100,0,0,0,0,0,0,0,0,0,0,0,46,42,11,7,0,29,49,73,99,75,30,36,13,68,488,4,3,0,0,3,14,20,25,23,21,16,6,127,0,0,0,0,0,4,5,5,3,0,0,0,19,0,0,0,0,7,10,38,18,8,11,7,10,100,0,0,0,3,0,0,3,9,0,0,0,0,20,0,0,0,0,0,16,21,6,0,0,0,9,58,0,0
LGA35670,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,4,0,4,0,4,0,0,33,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,5,3,0,0,3,0,24,0,0
LGA35740,78,13,873,0,3,0,20,32,111,139,39,19,23,35,15,425,0,0,0,16,10,105,315,148,73,55,50,17,794,0,0,0,6,5,12,40,15,11,10,11,5,119,0,0,0,22,30,137,150,53,33,42,36,7,512,0,14,22,88,87,166,111,40,21,28,29,18,625,0,0,0,4,5,23,15,12,0,4,4,3,80,0,0,0,0,0,7,12,11,3,4,3,5,50,84,49,57,370,820,816,558,140,89,70,107,115,3274,0,0,0,9,5,6,5,0,0,0,0,484,509,93,62,87,541,1009,1436,1588,657,391,341,352,675,7241,0,0,0,8,16,39,156,168,156,189,98,90,922,3,0,5,9,13,72,115,46,17,24,24,37,349,0,0,0,7,9,122,468,300,208,170,153,110,1554,0,0,0,0,0,10,45,26,23,19,20,19,170,0,0,0,16,20,158,263,87,47,75,43,60,769,0,0
LGA35760,16,19,289,0,0,0,0,5,22,14,5,0,0,0,5,51,5,0,3,8,8,46,71,24,17,6,6,6,197,0,0,0,0,4,6,12,7,7,0,0,3,36,5,0,3,3,16,24,21,14,0,4,5,8,102,0,3,4,20,18,22,9,0,0,0,0,0,81,0,0,0,3,0,6,5,0,0,0,0,0,10,0,0,0,4,0,4,3,0,0,0,0,3,15,14,12,9,75,175,81,30,7,5,0,4,36,447,0,0,0,3,0,7,0,0,0,0,0,75,90,38,19,19,134,239,240,257,99,50,38,37,149,1314,7,0,3,8,4,21,60,44,20,22,11,38,251,0,0,0,3,4,7,6,4,0,4,0,5,34,0,0,6,6,9,29,95,29,22,15,12,23,248,0,0,0,0,3,10,9,3,6,3,0,0,37,0,0,0,3,11,39,36,18,10,0,3,8,132,0,0
LGA35780,4,0,28,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,13,7,14,17,11,7,10,5,8,91,0,0,0,0,0,3,17,12,5,8,4,8,57,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,12,4,3,3,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,4,8,20,20,4,4,0,0,4,63,0,0
LGA35790,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,17,14,7,4,0,0,4,63,0,0,0,0,0,0,8,6,3,3,0,0,20,0,0,0,0,0,4,5,4,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,7,12,0,0,0,0,4,21,0,0
LGA35800,6,7,61,0,0,0,0,0,5,8,0,0,0,0,0,11,0,0,0,0,6,7,8,5,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,10,0,0,0,0,0,13,0,0,0,3,5,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,21,6,7,0,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,10,8,6,3,3,13,34,26,45,20,9,9,3,16,186,0,0,0,0,3,0,9,7,0,5,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,3,5,0,4,26,0,0,0,0,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0
