LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA35300,26,17,7,6,58,36,25,3,13,77,83,40,25,17,160,58,26,12,6,109,56,24,7,3,92,22,8,8,0,37,23,7,4,0,38,16,10,0,0,28,33,11,13,8,67,14,6,6,0,26,475,230,118,76,897
LGA35600,10,0,0,3,12,13,0,0,0,19,24,16,0,3,38,11,3,4,3,20,5,0,0,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,7,6,0,15,3,0,0,0,4,92,37,11,12,154
LGA35670,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,11,6,8,0,0,10,21,18,9,3,58
LGA35740,104,58,22,3,186,167,56,21,8,249,338,135,35,10,523,209,87,20,4,314,114,57,10,0,180,41,19,6,0,67,26,20,11,3,61,33,14,7,0,61,87,83,26,7,199,23,9,0,0,29,1344,630,185,41,2196
LGA35760,19,12,4,5,44,28,16,3,5,58,51,21,3,6,79,8,12,0,0,28,3,3,0,0,7,0,0,0,0,0,3,6,0,0,7,3,0,0,0,6,10,9,0,0,17,3,4,0,0,7,197,102,23,25,349
LGA35780,4,6,3,5,21,8,3,8,0,20,19,9,8,8,35,6,4,0,0,13,6,0,0,0,9,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,8,3,4,4,25,4,6,4,0,9,102,46,31,37,217
LGA35790,5,6,0,9,25,15,6,3,4,23,3,5,6,5,23,4,4,0,9,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,0,0,9,0,0,0,0,3,86,46,28,31,187
LGA35800,3,4,3,4,12,9,0,0,0,6,7,0,5,0,15,3,0,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,7,4,0,0,0,4,53,21,5,11,91
LGA36070,0,4,0,0,11,4,0,0,0,3,3,4,0,0,9,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,3,0,6,18,18,4,0,39
LGA36150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,7,0,0,0,14
LGA36250,286,157,63,28,533,450,184,67,30,720,960,453,150,54,1609,575,331,82,30,1012,437,268,60,17,779,192,119,23,9,344,137,141,29,11,315,76,73,25,7,176,242,168,60,32,504,67,37,7,5,114,3984,2183,654,252,7072
LGA36300,0,0,0,0,4,4,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,0,18
LGA36370,183,108,73,34,398,309,113,71,48,536,551,256,97,53,951,302,145,56,31,535,216,120,39,12,382,105,54,11,7,182,75,40,6,5,123,29,22,10,6,65,123,76,61,33,294,43,22,15,8,85,2346,1196,542,283,4360
LGA36510,99,58,21,0,182,134,58,27,14,233,246,92,51,23,409,124,59,14,10,202,82,45,17,4,143,36,19,3,0,61,36,8,3,3,48,21,7,3,0,33,52,45,15,6,116,17,11,3,0,32,1033,490,208,64,1797
LGA36580,51,42,14,11,124,109,40,17,10,183,148,57,23,10,238,57,39,11,8,118,42,11,4,4,58,10,3,4,0,23,9,9,4,0,23,8,9,0,0,18,33,27,15,7,86,12,3,3,0,19,629,301,130,67,1128
LGA36630,84,48,27,18,175,142,41,23,18,223,204,70,28,26,324,89,49,21,4,167,52,20,3,11,91,14,9,0,0,25,8,3,4,0,13,12,0,0,0,11,48,25,20,16,111,21,14,0,0,36,854,351,154,114,1478
LGA36660,98,53,19,5,177,161,55,37,13,265,186,80,31,29,319,106,45,17,9,175,44,20,17,4,84,19,12,3,0,29,14,9,6,0,27,3,9,0,0,18,50,34,14,14,110,25,9,5,0,38,907,415,176,94,1590
LGA36720,679,431,132,35,1278,1040,449,155,46,1686,2157,1014,269,90,3524,1218,668,176,41,2107,773,439,130,30,1370,294,175,45,13,526,207,158,47,9,417,145,108,30,6,289,477,360,150,43,1034,117,44,23,0,180,8411,4453,1374,370,14604
LGA36820,53,36,15,7,104,100,32,22,13,164,145,66,21,5,235,65,43,11,5,118,41,26,3,0,71,8,7,0,0,30,12,3,0,0,22,12,5,7,0,20,48,31,18,3,97,19,8,0,4,35,625,322,124,61,1136
LGA36910,340,220,101,52,715,532,238,96,71,941,1011,466,203,91,1773,564,325,105,56,1050,365,224,57,34,681,153,68,26,13,258,81,62,27,4,178,73,44,14,7,132,197,141,78,46,456,83,31,12,6,138,4120,2195,896,444,7640
