LGA_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
LGA20260,0,0,0,0,0,0,17,0,3,0,0,14,218,50,17,5,7,295,892,300,252,93,35,1570,375,161,191,118,68,918,23,4,4,4,0,33,1526,517,472,215,108,2833,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,9,3,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,11,8,3,0,0,18,0,0,0,0,0,0,0,5,0,0,0,7,25,0,0,0,0,26,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,32,8,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,9,6,3,0,0,16,0,0,0,0,0,0,1571,538,479,219,105,2915,0,3,0,0,0,3,14,4,0,0,0,19,209,30,12,6,0,261,846,280
LGA20570,6,0,0,0,0,10,59,4,3,0,0,77,1224,289,90,29,4,1641,6457,2936,2378,764,216,12755,2094,1392,2021,1340,601,7440,101,31,36,12,8,188,9951,4656,4532,2142,832,22106,0,0,0,0,0,0,23,3,0,0,0,30,269,47,19,0,0,333,178,66,53,13,0,306,13,6,14,9,0,50,14,0,4,0,3,15,496,126,82,22,7,738,0,0,0,0,0,0,69,10,0,0,0,78,457,56,22,0,0,528,82,39,16,14,0,144,3,3,0,5,0,11,8,11,0,0,0,21,618,111,43,15,4,782,0,0,0,0,0,0,21,0,0,0,0,21,12,4,3,0,0,18,7,6,0,0,0,8,0,5,3,0,0,8,0,0,0,0,0,0,36,13,5,3,0,61,4,0,0,0,0,4,11104,4911,4661,2186,838,23692,6,4,0,0,0,8,45,7,3,3,0,61,1167,254,107,21,4,1558,6237,2674
LGA20660,10,3,4,0,3,26,71,9,4,7,4,95,1518,442,241,34,8,2237,6553,3570,3749,799,184,14859,2509,1965,3027,1816,692,10007,132,42,23,19,5,215,10782,6031,7052,2675,895,27445,0,0,0,0,0,0,28,5,0,0,0,39,646,191,52,10,0,907,605,387,235,39,41,1311,38,24,33,19,11,126,17,3,3,0,4,27,1334,618,328,71,60,2408,0,0,0,0,0,0,81,11,0,0,0,93,737,234,76,13,13,1071,257,143,103,18,6,524,17,14,8,3,7,57,17,3,4,3,3,32,1110,405,191,39,28,1770,0,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,0,10,4,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,20,7,9,0,0,33,3,0,0,0,0,5,13246,7066,7571,2789,985,31656,7,4,0,0,0,15,50,4,11,5,0,73,1279,429,190,42,8,1955,6281,3452
LGA20740,0,4,0,0,0,7,44,7,0,0,0,53,641,112,62,9,8,830,2396,805,648,198,49,4084,870,378,554,345,146,2287,50,8,7,8,0,73,4003,1308,1259,559,198,7338,0,0,0,0,0,0,8,3,0,0,0,5,80,9,3,0,0,94,40,14,17,0,0,76,8,3,9,0,3,23,0,0,0,0,0,8,145,30,21,7,3,204,0,0,0,0,0,0,18,0,0,0,0,18,57,16,0,0,0,78,36,10,0,0,0,52,5,0,0,0,0,8,6,0,0,0,0,6,118,35,8,0,0,158,4,0,0,0,0,4,8,0,0,0,0,8,6,0,4,4,0,10,0,0,3,0,0,10,5,0,0,0,0,9,0,0,0,0,0,0,23,4,12,5,0,39,6,0,0,0,0,10,4294,1380,1296,566,203,7741,4,0,0,0,0,4,47,0,0,0,0,53,639,119,58,16,0,827,2589,832
LGA20830,3,4,0,0,0,9,46,0,3,0,0,59,575,129,59,17,4,777,3012,1141,1118,334,99,5704,1376,744,1019,762,392,4294,54,18,11,3,5,91,5076,2027,2210,1121,501,10937,0,0,0,0,0,0,6,0,0,0,0,6,215,15,5,0,0,238,96,22,34,10,0,161,28,19,21,14,3,83,3,0,0,0,0,7,343,58,57,25,4,489,0,0,0,0,0,0,14,0,0,0,0,14,90,15,0,0,0,110,26,8,0,0,0,37,0,0,0,0,0,4,3,0,0,0,0,5,133,25,0,4,0,163,5,0,0,0,0,5,10,0,0,0,0,12,11,5,0,0,0,25,5,5,3,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,31,9,7,0,0,51,0,0,0,0,0,5,5585,2124,2279,1153,510,11649,3,0,0,0,0,3,42,9,0,0,0,54,540,106,50,17,3,713,3164,1214
LGA20910,4,0,0,0,0,10,39,4,0,0,0,45,1160,319,141,21,4,1644,3474,1784,2365,436,62,8115,1814,1473,3104,1916,468,8777,56,18,6,12,3,97,6552,3602,5619,2376,537,18683,0,0,0,0,0,0,36,0,0,0,0,42,787,180,47,3,0,1024,1047,465,390,57,9,1963,120,115,167,78,25,501,13,3,6,0,0,20,2010,767,599,133,38,3552,6,4,0,0,0,11,94,5,0,0,0,100,989,215,60,5,0,1273,389,189,112,25,7,710,19,14,19,13,0,67,15,4,3,0,0,26,1520,430,195,39,3,2185,0,0,0,0,0,0,4,0,0,0,0,4,12,10,8,0,0,26,10,4,6,0,5,22,0,0,4,0,0,4,0,0,0,0,0,0,22,19,11,0,5,52,8,0,4,0,0,10,10114,4818,6435,2551,579,24490,5,0,4,0,0,9,34,5,0,0,0,38,869,270,99,14,6,1258,3153,1608
LGA21010,3,0,0,0,0,5,9,0,0,0,0,16,243,38,20,4,0,306,1164,377,301,102,39,1978,496,221,248,161,77,1212,16,8,3,0,0,29,1931,648,579,267,121,3542,0,0,0,0,0,0,3,0,0,0,0,3,41,14,0,0,0,55,9,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,55,17,8,0,0,78,0,0,0,0,0,0,3,0,0,0,0,3,43,9,6,0,0,52,7,0,4,6,0,10,0,0,0,0,0,0,6,0,0,0,0,6,56,9,5,7,0,74,4,0,0,0,0,3,3,0,0,0,0,3,12,0,6,0,0,13,3,3,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,17,5,3,0,0,28,0,0,0,0,0,0,2057,675,597,273,121,3729,8,0,0,0,0,7,15,0,0,0,0,25,248,44,24,7,4,330,1153,345
LGA21110,10,4,3,3,0,17,82,6,0,0,0,96,1656,504,261,40,6,2470,4492,2730,3471,732,114,11532,3004,2726,5294,3377,982,15381,94,22,31,21,11,178,9335,5995,9056,4174,1117,29682,0,0,0,0,0,0,77,7,0,0,0,82,1265,379,159,18,4,1820,1187,705,621,127,20,2662,156,114,180,86,41,564,19,4,6,6,0,29,2698,1200,956,232,58,5159,16,6,0,0,0,17,620,55,6,0,0,681,2392,735,260,34,11,3431,502,253,160,41,7,963,45,20,36,10,6,115,33,16,0,3,0,50,3609,1083,461,98,20,5267,0,0,0,0,0,0,17,6,0,0,0,17,28,13,7,3,0,50,18,13,9,0,0,41,4,4,4,6,0,11,0,0,0,0,0,0,59,26,19,9,3,118,8,0,3,0,0,13,15717,8307,10498,4510,1198,40237,4,3,0,0,0,7,50,11,5,3,0,67,1136,340,189,25,6,1698,3871,2271
LGA21180,21,24,20,13,11,88,53,24,13,7,4,101,966,376,211,61,28,1639,9330,6382,6055,2260,1148,25184,2795,2748,4029,2671,1852,14098,292,156,152,108,99,811,13457,9718,10482,5119,3148,41918,3,0,3,4,0,13,23,12,0,0,0,28,216,85,39,15,8,359,451,343,253,97,43,1181,53,70,86,58,38,308,18,8,17,4,3,54,759,514,396,184,87,1943,3,0,0,0,0,9,125,45,9,6,0,188,604,292,157,35,11,1106,371,332,228,112,57,1098,13,15,19,15,11,73,41,23,15,7,5,88,1163,709,430,168,88,2557,0,0,0,0,0,0,5,0,0,0,0,5,4,4,0,0,0,9,3,6,9,3,3,20,0,0,0,0,0,6,0,0,0,0,0,0,15,16,5,4,3,44,0,5,0,0,0,6,15397,10958,11309,5476,3329,46471,31,13,13,11,18,94,76,24,21,17,15,153,861,353,232,64,45,1554,8679,5885
LGA21270,0,0,0,0,0,0,13,0,0,0,0,12,117,14,0,3,4,142,541,150,143,67,39,933,208,95,102,77,45,532,9,0,0,0,0,21,891,266,251,147,85,1640,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,3,6,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,4,16,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,5,0,0,6,0,0,0,0,0,4,8,4,5,0,0,18,0,0,0,0,0,0,920,271,254,152,88,1678,0,0,0,0,0,0,12,4,0,0,0,15,101,15,7,4,0,126,511,140
LGA21370,6,4,0,0,0,6,27,9,6,0,0,38,476,106,41,7,9,635,2826,999,910,325,125,5180,1136,549,704,571,259,3219,54,22,11,4,9,92,4512,1684,1669,907,393,9172,0,0,0,0,0,0,9,0,0,0,0,9,58,16,3,0,0,79,28,9,9,7,0,52,0,3,4,0,0,15,0,0,0,0,0,0,99,31,6,6,0,152,0,0,0,0,0,0,12,0,0,0,0,12,194,35,3,0,0,234,69,14,4,0,3,92,0,0,0,0,0,5,8,0,3,0,0,11,286,52,11,0,4,361,6,0,0,0,0,6,10,0,0,0,0,13,22,0,3,0,0,26,8,3,4,0,0,15,5,0,0,3,0,15,0,0,0,0,0,0,46,0,10,3,0,68,4,0,3,0,0,9,4954,1774,1699,923,407,9753,3,0,4,0,0,14,35,4,3,3,0,53,511,102,38,16,7,683,2778,947
LGA21450,7,0,0,3,0,14,74,3,3,0,0,89,572,159,76,14,10,834,4083,2132,2007,564,181,8970,2121,1690,2544,1645,789,8784,66,25,19,15,10,138,6919,4013,4653,2247,985,18822,0,0,0,0,0,0,4,0,0,0,0,4,144,30,12,0,0,184,165,55,38,11,3,277,5,11,13,3,8,36,4,0,0,0,0,8,324,97,59,16,13,513,0,0,0,0,0,0,3,0,0,0,0,4,249,20,6,0,0,278,56,28,8,0,4,99,0,5,0,0,0,10,0,0,0,0,0,0,314,54,17,4,7,391,0,0,0,0,0,0,19,0,0,0,0,19,16,0,0,0,0,21,4,4,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,38,8,9,0,0,53,3,0,3,3,0,9,7597,4172,4743,2268,1000,19785,11,4,0,3,0,17,61,11,5,4,0,78,790,185,89,18,11,1091,4363,2461
LGA21610,21,25,20,4,15,88,70,26,10,7,6,125,1107,321,160,48,11,1650,11740,7706,7360,2146,933,29885,5908,5909,9151,5162,3446,29584,292,129,118,87,90,713,19144,14124,16808,7453,4503,62038,0,0,0,4,0,5,15,3,0,0,0,19,290,52,34,3,5,380,455,319,266,65,41,1142,160,153,295,152,89,850,17,3,4,0,5,32,941,525,596,224,136,2426,0,0,0,0,0,0,29,7,0,0,0,37,586,146,80,9,8,823,294,169,106,27,10,606,13,4,6,5,3,38,23,8,0,0,0,34,940,332,196,47,24,1535,0,0,0,0,0,0,10,0,0,0,0,6,7,9,0,0,0,16,5,0,9,4,0,16,0,0,0,0,0,5,0,0,0,0,0,0,17,9,8,8,6,45,7,0,0,0,0,9,21055,14992,17616,7731,4668,66051,30,17,17,12,15,87,76,25,23,10,3,138,1215,375,220,54,30,1898,11531,7676
LGA21670,3,0,0,0,0,7,26,0,0,3,0,32,282,63,24,12,3,382,1080,354,307,108,44,1901,292,150,193,129,71,839,23,8,4,5,0,42,1711,581,531,254,116,3195,0,0,0,0,0,0,5,0,0,0,0,10,20,3,0,0,0,29,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0,51,0,0,0,0,0,0,5,0,0,0,0,5,37,4,0,0,0,44,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,50,3,6,0,0,58,0,0,0,0,0,7,10,0,0,0,0,10,7,0,0,0,0,12,3,3,0,0,0,5,0,0,4,0,0,9,3,0,0,0,0,0,27,8,4,5,0,37,0,0,0,0,0,0,1829,602,534,256,118,3345,3,0,0,0,0,0,18,3,0,0,0,22,300,55,24,4,0,387,1113,385
LGA21750,6,0,3,0,0,11,36,7,0,0,0,44,329,63,29,13,0,434,1562,581,549,213,59,2960,530,289,311,257,150,1535,28,6,8,7,0,46,2494,952,899,481,214,5034,0,0,0,0,0,0,4,0,0,0,0,4,40,4,0,0,0,45,44,11,3,0,0,62,9,7,8,3,0,27,0,0,0,0,0,0,97,28,11,3,3,141,0,0,0,0,0,0,3,4,0,0,0,10,33,5,3,0,0,36,13,0,4,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,51,15,5,0,0,70,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,4,3,3,0,0,0,7,5,0,4,0,0,7,0,0,0,0,0,0,13,3,0,0,0,25,3,0,0,0,0,3,2653,992,921,488,216,5273,3,0,0,0,0,3,25,6,0,0,0,28,323,64,40,14,0,434,1584,536
LGA21830,6,0,0,0,0,4,19,3,0,0,0,21,238,68,15,3,4,330,1300,394,440,174,67,2369,511,233,311,278,149,1481,23,0,4,8,4,41,2093,700,772,458,215,4243,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,3,0,11,0,3,0,0,0,7,6,0,0,0,0,6,14,5,0,3,0,25,0,0,0,0,0,0,4,0,0,0,0,3,17,0,0,0,0,19,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,20,5,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,7,0,4,0,0,0,3,0,0,0,0,0,0,8,9,4,0,0,20,3,0,0,0,0,9,2144,724,783,463,219,4321,3,0,0,0,0,8,22,5,0,0,0,23,251,50,27,7,0,332,1223,389
LGA21890,16,8,10,4,4,38,93,25,10,9,0,128,2562,995,580,115,30,4283,5597,3563,3777,1025,363,14328,1202,1078,1888,1281,620,6069,213,67,37,24,19,370,9685,5736,6309,2456,1034,25220,4,0,0,0,0,7,109,16,3,0,0,128,1245,378,155,36,5,1821,659,521,345,117,60,1702,45,36,64,38,16,195,26,6,7,3,0,42,2092,962,571,193,84,3896,22,8,0,0,0,35,676,73,17,4,3,778,1693,627,246,57,24,2641,233,180,150,56,22,635,14,9,21,6,3,42,31,22,15,3,4,68,2668,920,445,126,53,4206,0,0,0,0,0,0,10,0,0,0,0,18,51,15,13,6,0,81,15,19,16,7,4,61,7,4,8,3,0,21,0,0,3,0,0,5,85,33,38,16,5,183,5,6,5,0,0,12,14528,7650,7367,2794,1177,33515,13,0,5,0,7,18,102,21,12,0,5,137,2098,834,543,83,26,3585,5023,3241
LGA22110,11,3,5,0,0,13,85,6,3,3,0,102,903,170,58,26,3,1163,3613,1117,953,295,91,6072,1300,574,699,478,239,3291,67,21,14,5,12,119,5981,1892,1728,805,348,10761,0,0,0,0,0,0,7,0,0,0,0,7,76,9,3,0,0,93,68,27,18,8,0,117,14,11,4,5,4,43,4,0,0,0,0,5,181,51,23,16,4,268,0,0,0,0,0,0,18,3,0,0,0,21,147,23,4,0,0,177,97,20,17,5,3,142,15,6,3,4,0,24,3,0,0,0,0,5,276,54,23,6,3,364,3,0,3,0,0,7,35,3,0,0,0,41,60,12,0,0,0,69,17,4,8,5,0,31,6,7,0,4,0,11,8,0,0,0,0,8,128,23,10,6,4,172,9,0,4,4,0,12,6574,2019,1794,839,357,11576,10,0,0,0,0,9,98,12,10,3,0,119,941,152,57,23,10,1188,3747,1092
LGA22170,11,4,4,0,0,16,60,5,8,0,0,81,999,243,108,25,3,1378,7814,4277,3615,907,296,16912,2860,2309,3261,1935,881,11243,129,67,47,21,17,289,11877,6914,7039,2894,1199,29917,0,3,0,0,0,3,25,0,0,0,0,25,480,96,23,5,0,605,421,225,97,19,8,765,46,28,33,12,13,133,20,0,3,0,0,22,995,351,150,38,20,1558,0,0,0,0,0,4,55,8,0,0,0,64,774,155,54,9,7,997,363,158,74,23,6,626,13,18,14,3,0,57,32,6,5,3,0,43,1242,344,145,36,14,1784,0,0,0,0,0,0,36,0,0,0,0,36,39,9,4,5,0,48,5,8,3,3,0,27,4,0,4,5,0,7,4,0,0,0,0,9,88,16,10,6,3,125,9,0,0,0,0,8,14200,7626,7357,2977,1234,33395,13,10,3,3,0,26,47,18,9,4,0,76,916,234,111,19,3,1282,7340,4218
LGA22250,0,0,0,0,0,3,19,0,0,0,0,19,180,29,12,8,0,229,913,262,208,84,35,1497,370,147,174,155,74,927,28,5,0,0,0,35,1508,447,401,243,112,2714,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,5,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,12,0,0,0,0,0,0,4,0,0,0,0,7,16,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,9,0,4,0,3,21,0,0,0,0,0,0,1555,447,405,249,116,2763,0,0,0,0,0,4,19,0,0,0,0,18,191,31,4,0,0,240,877,241
LGA22310,6,3,5,0,0,10,73,12,7,0,0,91,1577,570,255,39,11,2443,4125,2659,3242,661,146,10830,1609,1475,2999,1856,665,8597,102,23,22,15,3,166,7483,4732,6524,2575,830,22141,3,0,3,0,0,4,63,0,0,0,0,67,1236,423,166,29,9,1856,1103,768,638,139,43,2697,125,127,206,87,36,584,27,0,6,0,0,37,2549,1328,1012,257,85,5242,17,12,4,0,0,27,913,137,31,0,0,1078,2138,746,295,56,15,3247,534,338,280,63,41,1258,31,22,53,19,6,127,42,13,4,0,0,66,3676,1264,660,142,65,5802,0,0,0,0,0,0,15,0,0,0,0,19,40,17,3,0,0,67,8,6,17,3,3,42,0,0,0,0,0,5,0,0,3,0,0,4,68,29,23,0,4,126,12,0,0,0,0,15,13793,7361,8224,2970,986,33330,3,6,0,0,0,8,52,11,8,4,0,73,1225,443,245,37,3,1953,3687,2339
LGA22410,0,0,0,0,0,0,31,5,0,0,0,35,312,78,37,10,0,433,1642,609,530,147,44,2970,548,282,405,221,93,1542,31,7,5,0,0,46,2569,977,976,375,134,5033,0,0,0,0,0,0,3,0,0,0,0,3,21,5,4,0,0,35,29,9,9,0,0,50,8,3,9,3,0,29,0,0,0,0,0,0,65,14,20,6,5,113,0,0,0,0,0,0,3,0,0,0,0,3,36,13,0,0,0,49,9,9,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,52,15,3,0,0,76,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,7,3,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,23,0,0,0,0,0,8,2698,1010,1010,384,144,5242,3,0,0,0,0,0,24,4,4,0,0,33,296,49,36,9,0,386,1653,561
LGA22490,0,0,0,0,0,0,35,0,0,5,0,41,246,53,29,11,4,343,1190,512,558,168,56,2484,615,364,588,409,192,2177,29,6,4,0,5,44,2123,936,1176,596,261,5089,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,9,4,0,5,4,15,0,0,0,0,0,3,2138,939,1185,595,262,5129,8,0,0,0,0,8,32,4,3,0,0,38,243,54,30,11,4,346,1272,506
LGA22620,10,0,0,0,3,18,93,13,3,0,6,111,1505,315,130,31,11,1992,7194,3169,2566,803,268,14004,2491,1689,2200,1462,719,8565,154,40,28,17,9,249,11444,5230,4931,2318,1010,24936,0,0,0,0,0,0,16,0,0,0,0,16,210,49,8,0,0,268,109,63,27,13,0,204,22,18,11,5,6,60,5,0,0,0,0,9,362,132,47,23,3,568,0,0,0,0,0,0,34,0,0,0,0,32,327,73,17,5,4,423,117,43,22,6,7,191,9,6,6,4,0,25,8,3,0,0,0,11,495,123,36,12,9,678,7,0,0,0,0,7,19,0,0,0,0,19,21,0,0,0,0,27,12,11,11,0,0,26,4,4,4,4,0,11,0,0,0,0,0,0,64,9,15,3,0,96,0,0,3,0,0,6,12364,5501,5028,2360,1027,26285,14,0,0,0,4,14,108,10,5,0,3,131,1488,305,143,36,12,1979,7348,3075
