LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA16260,772,481,494,971,1006,820,1823,452,737,1195,492,902,1398,895,1079,1973,12,23,38,13,8,20,17,13,25,815,1187,2004,990,1401,2389,1906,1912,3817,7683,6023,13708,8303,7021,15328,7073,5856,12926,31527,29566,61093,36065,34777,70845,41261,40445,81709
LGA16350,261,156,233,394,266,258,521,247,535,779,237,597,834,386,578,969,4,9,13,12,18,25,9,7,19,348,711,1059,404,838,1250,659,841,1505,5926,5755,11675,6578,6480,13061,6735,6595,13329,27218,28095,55313,29551,30789,60334,33211,34754,67969
LGA16380,75,38,65,102,60,65,124,84,195,282,92,206,303,107,225,331,3,5,9,3,3,11,5,0,9,111,253,367,133,276,415,170,290,461,2200,2243,4447,2787,2974,5761,2149,2172,4323,9423,10089,19512,10344,11346,21687,10882,11935,22825
LGA16400,74,30,45,77,52,55,106,68,200,265,75,180,256,68,133,206,0,11,11,9,3,9,5,3,11,101,251,352,116,230,341,126,193,321,2244,2241,4486,2788,2867,5653,2051,2082,4131,9101,9540,18639,9734,10178,19914,9815,10277,20093
LGA16490,64,41,43,83,104,76,183,89,180,275,95,190,285,172,245,419,0,0,5,3,3,8,0,3,4,122,215,336,140,239,383,281,323,605,1808,1514,3317,2203,2112,4319,1597,1490,3088,7965,8049,16018,8743,8834,17577,9411,9360,18770
LGA16550,415,232,306,542,242,219,457,253,476,729,354,528,883,409,587,993,4,7,15,9,9,11,12,10,14,453,707,1158,595,842,1438,658,811,1469,6733,5185,11918,6788,5301,12086,4461,3602,8064,23193,21809,45003,26452,25205,51667,21539,21412,42946
LGA16610,26,8,14,26,12,3,15,25,54,78,12,45,64,19,36,54,0,0,5,0,0,4,0,4,4,31,72,105,24,63,88,27,48,75,782,763,1545,1059,1050,2109,1216,1162,2376,3052,3276,6324,3233,3498,6732,3408,3631,7037
LGA16700,278,173,205,387,238,261,497,218,352,570,245,422,672,407,544,946,7,9,17,3,7,8,3,4,10,355,507,857,424,635,1062,648,810,1462,2877,2837,5715,2668,2867,5533,2518,2618,5132,16184,16461,32652,17965,18666,36632,19167,19749,38920
LGA16900,63,50,58,109,48,68,117,65,181,246,86,219,302,96,164,265,0,8,9,0,5,9,0,0,3,89,226,316,133,289,419,153,234,384,1751,1746,3501,2032,2227,4260,1834,1814,3649,9367,9777,19147,9829,10578,20410,10627,11156,21783
LGA16950,105,52,77,131,90,72,162,110,249,361,96,239,335,103,250,357,3,4,5,5,3,10,3,5,7,158,318,475,157,320,475,204,324,530,3889,3466,7361,4714,4258,8970,4251,3424,7672,12944,13191,26139,13583,13813,27396,14087,13977,28060
