LGA_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA33620,68,54,58,115,64,81,145,53,126,179,66,152,221,90,153,243,0,4,3,5,0,11,0,0,4,86,165,253,133,213,340,154,234,390,1738,1740,3478,2251,2301,4551,2024,1797,3821,6049,6465,12513,6698,7133,13832,6743,7067,13816
LGA33800,0,0,9,4,4,7,12,3,5,10,7,28,33,7,24,32,0,0,0,0,0,0,0,0,0,6,11,14,7,26,34,16,35,50,377,344,724,500,513,1015,496,418,912,1419,1409,2834,1430,1392,2818,1360,1347,2702
LGA33830,3,3,4,4,0,0,5,0,0,0,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,6,10,0,0,5,24,15,39,47,36,86,42,37,80,136,145,281,168,121,290,155,133,291
LGA33960,302,241,350,592,444,434,878,226,471,702,353,765,1119,624,912,1538,10,10,19,12,12,28,9,12,24,374,653,1022,602,1129,1735,1079,1355,2432,6399,5538,11938,7218,7051,14270,7513,6508,14023,25018,25406,50425,30095,32206,62301,36544,38300,74846
LGA33980,8,14,11,19,13,21,30,29,70,101,26,64,90,65,77,143,0,0,0,3,0,3,0,0,0,38,81,115,38,76,112,74,99,177,1684,789,2470,1952,1197,3152,3146,1416,4559,3999,3094,7099,4039,3468,7505,5348,3613,8969
LGA34420,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,3,17,17,19,38,73,94,165,116,119,232,122,111,229,177,187,361
LGA34530,10,17,19,34,36,53,81,30,87,113,52,99,148,74,117,188,0,0,0,0,0,0,0,4,4,38,89,129,70,114,183,111,167,279,1836,1072,2906,2334,1433,3766,2559,1253,3817,5245,4560,9807,5972,5167,11145,6658,5451,12109
LGA34570,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,13,11,23,70,67,138,45,44,85,57,73,129,128,117,243,119,102,220
LGA34580,60,49,56,106,53,45,104,43,79,118,46,123,171,86,137,223,5,0,5,3,5,5,0,0,6,72,113,182,96,185,285,139,187,325,1513,1371,2885,1994,1761,3760,1405,1536,2943,5196,5657,10845,6048,6354,12402,5924,6427,12348
LGA34590,598,372,577,943,693,701,1395,417,806,1217,471,1157,1629,799,1345,2141,23,24,43,13,22,43,25,12,38,704,1156,1864,860,1755,2617,1515,2055,3575,10275,9892,20172,10716,11012,21727,11669,11346,23014,41184,42772,83956,45483,48602,94084,53465,56824,110297
LGA34710,0,9,5,11,0,0,0,9,9,17,5,14,16,3,10,11,0,0,0,0,0,0,0,0,0,8,7,17,13,14,28,3,17,16,153,159,313,191,197,386,240,229,467,546,605,1146,505,566,1071,577,587,1162
LGA34770,67,59,77,130,121,109,238,140,267,410,161,390,550,316,432,747,8,5,12,5,10,14,4,4,5,185,306,487,216,473,693,440,547,991,5475,3335,8815,5710,4221,9932,6253,4771,11020,16574,15063,31630,17404,17069,34472,19115,18888,38002
LGA34800,3,0,0,3,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,4,3,3,0,3,85,31,115,35,28,69,105,57,163,142,101,247,77,89,166,173,118,295
LGA34830,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7,4,3,7,10,11,9,34,29,60,25,30,54,33,47,74,77,77,157
LGA34860,8,6,10,19,8,17,30,5,29,33,8,29,37,25,48,70,0,0,0,0,0,0,0,0,0,10,35,44,16,42,56,30,71,96,735,610,1343,763,657,1423,712,692,1402,1913,1781,3692,1976,1889,3861,1985,2083,4068
LGA34880,18,11,31,39,22,18,39,29,64,94,20,57,74,32,47,81,3,0,0,0,4,4,0,0,0,35,77,118,28,85,116,54,63,119,1451,831,2286,2167,1187,3353,2423,1168,3596,3174,2852,6022,3945,3188,7132,4326,3182,7509
LGA35010,739,429,607,1034,647,651,1300,619,1248,1866,710,1580,2288,1155,1815,2971,21,25,46,23,25,47,20,30,50,986,1668,2653,1161,2213,3375,1820,2496,4314,12069,11109,23177,13782,13755,27539,12450,10807,23253,52985,55380,108367,61058,65109,126166,67999,71220,139224
LGA35250,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,4,3,5,0,0,0,30,31,61,67,64,124,61,61,119,175,161,337,201,191,391,155,169,322
LGA35300,17,5,12,21,34,37,70,22,57,83,28,70,99,49,59,111,0,5,5,0,0,0,3,0,4,35,65,101,35,83,122,90,97,182,1881,1429,3308,1239,1068,2303,1038,817,1862,3849,3450,7300,3077,3138,6219,3140,3059,6198
LGA35600,0,0,5,5,3,0,0,5,3,11,4,12,13,5,3,10,0,0,0,0,0,0,4,0,4,5,3,11,4,12,16,9,8,13,230,208,436,185,201,384,245,244,487,667,625,1300,559,591,1154,548,613,1155
LGA35670,0,0,0,0,0,0,0,0,5,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,4,4,0,0,0,8,10,15,27,10,38,91,99,191,139,132,274,141,124,266,182,181,366
LGA35740,70,32,78,106,43,41,87,57,160,212,71,179,251,109,190,301,0,0,0,9,0,7,4,0,9,81,201,289,109,257,365,151,240,390,1675,1635,3311,1885,1967,3860,1689,1671,3358,6258,6648,12911,6692,7133,13827,6856,7316,14169
LGA35760,8,5,5,11,10,6,17,8,22,26,12,15,28,11,25,36,0,0,0,0,0,0,0,0,0,17,30,40,20,23,39,18,34,49,481,433,911,706,652,1359,579,537,1125,1278,1391,2676,1511,1539,3049,1352,1377,2729
LGA35780,9,0,14,15,0,0,3,0,0,6,3,12,13,0,7,7,0,0,0,0,0,0,0,0,0,3,6,16,7,22,27,0,8,12,79,68,142,75,81,153,180,176,353,388,399,792,477,514,992,544,600,1144
LGA35790,9,0,3,5,0,0,0,0,0,5,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,10,7,17,0,5,10,4,3,3,28,35,66,56,48,101,73,81,150,328,295,627,326,308,633,304,331,633
LGA35800,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,6,5,0,3,0,0,0,0,0,0,4,0,3,0,0,3,5,6,9,86,70,151,82,79,160,57,56,118,201,233,437,186,223,409,192,212,408
LGA36070,4,0,0,0,0,0,0,5,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,3,0,3,3,6,4,12,26,16,36,55,30,85,75,67,144,94,94,183,97,87,189
LGA36150,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,33,16,46,30,20,48,27,28,54,117,96,217,105,102,210,81,77,159
LGA36250,211,114,135,246,183,199,387,198,409,613,224,461,685,322,544,864,5,4,13,4,9,12,5,9,12,309,527,834,343,602,947,509,748,1261,3535,3516,7051,3598,3784,7383,3047,3114,6158,18795,19694,38483,19671,20802,40473,20957,22138,43090
LGA36300,0,0,0,0,6,0,6,0,6,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,4,6,0,4,46,29,80,40,29,69,73,53,124,108,111,224,99,87,188,127,116,244
LGA36370,81,85,91,172,100,114,212,100,170,272,126,304,422,228,268,498,4,3,10,5,6,9,3,0,4,146,211,362,209,394,605,330,378,708,3716,3437,7150,3502,3229,6731,3558,2781,6346,11362,11775,23139,11983,12675,24656,12557,12836,25389
LGA36510,40,24,36,57,46,51,92,36,112,148,51,107,160,70,113,186,0,0,5,3,0,7,0,0,0,61,139,195,78,150,227,119,167,281,1137,1005,2141,1882,1694,3575,1752,1506,3253,4667,4935,9601,5754,5998,11752,5954,6035,11984
LGA36580,15,16,22,46,17,31,51,24,60,77,28,75,94,33,72,106,0,0,5,0,0,0,0,0,4,29,63,99,44,96,145,49,102,153,762,680,1442,1168,1149,2315,969,838,1801,2845,2911,5754,3476,3673,7147,3377,3564,6947
LGA36630,30,13,12,29,28,28,57,30,62,93,40,70,108,48,81,130,0,0,0,3,3,3,3,3,7,47,80,130,58,86,142,77,116,193,1055,934,1987,1524,1353,2872,1608,1498,3110,4066,4243,8309,4460,4433,8897,4427,4501,8935
LGA36660,25,15,30,51,26,41,65,40,76,115,35,92,132,66,109,179,0,0,0,0,0,6,4,0,6,56,88,141,56,124,184,100,151,253,1044,1085,2125,1277,1295,2571,1484,1412,2893,4337,4603,8941,4643,4766,9408,4726,5095,9823
LGA36720,409,231,357,585,397,425,824,393,888,1290,434,940,1376,790,1240,2023,15,18,33,16,24,40,15,15,35,578,1148,1729,684,1314,2000,1200,1679,2886,7822,7305,15125,9389,9685,19075,9279,8943,18221,34230,36755,70981,39771,43722,83502,45995,50155,96147
LGA36820,20,16,19,34,20,18,40,31,82,110,29,78,105,50,87,133,3,7,5,0,0,0,3,0,3,37,104,142,45,91,137,67,106,179,1031,970,2006,1174,1198,2378,1408,1333,2738,3098,3364,6466,3284,3519,6805,3714,3899,7609
LGA36910,233,153,183,332,286,249,536,182,428,614,308,573,879,449,697,1144,11,15,23,3,14,17,3,15,20,304,573,881,461,768,1228,739,954,1699,4834,4828,9654,6028,6270,12300,4933,4728,9661,21889,23224,45117,23899,26032,49931,25482,27255,52744
LGA36950,3,0,4,3,0,3,5,0,4,4,3,8,6,0,7,7,0,0,0,0,0,0,0,0,0,0,6,10,5,9,11,0,10,13,256,243,504,294,301,593,158,125,283,648,638,1283,746,765,1516,593,582,1171
LGA36960,24,6,3,9,3,0,7,8,16,24,0,7,4,0,5,7,0,0,0,0,0,0,0,0,0,23,28,48,10,3,14,5,9,8,140,109,249,211,202,416,166,140,302,777,683,1463,790,820,1609,699,681,1385
LGA37010,195,191,243,434,312,277,586,220,404,629,297,609,907,451,682,1134,11,4,14,10,14,26,3,10,15,318,517,839,501,867,1366,771,966,1734,7797,6371,14169,8488,6940,15431,9046,6397,15450,27185,28279,55460,29912,31402,61313,31297,31634,62932
LGA37300,3,0,0,8,3,0,5,3,9,11,5,7,12,8,13,21,0,0,0,0,0,0,0,0,0,4,11,15,7,9,16,17,13,29,233,179,411,225,185,413,292,214,502,567,557,1122,635,654,1283,797,740,1537
LGA37310,21,16,32,50,18,31,50,30,53,82,31,91,126,65,121,193,0,0,3,3,8,8,0,0,5,44,62,106,56,135,184,88,159,248,1542,1266,2811,2096,1913,4012,1843,1512,3349,4634,4420,9049,5469,5410,10882,5327,5239,10566
LGA37340,36,15,17,29,43,37,77,36,87,118,42,121,159,68,139,204,0,0,7,0,0,3,0,0,0,50,108,157,61,135,194,105,173,282,2241,1559,3796,2524,2092,4615,2453,1832,4282,4742,4161,8902,5238,5044,10291,5749,5356,11106
LGA37400,6,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,3,0,0,0,52,34,89,64,56,121,87,89,178,163,149,309,133,152,288,165,178,336
LGA37550,0,3,7,9,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,8,10,0,0,0,27,19,44,45,30,78,49,34,73,130,137,269,169,148,320,173,172,344
LGA37570,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,4,3,8,14,16,11,34,28,16,50,24,29,54,47,40,81
LGA37600,6,0,0,0,4,5,4,0,0,0,4,6,11,3,0,5,0,0,0,0,0,0,0,0,0,5,9,12,10,6,11,3,8,10,25,26,54,71,80,149,47,61,111,322,355,678,429,442,877,379,387,763
LGA39499,48,23,27,49,34,28,66,17,27,41,16,36,54,19,29,55,0,0,0,0,3,8,0,0,0,41,45,94,40,72,111,54,66,114,1299,650,1949,1598,1049,2646,2143,1446,3582,1750,1206,2961,2042,1576,3620,2806,2251,5060
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,85,6,13,24,115,24,137,78,55,133,12,18,30,115,25,136
LGA40070,133,71,74,137,102,87,190,49,77,125,36,71,111,66,95,157,3,3,3,0,0,0,3,0,4,116,140,262,105,139,243,168,186,350,1344,834,2179,1512,1032,2550,1161,843,2000,4431,4242,8671,5251,5040,10293,5053,5082,10131
LGA40120,62,27,25,54,33,31,69,67,112,185,43,101,145,63,99,160,5,0,5,0,0,3,4,4,8,98,146,248,73,130,201,102,135,236,882,831,1716,1018,997,2014,910,827,1733,5817,5877,11692,5720,5928,11646,5742,6116,11858
LGA40150,3,3,10,14,3,10,12,4,25,28,6,19,30,13,26,43,0,0,0,0,0,0,0,0,0,6,29,31,17,32,44,16,39,60,263,247,509,357,323,676,363,275,637,1147,1223,2369,1270,1264,2534,1413,1329,2744
LGA40220,31,11,19,27,20,28,44,17,59,80,17,49,66,31,74,105,3,4,7,0,0,0,0,0,0,42,80,119,33,71,100,56,95,148,565,594,1157,941,987,1927,765,751,1515,2653,2977,5633,3034,3407,6444,3116,3435,6556
LGA40250,0,5,4,6,0,0,0,0,4,4,4,7,7,5,3,4,0,0,0,0,0,0,0,0,0,0,4,7,6,12,20,7,3,4,67,64,136,140,169,312,77,88,167,373,373,749,372,409,779,296,374,671
LGA40310,26,16,21,34,12,20,35,28,67,94,24,56,83,32,67,99,0,0,3,0,0,0,4,0,3,40,82,117,41,77,117,46,88,137,474,492,972,749,752,1500,512,533,1048,2864,2988,5858,3188,3290,6482,3184,3373,6556
LGA40430,0,0,0,0,0,6,3,0,7,7,0,4,7,5,0,5,0,0,0,0,0,0,0,0,0,0,9,6,0,4,7,9,6,9,86,84,169,109,112,220,97,100,196,263,272,538,280,283,565,278,281,560
LGA40520,22,5,14,19,11,8,20,9,32,44,10,25,33,5,21,27,4,0,4,0,0,0,0,6,5,24,47,67,20,34,56,18,36,54,375,403,782,427,414,841,320,285,605,1458,1526,2978,1442,1390,2833,1277,1290,2566
LGA40700,54,30,50,74,46,50,95,75,119,191,70,105,180,95,163,254,0,5,6,3,5,3,0,0,0,108,148,254,104,155,258,136,213,348,940,1118,2057,928,1035,1962,499,504,1003,6390,6961,13349,6841,7284,14128,6892,7245,14142
LGA40910,137,35,61,100,107,86,188,78,144,222,88,134,225,135,182,317,5,3,8,0,0,0,0,0,0,142,226,369,127,197,320,236,265,507,1136,1301,2439,1022,1040,2068,865,870,1734,6787,7109,13900,7045,7102,14143,7782,7815,15593
LGA41010,7,3,0,7,0,0,0,4,7,12,0,7,9,3,6,10,0,0,0,0,0,0,0,0,0,5,14,21,4,7,10,9,6,12,122,114,240,247,257,506,159,141,298,460,505,969,540,596,1138,482,488,972
LGA41060,286,146,137,284,149,169,313,176,323,496,216,298,513,277,421,699,12,9,18,0,10,14,9,7,12,306,491,801,367,444,812,434,600,1024,3389,3332,6720,3125,3247,6372,2226,2174,4401,14218,14644,28857,14888,15627,30513,15466,16217,31686
LGA41140,13,7,4,11,3,4,7,7,23,34,7,23,32,6,17,31,0,0,0,0,0,0,0,0,0,10,32,47,14,24,37,14,25,37,225,245,468,335,338,676,277,289,562,1070,1196,2264,1177,1236,2414,1098,1216,2312
LGA41190,5,5,4,5,0,0,0,0,0,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,6,5,7,5,7,11,0,7,7,26,28,56,80,58,142,70,55,126,215,195,413,253,232,487,236,220,456
LGA41330,0,0,3,8,0,0,0,0,4,9,0,4,3,0,4,4,0,0,0,0,0,0,0,0,0,5,4,5,4,7,8,0,7,10,147,114,259,166,161,325,185,131,313,249,225,474,273,294,570,284,227,511
LGA41560,3,8,9,12,11,8,16,13,39,51,12,38,49,18,36,55,0,0,0,0,0,0,0,0,0,18,41,60,16,44,66,28,48,68,345,342,686,642,645,1285,591,518,1110,1416,1523,2939,1796,1741,3538,1719,1693,3413
LGA41750,0,5,3,3,0,3,4,0,3,3,0,3,6,0,3,3,0,0,0,0,0,0,0,0,0,0,4,5,3,5,6,0,3,3,23,16,34,38,38,71,51,41,92,114,128,243,123,129,257,154,135,289
LGA41830,0,0,0,0,0,0,0,0,8,8,0,5,5,7,3,5,0,0,0,0,0,0,0,0,0,0,3,3,0,8,8,4,0,8,57,54,111,78,78,153,88,74,162,233,224,458,198,215,414,195,202,396
LGA41960,0,0,0,0,4,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,6,4,0,0,55,60,110,71,70,140,79,59,141,151,162,312,178,151,333,187,151,337
LGA42030,29,13,27,41,21,29,50,38,67,104,18,74,88,48,74,127,5,0,5,4,0,4,0,0,0,45,92,132,36,100,136,69,104,176,593,645,1231,715,724,1441,501,569,1074,2654,3014,5670,2993,3317,6310,3136,3470,6598
LGA42110,7,0,0,0,0,4,6,7,7,18,3,10,13,7,8,7,0,0,0,0,0,0,0,0,0,8,10,23,3,10,13,3,10,12,132,124,253,186,168,360,171,164,339,523,546,1066,509,596,1104,476,531,1009
LGA42250,10,5,4,8,13,4,13,10,14,19,6,17,26,10,22,28,0,0,0,0,0,0,0,0,0,10,16,29,14,21,36,18,25,42,370,192,561,749,276,1027,957,327,1293,1212,1147,2360,1582,1109,2689,1790,1189,2981
LGA42600,65,28,23,47,34,46,80,71,105,171,54,95,150,62,115,182,0,3,6,0,3,4,0,0,3,106,135,240,79,123,202,103,164,265,1015,1105,2121,1003,1144,2146,628,653,1277,4292,4781,9070,4495,4935,9430,4484,4755,9246
LGA42750,0,0,0,3,0,4,3,0,8,13,0,13,16,0,13,19,0,0,0,0,0,0,0,0,0,9,8,15,5,13,20,3,14,17,147,132,283,245,232,483,233,198,432,521,547,1064,616,599,1220,620,569,1191
LGA43080,0,0,0,0,0,0,0,4,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,4,31,25,55,42,42,86,49,38,85,116,143,257,150,147,296,127,118,241
LGA43220,0,0,0,0,0,0,5,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,10,34,39,76,46,43,89,38,34,78,126,142,268,137,141,278,146,156,299
LGA43360,3,0,0,0,0,3,4,0,4,6,0,7,7,0,0,5,0,0,0,0,0,0,0,0,0,7,6,10,0,7,7,0,4,5,91,60,150,102,109,214,75,65,137,284,253,532,293,262,557,234,233,475
LGA43650,19,7,13,13,8,8,18,9,27,36,11,35,43,16,30,48,0,4,5,0,0,0,0,0,0,19,37,60,14,40,56,21,48,67,360,312,675,433,384,815,373,337,714,2124,2097,4217,2244,2306,4548,2343,2439,4777
LGA43710,4,6,3,4,3,0,3,3,20,23,4,10,13,3,12,19,0,0,0,0,0,0,0,0,0,11,19,28,3,15,19,9,16,26,232,112,346,447,218,669,385,181,566,796,677,1476,988,754,1739,984,787,1777
LGA43790,18,5,15,16,10,10,20,20,26,44,12,22,34,15,32,44,0,0,0,0,0,0,0,0,0,26,44,73,19,30,50,23,39,65,308,297,604,392,404,802,411,373,786,1476,1534,3004,1412,1514,2927,1448,1505,2954
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,19,19,42,6,8,10,17,13,34,19,19,42,5,10,15
LGA44060,181,102,132,237,144,132,277,168,298,469,143,240,387,237,308,537,6,10,17,5,9,16,0,7,9,256,411,664,253,382,642,378,445,822,2142,2191,4332,2039,2211,4243,1482,1374,2850,11206,11962,23165,11936,12977,24913,12573,13458,26034
LGA44210,11,7,0,5,3,8,11,6,13,14,4,15,23,3,13,19,0,0,0,0,0,0,0,0,0,6,23,30,9,15,30,7,19,27,510,294,807,603,377,979,631,363,996,1140,970,2110,1205,1005,2209,1264,1029,2291
LGA44340,108,66,60,129,76,66,143,120,206,325,105,162,264,144,205,349,6,3,10,6,5,13,0,0,0,184,267,450,172,229,402,225,270,494,1199,1238,2434,1369,1424,2791,790,799,1593,9339,9914,19252,9788,10584,20372,9916,10361,20279
LGA44550,38,17,36,53,31,32,58,51,96,147,36,86,128,70,135,203,0,3,3,3,0,0,0,3,3,68,116,186,63,124,184,95,167,270,609,579,1189,977,1034,2006,840,810,1655,4178,4561,8737,4814,5313,10124,5422,5765,11193
LGA44620,37,23,26,50,20,29,48,38,47,85,37,73,107,44,84,130,0,0,0,3,0,4,0,0,0,52,67,119,58,103,162,70,116,179,680,737,1422,835,910,1748,739,794,1536,3317,3688,7006,3501,3905,7405,3460,3895,7350
LGA44830,3,0,4,5,0,0,0,3,4,12,0,6,6,4,3,9,0,0,0,0,0,0,0,0,0,3,10,14,0,9,9,4,3,9,94,103,199,108,104,217,129,124,257,347,378,725,339,350,687,329,345,671
LGA45040,24,17,26,46,19,25,46,32,59,93,30,46,76,41,60,98,0,3,3,0,0,0,0,0,0,39,82,121,45,75,119,58,82,136,1091,728,1822,1137,797,1930,1165,676,1840,2918,2749,5664,3015,2833,5845,3108,2852,5961
LGA45090,4,4,4,6,8,6,15,17,20,39,12,24,40,11,22,36,0,0,0,0,0,0,0,0,0,21,24,42,18,29,48,21,34,50,227,230,457,260,258,513,316,278,601,1051,1062,2116,1098,1052,2147,1146,1149,2295
LGA45120,9,3,0,8,0,0,3,0,17,17,4,8,12,0,11,11,0,0,0,0,0,0,0,0,0,4,16,18,5,11,17,0,12,11,132,98,224,177,150,317,143,121,268,553,531,1088,555,540,1093,557,559,1110
LGA45290,102,40,44,89,48,53,103,70,112,181,56,111,172,89,115,203,0,0,0,0,0,0,5,3,6,113,172,287,104,155,258,141,174,309,1082,953,2039,910,986,1893,655,629,1281,5319,5399,10714,5301,5454,10763,5350,5394,10746
LGA45340,246,111,200,313,148,176,323,277,521,795,271,479,749,375,592,966,9,6,15,9,11,15,8,4,12,378,678,1059,386,695,1079,529,774,1304,4174,4238,8415,4677,4968,9643,3619,3499,7116,21709,23098,44804,22612,24238,46850,22912,24313,47225
LGA45400,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,7,26,7,36,39,48,87,36,32,71,98,94,196,108,115,232,109,111,216
LGA45540,0,0,0,0,0,5,5,0,5,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,3,3,0,5,8,70,66,137,80,72,157,108,114,218,227,223,449,207,197,403,200,231,430
LGA45680,207,150,216,366,131,163,295,132,259,393,146,330,479,218,351,573,5,14,13,13,8,19,7,9,9,231,382,619,306,556,862,360,527,880,3101,2967,6068,3611,3580,7190,3062,2994,6058,11923,12452,24377,13860,14613,28479,15313,16141,31455
LGA45890,447,198,257,455,318,325,642,210,380,591,244,389,635,359,503,861,11,17,24,10,9,17,10,8,20,425,635,1059,450,655,1107,689,836,1521,4803,4170,8971,4278,3948,8228,3498,2806,6306,17110,16878,33985,17676,18105,35782,19101,19252,38352
LGA46090,20,3,0,13,7,17,29,7,29,37,7,24,33,17,31,48,0,0,0,0,3,3,4,0,5,21,42,58,16,33,50,24,53,74,1179,840,2026,1209,684,1896,1147,529,1679,2379,2119,4496,2387,1936,4325,2419,1937,4352
LGA46300,29,7,12,20,8,6,12,13,57,69,17,28,44,18,47,62,0,0,0,0,0,0,0,4,3,24,72,97,24,40,68,21,59,79,484,445,932,587,590,1176,518,457,969,1817,2016,3837,1870,2012,3879,1869,1919,3793
LGA46450,29,13,21,33,13,8,29,18,31,50,9,27,35,18,24,45,0,0,0,0,0,0,0,0,0,32,54,83,21,50,69,36,40,73,567,554,1122,613,639,1252,536,524,1063,2299,2385,4678,2202,2385,4582,2124,2265,4385
LGA46510,89,24,23,46,41,50,92,44,50,98,39,49,84,86,79,164,3,3,9,0,0,3,3,5,7,95,99,194,65,66,133,129,130,260,556,475,1032,506,499,1012,312,311,629,3053,3085,6138,3196,3048,6241,3428,3373,6804
LGA46670,20,6,6,7,4,5,15,8,16,24,15,22,38,12,22,32,0,0,0,0,0,0,0,0,3,22,25,47,19,27,40,16,31,45,372,370,742,421,416,836,326,312,646,1268,1316,2587,1259,1300,2553,1184,1237,2418
LGA46860,0,0,0,0,0,0,0,0,3,7,0,6,8,0,4,0,0,0,0,0,0,0,0,0,0,0,9,6,0,5,5,3,4,6,64,40,104,67,64,128,39,45,87,182,158,336,170,162,329,156,177,335
LGA46970,0,0,3,3,0,4,4,5,9,18,0,16,16,4,12,19,0,0,0,0,0,0,0,0,0,5,9,18,0,19,19,4,13,22,389,127,517,249,118,363,273,185,454,902,624,1524,682,580,1263,729,643,1365
LGA47140,361,264,332,597,320,322,641,217,402,621,256,506,764,382,578,964,8,18,26,11,5,18,12,13,22,389,618,1007,534,846,1377,713,913,1624,4605,4548,9152,3950,4032,7980,3316,3191,6508,18722,19210,37930,19912,20832,40746,21460,22255,43719
LGA47290,4,4,3,5,3,0,3,4,4,7,3,0,4,3,7,11,0,0,0,0,0,0,0,0,0,7,7,9,4,9,6,8,7,13,59,55,117,90,93,184,91,78,170,243,267,508,246,257,500,245,272,514
LGA47490,0,0,0,0,0,0,0,0,6,8,4,0,4,0,8,10,0,0,0,0,0,0,0,0,0,0,3,10,6,0,5,0,8,10,88,76,165,91,89,178,95,87,183,276,287,571,276,290,565,273,290,563
LGA47630,21,5,0,3,0,6,5,6,18,28,13,12,21,9,17,25,0,0,0,0,0,0,0,0,3,21,24,45,11,13,31,12,22,36,149,139,287,327,278,601,306,251,561,859,861,1714,959,941,1893,969,923,1889
LGA47700,184,82,110,194,129,106,231,196,288,481,154,282,440,250,374,624,0,8,9,3,6,16,3,0,5,280,395,676,248,397,646,387,478,863,2098,2289,4392,1925,2113,4039,1393,1313,2710,12884,13533,26418,12818,13537,26359,13251,13650,26900
