LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA22620,2891,5541,235,273,503,3531,3968,7499,497,953,1449,570,688,1254,146,248,392,1213,1889,3097,4191,4447,8639,51071,54565,105637,3625,3572,7195,58887,62584,121470
LGA22670,2462,4966,215,231,446,3813,4293,8102,750,1366,2117,505,578,1083,88,114,197,1343,2058,3400,5096,6377,11467,70170,67165,137333,5026,4378,9403,80292,77920,158208
LGA22750,6541,12266,470,566,1038,7587,9113,16706,1067,2305,3374,1323,1529,2851,222,401,626,2612,4235,6844,8134,9596,17726,115972,122971,238942,7749,6633,14383,131855,139200,271057
LGA22830,1523,2986,176,176,347,2040,2218,4255,268,547,816,317,363,675,64,96,162,649,1006,1649,2366,2565,4932,28775,29285,58058,2881,2530,5413,34022,34380,68409
LGA22910,495,992,59,60,118,650,664,1311,66,134,198,82,108,188,35,43,79,183,285,467,499,548,1050,7000,7230,14232,649,671,1319,8148,8449,16604
LGA22980,218,408,20,26,47,250,284,537,43,72,112,59,63,121,20,29,49,122,164,282,215,256,470,2459,2397,4853,179,186,368,2853,2839,5698
LGA23110,1580,3027,88,105,194,2036,2509,4548,416,838,1255,341,410,749,34,65,104,791,1313,2115,2504,3312,5812,39900,41192,81091,2296,2126,4421,44700,46630,91322
LGA23190,594,1099,43,50,86,649,782,1425,95,212,305,130,165,296,21,28,49,246,405,656,570,709,1279,8842,9173,18017,602,532,1134,10014,10414,20429
LGA23270,2289,4651,194,244,438,3721,4168,7891,526,980,1506,392,392,787,72,105,180,990,1477,2473,7983,8914,16898,106769,106120,212889,7258,6859,14113,122010,121893,243901
LGA23350,442,932,45,33,81,660,576,1232,59,146,206,75,85,160,11,19,31,145,250,394,480,515,1000,7430,7787,15214,672,480,1150,8582,8782,17368
LGA23430,3707,6852,212,236,453,4253,5283,9541,709,1568,2273,819,1053,1867,102,154,255,1630,2775,4401,3942,5376,9311,69790,73178,142969,2927,2922,5850,76659,81476,158129
LGA23670,3415,6474,203,224,426,4055,4853,8898,596,1302,1894,640,723,1368,102,178,277,1338,2203,3540,4050,5114,9170,71162,73297,144461,2725,2752,5479,77937,81163,159103
LGA23810,1822,3548,185,203,391,2391,2670,5066,310,643,954,347,402,749,102,148,247,759,1193,1947,3093,3386,6479,31800,33212,65009,2922,2907,5826,37815,39505,77318
LGA23940,212,464,46,36,87,351,302,651,32,72,108,67,68,137,22,40,64,121,180,308,286,303,584,3222,3132,6358,417,400,817,3925,3835,7759
LGA24130,1087,2298,99,84,187,1537,1462,2999,173,308,485,160,190,348,29,35,67,362,533,893,1271,1349,2614,22745,23437,46189,1329,1327,2654,25345,26113,51458
LGA24210,3943,7570,178,215,391,4620,5529,10148,902,1568,2474,906,891,1798,124,170,294,1932,2629,4558,3233,4567,7804,55101,57694,112786,1989,2118,4109,60323,64379,124700
LGA24250,291,607,21,25,49,384,366,762,34,76,112,47,63,110,9,6,14,90,145,239,289,251,537,4339,4526,8864,389,387,781,5017,5164,10178
LGA24330,774,1509,80,87,170,1195,1475,2669,275,531,803,193,241,428,37,78,120,505,850,1348,1958,2568,4523,38246,37769,76016,2506,2170,4673,42710,42507,85209
LGA24410,2690,4960,143,209,353,2877,3698,6580,458,952,1410,511,677,1189,85,203,286,1054,1832,2883,3008,3834,6847,50733,53456,104190,1950,2058,4010,55691,59348,115043
LGA24600,1100,2246,143,103,249,1551,1584,3141,211,430,643,183,208,386,67,91,156,461,729,1188,1530,1938,3468,66927,67609,134535,5974,5646,11618,74431,75193,149615
LGA24650,1252,2626,148,133,279,2154,2168,4321,215,423,638,173,225,399,59,61,117,447,709,1154,4617,4880,9496,77830,79538,157371,6832,5260,12089,89279,89678,178960
LGA24780,1237,2446,135,123,259,1670,1834,3505,258,553,808,254,340,591,55,67,122,567,960,1526,2028,2249,4277,23654,24472,48126,2354,2209,4566,28036,28930,56972
LGA24850,757,1541,79,75,152,1079,1113,2186,111,238,358,138,171,315,11,47,60,260,456,730,1474,1498,2970,21857,21548,43400,1596,1496,3092,24927,24542,49460
LGA24900,978,2017,108,91,199,1399,1339,2735,157,300,459,240,254,498,37,53,94,434,607,1050,1179,1212,2390,12918,13015,25932,1136,1065,2199,15233,15292,30522
LGA24970,4551,8645,288,303,592,5536,6731,12266,1156,2069,3230,1151,1281,2429,205,340,544,2512,3690,6204,4603,6374,10973,85878,85213,171089,4367,3970,8336,94848,95557,190397
LGA25060,2418,4611,145,179,322,3045,3865,6913,702,1340,2046,505,575,1083,65,91,153,1272,2006,3274,3063,4310,7375,53633,55849,109486,2488,2504,4989,59184,62663,121851
LGA25150,679,1335,52,57,108,895,967,1861,93,227,322,118,153,269,10,18,35,221,398,628,1127,1229,2353,16504,16818,33319,1010,944,1958,18641,18991,37632
LGA25250,2455,4477,187,226,416,3157,4421,7581,1045,1901,2943,608,758,1369,137,234,371,1790,2893,4682,4583,6482,11067,74837,77490,152328,4022,3935,7955,83442,87907,171357
LGA25340,6393,12295,440,528,969,7381,8453,15833,918,1642,2555,1387,1466,2848,258,363,618,2563,3471,6029,4723,5807,10533,72334,76599,148934,4622,4867,9487,81679,87273,168948
LGA25430,697,1362,74,101,174,830,926,1755,69,112,181,123,141,269,69,133,205,261,386,644,519,563,1083,8376,8764,17138,1208,822,2032,10103,10149,20253
LGA25490,413,831,31,35,74,528,532,1062,58,138,191,80,75,150,6,27,39,144,240,381,413,457,870,7604,7770,15372,580,551,1129,8597,8778,17374
LGA25620,409,918,57,38,99,659,541,1204,58,97,156,76,86,161,16,14,29,150,197,346,444,477,915,6660,6281,12938,725,626,1342,7829,7384,15197
LGA25710,1135,2312,64,66,134,1452,1455,2909,146,319,461,166,184,346,32,40,73,344,543,880,1203,1313,2523,28932,29530,58465,969,948,1908,31104,31791,62895
LGA25810,373,729,66,59,122,500,522,1022,35,77,118,81,88,167,36,68,104,152,233,384,432,438,872,4972,5020,9994,579,500,1082,5983,5958,11948
LGA25900,1520,3066,184,187,373,2056,2210,4268,259,445,706,255,283,543,80,144,225,594,872,1468,1656,2070,3721,44584,46782,91365,3466,3387,6857,49706,52239,101942
LGA25990,204,432,36,27,61,318,280,602,28,65,92,45,29,77,16,12,24,89,106,195,298,297,593,3086,3034,6122,617,337,958,4001,3668,7671
LGA26080,236,424,25,15,44,233,275,512,25,45,69,46,44,93,9,0,12,80,89,175,74,103,178,1357,1527,2883,120,99,216,1551,1729,3276
LGA26170,932,1893,82,92,179,1232,1226,2454,150,255,399,163,221,374,39,32,73,352,508,857,909,1054,1962,13170,13396,26572,1042,1007,2045,15121,15457,30577
LGA26260,537,1030,43,49,88,635,725,1349,75,183,256,110,163,274,18,34,53,203,380,585,517,622,1137,7118,7342,14455,491,497,990,8126,8461,16588
LGA26350,2504,4673,168,169,341,2720,3347,6073,435,878,1313,499,653,1155,93,179,274,1027,1710,2749,1589,2423,4014,45754,49625,95382,2551,2755,5305,49894,54803,104703
LGA26430,396,809,51,43,91,539,528,1068,74,126,204,88,99,186,21,27,39,183,252,433,398,409,811,4759,4855,9621,529,501,1030,5686,5765,11455
LGA26490,845,1668,65,65,133,1029,1071,2099,98,224,323,146,176,323,44,52,92,288,452,738,657,749,1409,16916,17339,34250,1035,1006,2035,18608,19094,37694
LGA26610,521,968,49,47,97,604,715,1321,86,178,262,108,147,259,23,53,79,217,378,597,596,671,1265,9179,9066,18250,975,919,1887,10750,10656,21403
LGA26670,195,410,27,22,50,278,252,533,29,61,88,48,45,88,13,29,40,90,135,217,184,213,394,2691,2592,5285,296,257,547,3171,3062,6223
LGA26700,934,1782,66,87,153,1105,1271,2379,150,312,463,189,227,414,32,44,71,371,583,952,1031,1179,2215,12514,13360,25876,836,883,1717,14381,15422,29808
LGA26730,998,1808,63,93,155,1042,1322,2362,153,325,478,194,269,461,35,82,115,382,676,1065,1068,1265,2333,14949,16097,31041,1028,1007,2032,17045,18369,35406
LGA26810,1204,2322,100,102,196,1492,1610,3105,170,298,465,204,267,466,44,57,106,418,622,1038,1666,1575,3236,18874,19462,38340,2456,1608,4062,22996,22645,45639
LGA26890,118,240,11,20,31,152,168,319,16,38,60,28,44,70,6,5,15,50,87,141,122,143,267,1726,1678,3408,160,170,325,2008,1991,4006
LGA26980,4392,7953,212,281,491,4560,6070,10629,867,1731,2593,1032,1323,2358,167,349,516,2066,3403,5471,3889,5484,9374,74785,78661,153445,3244,3278,6528,81918,87423,169346
LGA27070,2735,5463,279,323,609,4186,4819,9006,709,1279,1988,454,430,883,147,311,457,1310,2020,3332,6593,7828,14419,101704,102343,204044,5537,5389,10929,113834,115560,229396
LGA27170,938,1702,57,70,124,1045,1292,2334,136,256,393,176,217,388,19,47,61,331,520,846,1590,1547,3131,18371,19538,37915,1107,1092,2200,21068,22177,43253
LGA27260,2027,3976,177,188,363,2843,3219,6061,328,751,1074,263,314,577,74,133,203,665,1198,1852,5832,6257,12089,131709,129921,261632,9904,8381,18286,147445,144559,292011
LGA27350,1174,2231,72,100,175,1418,1777,3199,236,522,761,196,224,418,43,46,89,475,792,1268,1464,2078,3544,39964,41702,81668,2565,2344,4905,43993,46124,90114
LGA27450,3341,6613,214,173,391,4132,4419,8550,457,883,1337,558,621,1183,71,87,155,1086,1591,2677,3986,4445,8430,69996,71470,141469,3204,2954,6163,77186,78869,156068
LGA27630,242,460,31,35,65,290,325,616,47,66,112,62,70,128,18,27,46,127,163,297,318,293,611,2768,2680,5440,241,256,500,3327,3229,6556
LGA29399,0,9,0,5,6,8,5,16,0,5,5,0,0,4,0,0,0,0,5,3,6,4,12,367,335,700,125,120,247,498,459,955
LGA29499,45,102,25,5,27,98,64,152,4,7,9,3,9,10,8,8,11,15,24,29,287,252,536,2640,2271,4909,2243,1398,3641,5170,3921,9089
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,24,3,27,35,3,38
LGA30250,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,22,53,456,498,952,44,55,101,530,575,1101
LGA30300,78,151,11,12,22,105,109,214,12,10,21,18,17,33,11,7,18,41,34,74,98,90,188,1847,1850,3701,221,209,433,2166,2149,4320
LGA30370,275,560,56,55,107,403,401,802,30,62,94,49,73,120,12,41,50,91,176,266,316,283,599,6104,5922,12033,1042,839,1885,7462,7044,14513
LGA30410,78,147,16,14,31,102,107,214,13,13,22,10,17,27,0,8,4,23,38,60,66,63,124,1204,1201,2408,169,145,313,1439,1409,2849
LGA30450,3,14,0,0,0,8,3,17,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,135,130,266,18,21,34,161,155,308
LGA30760,42,111,11,9,23,87,68,161,6,10,17,15,8,20,7,12,20,28,30,56,63,56,119,800,827,1627,82,78,154,945,961,1905
LGA30900,4,12,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,188,197,384,43,28,70,231,230,458
LGA31000,20590,38611,1158,1385,2543,23675,28608,52286,3689,7877,11564,3801,5157,8963,663,1310,1969,8153,14344,22497,25587,31090,56680,555408,574432,1129843,30596,25702,56297,611591,631224,1242825
LGA31750,0,7,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,178,139,321,11,0,16,189,142,337
LGA31820,3121,6277,229,240,472,4290,4374,8662,467,847,1315,600,638,1233,73,98,167,1140,1583,2720,4786,4690,9478,40566,42667,83230,3445,3061,6503,48797,50418,99215
LGA31900,485,937,49,50,95,621,658,1288,69,173,239,96,119,215,17,26,48,182,318,497,526,575,1097,7111,6940,14047,853,695,1548,8490,8210,16692
LGA31950,6,11,3,0,3,13,6,9,0,3,3,0,0,0,0,0,0,0,3,3,7,4,13,184,134,319,51,30,83,242,168,419
LGA32080,2573,5210,302,308,603,3677,3800,7477,424,804,1226,468,472,939,132,170,296,1024,1446,2457,4488,4472,8963,69946,73151,143098,7902,6975,14879,82336,84598,166943
LGA32250,18,54,11,6,20,50,30,85,0,0,0,4,6,4,0,0,4,4,6,11,24,35,54,928,854,1783,152,103,251,1104,992,2090
LGA32260,685,1446,85,74,163,1034,976,2009,149,225,372,139,154,294,30,34,64,318,413,738,1010,970,1980,12329,11851,24176,1645,1353,2997,14984,14174,29157
LGA32270,263,560,57,53,112,394,377,772,25,38,68,34,38,73,17,29,48,76,105,190,514,440,950,12053,11551,23600,1964,1318,3282,14531,13309,27836
LGA32310,241,526,53,32,84,425,366,793,48,74,122,52,57,110,12,12,26,112,143,258,370,378,749,4651,4818,9468,857,727,1580,5878,5923,11794
LGA32330,3,6,0,0,0,3,3,16,3,0,3,0,0,0,0,0,0,3,0,5,31,19,51,524,564,1088,29,30,61,584,613,1194
LGA32450,25,62,10,7,20,56,45,99,0,15,13,0,5,8,4,0,4,4,20,25,49,47,95,1656,1304,2968,352,226,582,2057,1577,3644
LGA32500,55,162,18,13,27,152,87,229,4,8,8,4,3,13,0,3,3,8,14,24,97,77,172,1856,1659,3509,467,354,824,2420,2090,4511
LGA32600,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,108,109,217,26,15,42,142,124,266
LGA32750,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,105,96,204,32,22,55,141,122,266
LGA32770,0,4,0,0,0,4,0,6,0,0,4,0,0,0,0,0,0,0,0,4,21,17,34,640,631,1265,36,41,80,697,689,1387
LGA32810,246,531,49,31,81,406,339,744,29,42,76,47,39,84,18,8,23,94,89,184,345,262,609,5155,5130,10278,771,679,1444,6271,6071,12337
LGA33100,18,36,9,3,7,35,26,55,0,3,3,0,6,4,0,0,0,0,9,7,15,16,31,318,272,591,48,47,94,381,335,714
LGA33200,38,87,6,3,12,57,47,113,3,9,10,6,7,14,0,7,10,9,23,31,20,38,64,620,624,1248,88,103,192,728,765,1500
LGA33220,3758,7630,353,400,748,5383,5394,10778,528,927,1458,648,737,1379,139,247,384,1315,1911,3229,6168,5832,11996,43876,47395,91276,4298,3473,7762,54342,56700,111032
LGA33360,826,1694,94,89,184,1186,1212,2390,132,206,342,132,121,253,29,52,85,293,379,679,1895,1766,3663,27746,27486,55233,2580,2044,4624,32221,31296,63515
LGA33430,13531,26381,1084,1256,2343,17145,18811,35953,2045,4079,6121,2497,2747,5245,533,910,1440,5075,7736,12805,16371,17864,34233,267580,284346,551931,19474,19444,38926,303425,321654,625087
LGA33610,251,487,37,22,62,329,336,666,42,66,110,60,63,118,8,7,8,110,136,241,288,286,573,4376,4409,8788,508,440,950,5172,5135,10310
LGA33620,1427,2933,135,124,254,2118,2045,4151,245,370,624,228,258,481,36,62,100,509,690,1204,2665,2504,5171,21724,22575,44297,2015,1762,3774,26404,26841,53242
LGA33800,387,775,30,33,70,507,535,1043,85,147,238,93,95,187,19,17,33,197,259,454,439,463,901,4643,4501,9140,481,404,879,5563,5368,10920
LGA33830,6,12,0,4,4,4,10,13,7,0,7,0,3,4,0,0,0,7,3,6,17,10,25,448,429,875,39,34,74,504,473,976
LGA33960,2911,5478,212,297,504,3636,4348,7982,394,786,1178,485,608,1090,100,210,308,979,1604,2575,7563,7508,15072,97892,101763,199660,7767,6711,14479,113222,115982,229208
LGA33980,122,268,33,24,55,210,174,379,17,31,48,20,23,42,12,8,15,49,62,100,263,220,489,8949,7999,16940,3171,1443,4615,12383,9662,22046
LGA34420,0,0,0,6,7,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,15,15,28,414,451,865,96,95,185,525,561,1079
LGA34530,888,1791,82,95,173,1205,1235,2434,121,223,348,150,156,309,43,52,97,314,431,753,1120,1113,2235,16540,16732,33275,2594,1296,3891,20254,19141,39398
LGA34570,3,6,0,0,4,0,6,12,0,0,0,0,0,0,0,0,0,0,0,6,3,7,9,286,253,543,48,43,90,337,303,640
LGA34580,755,1591,77,56,137,1144,1093,2239,118,230,349,128,129,261,25,26,48,271,385,660,1645,1507,3148,17325,17684,35011,1415,1523,2943,20385,20714,41101
LGA34590,4643,9216,360,473,836,6565,7207,13776,779,1544,2323,653,716,1366,143,279,418,1575,2539,4118,11201,11734,22933,147001,151240,298239,12115,11802,23928,170317,174776,345098
LGA34710,55,111,9,5,13,77,84,163,19,19,41,14,23,43,6,3,4,39,45,88,96,86,183,1468,1533,3001,239,223,468,1803,1842,3647
LGA34770,2037,3995,223,220,444,2677,2886,5576,353,654,1005,347,427,776,92,106,196,792,1187,1979,3032,3039,6071,51778,52578,104354,6388,4875,11265,61198,60492,121691
LGA34800,8,20,0,0,3,16,8,26,0,5,5,0,3,3,0,0,0,0,8,5,9,12,23,328,308,642,114,52,170,451,372,836
LGA34830,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,7,20,165,175,339,41,37,72,218,219,432
LGA34860,243,483,32,51,78,310,346,654,26,46,67,43,59,102,12,47,61,81,152,229,248,268,513,5405,5422,10828,747,741,1481,6400,6431,12825
LGA34880,547,1137,88,60,150,813,776,1596,103,124,225,104,91,198,21,23,41,228,238,470,623,649,1270,9065,8988,18047,2401,1138,3535,12089,10775,22858
LGA35010,10054,19409,619,698,1320,12662,14060,26718,1481,2890,4368,1586,1781,3363,286,493,776,3353,5164,8506,16676,17063,33740,203177,215335,418514,12982,11099,24081,232835,243497,476340
LGA35250,7,15,0,4,4,9,16,24,0,6,6,0,0,0,0,0,0,0,6,0,12,25,35,416,438,859,63,68,133,491,531,1025
LGA35300,134,309,24,28,53,244,227,473,21,31,56,24,17,38,7,13,19,52,61,114,296,311,609,8303,7941,16237,1058,819,1877,9657,9071,18727
LGA35600,90,149,15,3,20,94,115,209,24,36,57,14,21,35,11,8,20,49,65,111,127,124,245,1537,1693,3231,251,245,492,1915,2062,3971
LGA35670,4,8,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,9,14,336,343,677,91,93,186,435,445,883
LGA35740,1947,3977,154,178,331,2514,2521,5032,208,419,630,361,382,746,77,168,241,646,969,1611,1461,1716,3176,24084,25524,49605,1796,1722,3511,27341,28962,56298
LGA35760,291,638,47,38,85,485,425,915,56,76,135,57,61,119,14,19,32,127,156,291,438,375,810,4065,4040,8105,593,558,1150,5096,4973,10068
LGA35780,5,5,4,4,3,13,13,23,0,0,3,0,0,0,0,0,0,0,0,3,25,27,51,1116,1213,2330,211,192,400,1352,1432,2781
LGA35790,4,15,0,0,0,7,8,19,0,0,0,0,0,0,0,0,0,0,0,0,33,35,70,918,990,1903,62,69,127,1013,1094,2098
LGA35800,31,83,3,6,5,58,46,110,5,10,14,5,10,13,3,0,4,13,20,33,46,55,103,732,748,1478,51,50,100,829,853,1679
LGA36070,0,5,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,16,13,24,246,264,508,51,29,81,313,306,611
LGA36150,6,18,0,0,0,13,9,28,4,3,3,0,0,4,0,0,0,4,3,13,20,14,31,312,305,614,21,24,48,353,343,698
LGA36250,4115,7887,239,268,505,4933,5520,10448,592,1279,1868,756,821,1583,125,218,346,1473,2318,3799,5081,5508,10591,69450,72926,142374,3197,3061,6259,77728,81495,159222
LGA36300,7,15,11,3,12,25,13,34,0,3,3,0,0,0,0,3,4,0,6,6,10,11,22,311,305,615,71,54,129,392,370,761
LGA36370,1576,2941,139,156,290,1953,2398,4352,315,649,969,315,355,671,70,75,142,700,1079,1776,2985,3196,6180,33925,35518,69444,3577,2762,6342,40487,41476,81968
LGA36510,1121,2297,112,97,207,1525,1500,3029,144,262,399,217,220,434,59,75,132,420,557,971,1460,1451,2912,18123,18833,36954,1685,1434,3118,21268,21718,42984
LGA36580,549,1176,66,69,138,862,774,1639,60,98,159,77,84,161,17,21,35,154,203,351,1104,972,2072,10585,10614,21197,960,825,1788,12649,12411,25057
LGA36630,908,1922,136,110,244,1432,1296,2732,138,244,380,184,182,363,27,47,72,349,473,820,1689,1599,3287,13216,13441,26659,1591,1459,3046,16496,16499,32996
LGA36660,1103,2269,114,116,224,1516,1555,3068,164,304,471,214,230,444,37,54,96,415,588,1004,1380,1498,2881,15020,15554,30574,1458,1384,2839,17858,18436,36290
LGA36720,9619,18391,620,691,1312,11372,12797,24171,1537,2747,4289,1857,2030,3893,333,555,886,3727,5332,9058,10091,11123,21211,145027,157614,302650,9550,9142,18683,164668,177879,342541
LGA36820,763,1594,99,98,196,1098,1056,2153,111,180,290,146,157,304,49,72,121,306,409,715,846,850,1698,10758,11153,21910,1354,1287,2638,12958,13290,26244
LGA36910,4382,8221,289,394,682,5147,6112,11264,686,1429,2116,817,1023,1840,157,270,424,1660,2722,4381,5758,6429,12181,73086,78259,151343,4980,4697,9678,83824,89385,173204
LGA36950,20,34,0,0,0,32,29,62,5,0,7,0,0,4,0,0,0,5,0,10,57,56,111,1510,1546,3055,140,118,251,1707,1720,3421
LGA36960,15,32,3,7,8,36,46,65,3,4,9,0,5,5,0,0,0,3,9,9,62,80,142,1825,1853,3672,157,145,306,2044,2078,4124
LGA37010,2964,5729,261,278,546,3886,4378,8268,425,937,1368,443,569,1010,96,172,268,964,1678,2647,5684,5686,11362,81243,84224,165472,9291,6646,15939,96218,96556,192768
LGA37300,10,13,3,0,7,13,14,31,0,6,4,5,0,5,0,0,0,5,6,10,40,41,84,1823,1672,3497,294,227,518,2157,1940,4100
LGA37310,679,1319,83,89,172,876,948,1827,90,187,280,117,143,261,33,46,82,240,376,625,1130,1054,2182,14131,14076,28210,1902,1546,3456,17163,16676,33843
LGA37340,557,1230,99,70,168,968,820,1789,83,163,247,101,122,220,20,18,37,204,303,503,959,918,1876,15709,15269,30973,2458,1849,4307,19126,18036,37152
LGA37400,22,59,9,10,18,47,39,87,0,0,3,6,5,12,0,3,3,6,8,19,19,26,45,438,463,905,89,92,178,546,581,1129
LGA37550,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,15,40,414,486,897,41,44,89,472,545,1019
LGA37570,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,102,123,226,25,24,51,127,151,276
LGA37600,15,22,4,0,3,11,21,31,0,3,3,0,0,0,0,0,0,0,3,5,39,46,86,1118,1167,2289,57,66,129,1214,1279,2505
LGA39499,118,340,38,17,62,281,158,444,5,9,19,9,7,16,5,3,11,19,19,44,421,371,793,5326,4993,10318,2113,1442,3558,7860,6806,14670
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,9,44,110,24,130,153,33,183
LGA40070,484,922,45,33,84,536,599,1140,59,134,192,73,90,161,23,54,73,155,278,425,409,443,850,11167,10936,22102,1195,879,2076,12771,12258,25026
LGA40120,960,1978,62,55,118,1203,1182,2391,110,212,321,181,203,388,24,33,56,315,448,768,748,792,1540,18614,18999,37610,918,816,1729,20280,20607,40879
LGA40150,144,290,18,15,34,212,201,405,20,34,52,22,16,35,7,4,15,49,54,98,342,246,593,4408,4175,8584,386,278,661,5136,4699,9835
LGA40220,1206,2483,76,70,146,1562,1559,3130,166,307,470,230,189,415,20,44,62,416,540,941,1053,1215,2270,12210,12795,25003,756,695,1458,14019,14705,28730
LGA40250,3,3,0,4,4,16,18,24,0,4,6,3,0,3,4,0,3,7,4,17,40,67,104,901,1046,1951,125,151,279,1066,1264,2333
LGA40310,724,1422,30,41,71,856,906,1760,100,213,310,145,167,310,15,36,48,260,416,671,706,757,1470,11128,11420,22555,517,527,1047,12351,12704,25066
LGA40430,105,213,11,17,24,151,161,309,15,36,54,16,28,47,0,3,9,31,67,107,132,145,276,1095,1041,2137,105,99,201,1332,1285,2619
LGA40520,288,544,16,26,45,338,409,748,60,106,165,79,86,166,7,16,33,146,208,358,429,484,915,4491,4485,8969,299,302,601,5219,5271,10484
LGA40700,1580,3010,44,63,108,1669,1959,3628,222,524,752,329,475,803,24,32,51,575,1031,1609,904,1293,2196,20539,22223,42764,548,530,1074,21991,24046,46030
LGA40910,1660,3010,55,106,161,1750,2354,4101,339,681,1025,380,395,773,48,87,138,767,1163,1929,1519,1988,3509,24174,25319,49491,903,896,1801,26596,28203,54800
LGA41010,71,156,3,4,5,101,89,192,11,13,19,11,11,25,0,3,3,22,27,53,72,62,132,1558,1515,3071,152,148,302,1782,1725,3505
LGA41060,2939,5519,135,144,282,3453,4292,7749,716,1456,2173,660,751,1414,48,98,151,1424,2305,3732,3723,4866,8586,53384,55338,108722,2296,2242,4539,59403,62446,121840
LGA41140,289,579,12,22,35,351,389,741,47,73,125,58,58,112,11,15,18,116,146,260,265,309,578,3994,4079,8073,270,269,538,4529,4657,9187
LGA41190,52,102,9,7,10,64,66,127,8,19,28,11,10,23,3,8,10,22,37,58,34,54,88,794,725,1523,78,61,136,906,840,1742
LGA41330,28,115,25,8,35,128,42,171,9,3,6,9,0,8,5,3,15,23,6,29,53,37,90,684,504,1188,167,129,298,904,670,1566
LGA41560,614,1230,55,53,109,795,801,1599,75,142,217,108,129,235,32,43,73,215,314,527,682,660,1344,6217,6484,12697,547,462,1009,7446,7606,15050
LGA41750,22,42,0,3,3,32,29,56,0,5,3,8,3,14,0,0,0,8,8,20,30,27,49,463,409,878,53,37,87,546,473,1014
LGA41830,58,105,14,8,18,81,81,149,9,19,24,14,3,18,0,0,3,23,22,52,68,64,137,650,695,1346,87,75,161,805,834,1646
LGA41960,46,82,7,3,16,49,52,103,7,11,16,6,3,11,0,5,5,13,19,35,47,38,83,547,519,1069,77,62,134,671,619,1293
LGA42030,760,1357,28,42,71,796,1057,1852,135,275,407,181,196,374,18,31,46,334,502,831,1045,1134,2177,10532,11266,21799,498,521,1022,12075,12921,24988
LGA42110,120,250,12,12,26,167,166,334,15,36,46,24,23,47,5,6,8,44,65,107,165,167,329,1739,1672,3416,157,165,321,2061,2004,4060
LGA42250,140,303,43,30,77,238,200,438,11,14,28,31,34,60,11,34,41,53,82,133,186,136,325,3609,3421,7032,951,329,1279,4746,3886,8636
LGA42600,1338,2496,62,75,131,1410,1696,3105,225,553,773,273,432,709,16,44,61,514,1029,1548,1033,1417,2448,16233,17546,33779,656,656,1312,17922,19619,37543
LGA42750,140,314,22,18,41,210,189,403,12,16,31,33,26,64,10,20,31,55,62,119,117,97,213,2187,2075,4258,230,194,422,2534,2366,4894
LGA43080,30,58,4,9,11,34,42,75,4,12,19,10,12,21,0,0,0,14,24,41,43,38,85,451,382,839,50,36,84,544,456,1007
LGA43220,31,64,4,6,11,41,37,82,9,11,20,9,8,16,0,6,5,18,25,39,27,26,55,471,436,912,35,37,75,533,499,1037
LGA43360,100,198,7,9,15,107,125,236,12,27,35,31,17,44,0,5,5,43,49,86,61,70,137,1042,1018,2064,69,57,129,1172,1145,2326
LGA43650,288,546,16,12,33,327,361,697,36,63,97,55,43,98,10,5,15,101,111,211,437,379,819,7120,7138,14256,381,331,715,7938,7848,15792
