LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA10800,20,9,40,51,3,3,9,125,105,228,44,42,81,0,0,0,5,9,5,23,57,84,4,0,4,72,107,184,38,23,63,0,0,0,0,0,0,23,86,108,5,3,0,72,115,176,1124,1127,2252,77,72,151,182,162,342,92,271,362,756,596,1349,2232,2223,4458
LGA10850,42,12,45,63,10,3,15,144,151,291,69,27,99,4,0,4,5,3,13,15,53,68,3,0,3,95,90,185,36,20,53,6,0,6,5,8,11,30,64,97,0,0,0,69,94,165,1470,1475,2943,111,101,214,282,321,600,101,252,353,989,876,1870,2949,3030,5977
LGA10900,563,124,469,589,126,134,258,1511,1826,3339,529,385,915,32,27,53,92,160,254,131,427,555,65,68,135,847,1069,1921,367,189,552,7,9,19,54,111,163,178,723,896,46,77,127,657,1108,1763,15487,15590,31074,860,1078,1941,2597,4335,6930,749,2534,3274,11213,10051,21264,30905,33588,64491
LGA10950,19,3,21,30,8,0,8,52,60,117,25,14,36,0,0,0,3,0,4,9,31,39,9,3,10,40,51,91,12,11,19,0,0,0,0,0,0,7,35,40,3,0,8,31,39,71,445,432,875,33,45,78,80,67,143,35,127,167,409,313,725,1008,980,1988
LGA11150,6,8,11,17,4,0,4,34,34,67,15,8,23,0,0,0,3,0,3,4,13,19,0,0,0,21,26,46,6,3,13,0,0,0,0,0,0,3,15,22,0,0,4,14,22,34,379,359,739,33,32,64,48,63,111,34,78,103,403,395,798,898,921,1820
LGA11200,3,5,6,9,8,3,3,24,16,38,0,0,3,0,0,0,0,0,0,4,7,6,5,0,5,5,7,18,0,0,0,0,0,0,0,0,0,3,10,12,0,0,0,8,14,17,151,149,297,16,23,39,32,18,50,23,38,65,297,322,624,528,551,1080
LGA11250,125,36,147,183,20,14,37,328,418,746,136,122,258,7,5,16,21,23,48,39,156,197,11,10,21,215,316,527,102,53,156,8,5,9,9,24,34,77,298,376,8,6,12,205,388,590,2738,2766,5512,290,317,610,723,840,1565,259,939,1195,3059,2658,5714,7073,7516,14592
LGA11300,91,20,178,203,58,48,111,465,581,1037,263,188,451,10,3,15,32,36,66,45,262,310,42,36,78,391,529,922,284,110,392,12,11,23,17,24,38,116,486,607,27,82,111,461,718,1177,7728,7758,15481,396,492,889,965,1463,2429,265,1316,1579,7949,7082,15029,17309,18109,35414
LGA11350,251,47,138,180,41,24,66,543,515,1053,143,100,245,9,0,10,48,53,106,39,149,190,13,9,23,256,319,579,98,54,153,3,4,7,22,37,64,83,270,350,11,5,21,212,370,584,5302,5328,10632,444,505,949,1661,2232,3892,275,913,1198,6699,6929,13624,14389,15912,30299
LGA11400,66,35,87,126,14,10,27,302,295,598,118,89,204,4,6,5,18,15,28,35,76,112,13,7,20,175,192,366,70,35,105,3,0,6,10,8,17,42,156,197,4,8,14,132,204,331,2954,3004,5957,174,155,330,488,452,938,194,535,724,1612,1403,3014,5424,5551,10970
LGA11450,227,90,334,417,32,21,54,999,1095,2085,428,286,713,23,6,22,38,68,106,107,371,477,10,12,24,604,744,1343,245,108,359,6,0,11,23,52,72,131,608,737,23,22,43,428,793,1220,23897,24043,47941,1218,1702,2916,2384,3907,6289,637,2417,3057,15017,14007,29020,43153,46073,89228
LGA11500,577,229,749,981,96,73,166,1970,2196,4169,785,438,1221,38,19,53,98,183,281,211,669,886,35,42,78,1170,1355,2523,355,181,532,26,22,42,57,99,156,221,939,1161,22,38,56,679,1271,1953,32897,33063,65966,2454,3098,5547,4206,6538,10749,1330,4800,6129,25935,23334,49269,66824,70834,137653
LGA11520,306,83,435,523,70,82,148,1241,1484,2725,681,407,1092,20,18,40,60,90,152,98,528,627,47,72,114,908,1115,2020,523,249,774,8,13,20,28,66,95,240,991,1226,33,68,103,836,1380,2219,18638,18787,37426,800,1028,1826,2286,3634,5917,656,2842,3503,13351,13054,26400,35730,39347,75074
LGA11570,1044,432,1725,2157,310,251,558,4810,5124,9929,2461,1510,3970,102,70,168,267,280,543,462,2133,2591,163,132,293,3451,4123,7576,2094,933,3024,50,36,90,164,231,392,1016,3592,4614,114,134,249,3441,4933,8374,74257,72586,146840,4893,6164,11053,10164,14617,24779,2915,12136,15050,55816,43991,99807,148038,149488,297532
LGA11600,10,4,13,11,4,0,4,35,36,68,25,16,35,0,0,0,3,0,3,8,14,20,0,0,5,31,28,57,12,5,17,0,0,0,0,0,0,5,31,35,0,0,0,22,37,56,543,500,1041,44,35,77,92,78,167,38,98,137,525,354,876,1245,1052,2304
LGA11650,2474,734,2320,3056,380,325,711,7100,8139,15241,3108,2112,5221,122,81,201,527,780,1308,798,2551,3350,191,195,380,4747,5712,10463,2100,1104,3200,63,37,97,250,577,830,1345,4709,6046,175,196,369,3929,6619,10545,63243,63441,126684,5083,6180,11261,12709,19096,31805,4353,14409,18759,50403,45333,95737,135785,148463,284248
