LGA_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
LGA25900,7,0,0,14,42,0,10,4,5,53,72,0,19,0,0,101,32,3,4,0,3,51,118,0,19,6,7,146,584,3,81,11,5,679,1650,8,276,22,10,1972,1643,16,347,14,10,2029,901,23,295,22,14,1251,453,5,245,33,9,751,228,26,183,27,4,467,135,16,158,21,3,338,211,57,288,61,22,642,123,6,53,3,15,201,6217,162,1977,218,124,8691
LGA25990,0,0,0,0,8,4,5,0,0,11,6,0,6,6,0,20,12,0,0,0,0,13,17,0,17,0,3,29,16,0,9,0,0,30,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,7,73,6,41,6,11,131
LGA26080,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,14,17,0,15,3,0,32,7,0,11,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,43,5,30,5,3,92
LGA26170,0,0,0,9,8,0,0,0,0,19,27,4,12,0,3,45,28,0,17,0,0,45,56,4,31,7,12,102,74,5,82,8,17,186,54,8,62,13,3,134,11,0,7,0,0,15,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,0,0,10,25,0,21,4,0,47,292,30,246,30,41,639
LGA26260,0,0,0,11,15,0,14,0,0,27,26,6,22,0,7,57,22,0,26,0,0,48,46,0,39,0,3,88,38,5,56,0,3,104,16,5,24,4,0,51,6,0,8,0,3,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,12,0,0,25,198,20,197,6,26,439
LGA26350,0,0,0,7,27,0,8,0,5,37,76,0,9,3,0,90,42,0,8,0,5,52,114,5,22,0,4,141,524,5,56,3,9,603,1510,3,242,15,6,1777,1255,3,263,16,17,1559,808,14,226,21,12,1076,429,5,163,25,12,640,232,15,151,20,12,435,114,14,114,18,16,269,184,62,277,64,27,613,102,8,38,10,6,164,5410,137,1576,211,135,7472
LGA26430,0,0,0,3,4,0,0,0,0,3,10,0,4,0,4,17,7,0,9,0,0,24,23,0,14,0,4,46,34,0,31,5,4,70,24,8,18,0,0,52,6,0,8,0,0,16,0,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,15,125,8,102,10,12,262
LGA26490,0,0,0,0,11,0,3,0,0,15,22,4,0,0,0,28,4,0,4,0,0,11,13,0,18,0,0,39,40,6,24,3,0,71,95,4,71,15,8,192,146,16,136,18,16,335,88,23,164,14,10,296,19,5,45,5,4,78,10,6,27,0,0,41,3,0,3,0,0,14,0,0,3,0,0,3,26,0,15,0,5,43,482,65,512,58,47,1171
LGA26610,6,0,0,21,27,0,29,3,0,57,61,7,38,0,9,117,44,4,27,3,5,87,90,3,68,6,11,184,81,11,74,4,12,179,40,10,58,9,4,122,11,0,16,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,18,0,9,62,414,39,338,30,52,868
LGA26670,0,0,0,0,11,0,3,0,0,16,9,0,7,0,0,18,6,0,9,0,0,18,16,0,16,0,0,41,12,0,15,0,0,32,0,0,8,0,0,10,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,71,10,60,3,5,154
