LGA_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
LGA16150,8,82,5,10,6,0,106,0,219,14,8,4,0,249,106,216,25,75,13,6,438,421,203,20,111,10,3,765,279,66,4,88,19,0,451,651,42,4,124,13,0,836,686,4,0,95,12,0,806,414,0,0,51,4,3,472,117,0,0,12,7,0,146,21,4,0,5,3,0,34,22,0,0,0,0,0,20,12,0,0,3,0,0,17,12,0,0,0,0,0,17,8,0,0,0,9,0,18,69,77,10,47,30,5,240,2832,913,88,637,129,26,4621,4,41,0,6,0,0,60,3,39,10,3,3,0,59,39,266,23,37,5,5,376,241,187,16,66,8,0,530,277,75,9,90,3,6,458,643,69,10,130,13,6,869,984,58,3,169,14,6,1232,813,17,3,112,13,0,958,95,3,0,25,3,0,127,21,0,0,9,0,0,27,0,0,0,0,3,0,5,0,0,0,0,0,0,7,0,0,0,0
LGA16200,0,43,15,19,13,0,87,16,83,18,15,0,0,136,144,63,24,114,32,0,386,198,45,7,106,17,0,382,62,0,0,45,4,0,110,125,0,0,23,4,0,156,73,3,0,12,3,0,89,24,0,0,11,0,0,37,6,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,14,20,4,18,13,0,73,666,255,71,375,93,11,1478,0,15,8,10,10,0,40,6,10,15,6,5,0,42,71,95,22,61,7,4,262,126,42,16,93,12,4,298,86,10,3,82,4,5,198,145,14,4,83,4,5,263,170,6,0,67,8,0,247,29,0,0,27,4,0,56,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA16260,10,473,37,19,13,0,549,10,1076,50,16,26,6,1189,36,741,186,105,33,3,1100,144,416,115,188,66,9,933,161,135,38,168,101,3,607,602,169,43,277,94,7,1191,3330,188,41,654,119,21,4360,6950,122,21,846,76,39,8047,2962,12,7,404,24,15,3430,953,8,0,133,15,0,1108,274,0,4,44,9,0,331,120,10,0,20,3,3,155,40,0,0,9,0,0,50,76,3,0,18,4,3,100,280,231,65,213,44,67,903,15940,3595,609,3116,624,175,24053,12,235,20,6,4,0,278,9,193,26,10,0,4,245,41,1316,85,64,28,16,1551,66,550,157,139,34,14,964,99,253,46,138,30,3,562,234,250,61,182,223,9,948,1063,196,68,369,100,6,1807,7342,211,56,965,126,19,8733,7896,84,13,867,73,28,8965,3608,25,3,442,22,6,4106,1049,4,5,165,16,4,1248,421,0,3,79,0,0,507,178,0,0,40
LGA16350,14,261,20,22,8,3,330,0,672,18,20,3,3,721,42,503,68,113,21,7,750,287,386,56,236,55,12,1030,520,164,40,311,76,5,1114,1254,268,36,541,46,12,2150,3815,158,26,879,55,24,4961,2620,32,6,450,38,14,3157,459,3,5,68,7,0,540,115,4,0,26,3,0,147,26,0,0,3,0,0,31,19,3,0,4,0,0,25,7,5,0,0,0,0,18,30,0,0,14,0,0,50,176,177,19,147,38,35,589,9383,2644,294,2838,357,107,15622,6,122,6,11,5,0,148,0,98,16,6,4,0,129,14,813,22,56,15,5,931,73,466,107,103,8,5,767,128,218,40,130,7,0,526,624,198,44,252,83,11,1208,2256,262,63,564,42,15,3205,6377,240,30,923,65,33,7669,2387,19,7,328,28,7,2782,681,6,0,76,4,0,764,128,4,0,30,9,0,169,45,0,0,8,0,0,61,14,0,0,4
LGA16380,13,64,15,19,11,0,119,8,295,31,22,20,8,383,95,197,42,131,82,3,549,524,141,34,248,100,10,1052,396,71,8,228,40,3,741,929,39,14,314,34,3,1338,1328,21,12,372,35,3,1768,913,0,0,165,23,0,1107,171,3,0,26,7,0,215,30,3,0,9,0,0,42,21,0,0,9,4,0,29,0,0,0,6,0,0,4,0,0,0,0,0,0,3,12,0,0,9,3,0,32,60,55,21,73,45,19,272,4510,884,179,1628,396,47,7648,5,39,5,10,18,0,80,0,28,20,11,7,0,74,18,378,24,73,55,4,561,116,186,46,139,64,11,563,192,95,21,145,32,0,481,605,73,19,266,35,6,1000,1284,94,19,373,38,9,1821,1901,21,8,343,30,5,2308,618,0,5,88,6,3,719,171,0,0,23,7,0,195,28,0,0,11,0,0,44,13,0,0,5,4,0,18,6,0,0,0
LGA16400,10,75,9,11,8,3,112,7,226,32,12,37,5,308,69,193,45,86,61,8,469,276,122,25,161,156,0,746,324,60,8,154,223,7,762,821,106,0,228,105,9,1269,1225,14,4,214,42,3,1503,717,6,0,122,10,0,856,142,0,0,23,3,0,166,34,0,0,5,5,0,50,18,0,0,0,0,0,24,0,0,0,4,0,0,6,5,0,0,0,0,0,7,23,0,0,10,3,0,39,65,41,22,42,46,9,222,3721,842,146,1086,706,34,6538,4,28,5,12,3,0,47,3,25,15,10,0,0,51,20,265,38,56,49,7,425,77,142,52,73,44,3,391,131,65,6,114,44,0,367,408,113,10,163,323,8,1033,1181,40,8,284,102,8,1628,1475,4,0,239,34,5,1765,465,0,0,68,13,0,543,106,0,0,16,4,0,128,27,0,0,8,5,0,45,8,0,0,0,0,0,12,3,0,0,0
LGA16490,6,55,9,17,10,3,100,0,166,11,9,13,0,198,45,154,31,56,16,3,303,244,97,17,121,46,7,527,260,34,5,86,60,0,439,393,43,11,130,130,3,709,608,75,4,219,130,4,1031,678,36,0,254,48,4,1014,293,0,0,96,21,0,413,116,0,0,39,6,0,162,41,0,0,11,4,0,56,12,0,0,4,0,0,13,0,0,0,0,0,0,0,13,0,0,9,6,0,23,44,48,8,48,36,10,184,2753,707,94,1086,509,28,5180,0,21,0,9,5,5,37,5,27,0,5,7,0,39,20,180,9,37,17,0,264,263,131,39,95,18,3,544,337,54,13,69,16,4,491,498,57,8,138,117,5,822,640,49,9,208,161,0,1066,940,68,4,263,50,0,1330,375,8,0,145,13,0,545,177,3,0,38,7,0,228,60,0,0,16,3,0,79,16,0,0,7,0,0,31,8,0,0,0
LGA16550,19,427,22,21,3,0,485,10,1124,30,7,15,6,1190,47,549,104,54,27,4,784,113,345,56,99,31,0,641,109,84,12,105,80,0,387,265,98,20,177,74,4,639,997,93,20,346,49,4,1505,3612,76,4,736,35,12,4479,3989,49,6,712,25,11,4792,2129,13,0,392,20,4,2558,1137,8,0,243,6,4,1393,534,8,4,121,3,5,677,294,0,3,74,7,0,377,482,0,3,133,13,3,638,230,243,31,192,31,41,763,13966,3113,307,3415,409,109,21319,23,196,6,15,9,0,242,7,171,18,4,3,0,201,30,1392,23,31,7,8,1493,67,462,72,73,6,5,693,84,203,16,90,12,0,407,167,140,28,138,61,5,538,372,129,34,195,74,5,808,1540,94,92,398,87,11,2219,3741,62,28,571,47,15,4465,4172,27,6,565,43,11,4827,2460,15,7,428,20,4,2941,1284,6,3,232,16,0,1536,732,4,0,143
LGA16610,0,26,10,13,10,3,60,0,67,12,19,3,0,101,77,69,36,82,43,3,304,230,60,23,115,35,3,468,129,25,3,104,19,3,282,347,11,6,138,22,3,520,306,6,0,86,19,5,419,54,0,0,15,7,0,77,12,0,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,5,4,0,19,18,11,20,29,19,10,103,1183,273,112,597,181,31,2382,3,12,7,10,11,0,39,0,8,5,8,0,0,20,23,69,13,49,25,3,189,168,74,50,86,25,3,402,129,34,15,85,10,4,273,334,39,7,167,22,6,576,456,6,4,148,22,0,642,135,5,0,34,7,3,177,32,0,0,4,0,0,33,3,0,0,0,3,0,8,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,0,0,0
LGA16700,17,186,21,14,4,0,235,11,471,26,10,6,0,525,40,287,111,63,7,5,517,56,187,57,97,35,6,430,83,48,19,77,59,4,291,394,53,41,147,30,0,668,1824,53,18,308,20,6,2229,3172,41,8,476,38,7,3753,1607,26,9,290,30,3,1964,756,3,10,138,4,12,921,276,0,3,86,12,6,380,102,4,8,38,0,0,153,53,0,0,9,0,0,67,71,0,0,22,4,3,101,143,91,39,134,33,29,463,8608,1452,371,1920,276,79,12700,15,75,3,6,0,0,98,8,64,10,6,4,4,93,32,501,55,48,4,4,642,37,236,61,102,7,7,459,47,122,20,69,15,3,272,104,93,30,113,70,3,420,584,76,32,181,20,8,896,3285,44,24,453,39,3,3851,3230,31,15,482,33,4,3799,1920,23,3,288,18,6,2263,1112,4,3,164,10,5,1291,396,4,4,80,7,3,488,192,0,0,30
LGA16900,4,124,4,8,0,0,149,0,406,9,8,3,0,430,47,393,14,47,30,6,529,213,264,21,132,21,8,660,205,95,7,147,13,3,477,431,210,11,205,17,8,885,953,72,5,275,30,8,1340,709,9,3,172,9,3,902,169,3,0,24,8,0,200,26,0,0,3,0,0,28,10,6,0,0,0,0,10,0,6,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,5,0,0,20,38,105,6,39,11,7,201,2831,1686,84,1072,143,40,5849,6,44,0,9,0,0,59,3,44,4,3,0,0,54,8,526,4,18,18,9,587,38,353,18,43,23,7,484,70,149,14,76,4,0,308,243,116,21,99,8,5,494,572,204,13,205,19,7,1018,1394,92,12,339,25,9,1862,723,10,0,84,4,0,818,246,0,0,22,0,0,274,34,0,0,3,6,0,41,7,0,0,0,0,0,7,3,0,0,0
LGA16950,17,122,26,26,14,5,204,10,257,27,30,36,3,365,199,347,96,236,70,6,958,605,271,61,423,118,15,1492,621,111,21,328,150,4,1242,1335,84,23,398,94,11,1950,1226,20,13,251,42,5,1565,423,5,3,78,19,3,537,27,0,4,23,5,0,56,12,0,0,11,0,0,25,5,4,0,8,4,0,16,5,0,0,6,0,0,14,3,0,0,4,6,0,5,24,0,0,16,3,0,48,67,56,22,87,50,10,292,4584,1292,287,1938,614,61,8765,15,42,6,22,9,0,87,9,55,23,16,10,0,111,36,349,34,102,54,12,578,278,322,98,222,71,13,991,274,116,40,225,42,9,707,791,172,35,384,213,10,1612,1936,118,35,538,90,24,2738,1416,24,8,297,44,11,1799,205,0,0,48,22,0,274,35,0,0,17,4,0,55,20,4,0,9,0,0,36,6,0,0,5,4,0,17,3,0,0,0
LGA17000,8,34,0,13,7,0,62,8,99,0,5,5,4,118,18,104,3,34,17,0,173,79,40,0,34,36,0,184,72,25,0,35,39,0,167,186,43,0,36,36,3,303,329,8,0,62,15,0,411,387,0,0,37,9,0,431,71,0,0,11,9,0,90,13,0,0,0,0,0,13,10,0,0,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,40,28,7,21,25,8,115,1226,367,10,288,192,12,2103,0,17,0,7,6,0,32,4,20,0,8,0,0,32,13,109,0,25,7,0,153,97,77,0,26,20,4,227,91,22,0,25,8,0,150,222,17,0,33,61,0,332,459,30,0,66,25,3,578,384,3,0,39,7,0,436,75,0,0,18,7,0,103,12,0,0,3,0,0,14,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0
LGA17040,0,7,0,31,17,0,58,17,35,3,21,12,6,93,117,21,11,114,37,4,297,144,34,3,124,29,3,337,113,4,0,72,9,0,198,170,10,0,62,9,0,242,109,0,0,38,15,5,163,73,0,0,29,8,0,109,16,0,0,13,9,0,39,22,0,0,4,3,0,42,6,0,0,4,9,0,23,18,0,0,10,0,0,27,7,0,0,4,4,0,11,83,0,0,24,23,0,132,32,0,3,44,27,3,107,929,116,34,589,193,18,1885,6,6,0,14,18,0,37,7,6,7,20,7,0,42,63,24,14,57,19,3,174,142,13,8,99,26,5,296,105,9,6,91,21,0,231,221,22,3,103,11,0,361,174,3,0,68,17,0,267,139,0,0,47,14,0,206,32,0,0,9,3,0,41,19,0,0,7,10,0,33,14,0,0,11,8,4,34,12,0,0,3,6,0,20,20,0,0,5
LGA17080,0,23,9,27,53,8,116,8,51,0,26,12,0,92,83,52,9,106,29,4,286,185,68,0,100,23,3,382,110,9,0,51,10,0,172,108,0,0,36,7,3,155,80,0,0,15,0,0,98,11,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,5,0,0,3,0,0,14,14,14,0,18,16,6,63,597,210,18,383,154,26,1395,9,13,11,17,13,0,59,0,7,5,9,7,0,38,42,48,5,69,17,6,184,157,49,7,110,21,6,346,93,23,0,54,12,0,181,135,10,0,46,3,0,191,122,3,0,32,5,0,165,35,3,0,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA17100,0,44,3,8,0,0,64,0,170,21,3,0,0,197,13,72,21,11,0,0,116,22,58,13,18,4,0,116,32,15,3,26,5,0,79,60,18,8,31,0,0,116,382,18,6,83,10,0,489,1183,19,4,145,23,6,1383,789,7,3,92,12,6,899,238,0,0,38,4,0,287,80,0,0,10,0,0,96,28,0,0,8,0,0,36,18,0,0,0,0,0,19,23,0,0,7,0,0,30,65,36,9,34,8,8,164,2935,464,93,505,64,30,4082,7,30,3,0,0,0,39,0,25,0,5,0,0,32,18,171,5,24,36,4,250,22,75,9,16,9,0,134,33,43,5,35,7,0,123,44,19,3,29,9,3,116,98,26,10,52,3,3,195,907,29,10,102,14,3,1061,1461,7,0,142,13,9,1642,761,0,3,87,6,3,868,271,0,0,35,0,0,311,144,0,0,23,0,0,169,67,0,0,18
LGA17150,15,204,18,18,0,6,257,0,586,43,14,8,0,654,16,303,125,72,15,0,539,65,224,64,127,78,8,567,131,81,36,146,109,5,508,455,79,23,232,66,4,860,1749,99,8,521,52,17,2448,3861,56,11,671,54,10,4671,2008,13,4,331,20,8,2380,971,4,0,154,9,3,1147,408,5,0,68,0,0,477,163,0,0,35,5,0,200,68,0,0,16,0,0,91,105,4,0,32,10,3,155,134,108,38,131,48,19,478,10159,1775,380,2564,478,81,15436,9,80,10,12,0,0,113,0,82,17,5,0,0,107,12,675,56,42,13,4,795,26,258,90,45,17,4,438,35,149,29,89,7,5,315,130,94,30,121,141,3,511,587,92,29,258,55,3,1017,3300,80,18,553,56,9,4005,3027,39,5,415,22,19,3522,1807,28,6,246,11,0,2105,1076,5,0,151,9,10,1253,485,0,0,64,3,0,555,212,0,0,29
LGA17200,36,1042,56,25,12,13,1180,7,2519,52,19,12,28,2638,102,1043,132,143,18,13,1453,245,569,96,239,36,8,1200,368,155,44,224,27,4,820,1030,209,94,341,35,6,1723,2530,199,145,715,63,15,3673,5201,146,64,1067,90,23,6584,6458,53,18,1121,67,28,7738,5488,33,9,920,56,29,6541,3395,31,17,562,40,17,4053,1792,24,3,379,29,8,2238,1047,8,3,225,9,10,1305,1384,3,0,369,26,8,1798,546,456,52,332,105,99,1590,29634,6491,785,6683,625,306,44522,38,484,34,16,9,5,579,6,393,36,13,10,0,463,56,2957,102,75,18,28,3243,129,788,172,170,33,13,1295,153,401,61,188,24,4,833,409,263,104,277,68,11,1124,1674,423,278,642,172,23,3212,3589,272,221,931,181,21,5221,6131,87,99,1033,71,11,7438,7619,55,22,1094,81,22,8895,6529,31,25,923,63,24,7595,4093,12,24,732,41,10,4912,2209,9,7,406
LGA17310,6,75,6,33,25,3,155,15,189,10,34,8,3,256,277,224,24,191,46,11,768,659,166,32,281,52,4,1198,440,95,4,200,34,3,769,808,27,8,222,29,3,1098,796,3,7,174,20,4,1015,270,0,0,58,10,3,341,30,0,0,8,5,0,41,5,0,0,0,0,0,10,0,4,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,7,0,0,21,52,50,11,46,50,15,230,3378,831,101,1261,286,59,5921,9,40,5,22,23,0,87,10,45,8,15,8,5,88,84,230,11,109,49,8,476,397,187,34,161,31,11,836,311,50,13,159,29,4,569,762,99,15,216,28,7,1126,1369,43,3,336,35,12,1795,838,12,3,143,20,0,1018,146,0,0,38,5,0,190,18,0,0,10,0,0,26,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,0,0,0
LGA17350,0,9,20,15,6,0,48,6,16,3,11,0,0,39,39,17,13,54,14,0,135,83,9,7,51,8,0,161,25,0,0,10,0,0,37,6,0,0,0,0,0,12,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,4,5,7,3,0,23,166,58,42,153,27,8,460,0,3,15,14,5,0,30,0,0,3,5,0,0,15,24,22,5,37,4,8,99,49,14,6,39,7,0,117,36,5,0,23,6,0,67,71,0,0,21,0,0,95,22,5,0,8,0,0,34,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17400,0,4,3,18,5,0,28,4,7,5,7,4,0,28,43,18,23,57,16,0,160,100,22,5,63,12,7,207,34,3,0,23,3,0,73,35,0,0,11,0,0,43,6,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,11,9,0,25,226,56,42,198,53,9,583,0,0,0,11,4,0,13,3,7,8,8,0,0,20,32,8,16,35,12,0,102,59,16,18,48,3,0,147,53,0,6,32,6,0,101,71,0,0,21,0,0,101,26,0,0,10,0,0,34,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17420,8,14,5,15,5,3,44,0,32,9,0,0,0,42,9,28,41,49,9,4,130,26,25,18,54,22,3,147,28,9,3,54,57,0,155,51,6,7,73,41,0,178,202,10,4,165,37,0,416,1145,9,7,272,20,8,1462,1520,3,0,195,5,10,1737,759,0,4,111,3,0,881,364,0,0,44,0,0,420,149,0,5,20,0,0,174,72,0,0,12,0,0,87,113,0,0,20,8,6,142,96,8,21,96,34,15,269,4538,145,120,1176,242,47,6269,3,5,4,8,6,0,20,0,11,0,0,0,0,10,8,29,35,16,0,0,89,3,26,29,41,3,0,101,10,11,8,32,4,5,75,35,7,7,39,64,0,165,91,14,0,91,53,0,250,394,11,10,190,25,0,630,1574,10,3,264,19,8,1872,2040,7,7,202,11,9,2267,1177,0,5,103,0,0,1294,435,0,7,68,3,4,515,230,0,0,30
LGA17550,11,70,6,32,7,0,123,10,312,17,22,8,9,369,64,220,53,188,122,5,642,184,127,22,311,119,11,776,218,29,15,285,43,4,595,665,48,11,406,48,13,1181,1631,29,15,689,74,18,2457,1612,17,10,480,64,10,2195,410,3,0,107,9,3,525,101,3,0,34,5,3,143,40,0,0,18,4,0,60,18,3,0,6,0,0,26,4,0,0,0,0,0,11,28,4,0,12,9,0,58,77,60,25,113,49,16,341,5059,926,179,2693,563,92,9509,6,27,4,18,5,0,51,0,22,8,9,4,5,55,19,391,9,86,40,10,548,97,182,48,166,98,11,605,103,79,10,210,53,6,463,397,52,16,287,68,10,836,1302,59,19,598,59,9,2054,1877,28,17,656,84,12,2681,875,6,0,247,27,7,1157,268,0,0,59,9,0,336,103,0,0,30,8,0,144,39,0,0,13,3,0,60,22,0,0,0
LGA17620,0,10,0,19,28,0,58,9,21,15,11,3,3,64,55,44,8,72,40,0,221,111,28,7,90,35,0,271,79,23,3,59,16,3,181,97,15,9,55,7,0,180,110,3,0,37,12,0,163,52,0,0,23,0,0,73,10,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,11,9,4,34,47,8,110,538,145,47,407,183,18,1334,0,5,0,9,10,0,22,0,8,6,7,5,0,21,32,17,10,46,12,3,119,63,47,4,57,17,0,197,87,23,3,43,11,3,166,186,28,3,80,16,0,314,176,7,0,65,4,0,254,70,0,0,31,0,0,104,16,0,0,7,3,0,26,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
LGA17640,0,0,7,10,9,0,28,0,0,3,18,6,0,30,13,5,5,39,7,3,68,40,5,5,37,8,0,90,32,0,0,23,0,0,54,21,0,0,18,4,3,40,17,0,0,11,0,0,19,5,0,0,5,0,0,8,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,13,8,3,25,119,15,20,174,38,7,377,0,0,4,6,7,0,14,0,0,4,10,0,0,15,11,3,11,21,8,0,48,15,4,0,25,3,0,55,29,3,0,27,3,0,62,49,4,0,28,3,0,82,39,0,0,33,0,0,69,8,0,0,6,0,0,11,4,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA17650,0,0,0,11,12,0,25,0,3,0,10,4,0,18,33,4,0,43,10,0,88,48,0,0,42,9,4,103,25,4,0,12,5,0,45,35,0,0,12,0,0,45,19,0,0,9,0,0,23,13,0,0,6,0,0,17,0,0,0,0,0,0,5,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,19,171,17,5,142,57,7,394,0,0,0,11,8,0,20,0,0,0,4,4,0,8,10,0,4,23,9,0,47,45,8,0,34,6,3,98,24,4,0,15,3,0,42,54,5,0,19,4,0,78,44,4,0,21,3,0,65,13,0,0,8,0,0,15,0,0,0,5,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
