LGA_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
LGA12900,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12,123,13,45,198
LGA12930,54,274,120,239,695,41,166,86,159,457,27,54,23,43,155,14,31,16,25,77,11,5,4,9,30,3,18,7,13,42,4,32,24,35,96,202,956,425,884,2470
LGA12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,8,72,9,17,108
LGA13010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,113,15,44,183
LGA13310,4,34,4,6,50,0,4,0,5,14,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,11,0,4,25,53,434,58,169,717
LGA13340,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,11,77,14,22,121
LGA13450,4,9,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,6,21,49,294,35,122,503
LGA13550,0,7,0,0,15,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,14,26,190,10,64,284
LGA13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,41,5,19,71
LGA13800,31,144,34,79,286,24,45,12,21,95,4,9,6,8,28,0,9,0,10,15,0,4,0,7,12,0,3,0,7,13,8,16,11,4,36,122,632,135,350,1240
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,16,48
LGA13910,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,3,15,33,230,27,81,372
LGA14000,36,206,90,117,457,37,127,79,74,319,35,90,52,35,211,17,34,20,23,96,6,10,8,0,27,0,13,6,12,28,4,11,15,22,51,169,671,339,427,1612
LGA14100,0,4,3,0,16,8,11,6,0,22,0,7,8,0,22,3,3,4,0,17,4,6,0,0,14,8,8,6,6,25,0,0,0,0,0,18,55,42,24,144
LGA14170,27,198,91,120,439,20,201,62,81,367,21,140,62,58,281,24,75,34,47,185,14,53,22,23,115,20,76,52,26,168,6,21,7,29,65,188,1162,479,715,2545
LGA14220,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,36,294,31,93,454
LGA14300,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,72,8,19,107
LGA14350,3,7,5,5,27,0,3,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,12,31,70,445,65,203,785
LGA14400,7,39,12,20,81,13,22,9,7,47,0,8,4,0,14,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,31,109,36,70,246
