SA3_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
10502,15,3,0,0,25,22,12,6,0,40,90,53,27,14,181,75,62,20,10,161,84,86,25,16,222,72,70,31,9,186,111,128,31,21,288,77,94,34,12,222,62,74,39,10,188,9,9,3,0,14,641,598,234,100,1573
10503,57,25,10,12,105,62,43,24,9,143,322,230,129,62,736,361,340,159,71,930,424,425,214,97,1168,312,342,179,49,887,419,472,233,79,1205,316,416,192,70,990,261,276,190,79,815,23,18,7,9,58,2626,2644,1368,545,7179
10601,77,34,15,10,139,89,56,30,15,189,493,289,123,62,968,517,508,221,89,1332,670,643,290,114,1715,487,635,256,82,1461,692,912,354,102,2068,559,832,345,95,1832,352,387,183,82,999,32,35,10,10,87,4039,4373,1841,666,10922
10602,39,23,20,11,90,63,34,22,10,132,369,257,101,40,768,501,469,218,75,1263,596,755,274,78,1707,571,652,282,57,1567,764,975,374,84,2193,572,928,376,107,1991,280,380,192,70,921,28,33,10,4,72,3846,4551,1867,550,10815
10603,40,39,12,8,103,82,40,18,8,153,372,247,98,61,787,388,348,150,51,937,444,486,187,72,1186,370,393,175,54,999,422,591,249,77,1328,340,455,198,75,1071,272,285,135,63,760,28,20,3,5,55,2823,2945,1246,473,7485
10604,22,9,8,4,40,23,16,6,5,52,125,94,60,25,303,143,136,64,21,365,152,191,84,27,454,136,156,83,24,398,182,266,137,29,614,169,232,120,30,555,122,138,72,32,360,14,4,4,0,23,1101,1268,646,206,3220
10701,62,42,23,15,131,79,53,38,18,185,399,298,129,67,891,448,445,194,66,1150,606,623,226,82,1527,489,590,214,68,1364,607,901,274,86,1875,411,804,280,67,1555,194,214,100,66,571,27,29,12,3,65,3377,4046,1512,544,9478
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,57,29,16,7,111,90,42,21,5,155,421,293,108,56,883,531,477,172,78,1260,667,764,275,79,1780,594,747,275,69,1696,834,1162,426,114,2534,617,1160,434,122,2336,295,340,192,73,902,34,38,16,5,86,4221,5103,1949,618,11890
10704,78,44,28,22,166,99,66,24,11,201,480,312,91,50,937,549,476,162,57,1245,724,775,240,49,1790,670,881,292,60,1903,1104,1614,514,101,3330,1237,2240,879,189,4544,308,390,174,65,940,30,41,12,5,86,5346,6892,2441,631,15310
10801,15,28,10,7,55,42,25,11,5,82,172,122,52,19,368,178,165,57,24,419,149,152,67,20,388,105,132,31,10,272,122,142,49,9,330,87,113,42,10,244,92,82,46,16,242,9,14,0,0,23,996,982,365,130,2468
10802,54,32,19,7,108,69,44,14,14,148,310,187,77,61,636,282,222,104,41,661,264,251,105,50,661,179,184,78,35,473,192,233,85,34,538,103,123,72,20,316,125,123,78,43,367,23,19,5,6,51,1649,1441,645,320,4057
10803,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,3,0,0,0,4,3,0,0,0,5,0,3,0,0,9,0,4,0,0,6,0,0,0,0,6,0,4,0,0,9,0,0,0,0,0,22,14,5,0,37
10804,59,29,9,7,98,91,46,25,15,180,460,285,122,45,905,428,405,161,62,1055,493,490,207,77,1267,414,502,166,53,1136,466,669,204,82,1416,342,557,248,55,1199,235,239,111,48,632,23,22,14,0,57,3051,3282,1280,452,8066
10805,44,40,24,14,112,75,39,23,24,162,346,241,101,55,748,303,304,126,39,770,304,313,134,60,806,217,208,98,30,555,220,257,114,26,617,121,174,62,22,383,153,156,85,40,434,31,9,6,10,55,1879,1773,783,318,4753
10901,32,32,7,3,74,51,51,10,12,119,297,214,93,47,653,383,363,141,58,936,424,456,172,67,1114,335,399,160,34,928,408,555,263,78,1299,278,442,226,53,996,187,208,124,66,576,27,13,5,3,50,2442,2745,1211,426,6832
10902,10,8,3,0,23,15,10,0,0,27,52,34,27,9,126,62,67,26,18,177,65,69,48,15,192,49,54,27,9,145,52,81,37,12,179,54,50,28,15,139,63,66,55,16,195,11,0,3,0,21,448,451,263,96,1259
10903,36,20,11,0,66,35,24,23,10,84,197,141,69,44,443,236,225,103,43,615,227,272,130,30,656,177,210,82,22,489,174,272,156,38,634,124,173,83,34,407,141,165,71,39,422,26,16,10,0,52,1397,1527,764,253,3941
11001,19,21,13,11,68,45,21,19,11,89,147,138,51,37,376,167,184,72,33,448,196,206,93,43,538,157,151,69,29,402,179,214,108,27,534,155,229,96,33,509,88,102,61,33,284,13,7,3,3,25,1204,1294,591,274,3365
11002,40,21,14,10,89,57,46,17,9,124,219,164,82,58,518,194,189,92,40,516,186,181,96,34,499,121,113,51,23,314,128,164,60,29,376,75,84,43,17,225,127,128,74,33,354,14,14,3,3,34,1205,1137,545,251,3135
11003,9,9,4,3,26,25,8,9,6,50,82,50,46,18,195,95,86,55,23,252,128,106,84,32,357,91,115,56,15,282,151,151,72,20,401,116,136,68,26,347,82,95,65,16,263,25,8,4,4,39,823,793,474,158,2239
11004,56,33,13,5,110,74,70,23,10,168,373,261,148,65,844,439,430,183,67,1119,545,589,229,101,1464,393,465,209,62,1127,475,651,281,98,1499,361,492,245,72,1178,252,277,156,51,733,29,23,15,3,74,3069,3308,1520,543,8440
11101,69,37,10,7,121,96,41,21,13,173,486,297,93,43,919,574,516,180,62,1332,782,913,279,69,2044,696,920,305,73,1990,1099,1662,528,94,3384,980,1689,647,160,3480,344,435,195,78,1049,26,30,12,0,67,5216,6577,2291,606,14696
11102,49,30,9,7,93,84,37,26,12,164,382,256,80,57,776,446,421,168,65,1104,629,646,219,85,1574,519,653,213,54,1438,686,854,324,62,1923,474,719,264,68,1523,267,310,160,59,792,27,23,13,6,71,3613,3971,1491,475,9552
11103,77,48,18,11,155,136,63,25,18,239,593,364,153,53,1160,734,618,197,78,1624,1002,975,281,70,2334,859,1049,316,87,2305,1429,1858,594,123,4008,1388,2325,929,168,4809,490,475,218,90,1278,39,28,11,0,89,6860,7882,2784,726,18251
11201,57,38,6,6,107,94,60,23,14,187,407,294,95,28,820,478,437,136,39,1092,513,539,151,43,1244,392,480,161,40,1076,476,638,215,52,1383,452,655,268,58,1436,280,264,112,57,717,33,31,11,5,79,3247,3480,1201,343,8279
11202,54,18,11,6,104,104,63,26,11,202,403,289,135,53,879,379,378,186,68,1020,444,459,171,84,1157,288,360,127,62,839,312,380,192,63,953,207,236,132,50,621,185,178,106,55,520,26,13,10,7,62,2475,2417,1124,470,6486
11203,64,38,22,3,130,106,83,20,16,215,487,367,129,50,1037,532,447,172,70,1219,592,668,227,65,1549,439,562,207,55,1258,505,797,271,62,1641,336,670,272,66,1341,272,343,149,64,834,40,33,14,6,90,3457,4064,1496,456,9471
11301,36,23,13,4,82,55,31,20,13,116,217,194,113,41,564,312,247,136,63,757,315,360,165,61,903,248,282,126,45,703,296,330,166,51,840,186,286,143,56,668,162,177,109,58,515,15,5,3,0,34,1907,1959,1015,403,5286
11302,10,6,0,3,22,15,8,5,4,27,76,56,23,9,168,56,53,41,22,172,84,102,33,15,233,72,79,45,17,207,44,106,52,11,218,58,68,25,9,159,61,76,38,14,190,12,0,4,5,15,511,569,270,105,1452
11303,54,38,24,13,133,76,45,34,21,182,422,286,164,110,967,454,459,240,119,1272,571,637,285,121,1605,486,536,254,109,1382,620,758,387,123,1891,461,648,375,121,1604,299,361,222,116,997,39,26,9,10,85,3543,3828,2027,876,10272
11401,80,56,20,11,170,109,62,19,12,202,572,396,158,78,1197,612,565,223,83,1484,669,624,245,92,1631,460,549,203,44,1255,499,664,258,90,1509,362,542,217,71,1184,320,333,140,61,851,41,24,16,0,82,3815,3861,1520,545,9740
11402,22,14,4,0,42,37,25,8,7,80,213,138,65,20,445,235,255,81,35,601,293,321,133,31,779,266,309,105,36,709,331,459,184,49,1020,404,603,277,83,1372,171,168,103,44,488,10,7,6,0,28,2014,2327,964,308,5614
11501,72,60,18,3,160,102,98,18,9,226,485,447,148,50,1126,615,653,193,42,1504,977,1047,281,70,2384,858,1047,287,76,2271,1697,2371,617,116,4803,3363,5743,1733,385,11229,422,627,236,88,1371,51,70,19,4,142,8817,12282,3598,854,25552
11502,21,13,6,0,34,27,13,3,4,47,68,59,38,14,187,105,101,40,22,276,114,134,77,20,338,136,158,61,28,381,234,313,128,43,719,416,768,362,145,1696,61,109,64,29,255,16,17,13,7,48,1217,1705,799,322,4045
11503,12,11,7,3,25,16,20,12,0,38,96,79,43,11,232,119,125,53,32,327,179,193,82,26,480,161,194,81,21,458,256,291,136,42,723,255,410,183,56,904,77,102,52,21,248,17,12,6,0,38,1206,1443,667,215,3531
11504,20,25,11,0,56,21,31,4,8,68,171,197,68,28,465,216,256,115,26,611,373,420,176,54,1025,371,553,125,44,1090,678,1107,330,87,2197,985,1927,640,165,3716,130,221,97,40,492,23,33,14,3,70,3026,4803,1600,452,9888
11601,148,97,46,21,312,213,168,65,27,466,916,731,248,107,2000,1023,975,310,111,2424,1341,1293,368,130,3137,1015,1156,284,116,2575,1414,1664,456,148,3679,1045,1583,433,163,3221,364,436,175,83,1057,73,48,20,7,149,7755,8300,2472,957,19480
11602,68,69,29,7,176,103,99,43,16,251,521,588,186,69,1361,769,912,238,77,1992,1220,1621,346,126,3318,1139,1547,377,91,3154,2129,2976,675,148,5929,2405,3717,900,229,7250,349,452,167,63,1039,68,103,22,5,203,8868,12180,3014,862,24922
11603,118,120,74,37,349,149,145,97,68,463,704,648,338,239,1921,727,805,345,200,2077,912,981,433,232,2562,646,808,291,157,1902,741,1040,402,183,2367,427,688,321,172,1606,303,342,208,158,1012,53,44,27,26,151,4945,5733,2632,1547,14853
11701,55,25,3,3,84,73,58,5,0,138,332,192,48,12,587,340,226,60,16,640,402,333,72,19,826,339,294,73,3,706,536,559,132,25,1246,597,931,262,43,1839,138,118,45,17,314,28,18,9,0,55,2898,2796,730,143,6567
11702,26,13,6,0,44,38,18,4,0,60,157,81,27,7,271,162,117,20,4,300,228,171,33,11,437,217,179,46,11,448,436,430,95,11,971,850,1162,272,45,2329,97,87,30,13,217,21,4,3,0,29,2277,2276,533,105,5188
11703,83,35,15,4,140,98,48,8,4,159,444,183,44,9,677,465,237,44,12,762,571,334,38,5,946,454,254,34,8,743,1041,624,74,15,1757,2807,2127,365,34,5327,247,203,38,11,492,39,24,5,0,66,6389,4145,675,107,11314
11801,35,13,7,0,48,30,30,3,0,63,159,99,26,10,292,213,160,47,9,429,349,263,63,12,686,310,258,72,14,658,661,621,125,34,1447,2769,3776,1401,244,8191,294,401,198,70,965,48,40,22,4,116,4915,5729,1970,404,13020
11802,59,25,15,6,98,76,38,5,4,123,346,191,67,11,611,384,310,73,16,779,582,481,110,21,1192,572,511,117,20,1222,1034,1070,244,38,2393,2238,3718,1167,162,7286,319,381,135,45,873,38,53,16,3,111,5745,6824,1959,333,14865
11901,274,213,177,92,752,324,308,186,150,969,1190,1073,663,428,3351,1130,1012,540,358,3045,1186,1254,549,287,3286,831,1074,427,203,2536,1178,1545,657,265,3633,1014,1847,876,327,4062,442,508,297,191,1442,81,114,60,55,312,8061,9322,4661,2530,24573
11902,258,211,107,83,660,327,294,148,77,851,1057,967,473,228,2724,937,821,378,167,2305,972,823,302,168,2261,695,738,244,100,1778,797,1053,343,124,2316,708,1303,498,181,2683,326,327,184,106,944,71,61,36,35,205,6547,6883,2905,1413,17745
11903,138,109,30,15,287,200,148,46,15,412,866,579,168,58,1670,845,648,177,72,1744,940,823,247,53,2072,762,750,178,51,1734,1119,1329,383,78,2910,1355,2352,809,172,4689,360,396,149,59,962,53,49,7,18,129,6851,7323,2240,631,17036
11904,144,104,36,15,294,218,139,57,21,439,879,604,176,75,1739,907,661,226,83,1881,1147,837,253,73,2313,856,824,188,61,1928,1280,1279,349,97,3002,1337,1966,652,157,4112,335,311,132,60,829,61,76,15,22,166,7399,6942,2146,677,17168
12001,46,32,3,6,82,66,36,13,0,120,287,182,58,14,539,349,252,71,21,684,498,344,100,21,965,451,356,90,15,913,789,810,202,30,1827,1687,2418,742,96,4943,200,218,57,21,494,33,29,8,0,69,4514,4735,1357,215,10817
12002,12,3,0,0,27,13,14,5,0,28,88,54,4,0,147,110,81,20,5,215,169,135,26,3,340,194,147,38,9,379,415,403,67,9,885,1532,2307,487,57,4377,130,127,42,13,308,13,7,0,0,25,2688,3298,690,95,6774
12003,113,73,23,3,214,217,108,24,7,359,841,454,125,33,1452,825,578,160,43,1605,1054,778,168,42,2038,844,616,129,35,1624,1342,1250,281,51,2921,2047,2945,867,212,6068,361,373,130,49,918,58,59,19,11,145,7925,7359,1971,500,17760
12101,53,43,5,0,99,77,56,6,5,147,310,229,60,6,605,395,309,69,7,780,566,442,82,11,1102,471,391,86,5,958,995,937,169,25,2130,2771,4449,1404,221,8846,316,383,134,32,862,40,45,6,0,92,6112,7383,2040,319,15852
12102,52,32,6,0,91,68,60,13,0,147,390,237,60,18,702,488,341,90,23,940,690,615,154,32,1487,558,604,141,32,1335,1010,1350,334,56,2748,1639,2511,677,134,4958,239,246,103,31,616,27,28,9,0,72,5237,6080,1601,331,13247
12103,71,57,10,6,141,88,63,11,3,165,340,287,55,16,697,395,341,77,11,822,584,503,119,32,1238,506,474,109,18,1114,1029,1215,285,45,2575,3108,5705,2019,366,11195,406,577,199,75,1258,43,58,11,3,114,6727,9428,2927,569,19655
12104,24,10,0,0,32,25,18,4,0,52,147,90,5,5,246,182,97,29,4,321,280,159,24,4,474,264,130,27,9,434,598,423,62,3,1087,2328,2706,791,113,5942,213,244,78,28,564,16,39,3,0,60,4141,3936,1042,169,9293
12201,8,8,4,0,13,17,6,6,3,26,57,38,3,4,103,93,59,16,0,164,122,93,28,0,246,124,112,33,0,267,270,263,67,9,606,1073,1849,616,92,3627,106,187,101,28,420,14,13,4,0,34,1903,2631,879,141,5560
12202,16,13,11,0,41,22,14,8,0,48,142,102,30,9,272,192,194,74,13,469,296,300,96,15,708,286,335,110,22,751,537,745,267,40,1592,1060,1983,776,147,3969,207,247,117,46,614,24,23,8,0,51,2817,3985,1500,297,8599
12203,65,28,11,7,108,84,54,16,0,156,438,262,78,15,799,627,446,121,23,1213,822,749,221,37,1827,776,883,256,45,1966,1406,1768,511,85,3778,2549,5837,1963,341,10680,382,510,221,68,1179,50,60,15,0,127,7273,10658,3422,631,21995
12301,24,18,17,0,62,50,27,16,6,107,239,211,106,37,600,358,393,195,76,1023,513,657,279,86,1532,553,700,271,82,1598,765,1204,467,121,2550,728,1345,612,178,2864,143,226,129,67,567,25,31,20,11,83,3430,4846,2128,664,11067
12302,163,166,90,41,461,263,256,111,57,687,1129,1051,425,238,2838,1298,1240,481,256,3273,1632,1541,532,213,3921,1150,1295,428,195,3057,1480,1590,529,200,3800,965,1355,565,228,3114,491,518,243,172,1424,71,70,28,24,194,8888,9270,3536,1688,23388
12303,25,9,5,3,52,23,19,17,3,67,183,160,65,38,441,219,230,111,59,612,314,355,174,61,900,251,344,171,57,818,396,596,274,70,1337,397,620,326,112,1458,120,190,103,37,452,27,30,9,0,65,1985,2575,1268,452,6280
12401,28,12,4,4,60,67,39,11,3,123,339,193,61,30,622,395,312,128,42,882,474,495,199,61,1236,420,502,176,67,1156,684,896,347,85,2013,735,1113,460,126,2433,188,197,106,36,530,23,15,9,0,49,3392,3802,1510,468,9175
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,93,51,30,0,176,123,90,50,19,286,642,545,225,75,1484,904,874,350,139,2270,1231,1313,459,177,3175,1028,1261,453,143,2882,1548,2038,705,237,4532,1306,1992,852,271,4422,359,486,232,127,1199,62,77,22,12,173,7403,8814,3408,1223,20845
12404,19,5,5,10,36,45,19,10,6,83,148,117,54,16,341,214,187,93,31,524,276,239,106,36,656,231,235,104,35,608,314,358,149,40,860,222,340,157,62,778,88,94,53,32,269,5,11,5,4,29,1591,1639,751,277,4252
12405,36,42,10,12,106,65,51,28,16,162,337,264,117,63,782,369,400,152,83,996,450,485,154,96,1185,360,372,131,47,912,465,532,188,80,1269,256,422,153,68,909,145,153,86,58,441,23,21,12,5,56,2573,2791,1058,552,6970
12501,175,142,84,47,450,281,173,90,68,600,824,612,260,153,1851,719,549,226,102,1597,760,512,161,85,1524,478,420,94,51,1034,622,572,148,72,1415,630,743,217,95,1688,245,258,84,71,654,43,39,35,20,134,5053,4214,1482,844,11592
12502,77,64,25,3,183,120,108,42,11,279,468,467,161,36,1141,492,512,130,35,1166,611,614,158,48,1427,455,525,133,28,1148,764,938,232,51,1983,866,1342,441,114,2757,221,276,78,28,606,25,29,15,4,73,4218,4984,1458,372,11033
12503,219,253,154,129,756,295,275,211,132,916,1018,1008,576,505,3105,956,848,535,378,2716,940,962,467,297,2658,726,772,310,185,1996,863,1135,462,266,2729,636,1221,574,283,2719,368,383,239,217,1199,86,115,69,62,332,6474,7341,3844,2681,20342
12504,127,88,26,11,253,239,150,37,17,445,850,653,156,58,1723,1090,842,185,66,2189,1609,1294,247,72,3223,1084,976,204,64,2328,1870,1853,354,102,4177,1851,2363,476,122,4815,336,379,114,39,867,81,61,13,5,158,9336,8807,1869,585,20601
12601,38,33,14,0,85,66,58,17,3,146,226,179,30,14,460,268,268,70,9,625,353,376,85,12,833,278,325,69,18,686,560,732,123,39,1461,1114,1813,514,106,3537,142,206,56,16,427,19,31,7,0,59,3151,4080,1007,224,8464
12602,103,63,15,0,185,170,103,26,3,308,677,449,104,14,1246,702,543,129,19,1385,1006,842,187,28,2071,816,749,171,32,1778,1476,1457,336,47,3317,2251,3575,1072,208,7101,363,388,150,46,938,56,39,27,5,126,7846,8343,2246,424,18857
12701,135,144,116,66,456,190,207,137,77,603,799,788,468,285,2341,848,1019,464,263,2595,1130,1312,563,199,3210,900,1169,455,193,2721,1228,1820,694,198,3947,887,1690,762,294,3626,309,475,215,145,1147,80,73,39,39,229,6714,8934,4055,1881,21588
12702,371,410,247,125,1160,467,503,272,128,1364,1608,1326,730,343,4009,1311,1308,632,287,3539,1159,1227,592,240,3220,838,1008,401,169,2418,945,1361,584,247,3130,626,1354,682,270,2930,416,520,283,157,1380,115,112,66,29,329,8423,9654,4858,2217,25155
12703,172,145,99,67,490,228,240,134,86,683,809,847,377,242,2286,856,862,402,204,2320,1008,1088,391,191,2683,742,992,336,154,2217,1054,1537,486,161,3230,910,1562,572,186,3225,308,384,209,113,1012,76,83,29,11,206,6402,7971,3186,1509,19066
12801,35,34,12,0,79,61,38,14,4,115,304,239,75,18,629,439,366,123,32,957,618,645,198,50,1515,594,652,232,51,1525,1085,1351,487,89,3007,1744,3079,1198,253,6269,287,433,184,65,977,39,36,13,0,90,5274,6926,2552,570,15323
12802,44,20,4,0,66,69,41,15,0,123,298,202,63,17,576,429,363,150,46,988,673,723,246,62,1703,710,865,271,51,1889,1272,1907,661,108,3938,1606,3110,1226,249,6193,284,375,152,62,876,35,42,18,8,105,5452,7682,2819,603,16561
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,72,47,21,11,150,114,75,32,12,233,544,425,191,66,1228,593,634,281,88,1598,660,824,306,82,1867,557,723,307,62,1652,739,1073,388,101,2299,593,940,429,114,2077,270,343,169,87,867,33,24,8,3,74,4238,5158,2145,638,12176
20102,32,11,4,3,50,18,29,15,7,71,151,109,56,25,339,159,172,90,17,442,179,211,81,23,502,137,162,78,23,406,177,225,78,25,507,144,204,101,33,482,105,100,60,20,280,13,13,3,0,33,1154,1251,584,175,3165
20103,24,24,6,3,60,37,26,12,6,87,168,110,56,27,353,140,154,69,36,399,135,169,63,28,392,111,94,48,12,254,102,115,42,17,270,47,72,33,19,172,85,98,35,27,238,13,9,0,0,25,878,890,377,166,2311
20201,70,43,14,10,134,102,85,35,18,249,467,381,156,75,1078,545,558,235,81,1410,641,768,295,105,1810,528,645,276,66,1511,698,861,358,100,2012,430,663,341,86,1519,255,270,133,69,726,31,28,13,7,76,3829,4349,1868,628,10670
20202,25,25,3,4,57,59,18,6,3,86,253,165,62,24,502,269,297,109,37,710,293,380,127,34,829,252,318,99,33,711,353,498,163,40,1057,299,492,217,48,1055,182,190,82,33,484,25,14,10,0,50,2045,2417,886,258,5604
20203,9,13,0,0,24,24,15,12,4,43,59,57,36,9,160,86,74,49,11,220,71,70,40,11,196,55,64,26,12,149,51,65,16,3,139,27,43,25,4,98,44,39,24,14,129,10,3,0,0,15,437,451,226,84,1201
20301,18,8,9,0,33,22,22,6,0,50,103,103,35,16,263,128,151,72,27,369,169,218,100,28,515,156,193,84,17,448,172,284,123,37,614,126,254,128,34,541,76,103,73,24,274,15,22,4,0,38,998,1373,625,183,3177
