SA3_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
70204,132,4,20,231,38,7,51,6,15,121,42,17,75,8,24,164,30,17,50,6,10,110,17,3,49,0,5,85,6,4,9,0,0,21,4,4,7,0,0,22,4,0,6,0,0,17,0,0,7,0,0,9,0,0,0,0,0,8,0,0,4,0,4,10,0,0,5,0,0,0,0,0,3,0,0,3,64,3,76,6,16,168,418,124,749,48,162,1499
70205,137,0,11,226,69,18,118,4,16,229,28,11,62,3,8,108,30,8,31,5,10,77,90,3,109,3,3,206,45,7,52,0,10,117,91,4,64,7,3,169,50,13,52,0,3,118,15,3,16,0,0,30,9,0,0,0,0,11,8,0,4,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,59,0,42,0,3,114,681,103,953,38,114,1893
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101,0,0,0,8,35,4,18,4,6,59,132,5,39,0,14,188,58,0,13,5,6,80,89,7,55,7,8,162,151,5,88,9,7,259,954,37,465,31,42,1532,978,58,682,48,48,1812,408,55,344,37,29,879,105,26,106,12,12,261,31,10,32,6,6,80,5,0,4,4,0,17,10,9,21,0,0,42,73,3,46,5,8,132,3047,216,1919,168,187,5532
80103,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,7,8,0,9,0,0,18,9,0,3,4,0,17,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,33,3,22,6,4,72
80104,0,0,0,9,20,0,11,0,0,28,39,9,30,4,3,82,17,4,21,0,0,37,123,15,153,9,5,298,163,30,229,24,18,457,628,43,445,29,25,1165,836,42,663,44,36,1621,427,81,521,68,49,1146,173,58,272,42,38,572,46,19,67,18,16,168,8,7,22,4,6,52,12,5,16,3,4,43,48,3,54,4,3,119,2539,305,2505,249,200,5806
80105,3,0,0,10,25,4,15,0,0,45,51,0,10,0,0,68,29,0,18,0,0,47,92,8,41,4,5,143,154,8,84,6,6,258,532,10,143,14,5,708,845,21,187,17,15,1078,519,11,178,11,6,725,239,12,98,10,7,366,81,7,56,11,0,151,44,5,19,5,3,68,43,7,46,7,6,106,34,7,13,0,0,56,2706,101,909,80,50,3840
80106,0,0,0,0,5,0,0,0,0,5,13,0,9,0,0,20,7,0,8,0,0,14,20,0,7,3,6,37,40,0,21,5,0,65,207,3,55,10,3,281,394,14,94,13,3,519,261,20,99,12,3,394,133,10,73,13,4,233,55,16,53,3,4,129,29,0,29,7,7,73,46,18,78,16,3,163,15,3,13,0,0,33,1234,87,537,75,37,1977
80107,0,0,0,9,25,0,31,4,0,64,69,6,28,6,11,128,37,0,16,3,3,64,38,7,25,7,8,92,67,10,57,8,7,152,277,33,251,30,33,626,402,52,477,30,45,1014,150,54,254,30,29,513,37,20,77,22,17,158,13,4,24,5,9,53,0,3,4,0,0,16,5,0,4,0,0,6,35,3,28,3,13,79,1166,198,1293,145,177,2984
