SA3_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
40204,3738,4132,1442,591,9900,942,778,295,133,2147,4679,4907,1736,724,12047,2484,1587,546,219,4843,7163,6502,2285,946,16883,3964,4444,1578,743,10725,935,815,279,125,2150,4893,5262,1854,867,12876,2516,1629,574,247,4971,7412,6891,2429,1110,17845,4040,4856,1813,808,11509,947,791,283,117,2140,4987,5642,2092,930,13652,2601,1596,572,254,5027,7583,7239,2665,1188,18676
40205,2821,3936,1200,282,8232,535,442,123,44,1146,3356,4375,1322,326,9380,1369,852,294,74,2590,4728,5230,1623,400,11969,2830,3807,1172,286,8094,551,458,151,62,1227,3382,4263,1327,344,9319,1336,935,257,68,2588,4720,5205,1583,409,11911,2918,4009,1107,283,8313,597,551,167,61,1380,3515,4558,1270,346,9691,1297,917,266,71,2549,4814,5477,1537,419,12237
40301,877,1037,371,57,2342,143,96,28,3,267,1019,1134,393,66,2608,433,188,40,14,671,1448,1324,433,73,3279,862,1133,362,47,2408,160,147,33,8,347,1019,1282,401,52,2755,458,199,53,6,717,1477,1478,449,63,3473,916,1174,389,53,2541,190,159,34,18,393,1110,1331,426,68,2931,445,263,50,8,762,1552,1595,475,82,3701
40302,2614,3018,898,214,6743,481,358,100,37,984,3099,3376,996,255,7723,1387,752,199,70,2415,4486,4129,1199,327,10137,2944,3354,866,222,7384,550,417,99,34,1106,3500,3774,965,258,8484,1338,769,211,64,2375,4831,4541,1174,317,10865,2923,3634,903,226,7685,652,492,146,41,1336,3579,4125,1053,268,9021,1471,869,209,62,2612,5047,4994,1264,330,11632
40303,1943,2910,939,221,6008,292,235,54,17,600,2237,3147,995,234,6610,735,473,118,28,1349,2969,3615,1112,261,7955,1965,3152,941,171,6230,303,319,84,21,723,2266,3474,1019,194,6956,708,506,119,28,1361,2974,3982,1140,219,8320,1987,3302,951,171,6407,399,411,106,31,951,2388,3714,1056,201,7362,695,557,123,20,1389,3086,4269,1182,220,8749
40304,4381,5959,1897,595,12832,1285,1130,380,135,2929,5663,7089,2274,729,15758,2877,1859,605,206,5541,8540,8947,2881,933,21300,4333,5849,1841,504,12517,1358,1275,449,119,3200,5687,7121,2289,626,15718,2909,2054,661,218,5841,8601,9174,2950,839,21562,4230,5777,1856,449,12307,1542,1387,439,153,3517,5766,7165,2298,597,15824,3005,2134,651,214,6001,8767,9299,2943,813,21823
40401,2834,3693,1086,278,7893,503,378,117,36,1037,3342,4070,1200,317,8925,1598,906,289,114,2916,4943,4983,1492,428,11844,3024,3944,1090,276,8335,563,478,141,50,1225,3585,4420,1235,322,9563,1570,928,266,87,2859,5153,5353,1502,412,12425,3449,4135,1126,252,8961,722,557,138,63,1482,4170,4695,1265,309,10440,1664,1054,260,86,3071,5835,5745,1528,394,13511
40402,1476,1721,507,165,3869,375,311,91,31,814,1849,2034,599,195,4684,1106,660,196,78,2040,2959,2694,797,272,6724,1525,1731,466,158,3883,410,325,70,38,841,1935,2053,537,200,4724,1092,606,211,62,1974,3031,2662,743,262,6702,1627,1769,505,149,4055,446,352,99,50,945,2071,2122,600,198,4996,998,595,185,80,1861,3068,2721,788,285,6858
40403,1621,1992,554,149,4317,287,198,37,12,532,1909,2188,592,164,4847,771,387,117,25,1305,2683,2575,706,187,6155,1981,2182,575,119,4860,313,218,58,14,611,2297,2403,636,132,5464,774,426,93,32,1317,3065,2828,732,170,6786,2044,2423,563,106,5136,382,267,67,17,728,2423,2690,631,120,5869,796,430,120,24,1363,3218,3120,755,140,7229
40501,849,1314,548,149,2855,221,196,85,10,521,1074,1508,637,163,3380,405,237,101,29,779,1477,1748,736,193,4157,846,1265,559,159,2826,253,227,76,25,584,1103,1491,639,180,3408,371,285,130,35,818,1477,1774,764,215,4222,840,1299,543,157,2835,264,255,82,36,640,1108,1554,626,188,3473,425,331,117,42,917,1529,1889,746,232,4388
40502,450,653,337,114,1557,119,126,59,32,338,573,775,402,143,1895,245,173,74,37,531,810,955,476,180,2422,409,577,354,125,1463,133,121,61,18,335,539,703,415,139,1799,271,177,59,18,528,810,880,473,165,2329,408,518,328,110,1355,143,135,64,34,373,547,649,391,141,1730,278,170,58,23,534,826,821,443,166,2259
40503,530,744,349,139,1771,180,178,80,39,484,710,923,431,178,2248,420,271,120,49,857,1132,1191,558,229,3110,504,612,339,108,1559,163,173,64,34,433,663,781,404,138,1989,392,257,109,54,811,1053,1032,518,196,2799,401,544,328,106,1371,182,195,75,36,477,576,740,398,139,1850,392,246,110,44,792,974,981,506,182,2638
40504,418,621,275,77,1392,130,133,52,25,349,550,751,324,106,1737,312,208,67,32,612,859,955,394,139,2353,422,513,273,79,1283,135,132,53,34,357,553,647,324,113,1636,279,207,70,37,595,836,848,392,149,2233,343,496,222,93,1156,153,137,55,32,375,493,635,277,125,1532,288,200,78,32,596,783,828,360,158,2133
40601,1219,1644,755,195,3802,491,476,173,84,1232,1710,2121,926,280,5030,927,529,210,101,1765,2637,2645,1134,384,6795,1071,1499,694,200,3458,487,484,170,72,1210,1556,1982,863,271,4669,895,539,183,108,1729,2454,2516,1042,377,6393,970,1426,677,175,3250,495,476,183,82,1231,1461,1906,858,260,4481,873,529,210,95,1708,2336,2431,1069,351,6189
40602,585,684,302,96,1661,282,241,100,48,670,859,923,409,139,2332,411,238,116,57,817,1270,1160,523,195,3155,454,529,247,82,1318,266,243,97,47,656,725,770,351,132,1975,355,239,122,61,783,1082,1013,474,192,2752,401,502,234,77,1219,252,220,112,35,619,651,723,344,117,1837,354,258,101,66,777,1001,983,447,187,2617
40701,822,1231,499,147,2698,296,280,100,38,715,1124,1514,600,181,3409,611,378,130,37,1161,1734,1885,732,221,4573,881,1201,485,157,2724,308,301,97,32,739,1189,1507,579,187,3468,589,417,149,39,1195,1776,1926,728,228,4656,847,1235,529,179,2789,350,324,121,46,848,1200,1559,651,231,3632,595,462,127,36,1223,1790,2025,772,266,4855
40702,1409,2180,1005,271,4867,442,408,170,48,1061,1857,2583,1167,325,5926,913,582,224,91,1808,2768,3163,1388,416,7736,1343,1978,888,290,4503,458,415,147,86,1105,1796,2396,1039,380,5605,827,536,231,71,1663,2624,2932,1264,453,7272,1203,1860,858,260,4181,545,420,174,58,1203,1752,2279,1029,318,5382,862,580,219,62,1726,2615,2861,1256,385,7117
40703,1452,1973,905,234,4563,456,408,175,79,1126,1908,2377,1080,313,5683,967,681,231,123,2004,2876,3060,1314,440,7688,1287,1791,775,219,4077,484,416,158,94,1150,1766,2209,936,315,5226,961,664,257,105,1990,2728,2874,1199,415,7217,1202,1591,704,226,3726,542,469,207,72,1286,1737,2059,911,299,5006,921,630,273,103,1924,2662,2684,1180,404,6931
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,1005,1530,586,161,3277,370,336,123,47,872,1371,1867,710,207,4151,606,411,128,35,1180,1976,2278,840,240,5339,1170,1818,739,154,3882,459,419,133,48,1053,1627,2238,873,199,4933,624,513,155,53,1341,2249,2754,1031,248,6282,1234,1952,733,154,4078,537,484,143,41,1206,1768,2440,882,197,5282,697,578,163,32,1461,2464,3015,1037,226,6742
50102,2306,3313,1275,380,7283,797,711,253,118,1876,3097,4032,1531,499,9159,1372,944,319,122,2758,4473,4976,1850,620,11918,2396,3510,1359,396,7662,834,770,278,98,1985,3230,4279,1639,502,9646,1469,1045,359,145,3023,4703,5324,1994,646,12664,2371,3393,1324,344,7429,870,878,325,133,2205,3244,4271,1650,479,9642,1598,1124,386,143,3249,4842,5397,2032,621,12893
50103,432,666,332,113,1537,151,165,66,34,419,581,830,393,144,1953,275,193,66,27,557,856,1022,457,178,2513,406,609,273,122,1409,154,146,64,23,388,558,756,338,145,1795,265,161,67,17,513,823,917,409,166,2306,396,587,284,91,1355,205,143,62,35,446,603,725,347,123,1809,246,147,56,17,460,850,870,404,146,2264
50201,1780,2439,901,282,5392,686,573,222,102,1582,2461,3006,1118,381,6973,1323,833,338,117,2613,3785,3846,1456,502,9587,2143,2751,1033,317,6244,777,691,281,111,1856,2916,3441,1313,432,8102,1433,1022,342,148,2950,4355,4457,1658,582,11053,2166,2868,1088,303,6430,847,834,340,124,2150,3019,3704,1434,429,8582,1613,1221,405,162,3402,4635,4926,1836,590,11982
50301,1790,3095,1424,309,6618,207,159,59,21,437,1997,3250,1482,330,7058,563,416,134,23,1139,2561,3670,1620,353,8196,1904,3196,1529,282,6910,214,214,82,20,529,2118,3406,1606,302,7437,589,455,112,26,1182,2708,3862,1718,322,8614,2049,3501,1543,257,7346,273,254,98,23,651,2316,3758,1636,284,7995,643,532,144,28,1340,2960,4285,1784,309,9337
50302,2421,2829,848,154,6248,430,231,59,9,731,2850,3061,902,163,6978,913,415,86,10,1434,3769,3478,989,178,8416,2831,3226,929,121,7109,507,323,66,16,905,3335,3549,997,134,8016,915,474,119,14,1520,4246,4027,1115,152,9536,3058,3788,988,140,7972,607,399,74,12,1100,3664,4193,1059,152,9068,1172,657,147,17,1997,4833,4848,1210,173,11062
50401,2250,2623,777,200,5847,400,325,89,42,859,2651,2948,864,243,6708,1148,614,166,55,1987,3793,3565,1031,302,8691,2549,2793,765,230,6343,519,355,93,34,995,3067,3149,862,258,7335,1131,611,176,48,1963,4194,3758,1038,304,9298,2532,3038,770,189,6534,681,472,93,36,1287,3214,3514,869,226,7820,1159,702,196,59,2115,4376,4213,1063,285,9937
50402,1137,1390,588,169,3286,286,270,103,40,697,1418,1661,694,210,3986,501,336,139,42,1025,1923,1990,834,255,5005,1095,1422,551,153,3222,299,304,92,23,722,1396,1728,640,182,3942,512,348,130,38,1017,1901,2073,766,221,4960,1062,1491,515,124,3194,360,305,120,32,818,1427,1791,635,159,4012,504,353,116,28,996,1933,2145,752,185,5010
