SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
30909,1441,2742,162,212,370,1857,2186,4042,305,596,901,276,344,624,97,217,317,678,1157,1834,1998,2257,4259,27015,28290,55309,2419,2500,4915,31432,33047,64482
30910,1261,2549,159,154,314,1663,1663,3335,129,179,306,216,197,412,53,70,121,398,446,849,936,942,1871,19221,19284,38503,2477,2345,4819,22634,22571,45197
31001,1108,2018,80,85,159,1289,1705,2997,211,404,618,195,286,480,41,46,82,447,736,1188,2181,2536,4717,32536,33840,66374,5248,2379,7626,39965,38755,78711
31002,1384,2922,171,159,328,2111,1981,4088,175,284,464,236,234,471,63,94,160,474,612,1095,2741,2463,5203,27857,28435,56295,3305,2490,5791,33903,33388,67292
31003,2023,3727,126,203,328,2384,2982,5365,309,619,922,365,455,822,67,150,220,741,1224,1966,4507,4562,9066,49047,51317,100367,3252,3230,6477,56806,59109,115913
31004,757,1495,53,54,102,1047,1152,2194,78,153,228,98,131,226,12,20,36,188,304,489,2723,2673,5393,46194,47644,93838,3029,2943,5974,51946,53260,105202
31101,354,725,39,43,83,520,516,1034,48,113,168,72,63,130,32,44,78,152,220,369,631,669,1303,5896,6191,12087,756,528,1283,7283,7388,14674
31102,890,1682,48,76,126,1120,1343,2464,144,240,376,151,164,314,20,21,44,315,425,735,1844,1898,3738,19028,19842,38874,1871,1828,3705,22743,23568,46316
31103,992,1892,83,110,191,1360,1592,2951,166,335,497,137,147,287,26,49,74,329,531,857,2944,3002,5950,39838,41142,80981,3376,3316,6695,46158,47460,93622
31104,557,1204,35,46,78,882,836,1715,72,140,215,55,57,114,8,13,21,135,210,355,1753,1636,3383,27079,27713,54796,1766,1683,3454,30598,31032,61638
31105,1048,2064,87,117,208,1469,1669,3133,200,422,628,158,195,354,38,101,140,396,718,1122,2127,2392,4514,27188,28624,55810,2011,2118,4126,31326,33134,64457
31106,1146,2375,110,125,231,1739,1762,3505,198,413,610,156,151,306,48,93,148,402,657,1057,2535,2804,5346,33858,33917,67774,3090,2854,5940,39483,39575,79066
31201,387,828,78,59,140,646,574,1223,58,117,178,71,85,159,14,19,35,143,221,371,702,673,1373,14687,13489,28172,4154,2116,6270,19543,16278,35821
31202,2037,3995,223,220,444,2677,2886,5576,353,654,1005,347,427,776,92,106,196,792,1187,1979,3032,3039,6071,51778,52578,104354,6388,4875,11265,61198,60492,121691
31203,292,670,52,35,88,526,422,952,36,79,113,46,56,101,6,8,18,88,143,240,526,464,989,9969,9773,19744,1475,1180,2655,11970,11417,23382
31301,1995,3955,118,110,230,2560,2603,5169,229,385,615,336,334,678,42,39,83,607,758,1366,1910,1919,3827,14999,16447,31445,940,878,1808,17849,19244,37081
31302,1379,2693,127,135,263,1967,2109,4072,303,505,803,198,242,444,52,120,174,553,867,1422,3601,3599,7197,32476,34898,67374,2632,2580,5211,38709,41077,79787
31303,250,549,31,29,63,418,362,776,39,83,118,54,47,98,9,6,17,102,136,232,485,447,930,5696,5740,11440,2032,501,2533,8213,6688,14897
31304,1194,2302,112,79,188,1575,1759,3335,199,328,528,177,177,352,32,74,104,408,579,987,2609,2471,5082,29494,31123,60612,1800,1711,3517,33903,35305,69207
31305,2093,3874,114,148,262,2405,2901,5310,326,699,1024,396,477,876,68,100,170,790,1276,2068,2614,2975,5589,26034,28683,54721,1750,1715,3471,30398,33373,63771
31401,1506,3023,62,79,147,1853,1954,3812,160,338,499,160,200,362,21,28,50,341,566,911,1919,1888,3808,41289,42157,83452,1359,1177,2534,44567,45222,89786
31402,1083,1995,50,102,148,1264,1607,2865,151,360,511,180,212,389,47,116,164,378,688,1070,2339,2496,4840,38417,40904,79325,1961,1931,3896,42717,45331,88063
31403,667,1277,34,34,60,822,925,1741,97,215,310,90,115,208,16,18,31,203,348,546,1406,1440,2843,17334,17834,35169,926,917,1839,19666,20191,39846
31501,238,555,72,55,126,496,399,892,44,34,70,28,30,52,8,12,14,80,76,150,574,502,1079,13173,12876,26047,3262,1820,5084,17009,15198,32207
31502,252,580,70,53,124,472,410,878,29,64,93,36,37,71,16,23,33,81,124,197,451,507,954,13385,12535,25928,1990,1509,3495,15826,14551,30377
31503,341,707,67,45,111,520,490,1012,70,99,166,69,96,163,26,29,52,165,224,389,443,439,883,7102,7332,14436,1004,919,1923,8549,8690,17238
31601,1767,3172,98,109,206,1786,2266,4052,251,460,706,382,464,843,63,162,225,696,1086,1772,1483,1671,3153,24906,28005,52911,1417,1481,2897,27806,31157,58956
31602,3122,5903,169,229,400,3588,4162,7756,539,913,1457,632,681,1309,100,136,233,1271,1730,2999,3002,3427,6424,40437,44625,85059,2430,2393,4824,45869,50445,96305
31603,1793,3384,156,179,333,2142,2485,4620,325,569,894,312,394,710,88,143,233,725,1106,1834,1817,2093,3912,26654,28843,55495,2170,2099,4272,30641,33035,63673
31605,1629,3247,111,145,255,1990,2095,4093,192,397,587,297,360,654,55,98,160,544,855,1406,1162,1399,2558,19901,21585,41486,1322,1286,2611,22385,24270,46660
31606,1441,2992,109,80,188,1960,1862,3824,198,348,546,268,243,505,36,36,78,502,627,1132,1735,1824,3554,25246,26713,51960,1886,1639,3523,28867,30176,59039
31607,1224,2353,82,80,161,1514,1665,3170,183,369,554,225,211,432,40,66,105,448,646,1094,1737,1755,3495,21376,22585,43962,1328,1213,2543,24441,25553,49996
31608,599,1329,46,52,97,889,790,1679,60,110,168,104,72,171,20,69,92,184,251,435,625,671,1299,10592,10784,21376,785,748,1533,12002,12203,24207
