SA3_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
12401,89,0,9,472,815,80,79,8,23,1000,28922,1414,1013,56,69,31473
12402,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,8
12403,112,0,4,689,1702,536,613,13,13,2877,43802,6966,6299,154,90,57311
12404,39,0,3,292,505,139,52,7,3,705,10846,2272,515,40,46,13719
12405,7,0,0,174,1054,246,140,0,3,1441,16104,2635,1104,24,26,19895
12501,236,3,3,492,838,217,1209,22,25,2301,11949,3423,20158,115,162,35804
12502,144,4,0,366,520,248,349,7,6,1132,14595,5658,5363,38,34,25687
12503,200,7,5,902,2627,699,1327,27,33,4712,32390,7544,12471,176,195,52771
12504,651,19,8,1019,827,435,2097,17,23,3395,20312,7565,28874,191,156,57104
12601,114,0,0,319,217,44,265,0,5,530,11485,1657,6009,10,43,19200
12602,585,3,8,1052,675,319,1146,25,18,2182,24223,8239,24551,152,125,57279
12701,48,0,4,637,1922,187,190,13,12,2324,38193,2906,1195,109,151,42554
12702,133,3,8,897,2350,467,766,48,33,3662,43397,7592,8473,167,200,59830
12703,179,6,3,608,1390,434,1237,12,15,3094,27883,5530,11475,44,115,45048
12801,498,3,0,818,629,341,729,20,9,1726,23703,7245,14538,225,71,45784
12802,248,0,0,511,471,176,294,18,16,972,27621,4719,7062,106,56,39566
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,22,4,0,663,1594,447,104,40,11,2187,40190,5725,1227,132,90,47357
20102,12,9,6,293,856,31,27,19,0,935,12376,289,126,144,28,12962
20103,0,6,0,268,845,52,12,47,8,968,10847,457,74,247,40,11674
20201,5,4,0,504,1668,327,61,35,6,2096,37624,3552,482,143,90,41895
20202,0,12,0,346,1219,68,3,42,3,1333,20372,820,34,235,29,21484
20203,0,5,8,182,512,20,10,42,3,592,4905,103,12,128,30,5185
20301,0,0,0,118,403,10,0,10,0,425,7663,142,7,17,7,7837
20302,29,60,8,1443,2947,769,190,118,14,4028,70806,10223,2634,654,141,84458
20303,10,7,8,827,1498,146,19,58,3,1728,34503,2291,275,223,54,37342
20401,12,17,9,633,1739,133,27,100,10,2005,23463,1253,214,427,72,25424
20402,0,0,0,378,1132,313,3,82,16,1548,18472,2015,24,206,39,20748
20403,18,10,17,578,1573,261,68,89,28,2020,27983,2082,593,280,117,31055
20501,51,34,0,411,1088,73,63,54,4,1287,20594,959,648,379,31,22606
20502,6,13,4,428,1297,149,33,102,18,1593,19233,1467,204,451,91,21440
20503,25,11,5,646,1874,131,28,59,4,2088,28923,1423,402,352,56,31159
20504,40,6,0,418,1855,247,217,62,0,2380,28445,2020,1898,207,43,32609
20505,16,5,0,427,1149,60,54,52,4,1324,17167,681,709,243,45,18838
20601,100,4,0,453,481,329,562,93,7,1473,17874,9388,11671,318,47,39297
20602,59,3,0,271,311,182,249,23,3,767,11297,5652,5487,150,21,22606
20603,128,0,0,347,297,224,885,8,5,1426,12254,5602,11541,99,26,29523
20604,1252,9,10,1474,48,306,5111,140,83,5684,1640,8421,66308,280,312,76956
20605,429,6,6,683,157,542,2479,88,27,3292,4404,11968,34986,657,116,52123
20606,351,3,0,542,228,256,1330,13,5,1833,5410,5815,21281,77,47,32631
20607,281,7,0,640,162,511,1479,66,13,2225,5404,15779,21539,414,61,43195
20701,414,3,9,1185,850,366,817,36,8,2089,35498,12881,15959,251,86,64668
20702,300,0,3,901,679,232,231,3,0,1146,24623,7167,5042,11,34,36874
20703,185,0,4,1046,641,387,524,0,4,1563,24765,10051,6845,17,46,41733
20801,212,4,6,644,695,318,337,26,8,1380,24333,8906,5625,279,41,39190
20802,315,3,6,923,850,562,804,15,5,2237,29785,15168,17577,224,67,62824
20803,312,8,0,777,786,483,493,45,0,1808,27089,13342,9025,323,41,49824
20804,72,41,0,233,180,103,281,32,0,603,7781,3486,5437,304,20,17033
20901,134,0,4,706,1022,342,216,17,8,1595,37038,8028,3849,53,51,49024
20902,45,5,0,581,994,682,274,93,16,2058,23322,11246,4295,309,38,39208
20903,16,0,0,265,677,21,34,6,0,740,21522,759,642,20,17,22954
20904,59,3,3,1135,3287,605,229,32,14,4167,74860,9004,2369,57,63,86356
21001,7,0,0,416,620,223,14,10,0,864,17674,5347,302,68,13,23405
21002,0,0,0,158,523,21,0,9,4,548,11087,547,55,34,15,11734
21003,26,3,0,431,975,570,135,19,9,1709,19287,10084,1447,91,39,30953
21004,19,0,0,147,626,56,74,0,3,753,15072,780,1092,6,8,16962
21005,20,0,3,765,3172,626,189,50,16,4054,56064,6764,1385,169,77,64461
21101,43,6,5,1301,1462,423,129,3,3,2029,49001,8254,1643,58,40,58993
21102,4,0,0,186,194,24,12,5,0,237,8233,444,141,19,7,8848
21103,15,0,0,584,1095,200,94,20,0,1408,38245,3879,1803,34,50,44016
21104,33,0,0,488,432,346,40,4,4,820,17159,5729,739,10,9,23647
21105,60,7,5,933,1998,163,26,46,4,2247,53821,3049,334,271,77,57549
21201,25,0,0,813,1918,208,39,20,0,2185,37703,3174,373,156,40,41446
21202,10,0,4,679,1981,354,42,15,11,2402,40922,5091,390,140,36,46577
21203,105,0,4,1024,3091,389,55,0,5,3546,65133,5465,698,11,61,71374
21204,203,7,0,1107,2343,838,545,74,47,3852,48009,12464,6333,329,124,67259
21205,552,3,4,1517,1470,492,671,14,7,2653,45718,10029,10388,45,60,66234
21301,44,4,0,990,3331,705,400,77,10,4523,51862,9113,3082,166,66,64294
21302,35,0,0,398,953,399,187,9,6,1546,23408,8279,2477,72,49,34278
21303,74,0,0,437,665,494,810,14,13,1993,17263,8535,9379,242,57,35472
21304,9,4,5,803,3059,455,67,48,6,3648,58571,5324,550,212,68,64728
21305,190,3,4,1184,4733,657,194,50,8,5645,84318,9285,2263,144,66,96080
21401,64,4,0,932,2034,581,195,136,3,2952,43969,9546,1467,450,59,55490
21402,99,17,3,1975,3000,501,121,132,7,3770,58881,7449,2001,589,63,68977
21501,14,12,6,796,1418,111,76,87,6,1696,23913,1061,660,321,57,26015
21502,73,20,8,549,1427,212,197,104,13,1948,19403,1854,1293,548,78,23170
21503,4,19,9,456,1137,74,74,142,26,1449,14195,748,515,463,95,16017
21601,0,5,0,380,884,142,5,86,0,1128,14366,1330,47,337,33,16113
21602,0,13,4,318,758,107,0,59,0,929,11462,990,30,286,21,12793
21603,0,100,0,573,1554,324,19,300,6,2207,23135,2528,89,828,53,26627
21701,7,9,7,463,840,69,24,32,4,970,14778,800,221,196,29,16023
21703,3,10,7,538,956,127,9,23,5,1123,15117,987,58,151,47,16359
21704,48,7,3,568,984,118,48,80,4,1238,18785,1877,685,253,35,21636
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,41,0,3,333,562,198,70,39,6,870,22807,3255,808,172,32,27080
30102,95,4,3,1048,1070,197,119,43,4,1439,30090,3871,1940,146,58,36110
30103,22,5,3,362,547,238,97,17,4,904,21391,4281,1811,160,35,27674
