SA3_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
10402,363,1581,458,572,50,3439,615,335,2207,1162,1866,218,6395,23,5,94,64,163,12,366,31,16,114,190,797,29,1181,40,13,151,112,444,167,921,1810,1100,7223,4535,11678,1046,27395
10501,67,369,97,165,25,803,41,22,211,138,202,31,647,3,0,6,12,16,0,28,4,3,21,8,117,7,163,3,0,18,7,70,50,147,210,146,1197,823,2364,287,5024
10502,63,241,67,125,15,596,99,82,350,234,454,30,1253,0,6,7,14,40,0,65,0,0,7,26,165,12,212,0,0,18,9,72,28,134,245,211,902,730,2595,199,4879
10503,214,1242,330,608,50,2743,516,220,1558,867,1340,148,4650,13,9,55,40,165,12,292,25,10,69,95,684,26,907,37,13,92,68,382,132,723,1526,726,5383,3145,10065,904,21740
10601,189,917,309,631,36,2339,196,176,1071,859,2010,140,4460,11,4,43,42,131,12,240,14,13,75,173,1168,23,1461,27,6,103,101,598,144,979,1016,648,4639,4163,16907,967,28349
10602,242,1263,380,591,35,2933,450,281,1702,1064,1990,158,5637,7,4,48,43,100,9,204,24,16,97,208,990,22,1364,32,11,107,129,486,119,883,1625,876,6071,4782,14314,792,28453
10603,160,769,286,439,29,1941,232,160,938,773,1449,126,3678,10,6,51,38,119,8,235,25,13,83,147,741,28,1035,21,8,87,101,403,105,727,1047,575,3770,3597,10719,741,20436
10604,62,394,94,202,15,841,56,37,246,214,396,37,982,5,8,19,25,71,8,132,8,6,12,35,316,16,389,6,0,26,15,140,71,259,291,193,1525,1276,5149,410,8844
10701,258,980,315,482,33,2572,454,205,1397,1013,1780,152,4994,16,5,57,29,100,6,211,31,15,117,136,748,19,1060,28,7,99,106,469,111,822,1660,707,5007,3880,11029,709,22995
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
10703,380,1488,528,635,56,3710,589,341,1844,1267,2178,157,6373,12,12,91,67,121,11,315,36,19,108,183,919,19,1283,36,15,150,116,460,127,906,2096,1105,7138,5526,14545,909,31318
10704,678,3062,642,774,82,7408,1728,558,3687,1427,1849,206,9455,85,41,279,137,190,14,743,143,26,324,269,1001,30,1791,185,30,425,178,490,161,1464,7249,2208,16273,7234,14663,1084,48707
10801,74,365,107,180,18,851,124,65,453,311,683,91,1733,4,0,23,15,56,3,101,5,3,19,41,241,12,322,13,3,37,42,155,62,310,369,234,1549,1251,3902,411,7715
10802,136,640,207,353,24,1489,145,112,680,500,1151,116,2706,8,0,27,18,46,0,103,5,3,41,72,339,15,474,6,4,36,43,252,114,463,452,376,2282,1741,6203,629,11683
10803,0,6,0,0,0,10,0,0,6,0,4,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,7,9,5,41,21,85,9,165
10804,276,1415,435,611,52,3206,604,283,2011,1038,2088,181,6200,16,4,60,41,113,8,240,34,19,99,175,818,22,1168,25,5,83,87,352,128,679,1643,893,5957,4070,11474,847,24889
10805,118,696,254,346,27,1637,237,146,865,689,1401,152,3489,6,9,22,21,78,6,145,12,4,40,81,446,12,597,16,13,44,56,244,97,467,666,411,2612,2188,7183,642,13700
10901,303,1213,343,465,30,2764,453,296,1547,826,1329,118,4569,9,10,43,31,66,0,160,24,7,67,145,609,23,879,35,11,92,104,336,111,684,1500,946,5427,3435,9333,633,21277
10902,43,181,65,78,7,404,25,29,139,102,154,16,471,0,0,0,4,11,4,25,0,0,10,19,92,5,126,3,3,8,19,74,32,136,101,108,672,570,1647,158,3262
10903,149,576,129,231,18,1185,126,118,549,407,685,77,1963,0,5,21,31,57,3,118,3,3,33,70,337,11,455,8,3,37,36,189,86,362,400,422,2417,1825,5827,546,11428
11001,228,904,274,358,37,2631,282,127,711,330,531,50,2028,12,10,36,23,43,5,120,20,5,70,40,250,10,390,35,0,57,33,105,44,280,1736,569,3223,1601,4236,385,11739
11002,110,516,167,254,18,1149,81,63,374,302,682,65,1567,4,4,14,8,31,5,68,12,0,22,37,334,13,420,4,0,34,33,176,81,332,327,282,1855,1391,4743,504,9100
11003,59,378,103,117,20,754,45,51,234,192,318,26,866,5,0,16,0,28,4,58,7,4,28,34,252,12,334,10,3,21,19,120,58,227,256,197,1530,1019,3075,320,6396
11004,266,1336,421,646,49,3043,455,261,1529,918,1650,144,4957,0,0,38,27,100,9,179,20,9,82,143,856,33,1149,12,3,81,83,409,135,729,1324,807,5402,3640,12205,981,24363
11101,390,2403,637,791,66,5196,1036,485,3364,1656,2721,251,9510,18,13,116,75,170,14,403,48,23,197,261,1123,33,1691,45,16,235,184,581,158,1220,3373,1526,11754,6800,17247,1129,41831
11102,187,1144,367,533,44,2714,437,242,1663,1110,2022,174,5641,10,3,60,42,104,9,228,33,17,120,150,938,22,1284,40,12,115,101,498,127,887,1576,740,5379,4217,12962,795,25671
11103,605,3744,753,944,114,8182,2339,842,6473,2147,3315,329,15456,51,29,278,122,250,15,745,129,48,384,342,1339,47,2286,170,35,479,223,721,245,1879,7886,2716,22500,9279,20955,1632,64965
11201,360,1657,438,489,72,3619,816,336,2148,993,1269,154,5708,56,20,213,88,139,21,544,41,26,190,194,640,28,1116,72,30,417,189,367,177,1257,2620,1190,9250,4706,9829,1062,28656
11202,299,1139,342,528,41,2726,441,255,1541,886,1674,146,4944,6,7,65,36,78,8,209,21,12,103,128,612,16,894,43,13,119,88,351,108,726,1287,848,4897,2968,9311,769,20076
11203,342,1499,433,576,65,3360,583,324,1974,1122,1744,208,5961,29,8,139,95,167,15,453,35,20,150,213,770,40,1227,61,8,250,191,469,154,1134,1811,1034,7298,4766,11994,1056,27960
11301,151,764,176,351,23,1594,123,82,612,410,644,64,1935,3,0,21,10,44,8,89,5,0,52,79,467,19,626,17,0,63,60,254,120,520,650,382,3142,2027,6799,719,13716
11302,49,200,43,70,9,419,30,29,139,127,223,15,567,0,0,18,17,20,0,66,0,0,6,13,111,0,143,0,0,19,10,100,33,166,161,150,815,573,2159,156,4010
11303,366,1728,490,790,72,4040,593,366,2204,1129,1839,182,6314,8,0,62,32,85,7,196,37,19,145,184,965,27,1377,31,10,120,98,538,180,981,1933,1161,7603,4452,14111,1152,30417
11401,370,1225,384,610,50,3128,544,300,1673,1046,1956,180,5705,36,18,107,48,176,7,384,38,9,114,194,876,32,1267,45,13,143,124,501,143,966,1981,1106,6265,4697,14324,1063,29434
11402,209,822,240,286,34,2047,409,162,1010,512,593,84,2769,34,10,86,58,74,13,283,40,10,76,126,468,11,739,64,15,135,102,249,74,629,1877,707,4806,2805,6506,595,17303
11501,489,2843,615,494,108,6227,2102,494,4001,1199,952,198,8951,58,16,238,96,108,17,535,226,31,457,319,680,37,1751,536,57,919,307,431,224,2473,13549,2488,25341,8221,9579,1499,60672
11502,81,454,143,151,12,1076,189,71,486,231,184,35,1191,10,5,40,26,40,3,126,31,8,72,74,277,15,479,50,9,117,71,157,42,442,1149,316,3130,1715,3311,283,9906
11503,109,427,152,210,17,1149,107,71,342,242,324,24,1108,3,5,25,26,65,0,130,15,9,33,79,410,9,556,7,4,71,43,197,39,363,594,291,1760,1563,4485,291,8976
11504,147,1079,243,246,31,2269,569,182,1343,508,481,98,3176,12,4,77,49,65,9,207,53,15,126,165,447,23,818,169,17,298,132,226,116,956,3680,789,8160,3601,5771,633,22641
11601,278,1453,445,496,69,3722,1179,343,3311,1294,1631,275,8032,38,12,127,69,101,6,356,124,11,273,246,761,38,1451,325,33,692,316,610,340,2313,7306,1317,15890,7172,11286,1744,44715
11602,308,2068,433,472,63,4805,1620,410,4083,1318,1263,244,8936,58,12,141,76,120,7,415,145,41,330,263,778,34,1598,446,58,881,317,486,271,2460,11583,1859,22634,7807,10670,1621,56178
11603,140,725,233,411,43,2044,493,180,2100,961,1386,179,5299,3,3,64,40,96,4,213,44,18,148,116,565,33,925,103,11,351,225,539,273,1507,2814,656,8610,4540,9195,1184,27011
11701,115,801,239,169,40,2049,518,130,1269,427,402,100,2855,39,13,153,80,88,15,379,60,12,162,128,365,23,760,176,22,347,162,185,156,1045,4188,686,9083,3797,4810,829,23394
11702,237,1255,177,140,30,3104,856,225,1538,361,313,43,3332,160,33,422,116,89,15,831,115,38,308,119,239,21,840,125,29,413,111,161,89,927,5186,1284,12127,3084,3467,475,25626
11703,621,3330,568,392,101,9167,3388,690,5246,1047,730,224,11333,551,105,1540,442,322,57,3019,397,101,1049,455,746,81,2834,999,105,2230,614,487,502,4938,26721,4658,53592,12908,10638,2684,111202
11801,336,1884,375,201,79,4314,2008,346,3299,569,360,189,6772,211,43,699,198,122,33,1295,188,48,546,233,405,49,1466,557,67,1533,313,229,301,3009,12709,2363,31047,6087,5331,1694,59229
11802,455,2532,495,394,94,6584,2007,457,4008,970,738,201,8386,202,33,560,159,206,35,1194,192,42,548,218,615,48,1662,401,36,1000,309,361,243,2349,11955,2239,24917,6815,8637,1574,56132
11901,326,2115,646,628,93,5092,1033,304,2834,1240,1300,239,6942,34,10,168,89,149,20,465,112,29,334,338,950,43,1802,226,33,658,369,590,349,2225,5754,1307,16286,7954,11649,1759,44709
11902,278,1459,435,367,87,3605,1011,254,2309,999,996,198,5764,64,19,202,79,92,11,461,103,25,292,241,722,44,1432,235,25,563,288,410,303,1819,5840,1123,13843,6376,7775,1488,36441
11903,289,1874,432,342,72,4108,1429,341,3183,1122,1021,220,7315,65,15,222,100,143,9,543,153,35,369,237,649,45,1480,327,29,701,323,384,267,2034,8049,1498,18415,7215,8363,1521,45058
11904,301,1827,495,345,64,4371,1512,340,3562,1180,1084,268,7953,90,13,310,123,144,16,701,159,42,405,264,756,56,1679,373,38,814,390,419,341,2372,9249,1625,21214,8526,9855,1846,52312
12001,273,1552,330,270,43,3513,1281,261,2247,565,430,106,4886,86,41,231,91,88,15,553,127,18,270,164,479,30,1088,313,35,568,215,242,152,1534,7566,1525,15702,5016,5730,905,36445
12002,263,1067,183,135,17,2753,1046,224,1489,333,209,62,3357,140,31,351,78,81,13,687,130,30,247,98,182,11,702,161,25,429,108,85,69,879,6140,1501,12338,3076,2913,473,26434
12003,546,2825,540,396,73,6765,2460,540,4791,1398,1050,246,10485,224,43,522,178,168,21,1162,277,55,592,292,487,43,1749,571,78,1121,445,358,441,3013,14642,2805,29708,9087,8261,1925,66427
12101,309,1766,315,179,55,4124,1929,427,3368,662,455,142,6980,134,45,349,104,86,14,738,206,41,431,209,397,25,1314,519,53,937,220,163,178,2062,13260,2436,25134,5445,4510,1222,52004
12102,407,1820,418,413,47,4294,1132,356,2754,927,858,157,6186,71,12,189,88,86,10,454,129,36,276,172,470,32,1111,307,34,486,175,217,149,1374,7714,1664,14826,4893,6183,899,36182
12103,407,2151,388,226,59,4845,2091,435,3517,715,422,182,7372,118,23,276,63,80,8,575,195,53,442,170,254,27,1139,563,56,865,191,169,156,2003,13421,2441,23184,5028,3933,1074,49077
12104,293,1560,258,164,56,3658,1623,325,2508,550,334,120,5461,153,34,392,88,94,18,785,164,39,360,188,252,18,1017,376,66,933,205,139,132,1854,11388,2364,22986,4970,3763,1016,46488
12201,141,708,137,76,21,1559,504,125,1001,226,166,57,2078,49,11,176,47,36,8,332,48,19,167,76,127,16,450,163,21,427,109,84,74,880,4029,866,9658,2231,2108,505,19403
12202,235,1162,309,255,46,2547,496,182,1231,569,455,103,3040,39,20,169,92,90,16,416,42,20,171,156,445,33,871,131,16,408,209,233,95,1093,2885,940,8751,4268,6179,733,23757
12203,563,2885,746,622,107,6245,1353,524,3499,1482,1429,220,8503,119,35,438,195,220,24,1039,145,48,535,428,1137,57,2355,370,57,1087,457,554,260,2783,8758,2668,25297,10406,14241,1821,63194
12301,284,1490,420,572,49,3585,445,242,1332,757,963,108,3837,16,0,60,59,96,7,237,24,19,111,159,773,22,1099,43,6,160,161,465,96,927,1998,864,6142,4754,10963,709,25425
12302,344,1674,607,794,86,4749,1218,368,3553,1722,2347,318,9535,35,7,149,94,155,16,459,66,20,239,260,1036,47,1670,209,16,508,355,850,382,2324,6160,1373,14467,8274,16796,1869,48945
12303,134,732,230,336,23,1823,173,122,597,431,650,65,2036,10,3,20,25,70,3,128,14,6,40,78,572,9,726,15,3,60,82,367,85,617,850,389,2788,2488,7871,510,14895
12401,488,2038,479,491,61,5063,913,398,1889,847,1028,101,5174,106,41,191,91,148,16,587,95,27,186,155,519,22,1012,59,16,172,136,295,98,775,4194,1541,8775,4448,8388,627,27973
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12403,370,2178,793,984,72,5798,948,467,2973,1575,2305,260,8527,27,11,145,108,223,8,524,65,18,229,289,1494,40,2130,141,21,352,270,965,244,1996,4759,1491,12721,8737,22093,1611,51413
12404,104,460,176,244,16,1266,152,107,523,336,523,49,1687,3,4,30,21,85,6,148,11,12,45,77,451,9,609,24,0,54,71,262,63,474,806,349,2251,1928,5589,367,11294
12405,77,445,196,303,26,1311,195,102,792,492,842,86,2504,3,4,34,36,60,0,142,25,7,60,80,433,18,623,35,3,128,104,354,89,717,1077,331,3483,2550,6747,586,14780
12501,153,1007,215,160,49,2319,1099,236,2364,800,559,147,5201,51,9,142,77,51,13,344,116,22,259,185,235,24,834,370,42,723,350,260,393,2141,6890,935,13564,5177,4202,1325,32084
12502,189,1094,220,211,45,2509,811,220,1881,555,550,105,4124,29,4,106,53,67,10,269,131,20,223,128,351,26,887,239,37,432,172,208,157,1253,5273,932,10868,3584,4365,755,25778
12503,230,1365,414,380,80,3294,886,258,2435,1186,1208,195,6173,30,3,112,60,101,15,321,87,19,231,206,646,34,1228,205,30,596,347,519,371,2077,4919,997,12881,6611,8986,1519,35910
12504,342,2012,440,394,60,4746,2330,481,4047,1277,1164,261,9564,91,14,210,94,104,14,529,196,44,395,222,482,39,1378,745,53,1036,315,360,323,2835,15452,2090,25043,7198,7971,1868,59625
12601,191,983,182,134,23,2457,915,182,1653,395,273,55,3476,36,10,98,39,29,0,216,99,22,217,78,142,9,575,248,27,366,91,83,75,890,6506,998,10190,2319,2100,469,22574
12602,391,2400,485,405,78,5767,2005,485,3988,1003,856,212,8556,125,31,360,103,145,19,782,271,45,502,275,604,43,1732,653,56,1075,296,341,273,2687,14789,2281,26996,7372,7854,1545,60839
12701,274,1747,517,573,59,4230,783,296,2538,1287,1283,182,6374,28,13,94,54,104,3,297,65,21,203,252,957,29,1516,115,22,422,301,657,267,1780,3866,1028,12065,7240,12863,1399,38475
12702,182,1351,384,473,71,3114,518,188,2180,1038,1397,203,5530,21,9,105,56,77,13,274,60,11,261,264,858,46,1504,84,15,482,336,600,389,1910,2432,715,12183,6480,10699,1611,34122
12703,208,1493,451,472,69,3653,1066,276,2695,1235,1262,211,6754,19,8,140,82,131,22,404,75,15,179,213,704,51,1236,171,28,457,261,534,257,1713,4847,1002,12681,6876,10360,1446,37218
12801,403,2273,589,529,87,4830,979,332,2568,1106,1023,210,6213,63,20,260,123,217,28,698,82,31,263,310,990,23,1709,153,23,509,285,553,143,1675,4773,1634,15174,8173,13616,1374,44745
12802,503,2525,671,690,86,5680,895,411,2380,1101,1163,180,6131,49,17,194,124,193,14,588,88,36,270,265,1029,35,1718,111,34,361,236,514,120,1376,4782,1806,13959,7830,13873,1106,43354
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
20101,679,2236,555,700,43,5187,1144,822,3076,1466,2066,201,8779,56,22,216,105,208,17,631,66,32,162,242,832,27,1360,55,14,189,153,448,138,996,3708,2264,10732,5932,14015,944,37589
20102,185,365,122,142,16,1089,202,144,530,336,379,48,1641,14,16,65,44,75,7,224,20,7,35,63,253,6,383,13,10,68,49,179,45,371,914,609,2425,1722,3884,374,9930
20103,68,241,91,110,6,576,83,90,344,289,446,37,1297,3,6,20,17,27,0,76,7,3,12,34,202,5,262,4,6,27,24,141,64,257,258,274,1163,1081,3293,277,6348
20201,570,1682,408,560,55,3790,1009,737,2815,1434,1939,196,8130,24,22,121,77,151,17,405,61,33,168,226,850,22,1363,42,23,127,115,441,125,876,2478,1959,8871,5134,13001,921,32363
20202,377,786,181,235,18,2141,453,345,1019,558,629,83,3091,61,40,150,69,80,8,417,30,19,110,90,378,9,643,43,33,135,68,204,74,552,2035,1320,4921,2737,5613,518,17140
20203,42,115,44,58,10,291,44,40,133,108,179,29,532,0,0,11,6,12,0,23,3,0,6,17,90,5,114,0,4,9,18,71,31,127,116,133,624,523,1609,167,3168
20301,125,354,132,127,10,886,83,125,428,265,381,32,1317,3,4,23,34,31,0,101,10,5,14,45,237,4,323,6,9,47,38,134,29,267,437,406,1812,1437,3606,253,7954
20302,1069,3798,1134,1106,102,9031,1821,1266,5651,2599,3687,353,15377,95,43,331,196,300,27,987,135,64,372,500,1524,68,2655,175,43,490,334,875,336,2255,7529,3826,22109,12057,25036,1919,72466
20303,573,1862,476,417,56,4249,822,643,2333,1051,1144,137,6127,62,30,256,125,157,13,652,54,32,214,243,605,35,1188,81,38,287,176,334,127,1042,3348,2056,10656,5601,10157,855,32671
20401,272,757,267,326,38,1928,194,195,700,615,742,96,2544,9,11,72,82,112,4,284,27,14,85,110,492,9,738,26,8,80,103,297,106,623,977,803,3688,3241,8127,704,17555
20402,234,650,220,314,22,1617,277,276,963,742,917,94,3272,13,7,29,36,72,9,176,18,11,49,91,433,13,612,18,7,48,56,245,97,472,825,767,3247,2676,6719,608,14848
20403,442,1074,385,500,23,2854,428,445,1545,1005,1416,117,4956,28,25,84,61,107,4,308,20,15,76,129,677,26,932,27,18,99,106,404,104,753,1541,1395,5690,4376,11303,791,25096
20501,291,902,303,435,36,2318,301,263,1014,702,937,110,3332,9,12,63,62,118,6,267,20,9,60,123,611,19,845,13,12,77,76,325,100,600,1088,841,3982,3102,8425,622,18061
20502,206,559,207,298,24,1458,206,170,726,636,807,72,2633,10,8,54,39,67,4,178,13,10,54,82,365,16,542,9,6,42,68,221,91,438,635,570,2480,2234,5909,564,12390
20503,335,941,301,326,34,2251,338,285,1085,770,1013,120,3612,41,27,170,103,178,11,525,24,17,104,113,607,23,883,23,21,101,114,319,112,691,1229,1050,4603,3420,8979,801,20085
20504,235,819,282,438,43,2127,393,290,1336,893,1448,145,4501,12,3,38,45,82,6,193,21,3,59,124,655,17,876,14,8,79,81,429,121,731,1089,808,4127,3396,10693,761,20876
20505,203,584,183,246,24,1410,227,182,674,522,786,74,2465,8,6,32,27,49,3,123,11,14,40,63,383,19,533,5,8,44,59,228,70,418,671,580,2729,2096,6099,524,12700
20601,821,2261,385,249,45,6310,1913,713,2932,677,524,95,6863,256,88,717,172,137,19,1381,209,62,456,201,384,22,1341,215,56,636,191,216,156,1471,10033,3236,19326,5020,5627,784,44024
20602,488,1337,202,116,27,3576,1347,482,1821,398,312,67,4425,152,62,414,92,67,10,794,127,47,253,123,198,12,760,116,29,361,98,105,85,788,5920,2196,11709,2744,2852,431,25857
20603,435,1411,258,172,38,3454,1159,493,2075,500,408,76,4710,80,44,330,110,125,11,704,107,43,212,135,283,19,792,172,31,398,141,170,129,1042,5741,2119,13007,3942,4557,678,30041
20604,533,2303,335,199,73,6875,2686,626,3911,704,516,143,8573,330,93,895,280,210,27,1850,343,60,654,354,379,54,1841,739,79,1194,333,252,325,2913,20816,3343,34835,8083,6232,1794,75107
20605,523,1838,382,244,55,4809,1782,586,2953,743,462,140,6661,219,83,701,249,185,24,1461,199,55,476,305,493,29,1563,370,83,866,290,270,190,2069,10510,3001,22883,6582,6418,1201,50588
20606,280,1031,165,93,31,2676,1297,350,2281,339,254,109,4625,112,38,453,116,83,17,819,103,29,264,146,243,17,803,235,35,671,129,121,125,1314,6986,1787,16562,3458,2940,742,32467
20607,557,1941,221,175,48,5075,2268,652,3492,521,414,97,7444,289,83,846,189,119,18,1544,213,68,414,202,368,41,1309,283,63,842,184,167,174,1711,11344,3247,24395,4610,4649,861,49102
20701,935,3142,475,296,75,7799,3660,1031,5896,1060,603,278,12531,185,75,613,173,117,27,1188,248,80,601,284,413,36,1659,489,110,1199,274,250,249,2577,16740,4817,34033,7439,6255,1442,70726
20702,357,1364,346,238,46,3399,1292,416,2562,725,636,138,5764,51,19,180,69,72,7,395,146,41,333,230,450,33,1230,248,33,586,195,222,190,1481,7013,1713,15097,4900,5184,1003,34911
20703,553,1875,384,270,52,4806,1519,572,3247,907,699,151,7088,102,39,282,81,90,3,597,190,80,433,257,391,29,1384,328,45,623,228,233,188,1642,9450,2514,17766,5542,5357,947,41564
20801,528,1727,403,238,60,4170,1275,452,2435,721,468,144,5487,111,46,382,119,119,18,794,116,49,327,199,341,34,1057,273,65,712,224,216,168,1657,7158,2549,18050,5397,5248,979,39378
20802,942,3194,672,510,113,7928,2338,843,4709,1305,1009,244,10454,158,58,568,185,166,33,1171,219,70,569,360,697,49,1964,487,82,1099,368,329,331,2690,13824,4082,30328,8601,8836,1748,67428
20803,780,2500,667,515,78,5853,1171,672,2984,1266,1238,179,7512,79,37,332,156,178,20,798,110,54,325,328,817,45,1678,181,56,609,303,504,213,1867,6007,2733,17619,8298,12077,1248,47984
20804,244,783,123,75,24,1905,851,247,1488,326,202,58,3171,42,22,154,63,47,10,334,62,11,129,73,117,7,404,149,29,352,73,65,71,740,4042,1193,8970,2094,1761,396,18459
20901,935,2655,586,478,75,6576,1946,871,3735,1261,1208,191,9218,108,52,382,134,155,14,852,165,60,371,288,712,25,1621,210,36,538,218,378,182,1574,8589,3371,19241,7034,10145,1142,49510
20902,650,1699,403,326,42,4445,1211,527,2370,892,876,138,6006,89,40,364,118,109,14,735,133,38,312,249,471,23,1225,205,46,472,196,332,220,1471,6260,2192,14051,5588,7149,1062,36301
20903,506,1530,395,342,53,3567,669,426,1567,727,716,112,4216,50,32,186,90,126,11,490,79,22,174,182,553,26,1038,83,27,244,132,282,85,857,3083,1675,8600,4389,7992,681,26416
20904,961,2978,1182,1192,130,8031,1985,979,5422,3021,3187,458,15051,79,45,286,214,282,21,924,213,43,433,680,1850,122,3347,353,61,786,574,1224,503,3505,9779,3284,23496,15398,26000,2813,80773
21001,352,1185,280,233,43,2613,518,253,1215,446,395,71,2889,25,13,154,67,78,3,340,48,15,155,141,425,12,803,77,15,276,108,235,113,828,2378,1148,8006,3496,5545,620,21200
21002,250,610,173,191,18,1509,192,180,578,292,299,49,1594,15,15,71,42,50,4,202,15,9,63,85,311,6,500,28,13,77,53,185,58,415,1006,751,3294,2056,4370,323,11809
21003,414,1302,340,281,32,3273,922,377,1693,774,656,139,4550,47,24,200,81,93,13,453,103,22,235,199,428,27,1008,170,35,389,180,244,165,1186,5005,1587,10815,4666,6076,900,29052
21004,236,776,260,322,27,1928,217,214,775,471,610,65,2354,15,8,73,48,73,6,226,15,11,70,122,411,19,643,17,11,78,71,267,70,514,1080,769,3881,3046,6587,445,15806
21005,569,1968,727,734,104,5145,1114,522,3244,1842,1863,268,8852,36,22,177,112,144,17,512,114,25,310,441,1182,73,2142,285,43,609,507,860,476,2782,6668,1958,16575,10802,16409,2177,54590
