SA3_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
10304,239,240,89,173,181,44,35,62,15,1073,327,311,205,510,369,88,56,89,29,1980,910,363,2549,1055,910,419,704,651,114,7676,63,17,52,56,114,58,40,62,3,465,68,42,54,93,157,57,53,62,11,600,25,37,15,14,21,6,6,12,0,143,58,45,39,50,72,38,43,73,56,480,3028,5717,3261,2514,2428,851,1017,1176,281,20277
10401,111,184,39,151,122,27,16,34,11,693,172,216,93,372,193,74,31,76,17,1233,640,268,1650,1170,638,374,450,675,95,5966,41,13,35,72,84,71,24,80,10,424,62,30,33,113,108,48,22,84,7,518,10,25,11,10,8,7,6,14,6,104,67,39,38,61,51,29,35,81,44,450,1605,2883,2002,2245,1500,703,623,1123,221,12908
10402,297,382,105,296,271,87,33,85,18,1567,461,413,244,811,508,216,63,182,35,2935,1122,486,3176,1717,1252,732,561,1099,121,10266,50,18,53,115,132,102,39,84,0,591,121,51,53,165,173,104,47,104,9,823,24,48,14,30,46,13,3,43,6,230,85,107,81,121,89,55,37,148,96,818,3535,7612,4053,4076,3279,1575,838,2056,374,27395
10501,97,48,14,104,24,5,11,4,0,310,134,58,27,122,107,18,21,24,8,508,370,78,601,230,211,59,245,227,35,2044,25,11,7,25,24,14,13,34,0,156,55,5,5,25,14,5,15,30,9,165,11,9,3,5,3,4,9,4,4,46,41,22,21,25,17,20,30,28,37,240,1081,1037,712,687,505,153,363,385,105,5024
10502,49,63,23,51,24,3,4,7,3,230,77,83,36,163,77,13,11,16,10,490,249,96,763,406,256,99,243,151,38,2297,11,7,9,31,25,18,11,23,0,138,15,17,8,34,27,19,20,18,4,160,3,10,0,6,4,4,4,4,0,26,16,13,11,24,18,17,13,28,20,170,613,1180,884,848,489,176,316,282,83,4879
10503,268,256,56,215,159,51,35,37,13,1088,372,326,130,590,372,112,36,76,32,2037,1236,392,2610,1383,1061,494,695,805,137,8810,78,29,45,98,140,69,41,75,3,574,113,49,50,115,162,69,51,60,7,674,27,31,24,23,35,9,10,12,5,174,107,80,65,90,76,59,64,109,81,734,3364,5310,3252,3294,2553,1133,1005,1472,357,21740
10601,271,268,158,237,210,68,47,46,19,1332,432,408,303,698,470,168,159,128,27,2805,1256,612,5259,2059,1550,714,2291,1148,227,15125,63,42,80,124,157,117,107,158,7,866,81,41,95,186,206,90,109,96,13,924,27,31,15,18,31,16,16,24,10,186,79,62,79,122,100,54,100,97,85,783,3322,4929,6270,3972,3225,1417,2941,1826,447,28349
10602,272,400,208,236,209,63,47,52,17,1497,491,506,360,830,587,190,125,127,53,3260,1157,609,4387,1898,1656,728,1400,848,180,12861,53,18,58,124,130,115,82,101,3,674,92,55,78,155,180,69,53,74,9,774,19,46,24,20,37,17,13,20,4,192,46,68,48,87,95,33,68,81,73,597,3369,6814,5467,4070,3557,1434,1894,1449,395,28453
10603,193,320,125,207,217,57,24,44,16,1200,353,359,289,605,418,148,66,104,31,2374,957,472,3345,1418,1022,568,769,754,176,9468,47,24,60,95,139,81,34,70,5,553,88,33,61,132,156,79,49,95,4,696,14,33,19,23,26,13,11,15,0,153,60,55,55,89,72,55,57,75,70,589,2597,4269,4154,3055,2509,1142,1069,1248,380,20436
10604,112,93,58,74,46,19,35,33,5,477,123,94,87,169,125,51,65,68,12,794,414,139,1681,430,395,190,835,442,67,4593,33,3,30,33,47,26,38,54,4,265,36,13,30,41,61,23,45,50,6,294,6,9,7,0,4,0,10,16,4,63,57,25,26,35,28,15,54,64,33,347,1131,1466,2029,915,847,378,1115,826,149,8844
10701,178,255,133,239,180,60,58,61,16,1187,327,393,358,719,510,137,80,113,34,2674,797,482,3403,1411,1218,518,904,828,155,9715,38,22,35,89,138,66,38,108,15,540,77,43,56,145,220,81,58,91,8,770,29,29,14,23,34,12,10,21,12,178,44,60,52,80,57,32,49,69,77,528,2453,5531,4362,3366,3086,1120,1287,1416,377,22995
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10703,308,400,181,363,273,82,47,60,16,1717,546,605,422,1018,633,226,105,154,52,3767,1223,638,4528,1825,1520,676,1177,1016,197,12803,55,40,62,113,173,87,51,98,11,683,142,82,83,202,248,105,74,106,17,1068,28,47,34,31,44,16,17,23,3,236,64,83,71,93,95,55,60,78,79,668,3936,8059,5690,4498,3842,1519,1614,1687,473,31318
10704,486,644,256,474,412,104,57,86,20,2544,732,796,568,1069,816,282,124,196,67,4648,1335,707,4656,1719,1469,709,1048,951,183,12770,58,45,58,150,183,77,52,99,6,728,137,135,84,180,352,102,76,79,16,1157,36,101,29,31,64,16,8,21,6,311,79,132,57,128,108,60,40,67,94,774,6812,17612,6578,5677,5445,2166,1809,1981,634,48707
10801,78,101,44,87,82,33,8,26,4,462,115,127,74,222,118,59,11,41,9,783,380,198,1097,602,319,216,179,369,58,3414,20,4,23,42,43,42,9,27,6,218,37,20,19,55,60,27,13,30,0,273,11,11,4,9,10,0,0,13,0,66,33,38,29,71,23,31,23,46,40,339,983,1809,1369,1268,822,470,263,601,140,7715
10802,111,160,28,150,91,35,12,27,3,619,190,156,81,360,177,59,20,56,12,1112,603,270,1488,1100,550,309,355,616,88,5380,42,20,24,83,77,55,19,62,6,384,58,32,22,108,73,40,23,61,12,436,13,17,10,19,18,13,0,20,0,101,63,42,51,91,39,47,48,89,61,524,1532,2610,1766,2189,1238,635,491,1015,206,11683
10803,0,5,0,0,0,0,0,0,0,10,6,0,0,0,3,0,0,0,0,16,15,0,21,0,10,7,4,14,5,68,0,0,0,5,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41,26,26,7,24,11,5,20,4,165
10804,246,400,135,226,258,78,25,51,23,1432,363,421,245,677,504,191,41,137,29,2609,1071,501,3168,1837,1191,729,544,833,156,10029,58,34,49,114,125,96,35,91,3,614,100,66,55,189,183,85,41,100,9,831,31,41,26,34,48,18,0,15,3,208,79,73,50,100,77,52,45,74,78,637,3099,6901,3977,3872,3026,1423,780,1446,357,24889
10805,135,234,57,155,113,36,19,24,14,794,166,240,107,451,202,102,19,68,15,1373,757,313,1771,1189,572,428,452,714,91,6292,48,8,36,68,72,60,30,64,5,402,63,38,41,86,125,42,32,50,7,489,18,25,8,13,19,10,4,17,3,112,55,57,47,104,40,52,41,72,57,530,1755,3288,2175,2356,1374,804,626,1080,236,13700
10901,216,237,134,209,188,62,33,45,13,1141,376,325,221,591,366,145,102,104,36,2264,1008,363,2748,1241,983,502,603,715,109,8285,55,16,43,86,96,77,40,69,3,474,82,38,34,111,141,63,38,64,8,572,22,29,17,22,12,12,16,17,0,144,58,52,45,68,43,34,38,79,66,492,3029,5642,3482,2962,2491,1092,999,1270,311,21277
10902,61,44,11,41,27,6,7,12,0,208,93,40,36,82,52,22,10,16,12,361,271,49,433,156,139,64,130,180,27,1449,28,4,5,8,18,9,7,24,0,105,25,9,10,13,10,10,6,14,5,92,8,4,0,4,3,0,0,7,0,27,24,10,11,15,8,9,16,27,15,136,699,620,546,391,341,132,176,310,55,3262
10903,200,122,44,115,100,25,15,38,13,680,233,153,91,325,168,62,18,75,5,1128,881,158,1615,637,522,252,463,599,84,5211,58,10,23,28,66,33,9,54,8,277,64,18,14,53,72,38,18,51,5,336,20,13,8,9,9,6,3,7,0,81,77,36,45,44,50,28,45,92,44,460,2246,2239,1909,1473,1229,511,611,1020,187,11428
11001,177,124,40,111,95,29,17,37,4,628,171,143,82,228,173,52,22,73,17,959,605,156,1045,469,406,204,212,423,37,3550,48,21,26,52,59,53,21,58,5,339,87,23,17,48,79,35,19,27,6,345,19,27,10,11,21,10,0,7,0,99,64,21,28,18,42,23,13,43,31,288,2107,3504,1467,1410,1318,516,348,910,149,11739
11002,157,134,31,90,62,19,9,22,7,533,164,127,48,228,154,47,14,60,13,845,682,197,1027,658,413,271,292,523,62,4124,45,17,23,54,45,44,22,60,0,310,82,9,12,62,59,38,17,36,3,315,24,10,5,12,9,11,0,11,0,76,81,38,39,46,26,46,25,74,48,427,1761,1857,1241,1346,944,527,390,890,159,9100
11003,123,75,20,72,46,8,12,9,3,371,135,100,51,159,104,38,30,30,9,645,400,128,764,319,300,142,354,243,43,2677,26,14,6,15,44,17,15,37,0,175,40,9,11,30,48,25,23,28,0,217,5,6,0,0,9,0,0,9,0,40,63,22,24,28,28,20,35,34,21,278,1221,1388,932,757,741,277,514,453,98,6396
11004,261,307,76,235,176,53,52,53,8,1218,409,376,179,656,394,130,91,129,37,2393,1308,505,3231,1445,1232,656,1129,1013,136,10653,82,18,54,100,159,89,50,135,9,689,128,63,64,140,184,95,71,104,7,862,29,33,32,23,24,20,6,46,4,207,99,56,70,104,92,55,75,145,79,775,3438,5879,3917,3287,2746,1239,1568,1948,337,24363
11101,418,694,226,378,425,104,55,65,22,2386,640,815,497,1086,838,228,113,123,55,4386,1472,801,5507,2201,1995,828,1131,1135,174,15242,72,40,72,129,204,117,46,118,9,811,133,86,101,219,371,108,65,100,10,1196,34,79,25,49,59,26,12,23,4,317,81,109,72,131,104,58,50,86,107,812,5281,13083,7009,5282,5357,1842,1612,1875,486,41831
11102,250,339,148,243,222,69,35,35,13,1358,384,450,307,792,487,163,102,118,38,2831,1067,588,4093,1652,1352,653,1030,896,181,11515,59,34,69,103,133,98,52,105,8,658,65,62,65,124,226,88,72,79,16,790,21,43,19,23,31,23,14,15,5,190,56,82,55,98,89,44,56,52,78,604,2951,6285,5042,3652,3166,1334,1427,1408,408,25671
11103,560,869,315,478,512,170,66,101,29,3108,933,1124,684,1411,1062,384,181,268,76,6113,1737,1126,6223,2977,2338,1081,1374,1328,236,18426,108,70,88,212,249,159,95,145,15,1132,132,151,120,253,344,150,103,135,15,1400,41,136,34,77,71,36,28,38,15,473,115,184,130,138,159,76,62,129,166,1161,8274,24316,8686,7730,7308,2916,2238,2693,814,64965
11201,375,476,157,315,248,107,29,100,23,1839,475,476,303,743,357,233,47,158,34,2839,1090,410,2988,1183,832,584,457,830,128,8495,72,28,45,80,83,83,15,83,0,500,131,90,75,162,146,90,29,87,13,833,38,60,27,36,26,20,11,27,11,266,105,127,76,123,66,63,32,90,128,799,4526,8794,4213,3822,2690,1599,717,1778,510,28656
11202,178,222,80,200,139,49,18,52,17,968,298,309,152,555,346,117,52,128,24,1977,942,341,2336,1337,934,501,548,1029,109,8087,56,17,44,83,109,80,36,107,10,541,88,49,39,138,144,83,30,92,13,672,30,31,9,23,33,16,3,28,9,176,75,66,44,79,65,57,41,97,77,594,2667,5089,2970,3087,2335,1056,794,1762,308,20076
11203,258,442,156,317,221,111,27,78,21,1632,468,425,328,863,474,224,78,194,35,3090,1157,464,3761,1539,1062,650,619,1075,165,10491,58,31,52,112,106,87,27,100,9,588,117,74,70,177,198,110,53,108,16,911,27,49,21,36,34,16,9,18,8,226,83,108,88,119,91,62,51,119,104,835,3650,7417,4845,4054,2998,1540,980,1983,487,27960
11301,173,119,72,122,100,30,31,60,11,710,221,168,111,333,177,65,50,142,22,1293,986,244,1841,614,646,294,483,643,115,5864,66,14,34,57,106,46,30,68,3,424,98,23,27,70,128,50,41,82,3,510,19,13,10,16,17,0,16,30,3,134,80,34,56,50,49,46,55,149,72,587,2362,2720,2337,1582,1526,617,766,1538,278,13716
11302,75,38,16,42,27,5,7,16,3,220,60,51,27,97,50,14,3,31,6,343,275,85,604,242,173,81,202,205,41,1910,26,0,9,14,21,9,13,30,0,117,25,14,8,26,28,13,9,19,0,133,3,0,0,0,4,4,0,0,0,23,24,8,4,14,13,7,24,26,21,136,728,771,685,526,404,147,279,390,81,4010
11303,337,346,103,316,193,52,30,66,25,1462,471,466,272,899,485,169,62,105,42,2964,1789,683,3780,1883,1407,712,903,1055,172,12378,91,50,72,137,140,102,68,138,8,812,142,42,65,157,227,92,57,124,14,919,29,62,21,31,43,24,15,29,9,259,159,83,78,103,100,72,58,130,111,892,4584,8057,4858,4396,3345,1524,1285,1916,453,30417
11401,320,427,155,324,244,87,30,64,21,1677,489,453,330,860,457,176,55,133,33,2982,1416,618,4418,2033,1268,781,735,1225,177,12673,81,33,60,104,167,119,29,110,4,715,109,66,72,217,176,106,41,129,12,941,32,42,24,24,49,27,3,16,4,231,104,86,88,133,106,89,48,116,72,829,3992,7168,5485,4489,3133,1696,1004,2050,418,29434
11402,260,311,107,176,172,92,30,61,9,1233,283,258,190,354,225,112,32,88,25,1559,735,266,2129,573,497,341,446,513,81,5584,29,20,41,39,82,56,22,47,4,340,94,63,67,68,121,58,29,60,7,578,23,32,22,11,18,13,11,16,5,152,61,54,51,42,56,60,35,49,32,440,2975,4830,2937,1817,1815,983,674,1019,254,17303
11501,802,940,325,397,773,252,83,125,29,3721,897,988,408,592,909,385,90,124,68,4471,1274,601,2459,753,1034,563,339,442,105,7567,77,54,35,63,187,79,19,39,3,567,260,205,122,140,412,173,46,69,19,1442,101,219,50,40,102,47,14,18,18,599,150,196,54,71,144,65,27,33,149,900,12434,24811,4827,3736,8425,3079,1053,1401,904,60672
11502,204,188,69,66,139,52,18,17,17,758,223,162,107,130,201,68,17,33,8,949,552,134,1094,177,290,157,160,183,42,2787,31,10,16,9,49,16,4,16,0,150,70,35,47,36,90,49,16,30,4,374,37,26,11,7,23,5,3,6,5,112,39,21,17,8,31,10,4,9,31,169,2276,2858,1529,639,1317,523,233,367,164,9906
11503,144,132,44,77,127,35,11,23,4,590,171,119,101,249,187,56,27,43,9,963,540,166,1651,323,434,201,340,286,76,4001,21,12,14,21,60,15,9,20,0,179,39,21,29,40,86,33,21,29,0,304,18,16,10,0,25,3,0,12,0,81,36,21,34,22,27,14,20,19,18,205,1514,1931,1967,911,1173,426,449,467,136,8976
11504,306,286,96,147,247,89,45,32,14,1265,459,416,228,400,507,184,55,58,22,2324,780,276,1850,455,631,279,311,286,56,4928,35,23,26,36,87,41,13,27,0,282,103,62,44,65,157,60,26,36,6,562,36,71,16,22,54,16,18,3,0,233,62,77,33,33,62,31,21,15,69,408,4415,7644,2765,1825,3216,1192,662,609,311,22641
11601,314,407,302,330,395,144,321,175,39,2425,535,635,512,878,807,326,570,331,87,4695,804,468,3096,1349,1250,497,1009,779,159,9422,53,43,64,77,184,78,95,98,7,686,97,90,113,186,277,110,142,138,22,1174,50,119,42,57,93,47,100,60,21,588,85,186,86,124,146,67,123,124,210,1153,4847,12920,5558,4979,6511,2350,3875,2742,938,44715
11602,491,558,312,348,530,156,214,123,34,2762,809,821,447,934,984,359,313,220,89,4985,1136,558,2820,1075,1283,569,746,596,145,8935,84,39,53,70,176,75,58,43,8,617,162,123,99,139,285,109,103,79,21,1119,85,215,53,63,98,53,43,41,14,650,105,196,73,97,125,73,77,66,166,971,8614,20562,5457,4941,8313,2779,2635,1908,972,56178
11603,156,212,190,223,245,90,187,108,22,1421,306,381,304,699,557,242,344,189,52,3073,555,381,2190,1220,994,427,1108,721,145,7730,27,25,35,80,159,67,104,92,6,588,67,48,66,139,181,66,171,131,11,876,21,62,29,46,49,12,55,32,8,321,45,54,66,99,106,46,166,103,178,867,2322,6168,3627,3732,4160,1491,2926,2000,582,27011
11701,241,253,202,204,240,120,69,117,18,1463,335,335,283,400,412,236,119,156,39,2311,430,196,1576,487,442,225,284,339,80,4063,32,18,14,29,51,33,10,27,3,216,67,50,45,62,136,61,36,57,15,523,35,63,37,22,43,22,9,32,7,275,43,79,59,60,69,42,33,65,104,550,3433,7569,2897,2247,3057,1534,945,1263,443,23394
11702,214,377,119,133,176,85,27,44,13,1189,351,462,198,261,306,145,55,61,28,1872,350,273,964,310,359,172,140,189,50,2806,31,29,24,28,44,23,10,21,5,220,72,82,41,53,105,37,13,40,8,437,40,56,21,20,18,6,3,13,3,185,34,70,28,21,39,24,11,28,44,290,4580,11967,2093,1658,2800,1085,439,680,333,25626
11703,981,1286,656,580,583,425,116,366,76,5072,1485,1594,970,1212,974,673,192,530,113,7742,1293,920,2645,1046,971,577,256,586,138,8434,111,99,69,105,135,87,31,72,9,726,259,269,153,193,277,161,54,94,21,1478,151,349,97,102,124,72,35,78,24,1027,236,339,115,140,152,117,76,142,340,1654,21298,51275,7692,7248,10923,5649,1648,3614,1860,111202
11801,705,855,163,272,408,228,28,78,57,2794,737,769,332,405,488,313,57,85,58,3241,724,357,1431,449,393,304,108,229,75,4072,60,47,21,40,65,39,8,25,6,313,221,180,72,93,177,113,23,43,14,947,126,236,36,43,77,39,13,22,23,618,190,305,53,82,104,83,20,47,194,1083,14047,27899,3098,2849,5270,3312,510,954,1290,59229
11802,616,767,274,324,505,232,69,110,45,2958,709,748,426,598,711,287,113,168,56,3805,936,434,2888,750,740,369,309,524,114,7061,61,49,42,83,107,68,21,35,5,468,169,139,101,159,288,124,46,79,5,1112,105,205,61,57,98,42,17,29,13,634,108,191,79,96,132,63,38,67,173,943,10660,24002,5079,3918,6105,2756,1052,1665,902,56132
11901,457,510,311,354,581,189,144,152,42,2750,762,748,543,977,1100,416,241,253,97,5131,1013,475,3255,1178,1284,521,752,817,193,9483,68,42,54,103,219,85,64,77,10,727,169,93,129,175,410,153,121,144,41,1444,60,117,57,58,138,41,45,48,13,577,117,170,88,131,201,81,99,97,209,1180,5946,13883,5511,4600,6925,2583,2137,2173,953,44709
11902,333,397,249,313,426,215,180,148,34,2312,537,504,479,793,672,421,249,302,59,4017,630,333,2043,868,764,421,469,492,128,6138,47,38,43,74,133,79,29,56,12,508,116,93,86,177,316,130,91,102,13,1125,61,99,37,62,89,47,50,45,7,496,97,124,85,109,128,86,74,97,187,992,4633,10824,4113,4220,4994,2737,2017,2126,779,36441
11903,428,532,320,371,571,253,127,203,40,2844,645,612,472,815,784,415,183,329,77,4322,799,329,2193,895,916,459,445,482,103,6611,59,42,52,72,164,81,41,54,4,582,161,99,104,168,341,128,74,77,19,1167,53,121,54,48,105,42,31,50,17,517,95,181,82,99,132,91,62,97,169,1003,6453,15252,4656,4414,6475,3032,1540,2394,831,45058
11904,550,568,409,374,598,280,187,253,59,3275,749,764,616,899,936,531,219,406,84,5203,871,477,2681,979,1065,468,574,598,142,7849,72,35,58,92,165,90,42,69,14,635,160,117,130,166,392,165,92,126,24,1373,81,136,61,66,105,70,38,75,8,639,103,209,131,114,171,94,77,131,180,1209,7323,17538,5739,4918,7223,3475,1986,3095,1018,52312
12001,535,473,151,178,391,164,45,80,31,2037,627,584,300,379,595,267,64,89,45,2954,722,349,1577,408,579,308,191,280,80,4494,64,43,30,43,108,39,14,17,3,358,174,112,60,69,249,133,24,47,13,888,71,109,23,22,59,32,11,15,10,349,84,103,36,34,99,44,17,34,108,560,7734,14918,2912,2095,4733,1996,560,886,611,36445
