SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
11901,71862,75084,146943,19639,14451,34092,7957,11326,19278,7325,5393,12719,2864,2099,4959,37785,33261,71046,28914,36422,65342,7.6,6.3,7,52.6,44.3,48.3,48.6,41.5,45,3802,3721,7529,648,1157,1806,10323,12188,22511,5559,7575,13134,11458,5649,17108,502,917,1420,1167,1744,2913,13128,8306,21440,74761,76857,151619,10155,10069,20215,51532,53375,104905,27941,28403,56342
11902,58446,56383,114838,14392,10702,25093,7283,8537,15819,6115,4328,10439,2611,1643,4257,30403,25210,55613,23379,26950,50329,8.6,6.5,7.6,52,44.7,48.4,47.5,41.8,44.7,4348,3589,7940,593,952,1546,9440,10181,19622,4904,5608,10513,7134,3733,10863,355,620,979,802,1253,2054,8287,5613,13897,56793,55151,111940,9564,8452,18012,37240,37748,74986,25089,22316,47404
11903,54040,56852,110895,17957,13716,31674,7529,11013,18538,5038,4256,9291,1926,1420,3348,32447,30411,62857,18904,23516,42424,5.9,4.7,5.3,60,53.5,56.7,56.5,51,53.7,5128,4980,10107,783,1315,2097,11600,12973,24577,5048,6417,11467,7382,3615,10993,354,643,995,867,1453,2324,8606,5712,14316,52173,54316,106491,9338,8986,18325,35415,37717,73126,23114,22938,46053
11904,61005,62659,123659,21753,16809,38562,9435,11976,21407,4416,4261,8677,2359,1766,4123,37956,34816,72771,19111,23989,43104,6.2,5.1,5.7,62.2,55.6,58.8,58.4,52.7,55.5,5497,5900,11396,819,1279,2098,13008,14738,27747,5936,6907,12841,8314,4165,12481,368,654,1023,981,1510,2488,9665,6327,15995,55095,56764,111860,12323,11922,24250,35415,37566,72988,28544,27807,56352
12001,34448,38330,72771,15590,12314,27904,4790,7538,12322,2070,2529,4595,1000,840,1839,23447,23219,46665,9469,13375,22840,4.3,3.6,3.9,68.1,60.6,64.1,65.2,58.4,61.6,4416,4828,9245,743,1298,2039,9050,10833,19882,3201,4341,7537,4657,2126,6783,205,333,534,612,977,1591,5477,3440,8917,32483,35383,67868,6942,7439,14380,20810,23140,43954,16566,17859,34424
12002,21917,24467,46391,11175,9687,20863,2876,4904,7787,1061,1514,2573,625,603,1226,15741,16704,32445,5112,6734,11849,4,3.6,3.8,71.8,68.3,69.9,69,65.8,67.3,3287,4202,7489,683,1220,1906,6830,8236,15061,1883,2401,4286,2258,1096,3348,125,191,314,313,437,746,2697,1717,4412,20753,22645,43395,4698,5208,9899,12725,14260,26990,11287,12269,23555
12003,68938,70876,139818,25964,20948,46907,11336,14380,25716,4862,4774,9631,2924,2176,5101,45087,42278,87362,20034,24983,45016,6.5,5.1,5.8,65.4,59.6,62.5,61.2,56.6,58.8,8760,9239,17997,1328,2265,3597,18216,20022,38232,6684,7469,14153,6543,3714,10257,343,566,917,920,1251,2175,7807,5532,13348,58891,61219,120105,16495,16118,32611,35059,37705,72765,37050,36557,73608
12101,45759,49986,95751,22508,16827,39336,6399,10107,16506,2120,2904,5019,1335,1268,2599,32362,31100,63456,11790,16990,28776,4.1,4.1,4.1,70.7,62.2,66.3,67.8,59.7,63.6,8173,8291,16467,1320,1958,3277,15469,17131,32605,3632,5096,8725,3302,1812,5114,182,348,538,640,999,1639,4128,3160,7283,44203,47204,91404,10267,10708,20973,26922,29132,56051,24782,26161,50937
12102,34062,36178,70237,15951,10887,26839,4883,8541,13415,1798,2276,4069,1009,858,1873,23640,22557,46196,9441,12551,21991,4.3,3.8,4,69.4,62.4,65.8,66.4,60,63.1,4739,4638,9374,852,1424,2279,8907,10343,19249,3264,4228,7489,4879,2511,7386,237,374,613,581,994,1574,5700,3878,9575,35552,36769,72327,5928,6022,11952,23459,24367,47825,15825,16373,32194
12103,47520,52628,100149,21107,14149,35256,6831,11583,18415,2093,2953,5044,1434,1134,2575,31473,29822,61291,14881,21394,36276,4.6,3.8,4.2,66.2,56.7,61.2,63.2,54.5,58.6,9324,8241,17566,1383,2178,3567,15511,17109,32620,3657,5666,9328,2973,1657,4624,202,353,556,687,1228,1916,3860,3243,7103,50304,53932,104242,7899,8517,16421,34216,36851,71064,21487,23173,44663
12104,37650,44066,81717,19678,17152,36830,5015,7842,12868,1580,2302,3877,986,966,1951,27258,28267,55520,8817,13981,22797,3.6,3.4,3.5,72.4,64.1,67.9,69.8,62,65.6,7011,7322,14333,1173,2029,3207,13679,15981,29657,3073,4778,7855,2565,1538,4103,151,251,402,498,917,1416,3217,2709,5924,32775,37342,70116,9221,10653,19870,18552,21881,40428,21622,24386,46004
12201,17069,18376,35449,8641,6081,14725,2465,4127,6597,735,1102,1840,422,395,816,12265,11718,23981,4139,5991,10133,3.4,3.4,3.4,71.8,63.7,67.6,69.4,61.6,65.3,2537,2375,4907,443,708,1147,5900,6338,12240,1439,2071,3508,1583,774,2356,77,172,247,281,470,748,1939,1416,3358,16184,17221,33402,3763,4012,7779,9902,10769,20671,9140,9510,18655
12202,25128,26911,52040,10509,6204,16715,4258,7116,11372,1314,1855,3170,566,453,1016,16650,15622,32269,7389,9984,17374,3.4,2.9,3.2,66.2,58.1,62,64,56.4,60.1,1999,1870,3872,441,929,1369,5471,6591,12057,2548,4049,6601,5258,2008,7269,126,329,463,612,923,1536,5996,3265,9266,25731,26960,52683,3724,3890,7614,18019,19028,37044,10147,10549,20698
12203,61656,65679,127337,28361,19186,47545,9831,16298,26125,3383,4751,8129,1482,1191,2675,43063,41419,84479,16519,21909,38427,3.4,2.9,3.2,69.8,63.1,66.3,67.4,61.3,64.2,5243,5293,10537,1226,2290,3519,14138,17296,31435,6115,8656,14771,11645,4825,16476,423,803,1226,1215,2058,3276,13284,7686,20969,63514,65900,129419,10194,10653,20842,42904,44716,87620,27125,28302,55423
12301,27005,29139,56141,13147,8528,21676,3871,7119,10989,2180,2694,4877,600,581,1178,19791,18928,38714,6368,9239,15609,3,3.1,3,73.3,64.9,69,71.1,63,66.9,993,1338,2330,319,737,1052,2765,4587,7355,2440,3643,6087,8230,4057,12285,207,491,695,514,820,1338,8951,5370,14319,29805,31426,61229,4484,4656,9137,18833,19624,38456,13043,14059,27105
12302,67483,71395,138878,24162,16875,41033,8064,12632,20694,6471,5020,11489,2591,2352,4946,41284,36878,78166,22091,30035,52128,6.3,6.4,6.3,61.2,51.7,56.3,57.3,48.4,52.7,3977,3878,7863,656,1163,1822,8294,10875,19172,5316,7123,12443,13855,8374,22230,591,1218,1804,1052,1746,2800,15501,11334,26833,70657,73260,143921,10444,10655,21100,45047,46463,91507,30651,32209,62857
12303,17766,18163,35926,7930,4582,12515,2375,4540,6911,1326,1423,2749,351,330,682,11984,10878,22864,4833,6316,11146,2.9,3,3,67.4,59.9,63.6,65.5,58.1,61.7,392,651,1048,149,378,523,1196,2306,3503,1266,2177,3441,6448,2780,9228,131,356,484,313,560,875,6895,3696,10592,18975,18882,37863,2498,2585,5082,13052,12872,25921,7022,7294,14315
12401,30815,33518,64330,11566,7607,19172,4776,8016,12788,1890,2371,4265,863,592,1452,19097,18588,37680,10676,13789,24467,4.5,3.2,3.9,62,55.5,58.6,59.2,53.7,56.3,2528,3256,5782,843,1583,2426,5333,7458,12793,3105,4347,7455,7270,3660,10934,280,478,757,626,954,1585,8182,5086,13271,32038,34233,66274,4077,4259,8338,23049,24695,47739,11419,12143,23561
12402,8,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,75,0,42.9,75,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,6,0,4,0,0,0,5,0,3,3,0,3
12403,60582,64499,125085,27270,18805,46072,8265,13483,21747,4532,5270,9800,1760,1612,3375,41832,39170,81001,15541,21886,37429,4.2,4.1,4.2,69,60.7,64.8,66.1,58.2,62.1,2543,3143,5689,633,1291,1925,6156,9464,15619,4681,6978,11660,16532,9235,25762,559,1134,1701,996,1511,2514,18088,11882,29971,63047,65066,128110,10122,10875,21001,39687,40901,80593,28531,30459,58986
12404,15312,15804,31115,6019,3865,9887,2053,3332,5375,1067,1158,2221,381,317,699,9520,8668,18189,4916,6261,11172,4,3.7,3.8,62.2,54.8,58.4,59.7,52.8,56.2,440,575,1022,135,324,461,1026,1808,2829,1039,1710,2741,4355,2321,6674,122,320,447,243,409,650,4710,3056,7766,14469,15046,29518,2377,2484,4856,9551,9906,19452,6259,6685,12946
12405,22124,22605,44725,8544,5806,14342,2791,4136,6931,1758,1535,3298,797,687,1486,13891,12167,26059,6627,8746,15373,5.7,5.7,5.7,62.8,53.8,58.3,59.2,50.8,54.9,670,714,1380,128,297,423,1926,2721,4652,1440,2150,3590,5217,3069,8288,212,391,606,340,596,935,5773,4059,9830,22879,22888,45768,3107,3159,6268,15634,15583,31215,8638,8875,17512
12501,46110,40922,87030,13279,9658,22945,6398,6864,13264,4050,2956,7000,2317,1559,3873,26045,21042,47085,16731,17287,34013,8.9,7.4,8.2,56.5,51.4,54.1,51.5,47.6,49.7,4553,4280,8836,472,772,1244,9174,9344,18518,4132,4273,8404,3691,2085,5768,220,342,566,485,629,1115,4397,3058,7452,38355,35639,73992,11241,9970,21210,20916,20587,41503,25781,22520,48299
12502,29225,30300,59519,10783,7927,18709,3740,5736,9477,2575,2060,4638,955,815,1773,18055,16539,34595,9853,12506,22358,5.3,4.9,5.1,61.8,54.6,58.1,58.5,51.9,55.1,3454,3258,6706,465,816,1279,7005,7760,14764,2587,3312,5900,3866,1890,5752,205,330,538,467,701,1171,4541,2921,7458,29854,30376,60226,5160,5149,10311,19323,19861,39181,13755,13842,27598
12503,65469,63769,129241,15896,11870,27762,7201,9012,16213,5858,3926,9781,2945,1867,4813,31901,26666,58568,27512,31591,59101,9.2,7,8.2,48.7,41.8,45.3,44.2,38.9,41.6,3287,3082,6376,481,913,1395,8461,9634,18097,5003,6349,11349,9013,4805,13814,449,796,1242,953,1369,2320,10407,6967,17376,65033,64277,129308,9725,8989,18715,43104,43696,86801,26561,24901,51471
12504,62314,60914,123226,26690,18339,45028,8354,10573,18920,4562,3907,8465,2370,2458,4822,41969,35272,77246,16412,21986,38395,5.6,7,6.2,67.4,57.9,62.7,63.6,53.9,58.8,10090,9021,19110,1154,1551,2705,15980,16498,32476,5332,5678,11007,6850,3662,10507,339,576,919,733,1177,1910,7920,5418,13335,56684,56329,113019,15045,13745,28791,30812,31953,62770,36538,33975,70508
12601,21287,23104,44393,9523,6860,16389,2935,4773,7713,1221,1351,2579,707,696,1392,14388,13684,28070,6237,8732,14972,4.9,5.1,5,67.6,59.2,63.2,64.3,56.2,60.1,4348,3912,8260,588,860,1445,6606,7371,13979,1759,2297,4051,1679,959,2638,98,180,272,257,492,756,2036,1629,3664,21411,23003,44418,4161,4394,8549,13494,14552,28051,10953,11710,22669
12602,59476,63745,123220,25833,19452,45291,8448,12377,20820,3650,4161,7811,2008,1820,3836,39943,37812,77755,16853,22923,39780,5,4.8,4.9,67.2,59.3,63.1,63.8,56.5,60,9128,9250,18376,1120,2009,3125,16912,18710,35618,5117,6574,11685,6551,3274,9824,314,555,869,839,1473,2308,7707,5297,12999,55478,58360,113838,12764,13055,25817,33487,35587,69075,31395,32531,63921
12701,53112,55312,108424,19389,13589,32977,6488,9976,16466,5142,4368,9508,1890,1607,3501,32912,29538,62451,17323,22912,40237,5.8,5.4,5.6,62,53.4,57.6,58.4,50.5,54.4,2015,2543,4560,399,879,1268,6436,8804,15239,4356,6133,10484,10511,5700,16212,344,764,1108,811,1305,2121,11671,7773,19439,57557,58125,115676,8939,9470,18408,33911,34204,68117,27402,28729,56127
12702,78318,82287,160601,18065,13000,31066,7534,10045,17577,6849,5115,11964,3244,2380,5623,35690,30535,66225,37494,46641,84135,9.1,7.8,8.5,45.6,37.1,41.2,41.4,34.2,37.7,1473,1666,3139,344,699,1042,7881,9342,17224,4983,6619,11601,10315,5910,16228,572,1054,1625,1014,1543,2559,11905,8503,20410,81040,83894,164938,8751,9003,17752,58075,60256,118333,27382,28405,55782
