SA3_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
12001,7564,5222,2364,944,52544
12002,5272,3719,1493,400,36108
12003,11851,6993,3239,1617,98313
12101,10076,7107,3587,1563,74048
12102,7730,5266,2821,1089,51708
12103,13132,9127,5910,2672,75087
12104,9378,7442,4413,1399,66304
12201,4470,2663,1558,479,27384
12202,7217,5508,3167,1165,36911
12203,13613,8691,5316,2271,89200
12301,4441,2735,1124,442,34252
12302,11054,7388,2983,821,80328
12303,3310,2479,1048,375,21978
12401,8811,7579,3370,1040,45581
12402,0,3,0,0,3
12403,9423,6178,2721,915,74496
12404,2656,1701,938,367,18528
12405,3613,2171,709,249,24206
12501,4970,2773,1049,399,53992
12502,6115,3683,1945,726,40331
12503,8250,4990,2405,1069,69642
12504,8616,5537,2821,1094,89510
12601,5321,3750,1863,711,33743
12602,12095,8087,4001,2078,90422
12701,6835,3582,1399,392,59154
12702,9738,6247,2866,1162,67091
12703,7843,4327,1987,801,61972
12801,10641,7699,4173,1926,65982
12802,9927,6960,3291,1267,61047
19797,0,0,0,0,0
19999,1165,680,173,28,7237
20101,8405,6718,3232,1218,57685
20102,3456,2778,1102,315,16695
20103,2315,2257,1023,239,12282
20201,7461,5980,3087,1276,50332
20202,5598,4879,2282,679,28732
20203,1267,940,398,139,5802
20301,1903,1296,495,157,11364
20302,14718,11072,5706,2111,108195
20303,9079,8922,3957,1246,52517
20401,5657,4840,2154,706,29966
20402,4454,3703,1872,668,24110
20403,6742,5283,2341,671,38795
20501,4716,3880,1845,505,28378
20502,4757,4850,2449,678,24301
20503,7238,6822,3074,907,36487
20504,6163,4639,2267,847,36295
20505,3883,3365,1356,428,21812
20601,5716,3098,1055,385,56491
20602,4208,2234,797,364,33208
20603,5647,3442,1263,499,40886
20604,7096,4756,2204,698,109325
20605,8979,5708,2615,817,70268
20606,4653,3791,2223,778,44842
20607,6423,4371,1868,486,63873
20701,17125,12066,6579,2763,103483
20702,8223,5901,4045,1491,54187
20703,8690,5810,3434,1642,62763
20801,11196,7873,4373,1881,59043
20802,12923,9170,4066,1904,93395
20803,10037,6619,3314,1448,66817
20804,3916,2812,1560,676,26151
20901,10403,7767,3899,1352,70544
20902,5549,3023,1436,779,51183
20903,7161,4715,1769,409,36905
20904,12555,7499,3076,1035,115618
21001,4355,3061,1753,609,30317
21002,3108,2124,922,215,17126
21003,4178,2179,1282,858,41626
21004,3292,2076,845,261,22347
21005,9035,4594,1815,485,85048
21101,12754,8568,4236,1607,83340
21102,2805,1870,960,356,14451
21103,8884,6129,3396,1427,61091
21104,4768,3595,2196,993,35228
21105,13063,9439,4299,1179,79977
21201,6911,4417,2133,651,56692
21202,9533,5658,2542,917,65001
21203,10444,5436,2209,592,102204
21204,9390,6816,3530,1329,85033
21205,13507,9153,5789,2704,104348
21301,9762,6130,2674,977,79053
21302,6660,3890,1628,656,44901
21303,4839,2442,901,470,49395
21304,9088,5437,2066,534,87858
21305,12519,7017,2489,687,146108
21401,10121,6869,3436,1337,69705
21402,15849,14588,8590,3019,89268
21501,5012,3934,1947,802,27485
21502,3912,2733,1301,483,24978
21503,2851,2219,1036,437,16194
21601,3197,2386,1263,520,17524
21602,2316,2051,1114,353,13438
21603,4606,3288,1709,695,30231
21701,3254,2713,1182,443,17108
21703,3295,2683,1175,416,17796
21704,4339,3341,1560,588,25833
29797,15,4,0,0,40
29999,779,411,85,18,5907
30101,6318,4297,1767,704,37028
30102,8681,6895,3520,1143,48095
30103,5664,3495,1600,640,38063
30201,3367,2216,1117,431,24715
30202,5088,3161,1837,1094,41283
30203,2849,1750,802,355,24565
30204,4400,2865,1453,598,31756
30301,4277,2604,1119,421,30587
30302,5563,3231,1559,673,50088
30303,5246,3302,1733,637,43786
30304,2744,1602,829,313,22807
30305,3908,2438,902,342,34130
30306,3216,2284,1065,296,26300
30401,3102,2313,1019,334,18610
30402,4778,3411,1901,691,27933
30403,3939,3072,1685,560,32949
30404,3979,2671,1402,510,30012
30501,6092,3748,1496,478,61382
30502,3557,1743,634,176,27036
30503,7403,4178,1962,621,64417
30504,4900,3051,1236,345,38198
30601,5675,3458,1272,285,31327
30602,7873,5233,2316,749,53978
30603,3176,2286,941,275,15689
30604,1298,965,385,89,6788
30605,4028,3350,1608,458,21025
30701,2956,1840,855,292,19314
30702,3106,2084,1068,412,18507
30703,3475,3075,1467,407,18843
30801,1775,814,298,77,12793
30803,9167,5868,2678,991,55192
30804,932,564,282,101,6314
30805,5025,2755,1030,287,29410
30901,5489,4117,1987,716,38323
30902,4874,3738,1738,735,31778
30903,6123,5315,3115,998,37380
30904,2273,1663,737,153,11351
30905,2919,1850,762,225,18511
30906,5170,3508,1750,587,35022
30907,9686,6144,2624,632,76650
30908,3801,2793,1709,786,28978
30909,4710,3348,2013,952,35955
30910,4242,3526,1802,416,27466
31001,4059,2401,1281,442,33907
31002,5413,3920,1689,430,30234
31003,7740,4690,2223,782,53709
31004,4780,2536,890,154,46459
31101,1120,891,414,154,6328
31102,2651,1918,1026,263,20777
31103,5034,2980,1168,338,39089
31104,3726,2121,714,136,27364
31105,4061,3077,1442,521,30379
31106,4430,3365,1507,440,35316
31201,2471,1193,472,102,17437
31202,9330,5259,2256,754,57390
31203,1912,1299,479,85,12602
31301,3677,4407,2464,635,18409
31302,4806,3501,1697,579,35521
31303,1150,917,339,83,6555
31304,4579,3157,1485,409,32055
31305,5722,4865,2501,937,32100
31401,7877,4758,1843,355,47842
31402,4597,2626,1260,453,42444
31403,2512,1723,673,182,18765
31501,2216,1145,377,42,13540
31502,1904,778,326,69,13222
31503,1396,835,365,122,7629
31601,4824,3746,2117,905,31694
31602,8236,6534,3707,1346,50616
31603,6453,5113,2342,874,36494
31605,4764,4331,2329,794,26127
31606,5918,4752,2054,526,31853
31607,4357,3099,1520,469,25519
31608,2923,2254,907,225,13344
31701,11507,8331,4217,1346,78019
31801,3039,2267,1118,370,17329
31802,14065,8644,3657,1023,93849
31901,7717,6423,3395,905,42455
31902,4098,3570,1593,367,21495
31903,5006,4025,1741,414,24819
31904,5757,5676,3087,900,30767
31905,4560,4198,1668,408,21589
39797,5,3,0,0,170
39999,1684,1277,239,26,9143
40101,1745,1678,814,283,17006
40102,7643,5976,2450,689,43091
40103,4587,4043,2325,806,27235
40104,3956,2723,1729,677,28911
40105,3301,2631,1313,541,22228
40106,2637,1969,802,347,17503
40107,3588,3199,1544,681,23152
40201,2802,1784,935,362,16988
40202,4955,3088,1442,585,37996
40203,3937,2823,1436,487,38908
40204,7655,5188,2497,928,59185
40205,7293,5731,3000,971,48365
40301,3729,3357,1662,661,20662
40302,7135,5492,2437,913,51045
40303,6317,5018,2655,961,38049
40304,13798,10977,5118,1607,86399
40401,8765,6195,2850,1042,60072
40402,4694,3012,1089,398,28802
40403,4515,2910,1528,746,35584
40501,3197,2401,1012,309,17703
40502,1949,1653,713,218,9922
40503,2156,1589,758,213,11115
40504,2368,2333,1166,370,11632
40601,4275,3026,1429,514,24686
40602,1782,1108,482,102,10851
40701,5543,6279,3219,891,28088
40702,4727,3695,1724,582,28537
40703,5250,4317,2010,623,29714
49797,0,0,0,0,9
49999,345,212,26,9,1909
50101,5021,4259,1939,582,29681
50102,8556,6044,2652,893,50756
50103,2309,2014,872,193,11480
50201,8575,7455,4238,1441,50461
50301,7574,5990,3589,1428,44200
50302,9004,6237,2653,1072,73773
50401,6044,4391,2098,691,45890
50402,3951,2991,1435,431,21862
50403,9198,5124,2206,691,68477
50501,15375,10947,4088,1207,86636
50502,14647,10557,5912,2311,115535
50503,12890,7241,3410,1173,96973
50601,5457,3545,1547,423,44561
50602,4981,3177,1322,525,43564
50603,6779,4776,2519,1062,54336
50604,7137,4788,2252,768,57919
50605,4507,3549,1883,633,29184
50606,1967,1062,411,89,14449
50607,3971,3188,1544,750,26962
50701,7806,4704,1933,727,59925
50702,4302,3134,1375,527,24564
50703,2230,1278,492,145,20817
50704,9968,7979,3917,1642,60988
50705,9423,5397,2844,920,63713
50901,5525,4417,2112,729,29637
50902,4948,4027,1780,466,25579
50903,1534,1160,518,168,8411
51001,2329,1118,296,60,16112
51002,1675,386,84,13,13450
51003,1737,440,92,10,15559
51101,1175,773,487,111,7251
51102,754,469,180,33,4798
51103,2576,1166,368,100,17778
51104,4381,3107,1373,476,25952
59797,48,15,0,0,428
59999,876,505,105,20,5668
60101,1023,797,320,63,7710
60102,4819,3764,1940,698,30580
60103,3572,2426,1371,523,27448
60104,3122,2623,1277,388,20361
60105,4975,4239,1925,694,35574
60106,1739,1278,528,128,9353
60201,6309,4797,2664,944,42664
60202,2414,2003,862,190,11526
60203,3700,3195,1405,370,18325
60301,1112,756,287,57,5451
60302,2431,1956,777,178,11482
60303,932,895,384,107,4050
60401,4159,3058,1630,483,22755
60402,4082,3381,1583,469,22616
60403,1574,1161,457,118,8166
69797,0,0,0,0,14
69999,137,108,14,3,760
70101,2166,1160,421,94,17606
70102,3812,2376,897,186,29011
70103,1865,1062,326,41,10481
70104,1975,922,255,72,18126
70201,2470,1147,329,82,16333
70202,290,132,29,3,1871
70203,826,502,128,12,4730
70204,565,192,27,0,3991
70205,1053,519,133,22,7770
79797,12,0,0,0,71
79999,441,228,30,0,2351
80101,7276,6103,3082,892,60902
80103,180,113,50,5,1046
80104,4724,2590,1031,164,48540
80105,4402,3035,1431,661,39977
80106,3316,2677,1317,521,21737
80107,8026,5495,2063,574,46690
80108,2052,1789,1210,395,14155
80109,3582,2541,1822,704,24524
80110,443,220,54,13,6979
80111,60,28,3,0,350
89797,0,0,0,0,0
89999,64,24,8,4,368
90101,121,72,4,0,968
90102,54,15,13,0,249
90103,31,26,13,0,187
90104,269,215,103,30,1200
99797,0,0,0,0,0
99999,3,0,0,0,11
