SA3_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
31607,0,9,0,0,0,4,12,13,35,586,555,143,1287,43,53,98,1381,842,24,2246
31608,0,4,0,0,0,4,0,13,16,182,247,58,494,7,14,19,516,343,19,877
31701,9,24,4,5,8,31,36,40,107,2209,1685,268,4161,165,184,349,4514,2643,85,7242
31801,5,14,0,0,0,14,13,18,45,489,323,75,886,40,45,81,971,740,40,1748
31802,14,34,0,6,5,40,42,60,133,3267,2095,347,5711,246,234,480,6188,2987,112,9294
31901,9,13,0,0,5,18,26,46,90,1134,1031,146,2312,120,127,255,2566,1884,71,4516
31902,0,4,0,3,0,13,27,22,63,428,428,67,923,62,49,112,1037,1134,42,2212
31903,3,12,0,0,0,17,21,14,50,484,604,91,1171,55,35,90,1262,1198,32,2495
31904,5,13,0,0,0,18,36,24,74,724,757,103,1580,92,81,171,1752,1387,43,3188
31905,4,9,3,0,4,8,20,13,47,424,446,74,940,74,69,148,1085,1153,30,2269
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,0,0,0,0,0,0,3,3,5,202,106,11,319,11,17,24,349,194,3,548
40102,0,3,0,0,0,3,13,8,23,1048,890,96,2035,32,48,75,2108,756,15,2879
40103,6,10,3,0,3,6,3,0,14,503,369,46,920,28,28,55,972,465,5,1453
40104,0,9,0,0,0,6,10,16,30,750,578,63,1389,43,52,96,1485,847,23,2353
40105,0,0,0,0,0,0,0,8,9,490,318,41,846,26,25,48,893,455,11,1358
40106,0,0,0,0,0,0,5,0,6,405,213,22,640,9,16,22,666,308,9,988
40107,0,0,0,0,0,0,3,4,7,532,309,30,870,19,25,43,913,396,6,1320
