SA3_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
12502,34,20,36,0,91,0,0,4,90,8,0,102,0,0,0,8,10,0,0,0,10,0,0,9,787,204,89,13,1099,15,4,16,1119,123,0,1242,7,3,0,0,13,6,0,6,16,6,0,22,9,0,0,0,13,0,0,3,16,4,0,22,20,4,3,0,25,10,0,11,33,4,0,42,811,210,98,11,1128,26,4,29,1155,125,0,1285,199,52,40,6,297,9,4,16,313,139,0,450,0,0,0,0,0,0,0,0,0,0,4,6,1008,260,135,20,1426,35,4,46,1474,269,0,1745,299,51,23,0,378,9,0,9,385,48,0,434,213,68,31,0,318,6,0,9,321,37,0,361,29,14,35,3,77,5,0,5,79,9,0,93,0,0,0,0,6,0,0,0,6,0,0,6,549,130,86,5,775,16,0,19,789,94,0,878,10,6,5,0,15,0,0,0,17,0,0,17,3,10,0,0,15,0,0,0
12503,48,26,52,0,127,4,3,4,137,42,0,174,6,5,5,14,19,0,0,0,19,0,3,27,961,229,195,24,1405,32,9,41,1447,307,3,1759,18,3,3,0,28,9,0,8,38,6,0,46,19,5,0,0,26,7,6,8,35,8,0,45,32,15,3,3,53,16,6,24,75,19,0,95,995,241,198,30,1459,48,17,67,1521,324,3,1851,418,184,169,26,799,57,21,82,877,1168,7,2053,0,0,0,6,10,0,0,0,10,12,11,31,1412,428,362,55,2266,108,36,145,2411,1500,25,3937,360,47,57,4,470,13,3,13,479,67,0,552,187,83,50,4,326,15,7,17,347,68,0,413,53,5,66,0,121,5,0,6,129,19,0,148,0,0,0,11,15,0,0,0,12,5,0,22,602,138,173,15,927,32,3,39,970,157,7,1130,8,8,5,0,19,9,0,14,29,3,0,28,10,4,0,0,10,5,6,9
12504,84,26,49,0,154,0,0,0,154,12,0,163,7,0,0,10,17,0,0,0,18,0,0,20,1354,256,154,21,1783,48,8,53,1835,144,0,1987,21,7,0,0,30,4,0,4,37,4,0,41,24,0,0,0,28,3,5,7,35,7,0,42,49,5,0,0,54,11,5,8,68,11,0,80,1399,260,153,22,1844,55,11,65,1905,160,0,2059,281,68,66,10,424,15,9,21,443,201,4,645,0,0,0,4,6,0,0,0,6,4,8,11,1683,327,217,38,2267,70,16,86,2349,358,7,2718,448,63,43,3,559,18,4,24,580,51,0,627,257,72,30,4,358,11,3,11,370,37,0,411,63,11,28,0,99,0,0,0,103,10,0,112,4,0,0,13,14,0,0,0,14,3,0,25,765,149,101,21,1033,30,8,33,1071,104,0,1172,11,0,5,0,18,0,0,0,18,0,0,23,14,3,3,0,25,0,0,7
12601,39,14,12,0,63,0,0,6,68,6,0,70,0,0,0,6,4,0,0,0,4,0,0,7,970,135,39,3,1150,20,3,23,1178,65,0,1240,13,4,4,0,22,3,0,3,22,0,0,26,17,4,0,0,19,0,0,0,22,0,0,24,35,3,4,0,43,0,0,0,41,3,0,48,998,143,41,3,1191,17,3,29,1219,71,0,1290,170,34,12,3,225,3,8,7,229,55,0,288,0,0,0,0,0,0,0,0,0,0,4,4,1173,175,60,11,1416,26,13,31,1449,124,3,1580,329,52,6,0,390,12,0,12,407,19,0,427,219,60,8,0,292,4,7,9,293,31,0,326,18,7,16,0,44,0,0,0,49,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,568,121,31,0,726,15,9,21,747,50,0,798,9,0,0,0,10,0,0,0,10,0,0,13,8,0,0,0,12,0,0,0
12602,79,16,37,3,140,3,0,3,140,7,0,153,3,0,0,9,14,0,0,0,14,0,0,14,1749,301,106,24,2178,46,8,57,2233,154,3,2391,26,3,4,0,26,3,0,3,32,9,0,38,17,7,0,0,31,0,0,0,29,0,0,32,41,11,3,0,59,6,0,6,69,9,0,74,1783,311,112,28,2239,51,8,61,2295,159,3,2463,331,74,24,7,429,3,3,7,435,108,0,546,0,0,0,0,3,0,0,0,3,0,0,5,2116,382,136,31,2668,65,11,74,2739,270,9,3019,631,98,23,3,754,21,4,21,774,57,0,825,436,120,30,0,581,7,3,8,588,42,0,631,59,15,19,0,92,0,0,3,93,0,0,93,0,0,0,10,10,0,0,0,10,0,0,10,1114,231,69,9,1428,28,5,32,1470,96,0,1566,18,3,0,0,18,4,0,4,27,0,0,28,7,3,0,0,13,0,0,0
12701,100,41,67,7,209,0,0,0,212,19,0,238,10,4,0,17,25,0,0,0,25,9,4,44,1429,352,251,32,2060,34,4,38,2101,266,11,2373,27,7,5,0,39,11,0,9,48,0,0,52,27,10,6,0,44,7,12,23,62,8,0,70,51,20,9,0,86,18,12,29,110,14,0,125,1478,369,261,33,2144,56,13,65,2211,280,11,2498,391,196,118,16,720,36,12,49,767,633,0,1403,0,0,3,0,4,0,0,0,4,0,11,16,1872,563,378,50,2867,91,23,115,2981,913,22,3918,474,60,39,4,578,11,4,13,594,71,0,662,260,86,49,0,394,10,0,14,410,59,0,467,58,28,51,4,137,0,0,0,139,22,0,158,9,4,0,8,17,0,0,0,19,0,0,18,790,179,139,14,1129,25,3,33,1158,151,0,1306,14,0,0,0,14,4,0,4,18,7,0,28,14,8,9,0,32,10,0,11
12702,84,32,100,3,220,3,5,3,222,39,0,264,4,0,0,14,19,0,0,0,19,3,3,33,1077,276,259,33,1650,38,10,50,1700,353,4,2054,15,4,4,0,29,17,0,19,47,7,0,55,18,12,3,0,40,8,14,24,64,19,0,83,38,22,3,0,70,27,14,44,109,21,0,138,1114,301,267,36,1720,67,28,92,1808,380,4,2189,544,261,180,40,1023,44,59,104,1128,1517,10,2648,9,6,0,8,19,0,0,0,19,4,22,37,1666,566,446,81,2756,108,84,194,2950,1896,33,4880,408,64,43,9,519,17,0,13,537,103,0,640,248,120,65,4,434,9,3,15,449,110,0,561,64,11,80,4,160,0,5,0,161,43,0,207,3,3,0,12,23,0,0,0,23,0,3,29,722,205,183,22,1131,31,4,33,1168,256,5,1432,11,10,3,0,20,10,0,13,37,4,0,42,10,9,6,0,30,8,8,18
12703,84,24,64,4,176,0,0,0,176,23,0,200,3,0,0,11,18,0,0,0,17,0,0,28,1267,255,246,22,1790,47,7,47,1841,268,10,2118,29,7,0,4,38,7,0,9,44,8,0,58,25,9,0,0,27,11,0,12,41,14,0,53,49,17,0,4,69,16,0,18,84,17,0,110,1313,269,246,28,1864,61,5,69,1928,286,10,2221,334,115,102,19,569,43,13,59,633,559,0,1193,5,0,0,0,7,0,0,0,8,6,17,26,1655,387,348,47,2438,109,18,129,2563,847,27,3443,484,62,57,5,606,12,4,17,619,67,0,696,229,95,48,0,369,9,5,13,380,55,0,443,46,13,28,0,87,0,0,4,88,16,0,107,0,0,0,8,14,0,0,0,14,4,0,17,762,167,127,12,1073,24,7,32,1102,150,0,1257,10,3,8,0,21,8,0,8,33,3,0,34,14,3,0,0,16,0,0,4
12801,112,17,29,0,156,3,0,3,158,4,0,161,4,0,0,12,17,0,0,0,17,0,0,16,1822,361,113,26,2319,39,13,48,2368,108,0,2481,8,4,0,0,8,0,5,4,11,6,0,16,13,3,0,0,18,0,0,4,18,0,0,18,18,4,0,0,23,3,3,10,34,6,0,37,1836,367,113,26,2343,43,17,53,2403,113,0,2513,256,52,16,8,335,8,0,13,343,65,0,408,0,0,0,0,0,0,0,0,0,0,8,8,2101,423,131,29,2679,43,20,67,2746,177,6,2926,473,56,30,0,559,5,4,10,568,34,0,601,427,99,21,7,556,6,4,14,570,29,0,600,59,12,10,0,80,0,0,0,80,7,0,85,0,0,0,5,12,0,0,0,12,0,0,12,967,164,61,10,1204,15,7,17,1224,77,0,1297,7,0,0,0,3,0,0,0,9,0,0,9,6,3,0,0,6,0,0,0
12802,138,24,27,0,188,0,0,0,190,0,0,191,7,5,0,5,12,0,0,0,12,0,0,15,2187,317,133,12,2640,22,7,36,2680,106,4,2782,3,0,0,0,3,0,0,0,3,0,0,10,18,0,0,0,14,0,0,0,19,0,0,21,17,0,0,0,19,0,0,0,25,4,0,29,2203,319,133,12,2664,25,7,38,2704,108,4,2810,270,47,10,5,326,6,0,4,332,48,0,384,0,0,0,0,0,0,0,0,0,0,3,8,2475,365,147,17,2997,31,9,43,3039,157,9,3204,548,76,38,0,661,20,5,28,682,43,0,732,450,79,21,0,553,3,0,3,553,25,0,585,79,3,14,0,105,0,0,0,109,5,0,112,0,4,0,4,7,0,0,0,7,0,0,7,1085,166,73,0,1323,27,5,31,1353,78,0,1427,5,0,0,0,3,0,0,0,3,0,0,5,12,0,0,0,14,0,0,0
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,42,5,4,3,52,0,0,0,52,0,0,53,9,0,0,6,10,0,0,0,10,0,0,16,1641,228,29,11,1911,15,6,23,1932,82,0,2019,4,0,0,0,4,3,0,7,14,0,0,13,14,0,0,0,14,0,0,0,14,0,0,18,21,4,0,0,21,3,0,7,26,3,0,28,1665,229,29,11,1935,20,4,30,1962,87,0,2051,209,34,6,5,258,9,5,13,274,60,0,336,3,0,0,0,3,0,0,0,3,0,4,5,1877,267,35,21,2198,34,11,39,2242,147,3,2389,273,23,3,0,297,3,0,3,304,15,0,319,288,37,7,3,336,5,0,5,341,12,0,353,16,0,0,0,19,0,0,0,19,0,0,17,4,0,0,0,5,0,0,0,5,0,0,3,578,63,14,0,661,7,0,12,669,31,0,699,4,0,0,0,4,0,0,0,5,0,0,5,4,0,0,0,0,0,0,0
20102,10,6,0,0,17,0,0,0,17,0,0,17,9,0,0,5,12,0,0,0,12,0,0,12,407,86,7,11,512,10,0,7,521,20,0,545,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,6,0,0,4,3,0,0,0,3,0,0,0,3,0,0,4,413,86,7,11,512,10,0,7,529,26,0,547,67,9,6,4,85,0,0,0,85,14,0,101,0,0,0,0,0,0,0,0,0,0,0,0,478,91,13,18,599,10,0,7,612,38,0,649,55,3,0,3,67,0,0,0,65,6,0,70,57,12,0,4,71,0,0,0,71,3,0,72,0,0,3,0,10,0,0,0,10,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,114,17,4,5,147,0,0,0,142,11,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20103,14,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,265,57,11,0,335,0,0,4,337,28,0,366,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,4,0,0,5,4,0,0,0,3,0,0,0,3,0,0,4,270,54,11,0,341,0,0,4,338,30,0,372,55,16,6,4,77,0,0,0,81,30,0,110,0,0,0,0,0,0,0,0,0,0,0,0,324,73,10,10,419,0,0,3,422,63,0,481,44,3,0,0,44,0,0,0,44,5,0,51,31,3,0,0,34,0,0,0,37,3,0,39,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,73,11,3,0,83,0,0,0,81,9,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201,24,3,9,0,34,0,0,0,37,0,0,41,3,0,0,7,9,0,0,0,9,0,0,11,1385,195,37,12,1625,11,8,16,1637,73,4,1716,4,0,0,0,3,0,0,0,9,0,0,6,16,3,0,0,20,0,0,0,18,3,0,23,20,0,0,0,26,3,0,3,27,0,0,33,1402,195,37,15,1648,12,8,23,1665,75,4,1750,168,34,10,0,209,8,0,8,217,81,0,302,0,0,0,0,3,0,0,0,3,0,4,7,1574,231,39,16,1859,21,8,30,1891,154,7,2050,232,35,7,0,276,3,0,8,278,21,0,297,225,28,7,3,261,0,0,0,267,9,0,275,11,0,4,0,10,0,0,0,10,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,466,65,18,4,553,4,0,7,559,30,0,588,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,5,0,5
20202,19,3,3,0,20,0,0,0,20,0,0,26,0,0,3,11,16,0,0,0,16,3,0,19,717,148,35,19,919,6,4,10,933,58,0,992,3,4,0,0,11,5,0,5,12,0,0,12,9,3,0,0,8,0,0,0,8,0,0,8,9,4,0,0,16,5,0,5,17,0,0,17,725,155,35,19,937,6,4,13,949,58,0,1006,88,14,10,3,115,0,0,0,114,11,0,127,0,0,0,0,0,0,0,0,0,0,3,5,814,172,41,28,1052,6,3,10,1062,74,3,1142,110,13,6,0,126,3,0,3,126,9,0,137,88,21,5,3,124,0,5,5,123,20,0,142,14,0,0,0,13,0,0,0,15,0,0,21,4,0,0,5,8,0,0,0,8,0,0,8,211,34,12,10,269,5,5,3,272,28,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
20203,9,0,0,0,7,0,0,0,7,0,0,7,3,0,0,6,8,0,0,0,8,0,0,12,181,9,5,14,207,0,0,0,208,8,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,179,9,5,14,208,0,0,0,208,14,0,219,21,0,0,6,25,0,0,0,25,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,205,12,5,13,232,0,0,0,234,17,0,260,23,0,0,0,28,0,0,0,28,0,0,26,25,6,0,0,32,0,0,0,32,0,0,33,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,0,62,0,0,0,62,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,13,0,3,0,12,0,0,0,12,0,0,12,4,5,0,3,6,0,0,0,6,0,0,6,467,54,14,8,545,4,3,6,551,24,0,571,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,8,474,54,14,8,548,4,3,6,556,24,0,580,70,14,0,0,77,0,0,0,77,8,0,87,0,0,0,0,5,0,0,0,5,0,0,3,543,61,14,8,629,4,3,6,640,27,0,665,64,6,0,0,73,0,0,0,73,8,0,79,65,9,5,3,86,0,0,4,88,0,0,90,3,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0,0,4,133,17,5,3,163,0,0,4,167,10,0,176,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0
20302,65,18,6,5,92,3,0,3,94,6,0,103,10,0,0,18,27,0,0,0,27,0,0,27,2773,346,55,27,3207,50,6,57,3262,146,3,3405,11,0,3,0,15,6,0,6,22,3,0,26,29,6,0,0,40,0,0,0,40,0,0,44,48,11,3,0,58,6,0,6,60,11,0,69,2820,357,58,27,3266,47,6,53,3322,151,3,3480,373,89,8,12,482,12,0,15,498,122,0,618,9,0,0,0,9,0,0,0,9,0,5,9,3202,441,74,38,3753,66,9,75,3824,270,10,4106,545,50,11,0,615,13,0,14,624,45,3,676,608,100,10,0,719,6,0,5,730,40,0,765,36,3,7,0,47,0,0,0,49,6,0,54,0,0,0,0,0,0,0,0,0,0,0,3,1195,160,27,6,1380,18,6,27,1399,87,3,1498,6,0,0,0,9,3,0,3,9,0,0,11,19,0,0,0,14,0,4,4
20303,34,6,8,0,52,0,0,0,52,3,0,55,10,0,0,10,23,0,0,0,23,0,0,23,1370,227,39,21,1658,11,5,16,1671,71,0,1743,8,0,0,0,10,0,0,0,9,0,0,14,13,0,0,0,19,0,0,0,19,0,0,21,22,0,0,0,26,0,0,0,27,0,0,30,1392,233,39,21,1683,12,5,17,1699,75,0,1771,130,36,7,9,180,5,0,3,185,33,0,222,0,0,0,0,0,0,0,0,0,0,0,0,1523,266,48,25,1866,16,9,17,1884,106,4,1997,228,41,6,0,276,4,0,4,280,15,0,295,252,52,10,4,314,5,0,5,319,16,0,336,10,7,6,0,20,0,0,0,20,3,0,26,6,0,0,7,8,0,0,0,8,0,0,8,491,102,22,7,620,7,0,7,630,40,0,669,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0
20401,17,0,0,0,22,0,0,0,22,5,0,21,0,3,0,12,18,0,0,0,18,0,0,18,713,104,26,24,869,9,0,9,883,45,0,925,3,0,0,0,10,0,0,0,10,0,0,10,3,0,0,0,9,0,0,0,14,0,0,12,11,3,5,0,17,0,0,0,21,0,0,20,721,109,26,24,884,10,0,13,895,47,0,946,87,8,5,5,106,0,0,0,108,25,0,131,0,0,0,0,0,0,0,0,0,0,0,0,808,119,30,33,988,13,0,12,1000,72,4,1082,96,15,4,0,116,0,0,0,118,0,0,123,94,10,0,0,108,0,3,3,107,5,0,119,8,0,0,0,10,0,0,0,10,0,0,10,0,0,0,5,5,0,0,0,5,0,0,5,204,21,15,5,238,0,3,3,245,5,0,248,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0
20402,19,3,3,0,28,0,0,0,31,0,0,31,0,0,0,5,7,0,0,0,7,0,0,7,700,90,23,15,829,5,3,5,831,35,0,865,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,8,0,0,0,8,3,0,7,703,90,23,15,827,5,3,5,839,35,0,870,58,18,0,3,81,0,0,0,80,26,0,105,0,0,0,0,0,0,0,0,0,0,6,6,761,104,26,19,915,4,3,10,920,58,6,979,86,6,0,0,95,0,0,0,95,0,0,98,74,17,0,0,89,0,0,0,89,0,0,94,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,0,0,6,0,0,6,167,23,4,7,192,0,0,0,192,5,0,200,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
20403,32,4,4,0,38,0,0,0,44,0,0,45,9,0,0,11,16,0,0,0,16,3,0,18,1170,152,29,18,1363,12,7,18,1380,67,0,1449,9,3,0,0,10,5,0,5,14,0,0,13,11,0,0,0,12,0,0,0,12,0,0,12,15,5,0,0,21,5,0,5,21,0,0,25,1181,157,29,15,1381,14,7,22,1401,69,0,1475,92,27,7,5,126,0,0,0,122,36,0,155,0,0,0,0,0,0,0,0,0,0,4,4,1269,184,36,16,1505,16,7,19,1527,102,4,1637,112,16,0,0,132,0,0,0,133,8,0,142,113,17,4,0,133,0,0,0,136,5,0,139,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,8,8,0,0,0,8,0,0,8,231,32,4,5,276,3,0,3,278,11,0,293,0,3,0,0,6,0,0,0,6,0,0,10,4,0,0,0,3,0,0,0
20501,20,4,4,0,25,0,0,0,25,0,0,25,5,0,0,16,18,0,0,0,18,5,0,21,807,116,23,15,967,9,5,8,974,31,0,1011,5,0,0,0,5,0,0,0,10,0,0,10,8,0,0,3,15,0,0,0,13,0,0,13,12,0,0,3,17,5,0,5,20,0,0,20,822,116,19,20,977,15,5,17,1001,31,0,1033,138,19,3,0,159,0,0,0,159,30,0,189,0,0,0,0,0,0,0,0,0,0,0,0,960,137,24,24,1142,15,5,17,1158,62,3,1223,114,17,5,0,137,0,0,0,140,12,0,145,138,21,4,0,166,0,0,0,164,10,0,172,3,0,4,0,9,0,0,0,9,3,0,10,0,0,0,0,0,0,0,0,3,0,0,7,266,44,5,0,317,0,3,0,317,20,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
