SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
40402,3006,5483,4090,4031,3765,2314,2117,3338,612,28739
40403,4089,9051,4050,4916,4718,2897,1579,2909,548,34753
40501,2960,2714,2765,2044,2044,1390,1351,2825,315,18410
40502,2250,1227,1232,1048,900,647,778,1543,186,9812
40503,1879,1536,1478,1468,1041,958,1059,1360,219,10995
40504,1720,1161,1350,1309,937,836,764,1255,189,9520
40601,3959,3584,3698,3212,2428,2147,2388,3196,516,25133
40602,1181,1560,1718,1554,1060,746,1287,1378,257,10741
40701,3355,3200,3179,3065,2290,1925,1200,2820,391,21417
40702,5500,3869,4409,3628,3056,2858,2575,5085,551,31527
40703,5232,3192,3905,3799,2862,2465,2255,5791,658,30166
49797,0,0,0,0,0,0,0,0,0,8
49999,66,123,106,76,64,57,66,141,27,724
50101,3790,4642,4821,3284,2565,2484,1750,3455,422,27214
50102,4734,7342,9323,5700,5359,4054,5430,6648,849,49439
50103,2175,1346,1590,1056,982,691,1104,1668,184,10802
50201,4220,5961,8240,5890,4434,4029,4937,4721,759,43190
50301,6687,15059,1674,3481,3430,2386,557,1292,548,35109
50302,9670,25457,5465,6571,6798,3869,1817,3849,834,64338
50401,5328,11773,6038,5117,5841,3273,2598,3586,681,44234
50402,2512,4154,3581,2375,2636,1614,1609,1662,394,20535
50403,7563,11188,12661,9908,10060,6536,7494,7695,1368,74467
50501,11484,21262,12744,9617,11721,6818,3590,5668,1191,84100
50502,13963,30388,13399,12406,13242,8497,5360,8607,1766,107619
50503,10773,17114,18198,13927,13856,9379,8131,11038,1825,104251
50601,4253,7912,7445,5586,5741,3575,4604,4526,809,44453
50602,4754,10761,5668,4794,5097,2867,2946,3450,701,41031
50603,4731,12708,6494,6307,5761,3846,3500,4901,873,49120
50604,4848,9817,9809,7286,7434,4916,6217,6947,1116,58391
50605,3443,5442,5011,3138,4186,2198,2690,2378,491,28979
50606,1698,2030,3236,1922,2206,1217,1878,1558,341,16089
50607,3507,8629,1962,2360,2709,1645,724,1187,355,23087
50701,7008,13798,10342,7091,8121,4754,4126,5327,1029,61612
50702,3285,7733,2166,2345,1927,1253,600,1119,280,20713
50703,1679,3181,3915,2829,2613,1791,2465,2575,340,21377
50704,8107,17619,5519,5135,7017,4239,1798,2998,747,53172
50705,6050,8990,12233,9169,7292,5361,6046,6742,1145,63025
50901,4899,4310,4039,3348,2753,2210,1966,3965,445,27938
50902,5254,2695,3725,2336,2602,1549,2754,3270,457,24641
50903,2583,946,1131,778,822,469,933,1217,154,9034
51001,1922,3073,1690,2229,1653,812,741,1380,370,13873
51002,1046,1551,3304,952,1172,575,2400,1338,302,12640
51003,1473,2009,3807,1295,1537,720,2233,1549,337,14957
51101,1391,908,1142,632,809,554,956,931,180,7499
51102,761,601,672,577,518,348,288,661,106,4545
51103,1662,2618,4028,1703,1960,1115,3425,1730,330,18575
51104,3326,3700,3940,2973,2612,1946,2468,2919,421,24307
59797,9,33,83,9,10,0,31,98,6,277
59999,107,257,272,223,150,77,213,292,33,1614
60101,837,946,1416,1275,1228,849,758,1050,196,8551
60102,3610,6597,3850,3858,3934,2276,1044,2225,446,27849
60103,2370,3972,4075,4439,3488,2569,1891,3395,564,26770
60104,2490,5058,2344,2183,2330,1438,549,1315,317,18029
60105,4123,10581,2552,3697,3082,2037,591,1754,415,28830
60106,1143,1374,1471,1124,1253,759,483,885,188,8698
60201,4571,8655,5318,5915,4702,4034,2677,4453,679,40991
