GCCSA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
59499,365,234,595,139,96,234,161,141,302,131,129,257,206,200,407,42,44,91,889,802,1698,27,27,53,34,30,60,7,14,21,0,0,0,1499,1391,2889,228,255,488,32,21,50,1901,1766,3664,2225,1267,3492,4491,3264,7755
59799,123,16,139,0,0,0,11,0,8,0,0,0,12,0,15,0,0,0,78,9,88,0,0,0,5,0,4,0,0,0,0,0,0,102,13,116,34,10,38,0,0,0,137,24,163,199,19,222,455,58,514
6GHOB,63178,67239,130420,5459,6069,11528,3570,3298,6871,3543,3420,6962,1742,1859,3604,298,359,659,619,637,1255,21933,23856,45795,208,210,414,244,271,512,5,4,5,32161,33915,66078,5745,6195,11933,914,748,1664,44273,46934,91209,6433,6175,12607,113893,120345,234233
6RTAS,83330,84263,167590,10096,11013,21109,3591,3532,7126,3198,3048,6243,3023,3248,6275,489,496,988,1002,1124,2129,24658,27721,52381,301,307,606,194,198,396,6,10,13,36472,39684,76158,3729,3649,7377,828,734,1558,51119,55077,106199,10144,9768,19910,144602,149102,293703
69499,102,76,176,27,26,49,15,22,36,26,34,55,33,46,77,11,8,16,12,7,16,258,214,474,0,0,0,0,0,0,0,0,0,362,321,685,21,29,51,12,4,15,416,383,801,227,137,359,746,593,1338
69799,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,6,0,5,4,0,4,13,0,19
7GDAR,27925,27202,55125,2288,2241,4525,2256,2140,4398,2107,2205,4315,2396,2367,4763,921,1036,1950,1323,1362,2682,170,174,345,13576,14122,27697,287,291,575,10,10,17,23045,23699,46741,4287,4984,9269,775,638,1409,30389,31553,61951,7521,5757,13273,65837,64513,130349
7RNTE,22789,23023,45822,3009,3149,6159,942,1056,1994,979,1157,2135,1279,1267,2541,556,598,1158,497,564,1062,95,86,185,4025,4080,8106,86,112,198,4,0,4,8462,8917,17384,1522,1675,3199,318,303,623,13320,14044,27360,5314,4101,9418,41424,41179,82603
79499,289,235,525,65,51,117,115,113,226,114,111,223,145,141,283,42,41,86,72,59,128,7,13,16,112,103,215,7,5,14,0,0,0,608,587,1198,100,138,239,6,9,11,779,786,1563,666,577,1245,1733,1603,3337
79799,21,3,29,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,16,0,18,0,0,0,4,0,4,0,0,0,0,0,0,29,3,35,5,0,5,0,0,0,35,5,37,25,0,26,83,11,94
8ACTE,103478,108677,212157,5416,5558,10968,17150,17864,35015,4504,4577,9077,4225,4344,8571,1280,1251,2533,1424,1365,2786,378,395,773,656,612,1269,46173,47229,93400,18,17,35,75809,77656,153460,14527,15319,29845,1555,1159,2719,97304,99696,196993,9494,8590,18083,210272,216958,427232
89499,46,23,68,6,8,19,35,36,70,13,19,25,11,7,17,0,5,5,7,5,12,0,0,0,0,0,0,72,100,170,0,0,0,143,164,302,28,33,56,4,3,5,182,207,383,99,37,133,320,267,587
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,1131,1132,2265,173,190,360,121,122,250,23,28,53,98,108,208,4,6,9,123,122,243,3,7,12,16,9,29,26,26,51,3,4,6,425,435,861,68,64,130,9,7,14,670,701,1369,586,320,907,2382,2157,4538
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
