GCCSA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
39499,114,116,158,102,3,0,732,42,142,108,91,126,64,8,0,579,17,73,26,25,10,14,0,0,164,33,70,48,33,37,15,4,0,246,7,3,0,0,0,0,0,0,8,0,6,9,0,8,4,0,0,30,194,384,277,233,198,129,35,11,1462,424,1099,721,647,778,458,79,13,4217,13,54,27,13,26,24,6,0,156,6,28,25,18,29,9,0,0,122,46,158,143,131,225,244,43,0,997,9,84,70,63,97,88,19,0,435,18,41,38,23,26,12,5,0,170,38,145,79,93,140,87,21,0,604,6,57,28,44,106,91,10,3,350,80,271,168,167,244,165,17,0,1113,55,196,145,120,159,92,22,4,786,25,108,59,29,24,19,0,0,257,49,104,78,53,61,38,5,3,393,10,4,0,0,0,9,0,0,18,6,20,17,7,24,15,3,0,92,428,809,756,653,533,374,85,16,3651,799,2066,1632,1417
39799,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,9,13,7,0,4,0,0,0,28,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,50,29,8,0,0,0,140,16,45,64,42
4GADE,19619,15527,10713,5672,1880,576,75330,5033,13880,13970,12467,10417,6511,1957,386,64618,1948,3865,3295,2179,1381,893,427,170,14162,2881,5630,4675,3824,2556,1717,737,209,22226,121,95,81,91,126,97,43,16,666,294,913,1252,926,682,524,228,105,4930,3684,4752,4242,3882,3620,3973,4299,3170,31623,27537,78042,75795,62440,50991,36083,16587,6856,354337,1770,4929,5183,4253,3256,2767,1210,286,23654,1948,6506,7065,3631,2121,1012,169,12,22466,5149,17976,17218,17242,16844,14044,7570,2509,98557,2993,8442,6082,5457,4555,3414,1968,632,33537,1042,2532,2512,2336,1846,1030,368,101,11770,5913,20590,17398,14714,14170,9693,4039,1412,87929,2097,9913,9773,9101,9347,10334,4553,1009,56136,7872,28804,33453,27118,19604,11878,4429,1243,134406,7576,20471,20273,17870,15046,10418,3531,726,95923,3629,7011,5866,3756,2492,1666,726,241,25381,4217,9106,7605,5942,4114,2631,1131,306,35039,219,173,133,139,173,124,57,21,1041,661,1980,2467,2058,1516,1169,572,232,10653,7850,10511,9663,8842,7965,7600,7310,4952,64681,52945,148951,144687,122459
4RSAU,3428,3145,2635,1458,447,121,14639,1016,2565,2605,3080,3144,1805,429,42,14691,170,377,365,298,258,175,85,26,1749,842,1561,1321,1151,804,602,190,53,6524,16,23,25,11,17,12,14,7,130,44,114,132,184,162,99,51,16,792,1559,1587,1634,1940,2168,2395,2096,1186,14558,6262,14369,15079,15388,15556,11972,5487,2007,86126,111,402,564,524,471,534,186,27,2819,130,379,377,273,235,177,21,0,1592,1551,4428,4323,5023,5612,5052,2460,581,29027,604,1682,1256,1226,1450,1226,644,142,8238,823,1520,1916,1854,1472,956,303,65,8900,931,2866,2696,3023,4278,3259,1225,352,18641,604,2459,2479,2427,2474,3122,1338,239,15141,1084,3692,4757,4622,4154,2900,996,213,22413,1329,3308,3357,3840,4049,2629,762,96,19379,316,593,558,480,450,337,151,45,2918,1176,2266,2019,1819,1351,975,326,85,10020,26,34,37,25,30,25,32,10,224,111,298,362,408,408,304,143,48,2084,3500,3691,3742,4360,4815,4903,3931,1923,30860,12297,27616,28449,29901
49499,29,12,20,8,0,0,119,12,27,23,20,17,4,5,0,107,5,9,3,0,3,0,0,0,16,12,22,16,9,9,7,0,0,60,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,36,77,88,52,34,29,5,4,316,97,214,187,122,116,75,11,5,826,6,10,4,6,11,6,0,0,33,0,7,3,3,0,0,0,0,24,10,42,37,27,45,39,6,0,213,8,12,11,16,13,7,0,0,71,0,15,7,0,5,4,0,0,36,9,35,25,21,26,27,0,0,129,0,9,8,6,12,8,0,0,46,17,53,36,32,34,20,3,0,198,12,41,37,30,23,15,5,0,157,5,20,8,4,5,0,0,0,41,15,32,17,23,8,12,0,0,98,0,0,0,0,0,0,0,0,0,5,7,0,5,5,0,0,0,30,81,172,189,152,148,78,10,3,826,173,443,376,325
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,3,6
5GPER,32090,25182,16797,9308,3697,1143,123407,7573,18876,20301,16798,12839,7687,2358,487,86922,3723,6374,5565,3368,2001,1289,623,208,23152,5242,10014,7995,6216,3925,2583,1009,241,37223,345,173,102,90,120,99,49,26,1007,586,1456,1690,1329,947,635,257,101,6991,6562,9899,8474,6896,5896,5975,5955,4937,54594,48313,123684,124780,99160,74324,48502,22912,9936,551599,3946,9291,9423,7650,5655,3788,1545,332,41629,2749,7681,10427,5726,3094,1167,231,18,31093,10519,37508,39110,33378,29931,22519,10381,2835,186188,3902,12712,11239,9272,7854,5767,2872,866,54491,1294,3450,4002,3220,2382,1421,666,185,16608,8949,29539,25604,20753,17578,11465,5417,1708,121006,4259,14590,16707,17154,15633,12149,5266,1385,87145,15017,42473,52450,42269,29290,17806,7273,1905,208488,11735,27068,28060,23675,18184,11876,4089,849,125530,6717,10627,8966,5374,3312,2288,964,293,38534,7252,14820,12922,9613,6354,3907,1639,362,56872,678,323,184,156,188,158,91,34,1830,1162,3050,3586,3067,2231,1434,715,241,15484,14305,23011,20976,17566,14109,11751,10523,7643,119877,92499,236157,243656,198878
5RWAU,5200,4363,3429,1890,638,157,22122,1317,3005,3590,3346,3022,1752,422,51,16512,379,846,800,626,497,338,165,42,3694,1087,2221,1849,1657,966,603,206,34,8622,80,47,25,21,28,19,8,5,227,85,171,256,269,246,130,45,24,1223,3111,3988,3858,3701,3439,2880,2096,1181,24256,10893,23732,25547,23081,19957,13133,5798,2067,124202,280,1045,1321,1072,781,586,199,30,5312,340,621,671,419,320,188,47,5,2612,2958,9193,9370,8693,7984,5606,2198,483,46494,905,2849,2616,2238,2261,1659,678,163,13367,959,1664,2249,2107,1746,1082,428,101,10328,1493,4380,4501,4233,4564,3136,1396,392,24092,921,3305,4460,4773,4387,3285,1165,245,22533,2537,6053,7177,6396,5208,3170,1132,250,31911,1797,3913,4591,4275,3934,2488,684,111,21797,609,1212,1167,884,712,560,255,56,5453,1458,3125,2858,2603,1674,971,369,57,13121,151,85,39,34,48,29,21,8,417,214,457,650,670,597,364,148,42,3141,6930,9633,9472,9312,8293,6273,4043,1913,55867,21560,47536,51145,47727
59499,52,43,46,17,0,0,269,23,56,35,29,49,17,0,0,209,6,34,14,4,6,0,0,0,62,11,27,20,16,12,7,0,0,91,5,0,0,0,5,0,0,0,5,3,0,0,0,0,0,0,0,10,167,265,278,228,156,95,21,9,1217,269,590,509,363,340,179,25,7,2290,10,29,17,12,15,9,0,0,80,3,10,9,7,4,6,0,0,39,20,122,98,82,90,71,19,0,508,6,41,40,28,21,23,0,0,165,9,17,17,8,10,11,0,0,67,18,74,58,24,37,31,6,0,238,12,29,25,22,25,16,0,0,135,36,116,86,61,67,40,5,0,413,33,77,60,38,63,26,6,0,297,16,40,18,9,8,4,0,0,95,20,40,39,24,29,11,0,0,167,5,0,0,0,5,0,0,0,5,15,9,5,9,11,0,0,0,39,338,666,815,753,496,247,70,22,3408,529,1270,1293,1073
59799,0,0,0,3,0,0,8,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,8,0,0,0,0,20,13,12,6,7,3,5,0,0,48,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,18,46,27,15,5,0,0,113,0,7,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,5,3,0,0,3,0,0,11,0,4,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,4,3,4,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,22,51,75,48,21,3,0,0,228,38,97,145,92
6GHOB,3395,2349,1830,1042,340,139,14970,760,2665,2519,2359,2073,1375,404,81,12242,213,783,598,485,360,276,123,32,2863,443,1104,819,687,472,279,134,24,3965,33,19,8,15,9,18,7,0,113,68,203,230,199,150,96,52,14,1015,751,1147,887,733,786,936,908,544,6689,4631,16446,13130,10966,9757,7378,3422,1337,67058,373,1222,1097,1035,768,607,246,67,5422,382,2133,1210,563,351,170,33,4,4848,608,2831,2344,2397,2517,2137,1238,369,14446,499,1682,1331,1190,1175,770,434,112,7199,168,517,558,583,469,289,102,33,2727,916,3310,2536,2259,2361,1869,803,276,14324,226,1516,1838,1750,2033,2049,942,282,10634,1505,8939,5606,3961,3208,2068,768,239,26303,1095,3929,3569,3419,2982,2198,685,139,18001,401,1295,1032,822,612,471,204,58,4897,690,1843,1423,1131,786,477,199,34,6589,57,51,15,16,21,27,12,3,203,131,427,419,392,301,222,109,32,2043,1560,2425,1906,1636,1667,1776,1581,845,13391,8617,32123,24887,21163
6RTAS,2856,2646,2469,1420,416,101,13747,881,2312,2415,2679,2699,1593,334,57,12958,141,468,469,412,477,323,118,31,2438,718,1514,1168,1014,659,454,148,34,5718,26,20,11,7,11,15,18,10,123,44,121,150,169,157,124,47,17,828,1177,1267,1158,1347,1569,1796,1574,739,10636,5180,13589,13082,13056,13366,9866,4556,1498,74194,116,492,569,545,598,478,205,43,3047,233,893,587,398,352,201,32,0,2696,1025,3519,3225,3766,4473,3662,1751,427,21848,695,1878,1312,1457,1685,1228,600,135,9001,410,1049,1159,1152,983,566,223,52,5587,829,2926,2548,2639,3213,2457,1042,271,15919,342,1557,2251,2251,2477,2461,1240,294,12881,1187,4999,4274,4055,3810,2507,812,184,21822,1146,3025,3125,3449,3509,2354,590,106,17303,279,795,776,655,725,581,230,47,4090,999,2173,1791,1595,1208,758,262,51,8838,34,42,22,15,18,31,21,8,197,101,288,357,387,346,290,130,37,1937,2593,2759,2491,2914,3327,3624,2914,1262,21878,9998,26394,24484,25284
69499,12,3,8,0,0,0,39,3,8,4,10,12,9,0,0,44,3,6,0,3,3,0,0,0,15,3,8,3,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,9,21,11,18,19,19,25,7,4,130,39,68,68,56,63,47,8,4,347,0,0,5,0,0,0,0,0,10,5,0,3,3,4,5,0,0,19,6,17,8,12,21,7,6,0,73,0,3,3,0,8,0,0,0,26,0,0,3,7,5,0,0,0,18,3,15,11,7,12,0,0,0,45,0,3,8,12,9,6,0,0,28,3,12,15,9,10,3,0,0,53,9,13,12,17,12,13,0,0,59,4,6,5,5,6,0,0,0,32,7,9,6,3,6,0,0,0,39,3,0,0,0,0,0,0,0,3,0,9,0,3,9,0,0,0,16,41,52,53,46,53,77,8,3,342,70,148,130,130
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3
7GDAR,2235,1586,1038,406,98,18,8607,401,1515,1428,1120,822,392,94,7,5783,81,326,265,166,97,60,13,5,1012,258,654,522,334,184,75,18,6,2054,12,13,13,9,3,0,0,0,41,32,139,116,105,61,38,10,0,496,800,1317,1110,876,685,465,240,98,5590,3048,10607,9076,6550,4610,2398,803,184,37272,107,427,462,359,239,157,35,9,1785,273,789,615,305,171,70,5,0,2228,832,2680,2316,2087,1679,988,353,71,11017,228,762,694,556,482,271,124,22,3138,162,348,404,343,233,121,32,3,1639,516,2652,1956,1260,974,517,183,40,8097,215,1133,1276,1112,937,629,235,25,5566,930,4464,3541,2568,1642,738,192,24,14098,659,2282,2217,1731,1231,653,175,23,8975,140,483,427,273,177,100,31,3,1638,434,1079,916,578,329,148,36,6,3516,19,15,22,17,5,3,4,0,88,66,285,281,272,158,89,25,3,1190,1788,2842,2369,2036,1552,1035,473,167,12259,6366,20239,17483,13493
7RNTE,625,575,354,134,22,6,2643,147,744,621,487,384,145,29,3,2557,39,153,77,63,57,19,11,0,426,150,266,195,130,76,31,3,0,858,5,5,9,6,6,0,0,0,28,17,45,44,27,21,13,0,0,171,862,1098,833,742,635,337,100,33,4646,1763,4752,3698,3171,2536,1127,272,75,17392,21,125,127,90,81,44,21,0,507,25,143,114,44,45,8,0,0,388,270,936,773,715,650,352,97,8,3795,105,366,342,269,229,118,31,5,1463,210,295,284,241,155,51,15,0,1252,184,1110,852,634,614,244,49,20,3707,116,597,571,609,577,300,81,11,2866,231,1196,971,843,565,253,37,6,4098,230,1118,992,785,602,256,49,8,4033,66,238,161,106,100,46,14,0,738,235,464,349,238,164,62,12,0,1520,6,8,12,14,11,5,0,0,56,35,105,119,76,54,30,3,0,420,1846,2319,1738,1563,1367,731,234,62,9853,3587,9016,7413,6222
79499,26,17,24,7,0,0,113,6,35,21,13,20,8,0,0,103,3,16,3,0,3,5,0,0,25,0,8,3,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,75,147,117,155,127,39,6,0,662,101,307,214,229,210,76,9,0,1144,6,13,8,3,5,7,0,0,35,0,0,8,4,4,0,0,0,19,4,41,29,17,33,39,10,0,171,0,19,15,8,15,8,0,0,70,3,11,6,7,5,0,0,0,30,8,49,20,14,28,9,0,0,123,0,11,13,17,18,13,4,0,78,9,47,46,25,33,19,0,0,179,6,43,29,19,20,16,0,0,141,0,21,6,10,3,8,0,0,43,0,7,8,11,14,5,0,0,43,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,0,0,19,149,269,265,327,266,101,22,0,1396,183,547,451,471
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,6,7,0,0,0,26,9,19,16,10
8ACTE,7733,5960,4062,2415,879,264,30485,2482,7991,7363,5485,4138,2881,1146,249,31739,653,1926,1728,1140,662,378,167,60,6711,825,1399,1133,850,464,282,146,45,5142,33,22,16,17,19,20,10,6,141,157,486,601,457,345,214,125,53,2436,1656,2090,1539,1172,886,962,814,561,9675,10579,33684,30894,23150,17130,12248,5789,1998,135466,1064,3395,2966,2569,2121,1726,854,232,14933,1608,5711,5867,3443,2284,921,156,11,19998,941,5084,4682,3810,3287,2593,1386,527,22302,894,2753,2089,1692,1304,901,553,173,10350,262,961,909,869,637,398,215,62,4309,1534,6253,4905,3550,3041,2208,1113,405,23008,651,3402,3703,3137,2749,2752,1577,392,18368,2739,13208,13365,10399,7084,4300,1609,430,53132,3897,12905,11807,9244,6992,5407,2363,553,53161,1156,3226,2925,1860,1075,659,268,78,11246,1223,2487,2063,1507,827,445,238,60,8849,75,48,25,28,24,34,15,7,254,312,944,1117,876,638,460,273,118,4746,3470,4598,3488,2562,1983,1793,1457,885,20240,19831,64987,59884,45541
89499,13,0,0,0,3,0,24,0,13,6,6,10,5,0,0,34,3,0,3,0,0,0,0,0,10,4,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,7,3,6,4,0,0,35,20,43,36,21,36,7,3,0,166,0,5,0,8,0,0,0,0,16,0,0,0,0,6,0,0,0,15,0,11,0,4,5,0,0,0,22,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,4,5,7,4,7,0,0,0,21,0,0,0,0,5,0,0,0,11,7,4,11,0,3,0,3,0,40,0,19,10,8,10,6,0,0,56,3,0,3,0,0,0,0,0,12,6,3,10,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,16,17,40,25,21,14,5,0,136,50,80,77,58
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,47,31,37,26,7,0,202,10,18,32,28,23,12,10,0,132,0,7,5,4,16,3,0,0,38,23,20,19,23,10,3,3,5,92,0,0,0,0,0,0,0,0,0,0,5,4,6,6,0,0,0,16,40,53,56,47,60,39,32,4,328,106,193,237,196,220,132,70,14,1170,0,8,18,15,13,7,6,0,59,0,4,7,4,6,3,0,0,28,17,51,47,65,81,64,14,4,331,17,15,18,31,31,16,9,5,146,4,12,8,15,14,0,4,0,57,6,21,22,30,27,35,9,4,157,8,22,43,33,38,26,7,6,185,18,51,69,50,53,41,12,0,284,14,27,57,39,26,22,11,0,203,0,11,9,6,17,5,6,0,55,20,22,28,29,26,9,4,5,145,0,0,0,0,0,0,0,0,0,0,3,9,8,9,7,0,0,36,95,216,167,144,126,94,58,9,908,203,465,502,459
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
