GCCSA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
6GHOB,456,847,1055,970,3295,3496,1361,2995,112,14582,1414,3145,3760,3221,7130,5279,1682,2731,168,28533,467,1226,1546,1145,4262,4620,879,1334,220,15703,949,3922,3647,2264,2713,1481,517,829,254,16578,753,1902,2300,1634,5124,2193,579,730,91,15319,452,3416,1890,830,1738,848,297,341,125,9933,250,542,578,334,1155,1161,497,708,88,5313,437,3060,1849,900,1887,1359,395,561,182,10631,106,238,209,135,433,296,75,163,476,2126,5288,18293,16835,11436,27735,20737,6286,10401,1723,118720
6RTAS,610,1221,1256,1057,2890,4098,1583,4861,225,17804,1181,2566,2924,2417,4769,4430,1381,2494,165,22328,721,1626,1598,1291,4834,5450,1431,2463,310,19727,1155,4180,4149,2426,2720,1686,534,941,270,18066,697,2197,2403,1639,3973,2140,508,771,108,14429,554,3875,2150,1076,1957,1193,398,514,171,11881,618,858,907,583,2102,2157,1023,2402,232,10880,965,4546,2705,1630,3240,2566,719,1230,383,17987,201,304,188,145,364,346,112,249,672,2578,6696,21365,18277,12261,26845,24064,7693,15934,2540,135680
69499,3,5,0,0,5,6,0,0,0,24,8,7,8,7,10,7,4,0,0,50,6,5,8,0,10,16,7,0,0,48,5,12,8,3,0,3,0,0,0,39,0,4,7,4,6,0,0,0,0,27,0,9,8,0,3,0,0,0,0,21,0,5,0,0,9,9,4,5,0,37,3,13,9,6,9,9,0,4,0,50,0,0,0,0,4,3,0,0,6,11,26,48,49,24,56,56,18,23,10,309
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
7GDAR,397,281,333,412,2063,2449,970,2708,76,9679,924,1014,1102,1200,4446,4067,1111,2180,138,16185,457,517,616,529,2540,3000,866,2047,208,10791,555,1369,1385,973,2298,2192,724,1241,200,10944,537,780,874,758,3844,2184,583,883,115,10565,204,1361,907,476,1056,635,171,341,61,5211,271,257,371,211,697,768,320,1066,66,4011,176,1171,881,525,1108,876,233,692,130,5798,84,86,80,62,289,250,39,157,406,1448,3611,6837,6548,5143,18343,16415,5016,11325,1401,74631
7RNTE,175,147,126,131,911,879,405,1273,58,4104,455,518,526,530,1967,1737,466,969,102,7270,170,218,220,171,876,1026,367,812,51,3915,305,626,584,511,1585,999,318,749,115,5789,188,269,284,237,1290,710,162,306,55,3492,65,382,261,129,365,256,85,141,30,1715,72,101,100,55,260,273,127,481,30,1507,123,446,314,203,682,524,140,656,82,3160,73,37,33,33,130,115,27,69,375,888,1623,2751,2441,2000,8071,6520,2097,5449,897,31846
79499,15,5,3,3,3,11,3,6,0,54,28,16,7,8,18,17,6,9,3,107,8,5,3,0,8,6,0,19,3,49,12,3,6,4,13,15,4,3,4,62,12,7,9,3,4,5,0,5,0,46,6,3,0,5,0,3,3,3,0,19,0,0,0,0,0,0,5,13,3,31,9,18,7,8,25,13,5,23,8,107,0,3,0,0,3,0,0,0,13,22,92,62,38,34,83,59,22,82,27,500
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,18,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,13,3,26,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,42,3,56
8ACTE,2019,1455,2172,2406,10164,12371,4893,8700,187,44363,3317,5867,6166,5352,22401,21289,5213,8134,379,78121,817,1757,1912,1398,6080,6999,1849,2728,309,23848,1455,6959,4701,2611,4969,3278,1100,1733,305,27111,1657,3378,3852,2668,13499,7340,1660,1848,233,36128,716,5493,2712,1032,2441,1469,457,751,112,15185,255,743,716,386,1094,1216,503,965,121,6002,519,3441,2246,829,2040,1858,427,789,206,12362,229,401,365,278,1331,1098,243,529,783,5261,10985,29491,24845,16967,64028,56912,16339,26195,2632,248388
89499,8,0,6,3,4,9,0,12,0,28,0,7,8,4,16,13,3,4,0,51,5,3,0,0,5,4,5,3,0,25,0,10,5,3,4,7,0,4,0,30,3,4,0,4,14,0,0,0,0,27,0,17,3,0,0,0,0,0,0,21,0,0,3,4,0,0,0,0,0,5,3,5,4,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,16,45,20,12,45,33,12,25,3,216
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,19,21,20,24,72,87,41,73,4,364,20,28,31,18,67,73,22,36,0,299,19,35,25,27,122,73,28,61,13,391,21,89,54,32,44,45,6,35,4,333,20,39,25,28,82,52,10,26,3,279,10,35,27,12,32,14,0,9,0,135,8,12,10,6,35,24,11,29,6,135,13,68,25,22,69,38,5,25,3,270,11,3,4,0,5,3,0,3,10,43,131,342,206,171,529,416,116,284,47,2243
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
