GCCSA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,2193,4533,3274,2267,2778,1130,613,16797,370,307,196,143,214,101,51,1377,124,155,114,75,78,29,17,588,4003,8529,6804,5028,6822,3031,1776,35996,168,358,252,173,240,87,37,1316,296,619,398,239,250,73,46,1932,458,981,645,416,494,158,88,3245,4464,9509,7448,5445,7321,3193,1864,39245,4922,5134,3082,2216,2277,861,573,19078,88,104,80,82,47,24,3,431,9478,14753,10614,7744,9649,4074,2445,58751
4RSAU,724,1501,1020,709,818,130,36,4942,103,117,72,66,71,4,0,445,38,55,38,28,38,9,4,217,1126,2489,1877,1442,1810,310,77,9138,64,144,96,68,67,13,4,452,77,159,86,56,51,7,0,434,136,303,183,120,114,16,6,886,1265,2793,2057,1564,1930,325,86,10023,1858,1761,1030,712,627,104,21,6113,47,60,52,29,18,0,0,201,3165,4615,3140,2304,2571,436,111,16338
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3302,6948,4834,3405,4002,1379,755,24629,457,399,259,212,263,98,68,1754,165,244,160,125,157,50,37,926,6173,13207,10320,7862,10273,3910,2408,54150,275,606,445,301,387,122,74,2219,547,1050,573,380,388,77,62,3068,823,1652,1013,681,776,199,136,5292,6995,14859,11338,8549,11048,4106,2549,59444,7142,7112,3972,2780,2746,838,523,25122,189,223,155,101,72,23,17,774,14323,22197,15465,11432,13869,4962,3085,85332
5RWAU,808,1799,1304,902,970,76,14,5874,118,111,119,79,78,6,0,508,53,75,51,45,33,0,0,255,1504,3397,2801,2070,2436,195,48,12451,62,154,110,87,64,9,0,485,116,244,126,90,70,4,5,656,182,398,238,174,136,7,4,1140,1683,3800,3036,2246,2570,201,55,13592,2491,2437,1313,871,714,67,19,7911,83,136,81,60,26,0,0,385,4253,6369,4434,3176,3308,269,73,21888
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,486,961,720,474,553,166,55,3419,94,66,50,38,47,17,7,324,22,38,30,20,9,0,0,125,845,1717,1433,1025,1365,445,198,7034,31,73,61,48,55,10,11,289,78,145,73,51,49,15,0,413,110,219,135,102,100,24,10,703,962,1935,1565,1127,1465,475,209,7738,1091,1138,627,457,413,123,74,3916,18,30,15,10,6,3,0,86,2068,3107,2205,1591,1883,604,283,11736
6RTAS,571,1156,865,642,707,141,37,4125,81,70,51,40,62,10,3,317,36,40,43,37,27,9,0,192,929,1904,1568,1243,1506,329,109,7590,41,112,80,60,49,14,4,367,91,209,122,61,77,17,0,573,132,321,197,128,127,31,4,937,1061,2226,1764,1367,1635,359,117,8529,1564,1633,934,647,604,121,38,5541,34,41,34,26,10,5,0,140,2657,3898,2736,2033,2245,483,156,14212
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,202,364,211,165,133,30,7,1105,40,51,22,18,20,4,0,153,12,20,14,11,8,4,0,60,542,1121,754,565,643,122,63,3813,29,56,32,25,25,7,0,168,24,55,34,20,10,0,0,146,53,115,65,43,29,7,3,312,592,1242,819,609,677,126,62,4128,513,506,290,196,150,23,12,1690,39,45,16,23,12,0,0,128,1147,1794,1121,824,841,148,78,5950
7RNTE,119,223,154,84,71,6,0,662,32,37,14,9,8,0,0,109,18,17,14,10,9,3,0,79,318,581,446,288,258,28,9,1927,55,74,44,42,16,3,0,242,33,58,34,24,9,0,0,157,88,132,72,72,30,3,0,396,413,713,518,359,285,33,8,2325,842,981,618,371,178,19,5,3020,36,44,33,26,6,0,0,147,1288,1736,1161,755,476,51,16,5490
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,592,988,664,415,584,180,98,3522,125,106,59,34,54,32,14,424,48,31,18,11,14,8,5,121,1407,2885,2079,1502,2168,819,394,11252,39,67,48,40,42,10,10,256,63,97,58,39,46,20,6,318,96,163,104,76,83,33,20,577,1508,3049,2183,1581,2256,852,410,11834,916,997,576,359,474,156,116,3594,29,28,19,9,8,6,0,99,2451,4078,2774,1954,2736,1015,526,15520
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,11,18,9,3,8,0,0,51,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,14,28,24,14,16,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,32,22,17,16,0,0,102,0,5,5,4,7,0,0,24,4,0,0,0,0,0,0,8,22,35,33,24,22,0,0,134
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
