GCCSA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
39499,7,107,0,35,13,6,0,15,0,185,11,36,3,19,7,0,0,11,0,92,31,43,7,44,66,31,3,59,3,293,21,32,3,76,24,12,9,49,0,223,3,24,3,15,4,3,0,23,0,72,4,3,8,24,9,9,3,23,0,88,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,9,11,34,99,277,37,231,135,72,24,226,22,1118,12,18,3,7,0,0,3,17,0,59,3,25,9,3,4,3,0,10,3,61,37,54,110,16,15,8,41,56,12,351,9,5,68,11,4,4,21,29,0,151,6,3,4,3,9,4,6,20,3,60,11,143,5,42,13,6,5,23,0,245,13,47,3,24,7,4,6,8,0,114,62,59,13,60,78,51,20,89,6,431,30,53,7,100,31,17,11,69,3,328,13,34,13,17,5,6,5,28,0,126
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,2130,30041,1588,10326,3225,1100,138,772,323,49654,2233,16912,271,5373,1726,474,53,441,183,27668,9956,12020,1260,5311,19635,4898,381,2197,737,56403,3963,12419,843,16492,6980,1958,264,1746,499,45173,1222,3747,601,1179,1691,1049,100,426,91,10111,1446,507,4156,2934,2325,1616,164,1339,142,14630,26,24,4,57,61,35,0,38,7,254,375,683,140,658,639,237,38,263,67,3098,358,496,184,775,722,389,65,420,658,4069,24407,84980,11857,45627,40000,13131,1578,9126,2970,233677,2411,7275,1922,1341,1429,620,377,796,168,16340,2300,7912,2123,1310,1419,725,839,1166,244,18049,9192,12929,25649,2339,3506,2180,5584,5191,997,67564,3683,2967,12060,644,1158,838,1169,2099,365,24981,1368,1414,2291,617,742,532,535,1200,136,8830,3222,40724,2148,12866,3664,1396,481,1265,466,66229,3316,22908,566,6219,2050,675,344,699,262,37049,22395,23484,3940,8027,25943,8895,3108,4842,1367,102008,6630,18897,1973,23274,8908,2866,1380,3091,814,67833,2149,6857,1718,1847,2283,1726,519,1118,189,18404
4RSAU,790,5003,377,2651,805,317,68,292,79,10374,781,4633,80,1447,480,144,31,175,44,7807,1887,1249,249,966,4096,1237,109,622,111,10516,777,1506,199,5090,1161,510,82,636,94,10069,150,381,66,166,184,110,13,69,9,1143,513,101,1159,906,534,494,71,526,52,4351,3,4,3,9,6,3,3,18,3,48,64,75,28,127,95,35,6,54,13,491,166,116,66,369,231,166,36,281,170,1605,5933,13798,2716,12131,8160,3320,531,3271,628,50497,406,656,220,129,149,64,55,210,18,1914,163,251,166,85,119,100,56,123,14,1069,2782,1238,8584,433,558,567,2334,2216,351,19061,1084,179,2702,130,143,135,495,682,100,5650,2843,713,829,264,331,315,475,1253,96,7130,1016,6083,470,3031,875,351,169,405,96,12503,1136,5963,163,1577,537,159,132,254,62,9986,3640,2098,686,1229,4555,1791,529,1098,192,15825,1144,2047,381,6346,1307,618,244,911,144,13147,266,574,155,236,220,160,60,177,16,1865
49499,0,30,6,4,9,0,3,0,0,59,0,6,0,0,0,0,0,0,0,9,8,11,3,8,13,7,0,3,0,50,0,8,5,22,6,0,0,7,0,42,0,0,0,3,0,0,0,4,0,13,0,3,9,6,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,10,19,63,18,41,30,15,3,23,3,228,0,8,0,0,4,0,0,4,0,11,4,4,0,0,0,0,0,0,0,9,4,14,29,0,5,0,11,16,0,79,5,0,8,0,0,4,3,4,0,32,3,0,0,0,0,0,0,11,0,11,7,37,6,7,9,0,3,5,0,73,0,15,0,3,0,0,0,0,0,22,16,14,3,9,19,18,6,7,0,92,8,17,5,26,6,0,0,9,0,69,0,0,3,4,0,5,0,6,0,19
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3079,42125,2787,13015,4919,1899,492,1252,444,70008,3600,26074,576,12161,3737,1297,259,912,234,48851,14598,20362,2251,8125,30377,8107,1139,3741,1003,89711,5580,18088,1558,19756,9429,3042,640,2720,619,61440,1972,5518,1070,2294,2725,1903,242,729,154,16596,2382,868,6455,5755,4187,2834,587,2029,251,25343,26,35,14,98,71,80,19,85,7,433,557,1105,268,939,876,384,116,272,99,4613,581,862,378,1385,1329,695,190,659,1330,7412,36894,130962,20891,67301,62902,22706,4710,14677,4539,365581,4265,14681,3576,2261,2548,1273,758,1156,306,30839,3682,11008,3108,1372,1955,1160,1343,1458,269,25350,18545,30672,56571,3812,6119,3374,11660,8294,1716,140758,5382,4649,19381,1245,1979,1141,3209,3825,527,41356,1897,2657,2756,767,1013,636,966,1656,156,12503,5144,56171,3856,16171,5531,2303,1288,1968,653,93080,5387,33804,1176,13212,4116,1535,915,1321,333,61803,33395,39751,6443,11758,38212,13294,5774,7297,1929,157856,9464,27639,3287,26438,11675,4275,2486,4688,1012,90962,3194,9452,2855,3364,3524,2952,1106,1726,269,28444
5RWAU,1073,7208,616,2623,1169,445,221,494,80,13928,1462,6695,216,3126,953,308,145,364,75,13346,2738,2064,578,1492,6119,1667,406,1114,164,16342,1151,2429,359,4407,1602,674,244,868,135,11862,318,634,197,366,411,265,61,214,26,2495,646,165,1358,1230,943,636,245,685,72,5983,6,9,10,31,11,18,3,24,3,112,110,161,77,163,143,58,54,72,19,850,226,213,146,423,348,224,83,347,311,2323,8848,21328,4774,14550,12754,4757,1887,5015,976,74887,708,1595,609,283,314,110,150,286,34,4093,265,360,360,145,198,149,157,258,24,1931,4135,3228,18626,764,953,654,4349,2836,574,36119,1354,480,4795,309,295,218,1356,1201,164,10167,2486,1098,1099,384,509,359,795,1246,108,8084,1425,9264,835,3063,1259,479,455,649,113,17541,2029,8550,453,3354,1027,371,422,498,109,16800,5029,3379,1436,1936,6791,2293,1128,1718,300,24013,1640,3348,652,5630,1776,825,564,1237,166,15830,471,938,428,487,462,361,175,397,45,3764
59499,5,54,6,25,4,4,0,10,3,103,0,7,0,18,7,3,0,8,0,48,17,11,11,15,33,10,3,21,3,124,5,20,0,34,11,3,0,12,3,96,8,12,0,5,5,0,0,7,0,39,0,0,7,7,3,3,0,13,0,41,0,0,0,0,0,0,0,3,0,6,0,0,0,5,0,0,0,0,0,3,0,0,5,5,0,0,0,0,4,9,39,129,29,126,71,28,15,88,10,532,3,13,5,7,0,0,0,12,0,37,5,6,3,0,0,0,0,0,0,14,12,43,105,6,9,3,34,30,0,245,6,3,34,0,4,3,12,17,4,77,0,3,6,4,0,0,0,9,0,26,3,59,9,32,4,4,3,16,3,125,0,14,5,18,7,4,0,9,0,64,31,28,13,19,38,17,8,30,3,190,11,30,7,45,16,8,5,24,3,144,10,19,3,13,10,0,0,8,0,63
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,6,0,23,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,25,39,0,6,0,10,24,6,110,0,0,5,0,0,0,5,10,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,6,0,3,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
6GHOB,320,5286,246,1274,439,166,24,92,37,7891,401,3085,66,1008,324,82,7,52,24,5047,1772,2013,246,1513,3662,1067,70,546,183,11073,910,2581,216,2881,1125,350,43,279,114,8492,261,812,101,279,292,136,15,60,14,1981,278,110,742,624,474,260,22,221,35,2758,3,3,0,8,5,13,0,11,0,48,96,194,26,112,128,45,7,22,28,659,69,113,48,192,150,84,13,95,118,887,4650,15864,2198,8410,7123,2467,269,1685,597,43260,509,1924,391,282,282,129,63,143,35,3750,451,1244,595,332,295,238,174,360,48,3734,1252,1825,3739,417,442,305,730,819,128,9660,1061,555,2865,151,151,110,182,313,71,5455,411,414,400,159,141,79,77,266,28,1986,463,7101,319,1660,500,215,68,147,68,10547,616,4203,124,1160,379,106,34,93,40,6748,3813,3681,1053,2347,4731,1822,651,1357,335,19794,1511,3923,420,3979,1487,500,139,449,169,12577,428,1390,321,435,400,239,58,150,36,3455
6RTAS,467,5092,308,1699,490,231,34,164,59,8543,514,3483,73,1440,357,118,15,114,30,6140,1511,1332,246,1064,3761,1043,98,590,102,9745,638,1686,213,3918,945,394,71,528,98,8488,195,452,118,192,209,127,21,95,11,1404,400,111,1025,859,478,434,64,475,44,3886,7,4,0,13,9,7,0,7,0,47,70,85,32,107,86,34,7,39,18,482,105,97,72,253,188,160,19,228,133,1259,4436,13177,2580,9911,6949,2758,430,2767,538,43546,370,724,283,157,158,50,43,136,21,1940,222,489,334,158,146,118,113,238,32,1848,1756,1369,6289,492,518,387,1781,1533,232,14357,1547,377,2889,160,146,147,451,570,82,6380,1308,530,674,186,201,165,362,721,61,4210,648,6666,381,2067,533,261,88,242,83,10974,774,4658,150,1600,404,162,65,184,47,8048,3075,2333,746,1515,4439,1553,628,1208,202,15706,991,2450,376,4838,1106,487,212,728,132,11310,292,771,253,305,258,194,70,195,23,2364
69499,0,13,0,3,0,0,0,0,0,21,0,9,0,0,0,0,0,0,0,12,0,3,3,0,8,5,0,0,0,17,0,4,0,0,6,5,0,5,0,20,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,35,10,11,16,3,0,8,5,92,0,0,0,4,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,5,0,3,13,0,0,4,3,14,0,42,3,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,17,0,4,0,0,0,0,0,27,0,9,0,0,0,0,0,0,0,14,0,4,3,4,8,0,0,0,0,21,4,4,0,6,6,5,0,6,0,30,0,4,0,5,0,0,0,0,0,9
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,315,3409,132,775,354,99,19,60,33,5194,345,1913,27,697,260,69,22,64,31,3429,1353,1292,171,789,2547,658,65,272,95,7239,565,1425,98,1424,771,171,32,125,51,4646,122,318,31,111,128,46,9,34,10,804,176,74,348,351,320,150,28,137,16,1601,6,3,0,13,0,0,0,4,0,31,75,69,14,71,72,22,0,24,5,367,68,81,28,128,133,52,14,60,94,657,3382,9395,1174,4629,4991,1413,241,929,375,26531,242,627,172,141,143,38,36,48,25,1466,243,581,283,209,183,164,90,127,32,1908,1066,1285,4147,514,427,246,688,518,109,9001,458,190,1131,115,123,49,158,226,46,2494,233,278,236,116,140,54,71,145,20,1293,471,4503,208,1033,411,116,48,101,54,6941,468,2416,87,829,300,81,56,81,48,4368,2544,2164,533,1401,3285,1038,373,566,185,12079,941,2120,228,2412,969,234,127,240,95,7373,184,519,117,148,180,57,29,65,15,1308
7RNTE,156,1574,43,350,128,34,9,50,11,2365,194,1036,13,305,94,26,7,30,14,1721,432,296,52,292,783,177,13,73,25,2148,267,582,47,692,268,58,10,84,35,2040,49,102,18,66,52,16,0,17,5,327,70,42,131,151,145,53,14,69,3,684,0,4,0,4,4,0,0,0,0,19,17,39,4,31,25,9,0,7,0,124,39,88,16,139,60,23,14,48,89,513,1369,4015,417,2127,1690,447,75,489,201,10834,79,168,47,50,39,15,3,13,10,421,61,85,54,36,34,24,10,36,7,346,396,403,1331,197,112,64,264,262,42,3073,202,63,509,77,38,20,59,117,20,1111,201,222,93,92,103,21,39,182,11,957,219,2026,75,512,154,45,19,69,20,3149,307,1367,39,376,117,35,27,46,20,2325,790,467,150,517,956,259,70,155,47,3424,421,879,81,1271,319,75,49,129,63,3289,87,181,48,101,70,24,10,36,7,569
79499,4,24,0,7,0,4,0,0,0,44,4,14,0,3,0,0,0,6,0,25,3,5,0,3,11,0,0,5,0,42,4,5,0,8,3,4,0,3,0,28,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,19,22,67,6,30,28,6,6,36,5,196,0,0,3,0,0,0,0,0,0,16,3,4,0,0,0,0,0,0,0,9,7,10,11,4,0,0,3,16,0,58,3,0,3,0,0,0,0,10,0,17,0,0,0,0,0,0,4,0,0,8,5,34,0,4,0,4,0,0,0,54,4,21,0,5,0,0,0,6,0,29,11,9,0,5,13,0,0,7,4,57,4,14,5,14,7,3,0,3,0,49,0,4,0,0,5,0,0,5,0,15
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,26,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,969,8168,368,1926,1169,253,15,126,123,13127,1075,5590,82,1653,791,142,9,155,82,9572,5831,5878,378,1767,7177,1326,74,515,420,23364,5331,9561,331,3661,3984,524,51,320,496,24265,1042,2224,244,399,928,279,16,73,69,5265,436,205,931,733,927,309,22,194,60,3810,4,6,0,10,16,9,0,7,0,60,424,522,50,175,361,71,7,47,58,1719,156,226,50,210,274,90,7,70,278,1360,17789,38012,3373,11580,17532,3619,268,1847,1818,95837,2291,5077,649,581,1215,247,66,183,158,10465,2800,8889,1332,787,1097,712,355,635,276,16884,2793,4877,4713,670,1086,471,812,859,280,16562,1594,1100,3668,236,451,197,243,502,111,8105,723,835,689,163,437,94,90,180,69,3276,1401,11113,536,2545,1336,325,66,198,182,17713,1519,7370,177,1948,966,180,80,276,116,12638,11502,11276,1359,2871,9802,2428,683,1242,834,42001,9444,16034,788,5792,5768,836,266,686,868,40482,1644,3837,635,622,1274,480,89,207,121,8917
89499,0,9,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,5,4,0,0,4,0,0,0,0,17,9,12,0,5,6,0,0,0,0,26,0,4,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,25,4,9,14,4,0,7,0,78,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,7,0,4,0,0,0,0,11,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,8,7,0,0,3,0,0,0,0,22,8,11,0,4,6,0,0,4,0,32,0,4,0,0,0,0,0,5,0,13
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,7,52,0,15,13,0,0,6,0,93,14,65,0,22,6,4,0,0,0,118,34,18,7,33,65,16,0,3,0,173,17,17,0,30,22,7,0,14,0,105,3,3,3,0,7,3,0,0,0,22,11,0,11,17,14,7,0,12,0,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,13,4,0,0,14,9,4,0,5,3,39,122,181,26,145,141,42,8,37,5,702,12,15,3,4,6,0,0,4,0,43,11,6,6,0,0,0,0,0,0,20,49,18,121,14,9,9,21,23,3,268,20,7,64,7,0,4,8,10,0,117,11,9,7,4,9,0,4,3,0,46,8,53,0,22,14,0,0,6,0,112,13,89,0,27,6,4,0,4,0,148,61,25,10,41,66,18,4,10,6,239,33,33,8,47,27,7,0,13,0,170,7,9,9,4,7,3,0,0,0,37
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
