GCCSA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
5RWAU,7261,10273,7259,5561,16199,26036,11819,43193,2951,130548,346,1299,960,553,610,1039,326,1331,135,6592,572,261,277,149,321,762,507,2176,74,5099,185,581,436,302,704,656,291,360,34,3543,40,70,73,49,174,124,52,73,11,670,143,608,445,265,421,615,153,450,36,3138,78,235,217,124,266,386,119,178,14,1610,635,3655,2601,1422,2150,1250,433,689,125,12961,456,3352,1847,996,1236,1001,330,1047,169,10427,171,507,524,244,431,548,158,429,42,3047,23,121,77,40,101,81,23,34,5,500,97,210,263,164,358,316,63,111,8,1579,67,218,211,120,473,315,87,213,15,1716,184,749,593,471,729,563,163,378,28,3857,180,1163,750,378,556,446,124,357,57,4020,524,744,758,545,1874,1426,312,477,37,6699,945,2741,2795,2035,2688,2472,1028,1845,134,16684,1675,3584,4154,3403,4887,3163,687,1467,235,23252,91,453,308,137,198,145,47,102,22,1497,187,1021,717,468,757,509,168,294,43,4170
59499,95,88,71,48,92,146,51,283,18,899,0,5,5,6,10,5,0,5,0,38,3,0,0,3,4,0,3,26,0,38,0,4,6,7,3,3,4,0,0,21,0,0,0,0,0,6,0,0,0,5,10,4,0,0,3,6,3,3,0,25,0,0,0,0,3,0,0,0,0,5,10,4,3,0,10,9,0,6,0,47,4,30,18,14,21,24,10,16,0,142,7,4,4,0,3,5,0,4,0,29,0,3,0,0,0,0,0,0,0,7,3,3,0,4,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,3,9,15,8,7,0,7,0,0,0,44,5,6,0,5,4,3,0,3,0,29,3,0,0,0,9,5,0,5,0,32,10,15,13,3,3,3,6,0,0,50,19,21,21,10,18,14,0,9,0,124,0,6,0,0,0,3,0,5,0,17,3,6,5,6,6,3,0,0,0,24
59799,9,11,5,0,4,4,9,198,5,246,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,2019,6662,5772,4278,14867,13862,4162,7154,956,59730,18,126,100,67,123,113,19,38,8,621,5,4,4,0,3,11,3,8,0,42,64,387,258,132,335,245,71,84,11,1589,42,37,68,74,329,145,51,38,3,777,26,220,200,110,212,229,48,55,8,1114,19,87,107,58,136,93,15,30,0,550,307,1979,1310,618,1028,431,143,173,61,6054,199,1982,991,404,614,330,91,144,57,4818,78,140,156,93,165,111,40,45,9,842,36,99,95,40,192,108,22,45,0,633,84,103,202,158,498,219,57,85,6,1408,29,100,91,50,257,102,29,44,12,715,147,516,536,377,869,498,134,220,15,3322,85,586,372,161,346,144,29,58,23,1813,464,393,906,777,2093,1002,314,425,35,6418,439,1665,1735,865,1648,1021,443,687,47,8558,1008,2112,3031,2674,3167,1576,466,833,120,14985,63,397,243,133,200,143,35,70,3,1294,84,510,474,256,478,238,75,91,23,2243
6RTAS,2945,7084,5595,4413,14674,16210,5504,11805,1475,69710,137,611,497,350,496,459,112,419,77,3166,24,23,16,13,28,48,24,80,3,262,128,491,472,268,598,425,127,154,17,2682,23,19,35,37,142,105,26,34,5,418,45,291,225,125,209,235,48,73,8,1252,37,144,152,108,233,149,38,50,5,910,435,2525,1623,870,1262,668,235,248,97,7965,315,2483,1229,532,702,463,119,329,105,6277,99,266,264,129,239,202,50,139,17,1411,30,95,72,36,133,53,15,25,0,461,73,112,236,155,428,251,42,77,7,1386,37,143,104,86,256,121,37,63,4,855,110,533,449,295,625,375,95,189,16,2675,114,786,409,186,360,182,49,91,31,2212,248,372,518,406,988,533,130,229,18,3429,406,1569,1970,812,1449,1041,422,745,66,8486,1232,2577,3542,2944,3239,2071,493,938,168,17204,61,293,180,96,143,85,29,64,12,963,100,608,499,280,467,268,61,109,32,2432
69499,12,17,20,12,27,42,14,20,6,174,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,6,0,0,0,0,22,3,6,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,4,0,0,3,0,0,0,4,0,3,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,3,0,8,7,4,0,0,0,0,26,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3
69799,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1558,2586,2344,1916,8376,9672,3148,7755,802,38166,7,31,34,24,63,71,14,60,7,311,39,11,17,11,28,56,9,108,5,283,17,70,57,53,109,121,19,43,6,501,32,15,24,23,134,87,20,39,3,379,38,122,139,89,262,276,74,141,7,1151,11,19,28,26,115,79,36,39,4,350,135,710,532,317,726,331,104,150,29,3031,82,761,568,331,566,342,75,226,41,2986,39,67,96,61,164,188,55,77,14,763,13,23,22,12,80,35,16,29,0,225,41,39,25,53,170,140,28,44,3,556,25,53,51,28,155,130,35,75,4,562,101,181,236,202,536,427,109,244,11,2049,51,238,190,119,271,173,50,113,20,1222,549,230,327,367,2456,1456,495,731,52,6673,234,566,549,397,1047,822,306,648,43,4612,508,646,844,863,2345,1449,299,545,66,7560,33,133,113,52,168,137,23,61,9,739,50,197,214,124,346,231,62,100,13,1339
7RNTE,694,1102,918,732,3789,3638,1250,3440,491,16062,7,37,35,18,55,67,39,274,8,554,18,12,7,5,9,38,20,50,0,157,7,14,19,10,29,28,9,12,0,122,3,0,0,0,21,10,3,9,0,49,18,35,44,19,86,82,19,45,0,340,5,8,6,5,30,38,10,18,4,131,65,231,180,87,236,164,70,114,18,1172,37,154,107,79,219,223,66,177,22,1080,9,24,30,13,55,41,8,37,6,235,0,13,3,4,26,15,3,17,0,74,12,11,13,13,36,20,3,10,0,107,0,11,5,8,42,31,9,17,0,129,23,55,43,43,130,101,38,82,6,524,24,68,45,32,108,59,13,66,6,416,174,163,167,162,856,469,125,224,34,2380,146,285,290,255,671,483,192,396,29,2739,264,309,352,375,1304,779,171,327,53,3938,33,88,57,47,129,74,17,49,8,494,28,72,59,54,173,97,17,45,9,543
79499,39,24,18,22,32,41,12,53,17,242,0,0,0,0,4,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,4,0,0,0,20,0,5,3,10,10,9,0,4,0,49,6,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,8,4,6,7,3,6,0,0,3,0,25,0,0,0,0,0,0,0,0,0,6,10,0,0,0,6,0,0,3,0,19,10,0,0,0,0,5,0,0,0,20,10,0,3,0,11,3,0,5,0,38,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
79799,5,0,0,0,0,0,0,33,3,56,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4118,11780,8980,6137,31670,34362,9899,17047,1563,125547,9,66,31,24,48,33,3,21,0,240,0,5,0,3,3,5,0,8,0,27,55,257,157,86,259,202,54,80,0,1157,31,35,40,43,166,142,36,49,0,550,61,281,313,132,362,491,118,204,19,1975,26,66,60,44,134,114,27,40,0,509,437,2836,1687,685,1480,641,182,250,55,8252,404,3020,1429,496,988,577,164,239,65,7376,72,119,140,92,269,193,39,63,4,992,59,154,149,121,441,320,90,119,6,1460,88,128,199,156,613,414,93,137,13,1835,76,141,169,89,500,359,84,139,16,1565,424,1059,1290,943,2806,3012,763,1067,43,11404,139,705,572,266,800,518,111,165,20,3293,2543,1238,2745,2995,12761,9048,2721,3284,154,37487,867,2851,2129,1358,3598,2243,930,1608,69,15647,1226,2912,3477,2617,5420,3181,744,1256,137,20971,134,709,368,190,540,304,94,113,10,2446,165,860,695,361,766,517,136,216,28,3739
89499,6,15,14,4,22,22,6,13,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,0,0,0,3,0,0,0,0,0,5,4,0,0,0,9,6,0,0,0,23,0,6,0,0,4,0,0,0,0,13,0,5,4,0,3,0,0,3,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,58,113,73,60,294,243,79,196,27,1142,0,4,0,3,0,4,0,0,0,16,0,0,0,0,8,0,0,0,0,14,0,7,0,4,0,0,0,0,0,9,0,0,0,0,4,0,0,0,4,9,0,0,3,3,8,3,0,0,0,25,0,0,5,0,0,0,0,0,0,4,3,38,23,17,24,7,4,11,0,127,19,49,19,11,26,16,6,10,6,160,0,14,0,0,6,6,0,3,0,33,0,3,0,0,0,3,0,0,0,5,0,4,3,4,3,5,0,0,0,22,0,4,0,0,0,6,0,0,0,9,5,6,5,3,4,6,0,6,0,35,8,16,8,15,19,12,3,5,0,93,12,16,14,9,63,44,10,27,0,182,9,18,15,23,28,16,6,15,0,129,10,21,26,12,25,27,3,5,0,124,5,12,0,3,7,5,4,0,0,35,0,6,0,3,3,0,4,0,0,18
99499,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
