GCCSA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
6GHOB,3944,2537,1949,1417,504,115,18092,79,1058,1268,1229,1166,875,235,38,5943,2307,10275,7601,5617,4501,3742,1428,403,35878,601,2606,2877,3336,3172,2586,1214,371,16764,2884,7257,6415,5886,5532,3494,1615,449,33534,688,698,491,341,359,202,79,22,2874,226,359,387,486,684,650,304,133,3223,3801,8317,7292,6707,6576,4347,2000,605,39634,80,231,197,162,187,194,168,59,1285,1528,2221,1709,1571,1710,1975,1803,910,13426,8617,32123,24887,21163,19252,15133,7358,2496,131034
6RTAS,1747,1367,1465,1146,460,62,9083,50,597,761,887,965,804,240,36,4337,1213,6252,5800,4873,4707,3868,1377,273,28363,481,2188,3062,4091,4519,3585,1568,378,19863,4223,10192,9264,9706,9782,6184,2530,590,52470,1076,1134,766,637,627,364,116,28,4751,295,452,535,755,1008,979,397,116,4545,5595,11785,10562,11095,11414,7532,3044,734,61763,106,197,170,208,229,295,207,54,1463,2477,2611,2376,2758,3423,3977,3160,1384,22162,9998,26394,24484,25284,26724,21202,10052,2916,147043
69499,5,5,5,5,0,0,31,0,4,5,0,7,0,0,0,20,0,25,15,13,16,8,0,0,84,4,8,3,12,13,12,3,0,52,17,41,38,35,37,16,6,0,180,10,9,4,0,4,0,0,0,34,0,0,0,4,4,0,0,0,7,23,49,43,45,42,16,6,0,221,0,0,0,0,4,5,0,0,8,44,57,54,45,60,73,8,3,342,70,148,130,130,137,108,14,3,760
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,0,0,0,0,14
7GDAR,2128,1215,894,468,120,15,7745,57,708,788,711,534,234,53,3,3085,1099,6229,4711,2817,1811,1119,341,58,18186,422,2048,2318,2324,1648,836,272,32,9898,2118,4952,4531,3791,2930,1434,463,79,20299,670,401,271,174,117,79,20,4,1741,157,229,299,360,269,206,88,15,1624,2942,5587,5106,4328,3319,1719,576,91,23662,55,167,146,108,77,83,32,18,680,1712,2690,2287,1993,1532,1071,507,175,11963,6366,20239,17483,13493,9816,5524,1900,397,75220
7RNTE,693,377,360,161,37,0,2434,13,250,298,254,218,104,18,0,1156,296,2276,1512,1023,829,384,87,9,6420,168,780,805,838,711,312,81,15,3708,919,2161,1916,1761,1401,631,134,24,8945,275,315,273,221,140,48,9,0,1281,101,220,220,226,169,90,22,4,1055,1293,2691,2414,2206,1711,768,168,25,11276,20,47,41,38,17,18,10,5,187,1776,2183,1663,1488,1358,745,240,60,9514,3587,9016,7413,6222,5203,2487,649,119,34698
79499,18,18,10,9,0,0,84,0,14,11,10,13,9,0,0,60,15,112,53,27,29,18,3,0,259,3,31,38,30,35,21,0,0,157,15,62,52,49,78,58,6,0,324,5,15,4,3,3,0,0,0,30,0,4,5,5,9,13,0,0,39,17,81,68,59,92,71,6,0,389,0,0,3,0,5,0,0,0,11,144,269,262,333,262,102,22,0,1400,183,547,451,471,441,228,30,0,2351
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,6,7,3,0,5,3,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,4,7,4,8,4,0,0,0,32,0,0,3,0,0,0,0,0,3,6,6,4,6,7,0,0,0,26,9,19,16,10,12,0,0,0,71
8ACTE,14809,9912,6691,4209,1740,398,52739,298,3272,3864,3463,2880,2223,733,87,16812,7686,25787,20647,14113,9739,7429,3507,961,89879,1947,6133,7648,7075,5516,3716,1775,553,34370,4401,9475,8035,6899,5411,3250,1731,561,39764,1029,713,526,421,368,300,108,41,3499,364,499,724,973,1136,1143,586,200,5621,5791,10689,9282,8291,6910,4694,2421,803,48890,184,396,415,285,283,285,230,94,2176,3379,4263,3223,2393,2039,2032,1657,1040,20031,19831,64987,59884,45541,34056,24589,12068,3939,264899
89499,6,9,8,0,0,0,36,0,0,5,0,4,0,0,0,10,11,23,13,6,11,4,0,0,69,3,9,3,6,4,3,0,0,36,14,15,13,10,13,6,0,0,68,5,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,19,16,20,13,11,6,4,0,78,0,0,0,0,0,0,0,0,4,16,17,35,25,24,17,5,0,136,50,80,77,58,64,24,8,4,368
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,29,22,19,12,6,0,101,0,4,17,15,25,4,0,0,71,13,66,90,72,44,45,14,4,348,13,39,58,56,65,45,20,5,299,54,92,120,130,168,90,24,13,685,25,15,13,15,13,9,0,0,84,3,7,16,12,9,14,7,0,59,83,110,140,152,188,112,32,13,834,0,5,3,6,5,19,4,0,38,93,223,169,143,131,89,64,11,917,203,465,502,459,471,330,133,34,2605
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,3,0,0,0,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
