GCCSA_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
39499,6,5,14,9,27,15,15,46,6,136,18,3,3,0,5,5,3,31,0,66,6,6,6,0,36,35,8,15,0,112,0,0,0,0,4,10,0,9,3,33,20,27,19,15,40,68,27,67,9,288,0,6,4,0,3,9,0,8,0,21,9,13,17,7,18,11,7,6,5,96,17,45,25,20,26,9,10,15,3,172,20,10,13,7,27,19,6,47,0,152,0,5,0,0,3,0,0,5,0,22,0,3,0,5,7,5,0,0,0,22,0,3,0,3,0,0,0,3,0,19,6,20,12,3,13,36,10,13,0,101,5,14,16,9,15,11,5,17,4,93,15,7,9,7,16,12,5,5,3,75,11,6,3,0,12,3,4,0,0,43,10,3,13,9,4,27,0,9,0,74,0,3,0,3,0,0,0,5,0,19,3,8,0,0,14,13,5,0,0,45,11,10,7,12,14,22,0,16,40,123
39799,0,0,0,0,0,0,0,19,4,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,162,547,540,459,1054,1111,410,1020,86,5390,621,133,139,77,509,750,446,2343,58,5077,744,1568,1577,1374,10712,8563,3261,4299,247,32350,178,228,194,219,1805,2178,663,1195,56,6707,1408,2663,2983,2785,9296,15222,4625,9150,577,48714,236,601,565,506,3519,3073,1113,1688,60,11349,915,7075,4071,2251,6605,4737,1662,2494,251,30065,938,7057,3456,1486,2678,2080,890,1673,225,20485,996,1897,2431,1403,4531,4875,1941,4130,294,22510,117,393,309,248,1540,1375,321,644,25,4972,203,338,371,377,3259,2506,811,1465,41,9365,132,406,313,209,1017,962,409,939,24,4423,445,1846,1505,1240,6474,8309,2156,4550,119,26652,360,2009,1916,1163,2966,1975,569,997,120,12082,1124,934,1058,1056,9076,7736,2298,2501,184,25965,543,2693,1617,1132,4408,3587,1507,2517,76,18087,961,2798,3269,3279,7867,4252,1513,2945,227,27119,291,1299,566,391,1015,797,218,472,34,5086,331,1247,1184,871,3731,3471,1034,1787,125,13784,435,1189,1014,689,3328,2636,701,1437,2148,13571
4RSAU,592,1137,976,868,2016,3694,1414,6106,326,17128,473,91,81,29,269,457,337,2084,63,3881,371,469,423,418,2771,3166,1501,1702,118,10950,75,86,66,72,382,481,153,324,18,1650,442,627,680,646,2082,3239,997,2565,195,11469,92,169,102,94,534,728,274,550,30,2566,183,1402,731,456,1192,1059,385,704,82,6192,202,1358,598,345,510,447,142,507,98,4201,284,420,473,289,648,933,396,1608,108,5167,12,53,31,26,98,90,30,45,4,382,21,38,33,29,134,156,68,141,5,623,22,65,35,24,102,85,45,145,10,532,51,212,146,125,368,455,133,386,19,1897,101,505,321,236,480,441,141,264,40,2525,243,181,148,176,1413,1152,268,454,49,4088,109,355,295,209,577,553,286,506,22,2905,145,435,444,429,848,521,189,345,51,3415,28,151,78,49,140,105,53,79,10,698,102,294,226,195,815,971,297,587,62,3539,198,318,217,191,645,605,196,507,737,3608
49499,0,0,0,0,3,4,0,3,0,19,4,3,0,0,0,0,0,6,0,18,0,0,0,0,8,10,0,0,0,27,5,0,0,0,0,0,0,4,0,3,5,7,0,0,10,12,5,15,3,57,0,0,0,0,4,0,0,0,0,8,3,3,6,0,6,0,4,5,0,28,0,13,3,5,3,0,0,0,0,32,6,0,4,3,3,9,0,15,0,49,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,0,10,0,0,0,0,0,0,0,4,0,10,0,0,3,0,6,9,5,0,0,25,0,10,11,4,6,0,0,4,0,35,3,0,0,0,3,0,0,0,0,16,4,0,0,4,0,4,0,0,0,10,0,4,3,4,3,3,0,0,0,25,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,4,0,0,13,4,0,0,0,5,3,4,5,7,31
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,165,479,452,334,638,1005,339,1059,79,4547,4847,1357,1223,649,4083,9013,5480,27040,832,54507,1089,1730,1587,1280,9960,11594,4774,8431,281,40715,276,257,227,253,2219,2294,872,1792,75,8258,2367,3711,3961,3904,10778,23579,7881,21678,982,78833,492,852,727,604,4006,5578,1941,4201,119,18520,1071,9070,5352,2691,7299,6902,2329,4532,353,39600,806,10488,4867,2063,3826,3584,1328,3584,357,30902,1637,2733,3128,2105,5792,9076,3571,8183,528,36746,134,592,398,301,1413,1605,379,761,25,5606,242,521,522,438,2731,3940,1037,2299,57,11772,134,655,545,346,1124,1758,769,2007,53,7384,992,2846,2273,1958,8890,16264,4379,9379,205,47185,539,2550,2265,1162,2732,3152,879,2254,175,15705,1606,1680,1382,1111,9476,10494,2986,4406,242,33377,644,3982,2009,1449,5031,5515,1855,3501,126,24113,1016,3203,3260,2918,7898,6629,1883,3826,246,30880,286,2451,996,701,1632,1546,452,953,73,9092,495,1711,1553,1073,4196,5340,1908,3895,242,20414,879,2529,1818,1378,5620,7712,2126,5174,4446,31678
5RWAU,636,986,864,730,995,2853,1255,6772,289,15391,2340,692,531,170,983,2296,2239,12857,439,22538,395,410,350,302,1627,2528,1289,2273,97,9267,119,106,77,79,596,697,325,670,33,2697,822,825,795,826,1985,4160,1669,6460,281,17821,131,169,120,89,405,977,507,1212,34,3644,256,1518,780,525,1253,1355,520,1053,73,7335,238,1655,723,422,824,836,334,1102,111,6246,451,592,557,358,764,1479,690,3113,137,8138,18,64,46,31,118,132,51,96,3,556,24,40,36,38,140,208,71,168,0,736,48,95,68,48,124,231,116,464,15,1207,114,314,237,190,487,895,267,950,46,3499,172,493,356,260,427,469,207,662,46,3088,488,346,250,203,1772,2365,651,1102,71,7258,168,443,316,320,900,1087,418,658,37,4351,237,481,535,509,1199,981,273,587,51,4845,52,226,98,59,170,167,47,144,12,976,186,332,221,174,743,1283,500,1441,66,4944,344,494,289,224,691,1033,398,1417,1128,6006
59499,0,0,4,5,13,17,5,15,0,62,20,7,5,3,7,6,5,102,0,155,0,3,3,5,6,9,5,7,0,40,5,0,0,0,0,0,0,3,0,12,21,6,8,10,6,29,4,53,0,139,0,0,0,0,4,3,0,5,0,15,6,8,8,6,7,8,0,0,0,45,0,13,10,5,12,13,7,24,4,90,7,7,0,4,5,8,3,22,4,56,0,3,0,0,0,3,0,0,0,7,0,4,0,0,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,4,3,14,10,0,7,8,6,6,0,49,7,5,4,4,3,6,0,7,0,34,11,0,4,0,3,6,0,3,0,35,4,0,0,3,0,4,0,3,0,18,0,3,15,0,6,9,0,5,0,37,0,4,0,0,0,0,0,0,0,8,3,6,0,0,3,3,0,10,0,36,5,9,0,3,0,9,0,19,9,50
59799,0,0,0,0,0,0,0,28,5,32,4,0,0,0,5,0,4,59,0,77,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,30,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,31,0,36
6GHOB,70,157,130,125,393,395,130,334,38,1769,31,17,15,9,19,49,34,107,3,278,130,250,270,221,1141,1288,550,518,41,4416,61,49,64,79,680,478,173,222,17,1831,234,404,499,551,1868,3337,656,1297,121,8974,33,124,97,54,435,409,105,165,10,1430,161,1111,794,373,1101,772,301,409,45,5069,126,1252,796,343,849,535,174,320,61,4458,182,316,358,191,593,662,240,529,43,3117,18,94,64,51,291,220,61,96,0,904,37,54,52,54,416,324,89,169,11,1184,17,91,51,40,156,154,63,108,3,679,88,399,372,311,1130,1079,306,593,23,4306,69,313,266,148,334,244,75,149,22,1614,294,246,268,286,2025,1252,402,597,39,5411,106,566,468,279,1031,755,271,424,23,3916,228,500,671,767,1253,782,257,513,43,5016,51,331,192,130,264,234,58,137,4,1398,34,221,204,161,527,547,164,288,21,2168,69,168,135,90,362,333,73,172,390,1793
6RTAS,303,582,556,557,1288,1626,533,2221,185,7847,185,44,50,36,120,339,303,956,29,2068,327,392,369,346,2055,1956,869,1061,103,7493,53,54,57,64,437,409,122,224,18,1434,309,546,545,571,1922,3681,1027,1688,152,10445,87,158,146,145,754,792,277,456,20,2836,166,1064,643,374,1215,923,325,543,60,5314,159,1198,552,280,603,471,154,410,58,3880,339,387,448,261,774,920,437,1304,104,4966,21,64,43,33,156,148,36,63,0,564,17,42,49,29,203,211,67,141,9,763,25,55,54,34,120,113,47,115,0,565,55,305,243,165,558,665,162,420,16,2583,80,410,256,158,343,259,73,154,19,1750,217,203,180,200,1055,777,243,349,38,3274,85,427,345,203,803,666,192,338,17,3085,247,471,558,589,1002,813,246,504,52,4489,42,200,112,84,223,133,35,114,8,953,76,237,206,168,634,791,198,427,41,2785,134,232,186,123,408,503,146,317,551,2598
69499,0,0,0,0,0,3,0,3,0,14,0,0,0,0,0,0,4,4,0,8,0,0,0,0,5,4,4,4,0,12,0,0,0,0,0,0,0,0,0,3,8,0,0,0,8,17,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,7,0,5,0,4,5,0,3,0,0,10,0,0,0,0,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,5,0,4,7,10
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,24,34,28,27,88,132,44,170,10,557,240,38,32,8,87,173,70,718,33,1388,34,54,38,64,375,418,131,286,16,1418,59,28,21,27,252,253,66,166,13,895,166,201,194,264,840,1512,553,1601,73,5409,23,26,34,39,251,238,91,185,11,903,70,356,335,185,595,416,150,284,30,2418,59,573,390,229,592,406,121,331,42,2726,117,144,236,145,426,602,251,575,40,2548,10,20,26,16,108,103,25,42,3,360,7,19,13,9,59,95,16,55,0,281,6,25,27,11,73,103,46,124,7,421,47,112,123,119,464,644,200,346,10,2072,32,140,138,75,234,213,49,175,16,1071,386,186,152,195,1766,2320,800,1390,70,7266,36,142,121,101,482,353,105,265,9,1605,105,163,187,208,816,592,165,339,33,2615,25,84,50,41,158,229,33,87,7,723,44,100,82,71,360,448,150,295,22,1576,59,121,102,73,350,428,94,324,358,1911
7RNTE,19,69,30,22,137,112,60,485,25,966,74,22,7,9,34,115,128,353,14,760,8,21,14,11,73,111,31,84,5,356,16,14,10,7,52,82,30,48,6,272,63,72,63,70,265,424,175,496,34,1656,8,10,4,6,55,44,18,73,5,220,27,158,126,61,243,213,90,154,16,1076,25,107,56,53,238,218,80,235,14,1033,40,37,40,38,158,155,63,188,18,731,3,9,14,3,34,18,10,25,0,107,3,6,0,3,11,12,3,10,0,47,0,6,3,7,15,26,4,22,0,87,16,31,25,21,109,157,59,86,0,507,13,55,45,24,104,75,15,78,9,419,160,140,149,127,889,864,250,452,52,3089,36,87,91,83,281,240,70,160,9,1057,82,111,120,119,660,357,82,242,21,1785,21,62,59,23,139,97,22,46,11,481,20,52,38,28,194,183,42,133,13,710,46,51,26,19,96,126,27,75,234,707
79499,0,0,0,0,3,0,0,7,0,27,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,8,0,10,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,6,0,0,7,7,8,3,0,7,0,34,0,3,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,18,0,0,0,0,0,3,0,3,0,6,9,0,0,0,0,0,0,3,0,12,6,4,4,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,4,0,4,0,0,0,4,10,23
79799,0,0,0,0,0,3,0,8,3,16,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,7
8ACTE,25,74,48,21,74,75,28,58,8,415,9,9,3,0,7,18,7,59,7,122,74,211,169,117,720,942,249,464,16,2961,67,55,40,45,413,374,119,204,15,1327,427,650,781,675,2207,5053,1557,3006,193,14548,30,80,71,67,385,423,134,252,6,1449,232,1746,1169,522,1675,1164,440,730,74,7757,344,2636,1390,523,1449,993,339,605,87,8369,219,368,468,256,816,949,390,726,67,4259,47,146,106,94,694,685,186,294,9,2250,38,95,89,59,484,492,151,269,0,1675,33,102,72,54,331,364,133,355,7,1444,334,813,762,638,3654,5906,1230,2307,68,15717,98,458,490,231,728,735,135,291,32,3194,1416,957,1084,1347,12223,11406,3353,4567,155,36501,225,1429,653,355,1975,1501,565,973,28,7705,267,802,820,679,2100,1440,385,932,54,7486,87,581,238,125,423,317,95,200,16,2084,84,344,304,193,742,887,296,490,25,3357,74,235,222,109,562,634,115,279,698,2924
89499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,8,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,5,0,16,0,0,0,0,0,5,0,0,0,6,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,6,0,0,4,0,3,3,0,21,3,3,0,0,17,5,10,33,0,72,0,3,0,0,9,3,0,0,0,19,3,0,0,0,11,9,4,6,6,41,3,12,9,15,55,50,11,31,0,186,3,0,0,3,3,4,0,0,0,18,0,14,7,0,17,12,4,5,0,70,9,16,17,10,23,14,0,9,6,98,3,9,3,9,12,15,14,9,0,70,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,12,4,3,0,3,0,3,5,0,0,27,4,3,11,4,21,8,0,3,0,59,5,16,4,4,68,71,13,49,0,237,0,0,3,0,3,6,6,3,0,29,0,3,0,3,8,4,0,4,0,25,3,3,7,0,10,0,0,6,0,32,4,4,4,0,12,5,3,9,0,42,5,9,0,0,19,19,5,9,11,64
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
